3128-2015-05-14_Baselstaedtisches_Kantonalschwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;58.75
o;5;37.75;Mahrer Jürg;**;6;56.75;8;37.0;3;-0.75;8.5
o;9;46.25;Klausner Yanick;**;9;56.0;9;46.25;0;0.0;8.75

13c;Widmer Tobias;*;;;;;;;;;55.0
-;;;Kocher Remo;**;;;;;;;9.0
o;3;9.0;Stegmüller Klemens;*;15;54.5;4;8.75;1;-0.25;8.75
+;8;17.75;Inderwildi Daniel;;21;53.0;6;18.5;-2;0.75;10.0
-;8;27.75;Odermatt Christian;**;7;56.5;7;28.0;-1;0.25;9.0
+;9;36.75;Gabathuler Björn (1998);;18;53.75;10;36.5;1;-0.25;9.75
o;8;46.5;Stüdeli Thomas;**;6;56.75;6;47.0;-2;0.5;8.5

13d;Kocher Remo;**;;;;;;;;;55.0
-;;;Widmer Tobias;*;;;;;;;9.0
-;3;9.0;Leuthard Reto;;12;55.25;2;9.75;-1;0.75;8.75
+;8;17.75;Kramer Franz;;5;57.0;5;18.75;-3;1.0;10.0
-;8;27.75;Schmid David;**;9;56.0;5;28.5;-3;0.75;8.75
+;10;36.5;Büchi Christian;;17;54.0;8;37.0;-2;0.5;10.0
o;8;46.5;Mahrer Jürg;**;6;56.75;7;46.75;-1;0.25;8.5

13e;Büttler Adrian (1999);;;;;;;;;;55.0
o;;;Hermann Oliver;;;;;;;;8.5
+;5;8.5;Schaub Adrian (1999);;26;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Wyss Cyrill;;26;34.0;11;17.0;4;-1.25;10.0
o;6;28.25;Furter Reto;**;11;55.5;11;27.0;5;-1.25;8.5
+;9;36.75;Schläpfer Matthias;*;16;54.25;13;35.75;4;-1.0;9.75
o;8;46.5;Brand Christian;**;7;56.5;8;46.5;0;0.0;8.5

13f;Burtschi Michael;;;;;;;;;;55.0
o;;;Mangold Martin;;;;;;;;8.5
+;5;8.5;Steger Robert (1998);;18;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Wilhelm Hannes;*;17;54.0;10;17.25;3;-1.0;8.5
+;12;26.75;Bieli Andreas;;17;54.0;11;27.0;-1;0.25;9.75
o;10;36.5;Odermatt Christian;**;7;56.5;8;37.0;-2;0.5;8.5
+;14;45.0;Lehmann Robin (1999);;18;53.75;14;45.0;0;0.0;10.0

13g;Lehmann Nicola;*;;;;;;;;;55.0
o;;;Brand Christian;**;;;;;;;8.5
o;5;8.5;Stoffel Marc;**;10;55.75;4;8.75;-1;0.25;8.5
+;11;17.0;Studer Remo;;18;53.75;11;17.0;0;0.0;10.0
o;11;27.0;Döbeli Andreas (1998);;11;55.5;6;28.25;-5;1.25;8.5
+;14;35.5;Kohler Adrian;;11;55.5;9;36.75;-5;1.25;9.75
+;13;45.25;Hasler Simon;;14;54.75;9;46.25;-4;1.0;9.75

13h;Moser Matthias;;;;;;;;;;55.0
+;;;Reinhard Adrian (1997);;;;;;;;10.0
o;1;10.0;Döbeli Andreas (1998);;11;55.5;2;9.75;1;-0.25;8.5
-;6;18.5;Schumacher Michael;*;15;54.5;10;17.25;4;-1.25;9.0
-;9;27.5;Schär Simon;*;13;55.0;9;27.5;0;0.0;9.0
+;10;36.5;Müller Christian (1998);;18;53.75;9;36.75;-1;0.25;10.0
o;8;46.5;Waldner Patrick;**;7;56.5;8;46.5;0;0.0;8.5

13i;Schär Simon;*;;;;;;;;;55.0
o;;;Anderegg David;*;;;;;;;8.5
-;5;8.5;Klausner Yanick;**;9;56.0;4;8.75;-1;0.25;9.0
+;9;17.5;Wyss Patrick;;15;54.5;5;18.75;-4;1.25;10.0
-;9;27.5;Moser Matthias;;13;55.0;9;27.5;0;0.0;9.0
+;10;36.5;Hermann Oliver;;16;54.25;7;37.25;-3;0.75;10.0
o;8;46.5;Blatter Lorenz;*;5;57.0;6;47.0;-2;0.5;8.5

14a;Hasler Simon;;;;;;;;;;54.75
+;;;Schöni Marc (1999);;;;;;;;9.75
+;2;9.75;Müller Christian (1998);;18;53.75;2;9.75;0;0.0;9.75
o;3;19.5;Anderegg David;*;27;28.25;6;18.5;3;-1.0;8.5
o;7;28.0;Vieira Tiago;**;11;55.5;9;27.5;2;-0.5;8.5
+;10;36.5;Grossmann Andreas;;18;53.75;15;35.25;5;-1.25;9.75
o;9;46.25;Lehmann Nicola;*;13;55.0;13;45.25;4;-1.0;8.5

14b;Hügli Kaj (1997);*;;;;;;;;;54.75
o;;;von Arx Christian;*;;;;;;;8.5
-;5;8.5;Probst Gabriel;**;13;55.0;4;8.75;-1;0.25;9.0
+;9;17.5;Regenass Beat;;18;53.75;7;18.25;-2;0.75;9.75
-;10;27.25;Hasler Manuel;;10;55.75;6;28.25;-4;1.0;9.0
o;11;36.25;Brügger Cyrill (1998);;12;55.25;8;37.0;-3;0.75;8.75
+;14;45.0;Bieli Andreas;;17;54.0;12;45.5;-2;0.5;9.75

14c;Wilhelm Manuel;;;;;;;;;;54.75
+;;;Regenass Beat;;;;;;;;9.75
+;2;9.75;Bieli Andreas;;17;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;von Arx Christian;*;16;54.25;7;18.25;4;-1.25;8.5
o;7;28.0;Gschwind Michael;**;12;55.25;11;27.0;4;-1.0;8.5
+;10;36.5;Studer Remo;;18;53.75;14;35.5;4;-1.0;9.75
o;9;46.25;Haenni Stéphane;**;12;55.25;13;45.25;4;-1.0;8.5

14d;Mangold Martin;;;;;;;;;;54.75
+;;;Burtschi Michael;;;;;;;;9.75
-;2;9.75;Krebs Clemens;;19;53.5;1;10.0;-1;0.25;9.0
o;5;18.75;Alpiger Nick;**;7;56.5;8;17.75;3;-1.0;8.75
o;9;27.5;Kropf Marcel;**;17;54.0;11;27.0;2;-0.5;8.5
-;12;36.0;Vetter Mike;;24;44.0;15;35.25;3;-0.75;9.0
+;14;45.0;Gabathuler Björn (1998);;18;53.75;14;45.0;0;0.0;9.75

15a;Dobler Florian;;;;;;;;;;54.5
-;;;Kramer Franz;;;;;;;;8.75
+;4;8.75;Gabathuler Björn (1998);;18;53.75;3;9.0;-1;0.25;10.0
o;5;18.75;Räbmatter Patrick;**;10;55.75;9;17.5;4;-1.25;8.5
-;10;27.25;Inderwildi Daniel;;21;53.0;11;27.0;1;-0.25;8.75
-;12;36.0;Leuthard Mario;;11;55.5;9;36.75;-3;0.75;8.75
+;15;44.75;Furrer Mathias;;20;53.25;15;44.75;0;0.0;9.75

15b;Stegmüller Klemens;*;;;;;;;;;54.5
-;;;Furter Reto;**;;;;;;;8.75
+;4;8.75;Widmer Tobias;*;13;55.0;3;9.0;-1;0.25;10.0
-;5;18.75;Schlachter Lukas;*;16;54.25;6;18.5;1;-0.25;9.0
+;8;27.75;Krebs Clemens;;19;53.5;9;27.5;1;-0.25;9.75
o;6;37.5;Alpiger Nick;**;7;56.5;5;37.75;-1;0.25;8.5
o;10;46.0;Lang Martin;**;10;55.75;11;45.75;1;-0.25;8.5

15c;Wyss Patrick;;;;;;;;;;54.5
+;;;Fritz Andreas;;;;;;;;10.0
-;1;10.0;Inderwildi Daniel;;21;53.0;2;9.75;1;-0.25;8.75
o;5;18.75;Schär Simon;*;13;55.0;9;17.5;4;-1.25;8.5
-;10;27.25;Riesen Ruedi;;16;54.25;12;26.75;2;-0.5;8.75
+;12;36.0;Wüthrich Martin;;23;52.25;15;35.25;3;-0.75;10.0
o;10;46.0;Schneider Markus;*;12;55.25;13;45.25;3;-0.75;8.5

15d;Schumacher Michael;*;;;;;;;;;54.5
-;;;Probst Gabriel;**;;;;;;;8.75
o;4;8.75;Thoenen Henryc;**;6;56.75;5;8.5;1;-0.25;8.5
-;10;17.25;Moser Matthias;;13;55.0;6;18.5;-4;1.25;9.0
+;13;26.25;Brun Samuel (1999);;17;54.0;10;27.25;-3;1.0;9.75
o;12;36.0;Nyffeler Christoph;;12;55.25;8;37.0;-4;1.0;8.5
+;16;44.5;Fritz Andreas;;19;53.5;14;45.0;-2;0.5;10.0

16a;Hermann Oliver;;;;;;;;;;54.25
+;;;Büttler Adrian (1999);;;;;;;;10.0
o;1;10.0;Bader Andreas;*;11;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Nyffeler Christoph;;12;55.25;6;18.5;0;0.0;10.0
o;5;28.5;Probst Gabriel;**;13;55.0;8;27.75;3;-0.75;8.75
o;7;37.25;Schär Simon;*;13;55.0;10;36.5;3;-0.75;8.5
o;11;45.75;Strebel Joel (1997);*;9;56.0;9;46.25;-2;0.5;8.5

16b;von Arx Christian;*;;;;;;;;;54.25
+;;;Hügli Kaj (1997);*;;;;;;;9.75
o;2;9.75;Bieri Christoph;***;3;57.5;3;9.0;1;-0.75;8.5
+;7;18.25;Wilhelm Manuel;;14;54.75;3;19.5;-4;1.25;10.0
-;6;28.25;Klausner Yanick;**;9;56.0;9;27.5;3;-0.75;9.0
o;7;37.25;Kramer Franz;;5;57.0;6;37.5;-1;0.25;8.5
o;11;45.75;Vieira Tiago;**;11;55.5;11;45.75;0;0.0;8.5

16c;Küng Marco;;;;;;;;;;54.25
+;;;Studer Remo;;;;;;;;10.0
+;1;10.0;Hiltbrand Ron;;13;55.0;5;8.5;4;-1.5;9.75
o;2;19.75;Stüdeli Thomas;**;6;56.75;6;18.5;4;-1.25;8.75
o;5;28.5;Gottofrey Marc;*;10;55.75;9;27.5;4;-1.0;8.5
o;8;37.0;Bader Andreas;*;11;55.5;9;36.75;1;-0.25;8.75
o;11;45.75;Scherrer Johann;**;9;56.0;10;46.0;-1;0.25;8.5

16d;Fritz Christian;;;;;;;;;;54.25
o;;;Widmer Sandro;;;;;;;;8.5
-;5;8.5;Reinhard Adrian (1997);;20;53.25;5;8.5;0;0.0;8.75
o;10;17.25;Gabathuler Björn (1998);;18;53.75;8;17.75;-2;0.5;8.75
+;14;26.0;Mohler Fernando;;26;34.0;16;25.5;2;-0.5;10.0
o;12;36.0;Remy Guillaume;**;12;55.25;14;35.5;2;-0.5;8.5
+;16;44.5;Inderwildi Daniel;;21;53.0;16;44.5;0;0.0;9.75

16e;Reimann Marco (1998);;;;;;;;;;54.25
o;;;Nussbaumer Gabriel;;;;;;;;8.5
-;5;8.5;Brun Samuel (1999);;17;54.0;5;8.5;0;0.0;8.75
+;10;17.25;Mohler Fernando;;26;34.0;11;17.0;1;-0.25;10.0
o;10;27.25;Brand Christian;**;7;56.5;7;28.0;-3;0.75;8.5
-;13;35.75;Schaub Florent;;17;54.0;15;35.25;2;-0.5;8.75
+;16;44.5;Abt Robin (1997);;23;52.25;19;43.75;3;-0.75;9.75

16f;Riesen Ruedi;;;;;;;;;;54.25
+;;;Hiltbrand Ron;;;;;;;;9.75
o;2;9.75;Stoll Simon;;12;55.25;1;10.0;-1;0.25;8.5
o;7;18.25;Schneider Markus;*;12;55.25;11;17.0;4;-1.25;8.5
-;12;26.75;Wyss Patrick;;15;54.5;10;27.25;-2;0.5;9.0
+;13;35.75;Krebs Clemens;;19;53.5;12;36.0;-1;0.25;9.75
o;12;45.5;Probst Stefan;;12;55.25;12;45.5;0;0.0;8.75

16g;Widmer David;;;;;;;;;;54.25
+;;;Grossmann Andreas;;;;;;;;10.0
+;1;10.0;Schaub Florent;;17;54.0;2;9.75;1;-0.25;10.0
o;1;20.0;Schmid David;**;9;56.0;5;18.75;4;-1.25;8.5
o;5;28.5;Henzer Andreas;**;5;57.0;4;28.75;-1;0.25;8.5
o;8;37.0;Stoffel Marc;**;10;55.75;8;37.0;0;0.0;8.5
o;12;45.5;Stoll Simon;;12;55.25;12;45.5;0;0.0;8.75

16h;Schläpfer Matthias;*;;;;;;;;;54.25
-;;;Klausner Yanick;**;;;;;;;8.75
o;4;8.75;Strebel Joel (1997);*;9;56.0;3;9.0;-1;0.25;8.5
-;10;17.25;Leuthard Reto;;12;55.25;6;18.5;-4;1.25;8.75
+;14;26.0;Reinhard Adrian (1997);;20;53.25;10;27.25;-4;1.25;9.75
o;13;35.75;Büttler Adrian (1999);;13;55.0;9;36.75;-4;1.0;8.5
+;17;44.25;Steger Robert (1998);;18;53.75;13;45.25;-4;1.0;10.0

16i;Schlachter Lukas;*;;;;;;;;;54.25
o;;;Scherrer Johann;**;;;;;;;8.75
+;4;8.75;Kropf Marcel;**;17;54.0;4;8.75;0;0.0;9.75
-;6;18.5;Stegmüller Klemens;*;15;54.5;5;18.75;-1;0.25;9.0
+;9;27.5;Räber Lukas;;17;54.0;6;28.25;-3;0.75;9.75
o;7;37.25;Stalder Remo;***;5;57.0;6;37.5;-1;0.25;8.5
o;11;45.75;Hasler Manuel;;10;55.75;11;45.75;0;0.0;8.5

17a;Villiger Damian;*;;;;;;;;;54.0
o;;;Odermatt Christian;**;;;;;;;8.5
o;5;8.5;Waldner Patrick;**;7;56.5;5;8.5;0;0.0;8.5
+;11;17.0;Vetter Mike;;24;44.0;7;18.25;-4;1.25;9.75
-;12;26.75;Gabathuler Björn (1998);;18;53.75;8;27.75;-4;1.0;8.75
-;14;35.5;Nussbaumer Gabriel;;11;55.5;9;36.75;-5;1.25;8.75
+;17;44.25;Brun Samuel (1999);;17;54.0;12;45.5;-5;1.25;9.75

17b;Räber Lukas;;;;;;;;;;54.0
+;;;Wyss Cyrill;;;;;;;;10.0
+;1;10.0;Nussbaumer Gabriel;;11;55.5;2;9.75;1;-0.25;9.75
o;2;19.75;Bader Andreas;*;11;55.5;6;18.5;4;-1.25;8.5
o;6;28.25;Schlachter Lukas;*;16;54.25;9;27.5;3;-0.75;8.75
o;8;37.0;Thoenen Henryc;**;6;56.75;8;37.0;0;0.0;8.5
o;12;45.5;Leuthard Mario;;11;55.5;12;45.5;0;0.0;8.5

17c;Bieli Andreas;;;;;;;;;;54.0
+;;;Mohler Fernando;;;;;;;;10.0
o;1;10.0;Wilhelm Manuel;;14;54.75;2;9.75;1;-0.25;8.5
o;6;18.5;Leuthard Mario;;11;55.5;6;18.5;0;0.0;8.5
o;11;27.0;Burtschi Michael;;13;55.0;12;26.75;1;-0.25;8.5
+;14;35.5;Schöni Marc (1999);;23;52.25;15;35.25;1;-0.25;10.0
o;12;45.5;Hügli Kaj (1997);*;14;54.75;14;45.0;2;-0.5;8.5

17d;Büchi Christian;;;;;;;;;;54.0
+;;;Vetter Mike;;;;;;;;10.0
o;1;10.0;Hasler Manuel;;10;55.75;2;9.75;1;-0.25;8.5
o;6;18.5;Henzer Andreas;**;5;57.0;5;18.75;-1;0.25;8.5
+;11;27.0;Schaub Adrian (1999);;26;34.0;16;25.5;5;-1.5;10.0
o;8;37.0;Kocher Remo;**;13;55.0;10;36.5;2;-0.5;8.5
o;12;45.5;Kohler Adrian;;11;55.5;12;45.5;0;0.0;8.5

17e;Schaub Florent;;;;;;;;;;54.0
+;;;Rüegger Aaron (1999);;;;;;;;9.75
o;2;9.75;Widmer David;;16;54.25;1;10.0;-1;0.25;8.5
o;7;18.25;Studinger Mathias;**;11;55.5;10;17.25;3;-1.0;8.5
o;12;26.75;Widmer Sandro;;18;53.75;11;27.0;-1;0.25;8.5
-;15;35.25;Reimann Marco (1998);;16;54.25;13;35.75;-2;0.5;8.75
+;18;44.0;Schöni Marc (1999);;23;52.25;19;43.75;1;-0.25;10.0

17f;Brun Samuel (1999);;;;;;;;;;54.0
o;;;Döbeli Andreas (1998);;;;;;;;8.5
-;5;8.5;Reimann Marco (1998);;16;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Schöni Marc (1999);;23;52.25;11;17.0;1;-0.25;10.0
o;10;27.25;Schumacher Michael;*;15;54.5;13;26.25;3;-1.0;8.5
+;13;35.75;Peronino Mario;;22;52.5;15;35.25;2;-0.5;9.75
o;12;45.5;Villiger Damian;*;17;54.0;17;44.25;5;-1.25;8.5

17g;Wilhelm Hannes;*;;;;;;;;;54.0
-;;;Gschwind Michael;**;;;;;;;8.75
o;4;8.75;Furter Reto;**;11;55.5;4;8.75;0;0.0;8.5
+;10;17.25;Burtschi Michael;;13;55.0;7;18.25;-3;1.0;10.0
+;10;27.25;Stoll Simon;;12;55.25;5;28.5;-5;1.25;9.75
o;8;37.0;Erb Roger;**;9;56.0;7;37.25;-1;0.25;8.5
o;12;45.5;Studinger Mathias;**;11;55.5;11;45.75;-1;0.25;8.5

17h;Kropf Marcel;**;;;;;;;;;54.0
-;;;Vieira Tiago;**;;;;;;;8.75
o;4;8.75;Schlachter Lukas;*;16;54.25;4;8.75;0;0.0;8.5
+;10;17.25;Widmer Sandro;;18;53.75;6;18.5;-4;1.25;9.75
+;11;27.0;Mangold Martin;;14;54.75;9;27.5;-2;0.5;10.0
o;8;37.0;Winiger Fabian;**;11;55.5;8;37.0;0;0.0;8.5
o;12;45.5;Remy Guillaume;**;12;55.25;12;45.5;0;0.0;8.5

18a;Studer Remo;;;;;;;;;;53.75
o;;;Küng Marco;;;;;;;;8.5
o;5;8.5;Leuthard Mario;;11;55.5;4;8.75;-1;0.25;8.5
+;11;17.0;Stich Yannick (1997);;25;34.25;11;17.0;0;0.0;10.0
o;11;27.0;Lehmann Nicola;*;13;55.0;11;27.0;0;0.0;8.5
o;14;35.5;Wilhelm Manuel;;14;54.75;10;36.5;-4;1.0;8.5
+;18;44.0;Treier Tobias (1998);;23;52.25;19;43.75;1;-0.25;9.75

18b;Rüegger Aaron (1999);;;;;;;;;;53.75
o;;;Schaub Florent;;;;;;;;8.5
+;5;8.5;Stich Yannick (1997);;25;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Schaub Adrian (1999);;26;34.0;11;17.0;4;-1.25;10.0
o;6;28.25;Voggensperger Janic (1998);*;10;55.75;9;27.5;3;-0.75;8.5
o;9;36.75;Waldner Patrick;**;7;56.5;9;36.75;0;0.0;8.5
o;13;45.25;Nussbaumer Gabriel;;11;55.5;12;45.5;-1;0.25;8.5

18c;Widmer Sandro;;;;;;;;;;53.75
+;;;Fritz Christian;;;;;;;;9.75
-;2;9.75;Brügger Cyrill (1998);;12;55.25;1;10.0;-1;0.25;8.75
o;6;18.5;Kropf Marcel;**;17;54.0;10;17.25;4;-1.25;8.5
+;11;27.0;Schaub Florent;;17;54.0;12;26.75;1;-0.25;9.75
o;9;36.75;Lang Martin;**;10;55.75;13;35.75;4;-1.0;8.5
o;13;45.25;Leuthard Reto;;12;55.25;12;45.5;-1;0.25;8.5

18d;Gabathuler Björn (1998);;;;;;;;;;53.75
-;;;Furrer Mathias;;;;;;;;9.0
o;3;9.0;Dobler Florian;;15;54.5;4;8.75;1;-0.25;8.75
+;8;17.75;Fritz Christian;;16;54.25;10;17.25;2;-0.5;10.0
-;8;27.75;Villiger Damian;*;17;54.0;12;26.75;4;-1.0;8.75
o;10;36.5;Widmer Tobias;*;13;55.0;9;36.75;-1;0.25;8.5
o;14;45.0;Mangold Martin;;14;54.75;14;45.0;0;0.0;8.75

18e;Müller Christian (1998);;;;;;;;;;53.75
+;;;Schaub Adrian (1999);;;;;;;;9.75
o;2;9.75;Hasler Simon;;14;54.75;2;9.75;0;0.0;8.5
+;7;18.25;Abt Robin (1997);;23;52.25;11;17.0;4;-1.25;10.0
o;6;28.25;Scherrer Johann;**;9;56.0;10;27.25;4;-1.0;8.5
o;9;36.75;Moser Matthias;;13;55.0;10;36.5;1;-0.25;8.5
o;13;45.25;Hiltbrand Ron;;13;55.0;13;45.25;0;0.0;8.5

18f;Regenass Beat;;;;;;;;;;53.75
o;;;Wilhelm Manuel;;;;;;;;8.5
+;5;8.5;Furrer Mathias;;20;53.25;3;9.0;-2;0.5;9.75
o;7;18.25;Hügli Kaj (1997);*;14;54.75;9;17.5;2;-0.75;8.5
o;12;26.75;Leuthard Reto;;12;55.25;10;27.25;-2;0.5;8.5
-;15;35.25;Inderwildi Daniel;;21;53.0;13;35.75;-2;0.5;8.75
+;18;44.0;Wüthrich Martin;;23;52.25;19;43.75;1;-0.25;9.75

18g;Lehmann Robin (1999);;;;;;;;;;53.75
o;;;Krebs Clemens;;;;;;;;8.5
+;5;8.5;Wyss Cyrill;;26;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Burkhardt Roy;;26;34.0;11;17.0;4;-1.25;9.75
o;7;28.0;Hauri Urs;**;12;55.25;12;26.75;5;-1.25;8.5
o;10;36.5;Schneider Markus;*;12;55.25;15;35.25;5;-1.25;8.5
o;14;45.0;Burtschi Michael;;13;55.0;14;45.0;0;0.0;8.75

18h;Grossmann Andreas;;;;;;;;;;53.75
o;;;Widmer David;;;;;;;;8.5
o;5;8.5;Vetter Mike;;24;44.0;5;8.5;0;0.0;8.5
+;11;17.0;Furrer Mathias;;20;53.25;8;17.75;-3;0.75;9.75
o;12;26.75;Remy Guillaume;**;12;55.25;16;25.5;4;-1.25;8.5
o;15;35.25;Hasler Simon;;14;54.75;10;36.5;-5;1.25;8.5
+;19;43.75;Peronino Mario;;22;52.5;18;44.0;-1;0.25;10.0

18i;Steger Robert (1998);;;;;;;;;;53.75
o;;;Probst Stefan;;;;;;;;8.5
o;5;8.5;Burtschi Michael;;13;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Hiltbrand Ron;;13;55.0;11;17.0;0;0.0;8.5
+;16;25.5;Stich Yannick (1997);;25;34.25;16;25.5;0;0.0;10.0
+;14;35.5;Abt Robin (1997);;23;52.25;15;35.25;1;-0.25;9.75
o;13;45.25;Schläpfer Matthias;*;16;54.25;17;44.25;4;-1.0;8.5

19a;Fritz Andreas;;;;;;;;;;53.5
o;;;Wyss Patrick;;;;;;;;8.5
o;5;8.5;Kramer Franz;;5;57.0;4;8.75;-1;0.25;8.5
o;11;17.0;Reinhard Adrian (1997);;20;53.25;10;17.25;-1;0.25;8.5
+;16;25.5;Wüthrich Martin;;23;52.25;12;26.75;-4;1.25;9.75
+;15;35.25;Treier Tobias (1998);;23;52.25;15;35.25;0;0.0;9.75
o;14;45.0;Schumacher Michael;*;15;54.5;16;44.5;2;-0.5;8.5

19b;Krebs Clemens;;;;;;;;;;53.5
+;;;Lehmann Robin (1999);;;;;;;;10.0
-;1;10.0;Mangold Martin;;14;54.75;2;9.75;1;-0.25;9.0
o;4;19.0;Klausner Yanick;**;9;56.0;8;17.75;4;-1.25;8.5
o;9;27.5;Stegmüller Klemens;*;15;54.5;8;27.75;-1;0.25;8.5
o;12;36.0;Riesen Ruedi;;16;54.25;13;35.75;1;-0.25;8.5
-;16;44.5;Reinhard Adrian (1997);;20;53.25;17;44.25;1;-0.25;9.0

20a;Furrer Mathias;;;;;;;;;;53.25
-;;;Gabathuler Björn (1998);;;;;;;;9.0
o;3;9.0;Regenass Beat;;18;53.75;5;8.5;2;-0.5;8.75
o;8;17.75;Grossmann Andreas;;18;53.75;11;17.0;3;-0.75;8.5
+;13;26.25;Burkhardt Roy;;26;34.0;16;25.5;3;-0.75;10.0
o;11;36.25;Haenni Stéphane;**;12;55.25;14;35.5;3;-0.75;8.5
o;15;44.75;Dobler Florian;;15;54.5;15;44.75;0;0.0;8.5

20b;Reinhard Adrian (1997);;;;;;;;;;53.25
o;;;Moser Matthias;;;;;;;;8.5
-;5;8.5;Fritz Christian;;16;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Fritz Andreas;;19;53.5;11;17.0;1;-0.25;10.0
o;10;27.25;Schläpfer Matthias;*;16;54.25;14;26.0;4;-1.25;8.5
o;13;35.75;Hiltbrand Ron;;13;55.0;14;35.5;1;-0.25;8.5
-;17;44.25;Krebs Clemens;;19;53.5;16;44.5;-1;0.25;9.0

21a;Inderwildi Daniel;;;;;;;;;;53.0
+;;;Stich Yannick (1997);;;;;;;;9.75
-;2;9.75;Wyss Patrick;;15;54.5;1;10.0;-1;0.25;8.75
o;6;18.5;Widmer Tobias;*;13;55.0;8;17.75;2;-0.75;8.5
-;11;27.0;Dobler Florian;;15;54.5;10;27.25;-1;0.25;8.75
-;13;35.75;Regenass Beat;;18;53.75;15;35.25;2;-0.5;8.75
o;16;44.5;Fritz Christian;;16;54.25;16;44.5;0;0.0;8.5

22a;Peronino Mario;;;;;;;;;;52.5
o;;;Stoll Simon;;;;;;;;8.5
+;5;8.5;Burkhardt Roy;;26;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Probst Gabriel;**;13;55.0;8;17.75;1;-0.5;8.5
o;12;26.75;Nyffeler Christoph;;12;55.25;11;27.0;-1;0.25;8.5
o;15;35.25;Brun Samuel (1999);;17;54.0;13;35.75;-2;0.5;8.75
o;18;44.0;Grossmann Andreas;;18;53.75;19;43.75;1;-0.25;8.5

23a;Wüthrich Martin;;;;;;;;;;52.25
+;;;Abt Robin (1997);;;;;;;;9.75
o;2;9.75;Probst Stefan;;12;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Brügger Cyrill (1998);;12;55.25;5;18.75;-2;0.5;8.5
o;12;26.75;Fritz Andreas;;19;53.5;16;25.5;4;-1.25;8.5
o;15;35.25;Wyss Patrick;;15;54.5;12;36.0;-3;0.75;8.5
o;19;43.75;Regenass Beat;;18;53.75;18;44.0;-1;0.25;8.5

23b;Treier Tobias (1998);;;;;;;;;;52.25
o;;;Brügger Cyrill (1998);;;;;;;;8.5
+;5;8.5;Mohler Fernando;;26;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Kohler Adrian;;11;55.5;6;18.5;-1;0.25;8.5
o;12;26.75;Abt Robin (1997);;23;52.25;16;25.5;4;-1.25;8.5
o;15;35.25;Fritz Andreas;;19;53.5;15;35.25;0;0.0;8.5
o;19;43.75;Studer Remo;;18;53.75;18;44.0;-1;0.25;8.5

23c;Schöni Marc (1999);;;;;;;;;;52.25
o;;;Hasler Simon;;;;;;;;8.5
o;5;8.5;Nyffeler Christoph;;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Brun Samuel (1999);;17;54.0;10;17.25;-1;0.25;8.5
+;16;25.5;Wyss Cyrill;;26;34.0;16;25.5;0;0.0;9.75
o;15;35.25;Bieli Andreas;;17;54.0;14;35.5;-1;0.25;8.5
o;19;43.75;Schaub Florent;;17;54.0;18;44.0;-1;0.25;8.5

23d;Abt Robin (1997);;;;;;;;;;52.25
o;;;Wüthrich Martin;;;;;;;;8.5
o;5;8.5;Kohler Adrian;;11;55.5;4;8.75;-1;0.25;8.5
o;11;17.0;Müller Christian (1998);;18;53.75;7;18.25;-4;1.25;8.5
+;16;25.5;Treier Tobias (1998);;23;52.25;12;26.75;-4;1.25;9.75
o;15;35.25;Steger Robert (1998);;18;53.75;14;35.5;-1;0.25;8.5
o;19;43.75;Reimann Marco (1998);;16;54.25;16;44.5;-3;0.75;8.5

24a;Vetter Mike;;;;;;;;;;44.0
o;;;Büchi Christian;;;;;;;;8.5
+;5;8.5;Grossmann Andreas;;18;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Villiger Damian;*;17;54.0;11;17.0;4;-1.25;8.5
o;12;26.75;Haenni Stéphane;**;12;55.25;16;25.5;4;-1.25;8.5
-;15;35.25;Mangold Martin;;14;54.75;12;36.0;-3;0.75;8.75

25a;Stich Yannick (1997);;;;;;;;;;34.25
o;;;Inderwildi Daniel;;;;;;;;8.5
o;5;8.5;Rüegger Aaron (1999);;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Studer Remo;;18;53.75;11;17.0;0;0.0;8.5
o;16;25.5;Steger Robert (1998);;18;53.75;16;25.5;0;0.0;8.75

26a;Schaub Adrian (1999);;;;;;;;;;34.0
o;;;Müller Christian (1998);;;;;;;;8.5
o;5;8.5;Büttler Adrian (1999);;13;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Rüegger Aaron (1999);;18;53.75;7;18.25;-4;1.25;8.5
o;16;25.5;Büchi Christian;;17;54.0;11;27.0;-5;1.5;8.5

26b;Mohler Fernando;;;;;;;;;;34.0
