4845-2021-07-11_Rigi_Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;59.25
+;;;Doppmann Urs;**;;;;;;;10.0
+;1;10.0;Reichmuth Marco;**;7;56.25;2;9.75;1;-0.25;9.75
+;2;19.75;Räbmatter Patrick;***;4;57.0;1;20.0;-1;0.25;9.75
+;2;29.5;Müllestein Mike;***;3;57.25;1;29.75;-1;0.25;10.0
+;1;39.5;Lang Sven;**;6;56.5;4;38.25;3;-1.25;9.75
+;1;49.25;Müllestein Mike;***;3;57.25;2;48.5;1;-0.75;10.0

2a;Schlegel Werner;**;;;;;;;;;58.25
+;;;Lang Sven;**;;;;;;;10.0
+;1;10.0;Burch Jonas;*;6;56.5;1;10.0;0;0.0;10.0
o;1;20.0;Müllestein Mike;***;3;57.25;1;20.0;0;0.0;8.75
+;4;28.75;Zürcher Ueli;*;13;54.5;4;28.75;0;0.0;10.0
+;2;38.75;Räbmatter Patrick;***;4;57.0;3;38.5;1;-0.25;9.75
+;2;48.5;Reichmuth Marco;**;7;56.25;3;47.75;1;-0.75;9.75

3a;Müllestein Mike;***;;;;;;;;;57.25
+;;;Oettli Marco;**;;;;;;;10.0
+;1;10.0;Schmid Samuel;**;13;54.5;1;10.0;0;0.0;10.0
+;1;20.0;Schlegel Werner;**;2;58.25;1;20.0;0;0.0;9.75
o;1;29.75;Giger Samuel;***;1;59.25;2;29.5;1;-0.25;8.75
+;3;38.5;Doppmann Urs;**;5;56.75;4;38.25;1;-0.25;10.0
o;2;48.5;Giger Samuel;***;1;59.25;1;49.25;-1;0.75;8.75

4a;Räbmatter Patrick;***;;;;;;;;;57.0
+;;;Portmann Josef;**;;;;;;;10.0
+;1;10.0;Odermatt Christian;**;9;55.5;2;9.75;1;-0.25;10.0
o;1;20.0;Giger Samuel;***;1;59.25;2;19.75;1;-0.25;8.5
+;5;28.5;Lemmenmeier Lukas;*;10;55.25;5;28.5;0;0.0;10.0
o;3;38.5;Schlegel Werner;**;2;58.25;2;38.75;-1;0.25;8.5
+;6;47.0;Reichmuth Roland;*;9;55.5;6;47.0;0;0.0;10.0

5a;Doppmann Urs;**;;;;;;;;;56.75
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Mangold Martin;*;30;34.0;5;8.5;0;0.0;9.75
+;5;18.25;Nägeli Marco;**;15;54.0;4;18.5;-1;0.25;10.0
+;6;28.25;Stoll Simon;**;7;56.25;3;29.0;-3;0.75;10.0
o;4;38.25;Müllestein Mike;***;3;57.25;3;38.5;-1;0.25;8.5
+;7;46.75;Schmutz Simon;*;12;54.75;9;46.25;2;-0.5;10.0

5b;Arnold Stefan;**;;;;;;;;;56.75
-;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Scherer Niklaus;**;11;55.0;5;8.5;1;-0.25;9.75
+;4;18.5;Rüegger Aaron;*;13;54.5;5;18.25;1;-0.25;10.0
-;5;28.5;Schmid Samuel;**;13;54.5;5;28.5;0;0.0;8.75
+;8;37.25;Oettli Marco;**;12;54.75;9;37.0;1;-0.25;9.75
+;6;47.0;Lemmenmeier Lukas;*;10;55.25;7;46.75;1;-0.25;9.75

6a;Lang Sven;**;;;;;;;;;56.5
o;;;Schlegel Werner;**;;;;;;;8.75
+;4;8.75;Schmutz Simon;*;12;54.75;2;9.75;-2;1.0;9.75
+;4;18.5;Dändliker Shane;**;8;55.75;4;18.5;0;0.0;10.0
+;5;28.5;Bernold Christian;**;7;56.25;4;28.75;-1;0.25;9.75
o;4;38.25;Giger Samuel;***;1;59.25;1;39.5;-3;1.25;8.5
+;7;46.75;Hermann Oliver;**;11;55.0;8;46.5;1;-0.25;9.75

6b;Burch Jonas;*;;;;;;;;;56.5
+;;;Mangold Martin;*;;;;;;;10.0
o;1;10.0;Schlegel Werner;**;2;58.25;1;10.0;0;0.0;8.75
+;3;18.75;Schäppi Urs;*;11;55.0;4;18.5;1;-0.25;10.0
-;4;28.75;Döbeli Andreas;***;12;54.75;6;28.25;2;-0.5;9.0
+;6;37.75;Dändliker Shane;**;8;55.75;9;37.0;3;-0.75;10.0
-;3;47.75;Bürli Roger;**;7;56.25;4;47.5;1;-0.25;8.75

6c;Heiniger Marco;**;;;;;;;;;56.5
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Gartmann Mauro;**;27;34.75;5;8.5;1;-0.25;9.75
-;4;18.5;Burkhalter Stefan;***;13;54.5;8;17.5;4;-1.0;8.75
+;10;27.25;Schäppi Urs;*;11;55.0;11;27.0;1;-0.25;9.75
+;9;37.0;Schmid Samuel;**;13;54.5;8;37.25;-1;0.25;9.75
+;7;46.75;Odermatt Christian;**;9;55.5;6;47.0;-1;0.25;9.75

6d;Vogel Remo;**;;;;;;;;;56.5
-;;;Brand Christian;**;;;;;;;8.75
+;4;8.75;Stüdeli Thomas;**;26;35.0;4;8.75;0;0.0;10.0
-;3;18.75;Stoll Simon;**;7;56.25;1;20.0;-2;1.25;9.0
+;8;27.75;Gerber Andrj;*;13;54.5;9;27.5;1;-0.25;10.0
+;6;37.75;Döbeli Andreas;***;12;54.75;8;37.25;2;-0.5;10.0
-;3;47.75;Hügli Kaj;**;7;56.25;5;47.25;2;-0.5;8.75

6e;Schöpfer Ronny;**;;;;;;;;;56.5
+;;;Erb Roger;**;;;;;;;10.0
+;1;10.0;Leuthard Reto;**;15;54.0;2;9.75;1;-0.25;9.75
o;2;19.75;Döbeli Andreas;***;12;54.75;4;18.5;2;-1.25;8.5
+;6;28.25;Schmutz Simon;*;12;54.75;7;28.0;1;-0.25;9.75
o;5;38.0;Reichmuth Marco;**;7;56.25;5;38.0;0;0.0;8.75
+;7;46.75;Stoll Simon;**;7;56.25;4;47.5;-3;0.75;9.75

7a;Ulrich Marco;**;;;;;;;;;56.25
o;;;Schmid Samuel;**;;;;;;;8.5
+;5;8.5;Bernold Edi;**;30;34.0;5;8.5;0;0.0;10.0
-;4;18.5;Notz Beni;***;22;45.0;8;17.5;4;-1.0;9.0
-;9;27.5;Riget Florian;*;18;53.25;11;27.0;2;-0.5;9.0
+;11;36.5;Leuthard Reto;**;15;54.0;11;36.5;0;0.0;10.0
+;8;46.5;Graber Michael;*;9;55.5;6;47.0;-2;0.5;9.75

7b;Reichmuth Marco;**;;;;;;;;;56.25
+;;;Dändliker Shane;**;;;;;;;9.75
o;2;9.75;Giger Samuel;***;1;59.25;1;10.0;-1;0.25;8.5
+;5;18.25;Leuthard Reto;**;15;54.0;5;18.25;0;0.0;9.75
+;7;28.0;Schmid Dominik;**;9;55.5;5;28.5;-2;0.5;10.0
+;5;38.0;Schöpfer Ronny;**;6;56.5;5;38.0;0;0.0;9.75
o;3;47.75;Schlegel Werner;**;2;58.25;2;48.5;-1;0.75;8.5

7c;Hügli Kaj;**;;;;;;;;;56.25
-;;;Kälin Roland;**;;;;;;;8.75
-;4;8.75;Bürgi Reto;*;18;53.25;2;9.75;-2;1.0;8.75
+;8;17.5;Effinger Markus;*;28;34.5;8;17.5;0;0.0;10.0
+;9;27.5;Hess Michael;*;19;53.0;9;27.5;0;0.0;9.75
+;8;37.25;Scherer Niklaus;**;11;55.0;10;36.75;2;-0.5;10.0
-;5;47.25;Vogel Remo;**;6;56.5;3;47.75;-2;0.5;9.0

7d;Stoll Simon;**;;;;;;;;;56.25
+;;;Odermatt Andreas;**;;;;;;;10.0
+;1;10.0;Graber Michael;*;9;55.5;2;9.75;1;-0.25;10.0
-;1;20.0;Vogel Remo;**;6;56.5;3;18.75;2;-1.25;9.0
o;3;29.0;Doppmann Urs;**;5;56.75;6;28.25;3;-0.75;8.5
+;7;37.5;Zürcher Ueli;*;13;54.5;8;37.25;1;-0.25;10.0
o;4;47.5;Schöpfer Ronny;**;6;56.5;7;46.75;3;-0.75;8.75

7e;Bürli Roger;**;;;;;;;;;56.25
-;;;Geisser Lars;**;;;;;;;8.75
-;4;8.75;Bernold Christian;**;7;56.25;2;9.75;-2;1.0;9.0
