4094-2018-04-22_99_Zuger_Kantonales_Schwingfest-ST

1a;Grab Martin;***;;;;;;;;;59.25
+;1;20.0;Nietlispach Pascal;**;7;56.75;6;18.5;5;-1.5;9.75
-;1;29.75;Vogel Remo;**;9;56.25;4;28.5;3;-1.25;9.0
o;2;38.75;Fankhauser Marco;**;6;57.0;8;37.25;6;-1.5;8.5
+;7;47.25;Bachmann Adrian;;15;54.75;12;46.0;5;-1.25;9.75

6d;Baumann Roger;*;;;;;;;;;57.0
o;;;Schuler Philipp;**;;;;;;;8.5
o;5;8.5;Betschart Patrick;*;12;55.5;5;8.5;0;0.0;8.75
+;10;17.25;Reichlin Reto (2002);;26;35.5;6;18.5;-4;1.25;10.0
+;9;27.25;Hürlimann Mathias (2000);;14;55.0;6;28.0;-3;0.75;9.75
+;9;37.0;Kennel Beat;*;12;55.5;9;37.0;0;0.0;10.0
+;8;47.0;Ottiger Lukas;;13;55.25;10;46.5;2;-0.5;10.0

6e;Reichmuth Armin;*;;;;;;;;;57.0
+;;;Hofmann Florian;**;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;6;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Wigger Simon;;17;54.25;1;20.0;-5;1.5;10.0
+;4;28.5;Blaser Theo;*;15;54.75;4;28.5;0;0.0;10.0
o;3;38.5;von Ah Benji;***;6;57.0;4;38.25;1;-0.25;8.5
+;8;47.0;Schmid Simon (2000);;12;55.5;8;47.0;0;0.0;10.0

6f;Schurtenberger Sven;***;;;;;;;;;57.0
-;;;Nötzli Reto;***;;;;;;;8.75
+;4;8.75;Reichmuth Armin;*;6;57.0;1;10.0;-3;1.25;9.75
+;6;18.5;Zemp Thomas;*;23;47.25;5;18.75;-1;0.25;10.0
o;4;28.5;Grab Martin;***;1;59.25;2;29.5;-2;1.0;8.5
+;9;37.0;Arnold Andreas;*;9;56.25;5;38.0;-4;1.0;10.0
+;8;47.0;Kälin Remo;*;16;54.5;12;46.0;4;-1.0;10.0

6g;Rohrer Ivan;**;;;;;;;;;57.0
-;;;Muff André;*;;;;;;;8.75
-;4;8.75;Kälin Remo;*;16;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Von Euw Adi;;18;54.0;6;18.5;-3;1.0;10.0
+;8;27.5;Lang Julian;;16;54.5;3;28.75;-5;1.25;9.75
+;8;37.25;Bucher Roland;*;12;55.5;8;37.25;0;0.0;9.75
+;8;47.0;Hofmann Florian;**;15;54.75;11;46.25;3;-0.75;10.0

6h;Fankhauser Marco;**;;;;;;;;;57.0
-;;;Höfliger Andreas;**;;;;;;;8.75
+;4;8.75;Fessler Linus;**;16;54.5;4;8.75;0;0.0;10.0
+;5;18.75;Baumann Lukas;;14;55.0;2;19.75;-3;1.0;10.0
o;3;28.75;Müllestein Mike;***;2;58.5;3;28.75;0;0.0;8.5
+;8;37.25;Reichmuth Lukas (2000);;6;57.0;2;38.75;-6;1.5;9.75
+;8;47.0;Durrer Lukas;;13;55.25;9;46.75;1;-0.25;10.0

