4094-2018-04-22_99_Zuger_Kantonales_Schwingfest-ST

1a;Grab Martin;***;;;;;;;;;59.25
-;9;37.0;Bieri Christian;**;11;55.75;9;37.0;0;0.0;8.75
+;13;45.75;Staub Devin;;16;54.5;13;45.75;0;0.0;9.75

12f;Kennel Beat;*;;;;;;;;;55.5
-;;;Bieri Christian;**;;;;;;;8.75
o;4;8.75;Baumann Lukas;;14;55.0;2;9.75;-2;1.0;8.5
+;10;17.25;von Flüe Michael;;26;35.5;6;18.5;-4;1.25;9.75
+;10;27.0;Fessler Linus;**;16;54.5;10;27.0;0;0.0;10.0
o;9;37.0;Baumann Roger;*;6;57.0;9;37.0;0;0.0;8.75
+;13;45.75;Durrer Markus;;17;54.25;13;45.75;0;0.0;9.75

12g;Gisler Stefan;;;;;;;;;;55.5
-;;;Betschart Daniel;;;;;;;;8.75
+;4;8.75;Hürlimann Adrian (2002);;30;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Herger Fabian;*;13;55.25;9;17.5;4;-1.25;8.5
+;9;27.25;von Euw Lukas (2002);;26;35.5;10;27.0;1;-0.25;9.75
o;9;37.0;Fessler Linus;**;16;54.5;14;35.75;5;-1.25;8.5
+;14;45.5;Schmid Pius;;21;53.0;18;44.5;4;-1.0;10.0
o;12;55.5;Linggi Bruno;**;9;56.25;9;56.25;-3;0.75;0.0

12h;Arnold Stefan;**;;;;;;;;;55.5
-;;;Hasler Florian;**;;;;;;;8.75
-;4;8.75;Gwerder Carlo;**;15;54.75;4;8.75;0;0.0;8.75
+;9;17.5;Supper Frederik;;16;54.5;6;18.5;-3;1.0;9.75
+;9;27.25;Rüttimann Daniel;;22;52.75;9;27.25;0;0.0;10.0
+;8;37.25;Hess Michael;*;15;54.75;8;37.25;0;0.0;9.75
o;8;47.0;Fässler Dominic;**;9;56.25;11;46.25;3;-0.75;8.5

12i;Nötzli Reto;***;;;;;;;;;55.5
-;;;Schurtenberger Sven;***;;;;;;;8.75
o;4;8.75;Ettlin Stefan;*;4;58.0;1;10.0;-3;1.25;8.5
+;10;17.25;Odermatt Andreas;*;13;55.25;6;18.5;-4;1.25;10.0
o;9;27.25;Nietlispach Pascal;**;7;56.75;9;27.25;0;0.0;8.5
+;14;35.75;Ming Christian;*;13;55.25;9;37.0;-5;1.25;10.0
+;13;45.75;Weiss Roman;*;17;54.25;13;45.75;0;0.0;9.75

12j;Bucher Roland;*;;;;;;;;;55.5
-;;;Heinzer Ronny;*;;;;;;;8.75
-;4;8.75;Herger Fabian;*;13;55.25;4;8.75;0;0.0;8.75
+;9;17.5;Suter Bruno (2002);;13;55.25;6;18.5;-3;1.0;10.0
+;8;27.5;Lagler Christian;;12;55.5;4;28.5;-4;1.0;9.75
o;8;37.25;Rohrer Ivan;**;6;57.0;8;37.25;0;0.0;8.5
+;13;45.75;Fessler Linus;**;16;54.5;13;45.75;0;0.0;9.75

12k;Betschart Patrick;*;;;;;;;;;55.5
o;;;Zurfluh Michael;*;;;;;;;8.5
+;5;8.5;Baumann Roger;*;6;57.0;5;8.5;0;0.0;10.0
+;6;18.5;Durrer Markus;;17;54.25;4;19.0;-2;0.5;9.75
o;5;28.25;Niederberger Markus;*;11;55.75;5;28.25;0;0.0;8.5
+;10;36.75;Gisler Noah (2002);;18;54.0;9;37.0;-1;0.25;10.0
o;9;46.75;Scherer Niklaus;;6;57.0;8;47.0;-1;0.25;8.75

12l;Schmid Simon (2000);;;;;;;;;;55.5
-;;;Bär Leo;;;;;;;;8.75
+;4;8.75;Klauser Nico;;26;35.5;4;8.75;0;0.0;9.75
-;6;18.5;Rohrer Beat;*;32;26.0;10;17.25;4;-1.25;8.75
+;9;27.25;Ulrich Pascal;;18;54.0;9;27.25;0;0.0;9.75
+;9;37.0;Hürlimann Mathias (2000);;14;55.0;11;36.5;2;-0.5;10.0
o;8;47.0;Reichmuth Armin;*;6;57.0;8;47.0;0;0.0;8.5

12m;Zimmermann Reto;;;;;;;;;;55.5
o;;;Lagler Christian;;;;;;;;8.75
+;4;8.75;Baumann Reto;;26;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Gerber Peter;*;12;55.5;11;17.0;5;-1.5;8.5
+;10;27.0;von Flüe Michael;;26;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Ambühl Joel;*;10;56.0;8;37.25;-1;0.25;8.5
+;14;45.5;Wigger Simon;;17;54.25;14;45.5;0;0.0;10.0

13a;Durrer Lukas;;;;;;;;;;55.25
+;;;Rogenmoser Linus (2002);;;;;;;;9.75
o;2;9.75;Wicki David;;11;55.75;4;8.75;2;-1.0;8.75
o;6;18.5;Henzer Andreas;**;16;54.5;10;17.25;4;-1.25;8.5
+;10;27.0;Suter Lukas (2002);;28;34.75;13;26.25;3;-0.75;9.75
+;10;36.75;Blattmann Jonas;;21;53.0;13;36.0;3;-0.75;10.0
o;9;46.75;Fankhauser Marco;**;6;57.0;8;47.0;-1;0.25;8.5

13b;Ottiger Lukas;;;;;;;;;;55.25
+;;;Staub Ivan;;;;;;;;9.75
o;2;9.75;Brun Samuel;**;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Blumenthal Lino (2002);;26;35.5;6;18.5;-1;0.25;10.0
o;5;28.25;Waser Dominik;**;7;56.75;6;28.0;1;-0.25;8.5
+;10;36.75;Wallimann Remo;;14;55.0;11;36.5;1;-0.25;9.75
o;10;46.5;Baumann Roger;*;6;57.0;8;47.0;-2;0.5;8.75

13c;Achermann Christoph;*;;;;;;;;;55.25
o;;;Streiff Dominik;*;;;;;;;8.5
o;5;8.5;Zemp Thomas;*;23;47.25;4;8.75;-1;0.25;8.5
+;11;17.0;Odermatt Sepp;;11;55.75;6;18.5;-5;1.5;10.0
+;10;27.0;Betschart Michael;;18;54.0;9;27.25;-1;0.25;9.75
+;10;36.75;Briker Hannes;;19;53.75;10;36.75;0;0.0;10.0
o;9;46.75;Hasler Florian;**;5;57.25;7;47.25;-2;0.5;8.5

13d;Hess Dominik;*;;;;;;;;;55.25
-;;;Hösli Fritz;*;;;;;;;8.75
-;4;8.75;Bucher Thomas;;10;56.0;2;9.75;-2;1.0;9.0
+;8;17.75;Betschart Michael;;18;54.0;5;18.75;-3;1.0;9.75
-;8;27.5;Suter Beat;;15;54.75;5;28.25;-3;0.75;9.0
-;11;36.5;Portmann Fabian;;17;54.25;11;36.5;0;0.0;9.0
+;14;45.5;Ulrich Marcel;;19;53.75;15;45.25;1;-0.25;9.75

13e;Bürgi Reto;*;;;;;;;;;55.25
o;;;Blaser Theo;*;;;;;;;8.5
o;5;8.5;Bieri Christian;**;11;55.75;4;8.75;-1;0.25;8.5
+;11;17.0;Föhn Christian (2002);;26;35.5;7;18.25;-4;1.25;9.75
+;11;26.75;Staub Ivan;;26;35.5;10;27.0;-1;0.25;9.75
-;11;36.5;Elmiger Matthias;;16;54.5;9;37.0;-2;0.5;9.0
+;14;45.5;Meier Andreas;;21;53.0;18;44.5;4;-1.0;9.75

13f;Graber Sandro;;;;;;;;;;55.25
-;;;Steiner Severin (2001);;;;;;;;8.75
+;4;8.75;Meier Marcel;;20;53.25;4;8.75;0;0.0;9.75
o;6;18.5;Kammermann Christoph;*;16;54.5;10;17.25;4;-1.25;8.75
+;9;27.25;Betschart Daniel;;16;54.5;8;27.5;-1;0.25;9.75
o;9;37.0;Kälin Remo;*;16;54.5;12;36.25;3;-0.75;8.5
+;14;45.5;Von Euw Adi;;18;54.0;14;45.5;0;0.0;9.75

13g;Bucher André (2001);;;;;;;;;;55.25
+;;;Fischlin Livio (2002);;;;;;;;9.75
+;2;9.75;Blumenthal Lino (2002);;26;35.5;1;10.0;-1;0.25;9.75
o;3;19.5;Ambühl Joel;*;10;56.0;5;18.75;2;-0.75;8.5
o;6;28.0;Heinzer Ronny;*;14;55.0;8;27.5;2;-0.5;8.5
-;11;36.5;Birchler Fabian (2000);;16;54.5;14;35.75;3;-0.75;9.0
+;14;45.5;Odermatt Lars (2002);;21;53.0;18;44.5;4;-1.0;9.75

13h;Ming Christian;*;;;;;;;;;55.25
o;;;Betschart Marcel;*;;;;;;;8.5
o;5;8.5;Muff André;*;10;56.0;4;8.75;-1;0.25;8.5
+;11;17.0;Blattmann Jonas;;21;53.0;6;18.5;-5;1.5;10.0
+;10;27.0;Wyrsch Gabriel (2001);;26;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Nötzli Reto;***;12;55.5;14;35.75;5;-1.25;8.5
+;14;45.5;Gabriel Simon (2002);;18;54.0;14;45.5;0;0.0;9.75

13i;Odermatt Andreas;*;;;;;;;;;55.25
+;;;Muff Armin;**;;;;;;;9.75
-;2;9.75;Bucher Christian;*;25;46.25;2;9.75;0;0.0;8.75
o;6;18.5;Nötzli Reto;***;12;55.5;10;17.25;4;-1.25;8.5
+;10;27.0;Baumann Reto;;26;35.5;10;27.0;0;0.0;9.75
+;10;36.75;Supper Frederik;;16;54.5;9;37.0;-1;0.25;9.75
-;10;46.5;Blaser Theo;*;15;54.75;12;46.0;2;-0.5;8.75

13j;Herger Fabian;*;;;;;;;;;55.25
-;;;Moos Christoph;*;;;;;;;8.75
-;4;8.75;Bucher Roland;*;12;55.5;4;8.75;0;0.0;8.75
+;9;17.5;Gisler Stefan;;12;55.5;5;18.75;-4;1.25;9.75
+;9;27.25;Baumann Marco;;16;54.5;8;27.5;-1;0.25;9.75
o;9;37.0;Hasler Florian;**;5;57.25;7;37.5;-2;0.5;8.5
+;14;45.5;Gander Adrian;*;18;54.0;14;45.5;0;0.0;9.75

13k;Langenstein Philip;**;;;;;;;;;55.25
o;;;Vogel Remo;**;;;;;;;8.75
-;4;8.75;Fässler Dominic;**;9;56.25;5;8.5;1;-0.25;9.0
+;8;17.75;Rüttimann Daniel;;22;52.75;5;18.75;-3;1.0;10.0
-;7;27.75;Elsener Manuel;;14;55.0;3;28.75;-4;1.0;8.75
+;11;36.5;Meier Marcel;;20;53.25;13;36.0;2;-0.5;9.75
-;11;46.25;Zurfluh Roman;**;12;55.5;10;46.5;-1;0.25;9.0

13l;Suter Bruno (2002);;;;;;;;;;55.25
+;;;Waser Christoph (2002);;;;;;;;10.0
o;1;10.0;Wetzstein Adrian;;8;56.5;2;9.75;1;-0.25;8.5
o;6;18.5;Bucher Roland;*;12;55.5;9;17.5;3;-1.0;8.5
+;10;27.0;Rogenmoser Linus (2002);;30;34.0;16;25.5;6;-1.5;9.75
o;10;36.75;Durrer Markus;;17;54.25;13;36.0;3;-0.75;8.75
+;14;45.5;Hürlimann Marco (2002);;19;53.75;15;45.25;1;-0.25;9.75

14a;Heinzer Ronny;*;;;;;;;;;55.0
-;;;Bucher Roland;*;;;;;;;8.75
+;4;8.75;Elsener Manuel;;14;55.0;1;10.0;-3;1.25;10.0
-;5;18.75;Vogel Remo;**;9;56.25;2;19.75;-3;1.0;8.75
+;8;27.5;Bucher André (2001);;13;55.25;6;28.0;-2;0.5;10.0
o;7;37.5;Fink Bruno;*;8;56.5;4;38.25;-3;0.75;8.5
-;12;46.0;Bucher Christian;*;25;46.25;11;46.25;-1;0.25;9.0

14b;Gut Koni;;;;;;;;;;55.0
+;;;Arnold Sebastian;;;;;;;;10.0
-;1;10.0;Lang Julian;;16;54.5;1;10.0;0;0.0;8.75
o;5;18.75;Arnold Andreas;*;9;56.25;7;18.25;2;-0.5;8.5
o;9;27.25;Doppmann Urs;*;10;56.0;9;27.25;0;0.0;8.75
+;13;36.0;Krummenacher Roman;;17;54.25;14;35.75;1;-0.25;10.0
-;12;46.0;Elsener Manuel;;14;55.0;12;46.0;0;0.0;9.0

14c;Elsener Manuel;;;;;;;;;;55.0
+;;;Kathriner Severin (2000);;;;;;;;10.0
o;1;10.0;Heinzer Ronny;*;14;55.0;4;8.75;3;-1.25;8.75
+;5;18.75;Hermann Lukas 1 (2000);;31;26.75;7;18.25;2;-0.5;10.0
-;3;28.75;Langenstein Philip;**;13;55.25;7;27.75;4;-1.0;8.75
o;7;37.5;Brun Samuel;**;6;57.0;8;37.25;1;-0.25;8.5
-;12;46.0;Gut Koni;;14;55.0;12;46.0;0;0.0;9.0

14d;Wallimann Remo;;;;;;;;;;55.0
+;;;Rogenmoser Beat (2001);;;;;;;;9.75
+;2;9.75;Staub Devin;;16;54.5;1;10.0;-1;0.25;9.75
o;3;19.5;Blaser Theo;*;15;54.75;6;18.5;3;-1.0;8.5
o;6;28.0;Betschart Remo;**;24;46.5;5;28.25;-1;0.25;8.5
o;11;36.5;Ottiger Lukas;;13;55.25;10;36.75;-1;0.25;8.75
+;15;45.25;Hürlimann Ueli (2001);;19;53.75;15;45.25;0;0.0;9.75

14e;Baumann Lukas;;;;;;;;;;55.0
+;;;Bacher Andreas;;;;;;;;9.75
+;2;9.75;Kennel Beat;*;12;55.5;4;8.75;2;-1.0;10.0
o;2;19.75;Fankhauser Marco;**;6;57.0;5;18.75;3;-1.0;8.5
-;5;28.25;Troxler Jonas (2000);;16;54.5;5;28.25;0;0.0;9.0
o;8;37.25;Lagler Christian;;12;55.5;9;37.0;1;-0.25;8.75
-;12;46.0;Arnold Lukas;;10;56.0;8;47.0;-4;1.0;9.0

14f;Hürlimann Mathias (2000);;;;;;;;;;55.0
+;;;Wyrsch Gabriel (2001);;;;;;;;10.0
-;1;10.0;Bachmann Adrian;;15;54.75;1;10.0;0;0.0;9.0
-;4;19.0;Zurfluh Roman;**;12;55.5;6;18.5;2;-0.5;9.0
o;6;28.0;Baumann Roger;*;6;57.0;9;27.25;3;-0.75;8.5
o;11;36.5;Schmid Simon (2000);;12;55.5;9;37.0;-2;0.5;8.5
+;16;45.0;Briker Hannes;;19;53.75;15;45.25;-1;0.25;10.0

15a;Bachmann Adrian;;;;;;;;;;54.75
+;;;Effinger Peter;;;;;;;;10.0
-;1;10.0;Hürlimann Mathias (2000);;14;55.0;1;10.0;0;0.0;9.0
o;4;19.0;Bucher Christian;*;25;46.25;6;18.5;2;-0.5;8.5
o;8;27.5;Höfliger Andreas;**;10;56.0;8;27.5;0;0.0;8.5
+;13;36.0;Rüttimann Daniel;;22;52.75;14;35.75;1;-0.25;10.0
o;12;46.0;Reichmuth Lukas (2000);;6;57.0;7;47.25;-5;1.25;8.75

15b;Gwerder Carlo;**;;;;;;;;;54.75
-;;;Ambühl Joel;*;;;;;;;8.75
-;4;8.75;Arnold Stefan;**;12;55.5;4;8.75;0;0.0;8.75
+;9;17.5;Müller Dominik;;26;35.5;6;18.5;-3;1.0;10.0
+;8;27.5;Durrer Markus;;17;54.25;8;27.5;0;0.0;9.75
-;8;37.25;Erb Roger;**;9;56.25;8;37.25;0;0.0;8.75
-;12;46.0;Hösli Fritz;*;15;54.75;12;46.0;0;0.0;8.75

15c;Moos Christoph;*;;;;;;;;;54.75
-;;;Herger Fabian;*;;;;;;;8.75
-;4;8.75;Käslin Benno;*;28;34.75;4;8.75;0;0.0;8.75
+;9;17.5;Briker Hannes;;19;53.75;7;18.25;-2;0.75;10.0
+;8;27.5;Gemsch Stefan;;21;53.0;9;27.25;1;-0.25;9.75
-;8;37.25;Henzer Andreas;**;16;54.5;9;37.0;1;-0.25;8.75
-;12;46.0;Murer Andy;**;15;54.75;12;46.0;0;0.0;8.75

15d;Murer Andy;**;;;;;;;;;54.75
-;;;Zurfluh Roman;**;;;;;;;8.75
-;4;8.75;Fankhauser Reto;**;33;17.5;5;8.5;1;-0.25;8.75
+;9;17.5;Hodler Mathias;;21;53.0;6;18.5;-3;1.0;10.0
-;8;27.5;Schmidiger Marco;*;16;54.5;9;27.25;1;-0.25;8.75
+;12;36.25;Bär Leo;;20;53.25;13;36.0;1;-0.25;9.75
-;12;46.0;Moos Christoph;*;15;54.75;12;46.0;0;0.0;8.75

15e;Suter Beat;;;;;;;;;;54.75
+;;;Ulrich Livio;;;;;;;;9.75
o;2;9.75;Doppmann Urs;*;10;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Christen Silvan (2002);;27;35.25;7;18.25;0;0.0;10.0
-;5;28.25;Hess Dominik;*;13;55.25;8;27.5;3;-0.75;9.0
-;8;37.25;Blaser Theo;*;15;54.75;8;37.25;0;0.0;8.75
o;12;46.0;Fellmann Roman;*;7;56.75;8;47.0;-4;1.0;8.75

15f;Betschart Marcel;*;;;;;;;;;54.75
+;;;Ming Christian;*;;;;;;;9.75
o;2;9.75;Brun Samuel;**;6;57.0;4;8.75;2;-1.0;8.5
-;7;18.25;Durrer Nando;;10;56.0;5;18.75;-2;0.5;9.0
+;9;27.25;Gisler Silvan (2002);;17;54.25;9;27.25;0;0.0;9.75
-;9;37.0;Kenel Franz-Toni;*;16;54.5;8;37.25;-1;0.25;8.75
-;13;45.75;Steiner Severin (2001);;15;54.75;13;45.75;0;0.0;9.0

15g;Hurschler Michael;;;;;;;;;;54.75
o;;;Lang Julian;;;;;;;;8.5
+;5;8.5;Arnold Sebastian;;27;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Odermatt Remo;*;16;54.5;10;17.25;4;-1.25;8.75
-;9;27.25;Odermatt Sepp;;11;55.75;10;27.0;1;-0.25;9.0
o;12;36.25;Wicki David;;11;55.75;9;37.0;-3;0.75;8.5
+;17;44.75;Gisler Noah (2002);;18;54.0;14;45.5;-3;0.75;10.0

15h;Zimmermann Raffael (2000);;;;;;;;;;54.75
+;;;Hürlimann Adrian (2002);;;;;;;;9.75
-;2;9.75;Kaufmann Reto (2002);;20;53.25;1;10.0;-1;0.25;9.0
-;5;18.75;Kälin Remo;*;16;54.5;9;17.5;4;-1.25;8.75
o;8;27.5;Kennel Stefan;**;9;56.25;8;27.5;0;0.0;8.5
-;13;36.0;Baumann Marco;;16;54.5;13;36.0;0;0.0;8.75
+;17;44.75;Imholz Elias;;18;54.0;14;45.5;-3;0.75;10.0

15i;Hösli Fritz;*;;;;;;;;;54.75
-;;;Hess Dominik;*;;;;;;;8.75
o;4;8.75;Stucki Christian;;8;56.5;2;9.75;-2;1.0;8.75
-;9;17.5;Betschart Daniel;;16;54.5;5;18.75;-4;1.25;8.75
+;13;26.25;Ulrich Livio;;26;35.5;10;27.0;-3;0.75;9.75
+;13;36.0;Arnold Kilian (2002);;21;53.0;13;36.0;0;0.0;10.0
-;12;46.0;Gwerder Carlo;**;15;54.75;12;46.0;0;0.0;8.75

15j;Hess Michael;*;;;;;;;;;54.75
+;;;Gerber Peter;*;;;;;;;9.75
+;2;9.75;Waser Dominik;**;7;56.75;2;9.75;0;0.0;10.0
o;2;19.75;Bieri Marcel;**;3;58.25;5;18.75;3;-1.0;8.75
o;4;28.5;Arnold Lukas;;10;56.0;5;28.25;1;-0.25;8.75
o;8;37.25;Arnold Stefan;**;12;55.5;8;37.25;0;0.0;8.75
o;12;46.0;Odermatt Sepp;;11;55.75;12;46.0;0;0.0;8.75

15k;Hofmann Florian;**;;;;;;;;;54.75
o;;;Reichmuth Armin;*;;;;;;;8.5
o;5;8.5;Hasler Florian;**;5;57.25;4;8.75;-1;0.25;8.5
+;11;17.0;Arnold Kilian (2002);;21;53.0;6;18.5;-5;1.5;9.75
+;11;26.75;Hermann Lukas 1 (2000);;31;26.75;11;26.75;0;0.0;9.75
+;11;36.5;Meier Andreas;;21;53.0;13;36.0;2;-0.5;9.75
o;11;46.25;Rohrer Ivan;**;6;57.0;8;47.0;-3;0.75;8.5

15l;Blaser Theo;*;;;;;;;;;54.75
+;;;Bürgi Reto;*;;;;;;;10.0
o;1;10.0;von Ah Benji;***;6;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Wallimann Remo;;14;55.0;3;19.5;-3;1.0;10.0
o;4;28.5;Reichmuth Armin;*;6;57.0;4;28.5;0;0.0;8.75
-;8;37.25;Suter Beat;;15;54.75;8;37.25;0;0.0;8.75
-;12;46.0;Odermatt Andreas;*;13;55.25;10;46.5;-2;0.5;8.75

15m;Steiner Severin (2001);;;;;;;;;;54.75
-;;;Graber Sandro;;;;;;;;8.75
+;4;8.75;Ulrich Livio;;26;35.5;5;8.5;1;-0.25;10.0
-;5;18.75;Fässler Dominic;**;9;56.25;9;17.5;4;-1.25;8.75
o;8;27.5;Bättig Martin;*;16;54.5;8;27.5;0;0.0;8.5
+;13;36.0;Kaufmann Reto (2002);;20;53.25;13;36.0;0;0.0;9.75
-;13;45.75;Betschart Marcel;*;15;54.75;13;45.75;0;0.0;9.0

16a;Ettlin Michael;;;;;;;;;;54.5
-;;;Wicki David;;;;;;;;8.75
+;4;8.75;Dittli Mathias (2002);;29;34.25;5;8.5;1;-0.25;9.75
+;6;18.5;Bernet Raffael;;27;35.25;7;18.25;1;-0.25;10.0
o;4;28.5;Fink Bruno;*;8;56.5;4;28.5;0;0.0;8.5
o;9;37.0;Suppiger Werner;**;8;56.5;9;37.0;0;0.0;8.5
-;14;45.5;Supper Frederik;;16;54.5;14;45.5;0;0.0;9.0

16b;Vonlaufen Lukas;*;;;;;;;;;54.5
-;;;Bättig Martin;*;;;;;;;8.75
o;4;8.75;Zurfluh Roman;**;12;55.5;4;8.75;0;0.0;8.5
-;10;17.25;Birchler Fabian (2000);;16;54.5;6;18.5;-4;1.25;8.75
+;14;26.0;Bernet Raffael;;27;35.25;11;26.75;-3;0.75;10.0
+;13;36.0;Ulrich Pascal;;18;54.0;14;35.75;1;-0.25;9.75
-;13;45.75;Muff Armin;**;16;54.5;13;45.75;0;0.0;8.75

16c;Kammermann Christoph;*;;;;;;;;;54.5
-;;;Rohrer Beat;*;;;;;;;8.75
o;4;8.75;Linggi Bruno;**;9;56.25;4;8.75;0;0.0;8.5
+;10;17.25;Graber Sandro;;13;55.25;6;18.5;-4;1.25;10.0
-;9;27.25;Kempf Damian;;16;54.5;9;27.25;0;0.0;8.75
o;13;36.0;Waser Raphael;;11;55.75;9;37.0;-4;1.0;8.5
+;18;44.5;Herger Simon;;21;53.0;18;44.5;0;0.0;10.0

16d;Gasser Dominik 2;;;;;;;;;;54.5
-;;;Baumann Marco;;;;;;;;9.0
-;3;9.0;Bär Leo;;20;53.25;4;8.75;1;-0.25;8.75
+;8;17.75;Suter Michael (2002);;22;52.75;9;17.5;1;-0.25;9.75
o;8;27.5;Hasler Florian;**;5;57.25;8;27.5;0;0.0;8.5
o;13;36.0;Betschart Michael;;18;54.0;14;35.75;1;-0.25;8.5
+;18;44.5;Fischlin Matthias (2002);;22;52.75;19;44.25;1;-0.25;10.0

16e;Reichmuth Marco;**;;;;;;;;;54.5
-;;;Brun Samuel;**;;;;;;;8.75
+;4;8.75;Muff Armin;**;16;54.5;5;8.5;1;-0.25;9.75
+;6;18.5;Scherer Niklaus;;6;57.0;2;19.75;-4;1.25;9.75
o;5;28.25;Hurschler Thomas;**;7;56.75;4;28.5;-1;0.25;8.5
-;10;36.75;Odermatt Remo;*;16;54.5;9;37.0;-1;0.25;8.75
-;14;45.5;Thalmann Adrian;;16;54.5;14;45.5;0;0.0;9.0

16f;Hurschler Adrian;;;;;;;;;;54.5
+;;;Briker Hannes;;;;;;;;10.0
o;1;10.0;Erb Roger;**;9;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Inderbitzin Daniel;*;7;56.75;2;19.75;-4;1.25;8.5
+;10;27.0;Reichlin Reto (2002);;26;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Lang Julian;;16;54.5;8;37.25;-1;0.25;8.75
-;13;45.75;Schmidiger Marco;*;16;54.5;13;45.75;0;0.0;8.75

16g;Betschart Daniel;;;;;;;;;;54.5
-;;;Gisler Stefan;;;;;;;;8.75
+;4;8.75;Gabriel Christian (2000);;29;34.25;5;8.5;1;-0.25;10.0
-;5;18.75;Hösli Fritz;*;15;54.75;9;17.5;4;-1.25;8.75
o;8;27.5;Graber Sandro;;13;55.25;9;27.25;1;-0.25;8.5
+;13;36.0;Suter Michael (2002);;22;52.75;14;35.75;1;-0.25;10.0
o;12;46.0;Vogel Remo;**;9;56.25;11;46.25;-1;0.25;8.5

16h;Lang Julian;;;;;;;;;;54.5
+;;;Hurschler Michael;;;;;;;;10.0
-;1;10.0;Gut Koni;;14;55.0;1;10.0;0;0.0;8.75
+;5;18.75;Murer Remo;*;18;54.0;7;18.25;2;-0.5;10.0
o;3;28.75;Rohrer Ivan;**;6;57.0;8;27.5;5;-1.25;8.5
-;8;37.25;Hurschler Adrian;;16;54.5;9;37.0;1;-0.25;8.75
o;12;46.0;Nietlispach Pascal;**;7;56.75;8;47.0;-4;1.0;8.5

16i;Thalmann Adrian;;;;;;;;;;54.5
o;;;Odermatt Sepp;;;;;;;;8.75
+;4;8.75;Ulrich Marcel;;19;53.75;5;8.5;1;-0.25;9.75
-;6;18.5;Käslin Benno;*;28;34.75;9;17.5;3;-1.0;8.75
o;9;27.25;Erb Roger;**;9;56.25;9;27.25;0;0.0;8.5
+;14;35.75;Blattmann Philipp (2000);;19;53.75;10;36.75;-4;1.0;9.75
-;14;45.5;Reichmuth Marco;**;16;54.5;14;45.5;0;0.0;9.0

16j;Henzer Andreas;**;;;;;;;;;54.5
o;;;Suppiger Werner;**;;;;;;;8.5
-;5;8.5;Kenel Franz-Toni;*;16;54.5;4;8.75;-1;0.25;8.75
+;10;17.25;Durrer Lukas;;13;55.25;6;18.5;-4;1.25;10.0
+;9;27.25;Krummenacher Roman;;17;54.25;9;27.25;0;0.0;9.75
-;9;37.0;Moos Christoph;*;15;54.75;8;37.25;-1;0.25;8.75
-;13;45.75;Odermatt Remo;*;16;54.5;13;45.75;0;0.0;8.75

16k;Elmiger Matthias;;;;;;;;;;54.5
o;;;Supper Frederik;;;;;;;;8.5
o;5;8.5;Arnold Lukas;;10;56.0;5;8.5;0;0.0;8.5
+;11;17.0;Inderbitzin Dominic;;30;34.0;11;17.0;0;0.0;10.0
+;10;27.0;Brand Christian;**;16;54.5;10;27.0;0;0.0;10.0
-;9;37.0;Bürgi Reto;*;13;55.25;11;36.5;2;-0.5;9.0
o;12;46.0;Arnold Andreas;*;9;56.25;10;46.5;-2;0.5;8.5

16l;Schmidiger Marco;*;;;;;;;;;54.5
-;;;Odermatt Remo;*;;;;;;;8.75
o;4;8.75;Elsener Marcel;;8;56.5;2;9.75;-2;1.0;8.5
+;10;17.25;von Euw Lukas (2002);;26;35.5;6;18.5;-4;1.25;10.0
-;9;27.25;Murer Andy;**;15;54.75;8;27.5;-1;0.25;8.75
+;13;36.0;Krieg Silvan (2000);;21;53.0;13;36.0;0;0.0;9.75
-;13;45.75;Hurschler Adrian;;16;54.5;13;45.75;0;0.0;8.75

16m;Supper Frederik;;;;;;;;;;54.5
+;;;Elmiger Matthias;;;;;;;;9.75
-;2;9.75;Waser Raphael;;11;55.75;2;9.75;0;0.0;8.75
o;6;18.5;Arnold Stefan;**;12;55.5;9;17.5;3;-1.0;8.5
+;10;27.0;Fischlin Livio (2002);;26;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Odermatt Andreas;*;13;55.25;10;36.75;1;-0.25;8.5
-;14;45.5;Ettlin Michael;;16;54.5;14;45.5;0;0.0;9.0

16n;Baumann Marco;;;;;;;;;;54.5
+;;;Risi Janik (2000);;;;;;;;10.0
-;1;10.0;Gasser Dominik 2;;16;54.5;3;9.0;2;-1.0;9.0
o;4;19.0;Suppiger Werner;**;8;56.5;6;18.5;2;-0.5;8.5
o;8;27.5;Herger Fabian;*;13;55.25;9;27.25;1;-0.25;8.5
-;13;36.0;Zimmermann Raffael (2000);;15;54.75;13;36.0;0;0.0;8.75
+;17;44.75;Krieg Silvan (2000);;21;53.0;18;44.5;1;-0.25;9.75

16o;Bättig Martin;*;;;;;;;;;54.5
-;;;Vonlaufen Lukas;*;;;;;;;8.75
o;4;8.75;Höfliger Andreas;**;10;56.0;4;8.75;0;0.0;8.75
