3027-2015-06-28_Solothurner_Kantonalschwingfest-ST

1a;Bieri Christoph;***;;;;;;;;;58.75
-;5;8.5;Schneider Markus;*;17;54.0;5;8.5;0;0.0;9.0
+;9;17.5;Burkhardt Roy;;22;52.5;11;17.0;2;-0.5;10.0
o;8;27.5;Bucher Thomas;;14;54.75;9;27.25;1;-0.25;8.5
+;11;36.0;Nussbaumer Gabriel;;21;52.75;12;35.75;1;-0.25;10.0
+;11;46.0;Steinmann Kevin;**;9;56.0;6;47.25;-5;1.25;10.0

10a;Waldner Patrick;**;;;;;;;;;55.75
o;;;Vieira Tiago;**;;;;;;;8.5
o;5;8.5;Odermatt Christian;;7;56.5;2;9.75;-3;1.25;8.5
+;11;17.0;Räber Lukas;;19;53.5;7;18.25;-4;1.25;10.0
+;10;27.0;Hermann Oliver;;16;54.25;8;27.5;-2;0.5;10.0
+;7;37.0;Scherrer Johann;**;14;54.75;6;37.25;-1;0.25;10.0
o;7;47.0;Hauri Urs;**;8;56.25;9;46.5;2;-0.5;8.75

10b;Vieira Tiago;**;;;;;;;;;55.75
+;;;Waldner Patrick;**;;;;;;;9.75
+;2;9.75;Sigg David;*;9;56.0;1;10.0;-1;0.25;9.75
+;3;19.5;Erb Roger;**;6;56.75;2;19.75;-1;0.25;10.0
-;2;29.5;Henzer Andreas;**;5;57.0;5;28.5;3;-1.0;8.75
-;3;38.25;Stoffel Marc;**;6;56.75;3;38.25;0;0.0;8.75
-;7;47.0;Brand Christian;**;11;55.5;8;46.75;1;-0.25;8.75

10c;von Arx Christian;*;;;;;;;;;55.75
-;;;Döbeli Andreas (1998);*;;;;;;;8.75
+;4;8.75;Küng Marco;;17;54.0;2;9.75;-2;1.0;10.0
+;5;18.75;Roth Christian;;13;55.0;7;18.25;2;-0.5;9.75
+;5;28.5;Winiger Fabian;**;26;36.0;8;27.5;3;-1.0;9.75
o;3;38.25;Betschart Remo;**;6;56.75;3;38.25;0;0.0;8.75
o;7;47.0;Voggensperger Janic (1998);*;6;56.75;7;47.0;0;0.0;8.75

10d;Kropf Marcel;**;;;;;;;;;55.75
+;;;Alpiger Nick;**;;;;;;;10.0
+;1;10.0;Studinger Mathias;**;8;56.25;5;8.5;4;-1.5;10.0
o;1;20.0;Odermatt Christian;;7;56.5;3;19.5;2;-0.5;8.75
+;4;28.75;Bucher Pascal;;18;53.75;6;28.25;2;-0.5;10.0
o;1;38.75;Bieri Christoph;***;1;58.75;1;38.75;0;0.0;8.5
o;6;47.25;Leuthard Reto;*;5;57.0;7;47.0;1;-0.25;8.5

10e;Schläpfer Matthias;*;;;;;;;;;55.75
+;;;Kramer Franz;*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;**;7;56.5;5;8.5;3;-1.25;8.5
o;7;18.25;Studinger Stephan;**;2;58.0;6;18.5;-1;0.25;8.5
-;11;26.75;Vögtlin Roman;;18;53.75;8;27.5;-3;0.75;9.0
+;12;35.75;Lisser Beat;;20;53.0;11;36.0;-1;0.25;10.0
+;12;45.75;Kohler Adrian;;16;54.25;12;45.75;0;0.0;10.0

11a;Brand Christian;**;;;;;;;;;55.5
+;;;Winiger Fabian;**;;;;;;;9.75
o;2;9.75;Bieri Christoph;***;1;58.75;1;10.0;-1;0.25;8.5
+;7;18.25;Vögtlin Roman;;18;53.75;5;18.75;-2;0.5;9.75
-;7;28.0;Moos Christoph;;12;55.25;10;27.0;3;-1.0;8.75
+;8;36.75;Küng Marco;;17;54.0;8;36.75;0;0.0;10.0
-;8;46.75;Vieira Tiago;**;10;55.75;7;47.0;-1;0.25;8.75

11b;Mangold Michael (1997);;;;;;;;;;55.5
-;;;Gabathuler Björn (1998);;;;;;;;8.75
+;4;8.75;Burkhardt Roy;;22;52.5;5;8.5;1;-0.25;9.75
o;6;18.5;Scherrer Johann;**;14;54.75;6;18.5;0;0.0;8.5
+;10;27.0;Vetter Mike;;22;52.5;10;27.0;0;0.0;10.0
o;7;37.0;Henzer Andreas;**;5;57.0;6;37.25;-1;0.25;8.5
+;13;45.5;Probst Raphael;;17;54.0;13;45.5;0;0.0;10.0

11c;Betschart Rainer;**;;;;;;;;;55.5
o;;;Bieri Christoph;***;;;;;;;8.5
+;5;8.5;Huber Jan (1997);*;17;54.0;1;10.0;-4;1.5;9.75
+;7;18.25;Krebs Clemens;;17;54.0;6;18.5;-1;0.25;10.0
+;6;28.25;Strebel Joel (1997);*;12;55.25;6;28.25;0;0.0;10.0
-;3;38.25;Stüdeli Thomas;**;11;55.5;3;38.25;0;0.0;8.75
o;7;47.0;Bächli Michael (1998);*;4;57.25;6;47.25;-1;0.25;8.5

11d;Klausner Yanick;**;;;;;;;;;55.5
-;;;Kocher Remo;**;;;;;;;8.75
o;4;8.75;Henzer Andreas;**;5;57.0;4;8.75;0;0.0;8.5
+;10;17.25;Lisser Beat;;20;53.0;8;17.75;-2;0.5;10.0
+;9;27.25;Hasler Manuel;;16;54.25;9;27.25;0;0.0;9.75
o;7;37.0;Studinger Mathias;**;8;56.25;8;36.75;1;-0.25;8.75
+;12;45.75;Bucher Thomas;;14;54.75;11;46.0;-1;0.25;9.75

11e;Hügli Kaj (1997);*;;;;;;;;;55.5
-;;;Lisser Daniel;*;;;;;;;8.75
+;4;8.75;Haymoz Jan (1999);;22;52.5;1;10.0;-3;1.25;9.75
o;6;18.5;Blatter Lorenz;*;3;57.75;7;18.25;1;-0.25;8.5
+;10;27.0;Probst Raphael;;17;54.0;10;27.0;0;0.0;10.0
o;7;37.0;Rolli Ueli;;12;55.25;7;37.0;0;0.0;8.5
+;13;45.5;Nyffeler Christoph;;15;54.5;12;45.75;-1;0.25;10.0

11f;Stüdeli Thomas;**;;;;;;;;;55.5
o;;;Odermatt Christian;;;;;;;;8.5
+;5;8.5;Steinmann Yves;*;14;54.75;1;10.0;-4;1.5;9.75
+;7;18.25;Grossmann Andreas;;17;54.0;6;18.5;-1;0.25;10.0
+;6;28.25;Widmer David;;11;55.5;6;28.25;0;0.0;10.0
-;3;38.25;Betschart Rainer;**;11;55.5;3;38.25;0;0.0;8.75
o;7;47.0;Bucher Roland;*;7;56.5;8;46.75;1;-0.25;8.5

11g;Widmer David;;;;;;;;;;55.5
+;;;Regenass Beat;;;;;;;;9.75
+;2;9.75;Gerber Valentin (1999);;25;51.25;4;8.75;2;-1.0;10.0
o;2;19.75;Stoffel Marc;**;6;56.75;2;19.75;0;0.0;8.5
o;6;28.25;Stüdeli Thomas;**;11;55.5;6;28.25;0;0.0;8.5
o;8;36.75;Steinmann Kevin;**;9;56.0;6;37.25;-2;0.5;8.75
+;13;45.5;Schneider Markus;*;17;54.0;13;45.5;0;0.0;10.0

12a;Strebel Joel (1997);*;;;;;;;;;55.25
-;;;Bader Andreas;*;;;;;;;8.75
+;4;8.75;Studer Remo;;13;55.0;2;9.75;-2;1.0;9.75
+;6;18.5;Elsener Marcel;;14;54.75;7;18.25;1;-0.25;9.75
o;6;28.25;Betschart Rainer;**;11;55.5;6;28.25;0;0.0;8.5
o;8;36.75;Räbmatter Patrick;**;7;56.5;8;36.75;0;0.0;8.5
+;14;45.25;Bieli Andreas;;17;54.0;13;45.5;-1;0.25;10.0

12b;Rolli Ueli;;;;;;;;;;55.25
+;;;Nussbaumer Gabriel;;;;;;;;9.75
+;2;9.75;Roth Christian;;13;55.0;2;9.75;0;0.0;9.75
-;3;19.5;Winiger Fabian;**;26;36.0;5;18.75;2;-0.75;8.75
-;6;28.25;Alpiger Nick;**;6;56.75;6;28.25;0;0.0;8.75
+;7;37.0;Hügli Kaj (1997);*;11;55.5;7;37.0;0;0.0;9.75
o;8;46.75;Studinger Mathias;**;8;56.25;9;46.5;1;-0.25;8.5

12c;Döbeli Andreas (1998);*;;;;;;;;;55.25
-;;;von Arx Christian;*;;;;;;;8.75
o;4;8.75;Betschart Remo;**;6;56.75;5;8.5;1;-0.25;8.5
+;10;17.25;Bieli Andreas;;17;54.0;10;17.25;0;0.0;9.75
+;10;27.0;Leimgruber Daniel;;16;54.25;9;27.25;-1;0.25;10.0
+;7;37.0;Wittmer Lukas;;15;54.5;7;37.0;0;0.0;9.75
o;8;46.75;Blatter Lorenz;*;3;57.75;5;47.75;-3;1.0;8.5

12d;Uebersax Remo;**;;;;;;;;;55.25
o;;;Lang Martin;**;;;;;;;8.5
+;5;8.5;Wüthrich Martin;;21;52.75;5;8.5;0;0.0;9.75
o;7;18.25;Alpiger Nick;**;6;56.75;6;18.5;-1;0.25;8.5
+;11;26.75;Steger Robert (1998);;18;53.75;10;27.0;-1;0.25;10.0
+;8;36.75;Bucher Pascal;;18;53.75;8;36.75;0;0.0;10.0
o;8;46.75;Räbmatter Patrick;**;7;56.5;8;46.75;0;0.0;8.5

12e;Moos Christoph;;;;;;;;;;55.25
-;;;Leimgruber Daniel;;;;;;;;8.75
o;4;8.75;Alpiger Nick;**;6;56.75;5;8.5;1;-0.25;8.5
+;10;17.25;Regenass Beat;;17;54.0;11;17.0;1;-0.25;9.75
-;10;27.0;Brand Christian;**;11;55.5;7;28.0;-3;1.0;8.75
+;12;35.75;Vögtlin Roman;;18;53.75;9;36.5;-3;0.75;9.75
+;13;45.5;Bucher Pascal;;18;53.75;14;45.25;1;-0.25;9.75

12f;Bader Andreas;*;;;;;;;;;55.25
-;;;Strebel Joel (1997);*;;;;;;;8.75
+;4;8.75;Grossmann Andreas;;17;54.0;1;10.0;-3;1.25;9.75
+;6;18.5;Steger Robert (1998);;18;53.75;6;18.5;0;0.0;10.0
o;5;28.5;Betschart Remo;**;6;56.75;6;28.25;1;-0.25;8.5
+;7;37.0;Roth Christian;;13;55.0;8;36.75;1;-0.25;9.75
o;8;46.75;Alpiger Nick;**;6;56.75;8;46.75;0;0.0;8.5

13a;Studer Remo;;;;;;;;;;55.0
+;;;Furrer Mathias;;;;;;;;9.75
o;2;9.75;Strebel Joel (1997);*;12;55.25;4;8.75;2;-1.0;8.5
+;7;18.25;Küng Marco;;17;54.0;7;18.25;0;0.0;10.0
o;6;28.25;Schneider Markus;*;17;54.0;9;27.25;3;-1.0;8.5
o;8;36.75;Leuthard Reto;*;5;57.0;7;37.0;-1;0.25;8.5
+;14;45.25;Steger Robert (1998);;18;53.75;14;45.25;0;0.0;9.75

13b;Roth Christian;;;;;;;;;;55.0
+;;;Widmer Dino;;;;;;;;9.75
o;2;9.75;Rolli Ueli;;12;55.25;2;9.75;0;0.0;8.5
o;7;18.25;von Arx Christian;*;10;55.75;5;18.75;-2;0.5;8.5
+;11;26.75;Gerber Valentin (1999);;25;51.25;13;25.75;2;-1.0;10.0
o;8;36.75;Bader Andreas;*;12;55.25;7;37.0;-1;0.25;8.5
+;14;45.25;Grossmann Andreas;;17;54.0;13;45.5;-1;0.25;9.75

13c;Stegmüller Klemens;*;;;;;;;;;55.0
o;;;Huber Jan (1997);*;;;;;;;8.5
+;5;8.5;Bucher Pascal;;18;53.75;1;10.0;-4;1.5;10.0
-;6;18.5;Hermann Oliver;;16;54.25;6;18.5;0;0.0;9.0
-;8;27.5;Schär Simon;*;14;54.75;9;27.25;1;-0.25;8.75
-;10;36.25;Kramer Franz;*;16;54.25;8;36.75;-2;0.5;8.75
+;15;45.0;Räber Lukas;;19;53.5;15;45.0;0;0.0;10.0

13d;Stoll Simon;;;;;;;;;;55.0
+;;;Aerni Lars (1997);;;;;;;;10.0
o;1;10.0;Kramer Franz;*;16;54.25;5;8.5;4;-1.5;8.5
+;6;18.5;Huber Jan (1997);*;17;54.0;6;18.5;0;0.0;9.75
+;6;28.25;Reinhard Adrian (1997);;15;54.5;8;27.5;2;-0.75;9.75
o;4;38.0;Odermatt Christian;;7;56.5;5;37.75;1;-0.25;8.5
o;9;46.5;Lang Martin;**;6;56.75;8;46.75;-1;0.25;8.5

14a;Scherrer Johann;**;;;;;;;;;54.75
o;;;Sigg David;*;;;;;;;8.5
+;5;8.5;Fehlmann Armin;;18;53.75;1;10.0;-4;1.5;10.0
+;6;18.5;Mangold Michael (1997);;11;55.5;6;18.5;0;0.0;9.75
-;6;28.25;Widmer Dino;;16;54.25;9;27.25;3;-1.0;9.0
o;6;37.25;Waldner Patrick;**;10;55.75;7;37.0;1;-0.25;8.5
-;12;45.75;Steinmann Yves;*;14;54.75;12;45.75;0;0.0;9.0

14b;Elsener Marcel;;;;;;;;;;54.75
+;;;Burkhardt Roy;;;;;;;;9.75
o;2;9.75;Studinger Stephan;**;2;58.0;5;8.5;3;-1.25;8.5
o;7;18.25;Strebel Joel (1997);*;12;55.25;6;18.5;-1;0.25;8.5
+;11;26.75;Räber Lukas;;19;53.5;11;26.75;0;0.0;9.75
+;9;36.5;Mangold Martin;;21;52.75;12;35.75;3;-0.75;9.75
o;10;46.25;Alpiger Nick;**;6;56.75;8;46.75;-2;0.5;8.5

14c;Bucher Thomas;;;;;;;;;;54.75
-;;;Vögtlin Roman;;;;;;;;8.75
o;4;8.75;Winiger Fabian;**;26;36.0;4;8.75;0;0.0;8.5
+;10;17.25;Stich Yannick (1997);;24;51.5;10;17.25;0;0.0;10.0
+;9;27.25;Probst Gabriel;**;9;56.0;8;27.5;-1;0.25;10.0
o;6;37.25;Bächli Michael (1998);*;4;57.25;6;37.25;0;0.0;8.75
o;11;46.0;Klausner Yanick;**;11;55.5;12;45.75;1;-0.25;8.75

14d;Steinmann Yves;*;;;;;;;;;54.75
+;;;Schneider Markus;*;;;;;;;10.0
o;1;10.0;Stüdeli Thomas;**;11;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Vetter Mike;;22;52.5;6;18.5;0;0.0;10.0
o;5;28.5;Moser Matthias;;5;57.0;4;28.75;-1;0.25;8.75
o;6;37.25;Blatter Lorenz;*;3;57.75;4;38.0;-2;0.75;8.5
-;12;45.75;Scherrer Johann;**;14;54.75;12;45.75;0;0.0;9.0

14e;Schär Simon;*;;;;;;;;;54.75
-;;;Moser Matthias;;;;;;;;8.75
o;4;8.75;Hauri Urs;**;8;56.25;2;9.75;-2;1.0;8.5
+;10;17.25;Gerber Valentin (1999);;25;51.25;10;17.25;0;0.0;10.0
-;9;27.25;Stegmüller Klemens;*;13;55.0;8;27.5;-1;0.25;8.75
-;11;36.0;Kohler Adrian;;16;54.25;8;36.75;-3;0.75;8.75
+;16;44.75;Fehlmann Armin;;18;53.75;14;45.25;-2;0.5;10.0

15a;Nyffeler Christoph;;;;;;;;;;54.5
-;;;Wyss Patrick;;;;;;;;8.75
-;4;8.75;Steinmann Kevin;**;9;56.0;3;9.0;-1;0.25;8.75
+;9;17.5;Wüthrich Martin;;21;52.75;11;17.0;2;-0.5;9.75
o;9;27.25;Studinger Mathias;**;8;56.25;10;27.0;1;-0.25;8.5
+;12;35.75;Reinhard Adrian (1997);;15;54.5;11;36.0;-1;0.25;10.0
o;12;45.75;Hügli Kaj (1997);*;11;55.5;13;45.5;1;-0.25;8.75

15b;Wittmer Lukas;;;;;;;;;;54.5
+;;;Wyss Cyrill;;;;;;;;10.0
o;1;10.0;Kocher Remo;**;8;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Bächli Michael (1998);*;4;57.25;5;18.75;-1;0.25;8.5
+;10;27.0;Grossmann Andreas;;17;54.0;10;27.0;0;0.0;10.0
o;7;37.0;Döbeli Andreas (1998);*;12;55.25;7;37.0;0;0.0;8.5
-;13;45.5;Aerni Lars (1997);;15;54.5;13;45.5;0;0.0;9.0

15c;Aerni Lars (1997);;;;;;;;;;54.5
o;;;Stoll Simon;;;;;;;;8.75
+;4;8.75;Regenass Beat;;17;54.0;5;8.5;1;-0.25;10.0
o;5;18.75;Voggensperger Janic (1998);*;6;56.75;6;18.5;1;-0.25;8.5
