5354-2022-05-15_97_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Schuler Alex;***;;;;;;;;;111.25
+;5;8.75;Reichmuth Marco (2005);;18;54.25;2;10.0;-3;1.25;10.0
+;6;18.75;Bienz Romeo;*;26;36.0;6;18.75;0;0.0;10.0
-;6;28.75;Suter Bruno;;8;56.75;4;29.25;-2;0.5;9.0
+;6;37.75;Schuler Alex;*;1;111.25;1;74.5;-5;36.75;9.75
+;7;47.5;Arnold Marcel;*;13;55.5;9;47.0;2;-0.5;9.75

7a;Stöckli Stefan;***;;;;;;;;;57.0
-;;;Nötzli Reto;***;;;;;;;8.75
o;5;8.75;Huber Alex;*;9;56.5;3;9.75;-2;1.0;8.5
+;12;17.25;Schuler Thomas;;28;35.5;7;18.5;-5;1.25;10.0
+;12;27.25;Ming Christian;*;14;55.25;8;28.25;-4;1.0;10.0
+;8;37.25;Suter Beat;*;16;54.75;6;37.75;-2;0.5;9.75
+;9;47.0;Wiget Ueli;*;12;55.75;8;47.25;-1;0.25;10.0

7b;Appert Silvan;;;;;;;;;;57.0
+;;;Ettlin Kevin;;;;;;;;10.0
+;2;10.0;Wallimann Remo;*;35;25.5;6;8.5;4;-1.5;10.0
o;2;20.0;Schöpfer Ronny;**;7;57.0;2;20.0;0;0.0;8.5
o;7;28.5;Wandeler Roman;*;9;56.5;8;28.25;1;-0.25;8.75
+;8;37.25;Achermann Christian;;20;53.75;10;36.75;2;-0.5;9.75
+;9;47.0;Lüthy Ralph;;13;55.5;9;47.0;0;0.0;10.0

7c;Schöpfer Ronny;**;;;;;;;;;57.0
+;;;Schuler Alex;***;;;;;;;10.0
+;2;10.0;Wiget Ueli;*;12;55.75;2;10.0;0;0.0;10.0
+;2;20.0;Appert Silvan;;7;57.0;2;20.0;0;0.0;10.0
o;2;30.0;Müllestein Mike;***;2;58.75;6;28.75;4;-1.25;8.5
o;3;38.5;Burch Jonas;**;9;56.5;4;38.25;1;-0.25;8.5
+;9;47.0;Gwerder Beni;;13;55.5;10;46.75;1;-0.25;10.0

7d;Jund Matthias;*;;;;;;;;;57.0
o;;;Waser Reto;*;;;;;;;8.5
+;6;8.5;Heinzer Benno (2006);;14;55.25;3;9.75;-3;1.25;10.0
+;7;18.5;Arnold Marcel;*;13;55.5;7;18.5;0;0.0;10.0
-;7;28.5;Hegner Ueli;*;13;55.5;7;28.5;0;0.0;9.0
+;7;37.5;Bucher Thomas;*;9;56.5;4;38.25;-3;0.75;9.75
+;8;47.25;Züger Benjamin (2004);;11;56.0;7;47.5;-1;0.25;9.75

7e;Steinauer Adrian;**;;;;;;;;;57.0
+;;;Scherer Niklaus;**;;;;;;;9.75
o;3;9.75;Wicki Joel;***;4;58.0;2;10.0;-1;0.25;8.5
+;8;18.25;Häller Nick;;19;54.0;7;18.5;-1;0.25;10.0
+;8;28.25;Durrer Ive;;20;53.75;8;28.25;0;0.0;10.0
-;4;38.25;Reichmuth Roland;*;7;57.0;4;38.25;0;0.0;9.0
+;8;47.25;Würsch Lars;*;14;55.25;10;46.75;2;-0.5;9.75

7f;Reichmuth Roland;*;;;;;;;;;57.0
o;;;Fellmann Roman;**;;;;;;;8.5
+;6;8.5;Gemsch Stefan;;20;53.75;3;9.75;-3;1.25;10.0
+;7;18.5;Schuler Daniel;*;14;55.25;7;18.5;0;0.0;10.0
+;7;28.5;Kälin Remo;*;14;55.25;8;28.25;1;-0.25;9.75
-;4;38.25;Steinauer Adrian;**;7;57.0;4;38.25;0;0.0;9.0
+;8;47.25;Schnellmann Alexander (2004);;12;55.75;8;47.25;0;0.0;9.75

7g;Fankhauser Marco;**;;;;;;;;;57.0
o;;;Rohrer Ueli;**;;;;;;;8.5
+;6;8.5;Betschart Daniel;;20;53.75;3;9.75;-3;1.25;9.75
+;8;18.25;Wyrsch Gabriel;;14;55.25;7;18.5;-1;0.25;10.0
-;8;28.25;Steffen Konrad;*;12;55.75;8;28.25;0;0.0;9.0
+;8;37.25;Zimmermann Daniel;*;13;55.5;9;37.0;1;-0.25;10.0
+;8;47.25;Kennel Stefan;**;12;55.75;8;47.25;0;0.0;9.75

7h;Rohrer Ueli;**;;;;;;;;;57.0
+;;;Fankhauser Marco;**;;;;;;;10.0
+;2;10.0;Eﬃnger Markus;*;13;55.5;3;9.75;1;-0.25;10.0
+;2;20.0;Lüthy Ralph;;13;55.5;2;20.0;0;0.0;10.0
o;2;30.0;Schurtenberger Sven;***;3;58.5;6;28.75;4;-1.25;8.5
+;3;38.5;Gwerder Dario;**;8;56.75;3;38.5;0;0.0;10.0
o;3;48.5;Wicki Joel;***;4;58.0;4;48.25;1;-0.25;8.5

8a;Suter Bruno;;;;;;;;;;56.75
+;;;Theiler Andre;;;;;;;;9.75
+;3;9.75;Meier Daniel;*;13;55.5;6;8.5;3;-1.25;9.75
+;4;19.5;Betschart Marcel;*;18;54.25;7;18.5;3;-1.0;9.75
-;4;29.25;Rohrer Ivan;**;6;57.25;6;28.75;2;-0.5;9.0
o;4;38.25;Ambühl Joel;**;9;56.5;5;38.0;1;-0.25;8.5
+;10;46.75;Vogel Laurin;;14;55.25;10;46.75;0;0.0;10.0

8b;Bucher Christian;**;;;;;;;;;56.75
+;;;Doppmann Urs;**;;;;;;;10.0
o;2;10.0;Waser Christoph;*;9;56.5;2;10.0;0;0.0;8.5
+;7;18.5;Arnold Robin;;20;53.75;7;18.5;0;0.0;10.0
+;7;28.5;Herger Fabian;*;12;55.75;7;28.5;0;0.0;10.0
o;3;38.5;Wicki Joel;***;4;58.0;4;38.25;1;-0.25;8.5
+;9;47.0;von Rickenbach Pirmin;;15;55.0;11;46.5;2;-0.5;9.75

8c;Kessler Joel;*;;;;;;;;;56.75
-;;;Lemmenmeier Lukas;*;;;;;;;8.75
+;5;8.75;Ziegler Elias;;13;55.5;2;10.0;-3;1.25;10.0
o;6;18.75;Schurtenberger Sven;***;3;58.5;6;18.75;0;0.0;8.5
+;12;27.25;Rogenmoser Linus;;18;54.25;11;27.5;-1;0.25;9.75
+;9;37.0;Achermann Ueli;;20;53.75;10;36.75;1;-0.25;9.75
+;10;46.75;Fankhauser Reto;**;12;55.75;8;47.25;-2;0.5;10.0

8d;Heinzer Lukas (2004);;;;;;;;;;56.75
+;;;Achermann Christian;;;;;;;;10.0
o;2;10.0;Bühler Kilian;*;9;56.5;5;8.75;3;-1.25;8.5
+;7;18.5;Stübi Nevio (2006);;28;35.5;7;18.5;0;0.0;10.0
o;7;28.5;Zurﬂuh Roman;**;15;55.0;10;27.75;3;-0.75;8.5
+;9;37.0;Durrer Ive;;20;53.75;10;36.75;1;-0.25;9.75
+;10;46.75;Ming Christian;*;14;55.25;10;46.75;0;0.0;10.0

8e;Bucher Roland;*;;;;;;;;;56.75
-;;;Kennel Beat;**;;;;;;;8.75
+;5;8.75;Grab Florian;;11;56.0;2;10.0;-3;1.25;9.75
+;7;18.5;Arnold Adrian (2004);;28;35.5;7;18.5;0;0.0;10.0
o;7;28.5;Gwerder Dario;**;8;56.75;7;28.5;0;0.0;8.5
+;9;37.0;Ulrich Michael;*;11;56.0;8;37.25;-1;0.25;9.75
+;10;46.75;Kälin Roland;**;13;55.5;9;47.0;-1;0.25;10.0

8f;Gwerder Dario;**;;;;;;;;;56.75
-;;;Murer Andy;**;;;;;;;9.0
+;4;9.0;Wolf Stefan (2006);;15;55.0;2;10.0;-2;1.0;9.75
+;6;18.75;Käslin Ruedi;*;14;55.25;6;18.75;0;0.0;9.75
+;7;28.5;Bucher Roland;*;8;56.75;7;28.5;0;0.0;10.0
o;3;38.5;Rohrer Ueli;**;7;57.0;3;38.5;0;0.0;8.5
+;9;47.0;Bieri Elias;;14;55.25;10;46.75;1;-0.25;9.75

9a;Burch Jonas;**;;;;;;;;;56.5
-;;;Kennel Stefan;**;;;;;;;8.75
+;5;8.75;Gwerder Beni;;13;55.5;2;10.0;-3;1.25;9.75
+;7;18.5;Elsener Marcel;*;14;55.25;6;18.75;-1;0.25;9.75
+;8;28.25;Schnellmann Alexander (2004);;12;55.75;7;28.5;-1;0.25;10.0
+;4;38.25;Schöpfer Ronny;**;7;57.0;3;38.5;-1;0.25;9.75
o;5;48.0;Schurtenberger Sven;***;3;58.5;3;48.5;-2;0.5;8.5

9b;Doppmann Urs;**;;;;;;;;;56.5
o;;;Bucher Christian;**;;;;;;;8.5
+;6;8.5;Kauﬂin Andrin (2004);;28;35.5;3;9.75;-3;1.25;9.75
+;8;18.25;Wolf Stefan (2006);;15;55.0;6;18.75;-2;0.5;10.0
+;8;28.25;Steffen Valentin;*;20;53.75;10;27.75;2;-0.5;10.0
o;4;38.25;Müllestein Mike;***;2;58.75;2;38.75;-2;0.5;8.5
+;10;46.75;Kälin Remo;*;14;55.25;10;46.75;0;0.0;9.75

9c;Huber Alex;*;;;;;;;;;56.5
+;;;Hirsiger Alexander;*;;;;;;;9.75
+;3;9.75;Stöckli Stefan;***;7;57.0;5;8.75;2;-1.0;9.75
+;4;19.5;Rogenmoser Linus;;18;54.25;5;19.0;1;-0.5;9.75
o;4;29.25;Aeschbacher Matthias;***;4;58.0;7;28.5;3;-0.75;8.5
+;6;37.75;Kathriner Severin;;13;55.5;9;37.0;3;-0.75;10.0
-;6;47.75;Steffen Konrad;*;12;55.75;9;47.0;3;-0.75;8.75

