5354-2022-05-15_97_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Schuler Alex;***;;;;;;;;;111.25
+;7;18.5;Arnold Manuel (2006);;28;35.5;7;18.5;0;0.0;10.0
o;7;28.5;Burch Jonas;**;9;56.5;8;28.25;1;-0.25;8.75
+;8;37.25;Kryenbühl Mauro (2005);;21;53.5;11;36.5;3;-0.75;10.0
o;8;47.25;Reichmuth Roland;*;7;57.0;8;47.25;0;0.0;8.5

12c;Schnellmann Adrian (2004);;;;;;;;;;55.75
-;;;Schmid Pirmin;;;;;;;;8.75
+;5;8.75;von Moos Nico (2006);;29;35.25;6;8.5;1;-0.25;9.75
o;7;18.5;Suter Beat;*;16;54.75;10;17.75;3;-0.75;8.5
+;13;27.0;Flüeler Jeremias (2006);;29;35.25;14;26.75;1;-0.25;9.75
-;10;36.75;Röthlisberger Simon;*;17;54.5;13;36.0;3;-0.75;9.0
+;14;45.75;Bucher Manuel (2006);;21;53.5;17;45.0;3;-0.75;10.0

12d;Scherer Niklaus;**;;;;;;;;;55.75
o;;;Steinauer Adrian;**;;;;;;;8.5
+;6;8.5;Suter Raphael;;27;35.75;3;9.75;-3;1.25;9.75
+;8;18.25;Ulrich Roman;;12;55.75;6;18.75;-2;0.5;10.0
-;8;28.25;Steffen Gustav;**;15;55.0;11;27.5;3;-0.75;8.75
o;9;37.0;Blaser Theo;*;15;55.0;9;37.0;0;0.0;8.75
+;14;45.75;Ulrich Ronny (2006);;20;53.75;16;45.25;2;-0.5;10.0

12e;Von Euw Adi;;;;;;;;;;55.75
+;;;Herger Lars (2005);;;;;;;;10.0
o;2;10.0;Lemmenmeier Lukas;*;11;56.0;5;8.75;3;-1.25;8.5
o;7;18.5;Durrer Ive;;20;53.75;7;18.5;0;0.0;8.5
+;13;27.0;Imfeld David (2006);;18;54.25;12;27.25;-1;0.25;10.0
-;9;37.0;Schnider Markus;*;21;53.5;13;36.0;4;-1.0;8.75
+;14;45.75;Hüsler Matthias;;18;54.25;14;45.75;0;0.0;10.0

12f;Kennel Stefan;**;;;;;;;;;55.75
-;;;Burch Jonas;**;;;;;;;8.75
+;5;8.75;Kathriner Severin;;13;55.5;2;10.0;-3;1.25;10.0
-;6;18.75;Murer Andy;**;15;55.0;6;18.75;0;0.0;8.75
+;11;27.5;Bieri Elias;;14;55.25;7;28.5;-4;1.0;9.75
+;8;37.25;Bühlmann Daniel;;6;57.25;3;38.5;-5;1.25;10.0
o;8;47.25;Fankhauser Marco;**;7;57.0;8;47.25;0;0.0;8.5

12g;Steffen Konrad;*;;;;;;;;;55.75
o;;;Vogel Remo;**;;;;;;;8.5
+;6;8.5;Hürlimann Marco;;15;55.0;3;9.75;-3;1.25;9.75
+;8;18.25;Huser Christian;;12;55.75;6;18.75;-2;0.5;10.0
-;8;28.25;Fankhauser Marco;**;7;57.0;8;28.25;0;0.0;8.75
+;9;37.0;Bürgi Simon;;21;53.5;11;36.5;2;-0.5;10.0
-;9;47.0;Huber Alex;*;9;56.5;6;47.75;-3;0.75;8.75

12h;Wiget Ueli;*;;;;;;;;;55.75
+;;;Müller Luca (2004);*;;;;;;;10.0
o;2;10.0;Schöpfer Ronny;**;7;57.0;2;10.0;0;0.0;8.75
+;6;18.75;Berchtold Kilian;;18;54.25;4;19.5;-2;0.75;10.0
o;6;28.75;Wicki Joel;***;4;58.0;7;28.5;1;-0.25;8.5
+;8;37.25;Betschart Roger;;13;55.5;9;37.0;1;-0.25;10.0
o;8;47.25;Stöckli Stefan;***;7;57.0;9;47.0;1;-0.25;8.5

12i;Hess Michael;*;;;;;;;;;55.75
-;;;Bättig Martin;*;;;;;;;8.75
+;5;8.75;Bieri Elias;;14;55.25;2;10.0;-3;1.25;9.75
-;7;18.5;Waser Raphael;;12;55.75;6;18.75;-1;0.25;8.75
o;12;27.25;Suter Beat;*;16;54.75;10;27.75;-2;0.5;8.5
+;14;35.75;Albert Thomas;;14;55.25;9;37.0;-5;1.25;10.0
+;14;45.75;Theiler Thomas;;18;54.25;14;45.75;0;0.0;10.0

12j;Waser Raphael;;;;;;;;;;55.75
+;;;Forster Christian;;;;;;;;10.0
-;2;10.0;Suter Samuel;*;34;27.0;6;8.5;4;-1.5;8.75
-;6;18.75;Hess Michael;*;12;55.75;7;18.5;1;-0.25;8.75
o;11;27.5;Amrhyn Jonas;;18;54.25;12;27.25;1;-0.25;8.5
+;13;36.0;Bamert Mathis (2005);;19;54.0;14;35.75;1;-0.25;10.0
+;13;46.0;Gwerder Fabian;;19;54.0;15;45.5;2;-0.5;9.75

12k;Herger Fabian;*;;;;;;;;;55.75
o;;;Hegner Ueli;*;;;;;;;8.75
+;5;8.75;Schilter Daniel;*;15;55.0;6;8.5;1;-0.25;10.0
+;6;18.75;Züger Benjamin (2004);;11;56.0;3;19.75;-3;1.0;9.75
o;7;28.5;Bucher Christian;**;8;56.75;7;28.5;0;0.0;8.5
+;9;37.0;Waser Kevin (2006);;19;54.0;10;36.75;1;-0.25;9.75
-;10;46.75;Steiner Severin;;10;56.25;8;47.25;-2;0.5;9.0

12l;Mehr Lars;*;;;;;;;;;55.75
-;;;Schuler Daniel;*;;;;;;;8.75
+;5;8.75;Imgrüth Fabian (2005);;28;35.5;2;10.0;-3;1.25;9.75
-;7;18.5;Zurﬂuh Roman;**;15;55.0;6;18.75;-1;0.25;9.0
o;11;27.5;Bühlmann Daniel;;6;57.25;7;28.5;-4;1.0;8.5
+;13;36.0;Reichmuth Marco (2005);;18;54.25;9;37.0;-4;1.0;10.0
+;13;46.0;Lagler Christian;*;18;54.25;14;45.75;1;-0.25;9.75

12m;Beffa Mario;;;;;;;;;;55.75
-;;;Bühler Patrice;;;;;;;;8.75
+;5;8.75;Suter Michael;;22;53.25;5;8.75;0;0.0;9.75
o;7;18.5;Wicki David;*;15;55.0;12;17.25;5;-1.25;8.5
+;13;27.0;Kiser Markus (2005);;28;35.5;13;27.0;0;0.0;10.0
+;9;37.0;Betschart Marcel;*;18;54.25;14;35.75;5;-1.25;10.0
-;9;47.0;Fellmann Roman;**;13;55.5;10;46.75;1;-0.25;8.75

12n;Fankhauser Reto;**;;;;;;;;;55.75
-;;;Müllestein Mike;***;;;;;;;9.0
+;4;9.0;Gwerder Fabian;;19;54.0;2;10.0;-2;1.0;10.0
+;5;19.0;Kenel Franz-Toni;*;12;55.75;6;18.75;1;-0.25;9.75
+;6;28.75;Steiner Severin;;10;56.25;5;29.0;-1;0.25;10.0
o;2;38.75;Aeschbacher Matthias;***;4;58.0;4;38.25;2;-0.5;8.5
o;8;47.25;Kessler Joel;*;8;56.75;10;46.75;2;-0.5;8.5

12o;Gander Martin;;;;;;;;;;55.75
+;;;Föhn Christian;;;;;;;;9.75
-;3;9.75;Kennel Beat;**;11;56.0;5;8.75;2;-1.0;8.75
+;7;18.5;Reichmuth Marco (2005);;18;54.25;7;18.5;0;0.0;9.75
-;8;28.25;Stöckli Damian;*;11;56.0;11;27.5;3;-0.75;8.75
+;9;37.0;Gwerder Fabian;;19;54.0;9;37.0;0;0.0;9.75
-;10;46.75;Hegner Ueli;*;13;55.5;11;46.5;1;-0.25;9.0

12p;Kenel Franz-Toni;*;;;;;;;;;55.75
-;;;Schnider Markus;*;;;;;;;8.75
+;5;8.75;von Flüe Silvan (2004);;34;27.0;2;10.0;-3;1.25;10.0
o;6;18.75;Fankhauser Reto;**;12;55.75;5;19.0;-1;0.25;8.5
+;12;27.25;Herger Lars (2005);;20;53.75;8;28.25;-4;1.0;10.0
+;8;37.25;Arnold Elias (2006);;18;54.25;9;37.0;1;-0.25;9.75
-;9;47.0;Ambühl Joel;**;9;56.5;6;47.75;-3;0.75;8.75

12q;Ulrich Roman;;;;;;;;;;55.75
+;;;Betschart Roger;;;;;;;;10.0
-;2;10.0;Steffen Gustav;**;15;55.0;5;8.75;3;-1.25;8.75
o;6;18.75;Scherer Niklaus;**;12;55.75;8;18.25;2;-0.5;8.5
+;12;27.25;Suter Nicola (2005);;28;35.5;13;27.0;1;-0.25;10.0
+;8;37.25;Ziegler Elias;;13;55.5;8;37.25;0;0.0;9.75
o;9;47.0;Schaller Noah;;9;56.5;10;46.75;1;-0.25;8.75

12r;Birchler Fabian;;;;;;;;;;55.75
+;;;Rohrer Michael;;;;;;;;9.75
o;3;9.75;Müller Luca (2004);*;15;55.0;6;8.5;3;-1.25;8.5
-;8;18.25;Achermann Ueli;;20;53.75;8;18.25;0;0.0;8.75
+;13;27.0;Kempf David;;28;35.5;13;27.0;0;0.0;10.0
-;9;37.0;Steffen Valentin;*;20;53.75;12;36.25;3;-0.75;8.75
+;14;45.75;Achermann Ivan (2005);;18;54.25;14;45.75;0;0.0;10.0

12s;Odermatt Remo;*;;;;;;;;;55.75
-;;;Inderbitzin Daniel;*;;;;;;;8.75
+;5;8.75;Fässler Werner (2005);;20;53.75;3;9.75;-2;1.0;9.75
-;7;18.5;Schuler Philipp;**;6;57.25;6;18.75;-1;0.25;8.75
+;12;27.25;Auf der Maur Alex;;15;55.0;9;28.0;-3;0.75;9.75
+;9;37.0;Egli Severin (2004);;20;53.75;11;36.5;2;-0.5;10.0
-;9;47.0;Ulrich Marco;**;10;56.25;7;47.5;-2;0.5;8.75

13a;Durrer Lukas;;;;;;;;;;55.5
-;;;Rogenmoser Linus;;;;;;;;9.0
-;4;9.0;Egli Severin (2004);;20;53.75;5;8.75;1;-0.25;9.0
+;9;18.0;Heinzer Benno (2006);;14;55.25;8;18.25;-1;0.25;9.75
-;10;27.75;Heinzer Ronny;*;10;56.25;12;27.25;2;-0.5;9.0
-;10;36.75;Eﬃnger Markus;*;13;55.5;9;37.0;-1;0.25;8.75
+;15;45.5;Gemsch Stefan;;20;53.75;16;45.25;1;-0.25;9.75
+;14;55.25;Arnold Elias (2006);;18;54.25;18;54.25;4;-1.0;0.25

13b;Meier Daniel;*;;;;;;;;;55.5
o;;;Eﬃnger Markus;*;;;;;;;8.5
o;6;8.5;Suter Bruno;;8;56.75;3;9.75;-3;1.25;8.75
+;12;17.25;Bürgi Simon;;21;53.5;8;18.25;-4;1.0;10.0
o;12;27.25;Kennel Beat;**;11;56.0;11;27.5;-1;0.25;8.5
+;14;35.75;Styger Alex;;18;54.25;9;37.0;-5;1.25;9.75
+;15;45.5;Schmid Joel;;20;53.75;16;45.25;1;-0.25;10.0

13c;Hegner Ueli;*;;;;;;;;;55.5
+;;;Herger Fabian;*;;;;;;;9.75
-;3;9.75;Ming Christian;*;14;55.25;3;9.75;0;0.0;8.75
+;7;18.5;Achermann Christian;;20;53.75;7;18.5;0;0.0;10.0
-;7;28.5;Jund Matthias;*;7;57.0;7;28.5;0;0.0;9.0
-;7;37.5;Schöpfer Marco;*;14;55.25;8;37.25;1;-0.25;9.0
-;11;46.5;Gander Martin;;12;55.75;10;46.75;-1;0.25;9.0

13d;Betschart Roger;;;;;;;;;;55.5
o;;;Ulrich Roman;;;;;;;;8.5
+;6;8.5;Ulrich Damian;;28;35.5;6;8.5;0;0.0;10.0
+;7;18.5;Imgrüth Fabian (2005);;28;35.5;7;18.5;0;0.0;10.0
o;7;28.5;Fankhauser Erich;***;6;57.25;11;27.5;4;-1.0;8.5
o;9;37.0;Wiget Ueli;*;12;55.75;8;37.25;-1;0.25;8.5
+;15;45.5;Häller Nick;;19;54.0;15;45.5;0;0.0;10.0

13e;Fellmann Roman;**;;;;;;;;;55.5
+;;;Reichmuth Roland;*;;;;;;;10.0
o;2;10.0;Müllestein Mike;***;2;58.75;4;9.0;2;-1.0;8.5
+;7;18.5;Styger Alex;;18;54.25;7;18.5;0;0.0;9.75
+;8;28.25;Stalder Silvan;;19;54.0;7;28.5;-1;0.25;10.0
o;4;38.25;Nötzli Reto;***;5;57.5;2;38.75;-2;0.5;8.5
-;10;46.75;Beffa Mario;;12;55.75;9;47.0;-1;0.25;8.75

13f;Eﬃnger Markus;*;;;;;;;;;55.5
+;;;Meier Daniel;*;;;;;;;9.75
o;3;9.75;Rohrer Ueli;**;7;57.0;2;10.0;-1;0.25;8.5
-;8;18.25;Amrhyn Jonas;;18;54.25;7;18.5;-1;0.25;8.75
+;13;27.0;Suter Michael;;22;53.25;12;27.25;-1;0.25;10.0
-;9;37.0;Durrer Lukas;;13;55.5;10;36.75;1;-0.25;8.75
+;14;45.75;Berchtold Kilian;;18;54.25;14;45.75;0;0.0;9.75

13g;Arnold Marcel;*;;;;;;;;;55.5
-;;;Käslin Ruedi;*;;;;;;;8.75
+;5;8.75;Püntener Luca (2005);;21;53.5;3;9.75;-2;1.0;9.75
o;7;18.5;Jund Matthias;*;7;57.0;7;18.5;0;0.0;8.75
+;12;27.25;Graber Sandro;;19;54.0;9;28.0;-3;0.75;9.75
+;9;37.0;Bucher Manuel (2006);;21;53.5;11;36.5;2;-0.5;10.0
o;9;47.0;Rohrer Ivan;**;6;57.25;7;47.5;-2;0.5;8.5

13h;Kälin Roland;**;;;;;;;;;55.5
+;;;Stöckli Damian;*;;;;;;;10.0
o;2;10.0;Fankhauser Erich;***;6;57.25;5;8.75;3;-1.25;8.5
+;7;18.5;Jung Valentin;;18;54.25;6;18.75;-1;0.25;9.75
+;8;28.25;Gisler Silvan;;18;54.25;7;28.5;-1;0.25;10.0
-;4;38.25;Bättig Martin;*;15;55.0;7;37.5;3;-0.75;8.75
o;9;47.0;Bucher Roland;*;8;56.75;10;46.75;1;-0.25;8.5

13i;Zimmermann Daniel;*;;;;;;;;;55.5
o;;;Würsch Lars;*;;;;;;;8.5
o;6;8.5;Schaller Noah;;9;56.5;3;9.75;-3;1.25;8.5
+;13;17.0;Müller Ueli (2006);;29;35.25;8;18.25;-5;1.25;10.0
+;13;27.0;Theiler Thomas;;18;54.25;12;27.25;-1;0.25;10.0
o;9;37.0;Fankhauser Marco;**;7;57.0;8;37.25;-1;0.25;8.5
+;15;45.5;Jung Valentin;;18;54.25;14;45.75;-1;0.25;10.0

13j;Walker Jan (2004);;;;;;;;;;55.5
+;;;Gander Sebastian;;;;;;;;9.75
-;3;9.75;Hirsiger Alexander;*;18;54.25;6;8.5;3;-1.25;8.75
+;7;18.5;Bucher Manuel (2006);;21;53.5;8;18.25;1;-0.25;10.0
o;7;28.5;Bucher Thomas;*;9;56.5;7;28.5;0;0.0;8.5
o;9;37.0;Hürlimann Marco;;15;55.0;10;36.75;1;-0.25;8.5
+;15;45.5;Achermann Christian;;20;53.75;16;45.25;1;-0.25;10.0

13k;Ziegler Elias;;;;;;;;;;55.5
+;;;Nideröst Remo (2005);;;;;;;;10.0
o;2;10.0;Kessler Joel;*;8;56.75;5;8.75;3;-1.25;8.5
+;7;18.5;Reichmuth Lukas;*;17;54.5;8;18.25;1;-0.25;10.0
-;7;28.5;Bienz Romeo;*;26;36.0;12;27.25;5;-1.25;8.75
o;8;37.25;Ulrich Roman;;12;55.75;8;37.25;0;0.0;8.5
+;14;45.75;Herger Flavio;;19;54.0;15;45.5;1;-0.25;9.75

13l;Kathriner Severin;;;;;;;;;;55.5
+;;;Ochsner Tim (2006);;;;;;;;10.0
o;2;10.0;Kennel Stefan;**;12;55.75;5;8.75;3;-1.25;8.5
+;7;18.5;Reichlin Reto;;28;35.5;7;18.5;0;0.0;10.0
o;7;28.5;Vogel Remo;**;4;58.0;8;28.25;1;-0.25;8.5
o;9;37.0;Huber Alex;*;9;56.5;6;37.75;-3;0.75;8.5
+;15;45.5;Fässler Werner (2005);;20;53.75;16;45.25;1;-0.25;10.0

13m;Lüthy Ralph;;;;;;;;;;55.5
+;;;Herger Flavio;;;;;;;;10.0
+;2;10.0;Röthlisberger Simon;*;17;54.5;5;8.75;3;-1.25;10.0
o;2;20.0;Rohrer Ueli;**;7;57.0;2;20.0;0;0.0;8.5
o;7;28.5;Würsch Lars;*;14;55.25;8;28.25;1;-0.25;8.5
+;9;37.0;Schmid Joel;;20;53.75;10;36.75;1;-0.25;10.0
o;9;47.0;Appert Silvan;;7;57.0;9;47.0;0;0.0;8.5

13n;Gwerder Beni;;;;;;;;;;55.5
+;;;von Ah Quirin;;;;;;;;10.0
o;2;10.0;Burch Jonas;**;9;56.5;5;8.75;3;-1.25;8.5
+;7;18.5;Kempf David;;28;35.5;7;18.5;0;0.0;9.75
o;8;28.25;Käslin Ruedi;*;14;55.25;12;27.25;4;-1.0;8.5
+;10;36.75;Graber Sandro;;19;54.0;11;36.5;1;-0.25;10.0
o;10;46.75;Schöpfer Ronny;**;7;57.0;9;47.0;-1;0.25;8.75

14a;Schuler Daniel;*;;;;;;;;;55.25
-;;;Mehr Lars;*;;;;;;;8.75
+;5;8.75;Gisler Silvan;;18;54.25;2;10.0;-3;1.25;9.75
o;7;18.5;Reichmuth Roland;*;7;57.0;7;18.5;0;0.0;8.5
+;13;27.0;Stübi Nevio (2006);;28;35.5;13;27.0;0;0.0;10.0
o;9;37.0;Bürli Roger;**;9;56.5;9;37.0;0;0.0;8.5
+;15;45.5;Durrer Ive;;20;53.75;16;45.25;1;-0.25;9.75

14b;Vogel Laurin;;;;;;;;;;55.25
o;;;Hurschler Tobias;;;;;;;;8.5
+;6;8.5;Ochsner Tim (2006);;28;35.5;6;8.5;0;0.0;9.75
+;8;18.25;Schürpf Bruno;*;18;54.25;12;17.25;4;-1.0;10.0
o;8;28.25;Schuler Philipp;**;6;57.25;11;27.5;3;-0.75;8.5
+;10;36.75;Ulrich Ronny (2006);;20;53.75;10;36.75;0;0.0;10.0
o;10;46.75;Suter Bruno;;8;56.75;10;46.75;0;0.0;8.5

14c;Bieri Elias;;;;;;;;;;55.25
+;;;Andermatt Reto;;;;;;;;10.0
o;2;10.0;Hess Michael;*;12;55.75;5;8.75;3;-1.25;8.5
+;7;18.5;Müller Adrian (2006);;28;35.5;7;18.5;0;0.0;10.0
o;7;28.5;Kennel Stefan;**;12;55.75;11;27.5;4;-1.0;8.5
+;9;37.0;Stalder Silvan;;19;54.0;9;37.0;0;0.0;9.75
o;10;46.75;Gwerder Dario;**;8;56.75;9;47.0;-1;0.25;8.5

14d;Andermatt Reto;;;;;;;;;;55.25
+;;;Suter Nicola (2005);;;;;;;;9.75
o;3;9.75;Bieri Elias;;14;55.25;2;10.0;-1;0.25;8.5
+;8;18.25;Wallimann Remo;*;35;25.5;13;17.0;5;-1.25;9.75
-;9;28.0;Wicki David;*;15;55.0;12;27.25;3;-0.75;9.0
+;9;37.0;Arnold Robin;;20;53.75;10;36.75;1;-0.25;9.75
o;10;46.75;Bühlmann Daniel;;6;57.25;8;47.25;-2;0.5;8.5

14e;Ming Christian;*;;;;;;;;;55.25
+;;;Lagler Christian;*;;;;;;;9.75
-;3;9.75;Hegner Ueli;*;13;55.5;3;9.75;0;0.0;8.75
+;7;18.5;Forster Christian;;18;54.25;6;18.75;-1;0.25;9.75
o;8;28.25;Stöckli Stefan;***;7;57.0;12;27.25;4;-1.0;8.5
+;10;36.75;Föhn Christian;;18;54.25;10;36.75;0;0.0;10.0
o;10;46.75;Heinzer Lukas (2004);;8;56.75;10;46.75;0;0.0;8.5

14f;Keller Janik;*;;;;;;;;;55.25
-;;;Zemp Christian (2004);*;;;;;;;8.75
-;5;8.75;Hüsler Matthias;;18;54.25;2;10.0;-3;1.25;9.0
+;10;17.75;Suter Nicola (2005);;28;35.5;7;18.5;-3;0.75;10.0
-;10;27.75;Schöpfer Marco;*;14;55.25;8;28.25;-2;0.5;9.0
-;10;36.75;Hirsiger Alexander;*;18;54.25;10;36.75;0;0.0;8.75
+;15;45.5;Gabriel Simon;;17;54.5;13;46.0;-2;0.5;9.75

14g;Schöpfer Marco;*;;;;;;;;;55.25
o;;;Kälin Remo;*;;;;;;;8.5
+;6;8.5;Kryenbühl Mauro (2005);;21;53.5;3;9.75;-3;1.25;9.75
+;8;18.25;Berwert Eddy (2006);;28;35.5;7;18.5;-1;0.25;10.0
-;8;28.25;Keller Janik;*;14;55.25;10;27.75;2;-0.5;9.0
-;8;37.25;Hegner Ueli;*;13;55.5;7;37.5;-1;0.25;9.0
-;12;46.25;Murer Andy;**;15;55.0;12;46.25;0;0.0;9.0

14h;Würsch Lars;*;;;;;;;;;55.25
+;;;Zimmermann Daniel;*;;;;;;;9.75
o;3;9.75;Schuler Alex;***;1;111.25;1;17.25;-2;7.5;8.5
+;8;18.25;von Rickenbach Pirmin;;15;55.0;5;19.0;-3;0.75;10.0
+;8;28.25;Lüthy Ralph;;13;55.5;7;28.5;-1;0.25;10.0
o;4;38.25;Vogel Remo;**;4;58.0;4;38.25;0;0.0;8.5
o;10;46.75;Steinauer Adrian;**;7;57.0;8;47.25;-2;0.5;8.5

14i;Elsener Marcel;*;;;;;;;;;55.25
-;;;Bienz Romeo;*;;;;;;;8.75
+;5;8.75;Ulrich Ronny (2006);;20;53.75;2;10.0;-3;1.25;10.0
o;6;18.75;Burch Jonas;**;9;56.5;7;18.5;1;-0.25;8.5
+;12;27.25;Hurschler Tobias;;15;55.0;9;28.0;-3;0.75;9.75
+;9;37.0;Fässler Werner (2005);;20;53.75;10;36.75;1;-0.25;9.75
o;10;46.75;Schuler Alex;***;1;111.25;1;93.0;-9;46.25;8.5

14j;Baumann Roger;*;;;;;;;;;55.25
o;;;Wandeler Roman;*;;;;;;;8.5
+;6;8.5;Laimbacher Cyrill (2004);;18;54.25;3;9.75;-3;1.25;10.0
+;7;18.5;Hüsler Matthias;;18;54.25;6;18.75;-1;0.25;10.0
o;7;28.5;Ambühl Joel;**;9;56.5;8;28.25;1;-0.25;8.5
o;9;37.0;Kennel Beat;**;11;56.0;8;37.25;-1;0.25;8.5
+;15;45.5;Stalder Silvan;;19;54.0;15;45.5;0;0.0;9.75

14k;Wyrsch Gabriel;;;;;;;;;;55.25
o;;;Ulrich Michael;*;;;;;;;8.5
+;6;8.5;Bamert Mathis (2005);;19;54.0;4;9.0;-2;0.5;10.0
o;7;18.5;Fankhauser Marco;**;7;57.0;8;18.25;1;-0.25;8.5
+;13;27.0;Reichlin Reto;;28;35.5;13;27.0;0;0.0;10.0
o;9;37.0;Schürpf Bruno;*;18;54.25;14;35.75;5;-1.25;8.5
+;15;45.5;Waser Kevin (2006);;19;54.0;15;45.5;0;0.0;9.75

14l;Heinzer Benno (2006);;;;;;;;;;55.25
+;;;Arnold Robin;;;;;;;;9.75
o;3;9.75;Jund Matthias;*;7;57.0;6;8.5;3;-1.25;8.5
o;8;18.25;Durrer Lukas;;13;55.5;9;18.0;1;-0.25;8.75
+;13;27.0;Gander Sebastian;;28;35.5;13;27.0;0;0.0;9.75
+;10;36.75;Berchtold Kilian;;18;54.25;9;37.0;-1;0.25;9.75
o;11;46.5;Lemmenmeier Lukas;*;11;56.0;13;46.0;2;-0.5;8.75

14m;Käslin Ruedi;*;;;;;;;;;55.25
-;;;Arnold Marcel;*;;;;;;;8.75
+;5;8.75;Laimbacher Severin (2006);;28;35.5;2;10.0;-3;1.25;10.0
o;6;18.75;Gwerder Dario;**;8;56.75;6;18.75;0;0.0;8.5
+;12;27.25;Gwerder Beni;;13;55.5;8;28.25;-4;1.0;9.75
o;9;37.0;Schuler Alex;***;1;111.25;1;74.5;-8;37.5;8.5
+;15;45.5;Arnold Robin;;20;53.75;16;45.25;1;-0.25;9.75

14n;Kälin Remo;*;;;;;;;;;55.25
+;;;Schöpfer Marco;*;;;;;;;10.0
o;2;10.0;Vogel Remo;**;4;58.0;3;9.75;1;-0.25;8.5
+;7;18.5;Briker Raphael (2006);;21;53.5;6;18.75;-1;0.25;9.75
o;8;28.25;Reichmuth Roland;*;7;57.0;7;28.5;-1;0.25;8.5
+;10;36.75;Püntener Luca (2005);;21;53.5;11;36.5;1;-0.25;10.0
o;10;46.75;Doppmann Urs;**;9;56.5;10;46.75;0;0.0;8.5

14o;Heinzer Stefan;**;;;;;;;;;55.25
-;;;Steffen Valentin;*;;;;;;;8.75
+;5;8.75;Hurschler Tobias;;15;55.0;3;9.75;-2;1.0;10.0
o;6;18.75;Ambühl Joel;**;9;56.5;7;18.5;1;-0.25;8.5
+;12;27.25;Bucher André;;11;56.0;11;27.5;-1;0.25;9.75
+;9;37.0;Hüsler Matthias;;18;54.25;8;37.25;-1;0.25;9.75
o;10;46.75;Fankhauser Erich;***;6;57.25;8;47.25;-2;0.5;8.5

14p;Albert Thomas;;;;;;;;;;55.25
o;;;Grab Florian;;;;;;;;8.5
+;6;8.5;Bösch Dario;;28;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Bürli Roger;**;9;56.5;8;18.25;1;-0.25;8.5
+;13;27.0;Lagler Reto;;28;35.5;13;27.0;0;0.0;10.0
o;9;37.0;Hess Michael;*;12;55.75;14;35.75;5;-1.25;8.5
+;15;45.5;Egli Adrian;;20;53.75;16;45.25;1;-0.25;9.75

15a;Hurschler Tobias;;;;;;;;;;55.0
+;;;Vogel Laurin;;;;;;;;9.75
o;3;9.75;Heinzer Stefan;**;14;55.25;5;8.75;2;-1.0;8.5
+;8;18.25;Kauﬂin Andrin (2004);;28;35.5;8;18.25;0;0.0;9.75
o;9;28.0;Elsener Marcel;*;14;55.25;12;27.25;3;-0.75;8.5
+;11;36.5;Laimbacher Cyrill (2004);;18;54.25;11;36.5;0;0.0;10.0
o;11;46.5;Waser Reto;*;6;57.25;8;47.25;-3;0.75;8.5

15b;Schärli Reto;*;;;;;;;;;55.0
-;;;Rohrer Ivan;**;;;;;;;8.75
+;5;8.75;Schnellmann Alexander (2004);;12;55.75;2;10.0;-3;1.25;9.75
+;7;18.5;Ulrich Ronny (2006);;20;53.75;7;18.5;0;0.0;9.75
o;8;28.25;Gehrig Philipp;**;9;56.5;12;27.25;4;-1.0;8.5
o;10;36.75;Grab Florian;;11;56.0;7;37.5;-3;0.75;8.5
+;16;45.25;Inderbitzin Daniel;*;16;54.75;13;46.0;-3;0.75;9.75

15c;Steffen Gustav;**;;;;;;;;;55.0
-;;;Schurtenberger Sven;***;;;;;;;8.75
-;5;8.75;Ulrich Roman;;12;55.75;2;10.0;-3;1.25;8.75
+;11;17.5;Lagler Reto;;28;35.5;7;18.5;-4;1.0;10.0
-;11;27.5;Scherer Niklaus;**;12;55.75;8;28.25;-3;0.75;8.75
+;12;36.25;Betschart Daniel;;20;53.75;11;36.5;-1;0.25;10.0
-;12;46.25;Zurﬂuh Roman;**;15;55.0;12;46.25;0;0.0;8.75

15d;Hürlimann Ueli;;;;;;;;;;55.0
+;;;Spichtig Clemens;;;;;;;;9.75
-;3;9.75;Lagler Christian;*;18;54.25;6;8.5;3;-1.25;8.75
o;7;18.5;Gemsch Stefan;;20;53.75;8;18.25;1;-0.25;8.5
+;13;27.0;Auf der Maur Michael;;28;35.5;13;27.0;0;0.0;9.75
o;10;36.75;Bühler Kilian;*;9;56.5;11;36.5;1;-0.25;8.5
+;16;45.25;Püntener Luca (2005);;21;53.5;17;45.0;1;-0.25;9.75

15e;Auf der Maur Alex;;;;;;;;;;55.0
+;;;von Moos Nico (2006);;;;;;;;9.75
o;3;9.75;Ambühl Joel;**;9;56.5;6;8.5;3;-1.25;8.5
+;8;18.25;Baumann Marco;;15;55.0;8;18.25;0;0.0;9.75
o;9;28.0;Odermatt Remo;*;12;55.75;12;27.25;3;-0.75;8.5
+;11;36.5;Herger Lars (2005);;20;53.75;10;36.75;-1;0.25;10.0
o;11;46.5;Bürli Roger;**;9;56.5;10;46.75;-1;0.25;8.5

15f;Schilter Daniel;*;;;;;;;;;55.0
o;;;Herger Fabian;*;;;;;;;8.5
+;6;8.5;Bucher Manuel (2006);;21;53.5;3;9.75;-3;1.25;10.0
+;7;18.5;von Ah Quirin;;25;44.25;7;18.5;0;0.0;9.75
o;8;28.25;Zemp Christian (2004);*;16;54.75;10;27.75;2;-0.5;8.5
