3341-2019-06-10_Stoos-Schwinget-ST

1a;Wicki Joel;**;;;;;;;;;59.5
-;5;8.5;Ambühl Joel;**;25;26.25;4;8.75;-1;0.25;8.75
+;11;17.25;Waser Reto;*;24;34.25;12;17.0;1;-0.25;10.0
+;8;27.25;Schmid Simon;*;18;53.0;8;27.25;0;0.0;9.75
-;9;37.0;Egli Damian;**;9;55.5;10;36.75;1;-0.25;8.75
+;11;45.75;Rohrer Ueli;*;15;54.0;12;45.5;1;-0.25;10.0

8e;Rüegger Aaron;*;;;;;;;;;55.75
-;;;Rohrer Ueli;*;;;;;;;8.75
+;4;8.75;Schürpf Bruno;*;20;35.5;5;8.5;1;-0.25;9.75
-;6;18.5;Effinger Markus;*;20;35.5;7;18.25;1;-0.25;8.75
+;8;27.25;Thierstein Marco;*;17;53.25;8;27.25;0;0.0;9.75
-;9;37.0;Imhof Andi;***;12;54.75;9;37.0;0;0.0;8.75
+;11;45.75;Felder Martin;*;14;54.25;11;45.75;0;0.0;10.0

8f;Kropf Marcel;**;;;;;;;;;55.75
+;;;Höfliger Andreas;**;;;;;;;10.0
o;1;10.0;Bieri Marcel;**;6;56.25;1;10.0;0;0.0;8.5
+;6;18.5;Thierstein Marco;*;17;53.25;5;18.75;-1;0.25;10.0
+;4;28.5;Nötzli Reto;***;9;55.5;8;27.25;4;-1.25;10.0
o;3;38.5;Wicki Joel;**;1;59.5;1;39.5;-2;1.0;8.5
-;6;47.0;Schuler Philipp;**;9;55.5;7;46.75;1;-0.25;8.75

8g;Gäumann Stefan;*;;;;;;;;;55.75
-;;;Ambühl Joel;**;;;;;;;8.75
+;4;8.75;Rohrer Ueli;*;15;54.0;4;8.75;0;0.0;9.75
+;6;18.5;Graber Michael;*;21;35.25;7;18.25;1;-0.25;10.0
-;4;28.5;Müllestein Mike;***;5;56.5;5;28.25;1;-0.25;8.75
+;8;37.25;Linggi Bruno;**;15;54.0;10;36.75;2;-0.5;9.75
-;6;47.0;Bieri Marcel;**;6;56.25;4;47.5;-2;0.5;8.75

9a;Voggensperger Lars (2001);*;;;;;;;;;55.5
o;;;Van Messel Noe (2002);*;;;;;;;8.5
-;5;8.5;Schmid Simon;*;18;53.0;4;8.75;-1;0.25;8.75
+;11;17.25;Suppiger Thomas;*;20;35.5;12;17.0;1;-0.25;9.75
+;9;27.0;Effinger Markus;*;20;35.5;9;27.0;0;0.0;10.0
+;9;37.0;Hess Dominik;*;10;55.25;9;37.0;0;0.0;10.0
o;6;47.0;Müllestein Mike;***;5;56.5;7;46.75;1;-0.25;8.5

9b;Hermann Oliver;*;;;;;;;;;55.5
+;;;Gwerder Andreas;*;;;;;;;10.0
-;1;10.0;Kurmann Toni;*;14;54.25;2;9.75;1;-0.25;8.75
+;5;18.75;Herger Matthias;**;6;56.25;5;18.75;0;0.0;10.0
o;3;28.75;Reichmuth Pirmin;***;2;57.75;6;28.0;3;-0.75;8.5
+;8;37.25;Burch Jonas;*;10;55.25;9;37.0;1;-0.25;9.75
o;6;47.0;Arnold Stefan;**;4;57.0;6;47.0;0;0.0;8.5

9c;Egli Damian;**;;;;;;;;;55.5
+;;;Brand Christian;**;;;;;;;10.0
o;1;10.0;Alpiger Nick;***;4;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Wittwer Josias;**;18;53.0;6;18.5;0;0.0;9.75
o;5;28.25;Bieri Marcel;**;6;56.25;3;28.75;-2;0.5;8.5
-;10;36.75;Leuthard Reto;**;8;55.75;9;37.0;-1;0.25;8.75
+;12;45.5;Brun Samuel;**;14;54.25;11;45.75;-1;0.25;10.0

9d;Schuler Philipp;**;;;;;;;;;55.5
o;;;Hügli Kaj;**;;;;;;;8.5
o;5;8.5;Schwander Severin;**;13;54.5;4;8.75;-1;0.25;8.5
+;12;17.0;Anderegg David;*;20;35.5;7;18.25;-5;1.25;10.0
+;9;27.0;Graber Michael;*;21;35.25;10;26.75;1;-0.25;9.75
+;10;36.75;Vieira Tiago;**;16;53.5;12;36.25;2;-0.5;10.0
-;7;46.75;Kropf Marcel;**;8;55.75;6;47.0;-1;0.25;8.75

9e;Nötzli Reto;***;;;;;;;;;55.5
+;;;Erb Roger;**;;;;;;;10.0
-;1;10.0;Döbeli Andreas;*;8;55.75;2;9.75;1;-0.25;8.75
o;5;18.75;Schurtenberger Sven;***;4;57.0;2;19.75;-3;1.0;8.5
o;8;27.25;Kropf Marcel;**;8;55.75;4;28.5;-4;1.25;8.5
+;14;35.75;Fellmann Roman;**;15;54.0;9;37.0;-5;1.25;10.0
+;11;45.75;Gehrig Philipp;**;13;54.5;10;46.0;-1;0.25;9.75

10a;Burch Jonas;*;;;;;;;;;55.25
+;;;Kennel Beat;*;;;;;;;10.0
-;1;10.0;Döbeli Lukas;**;14;54.25;2;9.75;1;-0.25;8.75
o;5;18.75;Ulrich Andreas;***;7;56.0;7;18.25;2;-0.5;8.5
+;8;27.25;Mangold Martin;*;17;53.25;8;27.25;0;0.0;9.75
o;9;37.0;Hermann Oliver;*;9;55.5;8;37.25;-1;0.25;8.5
+;12;45.5;Schmid Samuel;**;16;53.5;14;45.0;2;-0.5;9.75

10b;Erb Roger;**;;;;;;;;;55.25
o;;;Nötzli Reto;***;;;;;;;8.5
+;5;8.5;Binggeli Stefan;**;26;25.75;4;8.75;-1;0.25;10.0
o;6;18.5;Scheuber Lutz;**;7;56.0;6;18.5;0;0.0;8.5
+;9;27.0;Bürgler André;*;19;36.25;7;27.5;-2;0.5;10.0
o;9;37.0;Suppiger René;***;7;56.0;8;37.25;-1;0.25;8.5
+;12;45.5;Linggi Bruno;**;15;54.0;12;45.5;0;0.0;9.75

10c;Zenger Niklaus;***;;;;;;;;;55.25
o;;;Schurtenberger Sven;***;;;;;;;8.5
-;5;8.5;Reichmuth Marco;**;11;55.0;2;9.75;-3;1.25;9.0
+;10;17.5;Kurmann Toni;*;14;54.25;6;18.5;-4;1.0;9.75
+;8;27.25;Linggi Bruno;**;15;54.0;6;28.0;-2;0.75;10.0
-;8;37.25;Scheuber Lutz;**;7;56.0;8;37.25;0;0.0;8.75
-;10;46.0;Imhof Andi;***;12;54.75;11;45.75;1;-0.25;9.0
+;11;55.0;Kälin Roland;**;12;54.75;12;54.75;1;-0.25;0.25

10d;Hess Dominik;*;;;;;;;;;55.25
+;;;Mangold Martin;*;;;;;;;9.75
-;2;9.75;Bürgler André;*;19;36.25;1;10.0;-1;0.25;8.75
+;6;18.5;Schwander Severin;**;13;54.5;5;18.75;-1;0.25;10.0
o;4;28.5;Suppiger René;***;7;56.0;8;27.25;4;-1.25;8.5
o;9;37.0;Voggensperger Lars (2001);*;9;55.5;9;37.0;0;0.0;8.5
+;12;45.5;Schöpfer Ronny;*;15;54.0;13;45.25;1;-0.25;9.75

10e;Studinger Stephan;**;;;;;;;;;55.25
o;;;Müllestein Mike;***;;;;;;;8.5
+;5;8.5;Fellmann Roman;**;15;54.0;4;8.75;-1;0.25;10.0
o;6;18.5;Schöpfer Ronny;*;15;54.0;7;18.25;1;-0.25;8.5
+;9;27.0;Zurfluh Roman;**;14;54.25;8;27.25;-1;0.25;10.0
+;9;37.0;Höfliger Andreas;**;11;55.0;10;36.75;1;-0.25;9.75
o;7;46.75;Suppiger Werner;**;5;56.5;8;46.5;1;-0.25;8.5

10f;Schenk Patrick;***;;;;;;;;;55.25
o;;;Wicki Joel;**;;;;;;;8.5
+;5;8.5;Kälin Roland;**;12;54.75;2;9.75;-3;1.25;10.0
+;6;18.5;Suppiger René;***;7;56.0;5;18.75;-1;0.25;9.75
+;5;28.25;Betschart Remo;**;12;54.75;4;28.5;-1;0.25;10.0
o;4;38.25;Schurtenberger Sven;***;4;57.0;4;38.25;0;0.0;8.5
o;7;46.75;Van Messel Noe (2002);*;3;57.25;5;47.25;-2;0.5;8.5

11a;Reichmuth Marco;**;;;;;;;;;55.0
+;;;Leuthard Reto;**;;;;;;;9.75
-;2;9.75;Zenger Niklaus;***;10;55.25;5;8.5;3;-1.25;9.0
o;5;18.75;Odermatt Adrian (2001);*;11;55.0;5;18.75;0;0.0;8.75
o;7;27.5;Herger Matthias;**;6;56.25;7;27.5;0;0.0;8.5
-;13;36.0;Schmid Samuel;**;16;53.5;13;36.0;0;0.0;9.0
+;14;45.0;Fellmann Roman;**;15;54.0;12;45.5;-2;0.5;10.0

11b;Höfliger Andreas;**;;;;;;;;;55.0
o;;;Kropf Marcel;**;;;;;;;8.5
+;5;8.5;Ettlin Martin;*;24;34.25;4;8.75;-1;0.25;9.75
o;7;18.25;Döbeli Lukas;**;14;54.25;6;18.5;-1;0.25;8.5
+;10;26.75;Anderegg David;*;20;35.5;10;26.75;0;0.0;10.0
o;10;36.75;Studinger Stephan;**;10;55.25;9;37.0;-1;0.25;8.5
+;13;45.25;Zimmermann Martin;**;17;53.25;15;44.75;2;-0.5;9.75

11c;Arnold Raphael;**;;;;;;;;;55.0
-;;;Schmid Samuel;**;;;;;;;8.75
+;4;8.75;Brun Samuel;**;14;54.25;4;8.75;0;0.0;9.75
+;6;18.5;Felder Martin;*;14;54.25;5;18.75;-1;0.25;9.75
o;5;28.25;Suppiger Werner;**;5;56.5;6;28.0;1;-0.25;8.5
+;10;36.75;Döbeli Lukas;**;14;54.25;9;37.0;-1;0.25;9.75
o;8;46.5;Räbmatter Patrick;***;5;56.5;7;46.75;-1;0.25;8.5

11d;Odermatt Adrian (2001);*;;;;;;;;;55.0
+;;;Ettlin Martin;*;;;;;;;10.0
-;1;10.0;Durrer Nando;*;17;53.25;2;9.75;1;-0.25;8.75
+;5;18.75;Reichmuth Marco;**;11;55.0;5;18.75;0;0.0;9.75
-;4;28.5;Ulrich Andreas;***;7;56.0;5;28.25;1;-0.25;9.0
o;7;37.5;Kenel Franz-Toni;*;8;55.75;8;37.25;1;-0.25;8.5
-;10;46.0;Betschart Remo;**;12;54.75;11;45.75;1;-0.25;9.0

11e;Mathis Marcel;***;;;;;;;;;55.0
-;;;Suppiger René;***;;;;;;;8.75
+;4;8.75;Kessler Joel;*;16;53.5;1;10.0;-3;1.25;10.0
-;5;18.75;Reichmuth Pirmin;***;2;57.75;4;19.0;-1;0.25;8.75
+;7;27.5;Schöpfer Ronny;*;15;54.0;6;28.0;-1;0.5;10.0
-;7;37.5;Arnold Stefan;**;4;57.0;4;38.25;-3;0.75;8.75
-;9;46.25;Inniger Thomas;**;8;55.75;6;47.0;-3;0.75;8.75

12a;Ulrich Marco;*;;;;;;;;;54.75
+;;;Suppiger Thomas;*;;;;;;;9.75
+;2;9.75;Berger Lorenz;*;7;56.0;1;10.0;-1;0.25;9.75
o;3;19.5;Imhof Andi;***;12;54.75;6;18.5;3;-1.0;8.5
o;6;28.0;Arnold Stefan;**;4;57.0;4;28.5;-2;0.5;8.5
+;11;36.5;Stoll Simon;**;14;54.25;14;35.75;3;-0.75;9.75
o;9;46.25;Herger Matthias;**;6;56.25;9;46.25;0;0.0;8.5

12b;Imhof Andi;***;;;;;;;;;54.75
+;;;Räbmatter Patrick;***;;;;;;;9.75
-;2;9.75;Betschart Remo;**;12;54.75;2;9.75;0;0.0;8.75
+;6;18.5;Ulrich Marco;*;12;54.75;3;19.5;-3;1.0;10.0
o;4;28.5;Wicki Joel;**;1;59.5;2;29.5;-2;1.0;8.5
-;9;37.0;Rüegger Aaron;*;8;55.75;9;37.0;0;0.0;8.75
-;11;45.75;Zenger Niklaus;***;10;55.25;10;46.0;-1;0.25;9.0

12c;Betschart Remo;**;;;;;;;;;54.75
+;;;Stoll Simon;**;;;;;;;9.75
-;2;9.75;Imhof Andi;***;12;54.75;2;9.75;0;0.0;8.75
+;6;18.5;Berger Lorenz;*;7;56.0;6;18.5;0;0.0;10.0
o;4;28.5;Schenk Patrick;***;10;55.25;5;28.25;1;-0.25;8.5
o;9;37.0;Döbeli Andreas;*;8;55.75;8;37.25;-1;0.25;8.75
-;11;45.75;Odermatt Adrian (2001);*;11;55.0;10;46.0;-1;0.25;9.0

12d;Kälin Roland;**;;;;;;;;;54.75
+;;;Klausner Yanick;**;;;;;;;9.75
o;2;9.75;Schenk Patrick;***;10;55.25;5;8.5;3;-1.25;8.75
o;6;18.5;Inniger Thomas;**;8;55.75;7;18.25;1;-0.25;8.5
-;9;27.0;Felder Martin;*;14;54.25;8;27.25;-1;0.25;9.0
+;13;36.0;Michel Jonas;*;17;53.25;13;36.0;0;0.0;10.0
o;10;46.0;Zenger Niklaus;***;10;55.25;10;46.0;0;0.0;8.75

13a;Schwander Severin;**;;;;;;;;;54.5
-;;;Herger Matthias;**;;;;;;;8.75
+;4;8.75;Schuler Philipp;**;9;55.5;5;8.5;1;-0.25;10.0
o;5;18.75;Hess Dominik;*;10;55.25;6;18.5;1;-0.25;8.5
+;8;27.25;Kennel Beat;*;17;53.25;8;27.25;0;0.0;10.0
o;8;37.25;Müllestein Mike;***;5;56.5;9;37.0;1;-0.25;8.75
o;10;46.0;Scheuber Lutz;**;7;56.0;10;46.0;0;0.0;8.5

13b;Gehrig Philipp;**;;;;;;;;;54.5
-;;;Zimmermann Martin;**;;;;;;;9.0
-;3;9.0;Thierstein Marco;*;17;53.25;2;9.75;-1;0.75;9.0
o;8;18.0;Fankhauser Reto;**;20;35.5;11;17.25;3;-0.75;8.5
+;11;26.5;Schürpf Bruno;*;20;35.5;9;27.0;-2;0.5;9.75
+;12;36.25;Kessler Joel;*;16;53.5;12;36.25;0;0.0;9.75
o;10;46.0;Nötzli Reto;***;9;55.5;11;45.75;1;-0.25;8.5

14a;Brun Samuel;**;;;;;;;;;54.25
o;;;Zurfluh Roman;**;;;;;;;8.75
o;4;8.75;Arnold Raphael;**;11;55.0;4;8.75;0;0.0;8.5
-;11;17.25;Ambühl Joel;**;25;26.25;10;17.5;-1;0.25;8.75
+;13;26.0;Herger Fabian;*;23;34.75;13;26.0;0;0.0;9.75
+;14;35.75;Kennel Beat;*;17;53.25;14;35.75;0;0.0;10.0
o;11;45.75;Egli Damian;**;9;55.5;12;45.5;1;-0.25;8.5

14b;Schillig Willi;**;;;;;;;;;54.25
-;;;Binggeli Stefan;**;;;;;;;8.75
o;4;8.75;Brun Jonas;**;20;35.5;5;8.5;1;-0.25;8.5
+;11;17.25;Fink Bruno;*;24;34.25;11;17.25;0;0.0;10.0
o;8;27.25;Kenel Franz-Toni;*;8;55.75;3;28.75;-5;1.5;8.5
-;14;35.75;Schmid Simon;*;18;53.0;14;35.75;0;0.0;8.75
+;16;44.5;Thierstein Marco;*;17;53.25;15;44.75;-1;0.25;9.75

14c;Felder Martin;*;;;;;;;;;54.25
o;;;Bürgler André;*;;;;;;;8.75
+;4;8.75;Brand Christian;**;24;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Arnold Raphael;**;11;55.0;6;18.5;1;-0.25;8.5
-;8;27.25;Kälin Roland;**;12;54.75;9;27.0;1;-0.25;8.75
+;13;36.0;Burger Matthieu (2001);*;17;53.25;13;36.0;0;0.0;9.75
o;11;45.75;Rüegger Aaron;*;8;55.75;11;45.75;0;0.0;8.5

14d;Inderbitzin Daniel;*;;;;;;;;;54.25
o;;;Graber Michael;*;;;;;;;8.75
-;4;8.75;Arnold Kornel;*;22;35.0;5;8.5;1;-0.25;8.75
o;10;17.5;Fellmann Roman;**;15;54.0;11;17.25;1;-0.25;8.5
+;13;26.0;Kocher Remo;**;24;34.25;14;25.75;1;-0.25;9.75
+;14;35.75;Wittwer Josias;**;18;53.0;14;35.75;0;0.0;9.75
-;12;45.5;Burger Matthieu (2001);*;17;53.25;16;44.5;4;-1.0;8.75

14e;Stoll Simon;**;;;;;;;;;54.25
o;;;Betschart Remo;**;;;;;;;8.5
-;5;8.5;Zimmermann Martin;**;17;53.25;3;9.0;-2;0.5;8.75
+;11;17.25;Binggeli Stefan;**;26;25.75;11;17.25;0;0.0;10.0
o;8;27.25;Fellmann Roman;**;15;54.0;8;27.25;0;0.0;8.5
o;14;35.75;Ulrich Marco;*;12;54.75;11;36.5;-3;0.75;8.5
+;17;44.25;Schmid Simon;*;18;53.0;16;44.5;-1;0.25;10.0

14f;Döbeli Lukas;**;;;;;;;;;54.25
+;;;Scheuber Lutz;**;;;;;;;9.75
-;2;9.75;Burch Jonas;*;10;55.25;1;10.0;-1;0.25;8.75
+;6;18.5;Höfliger Andreas;**;11;55.0;7;18.25;1;-0.25;9.75
-;5;28.25;Zimmermann Martin;**;17;53.25;7;27.5;2;-0.75;8.75
o;9;37.0;Arnold Raphael;**;11;55.0;10;36.75;1;-0.25;8.5
-;12;45.5;Kurmann Toni;*;14;54.25;12;45.5;0;0.0;8.75

14g;Kurmann Toni;*;;;;;;;;;54.25
+;;;Reichmuth Lukas;*;;;;;;;9.75
-;2;9.75;Hermann Oliver;*;9;55.5;1;10.0;-1;0.25;8.75
o;6;18.5;Zenger Niklaus;***;10;55.25;10;17.5;4;-1.0;8.5
+;9;27.0;Berger Lorenz;*;7;56.0;8;27.25;-1;0.25;10.0
o;9;37.0;Van Messel Noe (2002);*;3;57.25;7;37.5;-2;0.5;8.5
-;12;45.5;Döbeli Lukas;**;14;54.25;12;45.5;0;0.0;8.75

14h;Zurfluh Roman;**;;;;;;;;;54.25
+;;;Brun Samuel;**;;;;;;;9.75
-;2;9.75;Kenel Franz-Toni;*;8;55.75;1;10.0;-1;0.25;8.75
-;6;18.5;Durrer Nando;*;17;53.25;6;18.5;0;0.0;8.75
o;8;27.25;Studinger Stephan;**;10;55.25;9;27.0;1;-0.25;8.5
+;14;35.75;Mangold Martin;*;17;53.25;14;35.75;0;0.0;9.75
-;12;45.5;Vieira Tiago;**;16;53.5;15;44.75;3;-0.75;8.75

15a;Fellmann Roman;**;;;;;;;;;54.0
-;;;Vieira Tiago;**;;;;;;;8.75
o;4;8.75;Studinger Stephan;**;10;55.25;5;8.5;1;-0.25;8.5
+;11;17.25;Inderbitzin Daniel;*;14;54.25;10;17.5;-1;0.25;10.0
+;8;27.25;Stoll Simon;**;14;54.25;8;27.25;0;0.0;9.75
o;9;37.0;Nötzli Reto;***;9;55.5;14;35.75;5;-1.25;8.5
