4026-2018-08-12_Schaffhauser_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;60.0
+;;;Burkhalter Stefan;***;;;;;;;10.0
+;1;10.0;Baumann Rico;*;4;57.25;1;10.0;0;0.0;10.0
+;1;20.0;Bernold Christian;**;5;57.0;2;19.75;1;-0.25;10.0
+;1;30.0;Krähenbühl Tobias;***;6;56.75;2;28.75;1;-1.25;10.0
+;1;40.0;Vollenweider Jeremy;*;5;57.0;2;38.5;1;-1.5;10.0
+;1;50.0;Schneider Domenic;***;2;57.75;5;47.75;4;-2.25;10.0

2a;Schneider Domenic;***;;;;;;;;;57.75
o;;;Oertig Dominik;**;;;;;;;8.5
+;5;8.5;Ackermann Remo;*;9;56.0;1;10.0;-4;1.5;10.0
+;6;18.5;Jörger Marc;*;15;54.5;5;18.75;-1;0.25;9.75
+;4;28.25;Hersche Martin;***;5;57.0;2;28.75;-2;0.5;9.75
+;4;38.0;Giger Urs;*;10;55.75;2;38.5;-2;0.5;9.75
+;5;47.75;Schmid Patrick;*;11;55.5;8;47.0;3;-0.75;10.0
o;2;57.75;Bless Michael;***;1;60.0;1;60.0;-1;2.25;0.0

2b;Schlegel Sandro;**;;;;;;;;;57.75
+;;;Bühler Hannes;*;;;;;;;9.75
o;2;9.75;Hersche Martin;***;5;57.0;2;9.75;0;0.0;8.5
+;7;18.25;Furrer Matthias;;24;35.25;7;18.25;0;0.0;10.0
+;4;28.25;Funk Nicola;*;12;55.25;3;28.5;-1;0.25;9.75
+;4;38.0;Rentsch Christian;;12;55.25;3;38.25;-1;0.25;10.0
+;4;48.0;Rüegg Fabian;*;11;55.5;8;47.0;4;-1.0;9.75

3a;Lehmann Philipp;;;;;;;;;;57.5
+;;;Flütsch Marco;;;;;;;;10.0
-;1;10.0;Mettler Valentin;*;8;56.25;5;8.5;4;-1.5;9.0
o;4;19.0;Rhyner Michael;**;4;57.25;6;18.5;2;-0.5;8.5
+;6;27.5;Jörger Corsin;;11;55.5;7;27.25;1;-0.25;10.0
+;5;37.5;Schläpfer Matthias;*;7;56.5;4;38.0;-1;0.5;10.0
+;6;47.5;Straub Robin;*;11;55.5;8;47.0;2;-0.5;10.0

3b;Oertig Dominik;**;;;;;;;;;57.5
+;;;Schneider Domenic;***;;;;;;;9.75
-;2;9.75;Schläpfer Markus;**;7;56.5;2;9.75;0;0.0;8.75
-;6;18.5;Hersche Martin;***;5;57.0;2;19.75;-4;1.25;9.0
+;6;27.5;Burkhard Tobias;;12;55.25;4;28.25;-2;0.75;10.0
+;5;37.5;Flütsch Marco;;12;55.25;4;38.0;-1;0.5;10.0
+;6;47.5;Keller Manuel;*;10;55.75;7;47.25;1;-0.25;10.0

4a;Baumann Rico;*;;;;;;;;;57.25
+;;;Jörger Marc;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;1;60.0;1;10.0;0;0.0;8.5
+;6;18.5;Signer Walter;;20;53.0;5;18.75;-1;0.25;10.0
+;3;28.5;Keller Dominic;;10;55.75;3;28.5;0;0.0;10.0
-;2;38.5;Schläpfer Markus;**;7;56.5;4;38.0;2;-0.5;8.75
+;7;47.25;Giger Urs;*;10;55.75;8;47.0;1;-0.25;10.0

4b;Notz Beni;***;;;;;;;;;57.25
-;;;Gmür Pirmin;**;;;;;;;9.0
+;3;9.0;Kunz Daniel;*;14;54.75;1;10.0;-2;1.0;10.0
+;4;19.0;Schläpfer Matthias;*;7;56.5;2;19.75;-2;0.75;9.75
+;2;28.75;Glauser Thomas;**;14;54.75;3;28.5;1;-0.25;9.75
+;2;38.5;Schwyn Adrian;*;7;56.5;3;38.25;1;-0.25;10.0
-;2;48.5;Bernold Christian;**;5;57.0;3;48.25;1;-0.25;8.75

4c;Rhyner Michael;**;;;;;;;;;57.25
o;;;Schläpfer Markus;**;;;;;;;8.5
+;5;8.5;Jörger Corsin;;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Lehmann Philipp;;3;57.5;4;19.0;-2;0.5;10.0
-;3;28.5;Kuster Marcel;***;5;57.0;2;28.75;-1;0.25;8.75
+;6;37.25;Kunz Daniel;*;14;54.75;5;37.5;-1;0.25;10.0
+;7;47.25;Wolfer Lukas;*;12;55.25;9;46.75;2;-0.5;10.0

4d;Burkhalter Stefan;***;;;;;;;;;57.25
o;;;Bless Michael;***;;;;;;;8.5
+;5;8.5;Elmer Daniel;*;7;56.5;2;9.75;-3;1.25;10.0
+;6;18.5;Dörig Erich;*;8;56.25;4;19.0;-2;0.5;10.0
-;3;28.5;Dändliker Shane;**;6;56.75;3;28.5;0;0.0;8.75
+;6;37.25;Kammermann Thomas;*;15;54.5;6;37.25;0;0.0;10.0
+;7;47.25;Funk Nicola;*;12;55.25;9;46.75;2;-0.5;10.0

5a;Hersche Martin;***;;;;;;;;;57.0
+;;;Dändliker Shane;**;;;;;;;9.75
+;2;9.75;Schlegel Sandro;**;2;57.75;2;9.75;0;0.0;10.0
-;2;19.75;Oertig Dominik;**;3;57.5;6;18.5;4;-1.25;9.0
o;2;28.75;Schneider Domenic;***;2;57.75;4;28.25;2;-0.5;8.5
+;6;37.25;Oettli Marco;*;8;56.25;4;38.0;-2;0.75;10.0
+;7;47.25;Ackermann Remo;*;9;56.0;6;47.5;-1;0.25;9.75

5b;Schudel Simon;*;;;;;;;;;57.0
o;;;Straub Robin;*;;;;;;;8.5
+;5;8.5;Biser Niklaus;;24;35.25;5;8.5;0;0.0;10.0
+;6;18.5;Manser Adrian;;18;53.75;7;18.25;1;-0.25;10.0
o;3;28.5;Schläpfer Matthias;*;7;56.5;4;28.25;1;-0.25;8.5
+;7;37.0;Giger Lorenz (2000);;17;54.0;8;36.75;1;-0.25;10.0
+;8;47.0;Fässler Michael;;12;55.25;9;46.75;1;-0.25;10.0

5c;Vollenweider Jeremy;*;;;;;;;;;57.0
+;;;Wolfer Lukas;*;;;;;;;10.0
o;1;10.0;Kuster Marcel;***;5;57.0;2;9.75;1;-0.25;8.5
+;6;18.5;Sieber Marc (2000);;21;52.75;6;18.5;0;0.0;10.0
+;3;28.5;Pfister Florian;*;13;55.0;4;28.25;1;-0.25;10.0
o;2;38.5;Bless Michael;***;1;60.0;1;40.0;-1;1.5;8.5
+;8;47.0;Stadelmann Patrick (2000);;12;55.25;9;46.75;1;-0.25;10.0

5d;Bernold Christian;**;;;;;;;;;57.0
+;;;Glauser Thomas;**;;;;;;;9.75
