3688-2021-08-15_21_Schwaegalp-Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;58.75
+;;;Stucki Christian;***;;;;;;;9.75
+;2;9.75;Ramseier Fritz;**;10;55.25;1;10.0;-1;0.25;9.75
+;2;19.5;Staudenmann Fabian;***;2;57.25;1;19.75;-1;0.25;9.75
+;1;29.25;von Weissenfluh Kilian;***;4;56.75;4;28.5;3;-0.75;9.75
+;1;39.0;Kramer Lario;***;3;57.0;3;38.5;2;-0.5;9.75
+;1;48.75;Wiget Michael;***;3;57.0;2;48.25;1;-0.5;10.0

2a;Rychen Roger;***;;;;;;;;;57.25
-;;;Inniger Thomas;***;;;;;;;9.0
+;3;9.0;Hofer Sven;**;11;55.0;2;9.75;-1;0.75;10.0
o;3;19.0;Stucki Christian;***;3;57.0;5;18.5;2;-0.5;8.5
+;7;27.5;Burger Matthieu;**;8;55.75;5;28.25;-2;0.75;10.0
+;7;37.5;Gäumann Stefan;**;12;54.75;8;37.25;1;-0.25;9.75
+;5;47.25;Zaugg Lars;*;9;55.5;6;47.0;1;-0.25;10.0

2b;Staudenmann Fabian;***;;;;;;;;;57.25
+;;;Schlegel Werner;**;;;;;;;9.75
+;2;9.75;Biäsch Christian;*;14;54.25;2;9.75;0;0.0;10.0
o;1;19.75;Giger Samuel;***;1;58.75;2;19.5;1;-0.25;8.5
+;5;28.25;Bollhalder Manuel;*;9;55.5;5;28.25;0;0.0;10.0
-;4;38.25;Schneider Domenic;***;3;57.0;5;38.0;1;-0.25;9.0
+;5;47.25;Duplan Steve;***;9;55.5;6;47.0;1;-0.25;10.0

3a;Kramer Lario;***;;;;;;;;;57.0
-;;;Ott Damian;**;;;;;;;8.75
+;4;8.75;Poltera Andrin;*;9;55.5;4;8.75;0;0.0;10.0
+;4;18.75;Schneider Domenic;***;3;57.0;1;19.75;-3;1.0;9.75
+;4;28.5;Rüegg Fabian;*;15;54.0;5;28.25;1;-0.25;10.0
o;3;38.5;Giger Samuel;***;1;58.75;1;39.0;-2;0.5;8.5
+;6;47.0;Iseli Marco;**;10;55.25;7;46.75;1;-0.25;10.0

3b;Wiget Michael;***;;;;;;;;;57.0
o;;;Leuppi Samir;***;;;;;;;8.5
+;5;8.5;Rüegg Fabian;*;15;54.0;2;9.75;-3;1.25;10.0
+;5;18.5;Collaud Romain;**;9;55.5;5;18.5;0;0.0;9.75
+;5;28.25;Orlik Armon;***;6;56.25;2;29.0;-3;0.75;10.0
+;4;38.25;Ott Damian;**;10;55.25;4;38.25;0;0.0;10.0
o;2;48.25;Giger Samuel;***;1;58.75;1;48.75;-1;0.5;8.75

3c;Schneider Domenic;***;;;;;;;;;57.0
+;;;Aeschbacher Matthias;***;;;;;;;10.0
+;1;10.0;Roschi Ruedi;**;5;56.5;2;9.75;1;-0.25;9.75
o;1;19.75;Kramer Lario;***;3;57.0;4;18.75;3;-1.0;8.5
+;5;28.25;Gasser Dominik;*;7;56.0;2;29.0;-3;0.75;9.75
-;5;38.0;Staudenmann Fabian;***;2;57.25;4;38.25;-1;0.25;9.0
+;6;47.0;Berger Lorenz;**;10;55.25;7;46.75;1;-0.25;10.0

3d;Leuppi Samir;***;;;;;;;;;57.0
+;;;Wiget Michael;***;;;;;;;10.0
-;1;10.0;Gnägi Florian;***;7;56.0;2;9.75;1;-0.25;8.75
+;4;18.75;Pianta Christian;*;19;52.75;4;18.75;0;0.0;10.0
o;3;28.75;Stucki Christian;***;3;57.0;5;28.25;2;-0.5;8.5
+;8;37.25;Kramer Dorian;**;12;54.75;7;37.5;-1;0.25;10.0
+;5;47.25;Inniger Thomas;***;10;55.25;7;46.75;2;-0.5;9.75
