4149-2018-05-06_Zuercher_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;59.25
+;5;18.75;Lehmann Philipp;;8;56.5;1;20.0;-4;1.25;9.75
o;4;28.5;Hochholdinger Roman;**;11;55.75;9;27.25;5;-1.25;8.5
-;9;37.0;Nägeli Roman;*;10;56.0;9;37.0;0;0.0;9.0
+;12;46.0;Oettli Silvio (2000);;15;54.75;11;46.25;-1;0.25;10.0

10c;Nägeli Roman;*;;;;;;;;;56.0
+;;;Ueltschi Patric;*;;;;;;;9.75
o;2;9.75;Ammann Rico;*;11;55.75;2;9.75;0;0.0;8.5
-;7;18.25;Lanter Christian;;8;56.5;4;19.0;-3;0.75;9.0
+;9;27.25;Kiener Raphael (2000);;13;55.25;4;28.5;-5;1.25;9.75
-;9;37.0;Bernold Michael;*;10;56.0;9;37.0;0;0.0;9.0
+;12;46.0;Giger Florian (2001);;14;55.0;10;46.5;-2;0.5;10.0

10d;Schlegel Reto;*;;;;;;;;;56.0
o;;;Ammann Rico;*;;;;;;;8.75
-;4;8.75;Gosswiler Livio (2000);;17;54.25;2;9.75;-2;1.0;9.0
+;8;17.75;Burkhard Roger;;29;35.5;6;18.5;-2;0.75;10.0
+;7;27.75;Straub Paul;;18;54.0;9;27.25;2;-0.5;9.75
+;7;37.5;Leuthard Reto;*;8;56.5;5;38.0;-2;0.5;10.0
o;6;47.5;Arztmann Beda;*;3;57.75;4;48.0;-2;0.5;8.5

10e;Schlegel Sandro;**;;;;;;;;;56.0
+;;;Krähenbühl Lukas;*;;;;;;;10.0
-;1;10.0;Eugster Ruedi;**;6;57.0;2;9.75;1;-0.25;8.75
+;5;18.75;Odermatt Christoph;*;25;46.75;3;19.5;-2;0.75;10.0
o;3;28.75;Gisler Bruno;***;5;57.25;3;28.75;0;0.0;8.5
+;8;37.25;Reichmuth Beat;;8;56.5;4;38.25;-4;1.0;10.0
o;7;47.25;Riget Tobias;**;6;57.0;7;47.25;0;0.0;8.75

11a;Buchmann Michael;;;;;;;;;;55.75
+;;;Dudli Gallus;;;;;;;;10.0
+;1;10.0;Kiener Tobias;;29;35.5;1;10.0;0;0.0;10.0
o;1;20.0;Eugster Ruedi;**;6;57.0;6;18.5;5;-1.5;8.5
-;4;28.5;Koch Reto;*;11;55.75;5;28.25;1;-0.25;9.0
+;7;37.5;Weibel Lucien;;17;54.25;8;37.25;1;-0.25;9.75
o;7;47.25;Bickel Stefan;*;8;56.5;10;46.5;3;-0.75;8.5

11b;Bosshard Dario;;;;;;;;;;55.75
+;;;Brülisauer Dominik (2001);;;;;;;;10.0
o;1;10.0;Vollmeier Sandro;;14;55.0;2;9.75;1;-0.25;8.75
o;5;18.75;Leuppi Karim;*;12;55.5;10;17.25;5;-1.5;8.75
+;8;27.5;Wildhaber Jannik;;16;54.5;8;27.5;0;0.0;10.0
o;7;37.5;Hersche Daniel;*;14;55.0;11;36.5;4;-1.0;8.5
+;12;46.0;Weibel Lucien;;17;54.25;13;45.75;1;-0.25;9.75

11c;Hochholdinger Roman;**;;;;;;;;;55.75
-;;;Steiner Michael;**;;;;;;;8.75
o;4;8.75;Kid Simon;**;6;57.0;4;8.75;0;0.0;8.5
+;10;17.25;Giger Florian (2001);;14;55.0;6;18.5;-4;1.25;10.0
+;9;27.25;Bernold Michael;*;10;56.0;4;28.5;-5;1.25;10.0
o;8;37.25;Arztmann Beda;*;3;57.75;4;38.25;-4;1.0;8.5
+;13;45.75;Vollmeier Sandro;;14;55.0;10;46.5;-3;0.75;10.0

11d;Rüegg Patrick;;;;;;;;;;55.75
+;;;Signer Ramon (2002);;;;;;;;9.75
-;2;9.75;Dörig Erich;*;36;26.25;4;8.75;2;-1.0;8.75
+;6;18.5;Hagenbucher Tim;;35;27.0;6;18.5;0;0.0;10.0
o;4;28.5;Odermatt Christoph;*;25;46.75;6;28.0;2;-0.5;8.5
-;9;37.0;Schmidlin Tobias (2001);;24;47.0;9;37.0;0;0.0;8.75
+;13;45.75;Grimm Michael;;27;45.5;14;45.5;1;-0.25;10.0

11e;Ammann Rico;*;;;;;;;;;55.75
+;;;Schlegel Reto;*;;;;;;;9.75
+;2;9.75;Nägeli Roman;*;10;56.0;2;9.75;0;0.0;10.0
o;2;19.75;Leuppi Samir;**;7;56.75;2;19.75;0;0.0;8.5
+;5;28.25;Oertig Simon;;13;55.25;4;28.5;-1;0.25;10.0
o;4;38.25;Rhyner Michael;**;3;57.75;6;37.75;2;-0.5;8.75
o;8;47.0;Heierli Pascal;;8;56.5;10;46.5;2;-0.5;8.75

11f;Koch Reto;*;;;;;;;;;55.75
+;;;Straub Robin;*;;;;;;;10.0
+;1;10.0;Arztmann Beda;*;3;57.75;2;9.75;1;-0.25;9.75
o;2;19.75;Schnurrenberger Roman;**;9;56.25;5;18.75;3;-1.0;8.5
-;5;28.25;Buchmann Michael;;11;55.75;4;28.5;-1;0.25;9.0
+;8;37.25;Ueltschi Patric;*;16;54.5;8;37.25;0;0.0;10.0
o;7;47.25;Nägeli Marco;**;6;57.0;7;47.25;0;0.0;8.5

12a;Hari Michi;;;;;;;;;;55.5
-;;;Wildhaber Jannik;;;;;;;;9.0
+;3;9.0;Knup Stephan;;30;35.25;5;8.5;2;-0.5;10.0
-;4;19.0;Kammermann Thomas;*;12;55.5;7;18.25;3;-0.75;8.75
-;7;27.75;Baumgartner Ramon (2002);;15;54.75;9;27.25;2;-0.5;9.0
+;10;36.75;Landolt Cla;;18;54.0;10;36.75;0;0.0;10.0
o;9;46.75;Räbsamen Marcel (2000);;8;56.5;9;46.75;0;0.0;8.75

12b;Dumelin David;*;;;;;;;;;55.5
-;;;Kid Simon;**;;;;;;;8.75
+;4;8.75;Schuler Martin;;13;55.25;2;9.75;-2;1.0;10.0
o;5;18.75;Gisler Bruno;***;5;57.25;5;18.75;0;0.0;8.5
+;9;27.25;Heierli Pascal;;8;56.5;6;28.0;-3;0.75;9.75
o;9;37.0;Wickli Beat;**;13;55.25;9;37.0;0;0.0;8.5
+;14;45.5;Lozza Roman;;15;54.75;11;46.25;-3;0.75;10.0

12c;Odermatt Michi;;;;;;;;;;55.5
+;;;Bossert Alain (2001);;;;;;;;10.0
o;1;10.0;Elmer Daniel;*;13;55.25;5;8.5;4;-1.5;8.5
-;6;18.5;Jörger Corsin;;15;54.75;6;18.5;0;0.0;8.75
+;9;27.25;Tobler Pius (2001);;29;35.5;10;27.0;1;-0.25;10.0
+;8;37.25;Keller Andreas;*;15;54.75;11;36.5;3;-0.75;9.75
o;8;47.0;Kunz Daniel;;6;57.0;8;47.0;0;0.0;8.5

12d;Elmer Adrian;*;;;;;;;;;55.5
o;;;Wey Nicola;*;;;;;;;8.5
+;5;8.5;Bucher Roland;;13;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Hänni Marc (2001);;12;55.5;6;18.5;0;0.0;9.75
o;5;28.25;Reichmuth Beat;;8;56.5;4;28.5;-1;0.25;8.5
+;10;36.75;Käppeli Remo (2001);;18;54.0;9;37.0;-1;0.25;10.0
o;9;46.75;Funk Nicola;;7;56.75;9;46.75;0;0.0;8.75

12e;Burkhard Tobias;;;;;;;;;;55.5
+;;;Koller Andreas;;;;;;;;9.75
+;2;9.75;Hänni Marc (2001);;12;55.5;1;10.0;-1;0.25;9.75
o;3;19.5;Ackermann Remo;*;12;55.5;7;18.25;4;-1.25;8.5
-;6;28.0;Nock Benjamin (2001);;12;55.5;8;27.5;2;-0.5;9.0
+;9;37.0;Grimm Michael;;27;45.5;9;37.0;0;0.0;10.0
o;8;47.0;Wey Nicola;*;6;57.0;8;47.0;0;0.0;8.5

12f;Castelli Fabio;;;;;;;;;;55.5
-;;;Lanter Christian;;;;;;;;9.0
+;3;9.0;Thoma Luca (2000);;29;35.5;5;8.5;2;-0.5;9.75
o;5;18.75;Rhyner Michael;**;3;57.75;8;17.75;3;-1.0;8.5
o;9;27.25;Hobi Ignaz;;12;55.5;9;27.25;0;0.0;8.5
+;14;35.75;Buff Alwin;;23;52.75;14;35.75;0;0.0;10.0
+;13;45.75;Hauser Simon;;18;54.0;14;45.5;1;-0.25;9.75

12g;Ackermann Remo;*;;;;;;;;;55.5
+;;;Wittenwiler Roman;*;;;;;;;9.75
o;2;9.75;Krähenbühl Tobias;***;7;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Burkhard Tobias;;12;55.5;3;19.5;-4;1.25;10.0
+;5;28.25;Frauenfelder Florian (2001);;19;53.75;5;28.25;0;0.0;10.0
o;4;38.25;Battaglia Ursin;**;12;55.5;9;37.0;5;-1.25;8.75
o;8;47.0;Klausner Yanick;**;5;57.25;7;47.25;-1;0.25;8.5

12h;Steiner Michael;**;;;;;;;;;55.5
-;;;Hochholdinger Roman;**;;;;;;;8.75
o;4;8.75;Riget Tobias;**;6;57.0;4;8.75;0;0.0;8.5
+;10;17.25;Keller Werner;;29;35.5;6;18.5;-4;1.25;9.75
+;10;27.0;Wetter Silvan (2000);;16;54.5;5;28.25;-5;1.25;10.0
+;9;37.0;Kunz Daniel;;6;57.0;4;38.25;-5;1.25;10.0
o;8;47.0;Hersche Martin;***;4;57.5;6;47.5;-2;0.5;8.5

12i;Nock Benjamin (2001);;;;;;;;;;55.5
-;;;Baumgartner Ramon (2002);;;;;;;;9.0
