4985-2022-07-03_115_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Wicki Joel;***;;;;;;;;;58.75
12e;Suter Beat;*;;;;;;;;;55.5
+;;;Wallimann Remo;*;;;;;;;10.0
o;1;10.0;Doppmann Urs;**;7;56.75;1;10.0;0;0.0;8.5
-;6;18.5;Hirsiger Alexander;*;11;55.75;6;18.5;0;0.0;8.75
+;10;27.25;Wyrsch Gabriel;;14;55.0;6;28.25;-4;1.0;9.75
+;11;37.0;Wyrsch Marco;**;17;54.25;11;37.0;0;0.0;10.0
o;8;47.0;Egli Damian;**;6;57.0;7;47.25;-1;0.25;8.5

12f;Odermatt Andreas;**;;;;;;;;;55.5
-;;;Binggeli Stefan;**;;;;;;;8.75
+;4;8.75;Schaller Noah;*;20;53.5;2;9.75;-2;1.0;9.75
+;6;18.5;Lustenberger Josef;*;15;54.75;7;18.25;1;-0.25;9.75
-;6;28.25;Suter Pirmin;**;13;55.25;5;28.5;-1;0.25;8.75
o;11;37.0;Durrer Fabian;*;12;55.5;10;37.25;-1;0.25;8.5
+;14;45.5;Betschart Roger;;17;54.25;13;45.75;-1;0.25;10.0

12g;Grab Florian;;;;;;;;;;55.5
+;;;Thalmann Adrian;;;;;;;;9.75
+;2;9.75;Thalmann Thomas;*;18;54.0;5;8.5;3;-1.25;10.0
o;2;19.75;Burch Jonas;**;9;56.25;5;18.75;3;-1.0;8.5
o;6;28.25;Kurmann Toni;*;8;56.5;6;28.25;0;0.0;8.5
+;12;36.75;Wyrsch Gabriel;;14;55.0;12;36.75;0;0.0;10.0
o;9;46.75;Scherer Niklaus;**;7;56.75;9;46.75;0;0.0;8.75

12h;Stöckli Damian;*;;;;;;;;;55.5
+;;;Heinzer Ronny;*;;;;;;;10.0
-;1;10.0;Kenel Franz-Toni;*;15;54.75;4;8.75;3;-1.25;8.75
-;5;18.75;Huber Alex;*;17;54.25;5;18.75;0;0.0;8.75
o;9;27.5;Odermatt Christian;**;7;56.75;6;28.25;-3;0.75;8.5
+;15;36.0;Gander Martin;;17;54.25;12;36.75;-3;0.75;9.75
+;13;45.75;Hürlimann Ueli;;16;54.5;12;46.0;-1;0.25;9.75

12i;Reichmuth Roland;*;;;;;;;;;55.5
o;;;Bernhard Lukas;**;;;;;;;8.5
o;5;8.5;Bühler Kilian;*;11;55.75;4;8.75;-1;0.25;8.5
+;12;17.0;Ming Hannes;;21;53.25;10;17.5;-2;0.5;10.0
+;11;27.0;von Rickenbach Pirmin;;17;54.25;10;27.25;-1;0.25;9.75
o;12;36.75;Ambühl Joel;**;15;54.75;15;36.0;3;-0.75;8.75
+;14;45.5;Gerber Peter;*;16;54.5;13;45.75;-1;0.25;10.0

12j;Röthlin Pascal;*;;;;;;;;;55.5
+;;;Thalmann Thomas;*;;;;;;;10.0
o;1;10.0;Ambühl Joel;**;15;54.75;4;8.75;3;-1.25;8.5
o;6;18.5;Lemmenmeier Lukas;*;11;55.75;6;18.5;0;0.0;8.5
+;11;27.0;Staub Ivan;;16;54.5;10;27.25;-1;0.25;10.0
+;11;37.0;Heinzer Stefan;**;17;54.25;11;37.0;0;0.0;9.75
o;9;46.75;Müller Michael;**;5;57.25;7;47.25;-2;0.5;8.75

12k;Kramer Dorian;**;;;;;;;;;55.5
o;;;Arnold Stefan;**;;;;;;;8.5
+;5;8.5;Arnold Raphael;**;13;55.25;3;9.0;-2;0.5;9.75
-;7;18.25;Kessler Joel;*;10;56.0;7;18.25;0;0.0;8.75
+;11;27.0;Duss Yvan;;18;54.0;10;27.25;-1;0.25;10.0
-;11;37.0;von Ah Benji;***;16;54.5;15;36.0;4;-1.0;8.75
+;13;45.75;Fellmann Roman;**;16;54.5;13;45.75;0;0.0;9.75

12l;Durrer Fabian;*;;;;;;;;;55.5
o;;;Kaufmann Reto;*;;;;;;;8.75
o;4;8.75;Zurfluh Michael;*;7;56.75;2;9.75;-2;1.0;8.75
+;10;17.5;Bühler Ramon;;17;54.25;6;18.5;-4;1.0;10.0
+;9;27.5;Fellmann Roman;**;16;54.5;10;27.25;1;-0.25;9.75
+;10;37.25;Odermatt Andreas;**;12;55.5;11;37.0;1;-0.25;9.75
o;8;47.0;Bissig Lukas;**;8;56.5;9;46.75;1;-0.25;8.5

13a;Hurschler Tobias;;;;;;;;;;55.25
+;;;Gerber Jakob;;;;;;;;10.0
o;1;10.0;Waser Reto;*;14;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Suter Samuel;*;22;53.0;12;17.0;6;-1.5;8.5
+;11;27.0;Von Euw Adi;;30;35.5;11;27.0;0;0.0;9.75
+;12;36.75;Schuler Alex;*;19;53.75;13;36.5;1;-0.25;10.0
o;9;46.75;Fankhauser Reto;**;7;56.75;9;46.75;0;0.0;8.5

13b;Schmid Simon;*;;;;;;;;;55.25
o;;;Zurfluh Michael;*;;;;;;;8.5
+;5;8.5;Gwerder Beni;;24;52.5;1;10.0;-4;1.5;10.0
o;6;18.5;Ettlin Stefan;**;5;57.25;6;18.5;0;0.0;8.5
+;11;27.0;Betschart Daniel;;32;35.0;13;26.5;2;-0.5;9.75
o;12;36.75;Hermann Oliver;**;16;54.5;15;36.0;3;-0.75;8.5
+;15;45.25;von Wyl Kevin (2004);;17;54.25;13;45.75;-2;0.5;10.0

13c;Betschart Marcel;*;;;;;;;;;55.25
+;;;Ottiger Lukas;*;;;;;;;9.75
o;2;9.75;Schöpfer Ronny;**;9;56.25;5;8.5;3;-1.25;8.5
+;7;18.25;Birchler Fabian;;13;55.25;6;18.5;-1;0.25;9.75
-;7;28.0;Zemp Christian (2004);*;15;54.75;6;28.25;-1;0.25;9.0
o;11;37.0;Rohrer Ueli;**;7;56.75;11;37.0;0;0.0;8.5
+;14;45.5;Achermann Christoph;*;16;54.5;13;45.75;-1;0.25;9.75

13d;Wiget Ueli;*;;;;;;;;;55.25
o;;;Meier Daniel;*;;;;;;;8.5
o;5;8.5;Bucher André;;27;45.25;1;10.0;-4;1.5;8.5
+;12;17.0;Zumstein Patrick;;24;52.5;11;17.25;-1;0.25;10.0
o;11;27.0;Wyrsch Marco;**;17;54.25;11;27.0;0;0.0;8.5
+;17;35.5;Zberg Peter (2004);;24;52.5;17;35.5;0;0.0;9.75
+;15;45.25;Schöpfer Marco;*;18;54.0;15;45.25;0;0.0;10.0

13e;Scherrer Patrick;*;;;;;;;;;55.25
o;;;Suter Bruno;*;;;;;;;8.5
+;5;8.5;Steinauer Kevin (2004);;15;54.75;2;9.75;-3;1.25;10.0
o;6;18.5;Bieri Marcel;***;11;55.75;10;17.5;4;-1.0;8.5
+;11;27.0;Hürlimann Marco;;16;54.5;9;27.5;-2;0.5;9.75
+;12;36.75;Schuler Daniel;*;22;53.0;16;35.75;4;-1.0;10.0
o;9;46.75;Gwerder Dario;**;7;56.75;9;46.75;0;0.0;8.5

13f;Arnold Raphael;**;;;;;;;;;55.25
-;;;Jund Matthias;*;;;;;;;9.0
o;3;9.0;Kramer Dorian;**;12;55.5;5;8.5;2;-0.5;8.5
+;10;17.5;Staub Ivan;;16;54.5;5;18.75;-5;1.25;9.75
+;10;27.25;Niederberger Markus;*;19;53.75;11;27.0;1;-0.25;9.75
+;11;37.0;Gerber Peter;*;16;54.5;11;37.0;0;0.0;9.75
o;9;46.75;Burger Matthieu;**;8;56.5;10;46.5;1;-0.25;8.5

13g;Gapany Benjamin;***;;;;;;;;;55.25
-;;;Müllestein Mike;***;;;;;;;8.75
+;4;8.75;Lemmenmeier Lukas;*;11;55.75;1;10.0;-3;1.25;9.75
o;6;18.5;Wandeler Roman;*;9;56.25;4;19.0;-2;0.5;8.5
+;11;27.0;Rohrer Ueli;**;7;56.75;5;28.5;-6;1.5;9.75
+;12;36.75;Jund Matthias;*;17;54.25;10;37.25;-2;0.5;9.75
o;10;46.5;Durrer Nando;*;9;56.25;10;46.5;0;0.0;8.75

13h;Müller Luca (2004);*;;;;;;;;;55.25
o;;;Schürpf Bruno;*;;;;;;;8.5
+;5;8.5;Chiodo Gian Paolo (2005);;18;54.0;1;10.0;-4;1.5;9.75
o;7;18.25;Troxler Jonas;*;15;54.75;7;18.25;0;0.0;8.5
o;12;26.75;Achermann Christoph;*;16;54.5;11;27.0;-1;0.25;8.75
+;17;35.5;Gerber Jakob;;24;52.5;17;35.5;0;0.0;9.75
+;15;45.25;Wallimann Remo;*;17;54.25;13;45.75;-2;0.5;10.0

13i;Rohrer Ivan;**;;;;;;;;;55.25
+;;;Heinzer Stefan;**;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;***;2;58.5;1;10.0;0;0.0;8.5
o;6;18.5;Thierstein Marco;*;14;55.0;6;18.5;0;0.0;8.5
+;11;27.0;Staffelbach Noah;;23;52.75;10;27.25;-1;0.25;9.75
+;12;36.75;Suter Bruno;*;12;55.5;11;37.0;-1;0.25;10.0
o;9;46.75;Kurmann Toni;*;8;56.5;9;46.75;0;0.0;8.5

13j;Lüthy Ralph;;;;;;;;;;55.25
+;;;Briker Raphael (2006);;;;;;;;10.0
o;1;10.0;Hirsiger Alexander;*;11;55.75;5;8.5;4;-1.5;8.5
o;6;18.5;Kaufmann Reto;*;9;56.25;6;18.5;0;0.0;8.5
+;11;27.0;Chiodo Gian Paolo (2005);;18;54.0;11;27.0;0;0.0;9.75
+;12;36.75;Durrer Markus;*;17;54.25;15;36.0;3;-0.75;10.0
o;9;46.75;Bucher Christian;**;6;57.0;8;47.0;-1;0.25;8.5

13k;Suter Pirmin;**;;;;;;;;;55.25
+;;;Schöpfer Ronny;**;;;;;;;10.0
o;1;10.0;Lang Sven;**;39;18.5;2;9.75;1;-0.25;8.5
+;6;18.5;Achermann Ivan (2005);;17;54.25;5;18.75;-1;0.25;10.0
-;5;28.5;Odermatt Andreas;**;12;55.5;6;28.25;1;-0.25;8.75
-;10;37.25;Kaufmann Reto;*;9;56.25;10;37.25;0;0.0;9.0
-;11;46.25;Riebli Urs;*;11;55.75;9;46.75;-2;0.5;9.0

13l;Birchler Fabian;;;;;;;;;;55.25
-;;;Durrer Lukas;;;;;;;;8.75
+;4;8.75;Arnold David;;31;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Betschart Marcel;*;13;55.25;7;18.25;1;-0.25;8.5
+;11;27.0;Meier Daniel;*;31;35.25;12;26.75;1;-0.25;10.0
+;11;37.0;Marti Simon;*;19;53.75;13;36.5;2;-0.5;9.75
o;9;46.75;Bucher Thomas;*;8;56.5;9;46.75;0;0.0;8.5

14a;Durrer Jonas;*;;;;;;;;;55.0
-;;;Scherrer Fabian;*;;;;;;;8.75
+;4;8.75;Kennel Beat;**;41;17.0;5;8.5;1;-0.25;10.0
-;5;18.75;Ambühl Joel;**;15;54.75;6;18.5;1;-0.25;9.0
o;8;27.75;Bühler Kilian;*;11;55.75;9;27.5;1;-0.25;8.75
+;13;36.5;Bättig Martin;*;19;53.75;14;36.25;1;-0.25;10.0
o;10;46.5;Waser Dominik;**;7;56.75;9;46.75;-1;0.25;8.5

14b;Gut Koni;*;;;;;;;;;55.0
+;;;Bühlmann Daniel;*;;;;;;;9.75
o;2;9.75;Bissig Lukas;**;8;56.5;4;8.75;2;-1.0;8.5
-;7;18.25;Gabriel Simon;;21;53.25;6;18.5;-1;0.25;8.75
+;11;27.0;Betschart Patrick;*;29;35.75;10;27.25;-1;0.25;9.75
o;12;36.75;Waser Reto;*;14;55.0;12;36.75;0;0.0;8.5
+;15;45.25;Zberg Peter (2004);;24;52.5;20;44.0;5;-1.25;9.75

14c;Thierstein Marco;*;;;;;;;;;55.0
+;;;Gwerder Andreas;*;;;;;;;9.75
o;2;9.75;Ulrich Marco;**;7;56.75;1;10.0;-1;0.25;8.75
+;6;18.5;Rohrer Ivan;**;13;55.25;6;18.5;0;0.0;9.75
+;6;28.25;Bucher André;;27;45.25;6;28.25;0;0.0;9.75
o;7;38.0;Strebel Joel;***;14;55.0;12;36.75;5;-1.25;8.5
o;10;46.5;Arnold Stefan;**;9;56.25;10;46.5;0;0.0;8.5

14d;Waser Reto;*;;;;;;;;;55.0
o;;;Kurmann Toni;*;;;;;;;8.5
+;5;8.5;Hurschler Tobias;;13;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Fellmann Roman;**;16;54.5;5;18.75;-1;0.25;9.75
o;6;28.25;Ettlin Stefan;**;5;57.25;5;28.5;-1;0.25;8.5
+;12;36.75;Gut Koni;*;14;55.0;12;36.75;0;0.0;9.75
o;10;46.5;Hersche Martin;***;7;56.75;9;46.75;-1;0.25;8.5

14e;Steiner Severin;;;;;;;;;;55.0
+;;;Zberg Peter (2004);;;;;;;;10.0
-;1;10.0;Elsener Marcel;*;17;54.25;5;8.5;4;-1.5;8.75
-;5;18.75;Zurfluh Roman;**;10;56.0;5;18.75;0;0.0;8.75
o;9;27.5;Jund Matthias;*;17;54.25;9;27.5;0;0.0;8.75
+;14;36.25;Achermann Ivan (2005);;17;54.25;15;36.0;1;-0.25;10.0
-;11;46.25;Ambühl Joel;**;15;54.75;12;46.0;1;-0.25;8.75

14f;Strebel Joel;***;;;;;;;;;55.0
o;;;Wicki Joel;***;;;;;;;8.5
+;5;8.5;Kaufmann Reto;*;9;56.25;1;10.0;-4;1.5;9.75
-;7;18.25;Müller Michael;**;5;57.25;5;18.75;-2;0.5;8.75
+;11;27.0;Waser Dominik;**;7;56.75;5;28.5;-6;1.5;9.75
+;12;36.75;Thierstein Marco;*;14;55.0;7;38.0;-5;1.25;9.75
o;10;46.5;Schwyzer Samuel;*;8;56.5;10;46.5;0;0.0;8.5

14g;Wyrsch Gabriel;;;;;;;;;;55.0
+;;;Forster Christian;;;;;;;;10.0
+;1;10.0;Gwerder Andreas;*;41;17.0;5;8.5;4;-1.5;9.75
o;2;19.75;Gwerder Dario;**;7;56.75;6;18.5;4;-1.25;8.5
o;6;28.25;Suter Beat;*;12;55.5;10;27.25;4;-1.0;8.5
o;12;36.75;Grab Florian;;12;55.5;12;36.75;0;0.0;8.5
+;15;45.25;Steinauer Kevin (2004);;15;54.75;16;45.0;1;-0.25;9.75

14h;Odermatt Remo;*;;;;;;;;;55.0
-;;;Schärli Reto;*;;;;;;;8.75
o;4;8.75;Wyrsch Silvio;*;38;27.0;4;8.75;0;0.0;8.5
+;11;17.25;Baumann Marco;;31;35.25;7;18.25;-4;1.0;9.75
+;11;27.0;Ambühl Joel;**;15;54.75;9;27.5;-2;0.5;9.75
+;12;36.75;Ulrich Michael;*;26;45.75;11;37.0;-1;0.25;9.75
o;10;46.5;Wandeler Roman;*;9;56.25;10;46.5;0;0.0;8.5

15a;Inderbitzin Daniel;*;;;;;;;;;54.75
-;;;Wyrsch Silvio;*;;;;;;;8.75
o;4;8.75;Egli Damian;**;6;57.0;4;8.75;0;0.0;8.5
-;11;17.25;Duss Yvan;;18;54.0;6;18.5;-5;1.25;8.75
+;15;26.0;Crotta Robin;;36;34.0;17;25.5;2;-0.5;10.0
+;15;36.0;Gisler Jonas;*;17;54.25;16;35.75;1;-0.25;10.0
-;12;46.0;Zemp Christian (2004);*;15;54.75;12;46.0;0;0.0;8.75

15b;Wyss Christian;*;;;;;;;;;54.75
-;;;Barmettler Renato;*;;;;;;;9.0
-;3;9.0;Bieri Christian;**;34;34.5;5;8.5;2;-0.5;8.75
+;9;17.75;Christen Silvan;;21;53.25;5;18.75;-4;1.0;10.0
o;8;27.75;Arnold Stefan;**;9;56.25;6;28.25;-2;0.5;8.5
o;14;36.25;Würsch Lars;*;15;54.75;14;36.25;0;0.0;8.75
+;16;45.0;Barmettler Severin (2005);;20;53.5;17;44.75;1;-0.25;9.75

15c;Steinauer Kevin (2004);;;;;;;;;;54.75
+;;;Arnold Robin;;;;;;;;9.75
o;2;9.75;Scherrer Patrick;*;13;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Käslin Ruedi;*;31;35.25;7;18.25;0;0.0;9.75
o;7;28.0;Scherer Niklaus;**;7;56.75;10;27.25;3;-0.75;8.5
o;13;36.5;Bieri Elias;;15;54.75;13;36.5;0;0.0;8.5
+;16;45.0;Staffelbach Noah;;23;52.75;19;44.25;3;-0.75;9.75
o;15;54.75;Wyrsch Gabriel;;14;55.0;14;55.0;-1;0.25;0.0

15d;Troxler Jonas;*;;;;;;;;;54.75
o;;;Herger Fabian;*;;;;;;;8.5
+;5;8.5;Baumann Marco;;31;35.25;2;9.75;-3;1.25;9.75
+;7;18.25;Müller Luca (2004);*;13;55.25;7;18.25;0;0.0;9.75
o;7;28.0;Bieri Marcel;***;11;55.75;9;27.5;2;-0.5;8.5
+;13;36.5;Andermatt Reto;;19;53.75;12;36.75;-1;0.25;9.75
o;11;46.25;Burch Jonas;**;9;56.25;11;46.25;0;0.0;8.5

15e;Bieri Elias;;;;;;;;;;54.75
+;;;Gasser Dominik 1;;;;;;;;9.75
o;2;9.75;Ulrich Michael;*;26;45.75;5;8.5;3;-1.25;8.5
+;7;18.25;Schilter Daniel;*;36;34.0;12;17.0;5;-1.25;9.75
o;7;28.0;Ulrich Marco;**;7;56.75;5;28.5;-2;0.5;8.5
+;13;36.5;Steinauer Kevin (2004);;15;54.75;13;36.5;0;0.0;9.75
o;11;46.25;Bernhard Lukas;**;9;56.25;11;46.25;0;0.0;8.5

15f;Briker Raphael (2006);;;;;;;;;;54.75
o;;;Lüthy Ralph;;;;;;;;8.5
+;5;8.5;Mignola Lorenzo;;36;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Moos Christoph;*;23;52.75;11;17.25;4;-1.0;9.75
o;7;28.0;Hegner Ueli;*;17;54.25;10;27.25;3;-0.75;8.5
o;13;36.5;Durrer Nando;*;9;56.25;13;36.5;0;0.0;8.5
+;16;45.0;Christen Silvan;;21;53.25;17;44.75;1;-0.25;9.75

15g;Effinger Markus;*;;;;;;;;;54.75
+;;;Bühler Kilian;*;;;;;;;9.75
o;2;9.75;Wandeler Roman;*;9;56.25;3;9.0;1;-0.75;8.5
o;7;18.25;Jund Matthias;*;17;54.25;9;17.75;2;-0.5;8.5
+;12;26.75;Zberg Peter (2004);;24;52.5;11;27.0;-1;0.25;9.75
+;13;36.5;Zürcher Ueli;*;16;54.5;15;36.0;2;-0.5;9.75
o;11;46.25;Zurfluh Roman;**;10;56.0;12;46.0;1;-0.25;8.5

15h;Zemp Christian (2004);*;;;;;;;;;54.75
+;;;Wüest David;*;;;;;;;10.0
o;1;10.0;Hersche Martin;***;7;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Von Euw Adi;;30;35.5;6;18.5;0;0.0;9.75
-;6;28.25;Betschart Marcel;*;13;55.25;7;28.0;1;-0.25;9.0
o;10;37.25;Schöpfer Ronny;**;9;56.25;9;37.5;-1;0.25;8.75
-;12;46.0;Inderbitzin Daniel;*;15;54.75;12;46.0;0;0.0;8.75

15i;Würsch Lars;*;;;;;;;;;54.75
-;;;Schwyzer Samuel;*;;;;;;;9.0
-;3;9.0;Binggeli Stefan;**;16;54.5;4;8.75;1;-0.25;8.75
o;9;17.75;Appert Silvan;*;17;54.25;11;17.25;2;-0.5;8.5
+;14;26.25;Arnold Sebastian;;36;34.0;17;25.5;3;-0.75;10.0
+;14;36.25;Wyss Christian;*;15;54.75;14;36.25;0;0.0;10.0
o;11;46.25;Bieri Marcel;***;11;55.75;12;46.0;1;-0.25;8.5

15j;Ambühl Joel;**;;;;;;;;;54.75
-;;;Hersche Martin;***;;;;;;;8.75
+;4;8.75;Röthlin Pascal;*;12;55.5;1;10.0;-3;1.25;9.75
-;6;18.5;Durrer Jonas;*;14;55.0;5;18.75;-1;0.25;9.0
o;9;27.5;Odermatt Remo;*;14;55.0;11;27.0;2;-0.5;8.5
+;15;36.0;Reichmuth Roland;*;12;55.5;12;36.75;-3;0.75;10.0
-;12;46.0;Steiner Severin;;14;55.0;11;46.25;-1;0.25;8.75

15k;Lustenberger Josef;*;;;;;;;;;54.75
o;;;Schuler Alex;*;;;;;;;8.5
+;5;8.5;Von Euw Adi;;30;35.5;1;10.0;-4;1.5;9.75
o;7;18.25;Odermatt Andreas;**;12;55.5;6;18.5;-1;0.25;8.5
+;12;26.75;Hurschler Stefan (2006);;21;53.25;10;27.25;-2;0.5;9.75
o;13;36.5;Bissig Lukas;**;8;56.5;11;37.0;-2;0.5;8.5
+;16;45.0;Niederberger Markus;*;19;53.75;15;45.25;-1;0.25;9.75

15l;Kenel Franz-Toni;*;;;;;;;;;54.75
-;;;Hürlimann Mathias;*;;;;;;;8.75
-;4;8.75;Stöckli Damian;*;12;55.5;1;10.0;-3;1.25;8.75
+;10;17.5;Binggeli Stefan;**;16;54.5;10;17.5;0;0.0;10.0
-;9;27.5;Schwyzer Samuel;*;8;56.5;8;27.75;-1;0.25;8.75
+;14;36.25;Christen Silvan;;21;53.25;14;36.25;0;0.0;10.0
o;11;46.25;Elmiger Andreas;*;9;56.25;11;46.25;0;0.0;8.5

16a;Bühlmann Daniel;*;;;;;;;;;54.5
o;;;Gut Koni;*;;;;;;;8.5
o;5;8.5;Murer Andy;**;6;57.0;4;8.75;-1;0.25;8.5
-;12;17.0;Betschart Daniel;;32;35.0;9;17.75;-3;0.75;8.75
+;16;25.75;Arnold Robin;;36;34.0;17;25.5;1;-0.25;10.0
-;16;35.75;Felder Ivan (2004);;17;54.25;16;35.75;0;0.0;8.75
+;18;44.5;Moos Christoph;*;23;52.75;19;44.25;1;-0.25;10.0

16b;Ming Peter;;;;;;;;;;54.5
-;;;Zimmermann Raffael;;;;;;;;8.75
o;4;8.75;Schnellmann Alexander (2004);;18;54.0;5;8.5;1;-0.25;8.75
o;10;17.5;Wicki Patrick;;22;53.0;10;17.5;0;0.0;8.5
+;15;26.0;Schilter Daniel;*;36;34.0;17;25.5;2;-0.5;10.0
+;15;36.0;Arnold Marcel;*;22;53.0;15;36.0;0;0.0;10.0
o;12;46.0;Scherrer Fabian;*;11;55.75;13;45.75;1;-0.25;8.5

16c;Achermann Christoph;*;;;;;;;;;54.5
+;;;Schilter Daniel;*;;;;;;;10.0
o;1;10.0;von Ah Benji;***;16;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Züger Benjamin (2004);;10;56.0;6;18.5;0;0.0;8.5
+;11;27.0;Müller Luca (2004);*;13;55.25;12;26.75;1;-0.25;10.0
-;11;37.0;Lussi Marco;**;12;55.5;11;37.0;0;0.0;8.75
o;13;45.75;Betschart Marcel;*;13;55.25;14;45.5;1;-0.25;8.75

16d;Hürlimann Ueli;;;;;;;;;;54.5
-;;;von Rickenbach Pirmin;;;;;;;;9.0
+;3;9.0;Thalmann Adrian;;11;55.75;5;8.5;2;-0.5;10.0
o;4;19.0;Arnold Stefan;**;9;56.25;7;18.25;3;-0.75;8.5
+;9;27.5;Gwerder Beni;;24;52.5;11;27.0;2;-0.5;10.0
o;9;37.5;Murer Andy;**;6;57.0;10;37.25;1;-0.25;8.5
o;12;46.0;Stöckli Damian;*;12;55.5;13;45.75;1;-0.25;8.5

16e;Staub Ivan;;;;;;;;;;54.5
-;;;Zumstein Patrick;;;;;;;;8.75
+;4;8.75;Forster Christian;;36;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Arnold Raphael;**;13;55.25;10;17.5;5;-1.25;8.5
o;10;27.25;Röthlin Pascal;*;12;55.5;11;27.0;1;-0.25;8.5
+;16;35.75;Gwerder Beni;;24;52.5;17;35.5;1;-0.25;10.0
-;13;45.75;Schuler Alex;*;19;53.75;16;45.0;3;-0.75;8.75

16f;Gerber Peter;*;;;;;;;;;54.5
+;;;Elsener Marcel;*;;;;;;;10.0
o;1;10.0;Bucher Christian;**;6;57.0;3;9.0;2;-1.0;8.5
o;6;18.5;Waser Dominik;**;7;56.75;6;18.5;0;0.0;8.5
+;11;27.0;Schnellmann Alexander (2004);;18;54.0;11;27.0;0;0.0;10.0
o;11;37.0;Arnold Raphael;**;13;55.25;11;37.0;0;0.0;8.75
o;13;45.75;Reichmuth Roland;*;12;55.5;14;45.5;1;-0.25;8.75

16g;Binggeli Stefan;**;;;;;;;;;54.5
-;;;Odermatt Andreas;**;;;;;;;8.75
-;4;8.75;Würsch Lars;*;15;54.75;3;9.0;-1;0.25;8.75
o;10;17.5;Kenel Franz-Toni;*;15;54.75;10;17.5;0;0.0;8.5
+;15;26.0;Arnold David;;31;35.25;12;26.75;-3;0.75;10.0
+;15;36.0;Durrer Lukas;;20;53.5;14;36.25;-1;0.25;9.75
-;13;45.75;Appert Silvan;*;17;54.25;14;45.5;1;-0.25;8.75

16h;Ulrich Gregor;*;;;;;;;;;54.5
+;;;Gisler Jonas;*;;;;;;;10.0
o;1;10.0;Imhof Andi;***;37;27.25;4;8.75;3;-1.25;8.5
o;6;18.5;von Wyl Kevin (2004);;17;54.25;5;18.75;-1;0.25;8.5
-;11;27.0;Zimmermann Raffael;;22;53.0;10;27.25;-1;0.25;9.0
+;15;36.0;Suter Samuel;*;22;53.0;16;35.75;1;-0.25;9.75
-;13;45.75;Hegner Ueli;*;17;54.25;14;45.5;1;-0.25;8.75

16i;Fellmann Roman;**;;;;;;;;;54.5
-;;;Waser Dominik;**;;;;;;;8.75
+;4;8.75;Meier Daniel;*;31;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Waser Reto;*;14;55.0;6;18.5;1;-0.25;8.5
o;10;27.25;Durrer Fabian;*;12;55.5;9;27.5;-1;0.25;8.5
+;16;35.75;Rogenmoser Linus;;17;54.25;15;36.0;-1;0.25;10.0
o;13;45.75;Kramer Dorian;**;12;55.5;13;45.75;0;0.0;8.75

16j;Hermann Oliver;**;;;;;;;;;54.5
-;;;Bieri Marcel;***;;;;;;;8.75
+;4;8.75;Kurmann Toni;*;8;56.5;1;10.0;-3;1.25;9.75
-;6;18.5;Schwyzer Samuel;*;8;56.5;4;19.0;-2;0.5;8.75
-;10;27.25;Lussi Marco;**;12;55.5;6;28.25;-4;1.0;8.75
+;15;36.0;Schmid Simon;*;13;55.25;12;36.75;-3;0.75;9.75
o;13;45.75;Hirsiger Alexander;*;11;55.75;13;45.75;0;0.0;8.75

16k;Widmer Thomas;;;;;;;;;;54.5
+;;;Crotta Robin;;;;;;;;10.0
+;1;10.0;Ottiger Lukas;*;31;35.25;5;8.5;4;-1.5;10.0
o;1;20.0;Rohrer Ueli;**;7;56.75;5;18.75;4;-1.25;8.5
-;5;28.5;Bernhard Lukas;**;9;56.25;10;27.25;5;-1.25;8.75
o;10;37.25;Bühler Kilian;*;11;55.75;10;37.25;0;0.0;8.5
-;13;45.75;Gander Martin;;17;54.25;14;45.5;1;-0.25;8.75

16l;Herger Fabian;*;;;;;;;;;54.5
+;;;Troxler Jonas;*;;;;;;;9.75
o;2;9.75;Stöckli Stefan;***;8;56.5;4;8.75;2;-1.0;8.5
-;7;18.25;Schaller Noah;*;20;53.5;7;18.25;0;0.0;9.0
-;10;27.25;Bättig Martin;*;19;53.75;10;27.25;0;0.0;9.0
o;14;36.25;Elmiger Andreas;*;9;56.25;13;36.5;-1;0.25;8.5
+;17;44.75;Andermatt Reto;;19;53.75;15;45.25;-2;0.5;9.75

16m;Zürcher Ueli;*;;;;;;;;;54.5
-;;;Appert Silvan;*;;;;;;;8.75
o;4;8.75;Kessler Joel;*;10;56.0;5;8.5;1;-0.25;8.5
+;11;17.25;Beffa Mario;;34;34.5;10;17.5;-1;0.25;10.0
-;10;27.25;Elsener Marcel;*;17;54.25;11;27.0;1;-0.25;8.75
o;15;36.0;Effinger Markus;*;15;54.75;13;36.5;-2;0.5;8.5
+;18;44.5;von Rickenbach Pirmin;;17;54.25;14;45.5;-4;1.0;10.0

16n;Hürlimann Marco;;;;;;;;;;54.5
+;;;Lüscher Elias (2006);;;;;;;;9.75
