3621-2019-07-20_68_Weissenstein-Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;59.75
8b;Aeschbacher Matthias;**;;;;;;;;;55.75
-;;;Schmid David;***;;;;;;;9.0
+;3;9.0;Odermatt Adrian (2001);*;17;53.5;1;10.0;-2;1.0;10.0
-;4;19.0;Oertig Dominik;**;7;56.0;1;20.0;-3;1.0;9.0
-;7;28.0;Zwyssig Raphael;***;9;55.5;10;27.0;3;-1.0;8.75
-;9;36.75;Schläpfer Markus;**;9;55.5;9;36.75;0;0.0;9.0
+;11;45.75;Hügli Kaj;**;15;54.0;12;45.5;1;-0.25;10.0

8c;Studinger Stephan;**;;;;;;;;;55.75
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Schläpfer Matthias;*;15;54.0;5;8.5;1;-0.25;10.0
o;5;18.75;Schenk Patrick;***;8;55.75;5;18.75;0;0.0;8.5
o;9;27.25;Kuster Thomas;*;8;55.75;9;27.25;0;0.0;8.5
+;13;35.75;Jörger Marc;*;13;54.5;12;36.0;-1;0.25;10.0
+;11;45.75;Rychen Roger;***;14;54.25;12;45.5;1;-0.25;10.0

8d;Schenk Patrick;***;;;;;;;;;55.75
-;;;Döbeli Andreas;**;;;;;;;8.75
+;4;8.75;Schwenkfelder Lukas;*;19;52.75;1;10.0;-3;1.25;10.0
+;5;18.75;Studinger Stephan;**;8;55.75;5;18.75;0;0.0;10.0
o;4;28.75;Räbmatter Patrick;***;3;57.0;6;28.25;2;-0.5;8.5
+;7;37.25;Erb Roger;**;4;56.75;3;38.5;-4;1.25;9.75
o;6;47.0;Strebel Joel;**;5;56.5;7;46.75;1;-0.25;8.75

9a;Gobeli Patrick;**;;;;;;;;;55.5
+;;;Schläpfer Markus;**;;;;;;;10.0
-;1;10.0;Kindlimann Fabian;***;17;53.5;4;8.75;3;-1.25;8.75
+;5;18.75;Riget Tobias;**;27;27.0;6;18.5;1;-0.25;10.0
o;4;28.75;Bless Michael;***;3;57.0;5;28.5;1;-0.25;8.5
+;7;37.25;Kocher Remo;**;14;54.25;8;37.0;1;-0.25;9.75
o;6;47.0;Oertig Dominik;**;7;56.0;10;46.0;4;-1.0;8.5

9b;Gasser Dominik;*;;;;;;;;;55.5
+;;;Mangold Michael;**;;;;;;;10.0
o;1;10.0;Räbmatter Patrick;***;3;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Büttler Gian;;22;34.75;9;17.25;3;-1.25;10.0
o;5;28.5;Strebel Joel;**;5;56.5;6;28.25;1;-0.25;8.5
+;8;37.0;Döbeli Andreas;**;7;56.0;6;37.5;-2;0.5;10.0
o;6;47.0;Erb Roger;**;4;56.75;6;47.0;0;0.0;8.5

9c;Zwyssig Raphael;***;;;;;;;;;55.5
o;;;Staudenmann Fabian;**;;;;;;;8.5
o;5;8.5;Ramseier Fritz;**;3;57.0;1;10.0;-4;1.5;8.5
+;10;17.0;Stüdeli Thomas;**;10;55.25;7;18.25;-3;1.25;10.0
-;10;27.0;Aeschbacher Matthias;**;8;55.75;7;28.0;-3;1.0;8.75
+;13;35.75;Hauri Urs;**;10;55.25;8;37.0;-5;1.25;10.0
+;11;45.75;Stadler Kevin (2002);*;16;53.75;13;45.25;2;-0.5;9.75

9d;Schläpfer Markus;**;;;;;;;;;55.5
o;;;Gobeli Patrick;**;;;;;;;8.5
-;5;8.5;Mangold Michael;**;14;54.25;5;8.5;0;0.0;8.75
+;9;17.25;von Arx Christian;*;11;55.0;7;18.25;-2;1.0;9.75
+;10;27.0;Aellen Philipp;*;11;55.0;11;26.75;1;-0.25;9.75
-;9;36.75;Aeschbacher Matthias;**;8;55.75;9;36.75;0;0.0;9.0
+;11;45.75;Schmid David;***;15;54.0;12;45.5;1;-0.25;9.75

10a;Iseli Marco;**;;;;;;;;;55.25
+;;;Scherrer Johann;**;;;;;;;10.0
+;1;10.0;Vieira Tiago;**;26;27.25;4;8.75;3;-1.25;10.0
o;1;20.0;Alpiger Nick;***;6;56.25;6;18.5;5;-1.5;8.5
o;5;28.5;Erb Roger;**;4;56.75;4;28.75;-1;0.25;8.5
+;8;37.0;Hügli Kaj;**;15;54.0;8;37.0;0;0.0;9.75
o;7;46.75;Döbeli Andreas;**;7;56.0;10;46.0;3;-0.75;8.5

10b;Voggensperger Lars (2001);*;;;;;;;;;55.25
+;;;Aellen Philipp;*;;;;;;;9.75
+;2;9.75;Rychen Roger;***;14;54.25;5;8.5;3;-1.25;9.75
-;3;19.5;von Weissenfluh Kilian;**;6;56.25;2;19.75;-1;0.25;9.0
o;5;28.5;Leuppi Samir;**;5;56.5;6;28.25;1;-0.25;8.5
+;8;37.0;Arztmann Beda;**;16;53.75;9;36.75;1;-0.25;9.75
o;7;46.75;Ramseier Fritz;**;3;57.0;5;47.25;-2;0.5;8.5

10c;Schillig Willi;**;;;;;;;;;55.25
o;;;Ramseier Fritz;**;;;;;;;8.5
o;5;8.5;Arztmann Beda;**;16;53.75;5;8.5;0;0.0;8.5
-;10;17.0;Grieder Nonda;;19;52.75;9;17.25;-1;0.25;8.75
+;15;25.75;Baumann Rico;*;20;35.25;11;26.75;-4;1.0;10.0
+;13;35.75;Bruder Adrian;*;18;53.0;13;35.75;0;0.0;9.75
+;12;45.5;Gehrig Philipp;**;15;54.0;12;45.5;0;0.0;9.75

10d;Hauri Urs;**;;;;;;;;;55.25
-;;;Roth Dominik;**;;;;;;;8.75
o;4;8.75;Jörger Marc;*;13;54.5;3;9.0;-1;0.25;8.5
+;9;17.25;Krebs Clemens;*;23;34.5;9;17.25;0;0.0;9.75
+;10;27.0;Widmer David;**;13;54.5;8;27.5;-2;0.5;10.0
o;8;37.0;Zwyssig Raphael;***;9;55.5;13;35.75;5;-1.25;8.5
+;12;45.5;Schläpfer Matthias;*;15;54.0;12;45.5;0;0.0;9.75

10e;Stüdeli Thomas;**;;;;;;;;;55.25
o;;;Gehrig Philipp;**;;;;;;;8.5
+;5;8.5;Mangold Martin;*;23;34.5;4;8.75;-1;0.25;9.75
o;7;18.25;Zwyssig Raphael;***;9;55.5;10;17.0;3;-1.25;8.5
+;11;26.75;Wickli Beat;**;15;54.0;10;27.0;-1;0.25;9.75
+;10;36.5;Stadler Kevin (2002);*;16;53.75;9;36.75;-1;0.25;9.75
-;9;46.25;Döbeli Lukas;**;13;54.5;12;45.5;3;-0.75;9.0

10f;Stalder Remo;***;;;;;;;;;55.25
o;;;Studer Stefan;**;;;;;;;8.5
+;5;8.5;Baumann Rico;*;20;35.25;2;9.75;-3;1.25;9.75
+;7;18.25;Jörger Marc;*;13;54.5;4;19.0;-3;0.75;9.75
o;7;28.0;Gnägi Florian;***;3;57.0;9;27.25;2;-0.75;8.5
+;10;36.5;Klossner Adrian;*;15;54.0;9;36.75;-1;0.25;10.0
o;8;46.5;Roth Dominik;**;7;56.0;9;46.25;1;-0.25;8.75

10g;Gerber Christian;**;;;;;;;;;55.25
-;;;Vieira Tiago;**;;;;;;;8.75
+;4;8.75;Schmutz Simon;*;20;35.25;2;9.75;-2;1.0;9.75
o;6;18.5;Bless Michael;***;3;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Burren Patrick;*;19;52.75;10;27.0;0;0.0;10.0
+;8;37.0;Döbeli Lukas;**;13;54.5;8;37.0;0;0.0;9.75
o;7;46.75;Leuppi Samir;**;5;56.5;7;46.75;0;0.0;8.5

11a;Aellen Philipp;*;;;;;;;;;55.0
o;;;Voggensperger Lars (2001);*;;;;;;;8.5
o;5;8.5;Döbeli Lukas;**;13;54.5;4;8.75;-1;0.25;8.5
+;10;17.0;Ris Jörn;*;25;34.0;10;17.0;0;0.0;9.75
+;11;26.75;Schwenkfelder Lukas;*;19;52.75;10;27.0;-1;0.25;9.75
o;10;36.5;Schläpfer Markus;**;9;55.5;9;36.75;-1;0.25;8.5
+;14;45.0;Brand Christian;**;16;53.75;13;45.25;-1;0.25;10.0

11b;von Arx Christian;*;;;;;;;;;55.0
o;;;Klossner Adrian;*;;;;;;;8.5
+;5;8.5;Burren Patrick;*;19;52.75;4;8.75;-1;0.25;9.75
o;7;18.25;Schläpfer Markus;**;9;55.5;9;17.25;2;-1.0;8.5
+;11;26.75;Jöhl Christian;*;20;35.25;11;26.75;0;0.0;9.75
+;10;36.5;Kindlimann Fabian;***;17;53.5;11;36.25;1;-0.25;10.0
o;8;46.5;Studer Stefan;**;4;56.75;7;46.75;-1;0.25;8.5

11c;Krähenbühl Tobias;***;;;;;;;;;55.0
-;;;Döbeli Lukas;**;;;;;;;8.75
o;4;8.75;Wiget Michael;**;2;57.5;1;10.0;-3;1.25;8.5
+;9;17.25;Rüegger Aaron;*;17;53.5;5;18.75;-4;1.5;9.75
o;10;27.0;Studer Stefan;**;4;56.75;6;28.25;-4;1.25;8.5
+;14;35.5;Brand Christian;**;16;53.75;9;36.75;-5;1.25;9.75
+;13;45.25;Hermann Oliver;*;14;54.25;11;45.75;-2;0.5;9.75

12a;Gerber Manuel;*;;;;;;;;;54.75
-;;;Stoll Simon;**;;;;;;;8.75
-;4;8.75;Stegmüller Klemens;*;24;34.25;5;8.5;1;-0.25;8.75
-;8;17.5;Kohler Adrian;*;19;52.75;6;18.5;-2;1.0;8.75
+;13;26.25;Scherrer Johann;**;25;34.0;16;25.5;3;-0.75;9.75
-;12;36.0;Notz Beni;***;18;53.0;13;35.75;1;-0.25;8.75
+;15;44.75;Arztmann Beda;**;16;53.75;13;45.25;-2;0.5;10.0

12b;Steiner Michael;**;;;;;;;;;54.75
-;;;Probst Gabriel;**;;;;;;;8.75
+;4;8.75;Gerber Andrj;*;21;35.0;4;8.75;0;0.0;10.0
o;5;18.75;Schmid David;***;15;54.0;6;18.5;1;-0.25;8.5
+;9;27.25;Kropf Marcel;**;14;54.25;9;27.25;0;0.0;10.0
-;7;37.25;Roth Dominik;**;7;56.0;7;37.25;0;0.0;9.0
o;9;46.25;Gnägi Florian;***;3;57.0;5;47.25;-4;1.0;8.5

13a;Jörger Marc;*;;;;;;;;;54.5
-;;;Rüegger Aaron;*;;;;;;;9.0
+;3;9.0;Hauri Urs;**;10;55.25;4;8.75;1;-0.25;10.0
o;4;19.0;Stalder Remo;***;10;55.25;7;18.25;3;-0.75;8.5
o;8;27.5;Döbeli Andreas;**;7;56.0;8;27.5;0;0.0;8.5
o;12;36.0;Studinger Stephan;**;8;55.75;13;35.75;1;-0.25;8.5
+;16;44.5;Kohler Adrian;*;19;52.75;17;44.25;1;-0.25;10.0

13b;Stoll Simon;**;;;;;;;;;54.5
-;;;Gerber Manuel;*;;;;;;;8.75
-;4;8.75;Stadler Kevin (2002);*;16;53.75;2;9.75;-2;1.0;8.75
o;8;17.5;Staudenmann Fabian;**;5;56.5;7;18.25;-1;0.75;8.5
+;14;26.0;Mangold Martin;*;23;34.5;14;26.0;0;0.0;9.75
-;13;35.75;Henzer Andreas;**;17;53.5;12;36.0;-1;0.25;8.75
+;16;44.5;Notz Beni;***;18;53.0;16;44.5;0;0.0;10.0

13c;Döbeli Lukas;**;;;;;;;;;54.5
-;;;Krähenbühl Tobias;***;;;;;;;8.75
+;4;8.75;Aellen Philipp;*;11;55.0;5;8.5;1;-0.25;9.75
+;6;18.5;Klossner Adrian;*;15;54.0;6;18.5;0;0.0;10.0
o;5;28.5;Rychen Roger;***;14;54.25;10;27.0;5;-1.5;8.5
o;8;37.0;Gerber Christian;**;10;55.25;8;37.0;0;0.0;8.5
-;12;45.5;Stüdeli Thomas;**;10;55.25;9;46.25;-3;0.75;9.0

13d;Widmer David;**;;;;;;;;;54.5
o;;;Riget Tobias;**;;;;;;;8.5
+;5;8.5;Lisser Daniel;*;30;17.25;5;8.5;0;0.0;10.0
-;6;18.5;Probst Gabriel;**;20;35.25;8;17.5;2;-1.0;9.0
o;8;27.5;Hauri Urs;**;10;55.25;10;27.0;2;-0.5;8.5
+;12;36.0;Kohler Adrian;*;19;52.75;13;35.75;1;-0.25;10.0
o;10;46.0;Kämpf Bernhard;***;7;56.0;10;46.0;0;0.0;8.5

14a;Hermann Oliver;*;;;;;;;;;54.25
o;;;Brand Christian;**;;;;;;;8.5
-;5;8.5;Probst Gabriel;**;20;35.25;4;8.75;-1;0.25;8.75
+;9;17.25;Baumann Rico;*;20;35.25;7;18.25;-2;1.0;10.0
o;9;27.25;Notz Beni;***;18;53.0;14;26.0;5;-1.25;8.5
+;13;35.75;Grieder Nonda;;19;52.75;13;35.75;0;0.0;10.0
o;11;45.75;Krähenbühl Tobias;***;11;55.0;13;45.25;2;-0.5;8.5

14b;Kocher Remo;**;;;;;;;;;54.25
+;;;Jöhl Christian;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;3;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Gehrig Philipp;**;15;54.0;6;18.5;0;0.0;10.0
o;5;28.5;Staudenmann Fabian;**;5;56.5;6;28.25;1;-0.25;8.5
o;8;37.0;Gobeli Patrick;**;9;55.5;7;37.25;-1;0.25;8.5
-;12;45.5;Leuthard Reto;**;14;54.25;12;45.5;0;0.0;8.75

14c;Leuthard Reto;**;;;;;;;;;54.25
-;;;Notz Beni;***;;;;;;;8.75
-;4;8.75;Kohler Adrian;*;19;52.75;2;9.75;-2;1.0;8.75
+;8;17.5;Stegmüller Klemens;*;24;34.25;9;17.25;1;-0.25;9.75
+;9;27.25;Grossen John;*;18;53.0;9;27.25;0;0.0;9.75
o;8;37.0;Gnägi Florian;***;3;57.0;7;37.25;-1;0.25;8.5
-;12;45.5;Kocher Remo;**;14;54.25;12;45.5;0;0.0;8.75

14d;Mangold Michael;**;;;;;;;;;54.25
o;;;Gasser Dominik;*;;;;;;;8.5
-;5;8.5;Schläpfer Markus;**;9;55.5;5;8.5;0;0.0;8.75
+;9;17.25;Studer Remo;*;24;34.25;10;17.0;1;-0.25;10.0
o;9;27.25;Zangger Dominik;*;7;56.0;8;27.5;-1;0.25;8.5
-;13;35.75;Odermatt Adrian (2001);*;17;53.5;12;36.0;-1;0.25;8.75
+;16;44.5;Grieder Nonda;;19;52.75;17;44.25;1;-0.25;9.75

14e;Rychen Roger;***;;;;;;;;;54.25
o;;;Erb Roger;**;;;;;;;8.5
o;5;8.5;Voggensperger Lars (2001);*;10;55.25;2;9.75;-3;1.25;8.5
+;10;17.0;Klausner Yanick;**;20;35.25;7;18.25;-3;1.25;10.0
+;10;27.0;Döbeli Lukas;**;13;54.5;5;28.5;-5;1.5;10.0
o;8;37.0;Wiget Michael;**;2;57.5;5;38.0;-3;1.0;8.5
o;12;45.5;Studinger Stephan;**;8;55.75;11;45.75;-1;0.25;8.75

14f;Kropf Marcel;**;;;;;;;;;54.25
o;;;Wiget Michael;**;;;;;;;8.5
+;5;8.5;Bruder Adrian;*;18;53.0;4;8.75;-1;0.25;10.0
-;6;18.5;Gnägi Florian;***;3;57.0;6;18.5;0;0.0;8.75
o;9;27.25;Steiner Michael;**;12;54.75;9;27.25;0;0.0;8.5
+;13;35.75;Grossen John;*;18;53.0;13;35.75;0;0.0;10.0
o;11;45.75;Kuster Thomas;*;8;55.75;11;45.75;0;0.0;8.5

15a;Klossner Adrian;*;;;;;;;;;54.0
+;;;von Arx Christian;*;;;;;;;9.75
-;2;9.75;Henzer Andreas;**;17;53.5;4;8.75;2;-1.0;8.75
o;6;18.5;Döbeli Lukas;**;13;54.5;6;18.5;0;0.0;8.5
+;10;27.0;Schmutz Simon;*;20;35.25;11;26.75;1;-0.25;9.75
o;9;36.75;Stalder Remo;***;10;55.25;10;36.5;1;-0.25;8.5
-;13;45.25;Wickli Beat;**;15;54.0;13;45.25;0;0.0;8.75

15b;Hügli Kaj;**;;;;;;;;;54.0
-;;;Zangger Dominik;*;;;;;;;8.75
+;4;8.75;Studer Remo;*;24;34.25;5;8.5;1;-0.25;9.75
-;6;18.5;Forrer Arnold;***;28;25.75;10;17.0;4;-1.5;8.75
+;9;27.25;Kohler Adrian;*;19;52.75;9;27.25;0;0.0;9.75
o;8;37.0;Iseli Marco;**;10;55.25;8;37.0;0;0.0;8.5
o;12;45.5;Aeschbacher Matthias;**;8;55.75;11;45.75;-1;0.25;8.5

15c;Schmid David;***;;;;;;;;;54.0
-;;;Aeschbacher Matthias;**;;;;;;;8.75
+;4;8.75;Kuster Thomas;*;8;55.75;1;10.0;-3;1.25;9.75
+;6;18.5;Steiner Michael;**;12;54.75;5;18.75;-1;0.25;9.75
o;6;28.25;Ramseier Fritz;**;3;57.0;4;28.75;-2;0.5;8.5
-;9;36.75;Studer Stefan;**;4;56.75;5;38.0;-4;1.25;8.75
o;12;45.5;Schläpfer Markus;**;9;55.5;11;45.75;-1;0.25;8.5

15d;Wickli Beat;**;;;;;;;;;54.0
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Lisser Beat;*;23;34.5;4;8.75;0;0.0;9.75
o;6;18.5;Räbmatter Patrick;***;3;57.0;7;18.25;1;-0.25;8.5
o;10;27.0;Stüdeli Thomas;**;10;55.25;11;26.75;1;-0.25;8.5
+;14;35.5;Schwenkfelder Lukas;*;19;52.75;14;35.5;0;0.0;9.75
-;13;45.25;Klossner Adrian;*;15;54.0;13;45.25;0;0.0;8.75
