5623-2022-06-12_Fete_Cantonale_Vaudoise-ST

1a;Gapany Benjamin;***;;;;;;;;;59.5
o;2;19.75;Gottofrey Marc;**;9;56.0;5;18.5;3;-1.25;8.5
o;6;28.25;Loup Alexandre;*;12;55.25;6;28.25;0;0.0;8.5
+;11;36.75;Berger Alan;;17;54.0;11;36.75;0;0.0;9.75
o;9;46.5;Gottofrey Luc;*;7;56.75;8;46.75;-1;0.25;8.5

13g;Bucher Roman;;;;;;;;;;55.0
+;;;Erb Vincent;;;;;;;;9.75
+;2;9.75;Dind Samuel;**;31;17.0;4;8.5;2;-1.25;9.75
+;3;19.5;Suchet Jonathan (2005);;17;54.0;2;19.75;-1;0.25;10.0
o;2;29.5;Borcard Johann;**;7;56.75;5;28.5;3;-1.0;8.5
o;6;38.0;Grossenbacher Simon;*;9;56.0;9;37.25;3;-0.75;8.5
o;9;46.5;Tornare Paul;;7;56.75;7;47.0;-2;0.5;8.5

14a;Egger Pierre;;;;;;;;;;54.75
o;;;Germanier Joel;;;;;;;;8.5
+;4;8.5;Rouge Dany;;21;52.75;4;8.5;0;0.0;10.0
-;5;18.5;Droxler Jonathan;**;11;55.5;7;17.5;2;-1.0;8.75
-;9;27.25;Zbinden Silvan (2004);;15;54.5;9;27.25;0;0.0;9.0
o;13;36.25;Sudan Jonathan;;12;55.25;11;36.75;-2;0.5;8.5
+;16;44.75;Steiner Pirmin;;20;53.25;16;44.75;0;0.0;10.0

14b;Portmann Fabio;*;;;;;;;;;54.75
o;;;Martin Gaël (2004);;;;;;;;8.5
+;4;8.5;Mermillod Jérôme (2004);;16;54.25;1;10.0;-3;1.5;9.75
o;6;18.25;Crettaz Olivier;*;15;54.5;7;17.5;1;-0.75;8.5
+;11;26.75;Martin Marius;;29;35.25;11;26.75;0;0.0;9.75
o;12;36.5;Droxler Jonathan;**;11;55.5;14;36.0;2;-0.5;8.5
+;15;45.0;Burri Flemming;;19;53.5;15;45.0;0;0.0;9.75

14c;Borcard Clovis;*;;;;;;;;;54.75
-;;;Dorsaz Théo;*;;;;;;;8.75
+;3;8.75;Imhasly Jorin;;17;54.0;1;10.0;-2;1.25;10.0
-;4;18.75;Jeannin Jess;;15;54.5;4;18.75;0;0.0;8.75
o;8;27.5;Hayoz Quentin;*;11;55.5;10;27.0;2;-0.5;8.5
+;14;36.0;Röthlisberger Sven;;18;53.75;11;36.75;-3;0.75;10.0
-;11;46.0;Schmid Silvan;;12;55.25;9;46.5;-2;0.5;8.75

14d;Zbinden Samuel;;;;;;;;;;54.75
+;;;Giuliani Johann;;;;;;;;9.75
o;2;9.75;Varone Luc;*;11;55.5;4;8.5;2;-1.25;8.5
o;6;18.25;Berger Sascha;;17;54.0;6;18.25;0;0.0;8.5
+;11;26.75;Lengen Michael (2005);;13;55.0;11;26.75;0;0.0;9.75
o;12;36.5;Loup Grégoire;;12;55.25;11;36.75;-1;0.25;8.5
+;15;45.0;Isoz Bertrand;;18;53.75;14;45.25;-1;0.25;9.75

15a;Crettaz Olivier;*;;;;;;;;;54.5
-;;;Dufey Gil;*;;;;;;;8.75
-;3;8.75;Loup Grégoire;;12;55.25;2;9.75;-1;1.0;8.75
+;7;17.5;Portmann Fabio;*;14;54.75;6;18.25;-1;0.75;9.75
-;9;27.25;Monney Branighan;;13;55.0;7;28.0;-2;0.75;8.75
+;14;36.0;Steiner Pirmin;;20;53.25;13;36.25;-1;0.25;10.0
o;11;46.0;Siegenthaler Leo (2005);;8;56.25;10;46.25;-1;0.25;8.5

15b;Zbinden Lukas;;;;;;;;;;54.5
o;;;Tschumi Daniel (2005);;;;;;;;8.5
+;4;8.5;Lopes Semedo Mauro;;22;52.5;4;8.5;0;0.0;10.0
o;5;18.5;Kramer Dorian;**;10;55.75;4;18.75;-1;0.25;8.5
-;10;27.0;Lauber Grégoire;;17;54.0;11;26.75;1;-0.25;9.0
+;14;36.0;Flury Maxime;;23;52.25;17;35.25;3;-0.75;10.0
o;11;46.0;Zürcher Remo;*;12;55.25;13;45.5;2;-0.5;8.5

15c;Jeannin Jess;;;;;;;;;;54.5
-;;;Aeschbacher Ivo;;;;;;;;8.75
+;3;8.75;Massy Louis (2004);;25;51.0;4;8.5;1;-0.25;10.0
-;4;18.75;Borcard Clovis;*;14;54.75;4;18.75;0;0.0;8.75
+;8;27.5;Beaud Eric;;16;54.25;10;27.0;2;-0.5;9.75
o;9;37.25;Riedo Fredy;*;11;55.5;10;37.0;1;-0.25;8.5
-;12;45.75;Mermillod Jérôme (2004);;16;54.25;13;45.5;1;-0.25;8.75

15d;Neyroud Geoffrey;;;;;;;;;;54.5
o;;;Loup Grégoire;;;;;;;;8.5
+;4;8.5;Cottier Marco;;17;54.0;4;8.5;0;0.0;9.75
-;6;18.25;Minder Florian;**;27;43.5;7;17.5;1;-0.75;9.0
+;9;27.25;Raboud Mathieu;;18;53.75;10;27.0;1;-0.25;9.75
-;10;37.0;Dubey Gaël;*;13;55.0;10;37.0;0;0.0;9.0
o;11;46.0;Barras François;*;12;55.25;13;45.5;2;-0.5;8.5

15e;Zbinden Silvan (2004);;;;;;;;;;54.5
+;;;Lauber Grégoire;;;;;;;;10.0
-;1;10.0;Droxler Jonathan;**;11;55.5;3;8.75;2;-1.25;8.75
o;4;18.75;Schläfli Hugo;*;11;55.5;5;18.5;1;-0.25;8.5
-;9;27.25;Egger Pierre;;14;54.75;9;27.25;0;0.0;9.0
+;13;36.25;Vaucher Rémy;;16;54.25;14;36.0;1;-0.25;9.75
o;11;46.0;Dorsaz Théo;*;11;55.5;12;45.75;1;-0.25;8.5

16a;Aeschbacher Ivo;;;;;;;;;;54.25
-;;;Jeannin Jess;;;;;;;;8.75
-;3;8.75;Steiner Pirmin;;20;53.25;3;8.75;0;0.0;8.75
o;7;17.5;Neuenschwander Noel (2005);;11;55.5;8;17.0;1;-0.5;8.5
+;14;26.0;Giuliani Johann;;24;51.25;15;25.75;1;-0.25;9.75
o;15;35.75;Imhasly Jorin;;17;54.0;16;35.5;1;-0.25;8.5
+;18;44.25;Imstepf Sandro;;21;52.75;18;44.25;0;0.0;10.0

16b;Fuchs Sylvain (2005);;;;;;;;;;54.25
+;;;Martin Marius;;;;;;;;9.75
o;2;9.75;Zürcher Remo;*;12;55.25;4;8.5;2;-1.25;8.5
+;6;18.25;Capt Stéphane;;19;53.5;6;18.25;0;0.0;10.0
o;6;28.25;Gottofrey Luc;*;7;56.75;6;28.25;0;0.0;8.5
-;11;36.75;Berger Sascha;;17;54.0;11;36.75;0;0.0;8.75
-;13;45.5;Erb Vincent;;16;54.25;13;45.5;0;0.0;8.75

16c;Erb Vincent;;;;;;;;;;54.25
o;;;Bucher Roman;;;;;;;;8.5
+;4;8.5;Neuenschwander Noel (2005);;11;55.5;4;8.5;0;0.0;10.0
o;5;18.5;Loup Alexandre;*;12;55.25;6;18.25;1;-0.25;8.5
+;10;27.0;Hochuli Samuel;;17;54.0;10;27.0;0;0.0;10.0
o;10;37.0;Wieland Janis;*;10;55.75;10;37.0;0;0.0;8.5
-;13;45.5;Fuchs Sylvain (2005);;16;54.25;13;45.5;0;0.0;8.75

16d;Beaud Eric;;;;;;;;;;54.25
+;;;Dupertuis Guillaume;;;;;;;;10.0
o;1;10.0;Riedo Fredy;*;11;55.5;4;8.5;3;-1.5;8.5
o;5;18.5;Berger Alan;;17;54.0;5;18.5;0;0.0;8.5
o;10;27.0;Jeannin Jess;;15;54.5;8;27.5;-2;0.5;8.5
-;16;35.5;Rouge Dany;;21;52.75;16;35.5;0;0.0;8.75
+;18;44.25;Fèvre Antoine;;22;52.5;19;44.0;1;-0.25;10.0

16e;Vaucher Rémy;;;;;;;;;;54.25
-;;;Balimann Fabian;;;;;;;;8.75
+;3;8.75;Imstepf Sandro;;21;52.75;4;8.5;1;-0.25;10.0
o;4;18.75;Balimann Sandro;*;6;57.0;5;18.5;1;-0.25;8.5
-;9;27.25;Neuenschwander Levin;;17;54.0;11;26.75;2;-0.5;8.75
o;14;36.0;Zbinden Silvan (2004);;15;54.5;13;36.25;-1;0.25;8.5
+;17;44.5;Steiner Pirmin;;20;53.25;16;44.75;-1;0.25;9.75

16f;Mermillod Jérôme (2004);;;;;;;;;;54.25
+;;;Röthlisberger Sven;;;;;;;;10.0
o;1;10.0;Portmann Fabio;*;14;54.75;4;8.5;3;-1.5;8.5
+;5;18.5;Perroud Florian;;19;53.5;6;18.25;1;-0.25;10.0
o;5;28.5;Grossenbacher Simon;*;9;56.0;9;27.25;4;-1.25;8.5
o;10;37.0;Dufey Gil;*;9;56.0;10;37.0;0;0.0;8.5
-;13;45.5;Jeannin Jess;;15;54.5;12;45.75;-1;0.25;8.75

17a;Neuenschwander Levin;;;;;;;;;;54.0
+;;;Steiner Pirmin;;;;;;;;9.75
o;2;9.75;Ducrest Etienne;*;26;46.25;4;8.5;2;-1.25;8.5
o;6;18.25;Monney Branighan;;13;55.0;6;18.25;0;0.0;8.5
-;11;26.75;Vaucher Rémy;;16;54.25;9;27.25;-2;0.5;8.75
+;16;35.5;Hochuli Samuel;;17;54.0;16;35.5;0;0.0;10.0
o;13;45.5;Balimann Fabian;;11;55.5;13;45.5;0;0.0;8.5

17b;Lauber Grégoire;;;;;;;;;;54.0
o;;;Zbinden Silvan (2004);;;;;;;;8.5
o;4;8.5;Balimann Fabian;;11;55.5;3;8.75;-1;0.25;8.5
+;8;17.0;Lopes Semedo Mauro;;22;52.5;8;17.0;0;0.0;9.75
-;11;26.75;Zbinden Lukas;;15;54.5;10;27.0;-1;0.25;8.75
o;16;35.5;Pürro David;*;17;54.0;15;35.75;-1;0.25;8.5
+;19;44.0;Juon Martin;;19;53.5;15;45.0;-4;1.0;10.0

17c;Pürro David;*;;;;;;;;;54.0
-;;;Dubey Gaël;*;;;;;;;8.75
+;3;8.75;Maridor Loic;;17;54.0;1;10.0;-2;1.25;9.75
-;5;18.5;Zürcher Remo;*;12;55.25;6;18.25;1;-0.25;8.75
o;9;27.25;Siegenthaler Leo (2005);;8;56.25;7;28.0;-2;0.75;8.5
+;15;35.75;Lauber Grégoire;;17;54.0;16;35.5;1;-0.25;9.75
o;13;45.5;Droxler Jonathan;**;11;55.5;12;45.75;-1;0.25;8.5

17d;Berger Alan;;;;;;;;;;54.0
+;;;Massy Louis (2004);;;;;;;;10.0
o;1;10.0;Pasquier Loïc;*;17;54.0;4;8.5;3;-1.5;8.5
+;5;18.5;Beaud Eric;;16;54.25;5;18.5;0;0.0;9.75
o;6;28.25;Zbinden Dario (2004);*;12;55.25;8;27.5;2;-0.75;8.5
o;11;36.75;Leuenberger Gian (2005);;13;55.0;11;36.75;0;0.0;8.5
-;14;45.25;Buchs Stefan;;17;54.0;14;45.25;0;0.0;8.75

17e;Maridor Loic;;;;;;;;;;54.0
+;;;Wieland Timon;;;;;;;;10.0
o;1;10.0;Pürro David;*;17;54.0;3;8.75;2;-1.25;8.5
+;5;18.5;Hochuli Samuel;;17;54.0;5;18.5;0;0.0;10.0
o;5;28.5;Piemontesi Pascal;**;4;57.5;3;29.0;-2;0.5;8.5
o;10;37.0;Martin Gaël (2004);;5;57.25;9;37.25;-1;0.25;8.5
o;13;45.5;Germanier Joel;;11;55.5;13;45.5;0;0.0;8.5

17f;Pasquier Loïc;*;;;;;;;;;54.0
o;;;Gottofrey Luc;*;;;;;;;8.5
+;4;8.5;Berger Alan;;17;54.0;1;10.0;-3;1.5;10.0
o;5;18.5;Baeriswyl Christoph;**;6;57.0;5;18.5;0;0.0;8.5
o;10;27.0;Bapst Ludovic;;12;55.25;6;28.25;-4;1.25;8.5
+;16;35.5;Isoz Bertrand;;18;53.75;11;36.75;-5;1.25;10.0
o;13;45.5;Varone Luc;*;11;55.5;13;45.5;0;0.0;8.5

17g;Imhasly Jorin;;;;;;;;;;54.0
+;;;Schmid Silvan;;;;;;;;10.0
o;1;10.0;Borcard Clovis;*;14;54.75;3;8.75;2;-1.25;8.5
o;5;18.5;Martin Gaël (2004);;5;57.25;4;18.75;-1;0.25;8.5
o;10;27.0;Balimann Fabian;;11;55.5;10;27.0;0;0.0;8.5
+;16;35.5;Aeschbacher Ivo;;16;54.25;15;35.75;-1;0.25;10.0
o;13;45.5;Collaud Bastien (2005);;10;55.75;12;45.75;-1;0.25;8.5

17h;Hochuli Samuel;;;;;;;;;;54.0
+;;;Flury Maxime;;;;;;;;10.0
o;1;10.0;Dufey Gil;*;9;56.0;3;8.75;2;-1.25;8.5
o;5;18.5;Maridor Loic;;17;54.0;5;18.5;0;0.0;8.5
o;10;27.0;Erb Vincent;;16;54.25;10;27.0;0;0.0;8.5
o;16;35.5;Neuenschwander Levin;;17;54.0;16;35.5;0;0.0;8.5
+;19;44.0;Rouge Dany;;21;52.75;18;44.25;-1;0.25;10.0

17i;Suchet Jonathan (2005);;;;;;;;;;54.0
+;;;Neuenschwander Noel (2005);;;;;;;;10.0
+;1;10.0;Minder Florian;**;27;43.5;3;8.75;2;-1.25;9.75
o;2;19.75;Bucher Roman;;13;55.0;3;19.5;1;-0.25;8.5
o;6;28.25;Balimann Sandro;*;6;57.0;5;28.5;-1;0.25;8.5
o;11;36.75;Z'Rotz Roman;;12;55.25;11;36.75;0;0.0;8.75
o;13;45.5;Wieland Timon;;13;55.0;15;45.0;2;-0.5;8.5

17j;Buchs Stefan;;;;;;;;;;54.0
+;;;Vindefeldt Michael;;;;;;;;9.75
o;2;9.75;Berger Sascha;;17;54.0;4;8.5;2;-1.25;8.5
+;6;18.25;Flury Maxime;;23;52.25;6;18.25;0;0.0;10.0
o;6;28.25;Dorsaz Théo;*;11;55.5;10;27.0;4;-1.25;8.5
o;11;36.75;Perret Loïc;;11;55.5;11;36.75;0;0.0;8.5
-;14;45.25;Berger Alan;;17;54.0;14;45.25;0;0.0;8.75

17k;Cottier Marco;;;;;;;;;;54.0
o;;;Wenger Marco;;;;;;;;8.5
o;4;8.5;Neyroud Geoffrey;;15;54.5;4;8.5;0;0.0;8.5
o;8;17.0;Dupertuis Guillaume;;18;53.75;8;17.0;0;0.0;8.5
+;16;25.5;Fèvre Antoine;;22;52.5;16;25.5;0;0.0;10.0
o;16;35.5;Sutter Samuel (2005);;13;55.0;16;35.5;0;0.0;8.5
+;19;44.0;Lopes Semedo Mauro;;22;52.5;19;44.0;0;0.0;10.0

17l;Berger Sascha;;;;;;;;;;54.0
o;;;Schläfli Hugo;*;;;;;;;8.5
+;4;8.5;Buchs Stefan;;17;54.0;2;9.75;-2;1.25;9.75
+;6;18.25;Zbinden Samuel;;14;54.75;6;18.25;0;0.0;10.0
o;6;28.25;Varone Luc;*;11;55.5;10;27.0;4;-1.25;8.5
-;11;36.75;Fuchs Sylvain (2005);;16;54.25;11;36.75;0;0.0;8.75
o;13;45.5;Clément Aurélien;;10;55.75;12;45.75;-1;0.25;8.5

18a;Wenger Marco;;;;;;;;;;53.75
+;;;Cottier Marco;;;;;;;;9.75
o;2;9.75;Leuenberger Gian (2005);;13;55.0;1;10.0;-1;0.25;8.5
o;6;18.25;Loup Grégoire;;12;55.25;5;18.5;-1;0.25;8.5
o;11;26.75;Wieland Timon;;13;55.0;11;26.75;0;0.0;8.5
+;17;35.25;Minder Florian;**;27;43.5;18;35.0;1;-0.25;10.0
o;14;45.25;Neuenschwander Noel (2005);;11;55.5;13;45.5;-1;0.25;8.5

18b;Dupertuis Guillaume;;;;;;;;;;53.75
o;;;Beaud Eric;;;;;;;;8.5
o;4;8.5;Wieland Timon;;13;55.0;4;8.5;0;0.0;8.5
+;8;17.0;Cottier Marco;;17;54.0;8;17.0;0;0.0;9.75
o;11;26.75;Burri Flemming;;19;53.5;11;26.75;0;0.0;8.5
+;17;35.25;Bolomey Mathieu;;18;53.75;17;35.25;0;0.0;10.0
o;14;45.25;Sutter Samuel (2005);;13;55.0;14;45.25;0;0.0;8.5

18c;Raboud Mathieu;;;;;;;;;;53.75
+;;;Imstepf Sandro;;;;;;;;10.0
o;1;10.0;Dubey Gaël;*;13;55.0;3;8.75;2;-1.25;8.5
o;5;18.5;Perret Loïc;;11;55.5;6;18.25;1;-0.25;8.5
o;10;27.0;Neyroud Geoffrey;;15;54.5;9;27.25;-1;0.25;8.5
o;16;35.5;Neuenschwander Noel (2005);;11;55.5;16;35.5;0;0.0;8.5
+;19;44.0;Vindefeldt Michael;;22;52.5;19;44.0;0;0.0;9.75

18d;Röthlisberger Sven;;;;;;;;;;53.75
o;;;Mermillod Jérôme (2004);;;;;;;;8.5
+;4;8.5;Sutter Samuel (2005);;13;55.0;4;8.5;0;0.0;9.75
o;6;18.25;Emonet Frédéric;**;8;56.25;6;18.25;0;0.0;8.5
+;11;26.75;Bolomey Mathieu;;18;53.75;11;26.75;0;0.0;10.0
o;11;36.75;Borcard Clovis;*;14;54.75;14;36.0;3;-0.75;8.5
o;14;45.25;Monney Branighan;;13;55.0;14;45.25;0;0.0;8.5

18e;Isoz Bertrand;;;;;;;;;;53.75
o;;;Bapst Ludovic;;;;;;;;8.5
+;4;8.5;Burri Flemming;;19;53.5;4;8.5;0;0.0;10.0
o;5;18.5;Wieland Janis;*;10;55.75;5;18.5;0;0.0;8.5
+;10;27.0;Perroud Florian;;19;53.5;11;26.75;1;-0.25;9.75
o;11;36.75;Pasquier Loïc;*;17;54.0;16;35.5;5;-1.25;8.5
o;14;45.25;Zbinden Samuel;;14;54.75;15;45.0;1;-0.25;8.5

18f;Bolomey Mathieu;;;;;;;;;;53.75
o;;;Sudan Jonathan;;;;;;;;8.5
o;4;8.5;Flury Maxime;;23;52.25;4;8.5;0;0.0;8.5
+;8;17.0;Vindefeldt Michael;;22;52.5;8;17.0;0;0.0;9.75
o;11;26.75;Röthlisberger Sven;;18;53.75;11;26.75;0;0.0;8.5
o;17;35.25;Dupertuis Guillaume;;18;53.75;17;35.25;0;0.0;8.5
+;20;43.75;Massy Louis (2004);;25;51.0;23;42.5;3;-1.25;10.0

19a;Juon Martin;;;;;;;;;;53.5
o;;;Clément Aurélien;;;;;;;;8.5
+;4;8.5;Fèvre Antoine;;22;52.5;4;8.5;0;0.0;9.75
o;6;18.25;Sudan Jonathan;;12;55.25;5;18.5;-1;0.25;8.5
o;11;26.75;Tschumi Daniel (2005);;11;55.5;11;26.75;0;0.0;8.5
+;17;35.25;Perroud Florian;;19;53.5;17;35.25;0;0.0;9.75
o;15;45.0;Lauber Grégoire;;17;54.0;19;44.0;4;-1.0;8.5

19b;Capt Stéphane;;;;;;;;;;53.5
+;;;Jost Colin (2004);;;;;;;;9.75
o;2;9.75;Zbinden Dario (2004);*;12;55.25;4;8.5;2;-1.25;8.5
o;6;18.25;Fuchs Sylvain (2005);;16;54.25;6;18.25;0;0.0;8.5
o;11;26.75;Tornare Paul;;7;56.75;10;27.0;-1;0.25;8.5
o;17;35.25;Lopes Semedo Mauro;;22;52.5;20;34.0;3;-1.25;8.5
+;20;43.75;Flury Maxime;;23;52.25;20;43.75;0;0.0;9.75

19c;Burri Flemming;;;;;;;;;;53.5
o;;;Z'Rotz Roman;;;;;;;;8.5
o;4;8.5;Isoz Bertrand;;18;53.75;4;8.5;0;0.0;8.5
+;8;17.0;Fèvre Antoine;;22;52.5;8;17.0;0;0.0;9.75
+;11;26.75;Dupertuis Guillaume;;18;53.75;11;26.75;0;0.0;9.75
o;12;36.5;Emonet Frédéric;**;8;56.25;12;36.5;0;0.0;8.5
o;15;45.0;Portmann Fabio;*;14;54.75;15;45.0;0;0.0;8.5

19d;Perroud Florian;;;;;;;;;;53.5
+;;;Rouge Dany;;;;;;;;9.75
o;2;9.75;Dubey Gaël;*;13;55.0;3;8.75;1;-1.0;8.5
o;6;18.25;Mermillod Jérôme (2004);;16;54.25;5;18.5;-1;0.25;8.5
o;11;26.75;Isoz Bertrand;;18;53.75;10;27.0;-1;0.25;8.5
o;17;35.25;Juon Martin;;19;53.5;17;35.25;0;0.0;8.5
+;20;43.75;Giuliani Johann;;24;51.25;22;42.75;2;-1.0;9.75

19e;Jost Colin (2004);;;;;;;;;;53.5
o;;;Capt Stéphane;;;;;;;;8.5
o;4;8.5;Martin Marius;;29;35.25;4;8.5;0;0.0;8.5
+;8;17.0;Rouge Dany;;21;52.75;8;17.0;0;0.0;9.75
o;11;26.75;Steiner Pirmin;;20;53.25;13;26.25;2;-0.5;8.5
+;17;35.25;Giuliani Johann;;24;51.25;19;34.25;2;-1.0;9.75
o;15;45.0;Lengen Michael (2005);;13;55.0;14;45.25;-1;0.25;8.5

20a;Steiner Pirmin;;;;;;;;;;53.25
o;;;Neuenschwander Levin;;;;;;;;8.75
-;3;8.75;Aeschbacher Ivo;;16;54.25;3;8.75;0;0.0;8.75
-;7;17.5;Sutter Samuel (2005);;13;55.0;8;17.0;1;-0.5;8.75
+;13;26.25;Jost Colin (2004);;19;53.5;11;26.75;-2;0.5;10.0
o;13;36.25;Crettaz Olivier;*;15;54.5;14;36.0;1;-0.25;8.5
o;16;44.75;Egger Pierre;;14;54.75;16;44.75;0;0.0;8.5
o;20;53.25;Vaucher Rémy;;16;54.25;16;54.25;-4;1.0;0.0

21a;Rouge Dany;;;;;;;;;;52.75
o;;;Perroud Florian;;;;;;;;8.5
o;4;8.5;Egger Pierre;;14;54.75;4;8.5;0;0.0;8.5
o;8;17.0;Jost Colin (2004);;19;53.5;8;17.0;0;0.0;8.75
+;15;25.75;Imstepf Sandro;;21;52.75;15;25.75;0;0.0;9.75
-;16;35.5;Beaud Eric;;16;54.25;16;35.5;0;0.0;8.75
o;18;44.25;Hochuli Samuel;;17;54.0;19;44.0;1;-0.25;8.5

21b;Imstepf Sandro;;;;;;;;;;52.75
o;;;Raboud Mathieu;;;;;;;;8.5
o;4;8.5;Vaucher Rémy;;16;54.25;3;8.75;-1;0.25;8.5
-;8;17.0;Giuliani Johann;;24;51.25;8;17.0;0;0.0;8.75
o;15;25.75;Rouge Dany;;21;52.75;15;25.75;0;0.0;8.5
+;19;34.25;Flury Maxime;;23;52.25;17;35.25;-2;1.0;10.0
o;18;44.25;Aeschbacher Ivo;;16;54.25;18;44.25;0;0.0;8.5

22a;Lopes Semedo Mauro;;;;;;;;;;52.5
o;;;Leuenberger Gian (2005);;;;;;;;8.5
o;4;8.5;Zbinden Lukas;;15;54.5;4;8.5;0;0.0;8.5
o;8;17.0;Lauber Grégoire;;17;54.0;8;17.0;0;0.0;8.5
o;16;25.5;Sutter Samuel (2005);;13;55.0;15;25.75;-1;0.25;8.5
+;20;34.0;Capt Stéphane;;19;53.5;17;35.25;-3;1.25;10.0
o;19;44.0;Cottier Marco;;17;54.0;19;44.0;0;0.0;8.5

22b;Fèvre Antoine;;;;;;;;;;52.5
o;;;Lengen Michael (2005);;;;;;;;8.5
o;4;8.5;Juon Martin;;19;53.5;4;8.5;0;0.0;8.5
o;8;17.0;Burri Flemming;;19;53.5;8;17.0;0;0.0;8.5
o;16;25.5;Cottier Marco;;17;54.0;16;25.5;0;0.0;8.5
+;20;34.0;Massy Louis (2004);;25;51.0;20;34.0;0;0.0;10.0
o;19;44.0;Beaud Eric;;16;54.25;18;44.25;-1;0.25;8.5

22c;Vindefeldt Michael;;;;;;;;;;52.5
o;;;Buchs Stefan;;;;;;;;8.5
o;4;8.5;Berger Dilan;;28;35.75;3;8.75;-1;0.25;8.5
o;8;17.0;Bolomey Mathieu;;18;53.75;8;17.0;0;0.0;8.5
+;16;25.5;Massy Louis (2004);;25;51.0;16;25.5;0;0.0;10.0
o;16;35.5;Lengen Michael (2005);;13;55.0;17;35.25;1;-0.25;8.5
o;19;44.0;Raboud Mathieu;;18;53.75;19;44.0;0;0.0;8.5

23a;Flury Maxime;;;;;;;;;;52.25
o;;;Hochuli Samuel;;;;;;;;8.5
+;4;8.5;Bolomey Mathieu;;18;53.75;4;8.5;0;0.0;9.75
o;6;18.25;Buchs Stefan;;17;54.0;6;18.25;0;0.0;8.5
o;11;26.75;Imstepf Sandro;;21;52.75;15;25.75;4;-1.0;8.5
o;17;35.25;Zbinden Lukas;;15;54.5;14;36.0;-3;0.75;8.5
o;20;43.75;Capt Stéphane;;19;53.5;20;43.75;0;0.0;8.5

24a;Giuliani Johann;;;;;;;;;;51.25
o;;;Zbinden Samuel;;;;;;;;8.5
o;4;8.5;Collaud Bastien (2005);;10;55.75;3;8.75;-1;0.25;8.5
-;8;17.0;Imstepf Sandro;;21;52.75;8;17.0;0;0.0;8.75
o;15;25.75;Aeschbacher Ivo;;16;54.25;14;26.0;-1;0.25;8.5
o;19;34.25;Jost Colin (2004);;19;53.5;17;35.25;-2;1.0;8.5
o;22;42.75;Perroud Florian;;19;53.5;20;43.75;-2;1.0;8.5

25a;Massy Louis (2004);;;;;;;;;;51.0
o;;;Berger Alan;;;;;;;;8.5
o;4;8.5;Jeannin Jess;;15;54.5;3;8.75;-1;0.25;8.5
o;8;17.0;Schmid Silvan;;12;55.25;8;17.0;0;0.0;8.5
o;16;25.5;Vindefeldt Michael;;22;52.5;16;25.5;0;0.0;8.5
o;20;34.0;Fèvre Antoine;;22;52.5;20;34.0;0;0.0;8.5
o;23;42.5;Bolomey Mathieu;;18;53.75;20;43.75;-3;1.25;8.5

26a;Ducrest Etienne;*;;;;;;;;;46.25
o;;;Kramer Lario;***;;;;;;;8.5
+;4;8.5;Neuenschwander Levin;;17;54.0;2;9.75;-2;1.25;10.0
+;5;18.5;Dufey Gil;*;9;56.0;4;18.75;-1;0.25;10.0
o;5;28.5;Schläfli Hugo;*;11;55.5;6;28.25;1;-0.25;8.75
-;9;37.25;Balimann Fabian;;11;55.5;10;37.0;1;-0.25;9.0

27a;Minder Florian;**;;;;;;;;;43.5
-;;;Kramer Dorian;**;;;;;;;8.75
o;3;8.75;Suchet Jonathan (2005);;17;54.0;1;10.0;-2;1.25;8.75
-;7;17.5;Neyroud Geoffrey;;15;54.5;6;18.25;-1;0.75;9.0
o;12;26.5;Schmid Silvan;;12;55.25;10;27.0;-2;0.5;8.5
o;18;35.0;Wenger Marco;;18;53.75;17;35.25;-1;0.25;8.5

28a;Berger Dilan;;;;;;;;;;35.75
-;;;Collaud Bastien (2005);;;;;;;;8.75
+;3;8.75;Vindefeldt Michael;;22;52.5;4;8.5;1;-0.25;10.0
o;4;18.75;Gottofrey Luc;*;7;56.75;5;18.5;1;-0.25;8.5
o;9;27.25;Clément Aurélien;;10;55.75;8;27.5;-1;0.25;8.5

29a;Martin Marius;;;;;;;;;;35.25
o;;;Fuchs Sylvain (2005);;;;;;;;8.5
+;4;8.5;Jost Colin (2004);;19;53.5;4;8.5;0;0.0;9.75
o;6;18.25;Bapst Ludovic;;12;55.25;6;18.25;0;0.0;8.5
o;11;26.75;Portmann Fabio;*;14;54.75;11;26.75;0;0.0;8.5

30a;Ducry Antoine;**;;;;;;;;;18.25
+;;;Zbinden Dario (2004);*;;;;;;;9.75
o;2;9.75;Duplan Steve;***;2;58.25;1;10.0;-1;0.25;8.5

31a;Dind Samuel;**;;;;;;;;;17.0
o;;;Wieland Janis;*;;;;;;;8.5
o;4;8.5;Bucher Roman;;13;55.0;2;9.75;-2;1.25;8.5

32a;Cochrane Benjamin;;;;;;;;;;8.5
o;;;Siegenthaler Leo (2005);;;;;;;;8.5

