2779-2019-06-30_124_Nordostschweizer_Schwingfest-ST

1a;Orlik Armon;***;;;;;;;;;58.75
-;;;Käser Remo;***;;;;;;;9.0
+;3;9.0;Geisser Lars;**;6;56.75;2;9.75;-1;0.75;10.0
+;4;19.0;Kramer Lario;**;9;56.0;2;19.75;-2;0.75;10.0
+;2;29.0;Schnurrenberger Roman;**;9;56.0;3;28.75;1;-0.25;9.75
+;1;38.75;Burkhalter Stefan;***;4;57.25;1;38.75;0;0.0;10.0
+;1;48.75;Schneider Domenic;***;3;57.5;1;48.75;0;0.0;10.0

2a;Leuppi Samir;**;;;;;;;;;58.0
-;;;Gerber Christian;**;;;;;;;8.75
+;4;8.75;Inauen Andreas;*;13;55.0;2;9.75;-2;1.0;9.75
+;6;18.5;Fejzaj Naim;**;16;54.25;6;18.5;0;0.0;9.75
+;5;28.25;Rüegg Fabian;*;12;55.25;4;28.5;-1;0.25;10.0
+;3;38.25;Krähenbühl Tobias;***;4;57.25;1;38.75;-2;0.5;9.75
+;3;48.0;Schläpfer Markus;**;6;56.75;2;48.25;-1;0.25;10.0

3a;Giger Samuel;***;;;;;;;;;57.5
-;;;Mathis Marcel;***;;;;;;;8.75
+;4;8.75;Bernold Christian;**;8;56.25;2;9.75;-2;1.0;10.0
-;5;18.75;Döbeli Andreas;*;5;57.0;3;19.5;-2;0.75;9.0
+;7;27.75;Nock Benjamin (2001);*;11;55.5;4;28.5;-3;0.75;10.0
+;5;37.75;Rhyner Michael;**;13;55.0;4;38.0;-1;0.25;10.0
+;4;47.75;Bless Michael;***;6;56.75;2;48.25;-2;0.5;9.75

3b;Notz Beni;***;;;;;;;;;57.5
+;;;Zwyssig Raphael;***;;;;;;;9.75
+;2;9.75;Rüegg Fabian;*;12;55.25;1;10.0;-1;0.25;10.0
-;2;19.75;Giger Urs;*;10;55.75;2;19.75;0;0.0;9.0
-;3;28.75;Schläpfer Markus;**;6;56.75;1;29.75;-2;1.0;8.75
+;6;37.5;Schläpfer Matthias;*;13;55.0;4;38.0;-2;0.5;10.0
+;5;47.5;Koch Reto;*;10;55.75;6;47.25;1;-0.25;10.0

3c;Vollenweider Jeremy;*;;;;;;;;;57.5
-;;;Battaglia Ursin;**;;;;;;;8.75
+;4;8.75;Wolfer Lukas;*;13;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Rotach Lars;*;11;55.5;6;18.5;1;-0.25;10.0
-;3;28.75;Kramer Lario;**;9;56.0;4;28.5;1;-0.25;8.75
+;6;37.5;Wehrli Jan (2002);;16;54.25;7;37.25;1;-0.25;10.0
+;5;47.5;Schmidlin Tobias (2001);*;10;55.75;7;47.0;2;-0.5;10.0

3d;Schneider Domenic;***;;;;;;;;;57.5
+;;;Strebel Joel;**;;;;;;;10.0
-;1;10.0;Fankhauser Erich;***;7;56.5;2;9.75;1;-0.25;9.0
+;4;19.0;Koch Reto;*;10;55.75;2;19.75;-2;0.75;9.75
+;3;28.75;Wey Nicola;*;11;55.5;4;28.5;1;-0.25;10.0
+;1;38.75;Kuster Marcel;***;10;55.75;3;38.25;2;-0.5;10.0
o;1;48.75;Orlik Armon;***;1;58.75;1;48.75;0;0.0;8.75

4a;Schneider Mario;**;;;;;;;;;57.25
+;;;Peng Mike;***;;;;;;;10.0
o;1;10.0;Döbeli Andreas;*;5;57.0;2;9.75;1;-0.25;8.5
+;6;18.5;Schlegel Reto;*;13;55.0;6;18.5;0;0.0;10.0
+;4;28.5;Inauen Andreas;*;13;55.0;5;28.25;1;-0.25;10.0
-;2;38.5;Rychen Roger;***;5;57.0;3;38.25;1;-0.25;8.75
+;6;47.25;Schläpfer Matthias;*;13;55.0;9;46.5;3;-0.75;10.0

4b;Burkhalter Stefan;***;;;;;;;;;57.25
-;;;Riget Tobias;**;;;;;;;8.75
+;4;8.75;Fausch Kjetil;*;10;55.75;2;9.75;-2;1.0;10.0
+;5;18.75;Poltera Andrin;*;11;55.5;6;18.5;1;-0.25;10.0
+;3;28.75;Jörger Marc;*;10;55.75;4;28.5;1;-0.25;10.0
o;1;38.75;Orlik Armon;***;1;58.75;1;38.75;0;0.0;8.5
+;6;47.25;Schnurrenberger Roman;**;9;56.0;6;47.25;0;0.0;10.0

4c;Krähenbühl Tobias;***;;;;;;;;;57.25
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Rüegg Roman;*;17;54.0;2;9.75;-2;1.0;10.0
+;5;18.75;Schmid Patrick;*;9;56.0;5;18.75;0;0.0;10.0
+;3;28.75;Riget Tobias;**;25;37.5;3;28.75;0;0.0;10.0
o;1;38.75;Leuppi Samir;**;2;58.0;3;38.25;2;-0.5;8.5
+;6;47.25;Ott Damian;**;9;56.0;5;47.5;-1;0.25;10.0

5a;Schlegel Werner (2002);*;;;;;;;;;57.0
o;;;Dumelin David;**;;;;;;;8.75
+;4;8.75;Horner Sämi;;16;54.25;1;10.0;-3;1.25;10.0
o;5;18.75;Mathis Marcel;***;5;57.0;6;18.5;1;-0.25;8.5
+;9;27.25;Giger Florian (2001);;23;52.5;10;27.0;1;-0.25;10.0
+;7;37.25;Hugelshofer Lars (2001);*;12;55.25;9;36.75;2;-0.5;9.75
+;7;47.0;Biäsch Christian;*;11;55.5;8;46.75;1;-0.25;10.0

5b;Roth Martin;**;;;;;;;;;57.0
+;;;Bernold Michael;*;;;;;;;10.0
+;1;10.0;Bollhalder Manuel (2001);*;14;54.75;1;10.0;0;0.0;10.0
o;1;20.0;Fankhauser Erich;***;7;56.5;5;18.75;4;-1.25;8.5
+;4;28.5;Räbsamen Marcel;*;12;55.25;5;28.25;1;-0.25;9.75
+;3;38.25;Dumelin David;**;7;56.5;5;37.75;2;-0.5;10.0
-;2;48.25;Kindlimann Fabian;***;8;56.25;5;47.5;3;-0.75;8.75

5c;Oettli Marco;*;;;;;;;;;57.0
+;;;Räbsamen Marcel;*;;;;;;;9.75
+;2;9.75;Gwerder Andreas;**;14;54.75;5;8.5;3;-1.25;9.75
-;3;19.5;Forrer Arnold;***;13;55.0;5;18.75;2;-0.75;9.0
+;4;28.5;Wehrli Jan (2002);;16;54.25;3;28.75;-1;0.25;10.0
o;2;38.5;Kindlimann Fabian;***;8;56.25;6;37.5;4;-1.0;8.5
+;7;47.0;Rüegg Fabian;*;12;55.25;8;46.75;1;-0.25;10.0

5d;Döbeli Andreas;*;;;;;;;;;57.0
+;;;Rychen Roger;***;;;;;;;9.75
+;2;9.75;Schneider Mario;**;4;57.25;1;10.0;-1;0.25;9.75
-;3;19.5;Giger Samuel;***;3;57.5;5;18.75;2;-0.75;9.0
-;4;28.5;Schlegel Sandro;**;10;55.75;4;28.5;0;0.0;8.75
+;7;37.25;Koch Thomas;*;13;55.0;4;38.0;-3;0.75;9.75
+;7;47.0;Nock Benjamin (2001);*;11;55.5;7;47.0;0;0.0;10.0

5e;Rychen Roger;***;;;;;;;;;57.0
o;;;Döbeli Andreas;*;;;;;;;8.5
+;5;8.5;Neff Florian;*;14;54.75;1;10.0;-4;1.5;10.0
+;6;18.5;Heierli Pascal;*;10;55.75;5;18.75;-1;0.25;10.0
+;4;28.5;Fankhauser Erich;***;7;56.5;3;28.75;-1;0.25;9.75
-;3;38.25;Schneider Mario;**;4;57.25;2;38.5;-1;0.25;8.75
+;7;47.0;Wittenwiler Roman;*;12;55.25;8;46.75;1;-0.25;10.0

5f;Mathis Marcel;***;;;;;;;;;57.0
-;;;Giger Samuel;***;;;;;;;8.75
+;4;8.75;Steiner Michael;**;7;56.5;2;9.75;-2;1.0;9.75
+;6;18.5;Schlegel Werner (2002);*;5;57.0;5;18.75;-1;0.25;10.0
-;4;28.5;Kindlimann Fabian;***;8;56.25;3;28.75;-1;0.25;8.75
+;7;37.25;Giger Urs;*;10;55.75;2;38.5;-5;1.25;9.75
+;7;47.0;Breitenmoser Manuel;*;11;55.5;7;47.0;0;0.0;10.0

6a;Bless Michael;***;;;;;;;;;56.75
o;;;Kramer Lario;**;;;;;;;8.5
+;5;8.5;Breitenmoser Manuel;*;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Gmür Pirmin;**;7;56.5;6;18.5;0;0.0;9.75
+;5;28.25;Schmidlin Tobias (2001);*;10;55.75;4;28.5;-1;0.25;10.0
+;3;38.25;Steiner Michael;**;7;56.5;3;38.25;0;0.0;10.0
o;2;48.25;Giger Samuel;***;3;57.5;4;47.75;2;-0.5;8.5

6b;Geisser Lars;**;;;;;;;;;56.75
+;;;Zbinden Marc;*;;;;;;;9.75
o;2;9.75;Orlik Armon;***;1;58.75;3;9.0;1;-0.75;8.5
+;7;18.25;Kolb This (2003);;18;53.75;4;19.0;-3;0.75;10.0
+;5;28.25;Wolfer Lukas;*;13;55.0;5;28.25;0;0.0;10.0
-;3;38.25;Kramer Lario;**;9;56.0;7;37.25;4;-1.0;8.75
+;7;47.0;Schuler Martin;;13;55.0;9;46.5;2;-0.5;9.75

6c;Schläpfer Markus;**;;;;;;;;;56.75
+;;;Arztmann Beda;*;;;;;;;10.0
+;1;10.0;Käser Remo;***;33;17.5;3;9.0;2;-1.0;9.75
+;2;19.75;Büsser Remo;;21;53.0;5;18.75;3;-1.0;10.0
-;1;29.75;Notz Beni;***;3;57.5;3;28.75;2;-1.0;8.75
+;2;38.5;Breitenmoser Manuel;*;11;55.5;2;38.5;0;0.0;9.75
o;2;48.25;Leuppi Samir;**;2;58.0;3;48.0;1;-0.25;8.5

7a;Blaser Christian;*;;;;;;;;;56.5
o;;;Baumann Rico;*;;;;;;;8.5
+;5;8.5;Castelli Fabio;;18;53.75;1;10.0;-4;1.5;10.0
o;6;18.5;Zwyssig Raphael;***;7;56.5;10;17.25;4;-1.25;8.5
+;10;27.0;Rotach Lars;*;11;55.5;10;27.0;0;0.0;9.75
+;9;36.75;Bernold Michael;*;12;55.25;8;37.0;-1;0.25;10.0
+;8;46.75;Schlegel Sandro;**;10;55.75;7;47.0;-1;0.25;9.75

7b;Dumelin David;**;;;;;;;;;56.5
+;;;Schlegel Werner (2002);*;;;;;;;9.75
o;2;9.75;Forrer Arnold;***;13;55.0;4;8.75;2;-1.0;8.5
+;7;18.25;Schuler Martin;;13;55.0;3;19.5;-4;1.25;9.75
+;6;28.0;Gartmann Mauro;*;7;56.5;7;27.75;1;-0.25;9.75
o;5;37.75;Roth Martin;**;5;57.0;3;38.25;-2;0.5;8.75
+;9;46.5;Rhyner Michael;**;13;55.0;9;46.5;0;0.0;10.0

7c;Arztmann Beda;*;;;;;;;;;56.5
o;;;Schläpfer Markus;**;;;;;;;8.5
+;5;8.5;Keller Lukas;;16;54.25;1;10.0;-4;1.5;9.75
o;7;18.25;Bernold Michael;*;12;55.25;5;18.75;-2;0.5;8.5
+;11;26.75;Büsser André;*;23;52.5;10;27.0;-1;0.25;9.75
+;10;36.5;Niederer Andreas (2002);;17;54.0;10;36.5;0;0.0;10.0
+;9;46.5;Koch Thomas;*;13;55.0;9;46.5;0;0.0;10.0

7d;Steiner Michael;**;;;;;;;;;56.5
+;;;Schlegel Reto;*;;;;;;;9.75
o;2;9.75;Mathis Marcel;***;5;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Schwyn Patrick;;16;54.25;6;18.5;-1;0.25;10.0
+;5;28.25;Schuler Martin;;13;55.0;6;28.0;1;-0.25;10.0
o;3;38.25;Bless Michael;***;6;56.75;3;38.25;0;0.0;8.5
+;8;46.75;Räbsamen Marcel;*;12;55.25;9;46.5;1;-0.25;9.75

7e;Fankhauser Erich;***;;;;;;;;;56.5
+;;;Kuster Marcel;***;;;;;;;9.75
-;2;9.75;Schneider Domenic;***;3;57.5;1;10.0;-1;0.25;9.0
+;5;18.75;Roth Martin;**;5;57.0;1;20.0;-4;1.25;10.0
o;3;28.75;Rychen Roger;***;5;57.0;4;28.5;1;-0.25;8.75
-;6;37.5;Oertig Dominik;**;8;56.25;2;38.5;-4;1.0;9.0
+;9;46.5;Inauen Andreas;*;13;55.0;9;46.5;0;0.0;10.0

7f;Gmür Pirmin;**;;;;;;;;;56.5
-;;;Bühler Hannes;*;;;;;;;8.75
+;4;8.75;Krähenbühl Lukas;*;16;54.25;2;9.75;-2;1.0;9.75
o;6;18.5;Bless Michael;***;6;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Rüegg Patrick;;17;54.0;5;28.25;-5;1.25;9.75
+;9;36.75;Marty Jaime;*;12;55.25;9;36.75;0;0.0;9.75
+;9;46.5;Strebel Joel;**;12;55.25;9;46.5;0;0.0;10.0

7g;Zwyssig Raphael;***;;;;;;;;;56.5
o;;;Notz Beni;***;;;;;;;8.5
-;5;8.5;Baumann Rico;*;8;56.25;1;10.0;-4;1.5;8.75
+;10;17.25;Blaser Christian;*;7;56.5;6;18.5;-4;1.25;9.75
+;10;27.0;Bernold Michael;*;12;55.25;4;28.5;-6;1.5;9.75
+;9;36.75;Bärtsch Fabian;*;12;55.25;8;37.0;-1;0.25;10.0
+;8;46.75;Borcard Johann;**;12;55.25;8;46.75;0;0.0;9.75

7h;Gartmann Mauro;*;;;;;;;;;56.5
-;;;Oertle Daniel;*;;;;;;;9.0
-;3;9.0;Mettler Valentin;*;13;55.0;5;8.5;2;-0.5;8.75
