3417-2016-06-12_Stoos-Schwinget2-ST

1a;Schuler Christian;***;;;;;;;;;58.25
o;;;Stalder Remo;***;;;;;;;8.5
+;5;8.5;Gassmann Michael;*;17;53.0;1;10.0;-4;1.5;10.0
+;6;18.5;Muff Armin;**;8;55.75;7;18.25;1;-0.25;10.0
+;7;28.5;Arnold Stefan;**;4;56.75;2;29.75;-5;1.25;10.0
+;2;38.5;Zimmermann Martin;**;8;55.75;2;38.5;0;0.0;9.75
+;1;48.25;Arnold Stefan;**;4;56.75;2;48.0;1;-0.25;10.0

2a;Suppiger René;**;;;;;;;;;57.25
+;;;Nötzli Bruno;***;;;;;;;9.75
+;2;9.75;Bader Andreas;*;18;35.5;1;10.0;-1;0.25;9.75
+;3;19.5;Alpiger Nick;**;4;56.75;2;19.75;-1;0.25;10.0
-;3;29.5;Laimbacher Philipp;***;11;55.0;7;28.5;4;-1.0;8.75
-;3;38.25;Müllestein Mike;**;5;56.5;1;38.75;-2;0.5;9.0
+;5;47.25;Nietlispach Pascal;**;9;55.5;6;47.0;1;-0.25;10.0

2b;Gloggner Philipp;***;;;;;;;;;57.25
+;;;Imhof Andi;***;;;;;;;10.0
+;1;10.0;Schuler Philipp;**;8;55.75;1;10.0;0;0.0;10.0
o;1;20.0;Schelbert Ralf;**;4;56.75;3;19.5;2;-0.5;8.5
-;7;28.5;Höfliger Andreas;**;6;56.25;1;30.0;-6;1.5;8.75
+;6;37.25;Laimbacher Philipp;***;11;55.0;6;37.25;0;0.0;10.0
+;5;47.25;Odermatt Christian;**;12;54.75;9;46.25;4;-1.0;10.0

3a;Schurtenberger Sven;**;;;;;;;;;57.0
o;;;Nötzli Reto;***;;;;;;;8.5
-;5;8.5;Bieri Marcel;**;7;56.0;1;10.0;-4;1.5;8.75
+;10;17.25;Bernhard Lukas;*;13;54.5;7;18.25;-3;1.0;10.0
+;12;27.25;Inderbitzin Daniel;*;18;35.5;13;27.0;1;-0.25;9.75
+;7;37.0;Imhof Andi;***;8;55.75;6;37.25;-1;0.25;10.0
+;6;47.0;Betschart Remo;**;13;54.5;10;46.0;4;-1.0;10.0

4a;Schelbert Ralf;**;;;;;;;;;56.75
+;;;Strebel Joel;**;;;;;;;9.75
+;2;9.75;Muff Armin;**;8;55.75;2;9.75;0;0.0;9.75
+;3;19.5;Gloggner Philipp;***;2;57.25;1;20.0;-2;0.5;9.75
-;4;29.25;Mathis Marcel;***;6;56.25;6;28.75;2;-0.5;8.75
-;4;38.0;Fankhauser Erich;***;12;54.75;6;37.25;2;-0.75;8.75
+;7;46.75;Fink Bruno;*;10;55.25;7;46.75;0;0.0;10.0

4b;Arnold Stefan;**;;;;;;;;;56.75
+;;;Hauri Urs;**;;;;;;;9.75
+;2;9.75;Kennel Beat;*;12;54.75;2;9.75;0;0.0;10.0
+;2;19.75;Stalder Remo;***;14;54.25;6;18.5;4;-1.25;10.0
o;2;29.75;Schuler Christian;***;1;58.25;7;28.5;5;-1.25;8.5
+;3;38.25;Betschart Rainer;**;5;56.5;4;38.0;1;-0.25;9.75
o;2;48.0;Schuler Christian;***;1;58.25;1;48.25;-1;0.25;8.75

4c;Alpiger Nick;**;;;;;;;;;56.75
+;;;Laimbacher Philipp;***;;;;;;;10.0
+;1;10.0;Effinger Markus;*;14;54.25;1;10.0;0;0.0;9.75
o;2;19.75;Suppiger René;**;2;57.25;3;19.5;1;-0.25;8.5
+;8;28.25;Bürgler André;*;9;55.5;7;28.5;-1;0.25;9.75
-;4;38.0;Höfliger Andreas;**;6;56.25;1;38.75;-3;0.75;8.75
+;7;46.75;Küttel Pirmin;**;9;55.5;6;47.0;-1;0.25;10.0

5a;Betschart Rainer;**;;;;;;;;;56.5
+;;;Kempf Elias;**;;;;;;;10.0
+;1;10.0;Kälin Roland;**;10;55.25;2;9.75;1;-0.25;10.0
-;1;20.0;Ulrich Andreas;***;7;56.0;5;18.75;4;-1.25;9.0
-;5;29.0;Imhof Andi;***;8;55.75;8;28.25;3;-0.75;9.0
o;4;38.0;Arnold Stefan;**;4;56.75;3;38.25;-1;0.25;8.5
+;8;46.5;Müller Michael;**;13;54.5;10;46.0;2;-0.5;10.0

5b;Müllestein Mike;**;;;;;;;;;56.5
+;;;Schmid Samuel;**;;;;;;;10.0
-;1;10.0;von Ah Benji;***;12;54.75;2;9.75;1;-0.25;8.75
+;5;18.75;Nietlispach Pascal;**;9;55.5;6;18.5;1;-0.25;10.0
+;6;28.75;Bernet Christoph;*;15;53.75;9;28.0;3;-0.75;10.0
-;1;38.75;Suppiger René;**;2;57.25;3;38.25;2;-0.5;9.0
-;3;47.75;Mathis Marcel;***;6;56.25;4;47.5;1;-0.25;8.75

5c;Nötzli Reto;***;;;;;;;;;56.5
+;;;Schurtenberger Sven;**;;;;;;;9.75
-;2;9.75;Zimmermann Martin;**;8;55.75;2;9.75;0;0.0;9.0
-;5;18.75;Schmid David;**;14;54.25;7;18.25;2;-0.5;9.0
-;10;27.75;Egli David;*;13;54.5;8;28.25;-2;0.5;9.0
+;8;36.75;Hess Dominik;*;8;55.75;6;37.25;-2;0.5;9.75
+;8;46.5;Gasser Stefan;**;11;55.0;8;46.5;0;0.0;10.0

6a;Höfliger Andreas;**;;;;;;;;;56.25
+;;;Brun Jonas;**;;;;;;;10.0
+;1;10.0;Stalder Remo;***;14;54.25;1;10.0;0;0.0;10.0
+;1;20.0;Thalmann Thomas;*;13;54.5;5;18.75;4;-1.25;10.0
-;1;30.0;Gloggner Philipp;***;2;57.25;7;28.5;6;-1.5;8.75
-;1;38.75;Alpiger Nick;**;4;56.75;4;38.0;3;-0.75;8.75
-;4;47.5;Voggensperger Janic (1998);*;9;55.5;7;46.75;3;-0.75;8.75

6b;Mathis Marcel;***;;;;;;;;;56.25
+;;;Stüdeli Thomas;**;;;;;;;10.0
-;1;10.0;Ulrich Andreas;***;7;56.0;1;10.0;0;0.0;8.75
+;5;18.75;Bürgler André;*;9;55.5;1;20.0;-4;1.25;10.0
-;6;28.75;Schelbert Ralf;**;4;56.75;4;29.25;-2;0.5;8.75
+;5;37.5;Räbmatter Patrick;**;9;55.5;3;38.25;-2;0.75;10.0
-;4;47.5;Müllestein Mike;**;5;56.5;3;47.75;-1;0.25;8.75

7a;Bieri Marcel;**;;;;;;;;;56.0
+;;;Egli Damian;**;;;;;;;10.0
-;1;10.0;Schurtenberger Sven;**;3;57.0;5;8.5;4;-1.5;8.75
-;5;18.75;Schuler Alex;**;9;55.5;6;18.5;1;-0.25;8.75
+;11;27.5;Kocher Remo;**;16;53.25;12;27.25;1;-0.25;9.75
-;6;37.25;Egli David;*;13;54.5;7;37.0;1;-0.25;9.0
+;9;46.25;von Ah Benji;***;12;54.75;9;46.25;0;0.0;9.75

7b;Ulrich Andreas;***;;;;;;;;;56.0
+;;;Schmid David;**;;;;;;;10.0
-;1;10.0;Mathis Marcel;***;6;56.25;1;10.0;0;0.0;8.75
-;5;18.75;Betschart Rainer;**;5;56.5;1;20.0;-4;1.25;9.0
+;10;27.75;Müller Michael;**;13;54.5;11;27.5;1;-0.25;9.75
-;5;37.5;von Ah Benji;***;12;54.75;5;37.5;0;0.0;8.75
+;9;46.25;Egli David;*;13;54.5;10;46.0;1;-0.25;9.75

8a;Zimmermann Martin;**;;;;;;;;;55.75
+;;;Klausner Yanick;**;;;;;;;9.75
-;2;9.75;Nötzli Reto;***;5;56.5;2;9.75;0;0.0;8.75
+;6;18.5;Fankhauser Reto;**;20;34.75;9;17.5;3;-1.0;10.0
+;7;28.5;Schuler Philipp;**;8;55.75;8;28.25;1;-0.25;10.0
o;2;38.5;Schuler Christian;***;1;58.25;2;38.5;0;0.0;8.5
-;6;47.0;Räbmatter Patrick;**;9;55.5;7;46.75;1;-0.25;8.75

8b;Hess Dominik;*;;;;;;;;;55.75
+;;;Schnell Mathias;*;;;;;;;10.0
o;1;10.0;Schuler Alex;**;9;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Kennel Beat;*;12;54.75;7;18.25;1;-0.25;8.75
+;12;27.25;Leuthard Reto;*;22;34.25;17;25.75;5;-1.5;10.0
o;6;37.25;Nötzli Reto;***;5;56.5;8;36.75;2;-0.5;8.5
+;11;45.75;Kenel Franz-Toni;*;14;54.25;11;45.75;0;0.0;10.0

8c;Schuler Philipp;**;;;;;;;;;55.75
+;;;Scherrer Johann;**;;;;;;;10.0
o;1;10.0;Gloggner Philipp;***;2;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Stöckli Stefan;**;12;54.75;9;17.5;3;-1.0;9.75
o;8;28.25;Zimmermann Martin;**;8;55.75;7;28.5;-1;0.25;8.5
-;8;36.75;Bernhard Lukas;*;13;54.5;8;36.75;0;0.0;9.0
+;11;45.75;Schmid David;**;14;54.25;11;45.75;0;0.0;10.0

8d;Imhof Andi;***;;;;;;;;;55.75
o;;;Gloggner Philipp;***;;;;;;;8.5
+;5;8.5;Heinzer Stefan;*;14;54.25;1;10.0;-4;1.5;9.75
+;7;18.25;Müller Michael;**;13;54.5;4;19.0;-3;0.75;10.0
-;8;28.25;Betschart Rainer;**;5;56.5;5;29.0;-3;0.75;9.0
o;6;37.25;Schurtenberger Sven;**;3;57.0;7;37.0;1;-0.25;8.5
+;11;45.75;Nötzli Bruno;***;13;54.5;11;45.75;0;0.0;10.0

8e;Muff Armin;**;;;;;;;;;55.75
+;;;Odermatt Christian;**;;;;;;;9.75
o;2;9.75;Schelbert Ralf;**;4;56.75;2;9.75;0;0.0;8.5
o;7;18.25;Schuler Christian;***;1;58.25;6;18.5;-1;0.25;8.5
+;14;26.75;Schnell Mathias;*;19;35.25;14;26.75;0;0.0;10.0
