5522-2022-05-26_Baselstaedtischer_Schwingertag-ST

1a;Giger Samuel;***;;;;;;;;;59.75
+;;;Alpiger Nick;***;;;;;;;9.75
+;2;9.75;Räbmatter Patrick;***;6;56.75;2;9.75;0;0.0;10.0
+;2;19.75;Wicki Joel;***;2;57.75;2;19.75;0;0.0;10.0
+;1;29.75;Ledermann Michael;**;5;57.0;3;28.75;2;-1.0;10.0
+;1;39.75;Kropf Marcel;**;5;57.0;2;38.5;1;-1.25;10.0
+;1;49.75;Odermatt Adrian;**;4;57.25;2;48.5;1;-1.25;10.0

2a;Wicki Joel;***;;;;;;;;;57.75
+;;;Schmid David;***;;;;;;;9.75
+;2;9.75;Kropf Marcel;**;5;57.0;1;10.0;-1;0.25;10.0
o;2;19.75;Giger Samuel;***;1;59.75;2;19.75;0;0.0;8.5
+;5;28.25;Hügli Kaj;**;6;56.75;3;28.75;-2;0.5;9.75
+;4;38.0;Alpiger Nick;***;6;56.75;3;38.25;-1;0.25;9.75
+;4;47.75;Räbmatter Patrick;***;6;56.75;3;48.25;-1;0.5;10.0

3a;Berger Lorenz;**;;;;;;;;;57.5
-;;;Döbeli Lukas;**;;;;;;;8.75
+;4;8.75;Räber Lukas;*;16;54.25;2;9.75;-2;1.0;10.0
-;5;18.75;Strebel Joel;***;6;56.75;7;18.25;2;-0.5;8.75
+;8;27.5;Erb Roger;**;5;57.0;4;28.5;-4;1.0;10.0
+;6;37.5;Joho Philip;*;6;56.75;3;38.25;-3;0.75;10.0
+;5;47.5;Widmer Tobias;**;8;56.25;5;47.5;0;0.0;10.0

4a;Odermatt Adrian;**;;;;;;;;;57.25
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Bearda Samuel;**;11;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Hermann Lukas;;14;54.75;3;19.5;-3;1.0;10.0
+;4;28.5;Schneider Domenic;***;7;56.5;2;29.5;-2;1.0;10.0
+;2;38.5;Schmid Samuel;**;5;57.0;3;38.25;1;-0.25;10.0
o;2;48.5;Giger Samuel;***;1;59.75;1;49.75;-1;1.25;8.75

5a;Erb Roger;**;;;;;;;;;57.0
+;;;Imobersteg Matthias;**;;;;;;;10.0
o;1;10.0;Schneider Domenic;***;7;56.5;1;10.0;0;0.0;8.5
+;6;18.5;Kirchmeier Christof;;14;54.75;3;19.5;-3;1.0;10.0
o;4;28.5;Berger Lorenz;**;3;57.5;8;27.5;4;-1.0;8.5
+;8;37.0;Bieli Andreas;;9;56.0;6;37.5;-2;0.5;10.0
+;7;47.0;Jehle Aaron (2005);;14;54.75;10;46.25;3;-0.75;10.0

5b;Ledermann Michael;**;;;;;;;;;57.0
-;;;Döbeli Andreas;***;;;;;;;9.0
+;3;9.0;Rüegger Aaron;*;10;55.75;2;9.75;-1;0.75;10.0
+;4;19.0;Voggensperger Lars;*;6;56.75;6;18.5;2;-0.5;9.75
o;3;28.75;Giger Samuel;***;1;59.75;1;29.75;-2;1.0;8.5
+;7;37.25;Schwegler Dominik;;5;57.0;2;38.5;-5;1.25;10.0
+;6;47.25;Vieira Tiago;**;9;56.0;5;47.5;-1;0.25;9.75

5c;Schwegler Dominik;;;;;;;;;;57.0
+;;;Schmutz Adrian;*;;;;;;;10.0
+;1;10.0;Ancona Enea (2004);;13;55.0;2;9.75;1;-0.25;10.0
-;1;20.0;Vieira Tiago;**;9;56.0;5;18.75;4;-1.25;8.75
+;3;28.75;Henzer Andreas;**;13;55.0;6;28.0;3;-0.75;9.75
o;2;38.5;Ledermann Michael;**;5;57.0;7;37.25;5;-1.25;8.5
+;7;47.0;Graber Colin;;12;55.25;8;46.75;1;-0.25;10.0

5d;Schmid Samuel;**;;;;;;;;;57.0
+;;;Stegmüller Klemens;*;;;;;;;10.0
o;1;10.0;Fankhauser Marco;**;11;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Widmer Dino;;19;53.5;7;18.25;1;-0.25;10.0
+;4;28.5;Späti Jan;;14;54.75;3;28.75;-1;0.25;9.75
o;3;38.25;Odermatt Adrian;**;4;57.25;2;38.5;-1;0.25;8.75
+;7;47.0;Odermatt Jonas (2004);*;12;55.25;8;46.75;1;-0.25;10.0

5e;Kropf Marcel;**;;;;;;;;;57.0
+;;;Anderegg David;*;;;;;;;10.0
o;1;10.0;Wicki Joel;***;2;57.75;2;9.75;1;-0.25;8.5
+;6;18.5;Reinhard Pirmin;;9;56.0;5;18.75;-1;0.25;10.0
+;4;28.5;Vogel Remo;**;9;56.0;8;27.5;4;-1.0;10.0
o;2;38.5;Giger Samuel;***;1;59.75;1;39.75;-1;1.25;8.5
+;7;47.0;Kirchmeier Christof;;14;54.75;10;46.25;3;-0.75;10.0

6a;Voggensperger Lars;*;;;;;;;;;56.75
o;;;Bearda Samuel;**;;;;;;;8.5
+;5;8.5;Burren Dominik;;13;55.0;2;9.75;-3;1.25;10.0
o;6;18.5;Ledermann Michael;**;5;57.0;4;19.0;-2;0.5;8.75
+;9;27.25;Steger Robert;;13;55.0;6;28.0;-3;0.75;10.0
+;7;37.25;Kohler Adrian;*;12;55.25;8;37.0;1;-0.25;9.75
+;7;47.0;Fankhauser Marco;**;11;55.5;8;46.75;1;-0.25;9.75

6b;Gobeli Patrick;**;;;;;;;;;56.75
o;;;Räbmatter Patrick;***;;;;;;;8.5
+;5;8.5;Joho Philip;*;6;56.75;2;9.75;-3;1.25;9.75
+;7;18.25;Döbeli Lukas;**;14;54.75;4;19.0;-3;0.75;10.0
-;5;28.25;Widmer Tobias;**;8;56.25;3;28.75;-2;0.5;8.75
+;8;37.0;Bader Fabian;**;9;56.0;7;37.25;-1;0.25;9.75
+;8;46.75;Ancona Enea (2004);;13;55.0;9;46.5;1;-0.25;10.0

6c;Hügli Kaj;**;;;;;;;;;56.75
+;;;Scherrer Johann;**;;;;;;;10.0
-;1;10.0;Vogel Remo;**;9;56.0;2;9.75;1;-0.25;9.0
+;4;19.0;Huser Roman;;13;55.0;6;18.5;2;-0.5;9.75
o;3;28.75;Wicki Joel;***;2;57.75;5;28.25;2;-0.5;8.5
+;7;37.25;Graber Colin;;12;55.25;3;38.25;-4;1.0;9.75
+;7;47.0;Steger Robert;;13;55.0;9;46.5;2;-0.5;9.75

6d;Joho Pascal (2004);;;;;;;;;;56.75
+;;;Fritz Andreas;;;;;;;;10.0
+;1;10.0;Schmutz Adrian;*;25;35.25;5;8.5;4;-1.5;9.75
-;2;19.75;Vogel Remo;**;9;56.0;6;18.5;4;-1.25;9.0
-;3;28.75;Lüscher Sinisha (2006);*;10;55.75;5;28.25;2;-0.5;9.0
+;5;37.75;Henzer Andreas;**;13;55.0;10;36.5;5;-1.25;10.0
-;4;47.75;Gerber Andrj;*;10;55.75;8;46.75;4;-1.0;9.0

6e;Schmid David;***;;;;;;;;;56.75
o;;;Wicki Joel;***;;;;;;;8.5
+;5;8.5;Lüscher Sinisha (2006);*;10;55.75;2;9.75;-3;1.25;10.0
-;6;18.5;Bader Fabian;**;9;56.0;6;18.5;0;0.0;8.75
+;9;27.25;Räber Lukas;*;16;54.25;5;28.25;-4;1.0;10.0
+;7;37.25;Stegmüller Klemens;*;11;55.5;8;37.0;1;-0.25;9.75
+;7;47.0;Studer Remo;*;12;55.25;8;46.75;1;-0.25;9.75

6f;Strebel Joel;***;;;;;;;;;56.75
o;;;Schneider Domenic;***;;;;;;;8.5
+;5;8.5;Gerber Andrj;*;10;55.75;1;10.0;-4;1.5;9.75
-;7;18.25;Berger Lorenz;**;3;57.5;5;18.75;-2;0.5;9.0
+;9;27.25;Bearda Samuel;**;11;55.5;4;28.5;-5;1.25;9.75
+;8;37.0;Streich Sascha;*;10;55.75;6;37.5;-2;0.5;9.75
+;8;46.75;Mangold Michael;**;14;54.75;10;46.25;2;-0.5;10.0

6g;Räbmatter Patrick;***;;;;;;;;;56.75
+;;;Gobeli Patrick;**;;;;;;;9.75
o;2;9.75;Giger Samuel;***;1;59.75;2;9.75;0;0.0;8.5
+;7;18.25;Schwenkfelder Lukas;*;10;55.75;5;18.75;-2;0.5;10.0
+;5;28.25;Stüdeli Thomas;**;6;56.75;4;28.5;-1;0.25;10.0
+;3;38.25;Schneider Domenic;***;7;56.5;3;38.25;0;0.0;10.0
o;3;48.25;Wicki Joel;***;2;57.75;4;47.75;1;-0.5;8.5

6h;Joho Philip;*;;;;;;;;;56.75
+;;;Bader Fabian;**;;;;;;;9.75
o;2;9.75;Gobeli Patrick;**;6;56.75;5;8.5;3;-1.25;8.75
+;6;18.5;Rohrbach Jérôme;;9;56.0;5;18.75;-1;0.25;9.75
+;5;28.25;Ancona Enea (2004);;13;55.0;6;28.0;1;-0.25;10.0
o;3;38.25;Berger Lorenz;**;3;57.5;6;37.5;3;-0.75;8.5
+;8;46.75;Vogt Sandro (2004);;13;55.0;9;46.5;1;-0.25;10.0

6i;Döbeli Andreas;***;;;;;;;;;56.75
-;;;Ledermann Michael;**;;;;;;;9.0
+;3;9.0;Kohler Adrian;*;12;55.25;4;8.75;1;-0.25;10.0
o;4;19.0;Schneider Domenic;***;7;56.5;2;19.75;-2;0.75;8.5
+;8;27.5;Gerber Andrj;*;10;55.75;4;28.5;-4;1.0;9.75
+;7;37.25;Stoll Simon;**;10;55.75;6;37.5;-1;0.25;9.75
+;7;47.0;Bearda Samuel;**;11;55.5;7;47.0;0;0.0;9.75

6j;Stüdeli Thomas;**;;;;;;;;;56.75
-;;;Arnold Kornel;*;;;;;;;8.75
+;4;8.75;Dünner Tobias (2005);;12;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Anderegg David;*;16;54.25;6;18.5;0;0.0;10.0
o;4;28.5;Räbmatter Patrick;***;6;56.75;5;28.25;1;-0.25;8.5
+;8;37.0;Müller Christian;;17;54.0;8;37.0;0;0.0;10.0
+;7;47.0;Nussbaumer Gabriel;;12;55.25;8;46.75;1;-0.25;9.75

6k;Alpiger Nick;***;;;;;;;;;56.75
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Studer Remo;*;12;55.25;3;9.0;-2;0.5;10.0
+;6;18.5;Fankhauser Marco;**;11;55.5;6;18.5;0;0.0;9.75
+;5;28.25;Hermann Oliver;**;9;56.0;3;28.75;-2;0.5;10.0
o;3;38.25;Wicki Joel;***;2;57.75;4;38.0;1;-0.25;8.5
+;8;46.75;Döbeli Lukas;**;14;54.75;10;46.25;2;-0.5;10.0

7a;Schneider Domenic;***;;;;;;;;;56.5
+;;;Strebel Joel;***;;;;;;;10.0
+;1;10.0;Erb Roger;**;5;57.0;1;10.0;0;0.0;9.75
+;2;19.75;Döbeli Andreas;***;6;56.75;4;19.0;2;-0.75;9.75
o;2;29.5;Odermatt Adrian;**;4;57.25;4;28.5;2;-1.0;8.75
o;3;38.25;Räbmatter Patrick;***;6;56.75;3;38.25;0;0.0;8.5
+;8;46.75;Leuthard Reto;**;13;55.0;9;46.5;1;-0.25;9.75

8a;Widmer Tobias;**;;;;;;;;;56.25
-;;;Fankhauser Marco;**;;;;;;;8.75
+;4;8.75;Imobersteg Matthias;**;24;35.5;5;8.5;1;-0.25;10.0
+;5;18.75;Hasler Luis;;11;55.5;5;18.75;0;0.0;10.0
-;3;28.75;Gobeli Patrick;**;6;56.75;5;28.25;2;-0.5;8.75
+;6;37.5;Nussbaumer Gabriel;;12;55.25;3;38.25;-3;0.75;10.0
o;5;47.5;Berger Lorenz;**;3;57.5;5;47.5;0;0.0;8.75

9a;Hermann Oliver;**;;;;;;;;;56.0
-;;;Kohler Adrian;*;;;;;;;8.75
+;4;8.75;Küng Marco;*;32;17.0;5;8.5;1;-0.25;10.0
+;5;18.75;Brunner Lukas (2006);;22;52.5;6;18.5;1;-0.25;10.0
o;3;28.75;Alpiger Nick;***;6;56.75;5;28.25;2;-0.5;8.5
o;7;37.25;Studer Remo;*;12;55.25;8;37.0;1;-0.25;8.75
+;11;46.0;Bachmann Sämi;;13;55.0;9;46.5;-2;0.5;10.0

9b;Reinhard Pirmin;;;;;;;;;;56.0
-;;;Dobler Florian;;;;;;;;8.75
+;4;8.75;Stocker Niklas (2005);;21;52.75;1;10.0;-3;1.25;10.0
o;5;18.75;Kropf Marcel;**;5;57.0;6;18.5;1;-0.25;8.5
-;9;27.25;Rohrbach Jérôme;;9;56.0;9;27.25;0;0.0;8.75
+;12;36.0;Abt Robin;;19;53.5;10;36.5;-2;0.5;10.0
+;11;46.0;Probst Gabriel;**;19;53.5;15;45.0;4;-1.0;10.0

9c;Vogel Remo;**;;;;;;;;;56.0
+;;;Henzer Andreas;**;;;;;;;9.75
-;2;9.75;Hügli Kaj;**;6;56.75;1;10.0;-1;0.25;8.75
-;6;18.5;Joho Pascal (2004);;6;56.75;2;19.75;-4;1.25;9.0
o;8;27.5;Kropf Marcel;**;5;57.0;4;28.5;-4;1.0;8.5
+;12;36.0;Stadler Kevin;*;12;55.25;8;37.0;-4;1.0;10.0
+;11;46.0;Hasler Luis;;11;55.5;7;47.0;-4;1.0;10.0

9d;Rohrbach Jérôme;;;;;;;;;;56.0
+;;;Steger Robert;;;;;;;;10.0
-;1;10.0;Roth Jan (2004);*;11;55.5;4;8.75;3;-1.25;8.75
o;5;18.75;Joho Philip;*;6;56.75;6;18.5;1;-0.25;8.5
-;9;27.25;Reinhard Pirmin;;9;56.0;9;27.25;0;0.0;8.75
+;12;36.0;Burkhardt Roy;;17;54.0;13;35.75;1;-0.25;10.0
+;11;46.0;Räber Lukas;*;16;54.25;13;45.5;2;-0.5;10.0

9e;Bieli Andreas;;;;;;;;;;56.0
o;;;Räber Lukas;*;;;;;;;8.5
+;5;8.5;Regenass Beat;;16;54.25;4;8.75;-1;0.25;10.0
-;6;18.5;Brugger Jonas;;17;54.0;7;18.25;1;-0.25;9.0
+;8;27.5;Gerber Manuel;*;25;35.25;11;26.75;3;-0.75;10.0
o;6;37.5;Erb Roger;**;5;57.0;8;37.0;2;-0.5;8.5
+;11;46.0;Dobler Florian;;15;54.5;11;46.0;0;0.0;10.0

9f;Vieira Tiago;**;;;;;;;;;56.0
+;;;Gerber Manuel;*;;;;;;;10.0
-;1;10.0;Kindlimann Fabian;***;26;35.0;4;8.75;3;-1.25;8.75
-;5;18.75;Schwegler Dominik;;5;57.0;1;20.0;-4;1.25;8.75
+;8;27.5;Dünner Tobias (2005);;12;55.25;5;28.25;-3;0.75;10.0
+;6;37.5;Schwenkfelder Lukas;*;10;55.75;7;37.25;1;-0.25;10.0
o;5;47.5;Ledermann Michael;**;5;57.0;6;47.25;1;-0.25;8.5

9g;Bader Fabian;**;;;;;;;;;56.0
o;;;Joho Philip;*;;;;;;;8.5
+;5;8.5;Reinhard Roman (2005);;28;34.25;4;8.75;-1;0.25;10.0
-;6;18.5;Schmid David;***;6;56.75;6;18.5;0;0.0;8.75
+;9;27.25;Furrer Mathias;;23;36.5;6;28.0;-3;0.75;10.0
o;7;37.25;Gobeli Patrick;**;6;56.75;8;37.0;1;-0.25;8.75
+;11;46.0;Müller Christian;;17;54.0;13;45.5;2;-0.5;10.0

10a;Lüscher Sinisha (2006);*;;;;;;;;;55.75
+;;;Stadler Kevin;*;;;;;;;9.75
o;2;9.75;Schmid David;***;6;56.75;5;8.5;3;-1.25;8.75
+;6;18.5;Böni Ralf (2004);;12;55.25;2;19.75;-4;1.25;9.75
-;5;28.25;Joho Pascal (2004);;6;56.75;3;28.75;-2;0.5;9.0
o;7;37.25;Leuthard Reto;**;13;55.0;9;36.75;2;-0.5;8.5
+;12;45.75;Burren Dominik;;13;55.0;9;46.5;-3;0.75;10.0

10b;Streich Sascha;*;;;;;;;;;55.75
-;;;Mangold Michael;**;;;;;;;8.75
