4437-2019-05-19_96_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Schuler Alex;***;;;;;;;;;113.0
-;;;Suppiger René;***;;;;;;;8.75
-;;;Waser Raphael;;;;;;;;8.75
+;2;17.5;Thierstein Marco;*;14;55.25;4;9.75;2;-7.75;9.75
+;2;17.5;Suter Lukas (2002);;38;26.75;4;9.75;2;-7.75;9.75
-;1;37.0;Zurﬂuh Roman;**;9;56.5;7;18.75;6;-18.25;9.0
+;1;37.0;Amgarten Martin;*;27;45.75;13;17.25;12;-19.75;10.0
+;1;56.0;Herger Fabian;*;7;57.0;8;28.5;7;-27.5;9.75
o;1;56.0;Brun Jonas;**;25;47.0;9;28.25;8;-27.75;8.5
+;1;74.25;Rohrer Ueli;*;26;46.0;10;37.5;9;-36.75;9.75
-;1;74.25;Bühler Kilian;;28;45.25;13;36.75;12;-37.5;9.0
+;2;93.0;Reichmuth Armin;*;12;55.75;10;47.0;8;-46.0;10.0
+;2;93.0;Rohrer Ueli;*;26;46.0;14;46.0;12;-47.0;10.0

2a;Heinzer Stefan;**;;;;;;;;;112.25
-;;;Fässler Dominic;**;;;;;;;8.75
-;;;Herger Fabian;*;;;;;;;8.75
+;2;17.5;Dissler Philipp;*;22;53.25;6;8.75;4;-8.75;10.0
-;2;17.5;Gassmann Michael;*;15;55.0;6;8.75;4;-8.75;8.75
+;2;36.25;Wüest David;;12;55.75;3;20.0;1;-16.25;10.0
-;2;36.25;Zgraggen Peter;;19;54.0;8;18.5;6;-17.75;9.0
o;2;55.25;Fankhauser Erich;***;5;57.5;7;28.75;5;-26.5;8.5
+;2;55.25;Wyss Christian;;19;54.0;13;27.25;11;-28.0;10.0
+;2;73.75;Achermann Simon;;17;54.5;11;37.25;9;-36.5;10.0
+;2;73.75;Waser Raphael;;30;44.5;16;36.0;14;-37.75;10.0
+;1;93.75;Grab Daniel;**;14;55.25;12;46.5;11;-47.25;9.75
o;1;93.75;Betschart Rainer;**;6;57.25;9;47.25;8;-46.5;8.75

3a;Gisler Silvan (2002);;;;;;;;;;106.5
-;;;Brunner Timon;;;;;;;;8.75
+;;;Schuler Yannick (2003);;;;;;;;10.0
+;1;18.75;Andermatt Erwin;;36;34.25;7;8.5;6;-10.25;9.75
o;1;18.75;Ulrich Pascal;;12;55.75;3;10.0;2;-8.75;8.5
o;1;37.0;Bürgler Lukas;*;29;44.75;13;17.25;12;-19.75;8.5
-;1;37.0;Käslin Benno;*;17;54.5;13;17.25;12;-19.75;8.75
+;3;54.25;Kälin Markus (2001);;32;35.25;15;26.75;12;-27.5;9.75
o;3;54.25;Ming Christian;*;14;55.25;14;27.0;11;-27.25;8.5
o;3;72.5;Gwerder Andreas;*;15;55.0;13;36.75;10;-35.75;8.5
o;3;72.5;Spichtig Aldo;;17;54.5;16;36.0;13;-36.5;8.5
o;3;89.5;Blattmann Philipp;;15;55.0;17;45.25;14;-44.25;8.5
o;3;89.5;Zgraggen Peter;;19;54.0;21;44.25;18;-45.25;8.5

4a;Schurtenberger Sven;***;;;;;;;;;59.5
+;;;Schuler Christian;***;;;;;;;10.0
+;3;10.0;Schuler Philipp;**;11;56.0;3;10.0;0;0.0;10.0
+;3;20.0;Grab Martin;*;13;55.5;4;19.75;1;-0.25;9.75
+;4;29.75;Rychen Roger;***;7;57.0;5;29.25;1;-0.5;10.0
+;4;39.75;Waser Dominik;**;7;57.0;6;38.5;2;-1.25;9.75
+;4;49.5;Kessler Joel;*;7;57.0;5;48.25;1;-1.25;10.0

5a;Nötzli Reto;***;;;;;;;;;57.5
-;;;von Ah Benji;***;;;;;;;8.75
+;6;8.75;Gasser Peter;*;14;55.25;3;10.0;-3;1.25;10.0
-;7;18.75;Waser Dominik;**;7;57.0;4;19.75;-3;1.0;8.75
+;12;27.5;Reichmuth Lukas;*;13;55.5;8;28.5;-4;1.0;10.0
+;10;37.5;Hess Dominik;*;10;56.25;9;37.75;-1;0.25;10.0
+;8;47.5;Langensand Stefan;*;12;55.75;9;47.25;1;-0.25;10.0

5b;Fankhauser Erich;***;;;;;;;;;57.5
-;;;Ulrich Andreas;***;;;;;;;9.0
+;5;9.0;Hegner Ueli;*;6;57.25;4;9.75;-1;0.75;10.0
+;6;19.0;Linggi Bruno;**;13;55.5;7;18.75;1;-0.25;9.75
+;7;28.75;Heinzer Stefan;**;2;112.25;2;55.25;-5;26.5;10.0
-;5;38.75;Herger Matthias;**;6;57.25;5;38.75;0;0.0;8.75
+;8;47.5;Heinzer Ronny;*;13;55.5;10;47.0;2;-0.5;10.0

6a;Höﬂiger Andreas;**;;;;;;;;;57.25
-;;;Burch Jonas;*;;;;;;;9.0
+;5;9.0;Kammermann Christoph;*;23;53.0;6;8.75;1;-0.25;10.0
+;6;19.0;Vogel Manuel;;13;55.5;4;19.75;-2;0.75;10.0
o;6;29.0;Arnold Stefan;**;6;57.25;8;28.5;2;-0.5;8.5
+;10;37.5;Steiner Severin (2001);;11;56.0;7;38.25;-3;0.75;9.75
+;9;47.25;Zürcher Ueli;*;15;55.0;12;46.5;3;-0.75;10.0

6b;Hegner Ueli;*;;;;;;;;;57.25
+;;;Amgarten Martin;*;;;;;;;9.75
o;4;9.75;Fankhauser Erich;***;5;57.5;5;9.0;1;-0.75;8.75
+;8;18.5;Herger Marco (2002);;23;53.0;7;18.75;-1;0.25;10.0
-;8;28.5;Arnold Fabian;*;14;55.25;9;28.25;1;-0.25;9.0
+;10;37.5;Pianta Christian;*;17;54.5;11;37.25;1;-0.25;9.75
+;9;47.25;Wüest David;;12;55.75;10;47.0;1;-0.25;10.0

6c;Betschart Rainer;**;;;;;;;;;57.25
-;;;Arnold Stefan;**;;;;;;;8.75
+;6;8.75;Arnold Marcel;*;14;55.25;5;9.0;-1;0.25;10.0
-;7;18.75;Ulrich Andreas;***;10;56.25;7;18.75;0;0.0;8.75
+;12;27.5;Ulrich Pascal;;12;55.75;8;28.5;-4;1.0;10.0
+;10;37.5;Suter Pirmin;;17;54.5;11;37.25;1;-0.25;9.75
+;9;47.25;Heinzer Stefan;*;2;112.25;1;93.75;-8;46.5;10.0

6d;Arnold Stefan;**;;;;;;;;;57.25
-;;;Betschart Rainer;**;;;;;;;8.75
+;6;8.75;Bürgler Lukas;*;29;44.75;6;8.75;0;0.0;10.0
+;7;18.75;Lüthy Ralph;;18;54.25;4;19.75;-3;1.0;9.75
+;8;28.5;Höﬂiger Andreas;**;6;57.25;6;29.0;-2;0.5;10.0
-;6;38.5;Gwerder Michael;**;7;57.0;7;38.25;1;-0.25;9.0
+;8;47.5;Wey Nicola;*;14;55.25;11;46.75;3;-0.75;9.75

6e;Kälin Roland;**;;;;;;;;;57.25
-;;;Binggeli Stefan;**;;;;;;;8.75
+;6;8.75;Niederberger Markus;*;17;54.5;6;8.75;0;0.0;10.0
o;7;18.75;von Ah Benji;***;7;57.0;8;18.5;1;-0.25;8.75
+;12;27.5;Egli Adrian (2002);;18;54.25;8;28.5;-4;1.0;10.0
+;10;37.5;Ettlin Michael;;19;54.0;14;36.5;4;-1.0;9.75
+;9;47.25;Ming Christian;*;14;55.25;11;46.75;2;-0.5;10.0

6f;Herger Matthias;**;;;;;;;;;57.25
-;;;Linggi Bruno;**;;;;;;;8.75
+;6;8.75;Käslin Benno;*;17;54.5;6;8.75;0;0.0;10.0
+;7;18.75;Schuler Christian;***;10;56.25;8;18.5;1;-0.25;10.0
+;7;28.75;Gwerder Beni;;16;54.75;5;29.25;-2;0.5;10.0
-;5;38.75;Fankhauser Erich;***;5;57.5;5;38.75;0;0.0;8.75
+;8;47.5;Inderbitzin Daniel;*;13;55.5;10;47.0;2;-0.5;9.75

7a;Kessler Joel;*;;;;;;;;;57.0
+;;;Zürcher Ueli;*;;;;;;;9.75
+;4;9.75;Gasser Stefan;**;10;56.25;6;8.75;2;-1.0;10.0
o;4;19.75;Suppiger René;***;7;57.0;7;18.75;3;-1.0;8.75
+;8;28.5;Durrer Ueli;;13;55.5;8;28.5;0;0.0;10.0
+;6;38.5;Ettlin Stefan;**;10;56.25;9;37.75;3;-0.75;9.75
o;5;48.25;Schurtenberger Sven;***;4;59.5;4;49.5;-1;1.25;8.75

7b;Gwerder Michael;**;;;;;;;;;57.0
+;;;Dändliker Shane;**;;;;;;;9.75
+;4;9.75;Betschart Patrick;*;8;56.75;3;10.0;-1;0.25;10.0
o;4;19.75;Rychen Roger;***;7;57.0;5;19.5;1;-0.25;8.75
+;8;28.5;Wüest David;;12;55.75;7;28.75;-1;0.25;9.75
-;7;38.25;Arnold Stefan;**;6;57.25;6;38.5;-1;0.25;9.0
+;9;47.25;Burch Jonas;*;14;55.25;11;46.75;2;-0.5;9.75

7c;Suppiger René;***;;;;;;;;;57.0
-;;;Schuler Alex;***;;;;;;;8.75
+;6;8.75;Gwerder Christian;**;21;53.5;3;10.0;-3;1.25;10.0
+;7;18.75;Kessler Joel;*;7;57.0;4;19.75;-3;1.0;9.75
+;8;28.5;Betschart Patrick;*;8;56.75;8;28.5;0;0.0;10.0
-;6;38.5;von Ah Benji;***;7;57.0;6;38.5;0;0.0;8.75
+;9;47.25;Streiff Dominik;*;14;55.25;11;46.75;2;-0.5;9.75

7d;Herger Fabian;*;;;;;;;;;57.0
-;;;Heinzer Stefan;*;;;;;;;8.75
+;6;8.75;Wey Nicola;*;14;55.25;6;8.75;0;0.0;9.75
+;8;18.5;Ulrich Damian;;19;54.0;4;19.75;-4;1.25;10.0
o;8;28.5;Schuler Alex;***;1;113.0;1;56.0;-7;27.5;8.5
+;12;37.0;Lüthy Ralph;;18;54.25;12;37.0;0;0.0;10.0
+;10;47.0;Reichmuth Lukas;*;13;55.5;11;46.75;1;-0.25;10.0

7e;Kenel Franz-Toni;*;;;;;;;;;57.0
-;;;Hösli Fritz;*;;;;;;;8.75
+;6;8.75;Langensand Stefan;*;12;55.75;6;8.75;0;0.0;9.75
+;8;18.5;Durrer Ueli;;13;55.5;3;20.0;-5;1.5;9.75
+;9;28.25;Lemmenmeier Lukas;*;12;55.75;12;27.5;3;-0.75;9.75
+;8;38.0;Kurmann Toni;*;11;56.0;10;37.5;2;-0.5;10.0
-;6;48.0;Rychen Roger;***;7;57.0;6;48.0;0;0.0;9.0

7f;Waser Dominik;**;;;;;;;;;57.0
+;;;Egli Damian;**;;;;;;;9.75
+;4;9.75;Waser Reto;*;11;56.0;4;9.75;0;0.0;10.0
-;4;19.75;Nötzli Reto;***;5;57.5;7;18.75;3;-1.0;8.75
+;8;28.5;Lagler Christian;;11;56.0;4;29.75;-4;1.25;10.0
o;6;38.5;Schurtenberger Sven;***;4;59.5;4;39.75;-2;1.25;8.5
+;10;47.0;Kälin Remo;*;15;55.0;12;46.5;2;-0.5;10.0

7g;Rychen Roger;***;;;;;;;;;57.0
+;;;Müllestein Mike;***;;;;;;;9.75
+;4;9.75;Gwerder Carlo;**;13;55.5;4;9.75;0;0.0;9.75
+;5;19.5;Gwerder Michael;**;7;57.0;4;19.75;-1;0.25;9.75
