3754-2017-05-14_94_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
-;8;47.0;Suter David;**;8;56.25;6;47.5;-2;0.5;8.75

11a;Bernhard Lukas;*;;;;;;;;;55.5
o;;;Schuler Philipp;**;;;;;;;8.5
+;7;8.5;Huber Alex;;6;56.75;4;9.75;-3;1.25;10.0
-;8;18.5;Nötzli Bruno;***;8;56.25;7;18.75;-1;0.25;9.0
+;11;27.5;Fischer Tobias;;19;53.5;9;28.0;-2;0.5;10.0
-;8;37.5;Linggi Bruno;**;11;55.5;8;37.5;0;0.0;9.0
-;10;46.5;Bieri Christian;**;10;55.75;9;46.75;-1;0.25;9.0

11b;Zurﬂuh Michael (1999);*;;;;;;;;;55.5
-;;;Suter Paul;*;;;;;;;8.75
o;6;8.75;Keller Markus;*;16;54.25;6;8.75;0;0.0;8.5
+;12;17.25;Forster Christian;;17;54.0;9;18.25;-3;1.0;10.0
+;12;27.25;Bieri Elias;;14;54.75;9;28.0;-3;0.75;9.75
-;10;37.0;Heinzer Ronny;*;10;55.75;10;37.0;0;0.0;8.75
+;13;45.75;Birchler Fabian (2000);;16;54.25;13;45.75;0;0.0;9.75

11c;Kennel Beat;*;;;;;;;;;55.5
o;;;Betschart Remo;**;;;;;;;8.5
+;7;8.5;Bissig Fabian;;16;54.25;3;10.0;-4;1.5;10.0
+;8;18.5;Imfeld Beat;;14;54.75;7;18.75;-1;0.25;9.75
-;8;28.25;Widmer Tobias;**;6;56.75;9;28.0;1;-0.25;8.75
o;10;37.0;Bucher Christian;*;7;56.5;10;37.0;0;0.0;8.75
+;13;45.75;Elmiger Matthias;;15;54.5;12;46.0;-1;0.25;9.75

11d;Bachmann Roger;*;;;;;;;;;55.5
o;;;Kälin Roland;**;;;;;;;8.5
-;7;8.5;Beffa Mario;;14;54.75;4;9.75;-3;1.25;8.75
+;12;17.25;Grätzer Luca (2001);;25;35.5;8;18.5;-4;1.25;10.0
o;12;27.25;Laimbacher Philipp;***;5;57.0;13;27.0;1;-0.25;8.5
+;15;35.75;Marty Lukas;;22;52.75;15;35.75;0;0.0;9.75
+;14;45.5;Hegner Ueli (1999);*;16;54.25;13;45.75;-1;0.25;10.0

11e;Wyrsch Silvio;;;;;;;;;;55.5
+;;;Reichmuth Jonas (2001);;;;;;;;10.0
o;3;10.0;Arnold Marcel;*;11;55.5;6;8.75;3;-1.25;8.5
o;8;18.5;Arnold Andreas;*;6;56.75;9;18.25;1;-0.25;8.5
+;13;27.0;Gwerder Beni;;25;35.5;13;27.0;0;0.0;10.0
-;10;37.0;Vonlaufen Lukas;*;15;54.5;10;37.0;0;0.0;8.75
+;13;45.75;Durrer Markus (1999);;17;54.0;14;45.5;1;-0.25;9.75

11f;Hermann Oliver;*;;;;;;;;;55.5
+;;;Grab Daniel;**;;;;;;;10.0
o;3;10.0;Grab Martin;***;9;56.0;6;8.75;3;-1.25;8.5
+;8;18.5;Reichmuth Lukas (2000);;18;53.75;6;19.0;-2;0.5;9.75
-;8;28.25;Streiff Dominik;;8;56.25;7;28.5;-1;0.25;9.0
o;9;37.25;Schuler Philipp;**;4;57.25;8;37.5;-1;0.25;8.5
+;13;45.75;Bissig Fabian;;16;54.25;13;45.75;0;0.0;9.75

11g;Bucher Thomas;;;;;;;;;;55.5
+;;;Gisler Lukas (2001);;;;;;;;10.0
o;3;10.0;Heinzer Ronny;*;10;55.75;6;8.75;3;-1.25;8.75
o;7;18.75;Schmid Simon (2000);;10;55.75;7;18.75;0;0.0;8.5
o;12;27.25;Bürgler Lukas;*;14;54.75;12;27.25;0;0.0;8.75
+;14;36.0;Stutzer Michael (1999);;16;54.25;15;35.75;1;-0.25;9.75
+;13;45.75;Diethelm Albert;*;16;54.25;13;45.75;0;0.0;9.75

11h;Arnold Marcel;*;;;;;;;;;55.5
-;;;Bürgi Reto;*;;;;;;;8.75
+;6;8.75;Wyrsch Silvio;;11;55.5;3;10.0;-3;1.25;10.0
o;7;18.75;Herger Lukas;;8;56.25;6;19.0;-1;0.25;8.5
+;12;27.25;Durrer Ive (2000);;21;53.0;12;27.25;0;0.0;9.75
o;10;37.0;Bernet Christoph;*;10;55.75;9;37.25;-1;0.25;8.5
+;14;45.5;Amgarten Martin;*;17;54.0;15;45.25;1;-0.25;10.0

11i;Stöckli Damian;;;;;;;;;;55.5
+;;;Forster Christian;;;;;;;;9.75
o;4;9.75;Heinzer Stefan;*;1;111.0;2;18.5;-2;8.75;8.5
-;9;18.25;Suter Pirmin;;14;54.75;9;18.25;0;0.0;9.0
+;12;27.25;Kennel Roger (1999);;17;54.0;12;27.25;0;0.0;10.0
o;9;37.25;Hasler Florian;**;5;57.0;10;37.0;1;-0.25;8.5
+;13;45.75;Ulrich Pascal (1999);;17;54.0;15;45.25;2;-0.5;9.75

11j;Blaser Theo;*;;;;;;;;;55.5
-;;;Bieri Christian;**;;;;;;;8.75
+;6;8.75;Elmiger Andreas;;15;54.5;3;10.0;-3;1.25;9.75
-;8;18.5;Arnold Fabian;;18;53.75;7;18.75;-1;0.25;8.75
+;12;27.25;Ulrich Roman (2000);;19;53.5;12;27.25;0;0.0;10.0
o;9;37.25;Gloggner Philipp;***;7;56.5;10;37.0;1;-0.25;8.5
+;13;45.75;Amgarten Roman;*;17;54.0;14;45.5;1;-0.25;9.75

11k;Kälin Roland;**;;;;;;;;;55.5
+;;;Bachmann Roger;*;;;;;;;9.75
o;4;9.75;von Ah Benji;***;4;57.25;6;8.75;2;-1.0;8.5
+;9;18.25;Hürlimann Mathias (2000);;16;54.25;8;18.5;-1;0.25;10.0
+;8;28.25;Fellmann Simon;;11;55.5;7;28.5;-1;0.25;9.75
-;6;38.0;Mathis Marcel;***;12;55.25;8;37.5;2;-0.5;8.75
-;9;46.75;Scherer Niklaus;;12;55.25;10;46.5;1;-0.25;8.75

11l;Kenel Franz-Toni;*;;;;;;;;;55.5
o;;;Briker Michael;*;;;;;;;8.5
+;7;8.5;Della Torre Simon;;10;55.75;3;10.0;-4;1.5;9.75
o;9;18.25;Gloggner Philipp;***;7;56.5;12;17.25;3;-1.0;8.5
+;14;26.75;Zimmermann Reto;;21;53.0;12;27.25;-2;0.5;10.0
-;11;36.75;Schmid Simon (2000);;10;55.75;10;37.0;-1;0.25;8.75
+;14;45.5;Gisler Mario (2000);;19;53.5;16;45.0;2;-0.5;10.0

11m;Linggi Bruno;**;;;;;;;;;55.5
-;;;Vonlaufen Lukas;*;;;;;;;8.75
-;6;8.75;Dober Adrian;**;13;55.0;6;8.75;0;0.0;8.75
+;11;17.5;Gasser Dominik 2;;17;54.0;8;18.5;-3;1.0;10.0
+;11;27.5;Walker Roger;;16;54.25;8;28.25;-3;0.75;10.0
-;8;37.5;Bernhard Lukas;*;11;55.5;8;37.5;0;0.0;9.0
-;10;46.5;Käslin Benno;*;9;56.0;7;47.25;-3;0.75;9.0

11n;Lüthy Ralph;;;;;;;;;;55.5
+;;;Hirsiger Alexander;;;;;;;;10.0
o;3;10.0;Hurschler Thomas;**;14;54.75;6;8.75;3;-1.25;8.5
o;8;18.5;Portmann Josef;*;13;55.0;11;17.5;3;-1.0;8.5
+;13;27.0;Amrein Lukas (1999);;25;35.5;13;27.0;0;0.0;10.0
o;10;37.0;Vonlaufen Alexander;**;10;55.75;10;37.0;0;0.0;8.5
+;14;45.5;Fischer Tobias;;19;53.5;16;45.0;2;-0.5;10.0

11o;Fellmann Simon;;;;;;;;;;55.5
+;;;Stutzer Michael (1999);;;;;;;;9.75
+;4;9.75;Küttel Samuel;;25;35.5;7;8.5;3;-1.25;10.0
-;4;19.75;Suter Paul;*;16;54.25;7;18.75;3;-1.0;8.75
o;7;28.5;Kälin Roland;**;11;55.5;8;28.25;1;-0.25;8.5
+;10;37.0;Forster Christian;;17;54.0;11;36.75;1;-0.25;10.0
o;8;47.0;Gwerder Dario;**;5;57.0;8;47.0;0;0.0;8.5

12a;Schuler Koni;;;;;;;;;;55.25
o;;;Hurschler Adrian;;;;;;;;8.5
o;7;8.5;Spichtig Clemens;;15;54.5;7;8.5;0;0.0;8.5
+;13;17.0;Auf der Maur Alex (1999);;25;35.5;13;17.0;0;0.0;9.75
+;14;26.75;Annen David (2000);;25;35.5;13;27.0;-1;0.25;10.0
o;11;36.75;Odermatt Andreas;*;9;56.0;14;36.0;3;-0.75;8.5
+;15;45.25;Fischer Markus (2000);;19;53.5;16;45.0;1;-0.25;10.0

12b;Eﬃnger Peter;;;;;;;;;;55.25
o;;;Bissig Fabian;;;;;;;;8.5
+;7;8.5;Grüter Marcel (1999);;25;35.5;7;8.5;0;0.0;10.0
o;8;18.5;Hügli Kaj;*;15;54.5;12;17.25;4;-1.25;8.5
+;13;27.0;Lagler Reto;;25;35.5;13;27.0;0;0.0;9.75
o;11;36.75;Scherer Niklaus;;12;55.25;12;36.5;1;-0.25;8.5
+;15;45.25;Durrer Robin;;17;54.0;14;45.5;-1;0.25;10.0

12c;Niederberger Markus;*;;;;;;;;;55.25
+;;;Kessler Joel;*;;;;;;;10.0
o;3;10.0;Ulrich Andreas;***;3;58.5;4;9.75;1;-0.25;8.5
+;8;18.5;Kennel Roger (1999);;17;54.0;7;18.75;-1;0.25;9.75
+;8;28.25;Beffa Mario;;14;54.75;8;28.25;0;0.0;10.0
o;5;38.25;Müllestein Mike;***;6;56.75;7;37.75;2;-0.5;8.5
o;9;46.75;Huber Alex;;6;56.75;9;46.75;0;0.0;8.5

12d;Heinzer Josef;;;;;;;;;;55.25
+;;;Zumstein Patrick;;;;;;;;10.0
o;3;10.0;Bieri Christian;**;10;55.75;6;8.75;3;-1.25;8.5
o;8;18.5;Bucher Christian;*;7;56.5;9;18.25;1;-0.25;8.5
+;13;27.0;Troxler Jonas (2000);;25;35.5;13;27.0;0;0.0;10.0
o;10;37.0;Anderegg David;*;13;55.0;12;36.5;2;-0.5;8.5
+;14;45.5;Ming Christian 2;;16;54.25;13;45.75;-1;0.25;9.75

12e;Zumstein Patrick;;;;;;;;;;55.25
o;;;Heinzer Josef;;;;;;;;8.5
+;7;8.5;Annen Michael;;31;34.0;7;8.5;0;0.0;9.75
+;9;18.25;Betschart Silvan;*;25;35.5;12;17.25;3;-1.0;10.0
o;8;28.25;Reichmuth Roland;;12;55.25;8;28.25;0;0.0;8.5
+;11;36.75;Schilter Daniel;*;20;53.25;13;36.25;2;-0.5;10.0
o;9;46.75;Streiff Dominik;;8;56.25;11;46.25;2;-0.5;8.5

12f;Hurschler Adrian;;;;;;;;;;55.25
+;;;Schuler Koni;;;;;;;;10.0
o;3;10.0;Suter Paul;*;16;54.25;6;8.75;3;-1.25;8.5
-;8;18.5;Kessler Joel;*;14;54.75;9;18.25;1;-0.25;8.75
+;12;27.25;Stutzer Michael (1999);;16;54.25;12;27.25;0;0.0;9.75
+;10;37.0;Herger Andreas;;15;54.5;8;37.5;-2;0.5;9.75
o;9;46.75;Schuler Philipp;**;4;57.25;7;47.25;-2;0.5;8.5

12g;Scherer Niklaus;;;;;;;;;;55.25
+;;;Ulrich Marcel;;;;;;;;9.75
o;4;9.75;Kessler Joel;*;14;54.75;7;8.5;3;-1.25;8.5
+;9;18.25;Kälin Marco (2000);;26;35.25;9;18.25;0;0.0;9.75
o;9;28.0;Käslin Benno;*;9;56.0;12;27.25;3;-0.75;8.5
+;12;36.5;Eﬃnger Peter;;12;55.25;11;36.75;-1;0.25;10.0
-;10;46.5;Kälin Roland;**;11;55.5;9;46.75;-1;0.25;8.75

12h;von Ah Markus;;;;;;;;;;55.25
o;;;Nauer Robin;;;;;;;;8.5
+;7;8.5;Gerig Dario;;29;34.5;7;8.5;0;0.0;9.75
-;9;18.25;Ulrich Marco;*;28;34.75;11;17.5;2;-0.75;8.75
+;13;27.0;Bühler Kilian (2000);;25;35.5;13;27.0;0;0.0;9.75
-;11;36.75;Thierstein Marco;;16;54.25;10;37.0;-1;0.25;8.75
+;14;45.5;Ulrich Marcel;;17;54.0;14;45.5;0;0.0;9.75

12i;Hirsiger Alexander;;;;;;;;;;55.25
o;;;Lüthy Ralph;;;;;;;;8.5
+;7;8.5;Arnold David;;26;35.25;4;9.75;-3;1.25;9.75
+;9;18.25;Fassbind René;*;17;54.0;12;17.25;3;-1.0;9.75
-;9;28.0;Odermatt Andreas;*;9;56.0;12;27.25;3;-0.75;8.75
+;11;36.75;Gander Martin;;18;53.75;12;36.5;1;-0.25;10.0
o;9;46.75;Arnold Andreas;*;6;56.75;9;46.75;0;0.0;8.5

12j;Betschart Remo;**;;;;;;;;;55.25
+;;;Kennel Beat;*;;;;;;;9.75
-;4;9.75;Fankhauser Erich;***;6;56.75;7;8.5;3;-1.25;9.0
+;7;18.75;Ming Christian 2;;16;54.25;4;19.75;-3;1.0;10.0
-;6;28.75;Schuler Philipp;**;4;57.25;6;28.75;0;0.0;8.75
o;8;37.5;Käslin Benno;*;9;56.0;9;37.25;1;-0.25;8.75
-;11;46.25;Wyrsch Marco;*;13;55.0;11;46.25;0;0.0;9.0

12k;Mathis Marcel;***;;;;;;;;;55.25
o;;;Ulrich Andreas;***;;;;;;;8.5
+;7;8.5;Inderbitzin Daniel;*;10;55.75;4;9.75;-3;1.25;10.0
+;8;18.5;Gwerder Dario;**;5;57.0;3;20.0;-5;1.5;10.0
-;7;28.5;Heinzer Stefan;*;1;111.0;1;58.0;-6;29.5;9.0
-;8;37.5;Kälin Roland;**;11;55.5;6;38.0;-2;0.5;8.75
-;11;46.25;Bürgler André;*;13;55.0;11;46.25;0;0.0;9.0

12l;Nauer Robin;;;;;;;;;;55.25
+;;;von Ah Markus;;;;;;;;10.0
o;3;10.0;Egli Pirmin;**;7;56.5;7;8.5;4;-1.5;8.5
+;8;18.5;Hürlimann Ueli (2001);;18;53.75;8;18.5;0;0.0;10.0
o;7;28.5;Fellmann Roman;*;6;56.75;8;28.25;1;-0.25;8.5
o;10;37.0;Fessler Linus;;8;56.25;8;37.5;-2;0.5;8.5
+;14;45.5;Scheuber Stefan;;17;54.0;14;45.5;0;0.0;9.75

12m;Wallimann Remo;;;;;;;;;;55.25
o;;;Beffa Mario;;;;;;;;8.5
+;7;8.5;Hediger Kilian (2001);;31;34.0;7;8.5;0;0.0;10.0
o;8;18.5;Diethelm Albert;*;16;54.25;12;17.25;4;-1.25;8.5
+;13;27.0;Diethelm Samuel;;25;35.5;13;27.0;0;0.0;9.75
o;11;36.75;Heinzer Stefan;*;1;111.0;1;75.25;-10;38.5;8.5
+;15;45.25;Walker Roger;;16;54.25;14;45.5;-1;0.25;10.0

12n;Gwerder Christian;**;;;;;;;;;55.25
-;;;Portmann Josef;*;;;;;;;8.75
-;6;8.75;Bürgi Reto;*;9;56.0;6;8.75;0;0.0;8.75
+;11;17.5;von Flüe Michael;;16;54.25;8;18.5;-3;1.0;10.0
-;11;27.5;Ming Christian 2;;16;54.25;8;28.25;-3;0.75;9.0
+;12;36.5;Zürcher Ueli (2000);;23;45.25;11;36.75;-1;0.25;10.0
-;10;46.5;Vonlaufen Alexander;**;10;55.75;8;47.0;-2;0.5;8.75

12o;Fankhauser Reto;**;;;;;;;;;55.25
o;;;Steinauer Adrian;**;;;;;;;8.5
+;7;8.5;Suter Pirmin;;14;54.75;4;9.75;-3;1.25;9.75
o;9;18.25;Laimbacher Philipp;***;5;57.0;12;17.25;3;-1.0;8.5
+;14;26.75;Zimmermann Armin;;15;54.5;11;27.5;-3;0.75;10.0
+;11;36.75;Ulrich Pascal (1999);;17;54.0;11;36.75;0;0.0;10.0
o;9;46.75;Hasler Florian;**;5;57.0;8;47.0;-1;0.25;8.5

12p;Reichmuth Roland;;;;;;;;;;55.25
+;;;Annen Adrian;;;;;;;;10.0
+;3;10.0;Fassbind René;*;17;54.0;6;8.75;3;-1.25;9.75
o;4;19.75;Hasler Florian;**;5;57.0;8;18.5;4;-1.25;8.5
+;8;28.25;Zumstein Patrick;;12;55.25;8;28.25;0;0.0;9.75
o;6;38.0;Nötzli Reto;***;5;57.0;9;37.25;3;-0.75;8.5
o;10;46.5;Herger Lukas;;8;56.25;11;46.25;1;-0.25;8.75

12q;Gmür Pirmin;*;;;;;;;;;55.25
-;;;Wyrsch Marco;*;;;;;;;8.75
+;6;8.75;Zimmermann Daniel;*;32;27.25;6;8.75;0;0.0;10.0
o;7;18.75;Steinauer Adrian;**;8;56.25;5;19.5;-2;0.75;8.5
+;12;27.25;Staub Ivan (1999);;20;53.25;11;27.5;-1;0.25;9.75
+;10;37.0;Burren Patrick (1999);;13;55.0;11;36.75;1;-0.25;9.75
o;9;46.75;Bieri Marcel;**;5;57.0;7;47.25;-2;0.5;8.5

13a;Dober Adrian;**;;;;;;;;;55.0
-;;;Keller Markus;*;;;;;;;8.75
-;6;8.75;Linggi Bruno;**;11;55.5;6;8.75;0;0.0;8.75
+;11;17.5;Schuler Alex;;2;92.75;2;38.0;-9;20.5;9.75
+;12;27.25;Gander Martin;;18;53.75;9;28.0;-3;0.75;9.75
-;10;37.0;Gwerder Michael (2000);*;13;55.0;10;37.0;0;0.0;9.0
-;12;46.0;Weber Ivo;;14;54.75;12;46.0;0;0.0;9.0

13b;Schürpf Bruno;;;;;;;;;;55.0
+;;;Staub Devin;;;;;;;;10.0
-;3;10.0;Egli Damian;**;14;54.75;6;8.75;3;-1.25;8.75
-;7;18.75;Elmiger Andreas;;15;54.5;8;18.5;1;-0.25;8.75
-;11;27.5;Gander Benjamin (2000);;19;53.5;12;27.25;1;-0.25;8.75
-;13;36.25;Arnold Fabian;;18;53.75;13;36.25;0;0.0;9.0
+;15;45.25;Heiniger Luca;;19;53.5;16;45.0;1;-0.25;9.75

13c;Burren Patrick (1999);;;;;;;;;;55.0
o;;;Bienz Romeo;;;;;;;;8.5
+;7;8.5;Ulrich Damian (1999);;30;34.25;7;8.5;0;0.0;9.75
-;9;18.25;Stutzer Michael (1999);;16;54.25;8;18.5;-1;0.25;8.75
+;13;27.0;Kälin Marco (2000);;26;35.25;14;26.75;1;-0.25;9.75
o;11;36.75;Gmür Pirmin;*;12;55.25;10;37.0;-1;0.25;8.5
+;15;45.25;Von Euw Adi;;18;53.75;15;45.25;0;0.0;9.75

13d;Durrer Fabian (1999);;;;;;;;;;55.0
o;;;Huber Alex;;;;;;;;8.5
+;7;8.5;Auf der Maur Alex (1999);;25;35.5;7;8.5;0;0.0;10.0
o;8;18.5;Egli Pirmin;**;7;56.5;9;18.25;1;-0.25;8.5
+;13;27.0;Gwerder Marco;;25;35.5;13;27.0;0;0.0;9.75
+;11;36.75;Amgarten Martin;*;17;54.0;11;36.75;0;0.0;9.75
o;10;46.5;Fellmann Roman;*;6;56.75;8;47.0;-2;0.5;8.5

13e;Betschart Marcel;;;;;;;;;;55.0
+;;;Lagler Reto;;;;;;;;9.75
+;4;9.75;Bienz Romeo;;15;54.5;3;10.0;-1;0.25;10.0
o;4;19.75;Gloggner Reto;**;10;55.75;7;18.75;3;-1.0;8.5
+;8;28.25;Schilter Daniel;*;20;53.25;10;27.75;2;-0.5;9.75
o;6;38.0;Schuler Alex;***;2;92.75;2;73.0;-4;35.0;8.5
o;10;46.5;Imboden Roger;**;8;56.25;11;46.25;1;-0.25;8.5

13f;Grab Martin jun. (1999);;;;;;;;;;55.0
-;;;Gander Benjamin (2000);;;;;;;;8.75
+;6;8.75;Troxler Jonas (2000);;25;35.5;4;9.75;-2;1.0;9.75
o;8;18.5;Anderegg David;*;13;55.0;13;17.0;5;-1.5;8.5
+;13;27.0;Arnold Philipp (2000);;25;35.5;13;27.0;0;0.0;9.75
+;11;36.75;Albert Thomas;;17;54.0;10;37.0;-1;0.25;9.75
o;10;46.5;Widmer Tobias;**;6;56.75;8;47.0;-2;0.5;8.5

13g;Felder Seppi;*;;;;;;;;;55.0
-;;;Zimmermann Daniel;*;;;;;;;8.75
o;6;8.75;Gwerder Dario;**;5;57.0;3;10.0;-3;1.25;8.5
+;12;17.25;Lagler Reto;;25;35.5;8;18.5;-4;1.25;10.0
+;12;27.25;Schelbert Roman;;14;54.75;11;27.5;-1;0.25;10.0
-;9;37.25;Streiff Dominik;;8;56.25;8;37.5;-1;0.25;8.75
-;12;46.0;Gwerder Michael (2000);*;13;55.0;12;46.0;0;0.0;9.0

13h;Fässler Cornel;*;;;;;;;;;55.0
o;;;Rohrer Ivan;**;;;;;;;8.5
+;7;8.5;Scheuber Stefan;;17;54.0;4;9.75;-3;1.25;9.75
o;9;18.25;Fankhauser Erich;***;6;56.75;11;17.5;2;-0.75;8.75
+;13;27.0;Elmiger Andreas;;15;54.5;11;27.5;-2;0.5;9.75
+;11;36.75;Durrer Markus (1999);;17;54.0;10;37.0;-1;0.25;9.75
o;10;46.5;Gloggner Philipp;***;7;56.5;9;46.75;-1;0.25;8.5

13i;Gwerder Michael (2000);*;;;;;;;;;55.0
o;;;Arnold Andreas;*;;;;;;;8.5
-;7;8.5;Moos Christoph;;9;56.0;3;10.0;-4;1.5;8.75
+;12;17.25;Albert Thomas;;17;54.0;8;18.5;-4;1.25;9.75
+;13;27.0;Widmer Simon;;17;54.0;12;27.25;-1;0.25;10.0
-;10;37.0;Dober Adrian;**;13;55.0;10;37.0;0;0.0;9.0
-;12;46.0;Felder Seppi;*;13;55.0;12;46.0;0;0.0;9.0

13j;Bürgler André;*;;;;;;;;;55.0
+;;;Anderegg David;*;;;;;;;10.0
-;3;10.0;Fessler Linus;;8;56.25;3;10.0;0;0.0;9.0
o;6;19.0;Vonlaufen Alexander;**;10;55.75;7;18.75;1;-0.25;8.5
+;11;27.5;Fischer Markus (2000);;19;53.5;9;28.0;-2;0.5;10.0
-;8;37.5;Herger Lukas;;8;56.25;8;37.5;0;0.0;8.75
-;11;46.25;Mathis Marcel;***;12;55.25;11;46.25;0;0.0;8.75

13k;Langenstein Philip;*;;;;;;;;;55.0
-;;;Keller Janik;*;;;;;;;8.75
o;6;8.75;Hasler Florian;**;5;57.0;6;8.75;0;0.0;8.5
-;12;17.25;Schürpf Guido;;13;55.0;8;18.5;-4;1.25;9.0
+;15;26.25;Grüter Marcel (1999);;25;35.5;13;27.0;-2;0.75;10.0
+;13;36.25;Murpf Dario (1999);;20;53.25;13;36.25;0;0.0;10.0
-;11;46.25;Grab Martin;***;9;56.0;8;47.0;-3;0.75;8.75

13l;Anderegg David;*;;;;;;;;;55.0
o;;;Bürgler André;*;;;;;;;8.5
o;7;8.5;Betschart Patrick (1999);;9;56.0;3;10.0;-4;1.5;8.5
+;13;17.0;Grab Martin jun. (1999);;13;55.0;8;18.5;-5;1.5;9.75
+;14;26.75;Ulrich Marco;*;28;34.75;15;26.25;1;-0.5;9.75
+;12;36.5;Heinzer Josef;;12;55.25;10;37.0;-2;0.5;10.0
o;10;46.5;Laimbacher Philipp;***;5;57.0;8;47.0;-2;0.5;8.5

13m;Portmann Josef;*;;;;;;;;;55.0
-;;;Gwerder Christian;**;;;;;;;8.75
-;6;8.75;Streiff Dominik;;8;56.25;4;9.75;-2;1.0;8.75
+;11;17.5;Lüthy Ralph;;11;55.5;8;18.5;-3;1.0;10.0
+;11;27.5;Suter Paul;*;16;54.25;11;27.5;0;0.0;10.0
-;8;37.5;Steinauer Adrian;**;8;56.25;7;37.75;-1;0.25;8.75
o;11;46.25;Bucher Christian;*;7;56.5;9;46.75;-2;0.5;8.75

13n;Wyrsch Marco;*;;;;;;;;;55.0
-;;;Gmür Pirmin;*;;;;;;;8.75
-;6;8.75;Eﬃnger Markus;*;10;55.75;4;9.75;-2;1.0;8.75
+;11;17.5;Diethelm Samuel;;25;35.5;8;18.5;-3;1.0;10.0
+;11;27.5;Ulrich Pascal (1999);;17;54.0;8;28.25;-3;0.75;10.0
-;8;37.5;Gwerder Carlo;**;9;56.0;9;37.25;1;-0.25;8.75
-;11;46.25;Betschart Remo;**;12;55.25;11;46.25;0;0.0;8.75

13o;Schürpf Guido;;;;;;;;;;55.0
o;;;Kempf Damian;;;;;;;;8.5
+;7;8.5;Zimmermann Reto;;21;53.0;6;8.75;-1;0.25;10.0
-;8;18.5;Langenstein Philip;*;13;55.0;12;17.25;4;-1.25;9.0
-;11;27.5;Studinger Stephan;**;9;56.0;12;27.25;1;-0.25;8.75
-;13;36.25;Walker Roger;;16;54.25;11;36.75;-2;0.5;8.75
+;16;45.0;Durrer Lukas (1999);;19;53.5;16;45.0;0;0.0;10.0

14a;Schuler Daniel;;;;;;;;;;54.75
-;;;Durrer Robin;;;;;;;;8.75
+;6;8.75;Gisler Mario (2000);;19;53.5;4;9.75;-2;1.0;10.0
-;7;18.75;Studinger Stephan;**;9;56.0;8;18.5;1;-0.25;8.75
-;11;27.5;Hügli Kaj;*;15;54.5;12;27.25;1;-0.25;8.75
+;13;36.25;Fischer Tobias;;19;53.5;12;36.5;-1;0.25;9.75
-;12;46.0;Vonlaufen Lukas;*;15;54.5;13;45.75;1;-0.25;8.75

14b;Imfeld Beat;;;;;;;;;;54.75
-;;;Bingisser Roman;;;;;;;;8.75
+;6;8.75;Brunner Timon;;26;35.25;7;8.5;1;-0.25;10.0
o;7;18.75;Kennel Beat;*;11;55.5;8;18.5;1;-0.25;8.75
-;11;27.5;Martin Robin;*;10;55.75;12;27.25;1;-0.25;8.75
+;13;36.25;Wyss Sven (2001);;18;53.75;12;36.5;-1;0.25;10.0
o;11;46.25;Bucher Roland;*;8;56.25;10;46.5;-1;0.25;8.5

14c;Hurschler Thomas;**;;;;;;;;;54.75
-;;;Egli Damian;**;;;;;;;8.75
+;6;8.75;Lüthy Ralph;;11;55.5;3;10.0;-3;1.25;9.75
+;8;18.5;Bieri Elias;;14;54.75;5;19.5;-3;1.0;10.0
-;7;28.5;Schuler Alex;***;2;92.75;2;55.5;-5;27.0;8.75
-;9;37.25;Kessler Joel;*;14;54.75;9;37.25;0;0.0;8.75
-;12;46.0;Schelbert Roman;;14;54.75;12;46.0;0;0.0;8.75

14d;Kessler Joel;*;;;;;;;;;54.75
o;;;Niederberger Markus;*;;;;;;;8.5
+;7;8.5;Scherer Niklaus;;12;55.25;4;9.75;-3;1.25;9.75
-;9;18.25;Hurschler Adrian;;12;55.25;8;18.5;-1;0.25;9.0
+;12;27.25;Bacher Andreas;;20;53.25;12;27.25;0;0.0;10.0
-;9;37.25;Hurschler Thomas;**;14;54.75;9;37.25;0;0.0;8.75
o;12;46.0;Studinger Stephan;**;9;56.0;12;46.0;0;0.0;8.75

14e;Bieri Elias;;;;;;;;;;54.75
+;;;Von Euw Adi;;;;;;;;9.75
+;4;9.75;Schuler Alex;;2;92.75;1;19.75;-3;10.0;9.75
o;5;19.5;Hurschler Thomas;**;14;54.75;8;18.5;3;-1.0;8.5
o;9;28.0;Zurﬂuh Michael (1999);*;11;55.5;12;27.25;3;-0.75;8.5
+;12;36.5;Berchtold Kilian (2001);;18;53.75;12;36.5;0;0.0;9.75
o;11;46.25;Steinauer Adrian;**;8;56.25;10;46.5;-1;0.25;8.5

14f;Bürgler Lukas;*;;;;;;;;;54.75
-;;;Bernet Christoph;*;;;;;;;8.75
-;6;8.75;Schmid Simon (2000);;10;55.75;3;10.0;-3;1.25;8.75
+;11;17.5;Hauser Roman (2000);;15;54.5;8;18.5;-3;1.0;9.75
+;12;27.25;Bucher Thomas;;11;55.5;12;27.25;0;0.0;9.75
-;10;37.0;Omlin Toni;*;9;56.0;9;37.25;-1;0.25;8.75
-;13;45.75;Egli Damian;**;14;54.75;13;45.75;0;0.0;9.0

14g;Weber Ivo;;;;;;;;;;54.75
+;;;Walker Roger;;;;;;;;10.0
o;3;10.0;Hegner Ueli (1999);*;16;54.25;6;8.75;3;-1.25;8.5
