5494-2021-07-25_Thurgauer_Kant_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
o;9;37.0;Hugelshofer Lars;*;4;57.5;6;37.75;-3;0.75;8.5
+;12;45.5;Lüönd Remo (2003);;17;54.0;12;45.5;0;0.0;10.0

11h;Funk Nicola;*;;;;;;;;;55.5
+;;;Burkhalter Thomas (2003);*;;;;;;;9.75
o;2;9.75;Ott Damian;**;2;58.0;5;8.5;3;-1.25;8.5
+;7;18.25;Egli Joel;;20;53.0;6;18.5;-1;0.25;10.0
o;6;28.25;Schneider Domenic;***;5;57.25;4;28.75;-2;0.5;8.5
+;10;36.75;Dünner Zyan;;13;55.0;10;36.75;0;0.0;10.0
o;7;46.75;Kolb This (2003);*;7;56.75;7;46.75;0;0.0;8.75

11i;Krähenbühl Lukas;*;;;;;;;;;55.5
-;;;Fausch Kjetil;*;;;;;;;8.75
+;4;8.75;Flück Bruno;;12;55.25;1;10.0;-3;1.25;9.75
-;6;18.5;Bürgler Patrick;*;10;55.75;1;20.0;-5;1.5;8.75
+;9;27.25;Spörndli Cyril (2003);;21;52.75;11;26.75;2;-0.5;9.75
+;9;37.0;Inauen Maurus (2003);;17;54.0;9;37.0;0;0.0;9.75
-;7;46.75;Baumann Rico;*;11;55.5;7;46.75;0;0.0;8.75

11j;Keller Lukas;;;;;;;;;;55.5
+;;;Spörndli Cyril (2003);;;;;;;;9.75
+;2;9.75;Neff Florian;*;16;54.25;4;8.75;2;-1.0;9.75
+;3;19.5;Flück Bruno;;12;55.25;6;18.5;3;-1.0;10.0
o;2;29.5;Dändliker Shane;**;6;57.0;5;28.5;3;-1.0;8.5
-;5;38.0;Galli Cedric;;11;55.5;9;37.0;4;-1.0;8.75
-;7;46.75;Kammermann Dominik;;9;56.0;5;47.25;-2;0.5;8.75

11k;Nägeli Marco;**;;;;;;;;;55.5
o;;;Burkhalter Stefan;***;;;;;;;8.5
-;5;8.5;Schäppi Urs;*;6;57.0;2;9.75;-3;1.25;8.75
o;10;17.25;Hugelshofer Lars;*;4;57.5;3;19.5;-7;2.25;8.5
+;13;25.75;Schegg Daniel;;27;35.5;10;27.0;-3;1.25;10.0
+;14;35.75;Schmid Michael;;12;55.25;9;37.0;-5;1.25;10.0
+;11;45.75;Stadelmann Patrick;;13;55.0;8;46.5;-3;0.75;9.75

11l;Leuppi Karim;*;;;;;;;;;55.5
o;;;Hugelshofer Lars;*;;;;;;;8.5
-;5;8.5;Imhof Gregor;;15;54.5;2;9.75;-3;1.25;8.75
+;10;17.25;Schild Cornel (2004);;9;56.0;3;19.5;-7;2.25;9.75
+;10;27.0;Hollenstein Mathias;;20;53.0;9;27.25;-1;0.25;10.0
o;9;37.0;Notz Beni;***;7;56.75;4;38.25;-5;1.25;8.5
+;12;45.5;Götti Samuel;;13;55.0;8;46.5;-4;1.0;10.0

11m;Reichmuth Beat;;;;;;;;;;55.5
+;;;Rickenmann Ramon;;;;;;;;10.0
o;1;10.0;Notz Beni;***;7;56.75;5;8.5;4;-1.5;8.5
o;6;18.5;Schneider Domenic;***;5;57.25;5;18.75;-1;0.25;8.5
-;10;27.0;Tritten Robin;;17;54.0;9;27.25;-1;0.25;9.0
+;13;36.0;Koller Andreas;;16;54.25;14;35.75;1;-0.25;9.75
+;11;45.75;Scherrer Pascal;;14;54.75;9;46.25;-2;0.5;9.75

11n;Galli Cedric;;;;;;;;;;55.5
+;;;Knup Stephan;;;;;;;;9.75
o;2;9.75;Hugelshofer Lars;*;4;57.5;2;9.75;0;0.0;8.5
+;7;18.25;Ackermann Roman;;18;53.75;7;18.25;0;0.0;10.0
-;6;28.25;Notz Armin;*;9;56.0;8;27.5;2;-0.75;8.75
-;9;37.0;Keller Lukas;;11;55.5;5;38.0;-4;1.0;8.75
+;11;45.75;Inauen Maurus (2003);;17;54.0;12;45.5;1;-0.25;9.75

11o;Keller Dominic;;;;;;;;;;55.5
o;;;Stadelmann Patrick;;;;;;;;8.5
o;5;8.5;Vollmeier Sandro;;25;45.25;5;8.5;0;0.0;8.5
+;11;17.0;Rust Emanuel;;26;42.5;11;17.0;0;0.0;10.0
+;10;27.0;Weder Yanick (2003);;18;53.75;11;26.75;1;-0.25;10.0
o;9;37.0;Bürgler Patrick;*;10;55.75;8;37.25;-1;0.25;8.5
+;12;45.5;Ackermann Roman;;18;53.75;13;45.25;1;-0.25;10.0

12a;Schmid Michael;;;;;;;;;;55.25
+;;;Hangartner Maurice (2003);;;;;;;;10.0
+;1;10.0;Mock Marco;;19;53.5;2;9.75;1;-0.25;9.75
o;2;19.75;Krähenbühl Tobias;***;7;56.75;7;18.25;5;-1.5;8.5
-;6;28.25;Fuster Arjuna (2003);;10;55.75;6;28.25;0;0.0;8.75
o;9;37.0;Nägeli Marco;**;11;55.5;14;35.75;5;-1.25;8.5
+;12;45.5;Bachmann Oliver (2004);;17;54.0;12;45.5;0;0.0;9.75

12b;Flück Bruno;;;;;;;;;;55.25
+;;;Bader Sandro;;;;;;;;10.0
o;1;10.0;Krähenbühl Lukas;*;11;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Keller Lukas;;11;55.5;3;19.5;-3;1.0;8.75
+;9;27.25;Kiener Raphael;;16;54.25;9;27.25;0;0.0;9.75
+;9;37.0;Zemp Stefan;;18;53.75;10;36.75;1;-0.25;9.75
o;7;46.75;Hugelshofer Lars;*;4;57.5;4;47.75;-3;1.0;8.5

12c;Anliker Andri (2003);;;;;;;;;;55.25
+;;;Müggler Silvan;;;;;;;;9.75
o;2;9.75;Schneider Mario;**;6;57.0;1;10.0;-1;0.25;8.5
o;7;18.25;Notz Armin;*;9;56.0;9;17.5;2;-0.75;8.5
+;11;26.75;Ackermann Roman;;18;53.75;11;26.75;0;0.0;10.0
+;10;36.75;Fässler Michael;;13;55.0;11;36.5;1;-0.25;10.0
o;7;46.75;Rüegg Fabian;*;6;57.0;6;47.0;-1;0.25;8.5

12d;Raschle Urban (2003);;;;;;;;;;55.25
+;;;Dünner Zyan;;;;;;;;9.75
o;2;9.75;Kolb This (2003);*;7;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Koller Andreas;;16;54.25;6;18.5;-1;0.25;10.0
o;6;28.25;Schäppi Urs;*;6;57.0;5;28.5;-1;0.25;8.5
+;10;36.75;Vetterli Sven (2003);;18;53.75;10;36.75;0;0.0;9.75
o;8;46.5;Dumelin David;**;10;55.75;11;45.75;3;-0.75;8.75

12e;Odermatt Michi;;;;;;;;;;55.25
+;;;Koller Andreas;;;;;;;;9.75
-;2;9.75;Notz Armin;*;9;56.0;4;8.75;2;-1.0;8.75
o;6;18.5;Ott Damian;**;2;58.0;6;18.5;0;0.0;8.5
+;10;27.0;Egli Joel;;20;53.0;10;27.0;0;0.0;9.75
-;10;36.75;Imhof Gregor;;15;54.5;10;36.75;0;0.0;8.75
+;12;45.5;Gerig Marcel;;17;54.0;12;45.5;0;0.0;9.75

12f;Rieser Fabian;;;;;;;;;;55.25
o;;;Vollenweider Loïc (2004);;;;;;;;8.5
+;5;8.5;Rust Emanuel;;26;42.5;5;8.5;0;0.0;10.0
