3343-2021-06-13_Stoos-Schwinget-ST

1a;Wicki Joel;***;;;;;;;;;58.5
+;;;Aeschbacher Matthias;***;;;;;;;9.75
+;2;9.75;Haenni Stéphane;**;18;52.75;2;9.75;0;0.0;10.0
+;1;19.75;Schuler Christian;***;6;56.0;1;19.75;0;0.0;10.0
-;1;29.75;Staudenmann Fabian;***;5;56.25;2;28.75;1;-1.0;9.0
+;1;38.75;Wittwer Jan;*;4;56.75;3;38.25;2;-0.5;9.75
+;1;48.5;Schurtenberger Sven;***;2;57.25;1;48.5;0;0.0;10.0

2a;Bieri Marcel;***;;;;;;;;;57.25
+;;;Kramer Lario;***;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;3;57.0;1;10.0;0;0.0;8.5
+;4;18.5;Renfer Lukas;**;14;54.0;3;18.75;-1;0.25;10.0
+;3;28.5;Weyermann Florian;**;11;54.75;3;28.5;0;0.0;10.0
-;2;38.5;Aeschbacher Matthias;***;3;57.0;2;38.5;0;0.0;8.75
+;3;47.25;Collaud Romain;*;12;54.5;8;46.0;5;-1.25;10.0

2b;Schurtenberger Sven;***;;;;;;;;;57.25
+;;;Orlik Curdin;***;;;;;;;10.0
o;1;10.0;Wittwer Jan;*;4;56.75;1;10.0;0;0.0;8.75
+;3;18.75;Gottofrey Marc;**;7;55.75;4;18.5;1;-0.25;10.0
+;2;28.75;Kramer Lario;***;3;57.0;3;28.5;1;-0.25;9.75
+;2;38.5;Schwander Severin;**;8;55.5;4;38.0;2;-0.5;10.0
o;1;48.5;Wicki Joel;***;1;58.5;1;48.5;0;0.0;8.75

3a;Kramer Lario;***;;;;;;;;;57.0
o;;;Bieri Marcel;***;;;;;;;8.5
+;5;8.5;Egli Damian;**;10;55.0;2;9.75;-3;1.25;10.0
+;4;18.5;Reichmuth Lukas;*;20;52.25;5;18.25;1;-0.25;10.0
o;3;28.5;Schurtenberger Sven;***;2;57.25;2;28.75;-1;0.25;8.5
+;8;37.0;Arnold Raphael;**;9;55.25;5;37.75;-3;0.75;10.0
+;4;47.0;Fankhauser Marco;**;7;55.75;4;47.0;0;0.0;10.0

3b;Aeschbacher Matthias;***;;;;;;;;;57.0
o;;;Wicki Joel;***;;;;;;;8.5
+;5;8.5;Bürli Roger;**;8;55.5;4;8.75;-1;0.25;10.0
+;4;18.5;Kennel Beat;*;17;53.0;4;18.5;0;0.0;10.0
+;3;28.5;Gwerder Michael;***;21;37.5;2;28.75;-1;0.25;10.0
-;2;38.5;Bieri Marcel;***;2;57.25;2;38.5;0;0.0;8.75
+;3;47.25;Waser Dominik;**;9;55.25;5;46.75;2;-0.5;9.75

3c;Fankhauser Erich;***;;;;;;;;;57.0
-;;;Inniger Thomas;***;;;;;;;8.75
+;4;8.75;Berger Lorenz;**;8;55.5;2;9.75;-2;1.0;9.75
+;4;18.5;Riedo Fredy;*;17;53.0;4;18.5;0;0.0;10.0
o;3;28.5;Gerber Christian;***;10;55.0;7;27.5;4;-1.0;8.5
+;8;37.0;Klossner Adrian;*;8;55.5;8;37.0;0;0.0;10.0
+;4;47.0;Studer Stefan;**;12;54.5;8;46.0;4;-1.0;10.0

3d;Nötzli Reto;***;;;;;;;;;57.0
