3773-2017-05-28_103_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;58.5
+;;;Rychen Roger;***;;;;;;;9.75
+;2;9.75;Schlegel Sandro;**;6;57.0;1;10.0;-1;0.25;10.0
+;2;19.75;Hasler Florian;**;6;57.0;5;18.75;3;-1.0;10.0
-;1;29.75;Nötzli Bruno;***;9;56.25;4;28.75;3;-1.0;8.75
+;2;38.5;Schmid Patrick;*;12;55.5;2;38.5;0;0.0;10.0
+;1;48.5;Kid Simon;**;6;57.0;2;48.25;1;-0.25;10.0

2a;Oertig Dominik;**;;;;;;;;;58.25
-;;;Peng Mike;***;;;;;;;8.75
+;4;8.75;Hari Michi;;17;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Kammermann Thomas;*;11;55.75;5;18.75;0;0.0;10.0
+;4;28.75;Koller Martin;*;10;56.0;5;28.5;1;-0.25;9.75
+;2;38.5;Oettli Marco;*;11;55.75;2;38.5;0;0.0;9.75
+;2;48.25;Hersche Martin;***;9;56.25;4;47.75;2;-0.5;10.0

3a;Bernold Christian;**;;;;;;;;;57.75
-;;;Fässler Cornel;*;;;;;;;8.75
+;4;8.75;Wittenwiler Roman;;12;55.5;1;10.0;-3;1.25;10.0
-;5;18.75;Koller Martin;*;10;56.0;3;19.5;-2;0.75;9.0
+;8;27.75;Jöhl Christian;*;12;55.5;6;28.25;-2;0.5;10.0
+;5;37.75;Jörger Corsin;;12;55.5;8;37.0;3;-0.75;10.0
+;4;47.75;Nägeli Marco;*;10;56.0;6;47.25;2;-0.5;10.0

4a;Bernold Michael (1999);;;;;;;;;;57.5
o;;;Marty Jaime (2000);;;;;;;;8.5
+;5;8.5;Schiesser Patrik;;25;35.5;5;8.5;0;0.0;9.75
+;7;18.25;Leuppi Karim;*;29;34.5;10;17.25;3;-1.0;9.75
+;7;28.0;Straub Robin;*;9;56.25;7;28.0;0;0.0;9.75
+;5;37.75;Mettler Valentin;;16;54.5;7;37.25;2;-0.5;10.0
+;4;47.75;Wittenwiler Roman;;12;55.5;7;47.0;3;-0.75;9.75

4b;Baumann Rico;*;;;;;;;;;57.5
+;;;Brügger Stefan;*;;;;;;;9.75
o;2;9.75;Rychen Roger;***;11;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Jud Reto (2001);;26;35.25;7;18.25;0;0.0;10.0
+;6;28.25;Funk Nicola (1999);;13;55.25;6;28.25;0;0.0;9.75
+;4;38.0;Wolfer Lukas;*;14;55.0;5;37.75;1;-0.25;9.75
+;4;47.75;Schmucki Ivo;;10;56.0;6;47.25;2;-0.5;9.75

4c;Good Marco;*;;;;;;;;;57.5
-;;;Kammermann Thomas;*;;;;;;;9.0
+;3;9.0;Reichmuth Beat;;13;55.25;1;10.0;-2;1.0;10.0
o;4;19.0;Hersche Martin;***;9;56.25;5;18.75;1;-0.25;8.75
+;8;27.75;Scherrer Pascal;;19;53.75;6;28.25;-2;0.5;10.0
+;5;37.75;Frick Andreas;*;14;55.0;4;38.0;-1;0.25;9.75
+;5;47.5;Oettli Marco;*;11;55.75;7;47.0;2;-0.5;10.0

4d;Leuppi Samir;**;;;;;;;;;57.5
+;;;Zwyssig Raphael;***;;;;;;;9.75
o;2;9.75;Eugster Ruedi;**;5;57.25;1;10.0;-1;0.25;8.5
+;7;18.25;Hochholdinger Roman;**;7;56.75;6;18.5;-1;0.25;9.75
+;7;28.0;Vollmeier Sandro;;13;55.25;5;28.5;-2;0.5;10.0
+;4;38.0;Schlegel Reto;*;10;56.0;1;38.75;-3;0.75;9.75
+;4;47.75;Vestner Roman;*;11;55.75;6;47.25;2;-0.5;9.75

5a;Forrer Arnold;***;;;;;;;;;57.25
-;;;Nötzli Bruno;***;;;;;;;8.75
+;4;8.75;Zbinden Marc;*;11;55.75;1;10.0;-3;1.25;9.75
+;6;18.5;Battaglia Ursin;**;6;57.0;5;18.75;-1;0.25;10.0
+;5;28.5;Höfliger Andreas;**;11;55.75;6;28.25;1;-0.25;9.75
-;3;38.25;Kindlimann Fabian;***;8;56.5;1;38.75;-2;0.5;9.0
+;6;47.25;Dändliker Shane;;7;56.75;2;48.25;-4;1.0;10.0

5b;Bless Michael;***;;;;;;;;;57.25
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Oettli Marco;*;11;55.75;1;10.0;-3;1.25;10.0
o;5;18.75;Kid Simon;**;6;57.0;3;19.5;-2;0.75;8.5
+;10;27.25;Bühler Hannes;*;12;55.5;9;27.5;-1;0.25;10.0
+;7;37.25;Schnurrenberger Roman;**;15;54.75;6;37.5;-1;0.25;10.0
+;6;47.25;Schlegel Sandro;**;6;57.0;2;48.25;-4;1.0;10.0

5c;Geisser Lars;*;;;;;;;;;57.25
+;;;Wey Nicola;*;;;;;;;10.0
+;1;10.0;Frick Andreas;*;14;55.0;1;10.0;0;0.0;10.0
o;1;20.0;Nötzli Bruno;***;9;56.25;5;18.75;4;-1.25;8.5
+;5;28.5;Jörger Marc;;11;55.75;5;28.5;0;0.0;10.0
-;2;38.5;Nägeli Marco;*;10;56.0;3;38.25;1;-0.25;9.0
+;5;47.5;Lanter Christian;;10;56.0;6;47.25;1;-0.25;9.75

5d;Eugster Ruedi;**;;;;;;;;;57.25
+;;;Korrodi Paul;*;;;;;;;10.0
+;1;10.0;Leuppi Samir;**;4;57.5;2;9.75;1;-0.25;10.0
-;1;20.0;Lanter Christian;;10;56.0;2;19.75;1;-0.25;9.0
o;3;29.0;Kindlimann Fabian;***;8;56.5;4;28.75;1;-0.25;8.5
+;6;37.5;Kammermann Thomas;*;11;55.75;7;37.25;1;-0.25;10.0
+;5;47.5;Schmid Patrick;*;12;55.5;7;47.0;2;-0.5;9.75

5e;Riget Tobias;**;;;;;;;;;57.25
+;;;Höfliger Andreas;**;;;;;;;10.0
-;1;10.0;Hersche Martin;***;9;56.25;1;10.0;0;0.0;8.75
+;5;18.75;Schönenberger Philipp;;13;55.25;2;19.75;-3;1.0;10.0
o;4;28.75;Schlegel Sandro;**;6;57.0;5;28.5;1;-0.25;8.5
+;7;37.25;Kessler Joel;*;10;56.0;6;37.5;-1;0.25;10.0
+;6;47.25;Burkhard Tobias;;12;55.5;7;47.0;1;-0.25;10.0

6a;Notz Beni;***;;;;;;;;;57.0
-;;;Hasler Florian;**;;;;;;;8.75
+;4;8.75;Rüegg Fabian;*;7;56.75;2;9.75;-2;1.0;9.75
