1500-2015-08-16_16_Schwaegalp-Schwinget-ST

1a;Glarner Matthias;***;;;;;;;;;58.25
+;4;28.25;Matthey Mickaël;**;17;53.75;4;28.25;0;0.0;9.75
o;4;38.0;Glarner Matthias;***;1;58.25;3;38.25;-1;0.25;8.5
+;6;46.5;Röthlisberger Simon;*;11;55.25;6;46.5;0;0.0;10.0

7a;Lengacher Jonas;**;;;;;;;;;56.25
-;;;Leuppi Samir;**;;;;;;;8.75
-;4;8.75;Geisser Lars;*;21;52.75;1;10.0;-3;1.25;9.0
+;6;17.75;Schmid Dominik;**;23;35.5;5;18.25;-1;0.5;10.0
+;6;27.75;Fejzaj Naim;*;14;54.5;8;27.25;2;-0.5;10.0
+;5;37.75;Kohler Fredi;**;14;54.5;7;37.0;2;-0.75;10.0
o;2;47.75;Siegenthaler Matthias;***;2;57.5;2;47.75;0;0.0;8.5

7b;Orlik Armon;**;;;;;;;;;56.25
-;;;Käser Remo;**;;;;;;;8.75
+;4;8.75;Scherer Christian;*;13;54.75;2;9.75;-2;1.0;10.0
+;3;18.75;Roth Dominik;*;9;55.75;3;18.75;0;0.0;9.75
-;3;28.5;Anderegg Simon;***;4;57.0;1;29.5;-2;1.0;8.75
-;6;37.25;Mathys Simon;*;14;54.5;6;37.25;0;0.0;9.0
+;7;46.25;Roth Martin;*;12;55.0;7;46.25;0;0.0;10.0

8a;Zenger Niklaus;***;;;;;;;;;56.0
-;;;Notz Beni;***;;;;;;;8.75
o;4;8.75;Fässler Andreas;**;6;56.5;1;10.0;-3;1.25;8.5
-;8;17.25;Kohler Fredi;**;14;54.5;5;18.25;-3;1.0;8.75
+;13;26.0;Vögeli Sven;*;11;55.25;8;27.25;-5;1.25;10.0
+;11;36.0;Scherer Christian;*;13;54.75;9;36.5;-2;0.5;10.0
+;8;46.0;Schneider Mario;**;15;54.25;9;45.75;1;-0.25;10.0

8b;Bloch Dominic;**;;;;;;;;;56.0
o;;;Rychen Roger;**;;;;;;;8.5
+;5;8.5;Bösch Roman;**;29;26.25;3;9.0;-2;0.5;10.0
-;4;18.5;Burkhalter Stefan;***;18;53.5;7;17.5;3;-1.0;8.75
-;8;27.25;Eugster Ruedi;**;18;53.5;9;27.0;1;-0.25;8.75
+;11;36.0;Streuli Martin;*;20;53.0;11;36.0;0;0.0;10.0
+;8;46.0;Büsser Andy;***;14;54.5;8;46.0;0;0.0;10.0

9a;Roth Dominik;*;;;;;;;;;55.75
+;;;Kohler Fredi;**;;;;;;;10.0
-;1;10.0;Kindlimann Fabian;***;30;17.25;5;8.5;4;-1.5;8.75
o;3;18.75;Orlik Armon;**;7;56.25;3;18.75;0;0.0;8.5
+;8;27.25;Geisser Lars;*;21;52.75;8;27.25;0;0.0;10.0
o;6;37.25;Riget Tobias;**;10;55.5;8;36.75;2;-0.5;8.5
+;9;45.75;Burkhalter Stefan;***;18;53.5;12;45.0;3;-0.75;10.0

9b;Aeschbacher Matthias;**;;;;;;;;;55.75
o;;;Rhyner Michael;**;;;;;;;8.5
+;5;8.5;Eugster Ruedi;**;18;53.5;2;9.75;-3;1.25;10.0
+;4;18.5;Zbinden Marc;*;24;35.25;5;18.25;1;-0.25;10.0
o;3;28.5;Bösch Daniel;***;1;58.25;2;28.75;-1;0.25;8.5
-;7;37.0;Schneider Mario;**;15;54.25;7;37.0;0;0.0;8.75
+;9;45.75;Leuppi Samir;**;16;54.0;11;45.25;2;-0.5;10.0

9c;Gapany Benjamin;**;;;;;;;;;55.75
o;;;Peng Mike;***;;;;;;;8.5
+;5;8.5;Schnurrenberger Roman;**;14;54.5;5;8.5;0;0.0;10.0
-;4;18.5;Eugster Ruedi;**;18;53.5;5;18.25;1;-0.25;8.75
+;8;27.25;Steiner Michael;**;11;55.25;8;27.25;0;0.0;9.75
-;7;37.0;Schläpfer Markus;**;11;55.25;8;36.75;1;-0.25;8.75
+;9;45.75;Kohler Fredi;**;14;54.5;9;45.75;0;0.0;10.0

9d;Moser Steven;**;;;;;;;;;55.75
+;;;Meier Remo;**;;;;;;;10.0
-;1;10.0;Büsser Andy;***;14;54.5;4;8.75;3;-1.25;8.75
+;3;18.75;Rhyner Michael;**;11;55.25;4;18.5;1;-0.25;9.75
o;3;28.5;Giger Samuel (1998);**;4;57.0;3;28.5;0;0.0;8.75
+;6;37.25;Hersche Martin;**;17;53.75;8;36.75;2;-0.5;10.0
o;3;47.25;Käser Remo;**;6;56.5;5;46.75;2;-0.5;8.5

9e;Zwyssig Raphael;***;;;;;;;;;55.75
o;;;Anderegg Simon;***;;;;;;;8.5
+;5;8.5;Röthlisberger Simon;*;11;55.25;1;10.0;-4;1.5;10.0
+;4;18.5;Duplan Steve (1997);**;23;35.5;4;18.5;0;0.0;10.0
o;3;28.5;Gnägi Florian;***;4;57.0;1;29.5;-2;1.0;8.5
-;7;37.0;Gerber Christian;**;9;55.75;3;38.25;-4;1.25;8.75
+;9;45.75;Mathys Simon;*;14;54.5;8;46.0;-1;0.25;10.0

9f;Rychen Roger;**;;;;;;;;;55.75
+;;;Bloch Dominic;**;;;;;;;10.0
o;1;10.0;Kämpf Bernhard;***;5;56.75;5;8.5;4;-1.5;8.5
o;4;18.5;Röthlisberger Simon;*;11;55.25;4;18.5;0;0.0;8.75
+;8;27.25;Meier Remo;**;23;35.5;9;27.0;1;-0.25;10.0
+;6;37.25;Häni William;**;22;45.25;8;36.75;2;-0.5;10.0
o;3;47.25;Zaugg Thomas;***;4;57.0;3;47.25;0;0.0;8.5

9g;Schenk Patrick;**;;;;;;;;;55.75
+;;;Horner Peter;**;;;;;;;10.0
-;1;10.0;Burkhalter Stefan;***;18;53.5;5;8.5;4;-1.5;8.75
+;3;18.75;Fejzaj Naim;*;14;54.5;4;18.5;1;-0.25;10.0
o;2;28.75;Notz Beni;***;10;55.5;4;28.25;2;-0.5;8.5
+;6;37.25;Gmür Pirmin;*;16;54.0;7;37.0;1;-0.25;10.0
o;3;47.25;Giger Samuel (1998);**;4;57.0;4;47.0;1;-0.25;8.5

9h;Gerber Christian;**;;;;;;;;;55.75
+;;;Bühler Ernst;**;;;;;;;10.0
+;1;10.0;Peng Mike;***;16;54.0;2;9.75;1;-0.25;9.75
o;1;19.75;Bösch Daniel;***;1;58.25;3;18.75;2;-1.0;8.5
+;4;28.25;Vestner Bruno;*;14;54.5;8;27.25;4;-1.0;10.0
-;3;38.25;Zwyssig Raphael;***;9;55.75;7;37.0;4;-1.25;8.75
-;4;47.0;Riget Tobias;**;10;55.5;5;46.75;1;-0.25;8.75

10a;Schneider Domenic;**;;;;;;;;;55.5
+;;;Matthey Mickaël;**;;;;;;;9.75
o;2;9.75;Glarner Matthias;***;1;58.25;4;8.75;2;-1.0;8.5
+;5;18.25;Scherer Christian;*;13;54.75;5;18.25;0;0.0;10.0
o;4;28.25;Zaugg Thomas;***;4;57.0;2;28.75;-2;0.5;8.75
+;7;37.0;Giger Urs;*;17;53.75;8;36.75;1;-0.25;9.75
o;5;46.75;Anderegg Simon;***;4;57.0;4;47.0;-1;0.25;8.75

10b;Bühler Ernst;**;;;;;;;;;55.5
o;;;Gerber Christian;**;;;;;;;8.5
+;5;8.5;Inauen Franz;*;24;35.25;3;9.0;-2;0.5;10.0
o;4;18.5;Kämpf Bernhard;***;5;56.75;5;18.25;1;-0.25;8.5
+;9;27.0;Holenstein Christian;*;26;34.75;12;26.25;3;-0.75;10.0
o;7;37.0;Stucki Christian;***;3;57.25;6;37.25;-1;0.25;8.5
+;10;45.5;Gmür Pirmin;*;16;54.0;10;45.5;0;0.0;10.0

10c;Riget Tobias;**;;;;;;;;;55.5
+;;;Duplan Steve (1997);**;;;;;;;9.75
o;2;9.75;Siegenthaler Matthias;***;2;57.5;5;8.5;3;-1.25;8.5
+;5;18.25;Sprecher Sandro;*;23;35.5;4;18.5;-1;0.25;10.0
o;4;28.25;Kämpf Bernhard;***;5;56.75;5;28.0;1;-0.25;8.5
+;8;36.75;Roth Dominik;*;9;55.75;6;37.25;-2;0.5;10.0
-;5;46.75;Gerber Christian;**;9;55.75;4;47.0;-1;0.25;8.75

10d;Notz Beni;***;;;;;;;;;55.5
-;;;Zenger Niklaus;***;;;;;;;8.75
+;4;8.75;Mathys Simon;*;14;54.5;1;10.0;-3;1.25;9.75
+;4;18.5;Häni William;**;22;45.25;5;18.25;1;-0.25;9.75
+;4;28.25;Schenk Patrick;**;9;55.75;2;28.75;-2;0.5;10.0
-;3;38.25;Gnägi Florian;***;4;57.0;1;39.25;-2;1.0;8.75
o;4;47.0;Glarner Matthias;***;1;58.25;1;48.25;-3;1.25;8.5

10e;Krähenbühl Tobias;**;;;;;;;;;55.5
