1500-2015-08-16_16_Schwaegalp-Schwinget-ST

1a;Glarner Matthias;***;;;;;;;;;58.25

17c;Matthey Mickaël;**;;;;;;;;;53.75
o;;;Schneider Domenic;**;;;;;;;8.5
+;5;8.5;Meier Remo;**;23;35.5;5;8.5;0;0.0;10.0
+;4;18.5;Büsser Andy;***;14;54.5;7;17.5;3;-1.0;9.75
o;4;28.25;Fässler Andreas;**;6;56.5;4;28.25;0;0.0;8.5
o;8;36.75;Rhyner Michael;**;11;55.25;8;36.75;0;0.0;8.5
o;11;45.25;Scherer Christian;*;13;54.75;12;45.0;1;-0.25;8.5

18a;Burkhalter Stefan;***;;;;;;;;;53.5
o;;;Zaugg Thomas;***;;;;;;;8.5
-;5;8.5;Schenk Patrick;**;9;55.75;1;10.0;-4;1.5;9.0
-;7;17.5;Bloch Dominic;**;8;56.0;4;18.5;-3;1.0;8.75
+;12;26.25;Roch Vincent;*;24;35.25;10;26.75;-2;0.5;10.0
-;10;36.25;Schmid Reto;**;11;55.25;9;36.5;-1;0.25;8.75
o;12;45.0;Roth Dominik;*;9;55.75;9;45.75;-3;0.75;8.5

18b;Eugster Ruedi;**;;;;;;;;;53.5
+;;;Brodard Augustin;**;;;;;;;9.75
o;2;9.75;Aeschbacher Matthias;**;9;55.75;5;8.5;3;-1.25;8.5
-;5;18.25;Gapany Benjamin;**;9;55.75;4;18.5;-1;0.25;8.75
-;9;27.0;Bloch Dominic;**;8;56.0;8;27.25;-1;0.25;8.75
-;12;35.75;Fejzaj Naim;*;14;54.5;12;35.75;0;0.0;9.0
-;13;44.75;Peng Mike;***;16;54.0;11;45.25;-2;0.5;8.75

19a;Battaglia Ursin;**;;;;;;;;;53.25
-;;;Nigg Lukas;**;;;;;;;8.75
+;4;8.75;Korrodi Paul;*;27;34.5;5;8.5;1;-0.25;9.75
o;4;18.5;Käser Remo;**;6;56.5;4;18.5;0;0.0;8.5
-;9;27.0;Rüegg Roman;*;20;53.0;9;27.0;0;0.0;9.0
o;11;36.0;Steiner Michael;**;11;55.25;12;35.75;1;-0.25;8.5
o;14;44.5;Schnurrenberger Roman;**;14;54.5;14;44.5;0;0.0;8.75

20a;Nigg Lukas;**;;;;;;;;;53.0
-;;;Battaglia Ursin;**;;;;;;;8.75
-;4;8.75;Holenstein Christian;*;26;34.75;4;8.75;0;0.0;8.75
+;7;17.5;Streuli Martin;*;20;53.0;7;17.5;0;0.0;10.0
o;7;27.5;Röthlisberger Simon;*;11;55.25;4;28.25;-3;0.75;8.5
o;11;36.0;Roth Martin;*;12;55.0;10;36.25;-1;0.25;8.5
o;14;44.5;Orlik Curdin;**;13;54.75;13;44.75;-1;0.25;8.5

20b;Streuli Martin;*;;;;;;;;;53.0
-;;;Vögeli Sven;*;;;;;;;8.75
-;4;8.75;Nägeli Marco;*;15;54.25;4;8.75;0;0.0;8.75
o;7;17.5;Nigg Lukas;**;20;53.0;7;17.5;0;0.0;8.5
+;13;26.0;Jöhl Christian;*;28;34.0;15;25.5;2;-0.5;10.0
o;11;36.0;Bloch Dominic;**;8;56.0;11;36.0;0;0.0;8.5
o;14;44.5;Vestner Bruno;*;14;54.5;14;44.5;0;0.0;8.5

20c;Rüegg Roman;*;;;;;;;;;53.0
-;;;Nägeli Marco;*;;;;;;;8.75
+;4;8.75;Jöhl Christian;*;28;34.0;5;8.5;1;-0.25;9.75
o;4;18.5;Hersche Martin;**;17;53.75;5;18.25;1;-0.25;8.5
-;9;27.0;Battaglia Ursin;**;19;53.25;9;27.0;0;0.0;9.0
o;11;36.0;Brodard Augustin;**;16;54.0;12;35.75;1;-0.25;8.5
o;14;44.5;Fejzaj Naim;*;14;54.5;14;44.5;0;0.0;8.5

21a;Geisser Lars;*;;;;;;;;;52.75
+;;;Roch Vincent;*;;;;;;;10.0
-;1;10.0;Lengacher Jonas;**;7;56.25;4;8.75;3;-1.25;8.75
o;3;18.75;Siegenthaler Matthias;***;2;57.5;5;18.25;2;-0.5;8.5
o;8;27.25;Roth Dominik;*;9;55.75;8;27.25;0;0.0;8.5
o;12;35.75;Vögeli Sven;*;11;55.25;12;35.75;0;0.0;8.5
o;15;44.25;Nägeli Marco;*;15;54.25;14;44.5;-1;0.25;8.5

22a;Häni William;**;;;;;;;;;45.25
+;;;Hersche Martin;**;;;;;;;9.75
o;2;9.75;Notz Beni;***;10;55.5;4;8.75;2;-1.0;8.5
+;5;18.25;Giger Urs;*;17;53.75;5;18.25;0;0.0;10.0
o;4;28.25;Krähenbühl Tobias;**;10;55.5;7;27.5;3;-0.75;8.5
o;8;36.75;Rychen Roger;**;9;55.75;6;37.25;-2;0.5;8.5

23a;Borcard Johann;**;;;;;;;;;35.5
-;;;Krähenbühl Tobias;**;;;;;;;8.75
+;4;8.75;Schlegel Reto (1997);*;27;34.5;4;8.75;0;0.0;9.75
o;4;18.5;Giger Samuel (1998);**;4;57.0;3;18.75;-1;0.25;8.5
o;9;27.0;Rhyner Michael;**;11;55.25;9;27.0;0;0.0;8.5

23b;Duplan Steve (1997);**;;;;;;;;;35.5
o;;;Riget Tobias;**;;;;;;;8.5
+;5;8.5;Näf Willi;*;28;34.0;5;8.5;0;0.0;10.0
o;4;18.5;Zwyssig Raphael;***;9;55.75;4;18.5;0;0.0;8.5
o;9;27.0;Kohler Fredi;**;14;54.5;9;27.0;0;0.0;8.5

23c;Vestner Roman;*;;;;;;;;;35.5
o;;;Gwerder Andreas;**;;;;;;;8.5
o;5;8.5;Wyss Kilian;**;14;54.5;5;8.5;0;0.0;8.5
o;9;17.0;Rolli Martin;**;24;35.25;9;17.0;0;0.0;8.5
+;15;25.5;Brügger Stefan;*;27;34.5;13;26.0;-2;0.5;10.0

23d;Oertig Dominik;*;;;;;;;;;35.5
o;;;Zbinden Marc;*;;;;;;;8.5
+;5;8.5;Roch Vincent;*;24;35.25;5;8.5;0;0.0;9.75
o;5;18.25;Schmid Reto;**;11;55.25;7;17.5;2;-0.75;8.5
-;10;26.75;Schmid Dominik;**;23;35.5;10;26.75;0;0.0;8.75

23e;Schmid Dominik;**;;;;;;;;;35.5
o;;;Mathys Simon;*;;;;;;;8.5
+;5;8.5;Bleiker Reto;*;28;34.0;5;8.5;0;0.0;9.75
o;5;18.25;Lengacher Jonas;**;7;56.25;6;17.75;1;-0.5;8.5
-;10;26.75;Oertig Dominik;*;23;35.5;10;26.75;0;0.0;8.75

23f;Meier Remo;**;;;;;;;;;35.5
o;;;Moser Steven;**;;;;;;;8.5
o;5;8.5;Matthey Mickaël;**;17;53.75;5;8.5;0;0.0;8.5
+;9;17.0;Jöhl Christian;*;28;34.0;9;17.0;0;0.0;10.0
o;9;27.0;Rychen Roger;**;9;55.75;8;27.25;-1;0.25;8.5

23g;Sprecher Sandro;*;;;;;;;;;35.5
+;;;Näf Willi;*;;;;;;;10.0
o;1;10.0;Schneider Mario;**;15;54.25;2;9.75;1;-0.25;8.5
o;4;18.5;Riget Tobias;**;10;55.5;5;18.25;1;-0.25;8.5
o;9;27.0;Gmür Pirmin;*;16;54.0;9;27.0;0;0.0;8.5

24a;Roch Vincent;*;;;;;;;;;35.25
o;;;Geisser Lars;*;;;;;;;8.5
o;5;8.5;Oertig Dominik;*;23;35.5;5;8.5;0;0.0;8.5
+;9;17.0;Näf Willi;*;28;34.0;9;17.0;0;0.0;9.75
o;10;26.75;Burkhalter Stefan;***;18;53.5;12;26.25;2;-0.5;8.5

24b;Rolli Martin;**;;;;;;;;;35.25
o;;;Kuster Marcel;**;;;;;;;8.5
o;5;8.5;Kohler Fredi;**;14;54.5;5;8.5;0;0.0;8.5
+;9;17.0;Vestner Roman;*;23;35.5;9;17.0;0;0.0;9.75
o;10;26.75;Büsser Andy;***;14;54.5;13;26.0;3;-0.75;8.5

24c;Haenni Stéphane;**;;;;;;;;;35.25
o;;;Schläpfer Markus;**;;;;;;;8.5
o;5;8.5;Hersche Martin;**;17;53.75;5;8.5;0;0.0;8.5
+;9;17.0;Bleiker Reto;*;28;34.0;9;17.0;0;0.0;9.75
o;10;26.75;Giger Urs;*;17;53.75;9;27.0;-1;0.25;8.5

24d;Zbinden Marc;*;;;;;;;;;35.25
+;;;Oertig Dominik;*;;;;;;;9.75
o;2;9.75;Leuppi Samir;**;16;54.0;4;8.75;2;-1.0;8.5
o;5;18.25;Aeschbacher Matthias;**;9;55.75;4;18.5;-1;0.25;8.5
o;10;26.75;Schläpfer Markus;**;11;55.25;10;26.75;0;0.0;8.5

24e;Inauen Franz;*;;;;;;;;;35.25
-;;;Bösch Roman;**;;;;;;;9.0
o;3;9.0;Bühler Ernst;**;10;55.5;5;8.5;2;-0.5;8.5
-;7;17.5;Holenstein Christian;*;26;34.75;7;17.5;0;0.0;9.0
o;11;26.5;Nägeli Marco;*;15;54.25;12;26.25;1;-0.25;8.75

24f;Gwerder Andreas;**;;;;;;;;;35.25
+;;;Vestner Roman;*;;;;;;;9.75
o;2;9.75;Mathys Simon;*;14;54.5;1;10.0;-1;0.25;8.5
o;5;18.25;Horner Peter;**;12;55.0;5;18.25;0;0.0;8.5
o;10;26.75;Scherer Christian;*;13;54.75;10;26.75;0;0.0;8.5

25a;Wey Nicola;*;;;;;;;;;35.0
-;;;Schlegel Reto (1997);*;;;;;;;8.75
-;4;8.75;Roth Martin;*;12;55.0;4;8.75;0;0.0;8.75
-;7;17.5;Baumann Rico;*;27;34.5;8;17.25;1;-0.25;8.75
-;12;26.25;Vollenweider Jeremy (1998);*;25;35.0;12;26.25;0;0.0;8.75

25b;Vollenweider Jeremy (1998);*;;;;;;;;;35.0
-;;;Bernold Christian;*;;;;;;;9.0
o;3;9.0;Giger Urs;*;17;53.75;5;8.5;2;-0.5;8.5
-;7;17.5;Bösch Roman;**;29;26.25;7;17.5;0;0.0;8.75
-;12;26.25;Wey Nicola;*;25;35.0;12;26.25;0;0.0;8.75

26a;Holenstein Christian;*;;;;;;;;;34.75
-;;;Vestner Bruno;*;;;;;;;8.75
-;4;8.75;Nigg Lukas;**;20;53.0;4;8.75;0;0.0;8.75
-;7;17.5;Inauen Franz;*;24;35.25;7;17.5;0;0.0;8.75
o;12;26.25;Bühler Ernst;**;10;55.5;9;27.0;-3;0.75;8.5

27a;Korrodi Paul;*;;;;;;;;;34.5
o;;;Fejzaj Naim;*;;;;;;;8.5
o;5;8.5;Battaglia Ursin;**;19;53.25;4;8.75;-1;0.25;8.5
-;9;17.0;Brodard Augustin;**;16;54.0;9;17.0;0;0.0;8.75
-;14;25.75;Schlegel Reto (1997);*;27;34.5;14;25.75;0;0.0;8.75

27b;Baumann Rico;*;;;;;;;;;34.5
-;;;Roth Martin;*;;;;;;;8.75
o;4;8.75;Vögeli Sven;*;11;55.25;4;8.75;0;0.0;8.5
-;8;17.25;Wey Nicola;*;25;35.0;7;17.5;-1;0.25;8.75
o;13;26.0;Orlik Curdin;**;13;54.75;12;26.25;-1;0.25;8.5

27c;Schlegel Reto (1997);*;;;;;;;;;34.5
-;;;Wey Nicola;*;;;;;;;8.75
o;4;8.75;Borcard Johann;**;23;35.5;4;8.75;0;0.0;8.5
o;8;17.25;Vestner Bruno;*;14;54.5;8;17.25;0;0.0;8.5
-;14;25.75;Korrodi Paul;*;27;34.5;14;25.75;0;0.0;8.75

27d;Brügger Stefan;*;;;;;;;;;34.5
o;;;Steiner Michael;**;;;;;;;8.5
-;5;8.5;Bernold Christian;*;29;26.25;3;9.0;-2;0.5;8.75
-;8;17.25;Schnurrenberger Roman;**;14;54.5;9;17.0;1;-0.25;8.75
o;13;26.0;Vestner Roman;*;23;35.5;15;25.5;2;-0.5;8.5

28a;Näf Willi;*;;;;;;;;;34.0
o;;;Sprecher Sandro;*;;;;;;;8.5
o;5;8.5;Duplan Steve (1997);**;23;35.5;5;8.5;0;0.0;8.5
o;9;17.0;Roch Vincent;*;24;35.25;9;17.0;0;0.0;8.5
o;15;25.5;Brodard Augustin;**;16;54.0;14;25.75;-1;0.25;8.5

28b;Jöhl Christian;*;;;;;;;;;34.0
o;;;Scherer Christian;*;;;;;;;8.5
o;5;8.5;Rüegg Roman;*;20;53.0;4;8.75;-1;0.25;8.5
o;9;17.0;Meier Remo;**;23;35.5;9;17.0;0;0.0;8.5
o;15;25.5;Streuli Martin;*;20;53.0;13;26.0;-2;0.5;8.5

28c;Bleiker Reto;*;;;;;;;;;34.0
o;;;Fässler Andreas;**;;;;;;;8.5
o;5;8.5;Schmid Dominik;**;23;35.5;5;8.5;0;0.0;8.5
o;9;17.0;Haenni Stéphane;**;24;35.25;9;17.0;0;0.0;8.5
o;15;25.5;Schnurrenberger Roman;**;14;54.5;13;26.0;-2;0.5;8.5

29a;Bösch Roman;**;;;;;;;;;26.25
-;;;Inauen Franz;*;;;;;;;9.0
o;3;9.0;Bloch Dominic;**;8;56.0;5;8.5;2;-0.5;8.5
-;7;17.5;Vollenweider Jeremy (1998);*;25;35.0;7;17.5;0;0.0;8.75

29b;Bernold Christian;*;;;;;;;;;26.25
-;;;Vollenweider Jeremy (1998);*;;;;;;;9.0
-;3;9.0;Brügger Stefan;*;27;34.5;5;8.5;2;-0.5;8.75
o;6;17.75;Roth Martin;*;12;55.0;7;17.5;1;-0.25;8.5

30a;Kindlimann Fabian;***;;;;;;;;;17.25
o;;;Gnägi Florian;***;;;;;;;8.5
-;5;8.5;Roth Dominik;*;9;55.75;1;10.0;-4;1.5;8.75

31a;Kuster Marcel;**;;;;;;;;;9.75
+;;;Rolli Martin;**;;;;;;;9.75

32a;Forrer Arnold;***;;;;;;;;;8.5
o;;;Stucki Christian;***;;;;;;;8.5

