4347-2021-08-22_116_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;109.25
-;;;Fankhauser Erich;***;;;;;;;8.75
+;;;Wyss Christian;;;;;;;;9.75
-;1;18.5;Ming Christian;*;8;56.5;3;9.75;2;-8.75;8.75
+;1;18.5;Ettlin Jan;;33;27.25;2;10.0;1;-8.5;10.0
+;1;37.25;Waser Christoph;*;18;54.0;8;18.25;7;-19.0;10.0
o;1;37.25;Reichmuth Marco;**;7;56.75;7;18.5;6;-18.75;8.5
+;1;55.75;Achermann Simon;;10;56.0;4;28.75;3;-27.0;9.75
-;1;55.75;Amgarten Martin;*;14;55.0;9;27.5;8;-28.25;9.0
-;1;74.5;Poltera Andrin;*;9;56.25;7;37.5;6;-37.0;8.75
o;1;74.5;Barmettler Renato (2003);;7;56.75;6;37.75;5;-36.75;8.5
-;1;91.75;Suppiger René;***;15;54.75;12;46.0;11;-45.75;8.75
o;1;91.75;Hürlimann Ueli;;13;55.25;14;45.5;13;-46.25;8.75

2a;Schurtenberger Sven;***;;;;;;;;;60.0
+;;;Müllestein Mike;***;;;;;;;10.0
+;2;10.0;Kennel Beat;**;16;54.5;2;10.0;0;0.0;10.0
+;2;20.0;Arnold Stefan;**;7;56.75;4;19.5;2;-0.5;10.0
+;2;30.0;von Ah Benji;***;3;58.0;3;29.75;1;-0.25;10.0
+;2;40.0;Herger Matthias;**;6;57.0;3;38.5;1;-1.5;10.0
+;2;50.0;von Ah Benji;***;3;58.0;3;48.25;1;-1.75;10.0

3a;von Ah Benji;***;;;;;;;;;58.0
+;;;Schuler Philipp;**;;;;;;;10.0
+;2;10.0;Schmid Dominik;**;9;56.25;3;9.75;1;-0.25;10.0
+;2;20.0;Stöckli Damian;*;7;56.75;3;19.75;1;-0.25;9.75
o;3;29.75;Schurtenberger Sven;***;2;60.0;2;30.0;-1;0.25;8.5
+;4;38.25;Fankhauser Reto;**;6;57.0;3;38.5;-1;0.25;10.0
+;3;48.25;Zurﬂuh Michael;*;7;56.75;3;48.25;0;0.0;9.75
o;3;58.0;Schurtenberger Sven;***;2;60.0;2;60.0;-1;2.0;0.0

4a;Burch Jonas;**;;;;;;;;;57.5
-;;;Fankhauser Reto;**;;;;;;;8.75
+;5;8.75;Müller Roger;*;13;55.25;2;10.0;-3;1.25;10.0
+;6;18.75;Bühler Ramon;;18;54.0;3;19.75;-3;1.0;10.0
-;4;28.75;Felder Martin;*;15;54.75;5;28.5;1;-0.25;9.0
+;6;37.75;Doppmann Ueli;;11;55.75;4;38.25;-2;0.5;9.75
+;6;47.5;Wicki Kevin;;13;55.25;9;46.75;3;-0.75;10.0

5a;Fankhauser Erich;***;;;;;;;;;57.25
-;;;Schuler Alex;***;;;;;;;8.75
+;5;8.75;Zurﬂuh Michael;*;7;56.75;3;9.75;-2;1.0;10.0
+;6;18.75;Hess Dominik;*;10;56.0;6;18.75;0;0.0;9.75
-;5;28.5;Omlin Toni;*;9;56.25;4;28.75;-1;0.25;9.0
+;7;37.5;Ulrich Marco;**;8;56.5;5;38.0;-2;0.5;10.0
+;6;47.5;Kenel Franz-Toni;*;10;56.0;7;47.25;1;-0.25;9.75

5b;Müllestein Mike;***;;;;;;;;;57.25
o;;;Schurtenberger Sven;***;;;;;;;8.5
+;6;8.5;Wallimann Remo;*;15;54.75;2;10.0;-4;1.5;10.0
+;7;18.5;Achermann Christoph;*;13;55.25;7;18.5;0;0.0;10.0
+;5;28.5;Bättig Martin;*;10;56.0;4;28.75;-1;0.25;10.0
-;3;38.5;Ambühl Joel;**;11;55.75;4;38.25;1;-0.25;8.75
+;7;47.25;Gasser Peter;*;14;55.0;10;46.5;3;-0.75;10.0

6a;Bucher Christian;**;;;;;;;;;57.0
-;;;Odermatt Andreas;**;;;;;;;8.75
-;5;8.75;Bättig Martin;*;10;56.0;2;10.0;-3;1.25;8.75
+;10;17.5;Gander Benjamin;;15;54.75;8;18.25;-2;0.75;10.0
+;9;27.5;Albert Thomas;;15;54.75;5;28.5;-4;1.0;9.75
+;8;37.25;Zimmermann Martin;***;16;54.5;8;37.25;0;0.0;10.0
+;7;47.25;Durrer Lukas;;13;55.25;9;46.75;2;-0.5;9.75

6b;Fankhauser Reto;**;;;;;;;;;57.0
-;;;Burch Jonas;**;;;;;;;8.75
+;5;8.75;Gisler Jonas;*;13;55.25;6;8.5;1;-0.25;10.0
+;6;18.75;Ming Hannes;;14;55.0;3;19.75;-3;1.0;10.0
+;4;28.75;Wallimann Remo;*;15;54.75;5;28.5;1;-0.25;9.75
o;3;38.5;von Ah Benji;***;3;58.0;4;38.25;1;-0.25;8.5
+;8;47.0;Durrer Ueli;;14;55.0;10;46.5;2;-0.5;10.0

6c;Schuler Philipp;**;;;;;;;;;57.0
+;;;Egli Damian;**;;;;;;;10.0
o;2;10.0;von Ah Benji;***;3;58.0;2;10.0;0;0.0;8.5
+;7;18.5;Huwyler Sven;;21;53.25;5;19.0;-2;0.5;10.0
+;5;28.5;Müller Roger;*;13;55.25;6;28.25;1;-0.25;9.75
-;4;38.25;Stöckli Damian;*;7;56.75;4;38.25;0;0.0;8.75
+;8;47.0;Waser Raphael;;13;55.25;9;46.75;1;-0.25;10.0

6d;Heiniger Marco;**;;;;;;;;;57.0
-;;;Rohrer Ueli;**;;;;;;;8.75
+;5;8.75;Waser Dominik;**;11;55.75;5;8.75;0;0.0;10.0
+;6;18.75;Durrer Lukas;;13;55.25;3;19.75;-3;1.0;9.75
+;5;28.5;Niederberger Markus;*;11;55.75;6;28.25;1;-0.25;10.0
o;3;38.5;Reichmuth Marco;**;7;56.75;4;38.25;1;-0.25;8.75
+;7;47.25;Zimmermann Raffael;;14;55.0;10;46.5;3;-0.75;9.75

6e;Herger Matthias;**;;;;;;;;;57.0
-;;;Reichmuth Marco;**;;;;;;;8.75
+;5;8.75;Imfeld Beat;*;16;54.5;4;9.0;-1;0.25;10.0
+;6;18.75;Durrer Ueli;;14;55.0;3;19.75;-3;1.0;10.0
+;4;28.75;Thierstein Marco;*;8;56.5;5;28.5;1;-0.25;9.75
o;3;38.5;Schurtenberger Sven;***;2;60.0;2;40.0;-1;1.5;8.5
+;8;47.0;Kaiser Sandro;;14;55.0;10;46.5;2;-0.5;10.0

7a;Bernhard Lukas;**;;;;;;;;;56.75
+;;;Portmann Josef;**;;;;;;;9.75
+;3;9.75;Thierstein Marco;*;8;56.5;2;10.0;-1;0.25;9.75
-;4;19.5;Suppiger René;***;15;54.75;6;18.75;2;-0.75;8.75
+;6;28.25;Doppmann Ueli;;11;55.75;3;29.75;-3;1.5;9.75
+;5;38.0;Betschart Marcel;*;9;56.25;6;37.75;1;-0.25;9.75
-;5;47.75;Kurmann Toni;*;9;56.25;7;47.25;2;-0.5;9.0

7b;Arnold Raphael;**;;;;;;;;;56.75
-;;;Kenel Franz-Toni;*;;;;;;;8.75
o;5;8.75;Würsch Lars;*;15;54.75;5;8.75;0;0.0;8.5
+;11;17.25;Gander Michael;;11;55.75;7;18.5;-4;1.25;9.75
+;11;27.0;Zimmermann Raffael;;14;55.0;6;28.25;-5;1.25;10.0
+;9;37.0;Kennel Beat;**;16;54.5;8;37.25;-1;0.25;9.75
+;9;46.75;Bättig Martin;*;10;56.0;7;47.25;-2;0.5;10.0

7c;Barmettler Renato (2003);;;;;;;;;;56.75
+;;;Suter Michael;;;;;;;;9.75
+;3;9.75;Ackermann Rico (2003);*;18;54.0;6;8.5;3;-1.25;9.75
o;4;19.5;Kennel Beat;**;16;54.5;7;18.5;3;-1.0;8.5
+;7;28.0;Dörig Erich;*;18;54.0;11;27.0;4;-1.0;9.75
+;6;37.75;Schuler Alex;;1;109.25;1;74.5;-5;36.75;10.0
-;5;47.75;Riebli Urs;;8;56.5;6;47.5;1;-0.25;9.0

7d;Stöckli Damian;*;;;;;;;;;56.75
+;;;Suter Beat;*;;;;;;;9.75
+;3;9.75;Odermatt Christian;**;13;55.25;5;8.75;2;-1.0;10.0
o;3;19.75;von Ah Benji;***;3;58.0;2;20.0;-1;0.25;8.5
+;6;28.25;Zumstein Patrick;;25;45.5;5;28.5;-1;0.25;10.0
-;4;38.25;Schuler Philipp;**;6;57.0;4;38.25;0;0.0;8.75
+;8;47.0;Ming Hannes;;14;55.0;10;46.5;2;-0.5;9.75

7e;Reichmuth Marco;**;;;;;;;;;56.75
-;;;Herger Matthias;**;;;;;;;8.75
+;5;8.75;Kurmann Toni;*;9;56.25;2;10.0;-3;1.25;9.75
+;7;18.5;Schuler Alex;;1;109.25;1;37.25;-6;18.75;10.0
+;5;28.5;Barmettler Peter;*;9;56.25;6;28.25;1;-0.25;9.75
+;4;38.25;Heiniger Marco;**;6;57.0;3;38.5;-1;0.25;9.75
-;4;48.0;Arnold Stefan;**;7;56.75;4;48.0;0;0.0;8.75

7f;Zurﬂuh Michael;*;;;;;;;;;56.75
+;;;Gander Adrian;*;;;;;;;9.75
o;3;9.75;Fankhauser Erich;***;5;57.25;5;8.75;2;-1.0;8.5
+;8;18.25;Ettlin Jan;;33;27.25;6;18.75;-2;0.5;10.0
+;6;28.25;Ming Hannes;;14;55.0;6;28.25;0;0.0;10.0
+;4;38.25;Portmann Josef;**;12;55.5;4;38.25;0;0.0;10.0
o;3;48.25;von Ah Benji;***;3;58.0;3;48.25;0;0.0;8.5

7g;Arnold Stefan;**;;;;;;;;;56.75
+;;;Suppiger Werner;**;;;;;;;9.75
+;3;9.75;Niederberger Markus;*;11;55.75;2;10.0;-1;0.25;9.75
o;4;19.5;Schurtenberger Sven;***;2;60.0;2;20.0;-2;0.5;8.5
+;7;28.0;Suter Raphael;;11;55.75;5;28.5;-2;0.5;10.0
+;5;38.0;Betschart Patrick;*;8;56.5;4;38.25;-1;0.25;10.0
-;4;48.0;Reichmuth Marco;**;7;56.75;4;48.0;0;0.0;8.75

8a;Ulrich Marco;**;;;;;;;;;56.5
o;;;Ambühl Joel;**;;;;;;;8.5
+;6;8.5;Thalmann Thomas;*;15;54.75;4;9.0;-2;0.5;9.75
+;8;18.25;Gander Sebastian (2003);;22;53.0;7;18.5;-1;0.25;10.0
+;6;28.25;Grüter Marcel;;12;55.5;5;28.5;-1;0.25;9.75
o;5;38.0;Fankhauser Erich;***;5;57.25;7;37.5;2;-0.5;8.5
+;10;46.5;Portmann Josef;**;12;55.5;8;47.0;-2;0.5;10.0

8b;Suppiger Werner;**;;;;;;;;;56.5
o;;;Arnold Stefan;**;;;;;;;8.5
+;6;8.5;Waser Reto;*;13;55.25;3;9.75;-3;1.25;10.0
+;7;18.5;Durrer Markus;;13;55.25;4;19.5;-3;1.0;9.75
+;6;28.25;Betschart Daniel;;17;54.25;6;28.25;0;0.0;9.75
+;5;38.0;Durrer Jonas (2003);*;9;56.25;5;38.0;0;0.0;9.75
-;5;47.75;Wyrsch Marco;**;10;56.0;7;47.25;2;-0.5;8.75

8c;Mehr Lars;;;;;;;;;;56.5
+;;;Schmid Joel;;;;;;;;9.75
o;3;9.75;Achermann Christoph;*;13;55.25;6;8.5;3;-1.25;8.5
-;8;18.25;Thalmann Thomas;*;15;54.75;10;17.5;2;-0.75;8.75
+;11;27.0;Wigger Simon;;18;54.0;11;27.0;0;0.0;10.0
+;9;37.0;Felder Martin;*;15;54.75;8;37.25;-1;0.25;9.75
+;9;46.75;Ming Christian 2;;14;55.0;10;46.5;1;-0.25;9.75

8d;Betschart Patrick;*;;;;;;;;;56.5
o;;;Kurmann Toni;*;;;;;;;8.5
+;6;8.5;Waser Raphael;;13;55.25;2;10.0;-4;1.5;9.75
+;8;18.25;Kempf Fabian;;16;54.5;7;18.5;-1;0.25;10.0
+;6;28.25;Suppiger René;***;15;54.75;9;27.5;3;-0.75;10.0
o;4;38.25;Arnold Stefan;**;7;56.75;5;38.0;1;-0.25;8.5
+;9;46.75;Zemp Christian (2004);;11;55.75;7;47.25;-2;0.5;9.75

8e;Thierstein Marco;*;;;;;;;;;56.5
+;;;Gasser Peter;*;;;;;;;10.0
o;2;10.0;Bernhard Lukas;**;7;56.75;3;9.75;1;-0.25;8.5
+;7;18.5;von Ah Markus;;16;54.5;6;18.75;-1;0.25;10.0
o;5;28.5;Herger Matthias;**;6;57.0;4;28.75;-1;0.25;8.5
+;9;37.0;Gisler Silvan;;14;55.0;10;36.75;1;-0.25;9.75
+;9;46.75;Durrer Markus;;13;55.25;10;46.5;1;-0.25;9.75

8f;Riebli Urs;;;;;;;;;;56.5
-;;;Heinzer Lukas (2004);;;;;;;;9.0
+;4;9.0;Rohrer Michael;;29;34.75;5;8.75;1;-0.25;10.0
+;5;19.0;Gander Adrian;*;12;55.5;7;18.5;2;-0.5;9.75
+;4;28.75;Waser Reto;*;13;55.25;6;28.25;2;-0.5;9.75
-;3;38.5;Rohrer Ueli;**;9;56.25;8;37.25;5;-1.25;9.0
-;6;47.5;Barmettler Renato (2003);;7;56.75;5;47.75;-1;0.25;9.0

8g;Ming Christian;*;;;;;;;;;56.5
+;;;Felder Seppi;*;;;;;;;9.75
-;3;9.75;Schuler Alex;***;1;109.25;1;18.5;-2;8.75;8.75
+;7;18.5;Wigger Simon;;18;54.0;7;18.5;0;0.0;10.0
-;5;28.5;Betschart Marcel;*;9;56.25;4;28.75;-1;0.25;9.0
+;7;37.5;von Euw Lukas;*;12;55.5;9;37.0;2;-0.5;10.0
-;6;47.5;Achermann Simon;;10;56.0;8;47.0;2;-0.5;9.0

9a;Durrer Jonas (2003);*;;;;;;;;;56.25
+;;;Dörig Erich;*;;;;;;;9.75
o;3;9.75;Suppiger René;***;15;54.75;5;8.75;2;-1.0;8.5
+;8;18.25;Von Euw Adi;;18;54.0;7;18.5;-1;0.25;9.75
+;7;28.0;Ziegler Elias;;19;53.75;6;28.25;-1;0.25;10.0
o;5;38.0;Suppiger Werner;**;8;56.5;5;38.0;0;0.0;8.5
+;10;46.5;Ulrich Michael (2003);;12;55.5;8;47.0;-2;0.5;9.75

9b;Poltera Andrin;*;;;;;;;;;56.25
-;;;Omlin Toni;*;;;;;;;9.0
-;4;9.0;Wyrsch Marco;**;10;56.0;5;8.75;1;-0.25;8.75
+;9;17.75;Kälin Michael;;18;54.0;7;18.5;-2;0.75;10.0
+;8;27.75;Durrer Ueli;;14;55.0;6;28.25;-2;0.5;9.75
-;7;37.5;Schuler Alex;***;1;109.25;1;74.5;-6;37.0;8.75
+;11;46.25;Würsch Lars;*;15;54.75;11;46.25;0;0.0;10.0

9c;Omlin Toni;*;;;;;;;;;56.25
-;;;Poltera Andrin;*;;;;;;;9.0
+;4;9.0;Kaufmann Reto;*;11;55.75;5;8.75;1;-0.25;9.75
+;6;18.75;Wittwer Roy;;18;54.0;2;20.0;-4;1.25;10.0
-;4;28.75;Fankhauser Erich;***;5;57.25;5;28.5;1;-0.25;8.75
+;7;37.5;Heinzer Lukas (2004);;11;55.75;7;37.5;0;0.0;10.0
-;6;47.5;Waser Dominik;**;11;55.75;8;47.0;2;-0.5;8.75

9d;Barmettler Peter;*;;;;;;;;;56.25
o;;;Bättig Martin;*;;;;;;;8.5
+;6;8.5;Gwerder Andreas;*;19;53.75;6;8.5;0;0.0;9.75
+;8;18.25;Küng Jonas (2004);;22;53.0;7;18.5;-1;0.25;10.0
o;6;28.25;Reichmuth Marco;**;7;56.75;5;28.5;-1;0.25;8.5
+;10;36.75;Müller Luca (2004);;19;53.75;10;36.75;0;0.0;9.75
+;10;46.5;Duss Yvan (2003);;12;55.5;9;46.75;-1;0.25;9.75

9e;Schmid Dominik;**;;;;;;;;;56.25
+;;;Lussi Marco;**;;;;;;;9.75
o;3;9.75;von Ah Benji;***;3;58.0;2;10.0;-1;0.25;8.5
+;8;18.25;von Büren Thomas;;19;53.75;7;18.5;-1;0.25;10.0
+;6;28.25;Müller Luca (2004);;19;53.75;6;28.25;0;0.0;10.0
-;4;38.25;Odermatt Remo;*;11;55.75;5;38.0;1;-0.25;9.0
-;7;47.25;Niederberger Markus;*;11;55.75;9;46.75;2;-0.5;9.0

9f;Betschart Marcel;*;;;;;;;;;56.25
-;;;Amgarten Martin;*;;;;;;;9.0
+;4;9.0;von Wyl Kevin (2004);;10;56.0;2;10.0;-2;1.0;9.75
+;6;18.75;Zimmermann Martin;***;16;54.5;7;18.5;1;-0.25;10.0
-;4;28.75;Ming Christian;*;8;56.5;5;28.5;1;-0.25;9.0
o;6;37.75;Bernhard Lukas;**;7;56.75;5;38.0;-1;0.25;8.5
+;11;46.25;von Ah Markus;;16;54.5;12;46.0;1;-0.25;10.0

9g;Rohrer Ueli;**;;;;;;;;;56.25
-;;;Heiniger Marco;**;;;;;;;8.75
+;5;8.75;Vogel Marcel;*;11;55.75;2;10.0;-3;1.25;9.75
+;7;18.5;Duss Yvan (2003);;12;55.5;3;19.75;-4;1.25;10.0
-;5;28.5;Kurmann Toni;*;9;56.25;5;28.5;0;0.0;8.75
-;8;37.25;Riebli Urs;;8;56.5;3;38.5;-5;1.25;9.0
+;11;46.25;Kennel Beat;**;16;54.5;12;46.0;1;-0.25;10.0

9h;Kurmann Toni;*;;;;;;;;;56.25
+;;;Betschart Patrick;*;;;;;;;10.0
o;2;10.0;Reichmuth Marco;**;7;56.75;5;8.75;3;-1.25;8.75
+;6;18.75;Kaiser Sandro;;14;55.0;3;19.75;-3;1.0;9.75
-;5;28.5;Rohrer Ueli;**;9;56.25;5;28.5;0;0.0;8.75
+;8;37.25;Kaufmann Jens;;17;54.25;9;37.0;1;-0.25;10.0
-;7;47.25;Bernhard Lukas;**;7;56.75;5;47.75;-2;0.5;9.0

10a;Durrer Nando;*;;;;;;;;;56.0
+;;;Ackermann Rico (2003);*;;;;;;;9.75
-;3;9.75;Murer Andy;**;19;53.75;5;8.75;2;-1.0;8.75
+;7;18.5;Ulrich Michael (2003);;12;55.5;3;19.75;-4;1.25;10.0
-;5;28.5;Egli Damian;**;11;55.75;5;28.5;0;0.0;8.75
+;8;37.25;Von Euw Adi;;18;54.0;9;37.0;1;-0.25;10.0
