5234-2021-09-19_Fete_Cantonale_Vaudoise-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
+;5;28.0;Perret Axel (2003);;13;54.75;5;28.0;0;0.0;10.0
o;4;38.0;Haenni Stéphane;**;9;55.75;7;37.25;3;-0.75;8.5
+;9;46.5;Rogivue Théo (2003);;9;55.75;6;47.25;-3;0.75;10.0

6b;Baeriswyl Christoph;**;;;;;;;;;56.5
+;;;Giroud Jonathan;**;;;;;;;10.0
+;1;10.0;Leuenberger Gian (2005);;13;54.75;2;9.75;1;-0.25;9.75
o;1;19.75;Roschi Ruedi;**;2;58.0;1;19.75;0;0.0;8.5
+;4;28.25;Neyroud Geoffrey;;11;55.25;3;28.5;-1;0.25;10.0
o;3;38.25;Sempach Thomas;***;1;58.5;2;38.5;-1;0.25;8.5
+;8;46.75;Riebli Leon (2003);;12;55.0;9;46.5;1;-0.25;9.75

7a;Zbinden Dario (2004);;;;;;;;;;56.25
+;;;Juon Martin;;;;;;;;10.0
+;1;10.0;Crettaz Olivier;*;16;54.0;5;8.5;4;-1.5;9.75
-;1;19.75;Heim Michael;;13;54.75;4;18.5;3;-1.25;8.75
-;3;28.5;Ambresin Cyril;**;12;55.0;4;28.25;1;-0.25;9.0
+;6;37.5;Hirschi Damien (2003);;9;55.75;7;37.25;1;-0.25;9.75
-;6;47.25;Tornare Paul;;9;55.75;8;46.75;2;-0.5;9.0

7b;Kramer Dorian;**;;;;;;;;;56.25
o;;;Sempach Thomas;***;;;;;;;8.5
+;5;8.5;Martin Gaël (2004);;13;54.75;1;10.0;-4;1.5;9.75
+;5;18.25;Dufey Gil;*;11;55.25;3;18.75;-2;0.5;9.75
+;5;28.0;Mermillod Jérôme (2004);;15;54.25;4;28.25;-1;0.25;9.75
-;5;37.75;Loup Alexandre;*;9;55.75;7;37.25;2;-0.5;8.75
+;9;46.5;Neyroud Geoffrey;;11;55.25;8;46.75;-1;0.25;9.75

8a;Wenger Marcel;*;;;;;;;;;56.0
-;;;Collaud Romain;**;;;;;;;8.75
+;4;8.75;Jacot Ismaël;;16;54.0;2;9.75;-2;1.0;9.75
+;4;18.5;Fankhauser Hans;*;12;55.0;5;18.25;1;-0.25;10.0
+;3;28.5;Rapin Florent;*;11;55.25;4;28.25;1;-0.25;10.0
-;2;38.5;Matthey Mickaël;**;4;57.0;3;38.25;1;-0.25;8.75
-;6;47.25;Mamadou Lamine Gnabaly;;11;55.25;9;46.5;3;-0.75;8.75

8b;Loup Grégoire;;;;;;;;;;56.0
-;;;Lauber Grégoire;;;;;;;;8.75
+;4;8.75;Zbinden Samuel;;16;54.0;2;9.75;-2;1.0;10.0
+;3;18.75;Wieland Janis;*;6;56.5;2;19.5;-1;0.75;10.0
o;2;28.75;Matthey Mickaël;**;4;57.0;3;28.5;1;-0.25;8.5
+;7;37.25;Pürro David;;10;55.5;8;37.0;1;-0.25;9.75
-;7;47.0;Ambresin Cyril;**;12;55.0;11;46.0;4;-1.0;9.0

9a;Dorsaz Théo;*;;;;;;;;;55.75
-;;;Stoll Thomas;*;;;;;;;8.75
+;4;8.75;Suchet Jonathan (2005);;12;55.0;2;9.75;-2;1.0;10.0
-;3;18.75;Schläfli Hugo;;5;56.75;1;19.75;-2;1.0;8.75
-;7;27.5;Heim Michael;;13;54.75;7;27.5;0;0.0;8.75
+;11;36.25;Deschenaux Martin (2004);;17;53.75;9;36.75;-2;0.5;9.75
+;11;46.0;Perret Axel (2003);;13;54.75;10;46.25;-1;0.25;9.75

9b;Rogivue Théo (2003);;;;;;;;;;55.75
o;;;Balimann Fabian;;;;;;;;8.5
+;5;8.5;Périsset Valentin;;24;51.0;5;8.5;0;0.0;10.0
-;4;18.5;Hayoz Quentin;*;9;55.75;8;17.25;4;-1.25;8.75
+;8;27.25;Beaud Eric;;16;54.0;9;27.0;1;-0.25;10.0
+;7;37.25;Dubey Gaël;*;15;54.25;8;37.0;1;-0.25;10.0
o;6;47.25;Wieland Janis;*;6;56.5;9;46.5;3;-0.75;8.5

9c;Vaucher Rémy;;;;;;;;;;55.75
+;;;Collaud Bastien (2005);;;;;;;;9.75
o;2;9.75;Rapin Florent;*;11;55.25;5;8.5;3;-1.25;8.5
+;5;18.25;Giuliani Johann;;23;52.25;5;18.25;0;0.0;10.0
-;4;28.25;Stoll Thomas;*;12;55.0;6;27.75;2;-0.5;8.75
-;8;37.0;Martin Gaël (2004);;13;54.75;7;37.25;-1;0.25;9.0
+;11;46.0;Berthet Luca;;15;54.25;12;45.75;1;-0.25;9.75

9d;Loup Alexandre;*;;;;;;;;;55.75
o;;;Balimann Sandro;*;;;;;;;8.5
-;5;8.5;Pürro David;;10;55.5;2;9.75;-3;1.25;8.75
+;8;17.25;Pasquier Loïc;;15;54.25;3;18.75;-5;1.5;10.0
+;8;27.25;Jacot Ismaël;;16;54.0;4;28.25;-4;1.0;10.0
-;7;37.25;Kramer Dorian;**;7;56.25;5;37.75;-2;0.5;8.75
+;11;46.0;Heim Michael;;13;54.75;10;46.25;-1;0.25;9.75

9e;Hirschi Damien (2003);;;;;;;;;;55.75
+;;;Amstutz Aymeric (2004);;;;;;;;9.75
-;2;9.75;Stoll Thomas;*;12;55.0;4;8.75;2;-1.0;9.0
-;3;18.75;Zbinden Samuel;;16;54.0;5;18.25;2;-0.5;8.75
+;7;27.5;Golliard Steve;;21;52.75;8;27.25;1;-0.25;9.75
o;7;37.25;Zbinden Dario (2004);;7;56.25;6;37.5;-1;0.25;8.5
+;12;45.75;Aeschbacher Ivo;;16;54.0;13;45.5;1;-0.25;10.0

9f;Hayoz Quentin;*;;;;;;;;;55.75
o;;;Borcard Johann;**;;;;;;;8.5
-;5;8.5;Neyroud Geoffrey;;11;55.25;2;9.75;-3;1.25;8.75
-;8;17.25;Rogivue Théo (2003);;9;55.75;4;18.5;-4;1.25;8.75
+;11;26.0;Fankhauser Yanik;;15;54.25;9;27.0;-2;1.0;10.0
+;12;36.0;Berger Sascha;;17;53.75;9;36.75;-3;0.75;10.0
+;11;46.0;Martin Gaël (2004);;13;54.75;10;46.25;-1;0.25;9.75

9g;Haenni Stéphane;**;;;;;;;;;55.75
o;;;Roschi Ruedi;**;;;;;;;8.5
-;5;8.5;Tornare Paul;;9;55.75;2;9.75;-3;1.25;8.75
+;8;17.25;Aeschbacher Ivo;;16;54.0;4;18.5;-4;1.25;10.0
+;8;27.25;Chofflon Anthony;;11;55.25;4;28.25;-4;1.0;10.0
+;7;37.25;Wieland Janis;*;6;56.5;4;38.0;-3;0.75;9.75
-;7;47.0;Balimann Sandro;*;5;56.75;3;48.0;-4;1.0;8.75

9h;Tornare Paul;;;;;;;;;;55.75
+;;;Cherpillod Cédric;;;;;;;;9.75
-;2;9.75;Haenni Stéphane;**;9;55.75;5;8.5;3;-1.25;8.75
+;4;18.5;Berger Sascha;;17;53.75;5;18.25;1;-0.25;9.75
+;4;28.25;Crettaz Olivier;*;16;54.0;9;27.0;5;-1.25;10.0
o;3;38.25;Collaud Romain;**;4;57.0;7;37.25;4;-1.0;8.5
-;8;46.75;Zbinden Dario (2004);;7;56.25;6;47.25;-2;0.5;9.0

9i;Balimann Fabian;;;;;;;;;;55.75
+;;;Rogivue Théo (2003);;;;;;;;9.75
o;2;9.75;Gerber Ueli;*;10;55.5;5;8.5;3;-1.25;8.5
+;5;18.25;Berthet Luca;;15;54.25;4;18.5;-1;0.25;9.75
-;5;28.0;Turin Antoine;;9;55.75;4;28.25;-1;0.25;9.0
-;8;37.0;Ambresin Cyril;**;12;55.0;7;37.25;-1;0.25;8.75
+;12;45.75;Pasquier Loïc;;15;54.25;12;45.75;0;0.0;10.0

9j;Turin Antoine;;;;;;;;;;55.75
+;;;Fankhauser Hans;*;;;;;;;10.0
+;1;10.0;Rey Arnaud (2003);;19;53.25;2;9.75;1;-0.25;9.75
o;1;19.75;Collaud Romain;**;4;57.0;3;18.75;2;-1.0;8.5
-;4;28.25;Balimann Fabian;;9;55.75;5;28.0;1;-0.25;9.0
+;7;37.25;Buchs Stefan;;16;54.0;8;37.0;1;-0.25;10.0
o;6;47.25;Schläfli Hugo;;5;56.75;7;47.0;1;-0.25;8.5

10a;Gerber Ueli;*;;;;;;;;;55.5
o;;;Matthey Mickaël;**;;;;;;;8.5
+;5;8.5;Balimann Fabian;;9;55.75;2;9.75;-3;1.25;10.0
+;4;18.5;Monney Branighan;;13;54.75;3;18.75;-1;0.25;10.0
-;3;28.5;Borcard Johann;**;3;57.5;2;28.75;-1;0.25;8.75
o;7;37.25;Mollet Ivan;**;3;57.5;4;38.0;-3;0.75;8.5
+;12;45.75;Zbinden Samuel;;16;54.0;13;45.5;1;-0.25;9.75

10b;Grossenbacher Marc;;;;;;;;;;55.5
o;;;Berthet Luca;;;;;;;;8.5
+;5;8.5;Dupertuis Guillaume;;12;55.0;5;8.5;0;0.0;10.0
o;4;18.5;Piemontesi Pascal;**;5;56.75;3;18.75;-1;0.25;8.5
+;9;27.0;Beuchat Bastien;;18;53.5;10;26.75;1;-0.25;10.0
+;8;37.0;Mermillod Jérôme (2004);;15;54.25;9;36.75;1;-0.25;10.0
o;7;47.0;Mollet Ivan;**;3;57.5;4;47.75;-3;0.75;8.5

10c;Bapst Ludovic;;;;;;;;;;55.5
o;;;Heim Michael;;;;;;;;8.5
+;5;8.5;Imstepf Sandro;;22;52.5;5;8.5;0;0.0;10.0
o;4;18.5;Crettaz Olivier;*;16;54.0;9;17.0;5;-1.5;8.5
+;9;27.0;Cochrane Benjamin;;21;52.75;9;27.0;0;0.0;10.0
o;8;37.0;Dufey Gil;*;11;55.25;8;37.0;0;0.0;8.5
+;13;45.5;Berger Sascha;;17;53.75;14;45.25;1;-0.25;10.0

10d;Pürro David;;;;;;;;;;55.5
+;;;Mermillod Jérôme (2004);;;;;;;;9.75
