5234-2021-09-19_Fete_Cantonale_Vaudoise-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
o;9;27.0;Hayoz Quentin;*;9;55.75;11;26.0;2;-1.0;8.5
-;14;35.5;Jeannin Jess;;14;54.5;13;35.75;-1;0.25;8.75
+;17;44.25;Cochrane Benjamin;;21;52.75;17;44.25;0;0.0;10.0

15c;Mermillod Jérôme (2004);;;;;;;;;;54.25
o;;;Pürro David;;;;;;;;8.5
+;5;8.5;Juon Martin;;18;53.5;5;8.5;0;0.0;9.75
+;5;18.25;Perroud Florian;;23;52.25;9;17.0;4;-1.25;10.0
o;4;28.25;Kramer Dorian;**;7;56.25;5;28.0;1;-0.25;8.5
o;9;36.75;Grossenbacher Marc;;10;55.5;8;37.0;-1;0.25;8.5
-;14;45.25;Wieland Timon;;15;54.25;14;45.25;0;0.0;9.0

15d;Pasquier Loïc;;;;;;;;;;54.25
-;;;Mamadou Lamine Gnabaly;;;;;;;;8.75
+;4;8.75;Giuliani Johann;;23;52.25;2;9.75;-2;1.0;10.0
o;3;18.75;Loup Alexandre;*;9;55.75;8;17.25;5;-1.5;8.5
+;8;27.25;Lauber Grégoire;;20;53.0;9;27.0;1;-0.25;10.0
o;7;37.25;Hofer Sven;**;4;57.0;7;37.25;0;0.0;8.5
o;12;45.75;Balimann Fabian;;9;55.75;12;45.75;0;0.0;8.5

15e;Hochuli Samuel;;;;;;;;;;54.25
o;;;Riebli Leon (2003);;;;;;;;8.5
o;5;8.5;Gaudard Jeremy;;17;53.75;5;8.5;0;0.0;8.5
+;9;17.0;Imstepf Sandro;;22;52.5;9;17.0;0;0.0;9.75
o;10;26.75;Maitre Damien;;16;54.0;9;27.0;-1;0.25;8.5
+;15;35.25;Giuliani Johann;;23;52.25;15;35.25;0;0.0;10.0
-;14;45.25;Jacot Ismaël;;16;54.0;14;45.25;0;0.0;9.0

15f;Dubey Gaël;*;;;;;;;;;54.25
-;;;Dufey Gil;*;;;;;;;8.75
+;4;8.75;Berthet Luca;;15;54.25;1;10.0;-3;1.25;9.75
-;4;18.5;Sturny Nicolas;**;11;55.25;5;18.25;1;-0.25;8.75
+;8;27.25;Collaud Bastien (2005);;10;55.5;7;27.5;-1;0.25;9.75
o;8;37.0;Rogivue Théo (2003);;9;55.75;7;37.25;-1;0.25;8.5
-;13;45.5;Crettaz Olivier;*;16;54.0;14;45.25;1;-0.25;8.75

15g;Wieland Timon;;;;;;;;;;54.25
o;;;Neyroud Geoffrey;;;;;;;;8.5
+;5;8.5;Cherpillod Cédric;;16;54.0;5;8.5;0;0.0;9.75
o;5;18.25;Jacot Ismaël;;16;54.0;5;18.25;0;0.0;8.75
o;9;27.0;Mamadou Lamine Gnabaly;;11;55.25;9;27.0;0;0.0;8.5
+;14;35.5;Berger Dilan;;21;52.75;13;35.75;-1;0.25;9.75
-;14;45.25;Mermillod Jérôme (2004);;15;54.25;14;45.25;0;0.0;9.0

15h;Menoud Liam;;;;;;;;;;54.25
o;;;Schläfli Hugo;;;;;;;;8.5
+;5;8.5;Rodi Joé (2004);;17;53.75;5;8.5;0;0.0;10.0
o;4;18.5;Balimann Sandro;*;5;56.75;1;19.75;-3;1.25;8.5
o;9;27.0;Wieland Micha;;11;55.25;8;27.25;-1;0.25;8.75
+;13;35.75;Amstutz Aymeric (2004);;17;53.75;14;35.5;1;-0.25;10.0
o;12;45.75;Collaud Bastien (2005);;10;55.5;12;45.75;0;0.0;8.5

15i;Berthet Luca;;;;;;;;;;54.25
+;;;Grossenbacher Marc;;;;;;;;10.0
o;1;10.0;Dubey Gaël;*;15;54.25;4;8.75;3;-1.25;8.5
o;4;18.5;Balimann Fabian;;9;55.75;5;18.25;1;-0.25;8.5
o;9;27.0;Aeschbacher Ivo;;16;54.0;9;27.0;0;0.0;8.75
+;13;35.75;Panchaud Noé (2004);;20;53.0;13;35.75;0;0.0;10.0
o;12;45.75;Vaucher Rémy;;9;55.75;11;46.0;-1;0.25;8.5

16a;Aeschbacher Ivo;;;;;;;;;;54.0
-;;;Crettaz Julien;;;;;;;;8.75
+;4;8.75;Beuchat Bastien;;18;53.5;5;8.5;1;-0.25;9.75
o;4;18.5;Haenni Stéphane;**;9;55.75;8;17.25;4;-1.25;8.5
+;9;27.0;Berthet Luca;;15;54.25;9;27.0;0;0.0;10.0
o;8;37.0;Neyroud Geoffrey;;11;55.25;8;37.0;0;0.0;8.5
o;13;45.5;Hirschi Damien (2003);;9;55.75;12;45.75;-1;0.25;8.5

16b;Maitre Damien;;;;;;;;;;54.0
+;;;Rodi Joé (2004);;;;;;;;10.0
o;1;10.0;Fankhauser Hans;*;12;55.0;5;8.5;4;-1.5;8.5
o;4;18.5;Pürro David;;10;55.5;4;18.5;0;0.0;8.5
+;9;27.0;Hochuli Samuel;;15;54.25;10;26.75;1;-0.25;9.75
o;9;36.75;Chofflon Anthony;;11;55.25;9;36.75;0;0.0;8.5
-;14;45.25;Beaud Eric;;16;54.0;14;45.25;0;0.0;8.75

16c;Jacot Ismaël;;;;;;;;;;54.0
+;;;Perroud Florian;;;;;;;;9.75
o;2;9.75;Wenger Marcel;*;8;56.0;4;8.75;2;-1.0;8.5
+;5;18.25;Wieland Timon;;15;54.25;5;18.25;0;0.0;10.0
o;4;28.25;Loup Alexandre;*;9;55.75;8;27.25;4;-1.0;8.5
o;9;36.75;Monney Branighan;;13;54.75;11;36.25;2;-0.5;8.5
-;14;45.25;Hochuli Samuel;;15;54.25;14;45.25;0;0.0;8.75

16d;Crettaz Olivier;*;;;;;;;;;54.0
o;;;Ambresin Cyril;**;;;;;;;8.5
o;5;8.5;Zbinden Dario (2004);;7;56.25;1;10.0;-4;1.5;8.5
+;9;17.0;Bapst Ludovic;;10;55.5;4;18.5;-5;1.5;10.0
o;9;27.0;Tornare Paul;;9;55.75;4;28.25;-5;1.25;8.5
+;14;35.5;Rey Arnaud (2003);;19;53.25;13;35.75;-1;0.25;9.75
-;14;45.25;Dubey Gaël;*;15;54.25;13;45.5;-1;0.25;8.75

16e;Buchs Stefan;;;;;;;;;;54.0
+;;;Lagger Aurélien (2004);;;;;;;;10.0
o;1;10.0;Vallotton Jason;;18;53.5;4;8.75;3;-1.25;8.5
o;4;18.5;Ambresin Cyril;**;12;55.0;4;18.5;0;0.0;8.5
+;9;27.0;Giuliani Johann;;23;52.25;10;26.75;1;-0.25;10.0
o;8;37.0;Turin Antoine;;9;55.75;7;37.25;-1;0.25;8.5
o;13;45.5;Pürro David;;10;55.5;13;45.5;0;0.0;8.5

16f;Giroud Jonathan;**;;;;;;;;;54.0
o;;;Baeriswyl Christoph;**;;;;;;;8.5
o;5;8.5;Schläfli Hugo;;5;56.75;1;10.0;-4;1.5;8.5
+;9;17.0;Beaud Eric;;16;54.0;4;18.5;-5;1.5;9.75
+;10;26.75;Berger Dilan;;21;52.75;8;27.25;-2;0.5;10.0
o;9;36.75;Stoll Thomas;*;12;55.0;10;36.5;1;-0.25;8.5
-;14;45.25;Monney Branighan;;13;54.75;11;46.0;-3;0.75;8.75

16g;Zbinden Samuel;;;;;;;;;;54.0
+;;;Baume Oscar;;;;;;;;9.75
o;2;9.75;Loup Grégoire;;8;56.0;4;8.75;2;-1.0;8.5
-;5;18.25;Hirschi Damien (2003);;9;55.75;3;18.75;-2;0.5;8.75
+;9;27.0;Dupertuis Guillaume;;12;55.0;10;26.75;1;-0.25;10.0
o;8;37.0;Mamadou Lamine Gnabaly;;11;55.25;9;36.75;1;-0.25;8.5
o;13;45.5;Gerber Ueli;*;10;55.5;12;45.75;-1;0.25;8.5

16h;Beaud Eric;;;;;;;;;;54.0
-;;;Vallotton Jason;;;;;;;;8.75
+;4;8.75;Baume Oscar;;23;52.25;5;8.5;1;-0.25;9.75
o;4;18.5;Giroud Jonathan;**;16;54.0;9;17.0;5;-1.5;8.5
o;9;27.0;Rogivue Théo (2003);;9;55.75;8;27.25;-1;0.25;8.5
+;14;35.5;Giuliani Johann;;23;52.25;15;35.25;1;-0.25;9.75
-;14;45.25;Maitre Damien;;16;54.0;14;45.25;0;0.0;8.75

16i;Cherpillod Cédric;;;;;;;;;;54.0
o;;;Tornare Paul;;;;;;;;8.5
o;5;8.5;Wieland Timon;;15;54.25;5;8.5;0;0.0;8.5
o;9;17.0;Baume Oscar;;23;52.25;9;17.0;0;0.0;8.5
+;13;25.5;Rodi Joé (2004);;17;53.75;13;25.5;0;0.0;10.0
+;14;35.5;Golliard Steve;;21;52.75;13;35.75;-1;0.25;10.0
o;13;45.5;Wieland Micha;;11;55.25;13;45.5;0;0.0;8.5

17a;Deschenaux Martin (2004);;;;;;;;;;53.75
+;;;Berger Dilan;;;;;;;;10.0
o;1;10.0;Dufey Gil;*;11;55.25;4;8.75;3;-1.25;8.5
o;4;18.5;Martin Gaël (2004);;13;54.75;3;18.75;-1;0.25;8.5
+;9;27.0;Baume Oscar;;23;52.25;10;26.75;1;-0.25;9.75
o;9;36.75;Dorsaz Théo;*;9;55.75;11;36.25;2;-0.5;8.5
o;14;45.25;Dupertuis Guillaume;;12;55.0;15;45.0;1;-0.25;8.5

17b;Amstutz Aymeric (2004);;;;;;;;;;53.75
o;;;Hirschi Damien (2003);;;;;;;;8.5
o;5;8.5;Berger Alan;;20;53.0;5;8.5;0;0.0;8.5
o;9;17.0;Fankhauser Yanik;;15;54.25;9;17.0;0;0.0;8.5
+;13;25.5;Lagger Aurélien (2004);;23;52.25;13;25.5;0;0.0;10.0
o;14;35.5;Menoud Liam;;15;54.25;13;35.75;-1;0.25;8.5
+;18;44.0;Perroud Florian;;23;52.25;19;43.75;1;-0.25;9.75

17c;Berger Sascha;;;;;;;;;;53.75
+;;;Beuchat Bastien;;;;;;;;9.75
o;2;9.75;Mamadou Lamine Gnabaly;;11;55.25;5;8.5;3;-1.25;8.5
o;5;18.25;Tornare Paul;;9;55.75;4;18.5;-1;0.25;8.5
+;10;26.75;Buchs Simon (2004);;23;52.25;10;26.75;0;0.0;10.0
o;9;36.75;Hayoz Quentin;*;9;55.75;12;36.0;3;-0.75;8.5
o;14;45.25;Bapst Ludovic;;10;55.5;13;45.5;-1;0.25;8.5

17d;Gaudard Jeremy;;;;;;;;;;53.75
o;;;Merz Sascha;;;;;;;;8.5
+;5;8.5;Hochuli Samuel;;15;54.25;5;8.5;0;0.0;9.75
+;5;18.25;Rey Arnaud (2003);;19;53.25;5;18.25;0;0.0;9.75
o;5;28.0;Schläfli Hugo;;5;56.75;3;28.5;-2;0.5;8.5
o;10;36.5;Rapin Florent;*;11;55.25;9;36.75;-1;0.25;8.5
-;15;45.0;Panchaud Noé (2004);;20;53.0;17;44.25;2;-0.75;8.75

17e;Rodi Joé (2004);;;;;;;;;;53.75
o;;;Maitre Damien;;;;;;;;8.5
o;5;8.5;Menoud Liam;;15;54.25;5;8.5;0;0.0;8.5
o;9;17.0;Cochrane Benjamin;;21;52.75;8;17.25;-1;0.25;8.5
o;13;25.5;Cherpillod Cédric;;16;54.0;13;25.5;0;0.0;8.5
+;18;34.0;Imstepf Sandro;;22;52.5;17;34.25;-1;0.25;9.75
+;19;43.75;Lagger Aurélien (2004);;23;52.25;19;43.75;0;0.0;10.0

18a;Beuchat Bastien;;;;;;;;;;53.5
o;;;Berger Sascha;;;;;;;;8.5
o;5;8.5;Aeschbacher Ivo;;16;54.0;4;8.75;-1;0.25;8.5
+;9;17.0;Girard Simon (2004);;21;52.75;9;17.0;0;0.0;9.75
o;10;26.75;Grossenbacher Marc;;10;55.5;9;27.0;-1;0.25;8.5
+;15;35.25;Perroud Florian;;23;52.25;15;35.25;0;0.0;9.75
o;15;45.0;Leuenberger Gian (2005);;13;54.75;15;45.0;0;0.0;8.5

18b;Juon Martin;;;;;;;;;;53.5
o;;;Zbinden Dario (2004);;;;;;;;8.5
o;5;8.5;Mermillod Jérôme (2004);;15;54.25;5;8.5;0;0.0;8.5
o;9;17.0;Panchaud Noé (2004);;20;53.0;7;17.5;-2;0.5;8.5
+;13;25.5;Périsset Valentin;;24;51.0;13;25.5;0;0.0;9.75
+;15;35.25;Buchs Simon (2004);;23;52.25;15;35.25;0;0.0;9.75
o;15;45.0;Fankhauser Hans;*;12;55.0;14;45.25;-1;0.25;8.5

18c;Vallotton Jason;;;;;;;;;;53.5
-;;;Beaud Eric;;;;;;;;8.75
+;4;8.75;Buchs Stefan;;16;54.0;1;10.0;-3;1.25;9.75
o;4;18.5;Mollet Ivan;**;3;57.5;5;18.25;1;-0.25;8.5
-;9;27.0;Berger Alan;;20;53.0;9;27.0;0;0.0;9.0
o;12;36.0;Collaud Bastien (2005);;10;55.5;12;36.0;0;0.0;8.5
-;16;44.5;Rey Arnaud (2003);;19;53.25;17;44.25;1;-0.25;9.0

19a;Rey Arnaud (2003);;;;;;;;;;53.25
+;;;Cochrane Benjamin;;;;;;;;9.75
o;2;9.75;Turin Antoine;;9;55.75;1;10.0;-1;0.25;8.5
o;5;18.25;Gaudard Jeremy;;17;53.75;5;18.25;0;0.0;8.5
-;10;26.75;Jeannin Jess;;14;54.5;10;26.75;0;0.0;9.0
o;13;35.75;Crettaz Olivier;*;16;54.0;14;35.5;1;-0.25;8.5
-;17;44.25;Vallotton Jason;;18;53.5;16;44.5;-1;0.25;9.0

20a;Lauber Grégoire;;;;;;;;;;53.0
-;;;Loup Grégoire;;;;;;;;8.75
o;4;8.75;Monney Branighan;;13;54.75;3;9.0;-1;0.25;8.5
+;8;17.25;Crettaz Julien;;20;53.0;8;17.25;0;0.0;9.75
o;9;27.0;Pasquier Loïc;;15;54.25;8;27.25;-1;0.25;8.5
-;14;35.5;Cochrane Benjamin;;21;52.75;14;35.5;0;0.0;8.75
-;17;44.25;Golliard Steve;;21;52.75;17;44.25;0;0.0;8.75

20b;Berger Alan;;;;;;;;;;53.0
o;;;Leuenberger Gian (2005);;;;;;;;8.5
+;5;8.5;Amstutz Aymeric (2004);;17;53.75;5;8.5;0;0.0;10.0
o;4;18.5;Stoll Thomas;*;12;55.0;6;17.75;2;-0.75;8.5
-;9;27.0;Vallotton Jason;;18;53.5;9;27.0;0;0.0;9.0
o;12;36.0;Heim Michael;;13;54.75;11;36.25;-1;0.25;8.5
o;16;44.5;Suchet Jonathan (2005);;12;55.0;15;45.0;-1;0.5;8.5

20c;Panchaud Noé (2004);;;;;;;;;;53.0
-;;;Begg Colin;;;;;;;;8.75
-;4;8.75;Cochrane Benjamin;;21;52.75;5;8.5;1;-0.25;8.75
+;7;17.5;Juon Martin;;18;53.5;9;17.0;2;-0.5;9.75
o;8;27.25;Sturny Nicolas;**;11;55.25;9;27.0;1;-0.25;8.5
o;13;35.75;Berthet Luca;;15;54.25;13;35.75;0;0.0;8.5
-;17;44.25;Gaudard Jeremy;;17;53.75;15;45.0;-2;0.75;8.75

20d;Crettaz Julien;;;;;;;;;;53.0
-;;;Aeschbacher Ivo;;;;;;;;8.75
o;4;8.75;Collaud Bastien (2005);;10;55.5;5;8.5;1;-0.25;8.5
o;8;17.25;Lauber Grégoire;;20;53.0;8;17.25;0;0.0;8.5
-;12;25.75;Merz Sascha;;14;54.5;10;26.75;-2;1.0;9.0
+;16;34.75;Girard Simon (2004);;21;52.75;17;34.25;1;-0.5;9.75
o;16;44.5;Jeannin Jess;;14;54.5;16;44.5;0;0.0;8.5

21a;Golliard Steve;;;;;;;;;;52.75
+;;;Dupertuis Guillaume;;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;5;56.75;4;8.75;3;-1.25;8.5
-;4;18.5;Berger Dilan;;21;52.75;4;18.5;0;0.0;8.75
o;8;27.25;Hirschi Damien (2003);;9;55.75;7;27.5;-1;0.25;8.5
o;13;35.75;Cherpillod Cédric;;16;54.0;14;35.5;1;-0.25;8.5
-;17;44.25;Lauber Grégoire;;20;53.0;17;44.25;0;0.0;8.5

21b;Cochrane Benjamin;;;;;;;;;;52.75
o;;;Rey Arnaud (2003);;;;;;;;8.5
-;5;8.5;Panchaud Noé (2004);;20;53.0;4;8.75;-1;0.25;8.75
+;8;17.25;Rodi Joé (2004);;17;53.75;9;17.0;1;-0.25;9.75
o;9;27.0;Bapst Ludovic;;10;55.5;9;27.0;0;0.0;8.5
-;14;35.5;Lauber Grégoire;;20;53.0;14;35.5;0;0.0;8.75
o;17;44.25;Fankhauser Yanik;;15;54.25;17;44.25;0;0.0;8.5

21c;Berger Dilan;;;;;;;;;;52.75
o;;;Deschenaux Martin (2004);;;;;;;;8.5
+;5;8.5;Fankhauser Yanik;;15;54.25;5;8.5;0;0.0;10.0
-;4;18.5;Golliard Steve;;21;52.75;4;18.5;0;0.0;8.75
o;8;27.25;Giroud Jonathan;**;16;54.0;10;26.75;2;-0.5;8.5
o;13;35.75;Wieland Timon;;15;54.25;14;35.5;1;-0.25;8.5
o;17;44.25;Merz Sascha;;14;54.5;16;44.5;-1;0.25;8.5

21d;Girard Simon (2004);;;;;;;;;;52.75
o;;;Perret Axel (2003);;;;;;;;8.5
o;5;8.5;Begg Colin;;15;54.25;4;8.75;-1;0.25;8.5
o;9;17.0;Beuchat Bastien;;18;53.5;9;17.0;0;0.0;8.5
-;13;25.5;Imstepf Sandro;;22;52.5;13;25.5;0;0.0;8.75
o;17;34.25;Crettaz Julien;;20;53.0;16;34.75;-1;0.5;8.5
+;20;42.75;Baume Oscar;;23;52.25;19;43.75;-1;1.0;10.0

22a;Imstepf Sandro;;;;;;;;;;52.5
o;;;Chofflon Anthony;;;;;;;;8.5
o;5;8.5;Bapst Ludovic;;10;55.5;5;8.5;0;0.0;8.5
o;9;17.0;Hochuli Samuel;;15;54.25;9;17.0;0;0.0;8.5
-;13;25.5;Girard Simon (2004);;21;52.75;13;25.5;0;0.0;8.75
o;17;34.25;Rodi Joé (2004);;17;53.75;18;34.0;1;-0.25;8.5
+;20;42.75;Périsset Valentin;;24;51.0;21;42.5;1;-0.25;9.75

23a;Lagger Aurélien (2004);;;;;;;;;;52.25
o;;;Buchs Simon (2004);;;;;;;;8.5
o;5;8.5;Buchs Stefan;;16;54.0;1;10.0;-4;1.5;8.5
o;9;17.0;Perroud Florian;;23;52.25;9;17.0;0;0.0;8.5
o;13;25.5;Amstutz Aymeric (2004);;17;53.75;13;25.5;0;0.0;8.5
+;18;34.0;Périsset Valentin;;24;51.0;18;34.0;0;0.0;9.75
o;19;43.75;Rodi Joé (2004);;17;53.75;19;43.75;0;0.0;8.5

23b;Baume Oscar;;;;;;;;;;52.25
o;;;Zbinden Samuel;;;;;;;;8.5
o;5;8.5;Beaud Eric;;16;54.0;4;8.75;-1;0.25;8.5
+;9;17.0;Cherpillod Cédric;;16;54.0;9;17.0;0;0.0;9.75
o;10;26.75;Deschenaux Martin (2004);;17;53.75;9;27.0;-1;0.25;8.5
o;15;35.25;Dupertuis Guillaume;;12;55.0;15;35.25;0;0.0;8.5
o;19;43.75;Girard Simon (2004);;21;52.75;20;42.75;1;-1.0;8.5

23c;Perroud Florian;;;;;;;;;;52.25
o;;;Jacot Ismaël;;;;;;;;8.5
o;5;8.5;Jeannin Jess;;14;54.5;5;8.5;0;0.0;8.5
+;9;17.0;Lagger Aurélien (2004);;23;52.25;9;17.0;0;0.0;9.75
o;10;26.75;Mermillod Jérôme (2004);;15;54.25;4;28.25;-6;1.5;8.5
o;15;35.25;Beuchat Bastien;;18;53.5;15;35.25;0;0.0;8.5
o;19;43.75;Amstutz Aymeric (2004);;17;53.75;18;44.0;-1;0.25;8.5

23d;Buchs Simon (2004);;;;;;;;;;52.25
+;;;Lagger Aurélien (2004);;;;;;;;9.75
o;2;9.75;Wieland Micha;;11;55.25;4;8.75;2;-1.0;8.5
o;5;18.25;Neyroud Geoffrey;;11;55.25;4;18.5;-1;0.25;8.5
o;10;26.75;Berger Sascha;;17;53.75;10;26.75;0;0.0;8.5
o;15;35.25;Juon Martin;;18;53.5;15;35.25;0;0.0;8.5
o;19;43.75;Begg Colin;;15;54.25;17;44.25;-2;0.5;8.5

23e;Giuliani Johann;;;;;;;;;;52.25
+;;;Périsset Valentin;;;;;;;;9.75
o;2;9.75;Pasquier Loïc;;15;54.25;4;8.75;2;-1.0;8.5
o;5;18.25;Vaucher Rémy;;9;55.75;5;18.25;0;0.0;8.5
o;10;26.75;Buchs Stefan;;16;54.0;9;27.0;-1;0.25;8.5
o;15;35.25;Hochuli Samuel;;15;54.25;15;35.25;0;0.0;8.5
o;19;43.75;Beaud Eric;;16;54.0;14;45.25;-5;1.5;8.5

24a;Périsset Valentin;;;;;;;;;;51.0
o;;;Giuliani Johann;;;;;;;;8.5
o;5;8.5;Rogivue Théo (2003);;9;55.75;5;8.5;0;0.0;8.5
o;9;17.0;Dupertuis Guillaume;;12;55.0;9;17.0;0;0.0;8.5
o;13;25.5;Juon Martin;;18;53.5;13;25.5;0;0.0;8.5
o;18;34.0;Lagger Aurélien (2004);;23;52.25;18;34.0;0;0.0;8.5
o;21;42.5;Imstepf Sandro;;22;52.5;20;42.75;-1;0.25;8.5

