3215-2021-09-12_125_Nordostschweizer_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.5
+;;;Aeschbacher Matthias;***;;;;;;;10.0
+;1;10.0;Wittenwiler Roman;*;10;55.5;1;10.0;0;0.0;10.0
+;1;20.0;Rychen Roger;***;3;57.25;2;19.75;1;-0.25;10.0
+;1;30.0;Räbmatter Patrick;***;10;55.5;6;28.5;5;-1.5;9.75
-;1;39.75;Leuppi Samir;***;3;57.25;3;38.5;2;-1.25;8.75
+;1;48.5;Aeschbacher Matthias;***;4;57.0;2;48.25;1;-0.25;10.0

2a;Schneider Domenic;***;;;;;;;;;57.75
+;;;von Ah Benji;***;;;;;;;9.75
+;2;9.75;Heierli Pascal;*;7;56.25;2;9.75;0;0.0;10.0
o;2;19.75;Bless Michael;***;3;57.25;4;19.0;2;-0.75;8.5
+;7;28.25;Bollhalder Manuel;*;10;55.5;7;28.25;0;0.0;9.75
+;5;38.0;Rüegg Fabian;*;13;54.75;6;37.75;1;-0.25;9.75
+;3;47.75;Geisser Lars;**;9;55.75;5;47.25;2;-0.5;10.0

3a;Ott Damian;**;;;;;;;;;57.25
-;;;Alpiger Nick;***;;;;;;;9.0
+;3;9.0;Krähenbühl Lukas;*;15;54.25;2;9.75;-1;0.75;10.0
-;4;19.0;Giger Urs;*;10;55.5;5;18.75;1;-0.25;8.75
+;9;27.75;Fuster Arjuna (2003);;15;54.25;6;28.5;-3;0.75;9.75
+;7;37.5;Burkhalter Thomas (2003);*;8;56.0;6;37.75;-1;0.25;10.0
+;4;47.5;Luginbühl Hanspeter;**;9;55.75;5;47.25;1;-0.25;9.75

3b;Bless Michael;***;;;;;;;;;57.25
-;;;Luginbühl Hanspeter;**;;;;;;;9.0
+;3;9.0;Elmer Adrian;*;12;55.0;2;9.75;-1;0.75;10.0
+;4;19.0;Schneider Domenic;***;2;57.75;2;19.75;-2;0.75;9.75
+;5;28.75;Notz Beni;***;8;56.0;5;28.75;0;0.0;10.0
o;2;38.75;Aeschbacher Matthias;***;4;57.0;3;38.5;1;-0.25;8.5
+;5;47.25;Mollet Ivan;**;10;55.5;6;47.0;1;-0.25;10.0

3c;Schneider Mario;**;;;;;;;;;57.25
+;;;Schlegel Sandro;**;;;;;;;10.0
-;1;10.0;von Ah Benji;***;7;56.25;4;8.75;3;-1.25;8.75
+;5;18.75;Baumann Elia;;10;55.5;1;20.0;-4;1.25;9.75
+;6;28.5;Fausch Kjetil;*;10;55.5;6;28.5;0;0.0;10.0
-;3;38.5;Kindlimann Fabian;***;4;57.0;4;38.25;1;-0.25;8.75
+;5;47.25;Wittenwiler Roman;*;10;55.5;6;47.0;1;-0.25;10.0

3d;Rychen Roger;***;;;;;;;;;57.25
+;;;Collaud Romain;**;;;;;;;9.75
+;2;9.75;Baumgartner Ramon;*;5;56.75;2;9.75;0;0.0;10.0
o;2;19.75;Giger Samuel;***;1;58.5;1;20.0;-1;0.25;8.75
+;6;28.5;Dändliker Shane;**;5;56.75;6;28.5;0;0.0;9.75
+;4;38.25;Burkhalter Stefan;***;4;57.0;3;38.5;-1;0.25;10.0
-;2;48.25;Alpiger Nick;***;6;56.5;4;47.5;2;-0.75;9.0

3e;Leuppi Samir;***;;;;;;;;;57.25
-;;;Räbmatter Patrick;***;;;;;;;8.75
+;4;8.75;Fuster Sepp;*;11;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Hobi Ignaz;*;17;53.75;6;18.5;1;-0.25;9.75
+;6;28.5;Poltera Andrin;*;7;56.25;3;29.25;-3;0.75;10.0
-;3;38.5;Giger Samuel;***;1;58.5;1;39.75;-2;1.25;8.75
+;5;47.25;Hugelshofer Lars;*;11;55.25;7;46.75;2;-0.5;10.0

4a;Arztmann Beda;**;;;;;;;;;57.0
-;;;Mollet Ivan;**;;;;;;;8.75
+;4;8.75;Signer Andy (2003);*;11;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Zumbach Michael;;17;53.75;3;19.5;-3;1.0;10.0
o;6;28.5;Burkhalter Stefan;***;4;57.0;5;28.75;-1;0.25;8.5
+;9;37.0;Burch Dean;*;14;54.5;9;37.0;0;0.0;10.0
+;6;47.0;Räbmatter Patrick;***;10;55.5;6;47.0;0;0.0;10.0

4b;Kindlimann Fabian;***;;;;;;;;;57.0
+;;;Müllestein Mike;***;;;;;;;10.0
+;1;10.0;Kolb This (2003);*;6;56.5;1;10.0;0;0.0;9.75
+;2;19.75;Burch Dean;*;14;54.5;5;18.75;3;-1.0;10.0
o;2;29.75;Aeschbacher Matthias;***;4;57.0;6;28.5;4;-1.25;8.5
-;4;38.25;Schneider Mario;**;3;57.25;3;38.5;-1;0.25;8.75
+;6;47.0;Fausch Kjetil;*;10;55.5;6;47.0;0;0.0;10.0

4c;Aeschbacher Matthias;***;;;;;;;;;57.0
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Rotach Lars;*;29;18.25;2;9.75;-3;1.25;10.0
+;6;18.5;Funk Nicola;*;9;55.75;6;18.5;0;0.0;10.0
+;6;28.5;Kindlimann Fabian;***;4;57.0;2;29.75;-4;1.25;10.0
+;3;38.5;Bless Michael;***;3;57.25;2;38.75;-1;0.25;9.75
o;2;48.25;Giger Samuel;***;1;58.5;1;48.5;-1;0.25;8.75

4d;Burkhalter Stefan;***;;;;;;;;;57.0
-;;;Geisser Lars;**;;;;;;;8.75
+;4;8.75;Schlegel Reto;*;15;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Pianta Christian;*;19;53.25;6;18.5;1;-0.25;10.0
+;5;28.75;Arztmann Beda;**;4;57.0;6;28.5;1;-0.25;9.75
o;3;38.5;Rychen Roger;***;3;57.25;4;38.25;1;-0.25;8.5
+;6;47.0;Ackermann Rico (2003);*;12;55.0;8;46.5;2;-0.5;10.0

5a;Baumgartner Ramon;*;;;;;;;;;56.75
+;;;Aebli Nino;*;;;;;;;9.75
o;2;9.75;Rychen Roger;***;3;57.25;2;9.75;0;0.0;8.5
+;7;18.25;Naef Sandro;;21;52.75;6;18.5;-1;0.25;9.75
-;8;28.0;Gartmann Mauro;**;9;55.75;12;27.0;4;-1.0;8.75
+;10;36.75;Hänni Marc;;17;53.75;10;36.75;0;0.0;10.0
+;7;46.75;Wey Nicola;*;12;55.0;8;46.5;1;-0.25;10.0

5b;Räbsamen Marcel;**;;;;;;;;;56.75
o;;;Krähenbühl Tobias;***;;;;;;;8.5
+;5;8.5;Burkhalter Thomas (2003);*;8;56.0;2;9.75;-3;1.25;10.0
+;6;18.5;Fuster Arjuna (2003);;15;54.25;1;20.0;-5;1.5;10.0
+;6;28.5;Ackermann Rico (2003);*;12;55.0;7;28.25;1;-0.25;9.75
o;4;38.25;Alpiger Nick;***;6;56.5;6;37.75;2;-0.5;8.5
+;7;46.75;Wolfer Lukas;*;12;55.0;8;46.5;1;-0.25;10.0

5c;Vollenweider Jeremy;**;;;;;;;;;56.75
+;;;Blaser Christian;**;;;;;;;9.75
-;2;9.75;Alpiger Nick;***;6;56.5;3;9.0;1;-0.75;8.75
+;6;18.5;Egli Martin;;15;54.25;5;18.75;-1;0.25;10.0
-;6;28.5;Dumelin David;**;8;56.0;6;28.5;0;0.0;8.75
+;8;37.25;Bernold Edi;**;15;54.25;9;37.0;1;-0.25;9.75
+;6;47.0;Baumann Elia;;10;55.5;6;47.0;0;0.0;9.75

5d;Dändliker Shane;**;;;;;;;;;56.75
o;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Wolfer Lukas;*;12;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Kiser Aron;;14;54.5;1;20.0;-4;1.25;9.75
o;6;28.5;Rychen Roger;***;3;57.25;6;28.5;0;0.0;8.5
+;9;37.0;Egli Martin;;15;54.25;8;37.25;-1;0.25;9.75
