4814-2021-08-01_106_St_Galler_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.5
-;;;Ott Damian;**;;;;;;;9.0
+;3;9.0;Rhyner Michael;**;8;56.5;1;10.0;-2;1.0;10.0
+;4;19.0;Räbsamen Marcel;*;3;57.75;3;19.5;-1;0.5;10.0
+;4;29.0;Schlegel Werner;**;2;58.0;3;29.5;-1;0.5;9.75
+;1;38.75;Riget Tobias;**;6;57.0;2;38.5;1;-0.25;9.75
+;2;48.5;Schneider Mario;**;4;57.5;1;48.75;-1;0.25;10.0

2a;Schlegel Werner;**;;;;;;;;;58.0
+;;;Rychen Roger;***;;;;;;;10.0
+;1;10.0;Schlegel Sandro;**;5;57.25;2;9.75;1;-0.25;9.75
+;2;19.75;Oettli Marco;**;8;56.5;3;19.5;1;-0.25;9.75
o;3;29.5;Giger Samuel;***;1;58.5;4;29.0;1;-0.5;8.5
+;4;38.0;Brülisauer Dominik;;12;55.5;3;38.25;-1;0.25;10.0
+;4;48.0;Effinger Markus;*;8;56.5;4;48.0;0;0.0;10.0

3a;Räbsamen Marcel;*;;;;;;;;;57.75
+;;;Blaser Christian;**;;;;;;;9.75
+;2;9.75;Giger Urs;*;12;55.5;1;10.0;-1;0.25;9.75
o;3;19.5;Giger Samuel;***;1;58.5;4;19.0;1;-0.5;8.5
+;8;28.0;Rhyner Beni;;17;54.25;6;28.5;-2;0.5;10.0
+;4;38.0;Dörig Erich;*;11;55.75;7;37.25;3;-0.75;10.0
+;4;48.0;Wey Nicola;*;7;56.75;3;48.25;-1;0.25;9.75

4a;Bollhalder Manuel;*;;;;;;;;;57.5
-;;;Nock Benjamin;*;;;;;;;8.75
+;4;8.75;Burkhard Tobias;;12;55.5;5;8.5;1;-0.25;10.0
+;5;18.75;Fontana Michael;*;12;55.5;6;18.5;1;-0.25;9.75
+;6;28.5;Flütsch Marco;;19;53.75;8;28.0;2;-0.5;10.0
-;2;38.5;Schlegel Sandro;**;5;57.25;3;38.25;1;-0.25;9.0
+;5;47.5;Elmer Daniel;*;11;55.75;7;47.0;2;-0.5;10.0

4b;Schneider Mario;**;;;;;;;;;57.5
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Fausch Kjetil;*;7;56.75;1;10.0;-3;1.25;10.0
+;5;18.75;Schlegel Reto;*;7;56.75;2;19.75;-3;1.0;10.0
+;5;28.75;Baumgartner Ramon;;5;57.25;1;30.0;-4;1.25;10.0
+;1;38.75;Rychen Roger;***;8;56.5;4;38.0;3;-0.75;10.0
o;1;48.75;Giger Samuel;***;1;58.5;2;48.5;1;-0.25;8.75

5a;Notz Beni;***;;;;;;;;;57.25
-;;;Bernold Christian;**;;;;;;;8.75
+;4;8.75;Rüegg Fabian;*;6;57.0;1;10.0;-3;1.25;9.75
+;6;18.5;Schläpfer Matthias;*;15;54.75;10;17.25;4;-1.25;10.0
+;6;28.5;Kamer Hanspeter;*;12;55.5;6;28.5;0;0.0;10.0
+;2;38.5;Rhyner Michael;**;8;56.5;3;38.25;1;-0.25;10.0
