2818-2015-07-12_Fete_romande-ST

1a;Fankhauser Erich;***;;;;;;;;;58.75
11i;Tenthorey Matthieu;;;;;;;;;;55.5
+;;;Reichenbach Ryan (1999);;;;;;;;10.0
o;1;10.0;Gottofrey Luc (1997);;10;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Mariéthoz Grégory (1999);;13;55.0;5;18.5;0;0.0;8.5
o;11;27.0;Taillard Virgile (1998);;13;55.0;11;27.0;0;0.0;8.5
+;13;35.5;Roux Dimitri (1997);;22;52.5;13;35.5;0;0.0;10.0
+;14;45.5;Croisier Anthony;;17;54.0;14;45.5;0;0.0;10.0

11j;Cardinaux Victor;*;;;;;;;;;55.5
o;;;Borcard Johann;*;;;;;;;8.5
+;5;8.5;Berset Cyril;;8;56.25;1;10.0;-4;1.5;10.0
o;5;18.5;Guisolan Marc;**;6;56.75;5;18.5;0;0.0;8.5
+;11;27.0;Lützelschwab Luc (1999);;11;55.5;5;28.5;-6;1.5;10.0
o;8;37.0;Gapany Benjamin;**;5;57.0;6;37.5;-2;0.5;8.5
+;14;45.5;Pürro Tobias (1997);;14;54.75;11;46.25;-3;0.75;10.0

11k;Hayoz Paul (1998);;;;;;;;;;55.5
-;;;Haldi Sami;;;;;;;;8.75
+;4;8.75;Ambresin Cyril (1999);;17;54.0;4;8.75;0;0.0;10.0
+;4;18.75;Heiniger Vincent;*;12;55.25;5;18.5;1;-0.25;9.75
+;5;28.5;Mariéthoz Grégory (1999);;13;55.0;6;28.25;1;-0.25;9.75
o;4;38.25;Liaudat Rudy;*;6;56.75;4;38.25;0;0.0;8.75
o;8;47.0;Matthey Mickaël;**;5;57.0;8;47.0;0;0.0;8.5

11l;Giroud Jonathan;**;;;;;;;;;55.5
o;;;Kropf Rolf;**;;;;;;;8.5
+;5;8.5;Schafer Damien;;12;55.25;1;10.0;-4;1.5;10.0
o;5;18.5;Gapany Benjamin;**;5;57.0;5;18.5;0;0.0;8.5
+;11;27.0;Schneiter Jérémy;;18;53.75;6;28.25;-5;1.25;9.75
-;9;36.75;Wicky Jonathan;;13;55.0;10;36.5;1;-0.25;8.75
+;14;45.5;Menoud Timothée (1999);;17;54.0;14;45.5;0;0.0;10.0

12a;Berger Dilan (1998);;;;;;;;;;55.25
+;;;Buchs Remo (1999);;;;;;;;10.0
o;1;10.0;Buchs Carlo;;11;55.5;1;10.0;0;0.0;8.5
o;5;18.5;Kramer Dorian (1999);;12;55.25;4;18.75;-1;0.25;8.5
+;11;27.0;Lachavanne Noé (1999);;22;52.5;11;27.0;0;0.0;10.0
o;8;37.0;Mosimann Vincent;*;11;55.5;12;35.75;4;-1.25;8.5
+;14;45.5;Martin Jérémy (1998);;18;53.75;15;45.25;1;-0.25;9.75

12b;Heiniger Vincent;*;;;;;;;;;55.25
+;;;Emonet Frédéric;*;;;;;;;9.75
o;2;9.75;Pellet Michael;**;7;56.5;5;8.5;3;-1.25;8.75
o;5;18.5;Hayoz Paul (1998);;11;55.5;4;18.75;-1;0.25;8.5
+;11;27.0;Pellet Adrian (1997);;17;54.0;5;28.5;-6;1.5;10.0
o;8;37.0;Süess Gerry;***;11;55.5;11;36.0;3;-1.0;8.5
+;14;45.5;Blanchard Benjamin (1997);;17;54.0;14;45.5;0;0.0;9.75

12c;Rappo Yann (1998);;;;;;;;;;55.25
+;;;Valvini Maxime;;;;;;;;9.75
o;2;9.75;Skryapnik Oleg;*;12;55.25;5;8.5;3;-1.25;8.5
o;6;18.25;Vonlanthen Alexandre;;12;55.25;5;18.5;-1;0.25;8.5
+;12;26.75;Goy Sébastien;;19;53.5;12;26.75;0;0.0;10.0
+;9;36.75;Martin Jérémy (1998);;18;53.75;9;36.75;0;0.0;10.0
o;9;46.75;Casarico Fabio;*;6;56.75;9;46.75;0;0.0;8.5

12d;Parvex Yannick;;;;;;;;;;55.25
o;;;Vonlanthen Alexandre;;;;;;;;8.5
+;5;8.5;Curty Alexandre;;17;54.0;5;8.5;0;0.0;10.0
+;5;18.5;Mosimann Vincent;*;11;55.5;5;18.5;0;0.0;9.75
o;6;28.25;Haenni Stéphane;**;7;56.5;9;27.5;3;-0.75;8.5
o;9;36.75;Schafer Damien;;12;55.25;9;36.75;0;0.0;8.5
+;15;45.25;Chavagnat Benoît (1999);;18;53.75;15;45.25;0;0.0;10.0

12e;Vonlanthen Alexandre;;;;;;;;;;55.25
+;;;Parvex Yannick;;;;;;;;10.0
o;1;10.0;Glauser Thomas;**;6;56.75;5;8.5;4;-1.5;8.5
+;5;18.5;Rappo Yann (1998);;12;55.25;6;18.25;1;-0.25;9.75
o;6;28.25;Minder Florian;;7;56.5;6;28.25;0;0.0;8.5
+;9;36.75;Derron Julien (1997);;13;55.0;9;36.75;0;0.0;10.0
o;9;46.75;Borcard Johann;*;5;57.0;8;47.0;-1;0.25;8.5

12f;Emonet Frédéric;*;;;;;;;;;55.25
o;;;Heiniger Vincent;*;;;;;;;8.5
+;5;8.5;Dufey Gil (1997);;14;54.75;1;10.0;-4;1.5;9.75
o;6;18.25;Piemontesi Pascal;**;2;58.0;5;18.5;-1;0.25;8.5
+;12;26.75;Croisier Anthony;;17;54.0;7;28.0;-5;1.25;10.0
o;9;36.75;Gottofrey Luc (1997);;10;55.75;7;37.25;-2;0.5;8.5
+;15;45.25;Ambresin Cyril (1999);;17;54.0;14;45.5;-1;0.25;10.0

12g;Ducry Antoine;;;;;;;;;;55.25
+;;;Pürro Christian (1999);;;;;;;;10.0
o;1;10.0;Duplan Steve (1997);*;6;56.75;5;8.5;4;-1.5;8.5
+;5;18.5;Mollet Adrian;;22;52.5;5;18.5;0;0.0;9.75
o;6;28.25;Brodard Simon;**;11;55.5;10;27.25;4;-1.0;8.5
+;9;36.75;Burgy Matt (1999);;18;53.75;9;36.75;0;0.0;10.0
o;9;46.75;Guisolan Marc;**;6;56.75;9;46.75;0;0.0;8.5

12h;Kramer Dorian (1999);;;;;;;;;;55.25
+;;;Martin Jérémy (1998);;;;;;;;10.0
-;1;10.0;Portmann Fabio (1998);;20;53.25;1;10.0;0;0.0;8.75
+;4;18.75;Berger Dilan (1998);;12;55.25;5;18.5;1;-0.25;9.75
o;5;28.5;Skryapnik Oleg;*;12;55.25;11;27.0;6;-1.5;8.5
+;8;37.0;Capt Stéphane;;17;54.0;8;37.0;0;0.0;9.75
o;9;46.75;Gottofrey Marc;*;4;57.25;7;47.25;-2;0.5;8.5

12i;Hayoz Quentin;;;;;;;;;;55.25
+;;;Emonet Fabien;;;;;;;;9.75
o;2;9.75;Droxler Jonathan;*;13;55.0;5;8.5;3;-1.25;8.5
