5670-2021-09-04_113_NWSV_Schwingfest-ST

1a;Vogel Remo;*;;;;;;;;;65.0

5a;Hermann Oliver;**;;;;;;;;;56.75
o;;;Duplan Steve;***;;;;;;;8.5
+;5;8.5;Christ Dario (2003);*;10;55.25;5;8.5;0;0.0;10.0
+;6;18.5;Frank Marius (2004);;1;65.0;2;19.75;-4;1.25;9.75
o;3;28.25;Schurtenberger Sven;***;4;57.0;2;28.5;-1;0.25;8.75
+;8;37.0;Ancona Enea (2004);;11;55.0;9;36.75;1;-0.25;9.75
+;6;46.75;Grieder Nonda;;9;55.5;6;46.75;0;0.0;10.0

5b;Bader Fabian;*;;;;;;;;;56.75
+;;;Vogel Remo;*;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;7;56.0;5;8.5;4;-1.5;8.5
+;6;18.5;Gfeller Joel (2005);;15;54.0;2;19.75;-4;1.25;10.0
+;2;28.5;Schmid David;***;6;56.5;3;28.25;1;-0.25;9.75
o;3;38.25;Strebel Joel;***;6;56.5;4;38.0;1;-0.25;8.5
+;6;46.75;Huser Roman;;9;55.5;5;47.0;-1;0.25;10.0

6a;Erb Roger;**;;;;;;;;;56.5
+;;;Kindlimann Fabian;***;;;;;;;9.75
+;2;9.75;Joho Philip;*;9;55.5;2;9.75;0;0.0;9.75
-;3;19.5;Leuppi Samir;***;3;57.25;2;19.75;-1;0.25;8.75
o;3;28.25;Joho Pascal (2004);;9;55.5;2;28.5;-1;0.25;8.5
+;9;36.75;Stoll Thomas;*;10;55.25;8;37.0;-1;0.25;10.0
+;6;46.75;Roth Tim (2004);;10;55.25;6;46.75;0;0.0;9.75

6b;Schmid David;***;;;;;;;;;56.5
o;;;Leuppi Samir;***;;;;;;;8.5
+;5;8.5;Probst Gabriel;**;18;53.25;4;8.75;-1;0.25;10.0
+;6;18.5;Matthey Mickaël;**;7;56.0;4;19.0;-2;0.5;9.75
o;3;28.25;Bader Fabian;*;5;56.75;2;28.5;-1;0.25;8.5
+;9;36.75;Christ Dario (2003);*;10;55.25;8;37.0;-1;0.25;10.0
+;6;46.75;Reinhard Adrian;*;12;54.75;8;46.25;2;-0.5;9.75

6c;Strebel Joel;***;;;;;;;;;56.5
o;;;Wenger Kilian;***;;;;;;;8.5
+;5;8.5;Stoll Thomas;*;10;55.25;4;8.75;-1;0.25;10.0
+;6;18.5;Duplan Steve;***;26;35.75;5;18.75;-1;0.25;9.75
+;3;28.25;Stüdeli Thomas;**;6;56.5;4;28.0;1;-0.25;9.75
+;4;38.0;Bader Fabian;*;5;56.75;3;38.25;-1;0.25;9.75
-;3;47.75;Leuppi Samir;***;3;57.25;2;48.5;-1;0.75;8.75

6d;Brand Christian;**;;;;;;;;;56.5
+;;;Mangold Martin;*;;;;;;;9.75
o;2;9.75;Schurtenberger Sven;***;4;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Graber Colin;;8;55.75;5;18.75;-2;0.5;9.75
-;4;28.0;Suppiger René;***;25;36.0;7;27.25;3;-0.75;8.75
+;9;36.75;Suter Jonas (2003);;16;53.75;9;36.75;0;0.0;10.0
+;6;46.75;Joho Pascal (2004);;9;55.5;5;47.0;-1;0.25;9.75

6e;Schmid Samuel;**;;;;;;;;;56.5
+;;;Stegmüller Klemens;*;;;;;;;10.0
o;1;10.0;Matthey Mickaël;**;7;56.0;3;9.0;2;-1.0;8.5
+;6;18.5;Stark Urban;;10;55.25;2;19.75;-4;1.25;9.75
+;3;28.25;Duplan Steve;***;26;35.75;7;27.25;4;-1.0;10.0
o;3;38.25;Leuppi Samir;***;3;57.25;2;38.5;-1;0.25;8.5
+;6;46.75;Streich Sascha;;12;54.75;8;46.25;2;-0.5;9.75

6f;Stüdeli Thomas;**;;;;;;;;;56.5
+;;;Küng Marco;*;;;;;;;9.75
o;2;9.75;Döbeli Andreas;***;2;58.75;1;10.0;-1;0.25;8.5
+;7;18.25;Regenass Beat;;15;54.0;3;19.5;-4;1.25;9.75
o;4;28.0;Strebel Joel;***;6;56.5;3;28.25;-1;0.25;8.5
+;10;36.5;Stocker Niklas (2005);;16;53.75;9;36.75;-1;0.25;10.0
+;7;46.5;Stark Urban;;10;55.25;6;46.75;-1;0.25;10.0

7a;Henzer Andreas;**;;;;;;;;;56.0
-;;;Gerber Christian;***;;;;;;;8.75
+;4;8.75;Vogt Marco (2003);;19;53.0;2;9.75;-2;1.0;10.0
o;5;18.75;Schurtenberger Sven;***;4;57.0;5;18.75;0;0.0;8.5
+;7;27.25;Frank Marius (2004);;1;65.0;3;28.25;-4;1.0;10.0
-;7;37.25;Reinhard Adrian;*;12;54.75;6;37.5;-1;0.25;8.75
+;9;46.0;Schwegler Dominik;;9;55.5;5;47.0;-4;1.0;10.0

7b;Brun Samuel;**;;;;;;;;;56.0
-;;;Matthey Mickaël;**;;;;;;;9.0
+;3;9.0;Lisser Daniel;*;28;25.75;5;8.5;2;-0.5;10.0
+;4;19.0;Hasler Luis;;7;56.0;1;20.0;-3;1.0;9.75
o;1;28.75;Wenger Kilian;***;4;57.0;2;28.5;1;-0.25;8.5
+;7;37.25;Joho Pascal (2004);;9;55.5;2;38.5;-5;1.25;10.0
-;4;47.25;Hügli Kaj;**;7;56.0;4;47.25;0;0.0;8.75

7c;Hügli Kaj;**;;;;;;;;;56.0
+;;;Schmutz Adrian;*;;;;;;;10.0
-;1;10.0;Suppiger René;***;25;36.0;4;8.75;3;-1.25;8.75
+;5;18.75;Grieder Nonda;;9;55.5;1;20.0;-4;1.25;10.0
o;1;28.75;Leuppi Samir;***;3;57.25;2;28.5;1;-0.25;8.5
+;7;37.25;Stark Urban;;10;55.25;3;38.25;-4;1.0;10.0
-;4;47.25;Brun Samuel;**;7;56.0;4;47.25;0;0.0;8.75

7d;Kindlimann Fabian;***;;;;;;;;;56.0
o;;;Erb Roger;**;;;;;;;8.5
+;5;8.5;Bader Fabian;*;5;56.75;1;10.0;-4;1.5;10.0
+;6;18.5;Imobersteg Matthias;**;17;53.5;7;18.25;1;-0.25;10.0
+;2;28.5;Odermatt Adrian;*;3;57.25;1;28.75;-1;0.25;10.0
-;2;38.5;Schurtenberger Sven;***;4;57.0;3;38.25;1;-0.25;8.75
-;4;47.25;Vieira Tiago;**;7;56.0;4;47.25;0;0.0;8.75

7e;Hasler Luis;;;;;;;;;;56.0
+;;;Lisser Daniel;*;;;;;;;10.0
+;1;10.0;Abt Robin;;16;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Brun Samuel;**;7;56.0;4;19.0;3;-1.0;8.75
o;1;28.75;Odermatt Jonas (2004);;11;55.0;6;27.5;5;-1.25;8.75
o;6;37.5;Schmutz Simon;*;7;56.0;7;37.25;1;-0.25;8.5
+;9;46.0;Büttler Gian;;14;54.25;10;45.75;1;-0.25;10.0

7f;Schmutz Simon;*;;;;;;;;;56.0
-;;;Reinhard Adrian;*;;;;;;;9.0
+;3;9.0;Strebel Dominic (2005);;14;54.25;1;10.0;-2;1.0;10.0
+;4;19.0;Nussbaumer Gabriel;;12;54.75;5;18.75;1;-0.25;9.75
o;1;28.75;Döbeli Andreas;***;2;58.75;1;28.75;0;0.0;8.5
+;7;37.25;Hasler Luis;;7;56.0;6;37.5;-1;0.25;10.0
o;4;47.25;Matthey Mickaël;**;7;56.0;8;46.25;4;-1.0;8.75

7g;Vieira Tiago;**;;;;;;;;;56.0
+;;;Scherrer Johann;**;;;;;;;10.0
o;1;10.0;Wenger Kilian;***;4;57.0;1;10.0;0;0.0;8.5
-;6;18.5;Streich Sascha;;12;54.75;5;18.75;-1;0.25;8.75
+;7;27.25;Ancona Enea (2004);;11;55.0;3;28.25;-4;1.0;10.0
+;7;37.25;Imobersteg Matthias;**;17;53.5;10;36.5;3;-0.75;10.0
-;4;47.25;Kindlimann Fabian;***;7;56.0;4;47.25;0;0.0;8.75

7h;Matthey Mickaël;**;;;;;;;;;56.0
-;;;Brun Samuel;**;;;;;;;9.0
+;3;9.0;Schmid Samuel;**;6;56.5;1;10.0;-2;1.0;10.0
o;4;19.0;Schmid David;***;6;56.5;6;18.5;2;-0.5;8.75
+;5;27.75;Nussbaumer Dominik;;16;53.75;3;28.25;-2;0.5;10.0
o;5;37.75;Döbeli Andreas;***;2;58.75;1;38.75;-4;1.0;8.5
+;8;46.25;Schmutz Simon;*;7;56.0;4;47.25;-4;1.0;9.75

8a;Graber Colin;;;;;;;;;;55.75
+;;;Dobler Florian;;;;;;;;10.0
-;1;10.0;Schmutz Adrian;*;8;55.75;5;8.5;4;-1.5;8.75
o;5;18.75;Brand Christian;**;6;56.5;7;18.25;2;-0.5;8.5
-;7;27.25;Bachmann Sämi;;8;55.75;7;27.25;0;0.0;8.75
+;12;36.0;Späti Jan;;12;54.75;12;36.0;0;0.0;9.75
+;10;45.75;Imobersteg Matthias;**;17;53.5;13;45.0;3;-0.75;10.0

8b;Mangold Michael;**;;;;;;;;;55.75
+;;;Kohler Adrian;*;;;;;;;10.0
o;1;10.0;Leuppi Samir;***;3;57.25;2;9.75;1;-0.25;8.75
+;5;18.75;Bachmann Sämi;;8;55.75;5;18.75;0;0.0;9.75
-;2;28.5;Gerber Christian;***;8;55.75;7;27.25;5;-1.25;8.75
+;7;37.25;Odermatt Jonas (2004);;11;55.0;6;37.5;-1;0.25;10.0
o;4;47.25;Odermatt Adrian;*;3;57.25;4;47.25;0;0.0;8.5

8c;Bachmann Sämi;;;;;;;;;;55.75
+;;;Jehle Aaron (2005);;;;;;;;10.0
-;1;10.0;Widmer David;**;13;54.5;4;8.75;3;-1.25;8.75
o;5;18.75;Mangold Michael;**;8;55.75;5;18.75;0;0.0;8.5
-;7;27.25;Graber Colin;;8;55.75;7;27.25;0;0.0;8.75
+;12;36.0;Steger Robert;;20;52.75;13;35.75;1;-0.25;9.75
+;10;45.75;Gfeller Joel (2005);;15;54.0;11;45.5;1;-0.25;10.0

8d;Schmutz Adrian;*;;;;;;;;;55.75
o;;;Hügli Kaj;**;;;;;;;8.5
-;5;8.5;Graber Colin;;8;55.75;1;10.0;-4;1.5;8.75
+;10;17.25;Schärer Nico (2004);;11;55.0;6;18.5;-4;1.25;10.0
-;7;27.25;Schwegler Dominik;;9;55.5;3;28.25;-4;1.0;8.75
+;12;36.0;Dünner Tobias (2005);;16;53.75;9;36.75;-3;0.75;9.75
+;10;45.75;Suter Jonas (2003);;16;53.75;12;45.25;2;-0.5;10.0

8e;Gerber Christian;***;;;;;;;;;55.75
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Stoll Simon;**;9;55.5;1;10.0;-3;1.25;10.0
o;5;18.75;Räbmatter Patrick;***;3;57.25;5;18.75;0;0.0;8.5
-;7;27.25;Mangold Michael;**;8;55.75;2;28.5;-5;1.25;8.75
+;12;36.0;Kohler Adrian;*;9;55.5;8;37.0;-4;1.0;9.75
+;10;45.75;Ris Jörn;*;9;55.5;5;47.0;-5;1.25;10.0

9a;Joho Pascal (2004);;;;;;;;;;55.5
+;;;Büttler Gian;;;;;;;;9.75
+;2;9.75;Späti Jan;;12;54.75;3;9.0;1;-0.75;10.0
o;2;19.75;Odermatt Adrian;*;3;57.25;5;18.75;3;-1.0;8.75
+;2;28.5;Erb Roger;**;6;56.5;3;28.25;1;-0.25;10.0
o;2;38.5;Brun Samuel;**;7;56.0;7;37.25;5;-1.25;8.5
o;5;47.0;Brand Christian;**;6;56.5;6;46.75;1;-0.25;8.5

9b;Kohler Adrian;*;;;;;;;;;55.5
o;;;Mangold Michael;**;;;;;;;8.5
-;5;8.5;Schwegler Dominik;;9;55.5;2;9.75;-3;1.25;8.75
+;10;17.25;Strebel Dominic (2005);;14;54.25;6;18.5;-4;1.25;10.0
+;7;27.25;Dünner Tobias (2005);;16;53.75;3;28.25;-4;1.0;9.75
o;8;37.0;Gerber Christian;***;8;55.75;12;36.0;4;-1.0;8.5
+;11;45.5;Schreiber Raphael (2004);;15;54.0;11;45.5;0;0.0;10.0

9c;Ris Jörn;*;;;;;;;;;55.5
o;;;Joho Philip;*;;;;;;;8.75
o;4;8.75;Räbmatter Patrick;***;3;57.25;4;8.75;0;0.0;8.5
+;10;17.25;Abt Robin;;16;53.75;7;18.25;-3;1.0;10.0
+;7;27.25;Gisin Yanic;;19;53.0;7;27.25;0;0.0;9.75
+;8;37.0;Strebel Dominic (2005);;14;54.25;9;36.75;1;-0.25;10.0
o;5;47.0;Gerber Christian;***;8;55.75;10;45.75;5;-1.25;8.5

9d;Joho Philip;*;;;;;;;;;55.5
+;;;Ris Jörn;*;;;;;;;9.75
o;2;9.75;Erb Roger;**;6;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Christ Marino (2005);;12;54.75;7;18.25;0;0.0;10.0
o;3;28.25;Räbmatter Patrick;***;3;57.25;1;28.75;-2;0.5;8.5
-;9;36.75;Streich Sascha;;12;54.75;6;37.5;-3;0.75;8.75
+;11;45.5;Scherrer Johann;**;13;54.5;9;46.0;-2;0.5;10.0

9e;Schwegler Dominik;;;;;;;;;;55.5
+;;;Schick Janis (2003);;;;;;;;9.75
-;2;9.75;Kohler Adrian;*;9;55.5;5;8.5;3;-1.25;8.75
+;6;18.5;Hengartner Tobias (2003);;24;36.25;5;18.75;-1;0.25;9.75
-;3;28.25;Schmutz Adrian;*;8;55.75;7;27.25;4;-1.0;8.75
+;8;37.0;Nussbaumer Dominik;;16;53.75;9;36.75;1;-0.25;10.0
o;5;47.0;Henzer Andreas;**;7;56.0;9;46.0;4;-1.0;8.5

9f;Huser Roman;;;;;;;;;;55.5
o;;;Müller Christian;;;;;;;;8.5
-;5;8.5;Büttler Gian;;14;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Furter Jannis (2004);;19;53.0;9;17.5;-1;0.25;9.75
+;8;27.0;Hengartner Jonas (2005);;14;54.25;9;26.75;1;-0.25;10.0
+;8;37.0;Küng Marco;*;15;54.0;13;35.75;5;-1.25;10.0
o;5;47.0;Bader Fabian;*;5;56.75;6;46.75;1;-0.25;8.5

9g;Stoll Simon;**;;;;;;;;;55.5
+;;;Reimann Marco;*;;;;;;;10.0
o;1;10.0;Gerber Christian;***;8;55.75;4;8.75;3;-1.25;8.5
-;6;18.5;Dünner Tobias (2005);;16;53.75;3;19.5;-3;1.0;8.75
+;7;27.25;Grieder Nonda;;9;55.5;2;28.5;-5;1.25;10.0
+;7;37.25;Schreiber Raphael (2004);;15;54.0;8;37.0;1;-0.25;9.75
o;5;47.0;Wenger Kilian;***;4;57.0;5;47.0;0;0.0;8.5

9h;Grieder Nonda;;;;;;;;;;55.5
+;;;Christ Dario (2003);*;;;;;;;10.0
+;1;10.0;Stocker Niklas (2005);;16;53.75;1;10.0;0;0.0;10.0
o;1;20.0;Hügli Kaj;**;7;56.0;5;18.75;4;-1.25;8.5
o;2;28.5;Stoll Simon;**;9;55.5;7;27.25;5;-1.25;8.5
+;8;37.0;Gfeller Joel (2005);;15;54.0;8;37.0;0;0.0;9.75
o;6;46.75;Hermann Oliver;**;5;56.75;6;46.75;0;0.0;8.75

10a;Roth Tim (2004);;;;;;;;;;55.25
+;;;Gisin Yanic;;;;;;;;9.75
-;2;9.75;Scherrer Johann;**;13;54.5;5;8.5;3;-1.25;8.75
+;6;18.5;Stegmüller Klemens;*;12;54.75;7;18.25;1;-0.25;9.75
+;3;28.25;Hengartner Tobias (2003);;24;36.25;6;27.5;3;-0.75;10.0
o;3;38.25;Odermatt Adrian;*;3;57.25;7;37.25;4;-1.0;8.5
o;6;46.75;Erb Roger;**;6;56.5;6;46.75;0;0.0;8.5

10b;Stoll Thomas;*;;;;;;;;;55.25
-;;;Widmer David;**;;;;;;;8.75
o;4;8.75;Strebel Joel;***;6;56.5;5;8.5;1;-0.25;8.5
+;10;17.25;Reinhard Roman (2005);;17;53.5;6;18.5;-4;1.25;10.0
+;7;27.25;Nussbaumer Gabriel;;12;54.75;6;27.5;-1;0.25;9.75
o;8;37.0;Erb Roger;**;6;56.5;9;36.75;1;-0.25;8.5
+;11;45.5;Stocker Niklas (2005);;16;53.75;12;45.25;1;-0.25;9.75

10c;Böni Ralf (2004);;;;;;;;;;55.25
-;;;Rickenbacher Cedric;;;;;;;;8.75
o;4;8.75;Ancona Enea (2004);;11;55.0;2;9.75;-2;1.0;8.5
o;10;17.25;Stampfli Simon (2004);;19;53.0;10;17.25;0;0.0;8.5
+;12;25.75;Thommen Nick;;16;53.75;13;25.5;1;-0.25;9.75
+;14;35.5;Wiedmer Lukas;;21;52.5;15;35.25;1;-0.25;10.0
+;11;45.5;Schick Janis (2003);;17;53.5;13;45.0;2;-0.5;9.75

10d;Christ Dario (2003);*;;;;;;;;;55.25
o;;;Grieder Nonda;;;;;;;;8.5
o;5;8.5;Hermann Oliver;**;5;56.75;5;8.5;0;0.0;8.5
+;11;17.0;Suter Jonas (2003);;16;53.75;6;18.5;-5;1.5;10.0
+;8;27.0;Kulmer Nick (2004);;21;52.5;9;26.75;1;-0.25;10.0
o;8;37.0;Schmid David;***;6;56.5;9;36.75;1;-0.25;8.5
+;11;45.5;Nussbaumer Gabriel;;12;54.75;9;46.0;-2;0.5;9.75

10e;Stark Urban;;;;;;;;;;55.25
+;;;Steger Robert;;;;;;;;9.75
+;2;9.75;Reimann Marco;*;19;53.0;5;8.5;3;-1.25;10.0
o;2;19.75;Schmid Samuel;**;6;56.5;6;18.5;4;-1.25;8.5
+;3;28.25;Stocker Niklas (2005);;16;53.75;3;28.25;0;0.0;10.0
o;3;38.25;Hügli Kaj;**;7;56.0;7;37.25;4;-1.0;8.5
o;6;46.75;Stüdeli Thomas;**;6;56.5;7;46.5;1;-0.25;8.5

10f;Hermann Lukas;;;;;;;;;;55.25
o;;;Gfeller Joel (2005);;;;;;;;8.5
+;5;8.5;Wiedmer Lukas;;21;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Frank Marius (2004);;1;65.0;2;19.75;-5;1.5;8.5
o;9;26.75;Abt Robin;;16;53.75;9;26.75;0;0.0;8.5
+;15;35.25;Rickenbacher Cedric;;19;53.0;14;35.5;-1;0.25;10.0
+;12;45.25;Nyffenegger Florian;;14;54.25;10;45.75;-2;0.5;10.0

11a;Odermatt Jonas (2004);;;;;;;;;;55.0
-;;;Vogt Fredy;;;;;;;;8.75
+;4;8.75;Schärer Nico (2004);;11;55.0;1;10.0;-3;1.25;10.0
-;5;18.75;Vogel Remo;*;1;65.0;9;17.5;4;-1.25;8.75
+;6;27.5;Hasler Luis;;7;56.0;1;28.75;-5;1.25;10.0
o;6;37.5;Mangold Michael;**;8;55.75;7;37.25;1;-0.25;8.5
-;9;46.0;Stegmüller Klemens;*;12;54.75;10;45.75;1;-0.25;9.0

11b;Ancona Enea (2004);;;;;;;;;;55.0
+;;;Böni Ralf (2004);;;;;;;;9.75
o;2;9.75;Imobersteg Matthias;**;17;53.5;5;8.5;3;-1.25;8.5
+;7;18.25;Halbeisen Florian (2005);;21;52.5;11;17.0;4;-1.25;10.0
o;3;28.25;Vieira Tiago;**;7;56.0;7;27.25;4;-1.0;8.5
o;9;36.75;Hermann Oliver;**;5;56.75;8;37.0;-1;0.25;8.5
+;12;45.25;Dünner Tobias (2005);;16;53.75;12;45.25;0;0.0;9.75

11c;Schärer Nico (2004);;;;;;;;;;55.0
+;;;Regenass Reto;;;;;;;;10.0
o;1;10.0;Odermatt Jonas (2004);;11;55.0;4;8.75;3;-1.25;8.5
o;6;18.5;Schmutz Adrian;*;8;55.75;10;17.25;4;-1.25;8.5
+;8;27.0;Hengartner Jonas (2005);;14;54.25;9;26.75;1;-0.25;9.75
o;9;36.75;Stegmüller Klemens;*;12;54.75;13;35.75;4;-1.0;8.5
+;12;45.25;Caviezel Nicolas (2003);;15;54.0;11;45.5;-1;0.25;9.75

11d;Mangold Martin;*;;;;;;;;;55.0
o;;;Brand Christian;**;;;;;;;8.5
+;5;8.5;Nussbaumer Dominik;;16;53.75;2;9.75;-3;1.25;9.75
o;7;18.25;Suppiger René;***;25;36.0;9;17.5;2;-0.75;8.5
+;9;26.75;Nyffenegger Florian;;14;54.25;7;27.25;-2;0.5;9.75
+;10;36.5;Christ Marino (2005);;12;54.75;10;36.5;0;0.0;10.0
o;7;46.5;Schurtenberger Sven;***;4;57.0;5;47.0;-2;0.5;8.5

12a;Späti Jan;;;;;;;;;;54.75
-;;;Nyffenegger Florian;;;;;;;;9.0
o;3;9.0;Joho Pascal (2004);;9;55.5;2;9.75;-1;0.75;8.5
+;9;17.5;Maltsev Stepan (2005);;20;52.75;6;18.5;-3;1.0;9.75
o;7;27.25;Vogel Remo;*;1;65.0;10;26.25;3;-1.0;8.75
o;12;36.0;Graber Colin;;8;55.75;12;36.0;0;0.0;8.75
+;14;44.75;Reinhard Roman (2005);;17;53.5;13;45.0;-1;0.25;10.0

12b;Nussbaumer Gabriel;;;;;;;;;;54.75
-;;;Probst Gabriel;**;;;;;;;8.75
+;4;8.75;Caviezel Nicolas (2003);;15;54.0;4;8.75;0;0.0;10.0
o;5;18.75;Schmutz Simon;*;7;56.0;4;19.0;-1;0.25;8.75
o;6;27.5;Stoll Thomas;*;10;55.25;7;27.25;1;-0.25;8.5
+;12;36.0;Frank Marius (2004);;1;65.0;9;36.75;-3;0.75;10.0
o;9;46.0;Christ Dario (2003);*;10;55.25;11;45.5;2;-0.5;8.75

12c;Christ Marino (2005);;;;;;;;;;54.75
o;;;Regenass Beat;;;;;;;;8.5
+;5;8.5;Kulmer Nick (2004);;21;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Joho Philip;*;9;55.5;7;18.25;0;0.0;8.5
+;9;26.75;Maltsev Stepan (2005);;20;52.75;8;27.0;-1;0.25;9.75
o;10;36.5;Mangold Martin;*;11;55.0;10;36.5;0;0.0;8.5
+;13;45.0;Gisin Yanic;;19;53.0;15;44.5;2;-0.5;9.75

12d;Streich Sascha;;;;;;;;;;54.75
+;;;Schreiber Raphael (2004);;;;;;;;10.0
-;1;10.0;Reinhard Adrian;*;12;54.75;3;9.0;2;-1.0;8.75
-;5;18.75;Vieira Tiago;**;7;56.0;6;18.5;1;-0.25;8.75
+;6;27.5;Müller Christian;;27;35.5;8;27.0;2;-0.5;10.0
-;6;37.5;Joho Philip;*;9;55.5;9;36.75;3;-0.75;8.75
o;8;46.25;Schmid Samuel;**;6;56.5;6;46.75;-2;0.5;8.5

12e;Stegmüller Klemens;*;;;;;;;;;54.75
o;;;Schmid Samuel;**;;;;;;;8.5
+;5;8.5;Müller Christian;;27;35.5;1;10.0;-4;1.5;9.75
o;7;18.25;Roth Tim (2004);;10;55.25;6;18.5;-1;0.25;8.5
-;9;26.75;Fricker Ivo;;23;45.75;8;27.0;-1;0.25;9.0
+;13;35.75;Schärer Nico (2004);;11;55.0;9;36.75;-4;1.0;10.0
-;10;45.75;Odermatt Jonas (2004);;11;55.0;9;46.0;-1;0.25;9.0

12f;Reinhard Adrian;*;;;;;;;;;54.75
-;;;Schmutz Simon;*;;;;;;;9.0
-;3;9.0;Streich Sascha;;12;54.75;1;10.0;-2;1.0;8.75
+;8;17.75;Schick Janis (2003);;17;53.5;7;18.25;-1;0.5;9.75
+;6;27.5;Regenass Beat;;15;54.0;4;28.0;-2;0.5;10.0
-;6;37.5;Henzer Andreas;**;7;56.0;7;37.25;1;-0.25;8.75
o;8;46.25;Schmid David;***;6;56.5;6;46.75;-2;0.5;8.5
