5670-2021-09-04_113_NWSV_Schwingfest-ST

1a;Vogel Remo;*;;;;;;;;;65.0
o;;;Bader Fabian;*;;;;;;;8.5
-;5;8.5;Hengartner Tobias (2003);;24;36.25;2;9.75;-3;1.25;9.0
-;9;17.5;Odermatt Jonas (2004);;11;55.0;5;18.75;-4;1.25;8.75
+;10;26.25;Späti Jan;;12;54.75;7;27.25;-3;1.0;9.75
-;12;36.0;Büttler Gian;;14;54.25;9;36.75;-3;0.75;9.0
+;13;45.0;Burkhardt Roy;;14;54.25;10;45.75;-3;0.75;10.0
+;10;55.0;Probst Gabriel;**;18;53.25;17;53.25;7;-1.75;10.0

1b;Frank Marius (2004);;;;;;;;;;65.0
+;;;Halbeisen Florian (2005);;;;;;;;10.0
+;1;10.0;Hermann Lukas;;10;55.25;5;8.5;4;-1.5;9.75
o;2;19.75;Hermann Oliver;**;5;56.75;6;18.5;4;-1.25;8.5
o;3;28.25;Henzer Andreas;**;7;56.0;7;27.25;4;-1.0;8.5
o;9;36.75;Nussbaumer Gabriel;;12;54.75;12;36.0;3;-0.75;8.5
+;12;45.25;Nussbaumer Dominik;;16;53.75;12;45.25;0;0.0;9.75
+;10;55.0;Abt Robin;;16;53.75;15;53.75;5;-1.25;10.0

2a;Döbeli Andreas;***;;;;;;;;;58.75
+;;;Suppiger René;***;;;;;;;10.0
+;1;10.0;Stüdeli Thomas;**;6;56.5;2;9.75;1;-0.25;10.0
-;1;20.0;Wenger Kilian;***;4;57.0;2;19.75;1;-0.25;8.75
+;1;28.75;Schmutz Simon;*;7;56.0;1;28.75;0;0.0;10.0
+;1;38.75;Matthey Mickaël;**;7;56.0;5;37.75;4;-1.0;10.0
+;1;48.75;Räbmatter Patrick;***;3;57.25;2;48.5;1;-0.25;10.0

3a;Räbmatter Patrick;***;;;;;;;;;57.25
-;;;Schurtenberger Sven;***;;;;;;;8.75
+;4;8.75;Ris Jörn;*;9;55.5;4;8.75;0;0.0;10.0
+;5;18.75;Gerber Christian;***;8;55.75;5;18.75;0;0.0;10.0
+;1;28.75;Joho Philip;*;9;55.5;3;28.25;2;-0.5;10.0
+;1;38.75;Wenger Kilian;***;4;57.0;2;38.5;1;-0.25;9.75
o;2;48.5;Döbeli Andreas;***;2;58.75;1;48.75;-1;0.25;8.75

3b;Odermatt Adrian;*;;;;;;;;;57.25
+;;;Imobersteg Matthias;**;;;;;;;10.0
-;1;10.0;Duplan Steve;***;26;35.75;1;10.0;0;0.0;8.75
+;5;18.75;Joho Pascal (2004);;9;55.5;2;19.75;-3;1.0;10.0
o;1;28.75;Kindlimann Fabian;***;7;56.0;2;28.5;1;-0.25;8.5
+;7;37.25;Roth Tim (2004);;10;55.25;3;38.25;-4;1.0;10.0
+;4;47.25;Mangold Michael;**;8;55.75;4;47.25;0;0.0;10.0

3c;Leuppi Samir;***;;;;;;;;;57.25
+;;;Schmid David;***;;;;;;;9.75
+;2;9.75;Mangold Michael;**;8;55.75;1;10.0;-1;0.25;10.0
-;2;19.75;Erb Roger;**;6;56.5;3;19.5;1;-0.25;8.75
+;2;28.5;Hügli Kaj;**;7;56.0;1;28.75;-1;0.25;10.0
+;2;38.5;Schmid Samuel;**;6;56.5;3;38.25;1;-0.25;10.0
-;2;48.5;Strebel Joel;***;6;56.5;3;47.75;1;-0.75;8.75

4a;Wenger Kilian;***;;;;;;;;;57.0
+;;;Strebel Joel;***;;;;;;;10.0
+;1;10.0;Vieira Tiago;**;7;56.0;1;10.0;0;0.0;9.75
-;2;19.75;Döbeli Andreas;***;2;58.75;1;20.0;-1;0.25;8.75
+;2;28.5;Brun Samuel;**;7;56.0;1;28.75;-1;0.25;10.0
o;2;38.5;Räbmatter Patrick;***;3;57.25;1;38.75;-1;0.25;8.5
+;5;47.0;Stoll Simon;**;9;55.5;5;47.0;0;0.0;10.0

4b;Schurtenberger Sven;***;;;;;;;;;57.0
-;;;Räbmatter Patrick;***;;;;;;;8.75
+;4;8.75;Brand Christian;**;6;56.5;2;9.75;-2;1.0;10.0
+;5;18.75;Henzer Andreas;**;7;56.0;5;18.75;0;0.0;9.75
+;2;28.5;Hermann Oliver;**;5;56.75;3;28.25;1;-0.25;9.75
-;3;38.25;Kindlimann Fabian;***;7;56.0;2;38.5;-1;0.25;8.75
+;5;47.0;Mangold Martin;*;11;55.0;7;46.5;2;-0.5;10.0
