3310-2016-05-29_102_StGaller_Kantonalschwingfest-ST

1a;Clopath Beat;***;;;;;;;;;58.25
+;4;28.25;Brühlmann Martin;*;12;55.25;4;28.25;0;0.0;9.75
+;4;38.0;Battaglia Ursin;**;12;55.25;4;38.0;0;0.0;9.75
o;4;47.75;Schneider Mario;**;2;57.75;3;48.0;-1;0.25;8.5

8d;Raymann David;;;;;;;;;;56.25
-;;;Keller Lukas;;;;;;;;8.75
+;4;8.75;Schegg Daniel (2000);;19;53.5;2;9.75;-2;1.0;9.75
+;6;18.5;Gschwend Walter;*;28;34.25;10;17.25;4;-1.25;10.0
o;3;28.5;Schläpfer Markus;**;6;56.75;8;27.25;5;-1.25;8.75
+;7;37.25;Schegg Michael;;19;53.5;10;36.5;3;-0.75;10.0
-;5;47.25;Scheiwiller Tobias;;11;55.5;7;46.75;2;-0.5;9.0

8e;Bleiker Reto;*;;;;;;;;;56.25
-;;;Straub Robin;*;;;;;;;8.75
+;4;8.75;Ott Damian (2000);;12;55.25;1;10.0;-3;1.25;10.0
-;5;18.75;Fontana Michael;;10;55.75;5;18.75;0;0.0;8.75
+;7;27.5;Schläpfer Matthias;*;10;55.75;8;27.25;1;-0.25;10.0
-;6;37.5;Bühler Hannes;*;12;55.25;5;37.75;-1;0.25;8.75
+;9;46.25;Büsser Remo;;14;54.75;9;46.25;0;0.0;10.0

8f;Giger Urs;*;;;;;;;;;56.25
+;;;Bernold Edi;**;;;;;;;10.0
-;1;10.0;Notz Beni;***;10;55.75;2;9.75;1;-0.25;8.75
-;5;18.75;Näf Pius;*;10;55.75;6;18.5;1;-0.25;9.0
o;6;27.75;Zbinden Marc;*;10;55.75;3;28.5;-3;0.75;8.5
+;11;36.25;Nigg Jakob (1999);;16;54.25;8;37.0;-3;0.75;10.0
+;9;46.25;Ott Damian (2000);;12;55.25;7;46.75;-2;0.5;10.0

9a;Rüegg Roman;*;;;;;;;;;56.0
o;;;Fejzaj Naim;*;;;;;;;8.5
-;5;8.5;Hengartner Ivo;;11;55.5;1;10.0;-4;1.5;8.75
+;10;17.25;Beck Dominik;;23;35.5;6;18.5;-4;1.25;10.0
-;8;27.25;Keller Lukas;;18;53.75;7;27.5;-1;0.25;8.75
+;12;36.0;Roth Markus;;22;52.75;13;35.75;1;-0.25;10.0
+;10;46.0;Harder Benj;;12;55.25;7;46.75;-3;0.75;10.0

9b;Good Marco;*;;;;;;;;;56.0
-;;;Schläpfer Markus;**;;;;;;;9.0
+;3;9.0;Schiess Christian;;12;55.25;2;9.75;-1;0.75;10.0
+;4;19.0;Koch Thomas;;12;55.25;6;18.5;2;-0.5;9.75
o;2;28.75;Schneider Mario;**;2;57.75;4;28.25;2;-0.5;8.5
+;7;37.25;Sprecher Sandro;*;10;55.75;6;37.5;-1;0.25;9.75
-;6;47.0;Vestner Roman;*;10;55.75;6;47.0;0;0.0;9.0

9c;Bernold Edi;**;;;;;;;;;56.0
o;;;Giger Urs;*;;;;;;;8.75
-;4;8.75;Schwyn Adrian;;11;55.5;2;9.75;-2;1.0;9.0
+;8;17.75;Thoma Nils (1999);;24;35.25;7;18.25;-1;0.5;9.75
+;7;27.5;Keller Dominic;;13;55.0;5;28.0;-2;0.5;9.75
+;7;37.25;Hersche Daniel;;13;55.0;9;36.75;2;-0.5;9.75
-;6;47.0;Zbinden Marc;*;10;55.75;7;46.75;1;-0.25;9.0

9d;Reber Marcel;*;;;;;;;;;56.0
-;;;Scherer Christian;*;;;;;;;8.75
+;4;8.75;Rütsche Werner;;14;54.75;2;9.75;-2;1.0;10.0
+;5;18.75;Peterer Ivan;**;17;54.0;6;18.5;1;-0.25;10.0
o;2;28.75;Rhyner Michael;**;7;56.5;4;28.25;2;-0.5;8.5
-;7;37.25;Vogel Beat;*;11;55.5;9;36.75;2;-0.5;8.75
+;10;46.0;Bärtsch Fabian (2000);;13;55.0;8;46.5;-2;0.5;10.0

9e;Peng Mike;***;;;;;;;;;56.0
-;;;Knechtle Martin;**;;;;;;;8.75
+;4;8.75;Kamer Hanspeter;*;12;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Bühler Ernst;**;5;57.0;5;18.75;0;0.0;10.0
o;2;28.75;Forrer Arnold;***;3;57.5;2;28.75;0;0.0;8.5
+;7;37.25;Zbinden Marc;*;10;55.75;3;38.25;-4;1.0;10.0
-;5;47.25;Oertig Adrian;**;11;55.5;7;46.75;2;-0.5;8.75

9f;Scherer Christian;*;;;;;;;;;56.0
-;;;Reber Marcel;*;;;;;;;8.75
+;4;8.75;Stauffacher Roman (2000);;24;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Pfleghart Remo;;18;53.75;6;18.5;1;-0.25;10.0
o;2;28.75;Notz Beni;***;10;55.75;8;27.25;6;-1.5;8.5
-;7;37.25;Jörger Marc;;13;55.0;7;37.25;0;0.0;9.0
+;9;46.25;Marty Jaime (2000);;12;55.25;7;46.75;-2;0.5;9.75

10a;Pfiffner Ivo;;;;;;;;;;55.75
+;;;Hersche Daniel;;;;;;;;9.75
-;2;9.75;Kuster Thomas;*;30;27.0;5;8.5;3;-1.25;8.75
-;6;18.5;Schönenberger Björn;;15;54.5;6;18.5;0;0.0;8.75
+;8;27.25;Schlegel Beni (1999);;23;35.5;9;27.0;1;-0.25;9.75
+;8;37.0;Stauffacher Martin (1998);;18;53.75;9;36.75;1;-0.25;10.0
-;6;47.0;Holenstein Christian;*;10;55.75;6;47.0;0;0.0;8.75

10b;Streuli Martin;*;;;;;;;;;55.75
-;;;Näf Pius;*;;;;;;;8.75
-;4;8.75;Fontana Michael;;10;55.75;1;10.0;-3;1.25;8.75
+;9;17.5;Arnold Christian;;17;54.0;6;18.5;-3;1.0;10.0
+;7;27.5;Langenegger Remo;;14;54.75;5;28.0;-2;0.5;9.75
+;7;37.25;Koch Thomas;;12;55.25;8;37.0;1;-0.25;10.0
o;5;47.25;Fässler Andreas;**;5;57.0;6;47.0;1;-0.25;8.5

10c;Baumann Rico;*;;;;;;;;;55.75
-;;;Schläpfer Matthias;*;;;;;;;8.75
-;4;8.75;Sprecher Sandro;*;10;55.75;1;10.0;-3;1.25;9.0
+;8;17.75;Bernold Michael (1999);;16;54.25;7;18.25;-1;0.5;9.75
+;7;27.5;Koch Reto;;15;54.5;7;27.5;0;0.0;9.75
+;7;37.25;Ochsner Reto (2000);;17;54.0;8;37.0;1;-0.25;10.0
o;5;47.25;Zwyssig Raphael;***;5;57.0;6;47.0;1;-0.25;8.5

10d;Notz Beni;***;;;;;;;;;55.75
+;;;Oertig Adrian;**;;;;;;;9.75
-;2;9.75;Giger Urs;*;8;56.25;1;10.0;-1;0.25;8.75
-;6;18.5;Orlik Curdin;**;6;56.75;6;18.5;0;0.0;8.75
+;8;27.25;Scherer Christian;*;9;56.0;2;28.75;-6;1.5;10.0
-;7;37.25;Fässler Andreas;**;5;57.0;3;38.25;-4;1.0;8.75
+;10;46.0;Hämmerli Gian-Franco;*;12;55.25;7;46.75;-3;0.75;9.75

10e;Näf Pius;*;;;;;;;;;55.75
-;;;Streuli Martin;*;;;;;;;8.75
+;4;8.75;Scherrer Willi;;15;54.5;1;10.0;-3;1.25;9.75
-;6;18.5;Giger Urs;*;8;56.25;5;18.75;-1;0.25;9.0
o;7;27.5;Hochholdinger Roman;**;15;54.5;7;27.5;0;0.0;8.5
+;12;36.0;Gerig Marcel;;13;55.0;10;36.5;-2;0.5;9.75
+;11;45.75;Nigg Jakob (1999);;16;54.25;11;45.75;0;0.0;10.0

10f;Sprecher Sandro;*;;;;;;;;;55.75
+;;;Litscher Manuel;*;;;;;;;10.0
-;1;10.0;Baumann Rico;*;10;55.75;4;8.75;3;-1.25;9.0
-;4;19.0;Knechtle Martin;**;5;57.0;5;18.75;1;-0.25;8.75
+;6;27.75;Rütsche Stefan;*;12;55.25;4;28.25;-2;0.5;9.75
o;6;37.5;Good Marco;*;9;56.0;7;37.25;1;-0.25;8.5
+;10;46.0;Breitenmoser Simon;;15;54.5;10;46.0;0;0.0;9.75

10g;Zbinden Marc;*;;;;;;;;;55.75
+;;;Vogel Beat;*;;;;;;;10.0
o;1;10.0;Orlik Armon;**;4;57.25;3;9.0;2;-1.0;8.75
+;5;18.75;Roth Martin;*;11;55.5;6;18.5;1;-0.25;9.75
+;3;28.5;Giger Urs;*;8;56.25;6;27.75;3;-0.75;9.75
o;3;38.25;Peng Mike;***;9;56.0;7;37.25;4;-1.0;8.5
-;7;46.75;Bernold Edi;**;9;56.0;6;47.0;-1;0.25;9.0

10h;Vestner Roman;*;;;;;;;;;55.75
o;;;Schneider Mario;**;;;;;;;8.5
+;5;8.5;Schlegel Beni (1999);;23;35.5;1;10.0;-4;1.5;9.75
+;7;18.25;Weber Erwin (2000);;18;53.75;6;18.5;-1;0.25;10.0
-;4;28.25;Krähenbühl Lukas;*;13;55.0;3;28.5;-1;0.25;9.0
+;7;37.25;Pfleghart Remo;;18;53.75;9;36.75;2;-0.5;9.75
-;6;47.0;Good Marco;*;9;56.0;6;47.0;0;0.0;8.75

10i;Holenstein Christian;*;;;;;;;;;55.75
-;;;Brühlmann Martin;*;;;;;;;8.75
+;4;8.75;Baumgartner Alexander;;12;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Lozza Roman;;17;54.0;1;20.0;-5;1.5;10.0
o;3;28.5;Bless Michael;***;7;56.5;4;28.25;1;-0.25;8.5
+;8;37.0;Koller Andreas (1998);;18;53.75;9;36.75;1;-0.25;10.0
-;6;47.0;Pfiffner Ivo;;10;55.75;6;47.0;0;0.0;8.75

10j;Fontana Michael;;;;;;;;;;55.75
+;;;Marty Jaime (2000);;;;;;;;10.0
-;1;10.0;Streuli Martin;*;10;55.75;4;8.75;3;-1.25;8.75
-;5;18.75;Bleiker Reto;*;8;56.25;5;18.75;0;0.0;8.75
o;7;27.5;Roth Martin;*;11;55.5;8;27.25;1;-0.25;8.5
+;12;36.0;Schönenberger Björn;;15;54.5;12;36.0;0;0.0;10.0
+;10;46.0;Scherrer Willi;;15;54.5;10;46.0;0;0.0;9.75

10k;Schmucki Ivo;;;;;;;;;;55.75
+;;;Fuster Sepp;;;;;;;;10.0
+;1;10.0;Ammann Rico;*;12;55.25;5;8.5;4;-1.5;10.0
o;1;20.0;Brühlmann Martin;*;12;55.25;6;18.5;5;-1.5;8.5
+;3;28.5;Räbsamen Marcel (2000);;11;55.5;4;28.25;1;-0.25;9.75
o;3;38.25;Hersche Martin;**;5;57.0;8;37.0;5;-1.25;8.5
-;7;46.75;Wicki Cédric;;11;55.5;8;46.5;1;-0.25;9.0

10l;Breitenmoser Manuel;;;;;;;;;;55.75
o;;;Koller Fabian;;;;;;;;8.5
+;5;8.5;Roth Sämi (2000);;24;35.25;2;9.75;-3;1.25;9.75
+;7;18.25;Wildhaber Jannik (1999);;23;35.5;6;18.5;-1;0.25;10.0
o;4;28.25;Bühler Hannes;*;12;55.25;5;28.0;1;-0.25;8.5
+;9;36.75;Schwyn Patrick (1999);;19;53.5;10;36.5;1;-0.25;10.0
-;7;46.75;Krähenbühl Lukas;*;13;55.0;10;46.0;3;-0.75;9.0

10m;Schläpfer Matthias;*;;;;;;;;;55.75
-;;;Baumann Rico;*;;;;;;;8.75
+;4;8.75;Wicki Cédric;;11;55.5;2;9.75;-2;1.0;10.0
o;5;18.75;Giger Samuel (1998);**;5;57.0;7;18.25;2;-0.5;8.5
o;8;27.25;Bleiker Reto;*;8;56.25;7;27.5;-1;0.25;8.5
+;13;35.75;Keller Dominic;;13;55.0;10;36.5;-3;0.75;10.0
+;11;45.75;Egli Martin;;13;55.0;8;46.5;-3;0.75;10.0

11a;Alder Armin;;;;;;;;;;55.5
o;;;Koch Reto;;;;;;;;8.5
+;5;8.5;Tremp Remo (1999);;18;53.75;2;9.75;-3;1.25;10.0
-;6;18.5;Scheiwiller Andreas;*;25;35.0;9;17.5;3;-1.0;8.75
o;8;27.25;Jörger Marc;;13;55.0;8;27.25;0;0.0;8.5
+;13;35.75;Streule Marco;;22;52.75;13;35.75;0;0.0;10.0
+;11;45.75;Koller Andreas (1998);;18;53.75;13;45.25;2;-0.5;9.75

11b;Wicki Cédric;;;;;;;;;;55.5
+;;;Harder Benj;;;;;;;;9.75
o;2;9.75;Schläpfer Matthias;*;10;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Sonderegger Damian;;23;35.5;6;18.5;-1;0.25;10.0
+;4;28.25;Zinniel Markus;*;23;35.5;9;27.0;5;-1.25;9.75
o;4;38.0;Schläpfer Markus;**;6;56.75;8;37.0;4;-1.0;8.5
-;8;46.5;Schmucki Ivo;;10;55.75;7;46.75;-1;0.25;9.0

11c;Roth Martin;*;;;;;;;;;55.5
+;;;Büchler Remo;**;;;;;;;9.75
o;2;9.75;Orlik Curdin;**;6;56.75;4;8.75;2;-1.0;8.75
o;6;18.5;Zbinden Marc;*;10;55.75;5;18.75;-1;0.25;8.75
+;8;27.25;Fontana Michael;;10;55.75;7;27.5;-1;0.25;10.0
+;7;37.25;Hobi Ignaz;;11;55.5;7;37.25;0;0.0;9.75
o;6;47.0;Forrer Arnold;***;3;57.5;4;47.75;-2;0.75;8.5

11d;Oertig Adrian;**;;;;;;;;;55.5
o;;;Notz Beni;***;;;;;;;8.5
+;5;8.5;Schrepfer Chris;;12;55.25;1;10.0;-4;1.5;9.75
+;7;18.25;Marty Jaime (2000);;12;55.25;6;18.5;-1;0.25;9.75
-;5;28.0;Straub Robin;*;20;53.25;8;27.25;3;-0.75;8.75
+;9;36.75;Rütsche Werner;;14;54.75;10;36.5;1;-0.25;10.0
-;7;46.75;Peng Mike;***;9;56.0;5;47.25;-2;0.5;8.75

11e;Scheiwiller Tobias;;;;;;;;;;55.5
+;;;Hobi Ignaz;;;;;;;;9.75
+;2;9.75;Straub Robin;*;20;53.25;4;8.75;2;-1.0;9.75
o;3;19.5;Coray Beda;*;8;56.25;7;18.25;4;-1.25;8.5
-;5;28.0;Schlegel Sämi (2000);;21;53.0;9;27.0;4;-1.0;9.0
+;8;37.0;Baumann Simon;;12;55.25;9;36.75;1;-0.25;9.75
-;7;46.75;Raymann David;;8;56.25;5;47.25;-2;0.5;8.75

11f;Hengartner Ivo;;;;;;;;;;55.5
+;;;Bernold Michael (1999);;;;;;;;10.0
-;1;10.0;Rüegg Roman;*;9;56.0;5;8.5;4;-1.5;8.75
o;5;18.75;Oertig Dominik;*;8;56.25;7;18.25;2;-0.5;8.5
o;8;27.25;Baumgartner Alexander;;12;55.25;4;28.25;-4;1.0;8.5
+;13;35.75;Herrsche Lars (1998);;20;53.25;12;36.0;-1;0.25;10.0
+;11;45.75;Ochsner Reto (2000);;17;54.0;12;45.5;1;-0.25;9.75

