3581-2018-05-10_Baselstaedtischer_Schwingertag-ST

1a;Sempach Thomas;***;;;;;;;;;59.25
9a;Schwenkfelder Lukas;;;;;;;;;;56.0
+;;;Grossmann Andreas;;;;;;;;10.0
o;1;10.0;Brun Samuel;**;13;55.0;4;8.5;3;-1.5;8.5
o;6;18.5;Kropf Marcel;**;5;57.0;6;18.5;0;0.0;8.5
+;9;27.0;Bader Stefan;;17;54.0;9;27.0;0;0.0;10.0
+;9;37.0;Bruder Adrian;;13;55.0;10;36.75;1;-0.25;10.0
-;8;47.0;Stalder Remo;***;11;55.5;10;46.5;2;-0.5;9.0

10a;Arnold Kornel;*;;;;;;;;;55.75
-;;;Stüdeli Thomas;**;;;;;;;8.75
-;3;8.75;Schmid Samuel;**;10;55.75;3;8.75;0;0.0;8.75
+;8;17.5;Dobler Florian;;11;55.5;6;18.5;-2;1.0;9.75
+;8;27.25;Nyffenegger Florian (2001);;15;54.5;3;28.5;-5;1.25;10.0
o;8;37.25;Nägeli Marco;**;12;55.25;9;37.0;1;-0.25;8.5
+;13;45.75;Brügger Joël (2000);;14;54.75;11;46.25;-2;0.5;10.0

10b;Hauri Urs;**;;;;;;;;;55.75
-;;;Schmid Samuel;**;;;;;;;8.75
-;3;8.75;Räber Lukas;;4;57.25;2;9.75;-1;1.0;8.75
+;8;17.5;Burren Patrick;;15;54.5;5;18.75;-3;1.25;9.75
+;8;27.25;Müller Christian;;24;35.25;10;26.75;2;-0.5;10.0
o;8;37.25;Räbmatter Patrick;***;6;56.75;9;37.0;1;-0.25;8.5
+;13;45.75;Büchi Christian;;17;54.0;14;45.5;1;-0.25;10.0

10c;Büttler Gian (2000);;;;;;;;;;55.75
+;;;Büchi Christian;;;;;;;;10.0
o;1;10.0;Bearda Samuel;**;13;55.0;4;8.5;3;-1.5;8.5
o;6;18.5;Mangold Michael;**;14;54.75;8;17.5;2;-1.0;8.75
+;8;27.25;Bieri Florian (2001);;18;53.75;5;28.0;-3;0.75;10.0
+;8;37.25;Schaffner Samuel;**;12;55.25;10;36.75;2;-0.5;9.75
o;8;47.0;Räber Lukas;;4;57.25;7;47.25;-1;0.25;8.75

10d;Hasler Manuel;*;;;;;;;;;55.75
-;;;Bader Andreas;**;;;;;;;8.75
+;3;8.75;Reimann Marco;;13;55.0;2;9.75;-1;1.0;9.75
+;6;18.5;Bieri Florian (2001);;18;53.75;3;19.5;-3;1.0;10.0
o;3;28.5;von Weissenfluh Kilian;**;5;57.0;7;27.5;4;-1.0;8.5
o;9;37.0;Schmid David;***;6;56.75;8;37.25;-1;0.25;8.75
+;13;45.75;Müller Simon;;16;54.25;13;45.75;0;0.0;10.0

10e;Kramer Franz;*;;;;;;;;;55.75
-;;;Stoll Simon;*;;;;;;;8.75
o;3;8.75;Winiger Fabian;**;13;55.0;4;8.5;1;-0.25;8.5
+;9;17.25;Gisin Yanic;;23;36.0;5;18.75;-4;1.5;9.75
+;9;27.0;Vogt Patrick;;18;53.75;5;28.0;-4;1.0;10.0
+;9;37.0;Nussbaumer Dominik;;18;53.75;10;36.75;1;-0.25;10.0
o;8;47.0;Oertig Dominik;**;3;57.5;6;47.5;-2;0.5;8.75

10f;Stegmüller Klemens;*;;;;;;;;;55.75
+;;;Bearda Samuel;**;;;;;;;10.0
o;1;10.0;Bieri Christoph;***;11;55.5;3;8.75;2;-1.25;8.75
-;5;18.75;Reinhard Adrian;;14;54.75;6;18.5;1;-0.25;9.0
+;6;27.75;Burren Patrick;;15;54.5;8;27.25;2;-0.5;9.75
o;7;37.5;Schmid Dominik;**;8;56.25;6;37.75;-1;0.25;8.5
+;12;46.0;Widmer David;;16;54.25;13;45.75;1;-0.25;9.75

10g;Schmid Samuel;**;;;;;;;;;55.75
-;;;Hauri Urs;**;;;;;;;8.75
-;3;8.75;Arnold Kornel;*;10;55.75;3;8.75;0;0.0;8.75
+;8;17.5;Bruder Adrian;;13;55.0;6;18.5;-2;1.0;9.75
+;8;27.25;Brügger Joël (2000);;14;54.75;5;28.0;-3;0.75;10.0
-;8;37.25;Bader Andreas;**;15;54.5;9;37.0;1;-0.25;8.75
+;12;46.0;Reinhard Adrian;;14;54.75;11;46.25;-1;0.25;9.75

10h;Arnold Stefan;**;;;;;;;;;55.75
o;;;Stalder Remo;***;;;;;;;8.5
-;4;8.5;Leuthard Reto;*;11;55.5;2;9.75;-2;1.25;9.0
+;8;17.5;Jusufi Ilber;;16;54.25;6;18.5;-2;1.0;10.0
o;7;27.5;Vieira Tiago;**;12;55.25;4;28.25;-3;0.75;8.5
+;13;36.0;Jusufi Azret;;12;55.25;9;37.0;-4;1.0;9.75
+;13;45.75;Anderegg David;*;16;54.25;13;45.75;0;0.0;10.0

11a;Schillig Willi;**;;;;;;;;;55.5
+;;;Winiger Fabian;**;;;;;;;10.0
o;1;10.0;Thürig Mario;***;8;56.25;3;8.75;2;-1.25;8.5
o;6;18.5;Räber Lukas;;4;57.25;6;18.5;0;0.0;8.75
+;8;27.25;Rüegger Aaron;;13;55.0;4;28.25;-4;1.0;9.75
+;9;37.0;Joho Philip (2002);;11;55.5;9;37.0;0;0.0;9.75
-;9;46.75;Bieri Christoph;***;11;55.5;9;46.75;0;0.0;8.75

11b;Bieri Christoph;***;;;;;;;;;55.5
-;;;Fankhauser Erich;***;;;;;;;8.75
+;3;8.75;Stegmüller Klemens;*;10;55.75;1;10.0;-2;1.25;10.0
+;5;18.75;Oertig Dominik;**;3;57.5;4;19.0;-1;0.25;9.75
+;3;28.5;Schmutz Adrian;*;11;55.5;3;28.5;0;0.0;9.75
o;4;38.25;Sempach Thomas;***;1;59.25;1;39.5;-3;1.25;8.5
-;9;46.75;Schillig Willi;**;11;55.5;9;46.75;0;0.0;8.75

11c;Steinmann Yves;*;;;;;;;;;55.5
o;;;Erb Roger;**;;;;;;;8.5
+;4;8.5;Nyffenegger Florian (2001);;15;54.5;1;10.0;-3;1.5;9.75
+;7;18.25;Widmer Dino;;17;54.0;6;18.5;-1;0.25;10.0
-;4;28.25;Waldner Patrick;**;15;54.5;4;28.25;0;0.0;8.75
o;9;37.0;Stüdeli Thomas;**;4;57.25;8;37.25;-1;0.25;8.5
+;14;45.5;Grossmann Andreas;;17;54.0;14;45.5;0;0.0;10.0

11d;Stalder Remo;***;;;;;;;;;55.5
+;;;Arnold Stefan;**;;;;;;;9.75
+;2;9.75;Schmid Dominik;**;8;56.25;2;9.75;0;0.0;10.0
o;2;19.75;Sempach Thomas;***;1;59.25;1;20.0;-1;0.25;8.5
+;4;28.25;Graber Colin;;13;55.0;4;28.25;0;0.0;9.75
o;5;38.0;Bieri Marcel;**;7;56.5;5;38.0;0;0.0;8.5
-;10;46.5;Schwenkfelder Lukas;;9;56.0;8;47.0;-2;0.5;9.0

11e;Schwander Kilian;;;;;;;;;;55.5
+;;;Hermann Lukas 1 (2000);;;;;;;;9.75
+;2;9.75;Loosli Adrian;;13;55.0;2;9.75;0;0.0;10.0
o;2;19.75;Lisser Daniel;*;22;37.0;6;18.5;4;-1.25;8.5
o;4;28.25;Kocher Remo;**;12;55.25;8;27.25;4;-1.0;8.5
-;10;36.75;Lisser Beat;;16;54.25;14;35.75;4;-1.0;8.75
+;14;45.5;Bieli Andreas;;17;54.0;14;45.5;0;0.0;10.0

11f;Dobler Florian;;;;;;;;;;55.5
o;;;Räber Lukas;;;;;;;;8.5
+;4;8.5;Lazic Marco (2000);;26;34.5;3;8.75;-1;0.25;10.0
o;6;18.5;Arnold Kornel;*;10;55.75;8;17.5;2;-1.0;8.5
+;9;27.0;Jakober Daniel;;21;52.5;9;27.0;0;0.0;10.0
o;9;37.0;Mangold Michael;**;14;54.75;13;36.0;4;-1.0;8.5
+;14;45.5;Kehr Damian (2001);;18;53.75;15;45.25;1;-0.25;10.0

11g;Krebs Clemens;;;;;;;;;;55.5
o;;;Rüegger Aaron;;;;;;;;8.75
+;3;8.75;Lüscher Michael;;28;34.0;4;8.5;1;-0.25;10.0
+;5;18.75;Hermann Oliver;*;12;55.25;7;18.25;2;-0.5;9.75
o;3;28.5;Räbmatter Patrick;***;6;56.75;9;27.0;6;-1.5;8.5
+;9;37.0;Küng Marco;*;15;54.5;9;37.0;0;0.0;9.75
o;9;46.75;Mangold Martin;;5;57.0;7;47.25;-2;0.5;8.75

11h;Joho Philip (2002);;;;;;;;;;55.5
o;;;Bieri Florian (2001);;;;;;;;8.5
+;4;8.5;Büttler Adrian;;12;55.25;4;8.5;0;0.0;10.0
o;6;18.5;Stüdeli Thomas;**;4;57.25;8;17.5;2;-1.0;8.75
+;8;27.25;Abt Robin;;16;54.25;9;27.0;1;-0.25;9.75
o;9;37.0;Schillig Willi;**;11;55.5;9;37.0;0;0.0;8.5
+;14;45.5;Stark Urban (2000);;16;54.25;14;45.5;0;0.0;10.0

11i;Schmutz Adrian;*;;;;;;;;;55.5
-;;;Kocher Remo;**;;;;;;;8.75
+;3;8.75;Läuchli Janik (2000);;12;55.25;1;10.0;-2;1.25;9.75
+;6;18.5;Aerni Lars;;16;54.25;6;18.5;0;0.0;10.0
o;3;28.5;Bieri Christoph;***;11;55.5;3;28.5;0;0.0;8.5
+;9;37.0;Hasler Luis (2002);;16;54.25;9;37.0;0;0.0;10.0
o;8;47.0;von Weissenfluh Kilian;**;5;57.0;7;47.25;-1;0.25;8.5

11j;Leuthard Reto;*;;;;;;;;;55.5
+;;;Brun Samuel;**;;;;;;;9.75
-;2;9.75;Arnold Stefan;**;10;55.75;4;8.5;2;-1.25;9.0
+;5;18.75;Kohler Adrian;;16;54.25;1;20.0;-4;1.25;9.75
o;3;28.5;Erb Roger;**;4;57.25;2;28.75;-1;0.25;8.5
+;9;37.0;Stark Urban (2000);;16;54.25;9;37.0;0;0.0;10.0
o;8;47.0;Freund Romeo;**;6;56.75;9;46.75;1;-0.25;8.5

12a;Hermann Oliver;*;;;;;;;;;55.25
+;;;Büttler Adrian;;;;;;;;9.75
o;2;9.75;Gisler Bruno;***;6;56.75;4;8.5;2;-1.25;8.5
o;7;18.25;Krebs Clemens;;11;55.5;5;18.75;-2;0.5;8.75
+;9;27.0;Kohler Adrian;;16;54.25;3;28.5;-6;1.5;9.75
o;10;36.75;Kocher Remo;**;12;55.25;9;37.0;-1;0.25;8.5
+;15;45.25;Eggenschwiler Fabian;;17;54.0;14;45.5;-1;0.25;10.0

12b;Schaffner Samuel;**;;;;;;;;;55.25
o;;;Kropf Marcel;**;;;;;;;8.5
+;4;8.5;Wilhelm Manuel;;17;54.0;2;9.75;-2;1.25;10.0
+;6;18.5;Kaspar Jan;;17;54.0;6;18.5;0;0.0;9.75
o;4;28.25;Fankhauser Erich;***;5;57.0;7;27.5;3;-0.75;8.5
o;10;36.75;Büttler Gian (2000);;10;55.75;8;37.25;-2;0.5;8.5
+;15;45.25;Schmutz Simon (2000);;14;54.75;11;46.25;-4;1.0;10.0

12c;Büttler Adrian;;;;;;;;;;55.25
o;;;Hermann Oliver;*;;;;;;;8.5
o;4;8.5;Joho Philip (2002);;11;55.5;4;8.5;0;0.0;8.5
+;10;17.0;Schaub Florent;;29;25.75;9;17.25;-1;0.25;9.75
+;10;26.75;Huber Pascal;;24;35.25;10;26.75;0;0.0;10.0
+;10;36.75;Järmann Florian (2002);;19;53.5;11;36.5;1;-0.25;10.0
o;9;46.75;Erb Roger;**;4;57.25;7;47.25;-2;0.5;8.5

12d;Läuchli Janik (2000);;;;;;;;;;55.25
+;;;Nussbaumer Dominik;;;;;;;;10.0
o;1;10.0;Schmutz Adrian;*;11;55.5;3;8.75;2;-1.25;8.5
+;6;18.5;Lisser Beat;;16;54.25;6;18.5;0;0.0;9.75
o;4;28.25;Freund Romeo;**;6;56.75;5;28.0;1;-0.25;8.5
-;10;36.75;Waldner Patrick;**;15;54.5;9;37.0;-1;0.25;8.75
+;14;45.5;Ris Jörn;;16;54.25;13;45.75;-1;0.25;9.75

12e;Fritz Christian;;;;;;;;;;55.25
o;;;Anderegg David;*;;;;;;;8.5
-;4;8.5;Müller Simon;;16;54.25;3;8.75;-1;0.25;9.0
o;8;17.5;Rüegger Aaron;;13;55.0;7;18.25;-1;0.75;8.5
+;11;26.0;Peterhans Alex (2000);;24;35.25;10;26.75;-1;0.75;9.75
+;14;35.75;Huber Fabian;;20;52.75;14;35.75;0;0.0;9.75
+;14;45.5;Lehmann Robin;;17;54.0;14;45.5;0;0.0;9.75

12f;Jusufi Azret;;;;;;;;;;55.25
+;;;Bieli Andreas;;;;;;;;10.0
-;1;10.0;Kocher Remo;**;12;55.25;3;8.75;2;-1.25;8.75
o;5;18.75;Gisler Bruno;***;6;56.75;6;18.5;1;-0.25;8.5
+;8;27.25;Bachmann Sämi (2001);;15;54.5;8;27.25;0;0.0;9.75
o;9;37.0;Arnold Stefan;**;10;55.75;13;36.0;4;-1.0;8.5
+;14;45.5;Schwegler Dominik;;17;54.0;14;45.5;0;0.0;9.75

12g;Kocher Remo;**;;;;;;;;;55.25
-;;;Schmutz Adrian;*;;;;;;;8.75
-;3;8.75;Jusufi Azret;;12;55.25;1;10.0;-2;1.25;8.75
+;8;17.5;Reinhard Pirmin (2001);;16;54.25;5;18.75;-3;1.25;9.75
+;8;27.25;Schwander Kilian;;11;55.5;4;28.25;-4;1.0;9.75
+;9;37.0;Hermann Oliver;*;12;55.25;10;36.75;1;-0.25;9.75
o;9;46.75;Fankhauser Erich;***;5;57.0;7;47.25;-2;0.5;8.5

12h;Vieira Tiago;**;;;;;;;;;55.25
+;;;Scherrer Johann;**;;;;;;;10.0
o;1;10.0;Bieri Marcel;**;7;56.5;3;8.75;2;-1.25;8.5
+;6;18.5;Hasler Luis (2002);;16;54.25;6;18.5;0;0.0;9.75
+;4;28.25;Arnold Stefan;**;10;55.75;7;27.5;3;-0.75;10.0
o;4;38.25;Fankhauser Erich;***;5;57.0;7;37.5;3;-0.75;8.5
o;9;46.75;Schenk Patrick;***;6;56.75;9;46.75;0;0.0;8.5

12i;Nägeli Marco;**;;;;;;;;;55.25
o;;;Widmer Tobias;**;;;;;;;8.5
+;4;8.5;Freund Romeo;**;6;56.75;2;9.75;-2;1.25;9.75
+;7;18.25;Stark Urban (2000);;16;54.25;1;20.0;-6;1.75;10.0
o;4;28.25;Gisler Bruno;***;6;56.75;3;28.5;-1;0.25;8.75
+;9;37.0;Arnold Kornel;*;10;55.75;8;37.25;-1;0.25;9.75
o;9;46.75;Thürig Mario;***;8;56.25;11;46.25;2;-0.5;8.5

13a;Brun Samuel;**;;;;;;;;;55.0
o;;;Leuthard Reto;*;;;;;;;8.5
+;4;8.5;Schwenkfelder Lukas;;9;56.0;1;10.0;-3;1.5;9.75
+;7;18.25;Lehmann Robin;;17;54.0;2;19.75;-5;1.5;10.0
o;4;28.25;Alpiger Nick;***;2;58.0;3;28.5;-1;0.25;8.5
+;10;36.75;Aerni Lars;;16;54.25;9;37.0;-1;0.25;9.75
o;10;46.5;Schmid David;***;6;56.75;8;47.0;-2;0.5;8.5

13b;Loosli Adrian;;;;;;;;;;55.0
+;;;Geissberger Marc (2002);;;;;;;;9.75
o;2;9.75;Schwander Kilian;;11;55.5;2;9.75;0;0.0;8.5
+;7;18.25;Buser Thomas;;24;35.25;7;18.25;0;0.0;9.75
o;5;28.0;Oertig Dominik;**;3;57.5;7;27.5;2;-0.5;8.5
+;11;36.5;Bader Stefan;;17;54.0;15;35.5;4;-1.0;10.0
o;10;46.5;Stoll Simon;*;6;56.75;9;46.75;-1;0.25;8.5

13c;Graber Colin;;;;;;;;;;55.0
+;;;Hitz Florian;;;;;;;;9.75
o;2;9.75;Stoll Simon;*;6;56.75;3;8.75;1;-1.0;8.5
+;7;18.25;Saladin Pascal (2002);;25;34.75;8;17.5;1;-0.75;10.0
