2947-2015-08-16_100_Basellandschaftliche_Kantonalschwingfest-ST

1a;Räbmatter Patrick;**;;;;;;;;;58.5
o;;;Gisler Bruno;***;;;;;;;8.5
+;5;8.5;Bader Andreas;*;15;54.5;3;9.0;-2;0.5;10.0
+;6;18.5;Andermatt Adrian;;12;55.25;3;19.5;-3;1.0;10.0
+;4;28.5;Probst Gabriel;**;12;55.25;5;28.25;1;-0.25;10.0
+;3;38.5;Huber Cédric;**;5;57.0;3;38.5;0;0.0;10.0
+;2;48.5;Alpiger Nick;**;2;58.0;1;49.25;-1;0.75;10.0

2a;Bieri Christoph;***;;;;;;;;;58.0
+;;;Blatter Lorenz;**;;;;;;;9.75
-;2;9.75;Gisler Bruno;***;5;57.0;2;9.75;0;0.0;8.75
+;6;18.5;Kocher Remo;**;5;57.0;1;20.0;-5;1.5;10.0
+;4;28.5;von Arx Christian;*;12;55.25;4;28.5;0;0.0;9.75
+;4;38.25;Brand Christian;**;12;55.25;5;38.0;1;-0.25;10.0
+;3;48.25;Vieira Tiago;**;9;56.0;4;47.5;1;-0.75;9.75

2b;Alpiger Nick;**;;;;;;;;;58.0
+;;;Stalder Remo;***;;;;;;;9.75
+;2;9.75;Kropf Marcel;**;4;57.25;1;10.0;-1;0.25;9.75
+;3;19.5;Stüdeli Thomas;**;7;56.5;5;18.75;2;-0.75;10.0
+;1;29.5;Müller Bruno;***;8;56.25;3;28.75;2;-0.75;10.0
+;1;39.5;Mahrer Jürg;**;3;57.5;2;38.75;1;-0.75;9.75
o;1;49.25;Räbmatter Patrick;**;1;58.5;2;48.5;1;-0.75;8.75

3a;Mahrer Jürg;**;;;;;;;;;57.5
+;;;Scherrer Johann;**;;;;;;;10.0
-;1;10.0;Vieira Tiago;**;9;56.0;1;10.0;0;0.0;8.75
+;5;18.75;Lehmann Nicola;*;11;55.5;6;18.5;1;-0.25;10.0
+;3;28.75;Kropf Marcel;**;4;57.25;3;28.75;0;0.0;10.0
o;2;38.75;Alpiger Nick;**;2;58.0;1;39.5;-1;0.75;8.75
+;4;47.5;Stegmüller Klemens;*;10;55.75;6;47.0;2;-0.5;10.0

3b;Schmid David;**;;;;;;;;;57.5
+;;;Hauri Urs;**;;;;;;;9.75
+;2;9.75;Stegmüller Klemens;*;10;55.75;2;9.75;0;0.0;10.0
-;2;19.75;Gisler Bruno;***;5;57.0;6;18.5;4;-1.25;8.75
+;4;28.5;Seiler Thomas;;18;53.75;5;28.25;1;-0.25;10.0
-;3;38.5;Stoffel Marc;**;5;57.0;4;38.25;1;-0.25;9.0
+;4;47.5;von Arx Christian;*;12;55.25;7;46.75;3;-0.75;10.0

4a;Stalder Remo;***;;;;;;;;;57.25
o;;;Alpiger Nick;**;;;;;;;8.5
+;5;8.5;Hasler Jimmy;*;11;55.5;1;10.0;-4;1.5;10.0
-;6;18.5;Stoffel Marc;**;5;57.0;3;19.5;-3;1.0;9.0
+;8;27.5;Waldner Patrick;**;10;55.75;4;28.5;-4;1.0;10.0
+;6;37.5;Steinmann Yves;*;10;55.75;6;37.5;0;0.0;10.0
+;4;47.5;Klausner Yanick;**;12;55.25;7;46.75;3;-0.75;9.75

4b;Kropf Marcel;**;;;;;;;;;57.25
+;;;Odermatt Christian;**;;;;;;;10.0
o;1;10.0;Alpiger Nick;**;2;58.0;2;9.75;1;-0.25;8.75
+;5;18.75;Huber Jan (1997);*;11;55.5;6;18.5;1;-0.25;10.0
o;3;28.75;Mahrer Jürg;**;3;57.5;3;28.75;0;0.0;8.75
+;6;37.5;Suter Beat;;11;55.5;7;37.25;1;-0.25;9.75
+;5;47.25;Hasler Jimmy;*;11;55.5;6;47.0;1;-0.25;10.0

5a;Huber Cédric;**;;;;;;;;;57.0
+;;;Lang Martin;**;;;;;;;10.0
+;1;10.0;Klausner Yanick;**;12;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Müller Bruno;***;8;56.25;5;18.75;4;-1.25;8.5
+;4;28.5;Kohler Adrian;;10;55.75;4;28.5;0;0.0;10.0
o;3;38.5;Räbmatter Patrick;**;1;58.5;3;38.5;0;0.0;8.5
+;6;47.0;Schär Simon;*;9;56.0;4;47.5;-2;0.5;10.0

5b;Studinger Stephan;**;;;;;;;;;57.0
+;;;Strebel Joel (1997);**;;;;;;;10.0
o;1;10.0;Müller Bruno;***;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Roth Christian;;19;53.5;3;19.5;-3;1.0;10.0
+;4;28.5;Brun Samuel (1999);;13;55.0;5;28.25;1;-0.25;10.0
o;3;38.5;Gisler Bruno;***;5;57.0;7;37.25;4;-1.25;8.5
+;6;47.0;Brügger Cyrill (1998);;12;55.25;7;46.75;1;-0.25;10.0

5c;Gisler Bruno;***;;;;;;;;;57.0
+;;;Räbmatter Patrick;**;;;;;;;9.75
-;2;9.75;Bieri Christoph;***;2;58.0;2;9.75;0;0.0;8.75
-;6;18.5;Schmid David;**;3;57.5;2;19.75;-4;1.25;8.75
+;9;27.25;Kramer Franz;*;16;54.25;4;28.5;-5;1.25;10.0
+;7;37.25;Studinger Stephan;**;5;57.0;3;38.5;-4;1.25;9.75
+;6;47.0;Odermatt Christian;**;12;55.25;7;46.75;1;-0.25;10.0

5d;Hasler Manuel;;;;;;;;;;57.0
+;;;Riesen Ruedi;;;;;;;;9.75
+;2;9.75;Mangold Michael (1997);;12;55.25;1;10.0;-1;0.25;9.75
-;3;19.5;Hasler Jimmy;*;11;55.5;6;18.5;3;-1.0;9.0
o;4;28.5;Stegmüller Klemens;*;10;55.75;9;27.25;5;-1.25;8.75
+;7;37.25;Seiler Thomas;;18;53.75;9;36.75;2;-0.5;9.75
+;6;47.0;Huber Jan (1997);*;11;55.5;6;47.0;0;0.0;10.0

5e;Stoffel Marc;**;;;;;;;;;57.0
+;;;Kaech Frank;*;;;;;;;9.75
+;2;9.75;Huber Jan (1997);*;11;55.5;1;10.0;-1;0.25;9.75
-;3;19.5;Stalder Remo;***;4;57.25;6;18.5;3;-1.0;9.0
+;4;28.5;Stoll Simon;;13;55.0;2;29.0;-2;0.5;9.75
-;4;38.25;Schmid David;**;3;57.5;3;38.5;-1;0.25;9.0
+;5;47.25;Probst Gabriel;**;12;55.25;7;46.75;2;-0.5;9.75

5f;Blatter Lorenz;**;;;;;;;;;57.0
o;;;Bieri Christoph;***;;;;;;;8.5
+;5;8.5;Steinmann Yves;*;10;55.75;3;9.0;-2;0.5;9.75
+;7;18.25;Steger Robert (1998);;19;53.5;3;19.5;-4;1.25;10.0
+;5;28.25;Klausner Yanick;**;12;55.25;5;28.25;0;0.0;10.0
-;4;38.25;Kocher Remo;**;5;57.0;4;38.25;0;0.0;9.0
+;5;47.25;Furrer Mathias;;14;54.75;9;46.25;4;-1.0;9.75

5g;Kocher Remo;**;;;;;;;;;57.0
+;;;Kramer Franz;*;;;;;;;10.0
+;1;10.0;Schär Simon;*;9;56.0;1;10.0;0;0.0;10.0
o;1;20.0;Bieri Christoph;***;2;58.0;6;18.5;5;-1.5;8.5
+;4;28.5;Suter Beat;;11;55.5;3;28.75;-1;0.25;9.75
-;4;38.25;Blatter Lorenz;**;5;57.0;4;38.25;0;0.0;9.0
+;5;47.25;Hermann Oliver;;12;55.25;7;46.75;2;-0.5;9.75

6a;Hauri Urs;**;;;;;;;;;56.75
o;;;Schmid David;**;;;;;;;8.5
-;5;8.5;Odermatt Christian;**;12;55.25;5;8.5;0;0.0;8.75
+;10;17.25;Leu Dominik (1999);;20;53.25;6;18.5;-4;1.25;10.0
+;9;27.25;Büchi Christian;;17;54.0;10;27.0;1;-0.25;10.0
+;7;37.25;Döbeli Andreas (1998);*;11;55.5;8;37.0;1;-0.25;9.75
+;6;47.0;Brun Samuel (1999);;13;55.0;8;46.5;2;-0.5;9.75

7a;Stüdeli Thomas;**;;;;;;;;;56.5
-;;;Bächli Michael (1998);**;;;;;;;8.75
+;4;8.75;Studinger Mathias;**;10;55.75;5;8.5;1;-0.25;10.0
o;5;18.75;Alpiger Nick;**;2;58.0;3;19.5;-2;0.75;8.5
+;9;27.25;Hermann Oliver;;12;55.25;5;28.25;-4;1.0;9.75
+;8;37.0;Hiltbrand Ron;;13;55.0;9;36.75;1;-0.25;9.75
+;7;46.75;Widmer Tobias;**;15;54.5;10;46.0;3;-0.75;9.75

8a;Müller Bruno;***;;;;;;;;;56.25
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Studinger Stephan;**;5;57.0;1;10.0;-3;1.25;10.0
+;5;18.75;Huber Cédric;**;5;57.0;1;20.0;-4;1.25;10.0
o;3;28.75;Alpiger Nick;**;2;58.0;1;29.5;-2;0.75;8.75
o;6;37.5;Schär Simon;*;9;56.0;6;37.5;0;0.0;8.75
+;9;46.25;Scherrer Johann;**;14;54.75;9;46.25;0;0.0;10.0

9a;Henzer Andreas;**;;;;;;;;;56.0
-;;;Müller Bruno;***;;;;;;;8.75
-;4;8.75;Widmer Tobias;**;15;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Widmer Sandro;;16;54.25;5;18.75;-4;1.25;9.75
+;9;27.25;Steger Robert (1998);;19;53.5;6;28.0;-3;0.75;10.0
-;7;37.25;Bader Andreas;*;15;54.5;7;37.25;0;0.0;8.75
+;10;46.0;Studer Remo;;15;54.5;10;46.0;0;0.0;10.0

9b;Vieira Tiago;**;;;;;;;;;56.0
+;;;Winiger Fabian;**;;;;;;;10.0
-;1;10.0;Mahrer Jürg;**;3;57.5;1;10.0;0;0.0;8.75
-;5;18.75;Stegmüller Klemens;*;10;55.75;6;18.5;1;-0.25;8.75
+;8;27.5;Riesen Ruedi;;17;54.0;6;28.0;-2;0.5;10.0
+;6;37.5;Stoll Simon;;13;55.0;6;37.5;0;0.0;10.0
o;4;47.5;Bieri Christoph;***;2;58.0;3;48.25;-1;0.75;8.5

9c;Kaech Frank;*;;;;;;;;;56.0
o;;;Stoffel Marc;**;;;;;;;8.5
o;5;8.5;Kramer Franz;*;16;54.25;5;8.5;0;0.0;8.5
+;11;17.0;Körkel Yannik (1997);;24;35.25;7;18.25;-4;1.25;10.0
+;10;27.0;Kaspar Jan (1999);;16;54.25;9;27.25;-1;0.25;10.0
-;8;37.0;Studinger Mathias;**;10;55.75;8;37.0;0;0.0;9.0
+;10;46.0;Hügli Kaj (1997);*;14;54.75;10;46.0;0;0.0;10.0

9d;Schär Simon;*;;;;;;;;;56.0
+;;;Probst Gabriel;**;;;;;;;10.0
o;1;10.0;Kocher Remo;**;5;57.0;1;10.0;0;0.0;8.75
-;5;18.75;Nyffeler Christoph;;15;54.5;1;20.0;-4;1.25;8.75
+;8;27.5;Studer Remo;;15;54.5;7;27.75;-1;0.25;10.0
+;6;37.5;Müller Bruno;***;8;56.25;6;37.5;0;0.0;10.0
o;4;47.5;Huber Cédric;**;5;57.0;6;47.0;2;-0.5;8.5

10a;Waldner Patrick;**;;;;;;;;;55.75
+;;;Strebel Sandro;**;;;;;;;9.75
-;2;9.75;Lehmann Nicola;*;11;55.5;2;9.75;0;0.0;8.75
+;6;18.5;Reimann Marco (1998);;18;53.75;2;19.75;-4;1.25;10.0
o;4;28.5;Stalder Remo;***;4;57.25;8;27.5;4;-1.0;8.5
+;8;37.0;Küng Marco;;17;54.0;8;37.0;0;0.0;10.0
-;6;47.0;Andermatt Adrian;;12;55.25;8;46.5;2;-0.5;8.75

10b;Schneider Markus;*;;;;;;;;;55.75
o;;;Lehmann Nicola;*;;;;;;;8.5
o;5;8.5;Probst Gabriel;**;12;55.25;5;8.5;0;0.0;8.5
-;11;17.0;Treier Tobias (1998);;22;52.75;6;18.5;-5;1.5;9.0
+;13;26.0;Haymoz Jan (1999);;17;54.0;10;27.0;-3;1.0;10.0
+;12;36.0;Leu Dominik (1999);;20;53.25;12;36.0;0;0.0;9.75
+;11;45.75;Büchi Christian;;17;54.0;12;45.5;1;-0.25;10.0

10c;Studinger Mathias;**;;;;;;;;;55.75
o;;;von Arx Christian;*;;;;;;;8.5
o;5;8.5;Stüdeli Thomas;**;7;56.5;4;8.75;-1;0.25;8.5
+;11;17.0;Schaub Florent;;11;55.5;6;18.5;-5;1.5;10.0
+;10;27.0;Hiltbrand Ron;;13;55.0;5;28.25;-5;1.25;10.0
-;8;37.0;Kaech Frank;*;9;56.0;8;37.0;0;0.0;9.0
+;10;46.0;Bader Andreas;*;15;54.5;10;46.0;0;0.0;9.75

10d;Kohler Adrian;;;;;;;;;;55.75
-;;;Widmer Sandro;;;;;;;;8.75
+;4;8.75;Grossmann Andreas;;20;53.25;4;8.75;0;0.0;10.0
+;5;18.75;Hügli Kaj (1997);*;14;54.75;9;17.5;4;-1.25;9.75
o;4;28.5;Huber Cédric;**;5;57.0;4;28.5;0;0.0;8.5
-;8;37.0;Kramer Franz;*;16;54.25;8;37.0;0;0.0;8.75
+;11;45.75;Küng Marco;;17;54.0;12;45.5;1;-0.25;10.0

10e;Steinmann Yves;*;;;;;;;;;55.75
-;;;Bader Andreas;*;;;;;;;9.0
o;3;9.0;Blatter Lorenz;**;5;57.0;5;8.5;2;-0.5;8.5
+;9;17.5;Burren Patrick (1999);;17;54.0;5;18.75;-4;1.25;10.0
+;8;27.5;Roth Christian;;19;53.5;6;28.0;-2;0.5;10.0
o;6;37.5;Stalder Remo;***;4;57.25;6;37.5;0;0.0;8.5
+;10;46.0;Nyffeler Christoph;;15;54.5;10;46.0;0;0.0;9.75

10f;Winiger Fabian;**;;;;;;;;;55.75
o;;;Vieira Tiago;**;;;;;;;8.5
-;5;8.5;Strebel Sandro;**;16;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Mangold Michael (1997);;12;55.25;6;18.5;-4;1.25;9.75
-;10;27.0;Andermatt Adrian;;12;55.25;6;28.0;-4;1.0;8.75
