2947-2015-08-16_100_Basellandschaftliche_Kantonalschwingfest-ST

1a;Räbmatter Patrick;**;;;;;;;;;58.5
+;13;35.75;Buess Dominik;;23;52.5;14;35.5;1;-0.25;10.0
+;11;45.75;Inderwildi Daniel;;17;54.0;12;45.5;1;-0.25;10.0

10g;Stegmüller Klemens;*;;;;;;;;;55.75
+;;;Döbeli Andreas (1998);*;;;;;;;9.75
o;2;9.75;Schmid David;**;3;57.5;2;9.75;0;0.0;8.75
-;6;18.5;Vieira Tiago;**;9;56.0;5;18.75;-1;0.25;8.75
+;9;27.25;Hasler Manuel;;5;57.0;4;28.5;-5;1.25;10.0
+;7;37.25;Krebs Clemens;;12;55.25;8;37.0;1;-0.25;9.75
o;6;47.0;Mahrer Jürg;**;3;57.5;4;47.5;-2;0.5;8.75

11a;Huber Jan (1997);*;;;;;;;;;55.5
+;;;Löw Christophe;**;;;;;;;10.0
o;1;10.0;Stoffel Marc;**;5;57.0;2;9.75;1;-0.25;8.5
o;6;18.5;Kropf Marcel;**;4;57.25;5;18.75;-1;0.25;8.5
+;10;27.0;Siegrist Christian (1997);;14;54.75;6;28.0;-4;1.0;10.0
+;8;37.0;Schaub Florent;;11;55.5;8;37.0;0;0.0;10.0
o;6;47.0;Hasler Manuel;;5;57.0;6;47.0;0;0.0;8.5

11b;Schaub Florent;;;;;;;;;;55.5
o;;;Hermann Oliver;;;;;;;;8.5
+;5;8.5;Wüthrich Martin;;26;34.75;4;8.75;-1;0.25;10.0
o;6;18.5;Studinger Mathias;**;10;55.75;11;17.0;5;-1.5;8.5
+;10;27.0;Lehmann Robin (1999);;18;53.75;10;27.0;0;0.0;10.0
o;8;37.0;Huber Jan (1997);*;11;55.5;8;37.0;0;0.0;8.5
+;12;45.5;Seiler Thomas;;18;53.75;13;45.25;1;-0.25;10.0

11c;Döbeli Andreas (1998);*;;;;;;;;;55.5
o;;;Stegmüller Klemens;*;;;;;;;8.5
-;5;8.5;Löw Christophe;**;31;17.25;5;8.5;0;0.0;8.75
+;10;17.25;Burkhardt Roy;;22;52.75;6;18.5;-4;1.25;10.0
+;9;27.25;Büttler Adrian (1999);;17;54.0;9;27.25;0;0.0;9.75
o;8;37.0;Hauri Urs;**;6;56.75;7;37.25;-1;0.25;8.5
+;12;45.5;Regenass Beat;;17;54.0;12;45.5;0;0.0;10.0

11d;Lang Martin;**;;;;;;;;;55.5
o;;;Huber Cédric;**;;;;;;;8.5
o;5;8.5;Brand Christian;**;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Buess Dominik;;23;52.5;7;18.25;-4;1.25;10.0
-;10;27.0;Brügger Cyrill (1998);;12;55.25;6;28.0;-4;1.0;8.75
+;13;35.75;Haymoz Kevin;;21;53.0;13;35.75;0;0.0;10.0
+;11;45.75;Strebel Sandro;**;16;54.25;11;45.75;0;0.0;9.75

11e;Suter Beat;;;;;;;;;;55.5
+;;;Burtschi Michael;;;;;;;;10.0
-;1;10.0;Küng Marco;;17;54.0;2;9.75;1;-0.25;8.75
+;5;18.75;Bächli Michael (1998);**;30;26.25;9;17.5;4;-1.25;10.0
o;3;28.75;Kocher Remo;**;5;57.0;4;28.5;1;-0.25;8.5
o;7;37.25;Kropf Marcel;**;4;57.25;6;37.5;-1;0.25;8.5
+;11;45.75;Büttler Adrian (1999);;17;54.0;12;45.5;1;-0.25;9.75

11f;Hasler Jimmy;*;;;;;;;;;55.5
+;;;Moser Matthias;*;;;;;;;10.0
o;1;10.0;Stalder Remo;***;4;57.25;5;8.5;4;-1.5;8.5
-;6;18.5;Hasler Manuel;;5;57.0;3;19.5;-3;1.0;9.0
+;8;27.5;Nyffeler Christoph;;15;54.5;3;28.75;-5;1.25;9.75
+;7;37.25;Siegrist Christian (1997);;14;54.75;10;36.5;3;-0.75;9.75
o;6;47.0;Kropf Marcel;**;4;57.25;5;47.25;-1;0.25;8.5

11g;Lehmann Nicola;*;;;;;;;;;55.5
+;;;Schneider Markus;*;;;;;;;9.75
-;2;9.75;Waldner Patrick;**;10;55.75;2;9.75;0;0.0;8.75
o;6;18.5;Mahrer Jürg;**;3;57.5;5;18.75;-1;0.25;8.5
+;10;27.0;Reinhard Adrian (1997);;15;54.5;9;27.25;-1;0.25;9.75
-;9;36.75;Inderwildi Daniel;;17;54.0;9;36.75;0;0.0;8.75
+;12;45.5;Haymoz Jan (1999);;17;54.0;12;45.5;0;0.0;10.0

12a;Hermann Oliver;;;;;;;;;;55.25
+;;;Schaub Florent;;;;;;;;9.75
-;2;9.75;Stoll Simon;;13;55.0;1;10.0;-1;0.25;8.75
+;6;18.5;Regenass Beat;;17;54.0;10;17.25;4;-1.25;9.75
o;5;28.25;Stüdeli Thomas;**;7;56.5;9;27.25;4;-1.0;8.5
+;9;36.75;Strebel Sandro;**;16;54.25;8;37.0;-1;0.25;10.0
o;7;46.75;Kocher Remo;**;5;57.0;5;47.25;-2;0.5;8.5

12b;von Arx Christian;*;;;;;;;;;55.25
-;;;Widmer Tobias;**;;;;;;;8.75
+;4;8.75;Studinger Mathias;**;10;55.75;5;8.5;1;-0.25;10.0
+;5;18.75;Hiltbrand Ron;;13;55.0;3;19.5;-2;0.75;9.75
o;4;28.5;Bieri Christoph;***;2;58.0;4;28.5;0;0.0;8.5
+;8;37.0;Wilhelm Manuel;;16;54.25;9;36.75;1;-0.25;9.75
o;7;46.75;Schmid David;**;3;57.5;4;47.5;-3;0.75;8.5

12c;Probst Gabriel;**;;;;;;;;;55.25
o;;;Schär Simon;*;;;;;;;8.5
+;5;8.5;Schneider Markus;*;10;55.75;5;8.5;0;0.0;10.0
+;6;18.5;Brun Samuel (1999);;13;55.0;2;19.75;-4;1.25;9.75
o;5;28.25;Räbmatter Patrick;**;1;58.5;4;28.5;-1;0.25;8.5
+;9;36.75;Gisin Yanic;;20;53.25;11;36.25;2;-0.5;10.0
o;7;46.75;Stoffel Marc;**;5;57.0;5;47.25;-2;0.5;8.5

12d;Odermatt Christian;**;;;;;;;;;55.25
o;;;Kropf Marcel;**;;;;;;;8.5
-;5;8.5;Hauri Urs;**;6;56.75;5;8.5;0;0.0;8.75
+;10;17.25;Küng Marco;;17;54.0;6;18.5;-4;1.25;10.0
+;9;27.25;Widmer Sandro;;16;54.25;9;27.25;0;0.0;9.75
+;8;37.0;Widmer Tobias;**;15;54.5;7;37.25;-1;0.25;9.75
o;7;46.75;Gisler Bruno;***;5;57.0;6;47.0;-1;0.25;8.5

12e;Brand Christian;**;;;;;;;;;55.25
o;;;Klausner Yanick;**;;;;;;;8.5
+;5;8.5;Lang Martin;**;11;55.5;5;8.5;0;0.0;9.75
+;7;18.25;Furrer Mathias;;14;54.75;3;19.5;-4;1.25;10.0
+;5;28.25;Reimann Marco (1998);;18;53.75;5;28.25;0;0.0;9.75
o;5;38.0;Bieri Christoph;***;2;58.0;4;38.25;-1;0.25;8.5
-;8;46.5;Stoll Simon;;13;55.0;9;46.25;1;-0.25;8.75

12f;Andermatt Adrian;;;;;;;;;;55.25
+;;;Fritz Christian;;;;;;;;9.75
+;2;9.75;Seiler Thomas;;18;53.75;2;9.75;0;0.0;9.75
o;3;19.5;Räbmatter Patrick;**;1;58.5;6;18.5;3;-1.0;8.5
-;6;28.0;Winiger Fabian;**;10;55.75;10;27.0;4;-1.0;8.75
+;9;36.75;Widmer David;;13;55.0;10;36.5;1;-0.25;9.75
-;8;46.5;Waldner Patrick;**;10;55.75;6;47.0;-2;0.5;8.75

12g;Mangold Michael (1997);;;;;;;;;;55.25
+;;;Nebiker Thomas;;;;;;;;10.0
o;1;10.0;Hasler Manuel;;5;57.0;2;9.75;1;-0.25;8.5
o;6;18.5;Winiger Fabian;**;10;55.75;10;17.25;4;-1.25;8.5
+;10;27.0;Fritz Christian;;16;54.25;10;27.0;0;0.0;9.75
-;9;36.75;Nyffeler Christoph;;15;54.5;7;37.25;-2;0.5;8.75
+;12;45.5;Kramer Franz;*;16;54.25;11;45.75;-1;0.25;9.75

12h;Dobler Florian;;;;;;;;;;55.25
-;;;Studer Remo;;;;;;;;9.0
o;3;9.0;Riesen Ruedi;;17;54.0;5;8.5;2;-0.5;8.5
+;9;17.5;Inderwildi Daniel;;17;54.0;6;18.5;-3;1.0;10.0
-;8;27.5;Moser Matthias;*;24;35.25;12;26.25;4;-1.25;9.0
-;10;36.5;Reinhard Adrian (1997);;15;54.5;13;35.75;3;-0.75;9.0
+;12;45.5;Kaspar Jan (1999);;16;54.25;12;45.5;0;0.0;9.75

12i;Klausner Yanick;**;;;;;;;;;55.25
+;;;Brand Christian;**;;;;;;;9.75
o;2;9.75;Huber Cédric;**;5;57.0;1;10.0;-1;0.25;8.5
+;7;18.25;Studer Remo;;15;54.5;4;19.0;-3;0.75;10.0
o;5;28.25;Blatter Lorenz;**;5;57.0;5;28.25;0;0.0;8.5
+;9;36.75;Riesen Ruedi;;17;54.0;10;36.5;1;-0.25;10.0
o;7;46.75;Stalder Remo;***;4;57.25;4;47.5;-3;0.75;8.5

12j;Krebs Clemens;;;;;;;;;;55.25
o;;;Küng Marco;;;;;;;;8.5
+;5;8.5;Büchi Christian;;17;54.0;5;8.5;0;0.0;10.0
-;6;18.5;Moser Matthias;*;24;35.25;10;17.25;4;-1.25;8.75
+;9;27.25;Müller Simon;;16;54.25;10;27.0;1;-0.25;9.75
o;8;37.0;Stegmüller Klemens;*;10;55.75;7;37.25;-1;0.25;8.5
+;12;45.5;Reimann Marco (1998);;18;53.75;13;45.25;1;-0.25;9.75

12k;Brügger Cyrill (1998);;;;;;;;;;55.25
+;;;Körkel Yannik (1997);;;;;;;;9.75
+;2;9.75;Lehmann Robin (1999);;18;53.75;1;10.0;-1;0.25;9.75
o;3;19.5;Kramer Franz;*;16;54.25;6;18.5;3;-1.0;8.5
-;6;28.0;Lang Martin;**;11;55.5;10;27.0;4;-1.0;8.75
+;9;36.75;Reimann Marco (1998);;18;53.75;9;36.75;0;0.0;10.0
o;7;46.75;Studinger Stephan;**;5;57.0;6;47.0;-1;0.25;8.5

13a;Hiltbrand Ron;;;;;;;;;;55.0
+;;;Siegrist Christian (1997);;;;;;;;9.75
+;2;9.75;Treier Tobias (1998);;22;52.75;1;10.0;-1;0.25;9.75
o;3;19.5;von Arx Christian;*;12;55.25;5;18.75;2;-0.75;8.75
o;5;28.25;Studinger Mathias;**;10;55.75;10;27.0;5;-1.25;8.5
o;9;36.75;Stüdeli Thomas;**;7;56.5;8;37.0;-1;0.25;8.5
+;13;45.25;Steger Robert (1998);;19;53.5;14;45.0;1;-0.25;9.75

13b;Stoll Simon;;;;;;;;;;55.0
+;;;Wilhelm Manuel;;;;;;;;10.0
-;1;10.0;Hermann Oliver;;12;55.25;2;9.75;1;-0.25;9.0
+;4;19.0;Strebel Joel (1997);**;30;26.25;8;17.75;4;-1.25;10.0
o;2;29.0;Stoffel Marc;**;5;57.0;4;28.5;2;-0.5;8.5
o;6;37.5;Vieira Tiago;**;9;56.0;6;37.5;0;0.0;8.75
-;9;46.25;Brand Christian;**;12;55.25;8;46.5;-1;0.25;8.75

13c;Brun Samuel (1999);;;;;;;;;;55.0
+;;;Reinhard Adrian (1997);;;;;;;;9.75
+;2;9.75;Kaspar Jan (1999);;16;54.25;1;10.0;-1;0.25;10.0
o;2;19.75;Probst Gabriel;**;12;55.25;6;18.5;4;-1.25;8.5
o;5;28.25;Studinger Stephan;**;5;57.0;4;28.5;-1;0.25;8.5
+;9;36.75;Steger Robert (1998);;19;53.5;10;36.5;1;-0.25;9.75
o;8;46.5;Hauri Urs;**;6;56.75;6;47.0;-2;0.5;8.5

13d;Widmer David;;;;;;;;;;55.0
+;;;Weber Stephan;;;;;;;;10.0
o;1;10.0;Nyffeler Christoph;;15;54.5;1;10.0;0;0.0;8.75
-;5;18.75;Schläpfer Matthias;*;30;26.25;9;17.5;4;-1.25;8.75
-;8;27.5;Scherrer Johann;**;14;54.75;9;27.25;1;-0.25;9.0
o;10;36.5;Andermatt Adrian;;12;55.25;9;36.75;-1;0.25;8.5
+;14;45.0;Roth Christian;;19;53.5;14;45.0;0;0.0;10.0

14a;Scherrer Johann;**;;;;;;;;;54.75
o;;;Mahrer Jürg;**;;;;;;;8.5
-;5;8.5;Hügli Kaj (1997);*;14;54.75;4;8.75;-1;0.25;8.75
+;10;17.25;Müller Simon;;16;54.25;6;18.5;-4;1.25;10.0
-;9;27.25;Widmer David;;13;55.0;8;27.5;-1;0.25;9.0
+;11;36.25;Burtschi Michael;;21;53.0;12;36.0;1;-0.25;10.0
o;9;46.25;Müller Bruno;***;8;56.25;9;46.25;0;0.0;8.5

14b;Furrer Mathias;;;;;;;;;;54.75
+;;;Haymoz Kevin;;;;;;;;9.75
+;2;9.75;Regenass Beat;;17;54.0;4;8.75;2;-1.0;9.75
o;3;19.5;Brand Christian;**;12;55.25;7;18.25;4;-1.25;8.5
o;6;28.0;Bader Andreas;*;15;54.5;8;27.5;2;-0.5;8.5
+;10;36.5;Roth Christian;;19;53.5;10;36.5;0;0.0;9.75
o;9;46.25;Blatter Lorenz;**;5;57.0;5;47.25;-4;1.0;8.5

14c;Siegrist Christian (1997);;;;;;;;;;54.75
o;;;Hiltbrand Ron;;;;;;;;8.5
+;5;8.5;Burtschi Michael;;21;53.0;5;8.5;0;0.0;9.75
+;7;18.25;Fritz Andreas;;26;34.75;10;17.25;3;-1.0;9.75
o;6;28.0;Huber Jan (1997);*;11;55.5;10;27.0;4;-1.0;8.5
o;10;36.5;Hasler Jimmy;*;11;55.5;7;37.25;-3;0.75;8.5
+;14;45.0;Gisin Yanic;;20;53.25;15;44.75;1;-0.25;9.75

14d;Hügli Kaj (1997);*;;;;;;;;;54.75
-;;;Schläpfer Matthias;*;;;;;;;8.75
-;4;8.75;Scherrer Johann;**;14;54.75;5;8.5;1;-0.25;8.75
o;9;17.5;Kohler Adrian;;10;55.75;5;18.75;-4;1.25;8.5
+;13;26.0;Bär Leo;;17;54.0;9;27.25;-4;1.25;10.0
