3339-2019-06-23_Fete_alpestre_Lac_Noir-Bergschwinget_Schwarzsee-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.75
-;9;37.0;Steffen Konrad;*;15;54.5;9;37.0;0;0.0;9.0
o;11;46.0;Staudenmann Fabian;**;4;57.25;5;47.5;-6;1.5;8.5

15e;Steffen Konrad;*;;;;;;;;;54.5
+;;;Riedo Fredy;*;;;;;;;9.75
o;2;9.75;Matthey Mickaël;**;16;54.25;3;9.0;1;-0.75;8.75
o;6;18.5;Gapany Benjamin;**;12;55.25;7;18.25;1;-0.25;8.5
+;11;27.0;Gottofrey Luc;*;21;52.75;12;26.75;1;-0.25;10.0
-;9;37.0;Rychen Roger;***;15;54.5;9;37.0;0;0.0;8.75
o;12;45.75;Ducrest Etienne;*;11;55.5;12;45.75;0;0.0;8.75

15f;Habegger Heinz;**;;;;;;;;;54.5
+;;;Rossy Yannick;*;;;;;;;10.0
o;1;10.0;Good Marco;*;11;55.5;3;9.0;2;-1.0;8.75
-;5;18.75;Burkhalter Stefan;***;13;55.0;9;17.5;4;-1.25;8.75
+;9;27.5;Collaud Romain (2002);*;16;54.25;10;27.25;1;-0.25;10.0
o;7;37.5;Bösch Daniel;***;6;56.75;9;37.0;2;-0.5;8.5
o;11;46.0;Dändliker Shane;**;10;55.75;11;46.0;0;0.0;8.5

16a;Borcard Johann;**;;;;;;;;;54.25
-;;;Luginbühl Hanspeter;**;;;;;;;8.75
-;4;8.75;Steffen Valentin;*;23;35.75;1;10.0;-3;1.25;8.75
+;9;17.5;Crettaz Olivier;*;27;34.25;11;17.0;2;-0.5;9.75
+;10;27.25;Schlegel Werner (2002);*;14;54.75;9;27.5;-1;0.25;9.75
o;9;37.0;Krähenbühl Tobias;***;11;55.5;9;37.0;0;0.0;8.75
o;12;45.75;Dumelin David;**;12;55.25;13;45.5;1;-0.25;8.5

16b;Schwander Severin;**;;;;;;;;;54.25
o;;;Ducrest Etienne;*;;;;;;;8.5
+;5;8.5;Loup Alexandre;*;28;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Krähenbühl Tobias;***;11;55.5;6;18.5;0;0.0;10.0
-;5;28.5;Gapany Benjamin;**;12;55.25;7;28.0;2;-0.5;8.75
o;8;37.25;Roth Martin;**;11;55.5;8;37.25;0;0.0;8.5
o;12;45.75;Wey Nicola;*;12;55.25;13;45.5;1;-0.25;8.5

16c;Duplan Steve;**;;;;;;;;;54.25
o;;;Staudenmann Fabian;**;;;;;;;8.5
+;5;8.5;Emonet Fabien;**;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Rolli Martin;**;8;56.25;7;18.25;1;-0.25;8.5
o;11;27.0;Koch Reto;*;14;54.75;11;27.0;0;0.0;8.5
o;15;35.5;Ducrest Etienne;*;11;55.5;14;35.75;-1;0.25;8.75
+;18;44.25;Kramer Dorian;*;21;52.75;18;44.25;0;0.0;10.0

16d;Rapin Florent;*;;;;;;;;;54.25
o;;;Wittenwiler Roman;*;;;;;;;8.5
-;5;8.5;Ramseier Thomas;*;14;54.75;4;8.75;-1;0.25;8.75
o;10;17.25;Schneider Domenic;***;15;54.5;8;17.75;-2;0.5;8.5
+;15;25.75;Rossy Yannick;*;28;34.0;16;25.5;1;-0.25;10.0
-;14;35.75;Haenni Stéphane;**;20;53.25;14;35.75;0;0.0;8.75
+;17;44.5;Zimmermann Mario;*;22;52.5;19;44.0;2;-0.5;9.75

16e;Collaud Romain (2002);*;;;;;;;;;54.25
+;;;Kammermann Thomas;*;;;;;;;10.0
o;1;10.0;Graber Willy;***;5;57.0;1;10.0;0;0.0;8.75
o;5;18.75;Gäumann Stefan;*;11;55.5;2;19.75;-3;1.0;8.5
o;10;27.25;Habegger Heinz;**;15;54.5;9;27.5;-1;0.25;8.5
o;14;35.75;Schlegel Werner (2002);*;14;54.75;12;36.25;-2;0.5;8.5
+;18;44.25;Ammann Rico;*;19;53.5;15;45.0;-3;0.75;10.0

16f;Matthey Mickaël;**;;;;;;;;;54.25
-;;;Good Marco;*;;;;;;;9.0
+;3;9.0;Steffen Konrad;*;15;54.5;2;9.75;-1;0.75;9.75
o;5;18.75;Kämpf Bernhard;***;5;57.0;6;18.5;1;-0.25;8.5
+;10;27.25;Rhyner Michael;**;25;35.25;12;26.75;2;-0.5;10.0
o;8;37.25;Roth Dominik;**;7;56.5;7;37.5;-1;0.25;8.5
o;12;45.75;Kuster Marcel;***;13;55.0;15;45.0;3;-0.75;8.5

17a;Mollet Ivan;*;;;;;;;;;54.0
o;;;Koch Reto;*;;;;;;;8.5
o;5;8.5;Wiget Michael;*;6;56.75;5;8.5;0;0.0;8.5
+;11;17.0;Kammermann Thomas;*;27;34.25;10;17.25;-1;0.25;10.0
o;11;27.0;Geisser Lars;**;15;54.5;10;27.25;-1;0.25;8.5
+;15;35.5;Studer Stefan;**;15;54.5;13;36.0;-2;0.5;10.0
o;13;45.5;Leuenberger Michael;*;12;55.25;14;45.25;1;-0.25;8.5

17b;Riedo Fredy;*;;;;;;;;;54.0
o;;;Steffen Konrad;*;;;;;;;8.5
+;5;8.5;Ammann Rico;*;19;53.5;5;8.5;0;0.0;10.0
o;6;18.5;Gerber Christian;**;11;55.5;6;18.5;0;0.0;8.5
o;11;27.0;Burger Matthieu (2001);*;13;55.0;11;27.0;0;0.0;8.5
+;15;35.5;Zimmermann Mario;*;22;52.5;15;35.5;0;0.0;10.0
o;13;45.5;Kämpf Alexander;**;11;55.5;13;45.5;0;0.0;8.5

18a;Borcard Clovis;*;;;;;;;;;53.75
+;;;Cotting Florian;*;;;;;;;10.0
o;1;10.0;Lengacher Jonas;**;2;58.25;1;10.0;0;0.0;8.5
o;6;18.5;Wey Nicola;*;12;55.25;6;18.5;0;0.0;8.5
o;11;27.0;Roch Vincent;**;12;55.25;5;28.5;-6;1.5;8.5
o;15;35.5;Ramseier Thomas;*;14;54.75;13;36.0;-2;0.5;8.5
+;19;44.0;Gottofrey Luc;*;21;52.75;18;44.25;-1;0.25;9.75

18b;Piemontesi Pascal;**;;;;;;;;;53.75
-;;;Roth Dominik;**;;;;;;;9.0
o;3;9.0;Gäumann Stefan;*;11;55.5;2;9.75;-1;0.75;8.5
+;9;17.5;Loup Alexandre;*;28;34.0;11;17.0;2;-0.5;10.0
o;9;27.5;Wenger Kilian;***;7;56.5;9;27.5;0;0.0;8.5
-;13;36.0;Hayoz Quentin;*;18;53.75;14;35.75;1;-0.25;9.0
-;15;45.0;Geisser Lars;**;15;54.5;12;45.75;-3;0.75;8.75

18c;Hayoz Quentin;*;;;;;;;;;53.75
o;;;Studer Stefan;**;;;;;;;8.5
-;5;8.5;Bernold Christian;**;14;54.75;5;8.5;0;0.0;8.75
o;10;17.25;Gnägi Florian;***;9;56.0;10;17.25;0;0.0;8.5
+;15;25.75;Kammermann Thomas;*;27;34.25;15;25.75;0;0.0;10.0
-;14;35.75;Piemontesi Pascal;**;18;53.75;13;36.0;-1;0.25;9.0
-;16;44.75;Minder Florian;**;20;53.25;18;44.25;2;-0.5;9.0

18d;Koch Thomas;*;;;;;;;;;53.75
+;;;Zimmermann Mario;*;;;;;;;10.0
+;1;10.0;Gnägi Florian;***;9;56.0;4;8.75;3;-1.25;9.75
o;2;19.75;Anderegg Simon;***;3;58.0;2;19.75;0;0.0;8.5
o;6;28.25;Weyermann Florian;*;6;56.75;5;28.5;-1;0.25;8.5
o;10;36.75;Staudenmann Fabian;**;4;57.25;6;37.75;-4;1.0;8.5
o;14;45.25;Brodard Augustin;**;12;55.25;13;45.5;-1;0.25;8.5

18e;Wittenwiler Roman;*;;;;;;;;;53.75
+;;;Rapin Florent;*;;;;;;;9.75
o;2;9.75;Käser Remo;***;4;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Grossenbacher Simon (2002);*;25;35.25;11;17.0;4;-1.25;9.75
o;7;28.0;Wiget Michael;*;6;56.75;7;28.0;0;0.0;8.5
o;11;36.5;Ramseier Fritz;**;11;55.5;9;37.0;-2;0.5;8.5
-;15;45.0;Haenni Stéphane;**;20;53.25;17;44.5;2;-0.5;8.75

19a;Ammann Rico;*;;;;;;;;;53.5
o;;;Graber Willy;***;;;;;;;8.5
o;5;8.5;Riedo Fredy;*;17;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Balimann Sandro (2001);*;20;53.25;9;17.5;-2;0.5;9.75
+;12;26.75;Kramer Dorian;*;21;52.75;11;27.0;-1;0.25;9.75
o;11;36.5;Gottofrey Marc;**;14;54.75;13;36.0;2;-0.5;8.5
o;15;45.0;Collaud Romain (2002);*;16;54.25;18;44.25;3;-0.75;8.5

20a;Minder Florian;**;;;;;;;;;53.25
o;;;Ramseier Fritz;**;;;;;;;8.5
+;5;8.5;Kammermann Thomas;*;27;34.25;5;8.5;0;0.0;10.0
-;6;18.5;Studer Stefan;**;15;54.5;6;18.5;0;0.0;8.75
o;10;27.25;Gnägi Florian;***;9;56.0;10;27.25;0;0.0;8.5
o;14;35.75;Bernold Christian;**;14;54.75;12;36.25;-2;0.5;8.5
-;18;44.25;Hayoz Quentin;*;18;53.75;16;44.75;-2;0.5;9.0

20b;Haenni Stéphane;**;;;;;;;;;53.25
o;;;Rolli Martin;**;;;;;;;8.5
o;5;8.5;Gobeli Patrick;**;5;57.0;4;8.75;-1;0.25;8.75
+;10;17.25;Guisolan Marc;**;24;35.5;10;17.25;0;0.0;10.0
o;10;27.25;Zenger Niklaus;***;6;56.75;6;28.25;-4;1.0;8.5
-;14;35.75;Rapin Florent;*;16;54.25;14;35.75;0;0.0;8.75
-;17;44.5;Wittenwiler Roman;*;18;53.75;15;45.0;-2;0.5;8.75

20c;Balimann Sandro (2001);*;;;;;;;;;53.25
-;;;Zangger Dominik;*;;;;;;;8.75
o;4;8.75;Ramseier Fritz;**;11;55.5;1;10.0;-3;1.25;8.75
o;9;17.5;Ammann Rico;*;19;53.5;11;17.0;2;-0.5;8.5
+;14;26.0;Parvex Yannick;*;28;34.0;16;25.5;2;-0.5;10.0
o;13;36.0;Kämpf Alexander;**;11;55.5;9;37.0;-4;1.0;8.5
o;17;44.5;Burger Matthieu (2001);*;13;55.0;14;45.25;-3;0.75;8.75

21a;Kramer Dorian;*;;;;;;;;;52.75
o;;;Gäumann Stefan;*;;;;;;;8.5
o;5;8.5;Geisser Lars;**;15;54.5;5;8.5;0;0.0;8.5
+;11;17.0;Parvex Yannick;*;28;34.0;11;17.0;0;0.0;10.0
o;11;27.0;Ammann Rico;*;19;53.5;12;26.75;1;-0.25;8.5
-;15;35.5;Gottofrey Luc;*;21;52.75;15;35.5;0;0.0;8.75
o;18;44.25;Duplan Steve;**;16;54.25;18;44.25;0;0.0;8.5

21b;Gottofrey Luc;*;;;;;;;;;52.75
+;;;Buchs Carlo;*;;;;;;;9.75
o;2;9.75;Kämpf Bernhard;***;5;57.0;5;8.5;3;-1.25;8.5
o;7;18.25;Luginbühl Hanspeter;**;8;56.25;5;18.75;-2;0.5;8.5
o;12;26.75;Steffen Konrad;*;15;54.5;11;27.0;-1;0.25;8.75
-;15;35.5;Kramer Dorian;*;21;52.75;15;35.5;0;0.0;8.75
o;18;44.25;Borcard Clovis;*;18;53.75;19;44.0;1;-0.25;8.5

22a;Lerch Jimmy;*;;;;;;;;;52.5
+;;;Dubey Gaël;*;;;;;;;10.0
o;1;10.0;von Weissenfluh Kilian;**;5;57.0;2;9.75;1;-0.25;8.5
o;6;18.5;Staudenmann Fabian;**;4;57.25;5;18.75;-1;0.25;8.5
o;11;27.0;Lengacher Jonas;**;2;58.25;5;28.5;-6;1.5;8.5
o;15;35.5;Dändliker Shane;**;10;55.75;13;36.0;-2;0.5;8.5
o;19;44.0;Studer Stefan;**;15;54.5;17;44.5;-2;0.5;8.5

22b;Zimmermann Mario;*;;;;;;;;;52.5
o;;;Koch Thomas;*;;;;;;;8.5
+;5;8.5;Rossy Yannick;*;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Käser Remo;***;4;57.25;6;18.5;0;0.0;8.5
o;11;27.0;Leuenberger Michael;*;12;55.25;11;27.0;0;0.0;8.5
o;15;35.5;Riedo Fredy;*;17;54.0;15;35.5;0;0.0;8.5
o;19;44.0;Rapin Florent;*;16;54.25;17;44.5;-2;0.5;8.5

23a;Steffen Valentin;*;;;;;;;;;35.75
+;;;Parvex Yannick;*;;;;;;;10.0
-;1;10.0;Borcard Johann;**;16;54.25;4;8.75;3;-1.25;8.75
o;5;18.75;Roth Martin;**;11;55.5;6;18.5;1;-0.25;8.5
o;10;27.25;Burkhalter Stefan;***;13;55.0;13;26.25;3;-1.0;8.5

24a;Guisolan Marc;**;;;;;;;;;35.5
-;;;Marti Stefan;**;;;;;;;8.75
o;4;8.75;Weyermann Florian;*;6;56.75;1;10.0;-3;1.25;8.5
o;10;17.25;Haenni Stéphane;**;20;53.25;10;17.25;0;0.0;8.5
+;15;25.75;Emonet Fabien;**;28;34.0;16;25.5;1;-0.25;9.75

25a;Rhyner Michael;**;;;;;;;;;35.25
o;;;Zenger Niklaus;***;;;;;;;8.5
o;5;8.5;von Büren Stephan;**;13;55.0;2;9.75;-3;1.25;8.5
+;11;17.0;Emonet Fabien;**;28;34.0;11;17.0;0;0.0;9.75
o;12;26.75;Matthey Mickaël;**;16;54.25;10;27.25;-2;0.5;8.5

25b;Grossenbacher Simon (2002);*;;;;;;;;;35.25
o;;;Burger Matthieu (2001);*;;;;;;;8.5
o;5;8.5;Roth Dominik;**;7;56.5;3;9.0;-2;0.5;8.5
o;11;17.0;Wittenwiler Roman;*;18;53.75;7;18.25;-4;1.25;8.5
+;16;25.5;Colò Kilian;**;27;34.25;15;25.75;-1;0.25;9.75

26a;Dubey Gaël;*;;;;;;;;;34.5
o;;;Lerch Jimmy;*;;;;;;;8.5
o;5;8.5;Kämpf Alexander;**;11;55.5;4;8.75;-1;0.25;8.5
-;11;17.0;Ducrest Etienne;*;11;55.5;7;18.25;-4;1.25;8.75
-;15;25.75;Buchs Carlo;*;27;34.25;16;25.5;1;-0.25;8.75

27a;Crettaz Olivier;*;;;;;;;;;34.25
o;;;Wey Nicola;*;;;;;;;8.5
o;5;8.5;Roth Martin;**;11;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Borcard Johann;**;16;54.25;9;17.5;-2;0.5;8.5
-;16;25.5;Cotting Florian;*;27;34.25;16;25.5;0;0.0;8.75

27b;Colò Kilian;**;;;;;;;;;34.25
o;;;Weyermann Florian;*;;;;;;;8.5
o;5;8.5;Luginbühl Hanspeter;**;8;56.25;4;8.75;-1;0.25;8.5
-;11;17.0;Ducry Antoine;**;14;54.75;10;17.25;-1;0.25;8.75
o;15;25.75;Grossenbacher Simon (2002);*;25;35.25;16;25.5;1;-0.25;8.5

27c;Cotting Florian;*;;;;;;;;;34.25
o;;;Borcard Clovis;*;;;;;;;8.5
o;5;8.5;Brodard Augustin;**;12;55.25;4;8.75;-1;0.25;8.5
o;11;17.0;Ramseier Thomas;*;14;54.75;9;17.5;-2;0.5;8.5
-;16;25.5;Crettaz Olivier;*;27;34.25;16;25.5;0;0.0;8.75

27d;Kammermann Thomas;*;;;;;;;;;34.25
o;;;Collaud Romain (2002);*;;;;;;;8.5
o;5;8.5;Minder Florian;**;20;53.25;5;8.5;0;0.0;8.75
o;10;17.25;Mollet Ivan;*;17;54.0;11;17.0;1;-0.25;8.5
o;15;25.75;Hayoz Quentin;*;18;53.75;15;25.75;0;0.0;8.5

27e;Buchs Carlo;*;;;;;;;;;34.25
o;;;Gottofrey Luc;*;;;;;;;8.5
o;5;8.5;Zangger Dominik;*;11;55.5;3;9.0;-2;0.5;8.5
o;11;17.0;Bernold Christian;**;14;54.75;9;17.5;-2;0.5;8.5
-;16;25.5;Dubey Gaël;*;26;34.5;15;25.75;-1;0.25;8.75

28a;Parvex Yannick;*;;;;;;;;;34.0
o;;;Steffen Valentin;*;;;;;;;8.5
o;5;8.5;Dumelin David;**;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Kramer Dorian;*;21;52.75;11;17.0;0;0.0;8.5
o;16;25.5;Balimann Sandro (2001);*;20;53.25;14;26.0;-2;0.5;8.5

28b;Emonet Fabien;**;;;;;;;;;34.0
o;;;von Büren Stephan;**;;;;;;;8.5
o;5;8.5;Duplan Steve;**;16;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Rhyner Michael;**;25;35.25;11;17.0;0;0.0;8.5
o;16;25.5;Guisolan Marc;**;24;35.5;15;25.75;-1;0.25;8.5

28c;Rossy Yannick;*;;;;;;;;;34.0
o;;;Habegger Heinz;**;;;;;;;8.5
o;5;8.5;Roch Vincent;**;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Zimmermann Mario;*;22;52.5;6;18.5;-5;1.5;8.5
o;16;25.5;Rapin Florent;*;16;54.25;15;25.75;-1;0.25;8.5

28d;Loup Alexandre;*;;;;;;;;;34.0
o;;;Leuenberger Michael;*;;;;;;;8.5
o;5;8.5;Schwander Severin;**;16;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Piemontesi Pascal;**;18;53.75;9;17.5;-2;0.5;8.5
o;16;25.5;Ducry Antoine;**;14;54.75;14;26.0;-2;0.5;8.5

29a;Moser Michael;**;;;;;;;;;18.5
+;;;Bernold Christian;**;;;;;;;10.0
o;1;10.0;Kramer Lario;**;7;56.5;4;8.75;3;-1.25;8.5

30a;Marti Stefan;**;;;;;;;;;8.75
-;;;Guisolan Marc;**;;;;;;;8.75

