3339-2019-06-23_Fete_alpestre_Lac_Noir-Bergschwinget_Schwarzsee-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.75
6c;Weyermann Florian;*;;;;;;;;;56.75
+;;;Colò Kilian;**;;;;;;;10.0
+;1;10.0;Guisolan Marc;**;24;35.5;4;8.75;3;-1.25;10.0
o;1;20.0;Rychen Roger;***;15;54.5;6;18.5;5;-1.5;8.5
+;5;28.5;Koch Thomas;*;18;53.75;6;28.25;1;-0.25;10.0
o;3;38.5;Kämpf Bernhard;***;5;57.0;4;38.25;1;-0.25;8.5
+;7;47.0;Roch Vincent;**;12;55.25;8;46.75;1;-0.25;9.75

6d;Bösch Daniel;***;;;;;;;;;56.75
+;;;Kämpf Bernhard;***;;;;;;;9.75
-;2;9.75;Aeschbacher Matthias;**;1;58.75;1;10.0;-1;0.25;8.75
+;6;18.5;Lengacher Jonas;**;2;58.25;1;20.0;-5;1.5;9.75
-;6;28.25;von Weissenfluh Kilian;**;5;57.0;2;29.5;-4;1.25;8.75
+;9;37.0;Habegger Heinz;**;15;54.5;7;37.5;-2;0.5;10.0
+;7;47.0;Gerber Christian;**;11;55.5;7;47.0;0;0.0;9.75

7a;Wenger Kilian;***;;;;;;;;;56.5
-;;;Schneider Domenic;***;;;;;;;8.75
+;4;8.75;Gottofrey Marc;**;14;54.75;2;9.75;-2;1.0;9.75
-;6;18.5;Good Marco;*;11;55.5;4;19.0;-2;0.5;9.0
+;9;27.5;Piemontesi Pascal;**;18;53.75;9;27.5;0;0.0;10.0
+;7;37.5;Geisser Lars;**;15;54.5;8;37.25;1;-0.25;10.0
-;5;47.5;Roth Dominik;**;7;56.5;5;47.5;0;0.0;9.0

7b;Kramer Lario;**;;;;;;;;;56.5
-;;;Gnägi Florian;***;;;;;;;8.75
+;4;8.75;Moser Michael;**;29;18.5;1;10.0;-3;1.25;10.0
+;5;18.75;von Büren Stephan;**;13;55.0;2;19.75;-3;1.0;10.0
-;4;28.75;Roth Dominik;**;7;56.5;4;28.75;0;0.0;9.0
-;6;37.75;Gäumann Stefan;*;11;55.5;5;38.0;-1;0.25;9.0
+;8;46.75;Zangger Dominik;*;11;55.5;7;47.0;-1;0.25;9.75

7c;Roth Dominik;**;;;;;;;;;56.5
-;;;Piemontesi Pascal;**;;;;;;;9.0
+;3;9.0;Grossenbacher Simon (2002);*;25;35.25;5;8.5;2;-0.5;10.0
+;4;19.0;Koch Reto;*;14;54.75;7;18.25;3;-0.75;9.75
-;4;28.75;Kramer Lario;**;7;56.5;4;28.75;0;0.0;8.75
+;7;37.5;Matthey Mickaël;**;16;54.25;8;37.25;1;-0.25;10.0
-;5;47.5;Wenger Kilian;***;7;56.5;5;47.5;0;0.0;9.0

7d;Sempach Thomas;***;;;;;;;;;56.5
+;;;Kuster Marcel;***;;;;;;;9.75
+;2;9.75;Ducrest Etienne;*;11;55.5;2;9.75;0;0.0;10.0
o;2;19.75;Orlik Curdin;**;5;57.0;3;19.5;1;-0.25;8.5
-;6;28.25;Bernold Christian;**;14;54.75;9;27.5;3;-0.75;8.75
+;9;37.0;Dumelin David;**;12;55.25;9;37.0;0;0.0;9.75
+;8;46.75;Gapany Benjamin;**;12;55.25;8;46.75;0;0.0;9.75

8a;Luginbühl Hanspeter;**;;;;;;;;;56.25
-;;;Borcard Johann;**;;;;;;;8.75
+;4;8.75;Colò Kilian;**;27;34.25;5;8.5;1;-0.25;10.0
+;5;18.75;Gottofrey Luc;*;21;52.75;7;18.25;2;-0.5;10.0
-;4;28.75;Rychen Roger;***;15;54.5;6;28.25;2;-0.5;8.75
-;7;37.5;Koch Reto;*;14;54.75;9;37.0;2;-0.5;8.75
+;10;46.25;Schlegel Werner (2002);*;14;54.75;10;46.25;0;0.0;10.0

8b;Rolli Martin;**;;;;;;;;;56.25
+;;;Haenni Stéphane;**;;;;;;;9.75
o;2;9.75;Kuster Marcel;***;13;55.0;5;8.5;3;-1.25;8.5
+;7;18.25;Duplan Steve;**;16;54.25;6;18.5;-1;0.25;9.75
+;7;28.0;Ducrest Etienne;*;11;55.5;10;27.25;3;-0.75;10.0
o;5;38.0;Orlik Curdin;**;5;57.0;4;38.25;-1;0.25;8.5
+;9;46.5;Schneider Domenic;***;15;54.5;11;46.0;2;-0.5;9.75

9a;Gnägi Florian;***;;;;;;;;;56.0
-;;;Kramer Lario;**;;;;;;;8.75
o;4;8.75;Koch Thomas;*;18;53.75;1;10.0;-3;1.25;8.5
+;10;17.25;Hayoz Quentin;*;18;53.75;10;17.25;0;0.0;10.0
