2756-2016-06-19_Fete_Alpestre_Lac_Noir-Schwarzsee-Schwingfest2-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
+;;;Bösch Daniel;***;;;;;;;10.0
+;1;10.0;Krähenbühl Tobias;**;10;55.75;1;10.0;0;0.0;10.0
+;1;20.0;Glaus Martin;***;9;56.0;5;18.75;4;-1.25;10.0
+;1;30.0;Bless Michael;***;10;55.75;5;28.5;4;-1.5;9.75
+;1;39.75;Gerber Christian;**;8;56.25;4;38.75;3;-1.0;10.0
-;1;49.75;Stucki Christian;***;2;58.25;2;48.25;1;-1.5;8.75

2a;Stucki Christian;***;;;;;;;;;58.25
+;;;Bless Michael;***;;;;;;;9.75
+;2;9.75;Schneider Mario;**;15;54.5;1;10.0;-1;0.25;9.75
+;3;19.5;Zaugg Thomas;***;6;56.75;1;20.0;-2;0.5;10.0
+;2;29.5;Rychen Roger;**;11;55.5;4;28.75;2;-0.75;10.0
-;2;39.5;Kämpf Bernhard;***;3;58.0;3;39.25;1;-0.25;8.75
+;2;48.25;Siegenthaler Matthias;***;6;56.75;2;48.25;0;0.0;10.0
-;2;58.25;Sempach Matthias;***;1;58.5;1;58.5;-1;0.25;0.0

3a;Kämpf Bernhard;***;;;;;;;;;58.0
+;;;Eugster Ruedi;**;;;;;;;10.0
+;1;10.0;Gapany Benjamin;**;23;45.0;2;9.75;1;-0.25;9.75
+;2;19.75;Moser Michael;**;6;56.75;2;19.75;0;0.0;9.75
+;2;29.5;Gnägi Florian;***;6;56.75;4;28.75;2;-0.75;9.75
-;3;39.25;Stucki Christian;***;2;58.25;2;39.5;-1;0.25;8.75
+;3;48.0;Zaugg Thomas;***;6;56.75;2;48.25;-1;0.25;10.0

4a;Wenger Kilian;***;;;;;;;;;57.25
o;;;Burkhalter Stefan;***;;;;;;;8.5
+;5;8.5;Wüthrich Niklaus;**;25;35.5;1;10.0;-4;1.5;10.0
+;6;18.5;Gottofrey Marc;**;16;54.25;6;18.5;0;0.0;10.0
-;5;28.5;Bösch Daniel;***;5;57.0;6;28.25;1;-0.25;8.75
+;10;37.25;Mathys Simon;*;11;55.5;10;37.25;0;0.0;10.0
+;6;47.25;Roth Philipp;*;10;55.75;6;47.25;0;0.0;10.0

5a;Bösch Daniel;***;;;;;;;;;57.0
o;;;Sempach Matthias;***;;;;;;;8.5
+;5;8.5;Röthlisberger Simon;**;6;56.75;1;10.0;-4;1.5;10.0
+;6;18.5;Anderegg Simon;***;11;55.5;2;19.75;-4;1.25;9.75
-;6;28.25;Wenger Kilian;***;4;57.25;5;28.5;-1;0.25;8.75
+;11;37.0;Schenk Patrick;**;10;55.75;10;37.25;-1;0.25;10.0
+;7;47.0;Roschi Ruedi;**;13;55.0;9;46.5;2;-0.5;10.0

6a;Gnägi Florian;***;;;;;;;;;56.75
+;;;Rhyner Michael;**;;;;;;;10.0
-;1;10.0;Wampfler Beat;***;11;55.5;2;9.75;1;-0.25;8.75
+;5;18.75;Kramer Lario (1998);**;15;54.5;6;18.5;1;-0.25;10.0
o;4;28.75;Kämpf Bernhard;***;3;58.0;2;29.5;-2;0.75;8.5
+;10;37.25;Schneider Domenic;**;16;54.25;11;37.0;1;-0.25;9.75
+;7;47.0;Hersche Martin;**;13;55.0;9;46.5;2;-0.5;9.75

6b;Röthlisberger Simon;**;;;;;;;;;56.75
+;;;Mauron Olivier;*;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;5;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Remy Guillaume;**;25;35.5;6;18.5;0;0.0;9.75
-;6;28.25;Piemontesi Pascal;**;14;54.75;8;27.5;2;-0.75;8.75
+;11;37.0;Schmid Reto;**;17;54.0;12;36.75;1;-0.25;9.75
+;8;46.75;Borcard Johann;**;13;55.0;9;46.5;1;-0.25;10.0

6c;Moser Michael;**;;;;;;;;;56.75
+;;;Overney Olivier;*;;;;;;;10.0
+;1;10.0;Kuster Marcel;**;16;54.25;4;8.75;3;-1.25;9.75
o;2;19.75;Kämpf Bernhard;***;3;58.0;2;19.75;0;0.0;8.5
+;6;28.25;Mosimann Vincent;*;21;52.75;9;27.25;3;-1.0;9.75
-;7;38.0;Orlik Armon;**;9;56.0;9;37.5;2;-0.5;8.75
+;8;46.75;Graber Willy;***;9;56.0;6;47.25;-2;0.5;10.0

6d;Guisolan Marc;**;;;;;;;;;56.75
o;;;Wampfler Beat;***;;;;;;;8.5
+;5;8.5;Roschi Ruedi;**;13;55.0;2;9.75;-3;1.25;9.75
+;7;18.25;Scherer Christian;*;25;35.5;6;18.5;-1;0.25;10.0
o;6;28.25;Zaugg Thomas;***;6;56.75;5;28.5;-1;0.25;8.5
+;12;36.75;Gwerder Andreas;**;18;53.5;15;36.0;3;-0.75;10.0
+;8;46.75;Thomet Adrian;**;11;55.5;8;46.75;0;0.0;10.0

6e;Aeschbacher Matthias;**;;;;;;;;;56.75
+;;;Schneider Domenic;**;;;;;;;9.75
o;2;9.75;Glarner Matthias;***;8;56.25;1;10.0;-1;0.25;8.5
+;7;18.25;Eugster Ruedi;**;12;55.25;6;18.5;-1;0.25;10.0
o;6;28.25;Orlik Armon;**;9;56.0;8;27.5;2;-0.75;8.75
+;11;37.0;Wickli Beat;**;16;54.25;11;37.0;0;0.0;10.0
+;7;47.0;Bless Michael;***;10;55.75;7;47.0;0;0.0;9.75

6f;Zaugg Thomas;***;;;;;;;;;56.75
+;;;Battaglia Ursin;**;;;;;;;10.0
+;1;10.0;Wickli Beat;**;16;54.25;1;10.0;0;0.0;10.0
o;1;20.0;Stucki Christian;***;2;58.25;3;19.5;2;-0.5;8.5
+;5;28.5;Guisolan Marc;**;6;56.75;6;28.25;1;-0.25;9.75
+;6;38.25;Hersche Martin;**;13;55.0;7;38.0;1;-0.25;10.0
o;2;48.25;Kämpf Bernhard;***;3;58.0;3;48.0;1;-0.25;8.5

6g;Siegenthaler Matthias;***;;;;;;;;;56.75
+;;;Moser Steven;**;;;;;;;9.75
+;2;9.75;Burkhalter Stefan;***;24;35.75;1;10.0;-1;0.25;10.0
-;2;19.75;Glarner Matthias;***;8;56.25;1;20.0;-1;0.25;9.0
+;4;28.75;Zwyssig Raphael;***;8;56.25;6;28.25;2;-0.5;9.75
+;5;38.5;Thomet Adrian;**;11;55.5;6;38.25;1;-0.25;9.75
o;2;48.25;Stucki Christian;***;2;58.25;2;48.25;0;0.0;8.5

7a;Käser Remo;**;;;;;;;;;56.5
-;;;Orlik Armon;**;;;;;;;9.0
+;3;9.0;Hersche Martin;**;13;55.0;2;9.75;-1;0.75;10.0
+;4;19.0;Gwerder Andreas;**;18;53.5;6;18.5;2;-0.5;10.0
-;3;29.0;Anderegg Simon;***;11;55.5;6;28.25;3;-0.75;8.75
+;8;37.75;Wampfler Beat;***;11;55.5;10;37.25;2;-0.5;10.0
-;4;47.75;Glarner Matthias;***;8;56.25;5;47.5;1;-0.25;8.75

8a;Glarner Matthias;***;;;;;;;;;56.25
+;;;Nydegger Michael;***;;;;;;;10.0
+;1;10.0;Aeschbacher Matthias;**;6;56.75;2;9.75;1;-0.25;10.0
-;1;20.0;Siegenthaler Matthias;***;6;56.75;2;19.75;1;-0.25;8.75
-;4;28.75;Krähenbühl Tobias;**;10;55.75;5;28.5;1;-0.25;8.75
+;9;37.5;Kramer Lario (1998);**;15;54.5;11;37.0;2;-0.5;10.0
-;5;47.5;Käser Remo;**;7;56.5;4;47.75;-1;0.25;8.75

8b;Zwyssig Raphael;***;;;;;;;;;56.25
-;;;Graber Willy;***;;;;;;;8.75
+;4;8.75;Mathys Simon;*;11;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Gäggeler Adrian;*;14;54.75;1;20.0;-5;1.5;9.75
o;6;28.25;Siegenthaler Matthias;***;6;56.75;4;28.75;-2;0.5;8.5
+;12;36.75;Zenger Niklaus;***;10;55.75;11;37.0;-1;0.25;9.75
+;9;46.5;von Weissenfluh Kilian;*;13;55.0;9;46.5;0;0.0;9.75

8c;Gerber Christian;**;;;;;;;;;56.25
+;;;Haenni Stéphane;**;;;;;;;10.0
+;1;10.0;Notz Beni;***;26;35.25;5;8.5;4;-1.5;10.0
o;1;20.0;Bless Michael;***;10;55.75;6;18.5;5;-1.5;8.75
+;4;28.75;Schmid Reto;**;17;54.0;6;28.25;2;-0.5;10.0
o;4;38.75;Sempach Matthias;***;1;58.5;1;39.75;-3;1.0;8.5
-;6;47.25;Krähenbühl Tobias;**;10;55.75;7;47.0;1;-0.25;9.0

9a;Graber Willy;***;;;;;;;;;56.0
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Brodard Simon;**;19;53.25;2;9.75;-2;1.0;10.0
+;5;18.75;Haenni Stéphane;**;25;35.5;6;18.5;1;-0.25;9.75
-;5;28.5;Sempach Thomas;***;10;55.75;5;28.5;0;0.0;8.75
+;10;37.25;Kuster Marcel;**;16;54.25;11;37.0;1;-0.25;10.0
o;6;47.25;Moser Michael;**;6;56.75;8;46.75;2;-0.5;8.75

9b;Orlik Armon;**;;;;;;;;;56.0
-;;;Käser Remo;**;;;;;;;8.75
+;4;8.75;Marti Stefan;**;16;54.25;1;10.0;-3;1.25;10.0
-;5;18.75;Sempach Thomas;***;10;55.75;2;19.75;-3;1.0;8.75
+;8;27.5;Aeschbacher Matthias;**;6;56.75;6;28.25;-2;0.75;10.0
-;9;37.5;Moser Michael;**;6;56.75;7;38.0;-2;0.5;8.75
+;10;46.25;Piemontesi Pascal;**;14;54.75;10;46.25;0;0.0;9.75

9c;Glaus Martin;***;;;;;;;;;56.0
-;;;Piemontesi Pascal;**;;;;;;;8.75
+;4;8.75;Schmid Reto;**;17;54.0;2;9.75;-2;1.0;10.0
o;5;18.75;Sempach Matthias;***;1;58.5;1;20.0;-4;1.25;8.5
-;9;27.25;Marti Stefan;**;16;54.25;5;28.5;-4;1.25;8.75
+;15;36.0;Schütz Urs;**;17;54.0;12;36.75;-3;0.75;10.0
+;11;46.0;von Büren Stephan;*;14;54.75;10;46.25;-1;0.25;10.0

10a;Zenger Niklaus;***;;;;;;;;;55.75
-;;;Kuster Marcel;**;;;;;;;8.75
o;4;8.75;Borcard Johann;**;13;55.0;5;8.5;1;-0.25;8.5
+;9;17.25;Barras David;*;25;35.5;9;17.25;0;0.0;10.0
+;9;27.25;Liaudat Rudy;**;21;52.75;9;27.25;0;0.0;9.75
o;11;37.0;Zwyssig Raphael;***;8;56.25;12;36.75;1;-0.25;8.75
+;12;45.75;Mosimann Vincent;*;21;52.75;18;44.25;6;-1.5;10.0

10b;Bless Michael;***;;;;;;;;;55.75
o;;;Stucki Christian;***;;;;;;;8.5
+;5;8.5;Roth Philipp;*;10;55.75;1;10.0;-4;1.5;10.0
+;6;18.5;Gerber Christian;**;8;56.25;1;20.0;-5;1.5;10.0
o;5;28.5;Sempach Matthias;***;1;58.5;1;30.0;-4;1.5;8.5
+;11;37.0;Marti Stefan;**;16;54.25;10;37.25;-1;0.25;10.0
o;7;47.0;Aeschbacher Matthias;**;6;56.75;7;47.0;0;0.0;8.75

10c;Sempach Thomas;***;;;;;;;;;55.75
+;;;Roch Vincent;**;;;;;;;9.75
+;2;9.75;Kämpf Alexander;**;15;54.5;2;9.75;0;0.0;10.0
-;2;19.75;Orlik Armon;**;9;56.0;5;18.75;3;-1.0;8.75
-;5;28.5;Graber Willy;***;9;56.0;5;28.5;0;0.0;8.75
o;10;37.25;Eugster Ruedi;**;12;55.25;12;36.75;2;-0.5;8.5
+;12;45.75;Gottofrey Marc;**;16;54.25;12;45.75;0;0.0;10.0

10d;Roth Philipp;*;;;;;;;;;55.75
+;;;Pouye Diey;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;10;55.75;5;8.5;4;-1.5;8.5
-;6;18.5;Mosimann Vincent;*;21;52.75;6;18.5;0;0.0;8.75
+;9;27.25;Rhyner Michael;**;11;55.5;9;27.25;0;0.0;10.0
+;10;37.25;Rychen Roger;**;11;55.5;10;37.25;0;0.0;10.0
o;6;47.25;Wenger Kilian;***;4;57.25;6;47.25;0;0.0;8.5

10e;Krähenbühl Tobias;**;;;;;;;;;55.75
+;;;Gottofrey Marc;**;;;;;;;10.0
o;1;10.0;Sempach Matthias;***;1;58.5;1;10.0;0;0.0;8.5
+;6;18.5;Roschi Ruedi;**;13;55.0;7;18.25;1;-0.25;10.0
-;5;28.5;Glarner Matthias;***;8;56.25;4;28.75;-1;0.25;8.75
+;10;37.25;Wyss Kilian;**;17;54.0;11;37.0;1;-0.25;9.75
-;7;47.0;Gerber Christian;**;8;56.25;6;47.25;-1;0.25;8.75

10f;Schenk Patrick;**;;;;;;;;;55.75
+;;;Kramer Lario (1998);**;;;;;;;10.0
+;1;10.0;Kropf Rolf;**;28;34.5;4;8.75;3;-1.25;9.75
-;2;19.75;Piemontesi Pascal;**;14;54.75;5;18.75;3;-1.0;8.75
-;5;28.5;Schneider Mario;**;15;54.5;9;27.25;4;-1.25;8.75
o;10;37.25;Bösch Daniel;***;5;57.0;11;37.0;1;-0.25;8.5
+;12;45.75;Kuster Marcel;**;16;54.25;12;45.75;0;0.0;10.0

11a;Rhyner Michael;**;;;;;;;;;55.5
o;;;Gnägi Florian;***;;;;;;;8.5
-;5;8.5;Brodard Augustin;**;25;35.5;5;8.5;0;0.0;8.75
+;9;17.25;Schafer Claudio;*;28;34.5;9;17.25;0;0.0;10.0
o;9;27.25;Roth Philipp;*;10;55.75;9;27.25;0;0.0;8.5
+;16;35.75;Glauser Thomas;**;21;52.75;16;35.75;0;0.0;9.75
+;13;45.5;Brodard Simon;**;19;53.25;18;44.25;5;-1.25;10.0

11b;Mathys Simon;*;;;;;;;;;55.5
+;;;Emonet Fabien;**;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Emonet Frédéric;*;26;35.25;7;18.25;1;-0.25;10.0
-;5;28.5;Borcard Johann;**;13;55.0;7;28.0;2;-0.5;8.75
o;10;37.25;Wenger Kilian;***;4;57.25;10;37.25;0;0.0;8.5
+;12;45.75;Wickli Beat;**;16;54.25;12;45.75;0;0.0;9.75

11c;Wampfler Beat;***;;;;;;;;;55.5
+;;;Guisolan Marc;**;;;;;;;9.75
-;2;9.75;Gnägi Florian;***;6;56.75;1;10.0;-1;0.25;8.75
-;6;18.5;Schneider Domenic;**;16;54.25;7;18.25;1;-0.25;8.75
+;9;27.25;Cropt Harald;**;16;54.25;9;27.25;0;0.0;10.0
o;10;37.25;Käser Remo;**;7;56.5;8;37.75;-2;0.5;8.5
+;12;45.75;Wyss Kilian;**;17;54.0;13;45.5;1;-0.25;9.75

11d;Thomet Adrian;**;;;;;;;;;55.5
+;;;Cardinaux Victor;**;;;;;;;9.75
+;2;9.75;Dind Samuel;**;25;35.5;5;8.5;3;-1.25;10.0
o;2;19.75;Rychen Roger;**;11;55.5;5;18.75;3;-1.0;8.5
+;6;28.25;Gapany Benjamin;**;23;45.0;7;28.0;1;-0.25;10.0
o;6;38.25;Siegenthaler Matthias;***;6;56.75;5;38.5;-1;0.25;8.5
o;8;46.75;Guisolan Marc;**;6;56.75;8;46.75;0;0.0;8.75

11e;Anderegg Simon;***;;;;;;;;;55.5
+;;;Dind Samuel;**;;;;;;;9.75
+;2;9.75;Scherer Christian;*;25;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Bösch Daniel;***;5;57.0;6;18.5;4;-1.25;8.5
-;6;28.25;Käser Remo;**;7;56.5;3;29.0;-3;0.75;8.75
+;11;37.0;Battaglia Ursin;**;16;54.25;12;36.75;1;-0.25;9.75
-;8;46.75;Eugster Ruedi;**;12;55.25;9;46.5;1;-0.25;8.75

11f;Rychen Roger;**;;;;;;;;;55.5
-;;;Kropf Rolf;**;;;;;;;8.75
+;4;8.75;von Weissenfluh Kilian;*;13;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Thomet Adrian;**;11;55.5;2;19.75;-3;1.0;10.0
o;4;28.75;Stucki Christian;***;2;58.25;2;29.5;-2;0.75;8.5
o;10;37.25;Roth Philipp;*;10;55.75;10;37.25;0;0.0;8.5
+;12;45.75;Marti Stefan;**;16;54.25;12;45.75;0;0.0;9.75

12a;Eugster Ruedi;**;;;;;;;;;55.25
o;;;Kämpf Bernhard;***;;;;;;;8.5
