5192-2021-06-27_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;***;;;;;;;;;58.25
+;5;8.5;Bleiker Ueli (2004);;13;54.75;2;9.75;-3;1.25;10.0
+;5;18.5;Kolb Kilian (2005);;13;54.75;3;19.0;-2;0.5;9.75
+;5;28.25;Rhyner Beni;;10;55.5;4;28.5;-1;0.25;9.75
o;3;38.0;Imhof Andi;***;5;56.75;7;37.0;4;-1.0;8.5
+;7;46.5;Wüthrich Hans;;12;55.0;7;46.5;0;0.0;10.0

6c;Gartmann Mauro;**;;;;;;;;;56.5
o;;;Koch Reto;*;;;;;;;8.5
o;5;8.5;Schuler Martin;;5;56.75;2;9.75;-3;1.25;8.5
+;10;17.0;Imhof Gregor;;15;54.25;5;18.5;-5;1.5;10.0
+;10;27.0;Zumbach Michael;;11;55.25;10;27.0;0;0.0;9.75
+;8;36.75;Kolb Pirmin;*;16;54.0;7;37.0;-1;0.25;9.75
+;7;46.5;Odermatt Gian Maria (2004);*;11;55.25;6;46.75;-1;0.25;10.0

6d;Herger Matthias;**;;;;;;;;;56.5
o;;;Riget Tobias;**;;;;;;;8.5
+;5;8.5;Schläpfer Matthias;*;17;53.75;2;9.75;-3;1.25;10.0
+;5;18.5;Kammermann Dominik;;12;55.0;2;19.5;-3;1.0;9.75
+;5;28.25;Schäppi Urs;*;9;55.75;5;28.25;0;0.0;10.0
o;2;38.25;Schneider Domenic;***;1;58.25;2;38.25;0;0.0;8.5
+;6;46.75;Bernold Edi;**;11;55.25;6;46.75;0;0.0;9.75

6e;Schlegel Sandro;**;;;;;;;;;56.5
-;;;Steiner Michael;**;;;;;;;9.0
-;3;9.0;Poltera Andrin;*;10;55.5;1;10.0;-2;1.0;8.75
+;7;17.75;Brülisauer Dominik;;15;54.25;4;18.75;-3;1.0;10.0
+;7;27.75;Knellwolf Sebastian;;11;55.25;5;28.25;-2;0.5;10.0
+;4;37.75;Schuler Martin;;5;56.75;1;38.5;-3;0.75;10.0
-;2;47.75;Notz Beni;***;9;55.75;5;47.0;3;-0.75;8.75

7a;Jörger Marc;*;;;;;;;;;56.25
-;;;Funk Nicola;*;;;;;;;8.75
+;4;8.75;Niederer Andreas;;14;54.5;1;10.0;-3;1.25;10.0
-;4;18.75;Burkhalter Thomas (2003);*;11;55.25;3;19.0;-1;0.25;8.75
+;8;27.5;Schegg Daniel;;13;54.75;6;28.0;-2;0.5;10.0
-;5;37.5;Baumann Rico;*;12;55.0;6;37.25;1;-0.25;8.75
+;8;46.25;Fässler Tobias;;12;55.0;7;46.5;-1;0.25;10.0

7b;Schiesser Patrik;;;;;;;;;;56.25
+;;;Krucker Silvan;;;;;;;;9.75
+;2;9.75;Jud Pirmin;*;23;45.75;4;8.75;2;-1.0;9.75
+;2;19.5;Fallegger Marc (2003);;21;52.75;4;18.75;2;-0.75;10.0
o;1;29.5;Riget Tobias;**;8;56.0;5;28.25;4;-1.25;8.5
o;3;38.0;Geisser Lars;**;9;55.75;6;37.25;3;-0.75;8.5
+;7;46.5;Aebli Nino;;12;55.0;7;46.5;0;0.0;9.75

8a;Räbsamen Marcel;*;;;;;;;;;56.0
+;;;Streiff Dominik;*;;;;;;;10.0
-;1;10.0;Burkhalter Stefan;***;12;55.0;4;8.75;3;-1.25;8.75
+;4;18.75;Poltera Andrin;*;10;55.5;3;19.0;-1;0.25;10.0
+;3;28.75;Dändliker Shane;**;4;57.0;3;28.75;0;0.0;9.75
o;1;38.5;Bless Michael;***;2;57.5;4;37.75;3;-0.75;8.5
-;5;47.0;Schäppi Urs;*;9;55.75;6;46.75;1;-0.25;9.0

8b;Steiner Michael;**;;;;;;;;;56.0
-;;;Schlegel Sandro;**;;;;;;;9.0
+;3;9.0;Bernold Edi;**;11;55.25;3;9.0;0;0.0;10.0
o;3;19.0;Rychen Roger;***;4;57.0;4;18.75;1;-0.25;8.5
+;8;27.5;Mannhart Jan (2003);;14;54.5;8;27.5;0;0.0;10.0
+;5;37.5;Aebli Nino;;12;55.0;3;38.0;-2;0.5;10.0
o;3;47.5;Bless Michael;***;2;57.5;3;47.5;0;0.0;8.5

8c;Oettli Marco;**;;;;;;;;;56.0
-;;;Huber Alex;*;;;;;;;8.75
-;4;8.75;Geisser Lars;**;9;55.75;4;8.75;0;0.0;8.75
+;8;17.5;Langenegger Beat;;16;54.0;5;18.5;-3;1.0;10.0
o;8;27.5;Leuppi Samir;***;2;57.5;8;27.5;0;0.0;8.5
+;11;36.0;Brülisauer Dominik;;15;54.25;7;37.0;-4;1.0;10.0
+;9;46.0;Bleiker Ueli (2004);;13;54.75;8;46.25;-1;0.25;10.0

8d;Riget Tobias;**;;;;;;;;;56.0
+;;;Herger Matthias;**;;;;;;;9.75
+;2;9.75;Notz Beni;***;9;55.75;1;10.0;-1;0.25;9.75
-;2;19.5;Leuppi Samir;***;2;57.5;4;18.75;2;-0.75;8.75
+;5;28.25;Schiesser Patrik;;7;56.25;1;29.5;-4;1.25;10.0
-;2;38.25;Koch Reto;*;8;56.0;2;38.25;0;0.0;9.0
o;4;47.25;Funk Nicola;*;3;57.25;4;47.25;0;0.0;8.75

8e;Koch Reto;*;;;;;;;;;56.0
+;;;Gartmann Mauro;**;;;;;;;10.0
o;1;10.0;Leuppi Samir;***;2;57.5;4;8.75;3;-1.25;8.5
+;5;18.5;Baumgartner Ramon;;10;55.5;5;18.5;0;0.0;9.75
+;5;28.25;Wettstein Daniel;;11;55.25;5;28.25;0;0.0;10.0
-;2;38.25;Riget Tobias;**;8;56.0;2;38.25;0;0.0;9.0
o;4;47.25;Biäsch Christian;*;2;57.5;2;47.75;-2;0.5;8.75

9a;Schäppi Urs;*;;;;;;;;;55.75
o;;;Schläpfer Matthias;*;;;;;;;8.5
+;5;8.5;Stadelmann Patrick;;16;54.0;1;10.0;-4;1.5;9.75
+;6;18.25;Hobi Ignaz;;13;54.75;6;18.25;0;0.0;10.0
o;5;28.25;Herger Matthias;**;6;56.5;5;28.25;0;0.0;8.5
+;8;36.75;Pianta Christian;*;16;54.0;8;36.75;0;0.0;10.0
-;6;46.75;Räbsamen Marcel;*;8;56.0;5;47.0;-1;0.25;9.0

9b;Landolt Reto;*;;;;;;;;;55.75
-;;;Burkhalter Thomas (2003);*;;;;;;;8.75
+;4;8.75;Fallegger Marc (2003);;21;52.75;1;10.0;-3;1.25;9.75
-;5;18.5;Aebli Nino;;12;55.0;3;19.0;-2;0.5;8.75
+;9;27.25;Oettli Silvio;*;9;55.75;8;27.5;-1;0.25;9.75
-;7;37.0;Niederer Andreas;;14;54.5;7;37.0;0;0.0;9.0
+;9;46.0;Kurmann Patrick (2003);;14;54.5;9;46.0;0;0.0;9.75
-;9;55.75;Bollhalder Manuel;*;12;55.0;12;55.0;3;-0.75;0.0

9c;Laager Michael;;;;;;;;;;55.75
+;;;Korrodi Janik (2004);;;;;;;;10.0
o;1;10.0;Dörig Erich;*;13;54.75;4;8.75;3;-1.25;8.5
+;5;18.5;Brand Andreas (2003);;21;52.75;5;18.5;0;0.0;10.0
o;4;28.5;Odermatt Gian Maria (2004);*;11;55.25;4;28.5;0;0.0;8.75
o;6;37.25;Funk Nicola;*;3;57.25;6;37.25;0;0.0;8.5
+;10;45.75;Büchler Livio;;15;54.25;10;45.75;0;0.0;10.0

9d;Geisser Lars;**;;;;;;;;;55.75
-;;;Hochholdinger Roman;**;;;;;;;8.75
-;4;8.75;Oettli Marco;**;8;56.0;4;8.75;0;0.0;8.75
+;8;17.5;Koller Silvan;;15;54.25;5;18.5;-3;1.0;10.0
+;8;27.5;Streiff Dominik;*;9;55.75;4;28.5;-4;1.0;9.75
