5192-2021-06-27_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;***;;;;;;;;;58.25
o;10;27.0;Neff Florian;*;10;55.5;10;27.0;0;0.0;8.5
+;13;35.5;Schiegg Raphael (2005);;17;53.75;13;35.5;0;0.0;10.0
+;11;45.5;Schönenberger Tobias (2004);;16;54.0;11;45.5;0;0.0;9.75

11m;Koch Thomas;*;;;;;;;;;55.25
-;;;Keller Janik;*;;;;;;;8.75
+;4;8.75;Hobi Ignaz;;13;54.75;2;9.75;-2;1.0;9.75
o;5;18.5;Schneider Domenic;***;1;58.25;5;18.5;0;0.0;8.5
+;10;27.0;Mathis Patrick;;14;54.5;8;27.5;-2;0.5;9.75
+;8;36.75;Lenherr Cédric (2003);;16;54.0;8;36.75;0;0.0;10.0
o;6;46.75;Imhof Andi;***;5;56.75;5;47.0;-1;0.25;8.5

11n;Wettstein Daniel;;;;;;;;;;55.25
+;;;Langenegger Beat;;;;;;;;10.0
o;1;10.0;Schlegel Reto;*;10;55.5;4;8.75;3;-1.25;8.5
+;5;18.5;Pianta Christian;*;16;54.0;5;18.5;0;0.0;9.75
o;5;28.25;Koch Reto;*;8;56.0;5;28.25;0;0.0;8.5
o;8;36.75;Streiff Dominik;*;9;55.75;7;37.0;-1;0.25;8.5
+;12;45.25;Schlegel Jamie (2004);;16;54.0;11;45.5;-1;0.25;10.0

12a;Kammermann Dominik;;;;;;;;;;55.0
+;;;Schönenberger Tobias (2004);;;;;;;;9.75
+;2;9.75;Büsser André;*;16;54.0;4;8.75;2;-1.0;9.75
o;2;19.5;Herger Matthias;**;6;56.5;5;18.5;3;-1.0;8.5
o;6;28.0;Aebli Nino;;12;55.0;6;28.0;0;0.0;8.5
+;9;36.5;Kolb Kilian (2005);;13;54.75;9;36.5;0;0.0;9.75
o;8;46.25;Huber Alex;*;9;55.75;9;46.0;1;-0.25;8.75

12b;Baumann Rico;*;;;;;;;;;55.0
-;;;Dörig Erich;*;;;;;;;8.75
+;4;8.75;Brand Andreas (2003);;21;52.75;1;10.0;-3;1.25;10.0
o;4;18.75;Notz Beni;***;9;55.75;5;18.5;1;-0.25;8.5
+;9;27.25;Castelli Fabio;;11;55.25;4;28.5;-5;1.25;10.0
-;6;37.25;Jörger Marc;*;7;56.25;5;37.5;-1;0.25;8.75
-;9;46.0;Krähenbühl Lukas;*;12;55.0;9;46.0;0;0.0;9.0

12c;Bollhalder Manuel;*;;;;;;;;;55.0
-;;;Biäsch Christian;*;;;;;;;9.0
+;3;9.0;Galli Cedric;;16;54.0;1;10.0;-2;1.0;9.75
o;4;18.75;Hochholdinger Roman;**;15;54.25;4;18.75;0;0.0;8.75
+;8;27.5;Flütsch Marco;;15;54.25;5;28.25;-3;0.75;10.0
o;5;37.5;Dändliker Shane;**;4;57.0;6;37.25;1;-0.25;8.5
-;9;46.0;Landolt Reto;*;9;55.75;9;46.0;0;0.0;9.0

12d;Aebli Nino;;;;;;;;;;55.0
-;;;Ziegler Andreas;;;;;;;;9.0
+;3;9.0;Tremp Ruedi (2003);;16;54.0;2;9.75;-1;0.75;10.0
-;3;19.0;Landolt Reto;*;9;55.75;5;18.5;2;-0.5;9.0
+;6;28.0;Kammermann Dominik;;12;55.0;6;28.0;0;0.0;10.0
o;3;38.0;Steiner Michael;**;8;56.0;5;37.5;2;-0.5;8.5
o;7;46.5;Schiesser Patrik;;7;56.25;7;46.5;0;0.0;8.5

12e;Krähenbühl Lukas;*;;;;;;;;;55.0
-;;;Jud Pirmin;*;;;;;;;8.75
+;4;8.75;Joos Enrico (2003);;11;55.25;2;9.75;-2;1.0;9.75
o;5;18.5;Bernold Edi;**;11;55.25;8;17.5;3;-1.0;8.75
-;9;27.25;Büchler Livio;;15;54.25;5;28.25;-4;1.0;9.0
+;10;36.25;Galli Cedric;;16;54.0;8;36.75;-2;0.5;9.75
-;9;46.0;Baumann Rico;*;12;55.0;9;46.0;0;0.0;9.0

12f;Burkhalter Stefan;***;;;;;;;;;55.0
-;;;Zwyssig Raphael;***;;;;;;;8.75
-;4;8.75;Räbsamen Marcel;*;8;56.0;1;10.0;-3;1.25;8.75
+;8;17.5;Schlegel Reto;*;10;55.5;5;18.5;-3;1.0;10.0
-;8;27.5;Rüegg Fabian;*;11;55.25;8;27.5;0;0.0;8.75
-;10;36.25;Keller Janik;*;10;55.5;7;37.0;-3;0.75;8.75
+;13;45.0;Schläpfer Markus;**;15;54.25;10;45.75;-3;0.75;10.0

12g;Wüthrich Hans;;;;;;;;;;55.0
o;;;Bleiker Ueli (2004);;;;;;;;8.5
+;5;8.5;Arnold Lukas;;22;52.5;5;8.5;0;0.0;9.75
o;6;18.25;Odermatt Gian Maria (2004);*;11;55.25;5;18.5;-1;0.25;8.5
+;11;26.75;Oettli Reto (2005);;16;54.0;10;27.0;-1;0.25;10.0
+;8;36.75;Knellwolf Sebastian;;11;55.25;8;36.75;0;0.0;9.75
o;7;46.5;Fontana Michael;*;6;56.5;7;46.5;0;0.0;8.5

12h;Fässler Tobias;;;;;;;;;;55.0
+;;;Mösli Marcel;;;;;;;;9.75
o;2;9.75;Arnold Fabian;*;10;55.5;5;8.5;3;-1.25;8.5
+;6;18.25;Schönenberger Tobias (2004);;16;54.0;5;18.5;-1;0.25;10.0
o;5;28.25;Kolb Pirmin;*;16;54.0;9;27.25;4;-1.0;8.5
+;8;36.75;Gantenbein Linard (2004);;18;53.5;9;36.5;1;-0.25;9.75
o;7;46.5;Jörger Marc;*;7;56.25;8;46.25;1;-0.25;8.5

13a;Kolb Kilian (2005);;;;;;;;;;54.75
-;;;Wehrli Jan;;;;;;;;9.0
+;3;9.0;Mannhart Jan (2003);;14;54.5;4;8.75;1;-0.25;10.0
o;3;19.0;Fontana Michael;*;6;56.5;5;18.5;2;-0.5;8.5
-;8;27.5;Lenherr Cédric (2003);;16;54.0;7;27.75;-1;0.25;9.0
o;9;36.5;Kammermann Dominik;;12;55.0;9;36.5;0;0.0;8.5
+;13;45.0;Ackermann Rico (2003);;16;54.0;12;45.25;-1;0.25;9.75

13b;Laager Kaspar (2004);;;;;;;;;;54.75
+;;;Arnold Lukas;;;;;;;;9.75
o;2;9.75;Burkhalter Thomas (2003);*;11;55.25;3;9.0;1;-0.75;8.5
o;6;18.25;Ziegler Andreas;;10;55.5;7;17.75;1;-0.5;8.5
+;11;26.75;Lusti Adrian;;20;53.0;10;27.0;-1;0.25;10.0
-;8;36.75;Steiner Lukas;;15;54.25;8;36.75;0;0.0;9.0
-;10;45.75;Hobi Ignaz;;13;54.75;10;45.75;0;0.0;9.0

13c;Bleiker Ueli (2004);;;;;;;;;;54.75
+;;;Wüthrich Hans;;;;;;;;9.75
o;2;9.75;Fontana Michael;*;6;56.5;5;8.5;3;-1.25;8.5
+;6;18.25;Horner Sämi;;14;54.5;5;18.5;-1;0.25;9.75
o;6;28.0;Fejzaj Naim;**;11;55.25;9;27.25;3;-0.75;8.5
+;9;36.5;Mathis Patrick;;14;54.5;11;36.0;2;-0.5;9.75
o;8;46.25;Oettli Marco;**;8;56.0;9;46.0;1;-0.25;8.5

13d;Schegg Daniel;;;;;;;;;;54.75
+;;;Sprecher Martin;;;;;;;;9.75
+;2;9.75;Gosswiler Livio;*;11;55.25;5;8.5;3;-1.25;9.75
o;2;19.5;Nägeli Marco;**;11;55.25;3;19.0;1;-0.5;8.5
o;6;28.0;Jörger Marc;*;7;56.25;8;27.5;2;-0.5;8.5
+;9;36.5;Tanner Markus;;19;53.25;11;36.0;2;-0.5;9.75
o;8;46.25;Oettli Silvio;*;9;55.75;9;46.0;1;-0.25;8.5

13e;Hobi Ignaz;;;;;;;;;;54.75
+;;;Nüesch Sandro (2005);;;;;;;;9.75
o;2;9.75;Koch Thomas;*;11;55.25;4;8.75;2;-1.0;8.5
o;6;18.25;Schäppi Urs;*;9;55.75;6;18.25;0;0.0;8.75
+;10;27.0;Inauen Ivo;;25;35.25;11;26.75;1;-0.25;10.0
o;7;37.0;Schläpfer Markus;**;15;54.25;11;36.0;4;-1.0;8.75
-;10;45.75;Laager Kaspar (2004);;13;54.75;10;45.75;0;0.0;9.0

13f;Dörig Erich;*;;;;;;;;;54.75
-;;;Baumann Rico;*;;;;;;;8.75
+;4;8.75;Laager Michael;;9;55.75;1;10.0;-3;1.25;10.0
o;4;18.75;Imhof Andi;***;5;56.75;5;18.5;1;-0.25;8.5
+;9;27.25;Tanner Markus;;19;53.25;8;27.5;-1;0.25;9.75
-;7;37.0;Keller Lukas;;15;54.25;8;36.75;1;-0.25;8.75
-;10;45.75;Rotach Lars;*;15;54.25;11;45.5;1;-0.25;9.0

14a;Niederer Andreas;;;;;;;;;;54.5
+;;;Imhof Gregor;;;;;;;;10.0
o;1;10.0;Jörger Marc;*;7;56.25;4;8.75;3;-1.25;8.5
o;5;18.5;Funk Nicola;*;3;57.25;4;18.75;-1;0.25;8.5
+;10;27.0;Mayer Elia (2004);;20;53.0;11;26.75;1;-0.25;10.0
-;7;37.0;Landolt Reto;*;9;55.75;7;37.0;0;0.0;9.0
o;9;46.0;Keller Janik;*;10;55.5;10;45.75;1;-0.25;8.5

14b;Wehrli Jan;;;;;;;;;;54.5
-;;;Kolb Kilian (2005);;;;;;;;9.0
o;3;9.0;Schönenberger Tobias (2004);;16;54.0;4;8.75;1;-0.25;8.5
+;8;17.5;Wenger Dominic;;28;34.0;10;17.0;2;-0.5;10.0
o;8;27.5;Keller Janik;*;10;55.5;9;27.25;1;-0.25;8.5
+;11;36.0;Mannhart Jan (2003);;14;54.5;11;36.0;0;0.0;9.75
-;10;45.75;Keller Lukas;;15;54.25;11;45.5;1;-0.25;8.75

14c;Mannhart Jan (2003);;;;;;;;;;54.5
o;;;Lusti Remo;;;;;;;;8.75
o;4;8.75;Kolb Kilian (2005);;13;54.75;3;9.0;-1;0.25;8.75
+;8;17.5;Schiegg Raphael (2005);;17;53.75;9;17.25;1;-0.25;10.0
o;8;27.5;Steiner Michael;**;8;56.0;8;27.5;0;0.0;8.5
o;11;36.0;Wehrli Jan;;14;54.5;11;36.0;0;0.0;8.5
+;15;44.5;Nüesch Sandro (2005);;21;52.75;16;44.25;1;-0.25;10.0

14d;Horner Sämi;;;;;;;;;;54.5
+;;;Plüer Fabian (2003);;;;;;;;9.75
o;2;9.75;Odermatt Gian Maria (2004);*;11;55.25;5;8.5;3;-1.25;8.75
o;5;18.5;Bleiker Ueli (2004);;13;54.75;6;18.25;1;-0.25;8.5
o;10;27.0;Langenegger Beat;;16;54.0;10;27.0;0;0.0;8.75
+;12;35.75;Fallegger Marc (2003);;21;52.75;12;35.75;0;0.0;10.0
o;10;45.75;Neff Florian;*;10;55.5;10;45.75;0;0.0;8.75

14e;Kurmann Patrick (2003);;;;;;;;;;54.5
+;;;Gantenbein Linard (2004);;;;;;;;10.0
o;1;10.0;Biäsch Christian;*;2;57.5;3;9.0;2;-1.0;8.75
-;4;18.75;Keller Manuel;*;24;36.0;5;18.5;1;-0.25;8.75
o;8;27.5;Brülisauer Dominik;;15;54.25;9;27.25;1;-0.25;8.5
+;11;36.0;Imhof Gregor;;15;54.25;11;36.0;0;0.0;10.0
o;9;46.0;Landolt Reto;*;9;55.75;9;46.0;0;0.0;8.5

14f;Mathis Patrick;;;;;;;;;;54.5
-;;;Rüegger Remo;;;;;;;;9.0
o;3;9.0;Brülisauer Dominik;;15;54.25;4;8.75;1;-0.25;8.75
+;7;17.75;Plüer Fabian (2003);;26;34.5;8;17.5;1;-0.25;9.75
o;8;27.5;Koch Thomas;*;11;55.25;10;27.0;2;-0.5;8.5
o;11;36.0;Bleiker Ueli (2004);;13;54.75;9;36.5;-2;0.5;8.5
+;15;44.5;Fallegger Marc (2003);;21;52.75;16;44.25;1;-0.25;10.0

14g;Rüegger Remo;;;;;;;;;;54.5
-;;;Mathis Patrick;;;;;;;;9.0
o;3;9.0;Ackermann Rico (2003);;16;54.0;4;8.75;1;-0.25;8.5
+;8;17.5;Bärtsch Tobias (2003);;27;34.25;9;17.25;1;-0.25;10.0
o;8;27.5;Poltera Andrin;*;10;55.5;8;27.5;0;0.0;8.5
-;11;36.0;Lusti Remo;;17;53.75;9;36.5;-2;0.5;8.75
+;14;44.75;Gasenzer Christian (2004);;17;53.75;12;45.25;-2;0.5;9.75

15a;Flütsch Marco;;;;;;;;;;54.25
+;;;Oberhänsli Kilian;;;;;;;;10.0
o;1;10.0;Keller Janik;*;10;55.5;4;8.75;3;-1.25;8.5
+;5;18.5;Tanner Adrian;;16;54.0;5;18.5;0;0.0;9.75
o;5;28.25;Bollhalder Manuel;*;12;55.0;8;27.5;3;-0.75;8.5
-;8;36.75;Schönenberger Tobias (2004);;16;54.0;8;36.75;0;0.0;8.75
-;11;45.5;Lenherr Cédric (2003);;16;54.0;12;45.25;1;-0.25;8.75

15b;Brülisauer Dominik;;;;;;;;;;54.25
-;;;Keller Lukas;;;;;;;;8.75
+;4;8.75;Mathis Patrick;;14;54.5;3;9.0;-1;0.25;10.0
o;4;18.75;Schlegel Sandro;**;6;56.5;7;17.75;3;-1.0;8.5
+;9;27.25;Kurmann Patrick (2003);;14;54.5;8;27.5;-1;0.25;9.75
o;7;37.0;Oettli Marco;**;8;56.0;11;36.0;4;-1.0;8.5
-;11;45.5;Galli Cedric;;16;54.0;12;45.25;1;-0.25;8.75

15c;Giger Florian;;;;;;;;;;54.25
o;;;Baumgartner Ramon;;;;;;;;8.5
+;5;8.5;Wenger Dominic;;28;34.0;5;8.5;0;0.0;10.0
+;5;18.5;Korrodi Janik (2004);;19;53.25;5;18.5;0;0.0;10.0
o;4;28.5;Bernold Edi;**;11;55.25;9;27.25;5;-1.25;8.5
o;7;37.0;Jörger Corsin;*;10;55.5;7;37.0;0;0.0;8.5
-;11;45.5;Koller Silvan;;15;54.25;11;45.5;0;0.0;8.75

15d;Rotach Lars;*;;;;;;;;;54.25
o;;;Poltera Andrin;*;;;;;;;8.5
+;5;8.5;Rhyner Beni;;10;55.5;1;10.0;-4;1.5;9.75
-;6;18.25;Biäsch Christian;*;2;57.5;3;19.0;-3;0.75;8.75
+;10;27.0;Tanner Adrian;;16;54.0;10;27.0;0;0.0;9.75
o;8;36.75;Zwyssig Raphael;***;10;55.5;11;36.0;3;-0.75;8.75
-;11;45.5;Dörig Erich;*;13;54.75;10;45.75;-1;0.25;8.75

15e;Imhof Gregor;;;;;;;;;;54.25
o;;;Niederer Andreas;;;;;;;;8.5
+;5;8.5;Nüesch Sandro (2005);;21;52.75;5;8.5;0;0.0;10.0
o;5;18.5;Gartmann Mauro;**;6;56.5;10;17.0;5;-1.5;8.5
-;10;27.0;Korrodi Janik (2004);;19;53.25;10;27.0;0;0.0;9.0
o;11;36.0;Kurmann Patrick (2003);;14;54.5;11;36.0;0;0.0;8.5
+;15;44.5;Lusti Remo;;17;53.75;12;45.25;-3;0.75;9.75

15f;Koller Silvan;;;;;;;;;;54.25
+;;;Brülisauer Thomas (2003);;;;;;;;9.75
-;2;9.75;Ziegler Andreas;;10;55.5;3;9.0;1;-0.75;8.75
o;5;18.5;Geisser Lars;**;9;55.75;8;17.5;3;-1.0;8.5
+;10;27.0;Ackermann Rico (2003);;16;54.0;10;27.0;0;0.0;10.0
o;7;37.0;Riget Florian;*;6;56.5;7;37.0;0;0.0;8.5
-;11;45.5;Giger Florian;;15;54.25;11;45.5;0;0.0;8.75

15g;Hochholdinger Roman;**;;;;;;;;;54.25
-;;;Geisser Lars;**;;;;;;;8.75
+;4;8.75;Gasenzer Christian (2004);;17;53.75;1;10.0;-3;1.25;10.0
+;4;18.75;Bollhalder Manuel;*;12;55.0;4;18.75;0;0.0;9.75
o;4;28.5;Schuler Martin;;5;56.75;3;28.75;-1;0.25;8.5
-;7;37.0;Neff Florian;*;10;55.5;7;37.0;0;0.0;8.75
o;10;45.75;Zwyssig Raphael;***;10;55.5;10;45.75;0;0.0;8.5

15h;Steiner Lukas;;;;;;;;;;54.25
-;;;Tanner Markus;;;;;;;;8.75
o;4;8.75;Keller Lukas;;15;54.25;4;8.75;0;0.0;8.5
+;9;17.25;Mösli Marcel;;22;52.5;9;17.25;0;0.0;9.75
+;10;27.0;Brand Andreas (2003);;21;52.75;10;27.0;0;0.0;9.75
-;8;36.75;Laager Kaspar (2004);;13;54.75;8;36.75;0;0.0;9.0
o;10;45.75;Rhyner Beni;;10;55.5;10;45.75;0;0.0;8.5

15i;Keller Lukas;;;;;;;;;;54.25
-;;;Brülisauer Dominik;;;;;;;;8.75
+;4;8.75;Steiner Lukas;;15;54.25;4;8.75;0;0.0;9.75
o;5;18.5;Streiff Dominik;*;9;55.75;5;18.5;0;0.0;8.5
+;10;27.0;Baumgartner Ramon;;10;55.5;10;27.0;0;0.0;9.75
-;8;36.75;Dörig Erich;*;13;54.75;7;37.0;-1;0.25;8.75
-;11;45.5;Wehrli Jan;;14;54.5;10;45.75;-1;0.25;8.75

15j;Büchler Livio;;;;;;;;;;54.25
+;;;Oettli Reto (2005);;;;;;;;10.0
o;1;10.0;Kolb Pirmin;*;16;54.0;4;8.75;3;-1.25;8.5
+;5;18.5;Büsser André;*;16;54.0;9;17.25;4;-1.25;9.75
-;5;28.25;Krähenbühl Lukas;*;12;55.0;9;27.25;4;-1.0;8.75
-;7;37.0;Tremp Ruedi (2003);;16;54.0;8;36.75;1;-0.25;8.75
o;10;45.75;Laager Michael;;9;55.75;10;45.75;0;0.0;8.5

15k;Schläpfer Markus;**;;;;;;;;;54.25
o;;;Notz Beni;***;;;;;;;8.5
-;5;8.5;Keller Manuel;*;24;36.0;2;9.75;-3;1.25;8.75
-;9;17.25;Kolb Pirmin;*;16;54.0;5;18.5;-4;1.25;8.75
+;13;26.0;Fallegger Marc (2003);;21;52.75;9;27.25;-4;1.25;10.0
+;11;36.0;Hobi Ignaz;;13;54.75;7;37.0;-4;1.0;9.75
o;10;45.75;Burkhalter Stefan;***;12;55.0;13;45.0;3;-0.75;8.5

16a;Tanner Adrian;;;;;;;;;;54.0
o;;;Stadelmann Patrick;;;;;;;;8.5
+;5;8.5;Krucker Silvan;;27;34.25;5;8.5;0;0.0;10.0
o;5;18.5;Flütsch Marco;;15;54.25;5;18.5;0;0.0;8.5
o;10;27.0;Rotach Lars;*;15;54.25;10;27.0;0;0.0;8.75
o;12;35.75;Ziegler Andreas;;10;55.5;11;36.0;-1;0.25;8.5
+;16;44.25;Korrodi Janik (2004);;19;53.25;14;44.75;-2;0.5;9.75

16b;Langenegger Beat;;;;;;;;;;54.0
o;;;Wettstein Daniel;;;;;;;;8.5
+;5;8.5;Lusti Adrian;;20;53.0;5;8.5;0;0.0;10.0
o;5;18.5;Oettli Marco;**;8;56.0;8;17.5;3;-1.0;8.5
+;10;27.0;Horner Sämi;;14;54.5;10;27.0;0;0.0;9.75
o;8;36.75;Rüegg Fabian;*;11;55.25;10;36.25;2;-0.5;8.5
-;12;45.25;Pianta Christian;*;16;54.0;12;45.25;0;0.0;8.75

16c;Ackermann Rico (2003);;;;;;;;;;54.0
-;;;Zumbach Michael;;;;;;;;8.75
+;4;8.75;Rüegger Remo;;14;54.5;3;9.0;-1;0.25;9.75
o;5;18.5;Jud Pirmin;*;23;45.75;9;17.25;4;-1.25;8.5
o;10;27.0;Koller Silvan;;15;54.25;10;27.0;0;0.0;8.5
+;13;35.5;Büsser André;*;16;54.0;13;35.5;0;0.0;9.75
o;12;45.25;Kolb Kilian (2005);;13;54.75;13;45.0;1;-0.25;8.75

16d;Kolb Pirmin;*;;;;;;;;;54.0
-;;;Büsser André;*;;;;;;;8.75
+;4;8.75;Büchler Livio;;15;54.25;1;10.0;-3;1.25;9.75
-;5;18.5;Schläpfer Markus;**;15;54.25;9;17.25;4;-1.25;8.75
+;9;27.25;Fässler Tobias;;12;55.0;5;28.25;-4;1.0;9.75
o;7;37.0;Gartmann Mauro;**;6;56.5;8;36.75;1;-0.25;8.5
o;11;45.5;Ziegler Andreas;;10;55.5;10;45.75;-1;0.25;8.5

16e;Büsser André;*;;;;;;;;;54.0
-;;;Kolb Pirmin;*;;;;;;;8.75
o;4;8.75;Kammermann Dominik;;12;55.0;2;9.75;-2;1.0;8.5
o;9;17.25;Büchler Livio;;15;54.25;5;18.5;-4;1.25;8.5
+;14;25.75;Plüer Fabian (2003);;26;34.5;13;26.0;-1;0.25;9.75
o;13;35.5;Ackermann Rico (2003);;16;54.0;13;35.5;0;0.0;8.5
+;17;44.0;Mösli Marcel;;22;52.5;17;44.0;0;0.0;10.0

16f;Lenherr Cédric (2003);;;;;;;;;;54.0
+;;;Mösli Marcel;;;;;;;;10.0
o;1;10.0;Funk Nicola;*;3;57.25;4;8.75;3;-1.25;8.75
-;4;18.75;Oettli Silvio;*;9;55.75;5;18.5;1;-0.25;9.0
-;7;27.75;Kolb Kilian (2005);;13;54.75;8;27.5;1;-0.25;9.0
o;8;36.75;Koch Thomas;*;11;55.25;8;36.75;0;0.0;8.5
-;12;45.25;Flütsch Marco;;15;54.25;11;45.5;-1;0.25;8.75

16g;Tremp Ruedi (2003);;;;;;;;;;54.0
+;;;Schlegel Jamie (2004);;;;;;;;9.75
o;2;9.75;Aebli Nino;;12;55.0;3;9.0;1;-0.75;8.5
+;6;18.25;Sprecher Martin;;16;54.0;5;18.5;-1;0.25;10.0
o;5;28.25;Burkhalter Thomas (2003);*;11;55.25;7;27.75;2;-0.5;8.5
-;8;36.75;Büchler Livio;;15;54.25;7;37.0;-1;0.25;8.75
o;11;45.5;Müller Christian;;11;55.25;12;45.25;1;-0.25;8.5

16h;Schönenberger Tobias (2004);;;;;;;;;;54.0
o;;;Kammermann Dominik;;;;;;;;8.75
+;4;8.75;Wehrli Jan;;14;54.5;3;9.0;-1;0.25;9.75
o;5;18.5;Fässler Tobias;;12;55.0;6;18.25;1;-0.25;8.5
+;10;27.0;Arnold Fabian;*;10;55.5;10;27.0;0;0.0;9.75
-;8;36.75;Flütsch Marco;;15;54.25;8;36.75;0;0.0;8.75
o;11;45.5;Gosswiler Livio;*;11;55.25;11;45.5;0;0.0;8.5

16i;Rust Emanuel;;;;;;;;;;54.0
o;;;Galli Cedric;;;;;;;;8.5
o;5;8.5;Oettli Reto (2005);;16;54.0;5;8.5;0;0.0;8.5
+;10;17.0;Oberhänsli Kilian;;27;34.25;10;17.0;0;0.0;10.0
o;10;27.0;Schlegel Reto;*;10;55.5;10;27.0;0;0.0;8.5
o;13;35.5;Zumbach Michael;;11;55.25;13;35.5;0;0.0;8.5
+;17;44.0;Brand Andreas (2003);;21;52.75;16;44.25;-1;0.25;10.0

16j;Pianta Christian;*;;;;;;;;;54.0
+;;;Odermatt Gian Maria (2004);*;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;***;5;56.75;5;8.5;4;-1.5;8.5
o;5;18.5;Wettstein Daniel;;11;55.25;5;18.5;0;0.0;8.5
+;10;27.0;Nüesch Sandro (2005);;21;52.75;10;27.0;0;0.0;9.75
o;8;36.75;Schäppi Urs;*;9;55.75;8;36.75;0;0.0;8.5
-;12;45.25;Langenegger Beat;;16;54.0;12;45.25;0;0.0;8.75

16k;Oettli Reto (2005);;;;;;;;;;54.0
o;;;Büchler Livio;;;;;;;;8.5
+;5;8.5;Rust Emanuel;;16;54.0;5;8.5;0;0.0;10.0
o;5;18.5;Joos Enrico (2003);;11;55.25;6;18.25;1;-0.25;8.5
o;10;27.0;Wüthrich Hans;;12;55.0;11;26.75;1;-0.25;8.5
+;13;35.5;Mayer Elia (2004);;20;53.0;13;35.5;0;0.0;10.0
o;11;45.5;Arnold Fabian;*;10;55.5;11;45.5;0;0.0;8.5

16l;Galli Cedric;;;;;;;;;;54.0
+;;;Rust Emanuel;;;;;;;;10.0
o;1;10.0;Bollhalder Manuel;*;12;55.0;3;9.0;2;-1.0;8.5
o;5;18.5;Jörger Corsin;*;10;55.5;5;18.5;0;0.0;8.5
+;10;27.0;Stadelmann Patrick;;16;54.0;10;27.0;0;0.0;9.75
o;8;36.75;Krähenbühl Lukas;*;12;55.0;10;36.25;2;-0.5;8.5
-;12;45.25;Brülisauer Dominik;;15;54.25;11;45.5;-1;0.25;8.75

16m;Sprecher Martin;;;;;;;;;;54.0
o;;;Schegg Daniel;;;;;;;;8.5
+;5;8.5;Oberhänsli Kilian;;27;34.25;5;8.5;0;0.0;10.0
o;5;18.5;Tremp Ruedi (2003);;16;54.0;6;18.25;1;-0.25;8.5
+;10;27.0;Gasenzer Christian (2004);;17;53.75;10;27.0;0;0.0;9.75
o;8;36.75;Oettli Silvio;*;9;55.75;10;36.25;2;-0.5;8.75
o;11;45.5;Zumbach Michael;;11;55.25;11;45.5;0;0.0;8.5

16n;Stadelmann Patrick;;;;;;;;;;54.0
+;;;Tanner Adrian;;;;;;;;10.0
o;1;10.0;Schäppi Urs;*;9;55.75;5;8.5;4;-1.5;8.5
o;5;18.5;Schläpfer Matthias;*;17;53.75;6;18.25;1;-0.25;8.5
o;10;27.0;Galli Cedric;;16;54.0;10;27.0;0;0.0;8.5
+;13;35.5;Brülisauer Thomas (2003);;20;53.0;13;35.5;0;0.0;10.0
o;11;45.5;Fejzaj Naim;**;11;55.25;11;45.5;0;0.0;8.5

16o;Schlegel Jamie (2004);;;;;;;;;;54.0
o;;;Tremp Ruedi (2003);;;;;;;;8.5
-;5;8.5;Schiegg Raphael (2005);;17;53.75;5;8.5;0;0.0;8.75
o;9;17.25;Müller Christian;;11;55.25;10;17.0;1;-0.25;8.5
+;14;25.75;Wenger Dominic;;28;34.0;15;25.5;1;-0.25;9.75
+;13;35.5;Arnold Lukas;;22;52.5;13;35.5;0;0.0;10.0
o;11;45.5;Wettstein Daniel;;11;55.25;12;45.25;1;-0.25;8.5

17a;Schiegg Raphael (2005);;;;;;;;;;53.75
o;;;Fallegger Marc (2003);;;;;;;;8.5
-;5;8.5;Schlegel Jamie (2004);;16;54.0;5;8.5;0;0.0;8.75
o;9;17.25;Mannhart Jan (2003);;14;54.5;8;17.5;-1;0.25;8.5
+;14;25.75;Hollenstein Mathias;;26;34.5;14;25.75;0;0.0;9.75
o;13;35.5;Gosswiler Livio;*;11;55.25;13;35.5;0;0.0;8.5
+;17;44.0;Arnold Lukas;;22;52.5;17;44.0;0;0.0;9.75

17b;Lusti Remo;;;;;;;;;;53.75
+;;;Mannhart Jan (2003);;;;;;;;9.75
o;2;9.75;Fejzaj Naim;**;11;55.25;5;8.5;3;-1.25;8.5
+;6;18.25;Inauen Ivo;;25;35.25;6;18.25;0;0.0;9.75
o;6;28.0;Biäsch Christian;*;2;57.5;7;27.75;1;-0.25;8.5
-;9;36.5;Rüegger Remo;;14;54.5;11;36.0;2;-0.5;8.75
o;12;45.25;Imhof Gregor;;15;54.25;15;44.5;3;-0.75;8.5

17c;Gasenzer Christian (2004);;;;;;;;;;53.75
+;;;Meier Adrian (2005);;;;;;;;10.0
o;1;10.0;Hochholdinger Roman;**;15;54.25;4;8.75;3;-1.25;8.5
o;5;18.5;Knellwolf Sebastian;;11;55.25;5;18.5;0;0.0;8.5
o;10;27.0;Sprecher Martin;;16;54.0;10;27.0;0;0.0;8.5
+;13;35.5;Brand Andreas (2003);;21;52.75;12;35.75;-1;0.25;9.75
o;12;45.25;Rüegger Remo;;14;54.5;14;44.75;2;-0.5;8.5

17d;Schläpfer Matthias;*;;;;;;;;;53.75
+;;;Schäppi Urs;*;;;;;;;9.75
o;2;9.75;Herger Matthias;**;6;56.5;5;8.5;3;-1.25;8.5
+;6;18.25;Stadelmann Patrick;;16;54.0;5;18.5;-1;0.25;10.0
o;5;28.25;Schneider Domenic;***;1;58.25;5;28.25;0;0.0;8.5
