2694-2015-08-09_108_Nordwestschweizerisches_Schwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;;;Mahrer Jürg;**;;;;;;;9.75
-;2;9.75;Studinger Stephan;**;7;56.25;1;10.0;-1;0.25;8.75
-;5;18.5;Blatter Lorenz;*;5;57.0;1;19.75;-4;1.25;9.0
+;8;27.5;Klausner Yanick;**;10;55.5;4;28.5;-4;1.0;10.0
+;7;37.5;Stüdeli Thomas;**;6;56.5;5;38.0;-2;0.5;10.0
-;5;47.5;Leuthard Reto;*;9;55.75;8;46.75;3;-0.75;9.0

6b;Waldner Patrick;**;;;;;;;;;56.5
+;;;Schumacher Michael;*;;;;;;;10.0
o;1;10.0;Räbmatter Patrick;**;5;57.0;4;8.75;3;-1.25;8.5
o;5;18.5;Bieri Christoph;***;3;57.75;4;18.75;-1;0.25;8.5
+;10;27.0;Riesen Ruedi;;13;54.75;6;28.0;-4;1.0;9.75
+;10;36.75;Leuthard Mario;;16;54.0;10;36.75;0;0.0;10.0
+;8;46.75;Kramer Franz;*;12;55.0;9;46.5;1;-0.25;9.75

6c;Strebel Joel (1997);*;;;;;;;;;56.5
+;;;Schär Simon;*;;;;;;;9.75
-;2;9.75;Stalder Remo;***;4;57.25;5;8.5;3;-1.25;9.0
+;4;18.75;Kramer Franz;*;12;55.0;6;18.25;2;-0.5;9.75
+;4;28.5;Bearda Samuel;;15;54.25;4;28.5;0;0.0;9.75
o;4;38.25;Gisler Bruno;***;1;58.5;3;38.5;-1;0.25;8.5
+;8;46.75;Probst Gabriel;**;10;55.5;7;47.0;-1;0.25;9.75

6d;Hauri Urs;**;;;;;;;;;56.5
+;;;Bächli Michael (1998);**;;;;;;;9.75
+;2;9.75;Hügli Kaj (1997);*;8;56.0;2;9.75;0;0.0;9.75
o;2;19.5;Schneider Mario;**;9;55.75;5;18.5;3;-1.0;8.5
+;6;28.0;Rüegger Aaron (1999);;14;54.5;8;27.5;2;-0.5;10.0
o;5;38.0;Bieri Christoph;***;3;57.75;6;37.75;1;-0.25;8.5
+;9;46.5;Hermann Oliver;;11;55.25;8;46.75;-1;0.25;10.0

6e;Stoffel Marc;**;;;;;;;;;56.5
-;;;Studinger Mathias;**;;;;;;;8.75
+;4;8.75;Huber Jan (1997);*;10;55.5;5;8.5;1;-0.25;9.75
+;5;18.5;Riesen Ruedi;;13;54.75;2;19.5;-3;1.0;10.0
o;4;28.5;Kämpf Bernhard;***;5;57.0;9;27.25;5;-1.25;8.5
+;9;37.0;Bearda Samuel;;15;54.25;9;37.0;0;0.0;9.75
+;8;46.75;Lang Martin;**;11;55.25;8;46.75;0;0.0;9.75

6f;Stüdeli Thomas;**;;;;;;;;;56.5
+;;;Hasler Jimmy;*;;;;;;;9.75
o;2;9.75;von Ah Benji;***;6;56.5;4;8.75;2;-1.0;8.5
+;6;18.25;Roth Christian;;17;53.75;2;19.5;-4;1.25;10.0
+;5;28.25;Widmer David;;16;54.0;9;27.25;4;-1.0;9.75
o;5;38.0;Gnägi Florian;***;6;56.5;7;37.5;2;-0.5;8.5
+;9;46.5;Odermatt Christian;**;11;55.25;8;46.75;-1;0.25;10.0

6g;von Ah Benji;***;;;;;;;;;56.5
o;;;Gisler Bruno;***;;;;;;;8.75
+;4;8.75;Stüdeli Thomas;**;6;56.5;2;9.75;-2;1.0;10.0
+;4;18.75;Kocher Remo;**;9;55.75;4;18.75;0;0.0;10.0
o;3;28.75;Bösch Daniel;***;2;58.0;2;29.0;-1;0.25;8.75
-;7;37.5;Henzer Andreas;**;8;56.0;3;38.5;-4;1.0;9.0
+;9;46.5;Löw Christophe;**;11;55.25;8;46.75;-1;0.25;10.0

7a;Studinger Stephan;**;;;;;;;;;56.25
+;;;Probst Gabriel;**;;;;;;;10.0
-;1;10.0;Gnägi Florian;***;6;56.5;2;9.75;1;-0.25;8.75
+;4;18.75;Widmer Cyrill (1998);;12;55.0;2;19.5;-2;0.75;10.0
-;3;28.75;Hasler Manuel;;10;55.5;4;28.5;1;-0.25;9.0
