2694-2015-08-09_108_Nordwestschweizerisches_Schwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;10;36.75;Villiger Damian;*;16;54.0;14;35.75;4;-1.0;9.75
o;9;46.5;Hügli Kaj (1997);*;8;56.0;10;46.25;1;-0.25;8.5

12d;Moser Steven;**;;;;;;;;;55.0
+;;;Erb Roger;**;;;;;;;10.0
o;1;10.0;Bieri Christoph;***;3;57.75;4;8.75;3;-1.25;8.5
-;5;18.5;Odermatt Christian;**;11;55.25;6;18.25;1;-0.25;9.0
o;8;27.5;Räber Lukas;;9;55.75;3;28.75;-5;1.25;8.75
-;12;36.25;Bader Andreas;*;14;54.5;9;37.0;-3;0.75;8.75
+;15;45.0;Riesen Ruedi;;13;54.75;10;46.25;-5;1.25;10.0

12e;Brügger Cyrill (1998);;;;;;;;;;55.0
+;;;Widmer David;;;;;;;;9.75
+;2;9.75;Mangold Martin;;10;55.5;1;10.0;-1;0.25;9.75
o;2;19.5;Bächli Michael (1998);**;5;57.0;5;18.5;3;-1.0;8.5
o;6;28.0;Winiger Fabian;**;10;55.5;9;27.25;3;-0.75;8.5
o;11;36.5;Stoll Simon;;11;55.25;9;37.0;-2;0.5;8.5
+;15;45.0;Lehmann Robin (1999);;17;53.75;15;45.0;0;0.0;10.0

13a;Studer Remo;;;;;;;;;;54.75
+;;;Leu Dominik (1999);;;;;;;;9.75
+;2;9.75;Hitz Florian (1999);;22;52.5;1;10.0;-1;0.25;9.75
o;2;19.5;Alpiger Nick;**;2;58.0;2;19.5;0;0.0;8.5
o;6;28.0;Hügli Kaj (1997);*;8;56.0;6;28.0;0;0.0;8.5
+;11;36.5;Siegrist Christian (1997);;16;54.0;11;36.5;0;0.0;9.75
o;10;46.25;Häni William;**;9;55.75;12;45.75;2;-0.5;8.5

13b;von Arx Christian;*;;;;;;;;;54.75
-;;;Villiger Damian;*;;;;;;;8.75
+;4;8.75;Leuthard Reto;*;9;55.75;4;8.75;0;0.0;9.75
-;5;18.5;Rüegger Aaron (1999);;14;54.5;4;18.75;-1;0.25;9.0
+;8;27.5;Mangold Michael (1997);;14;54.5;9;27.25;1;-0.25;9.75
o;8;37.25;Kramer Franz;*;12;55.0;10;36.75;2;-0.5;8.5
-;12;45.75;Brun Samuel (1999);;13;54.75;12;45.75;0;0.0;9.0

13c;Schneider Markus;*;;;;;;;;;54.75
+;;;Steinmann Yves;*;;;;;;;9.75
o;2;9.75;Widmer Tobias;*;4;57.25;4;8.75;2;-1.0;8.5
o;6;18.25;Räber Lukas;;9;55.75;4;18.75;-2;0.5;8.5
+;11;26.75;Siegrist Christian (1997);;16;54.0;6;28.0;-5;1.25;9.75
o;11;36.5;Leuthard Reto;*;9;55.75;9;37.0;-2;0.5;8.5
+;15;45.0;Widmer David;;16;54.0;13;45.5;-2;0.5;9.75

13d;Brun Samuel (1999);;;;;;;;;;54.75
o;;;Wehrli Christian;;;;;;;;8.5
+;5;8.5;Müller Simon;;22;52.5;5;8.5;0;0.0;10.0
-;5;18.5;Widmer David;;16;54.0;5;18.5;0;0.0;8.75
o;9;27.25;Leuthard Reto;*;9;55.75;9;27.25;0;0.0;8.5
+;14;35.75;Widmer Sandro;;17;53.75;15;35.5;1;-0.25;10.0
-;12;45.75;von Arx Christian;*;13;54.75;12;45.75;0;0.0;9.0

13e;Riesen Ruedi;;;;;;;;;;54.75
+;;;Lehmann Robin (1999);;;;;;;;9.75
+;2;9.75;Schaub Florent;;15;54.25;2;9.75;0;0.0;9.75
o;2;19.5;Stoffel Marc;**;6;56.5;5;18.5;3;-1.0;8.5
o;6;28.0;Waldner Patrick;**;6;56.5;10;27.0;4;-1.0;8.5
+;11;36.5;Widmer Cyrill (1998);;12;55.0;11;36.5;0;0.0;9.75
o;10;46.25;Moser Steven;**;12;55.0;15;45.0;5;-1.25;8.5

14a;Scherrer Johann;**;;;;;;;;;54.5
-;;;Steinmann Kevin;**;;;;;;;8.75
-;4;8.75;Widmer Sandro;;17;53.75;2;9.75;-2;1.0;8.75
+;7;17.5;Mangold Michael (1997);;14;54.5;4;18.75;-3;1.25;10.0
o;8;27.5;Mahrer Jürg;**;9;55.75;9;27.25;1;-0.25;8.5
+;13;36.0;Reimann Marco (1998);;18;53.5;12;36.25;-1;0.25;10.0
o;11;46.0;Vieira Tiago;**;8;56.0;11;46.0;0;0.0;8.5

14b;Rüegger Aaron (1999);;;;;;;;;;54.5
+;;;Krebs Clemens;;;;;;;;10.0
-;1;10.0;Dobler Florian;;15;54.25;1;10.0;0;0.0;8.75
-;4;18.75;von Arx Christian;*;13;54.75;5;18.5;1;-0.25;8.75
o;8;27.5;Hauri Urs;**;6;56.5;6;28.0;-2;0.5;8.5
-;13;36.0;Mangold Michael (1997);;14;54.5;14;35.75;1;-0.25;8.75
+;16;44.75;Reinhard Adrian (1997);;20;53.0;17;44.5;1;-0.25;9.75

14c;Mangold Michael (1997);;;;;;;;;;54.5
-;;;Grossmann Andreas;;;;;;;;8.75
+;4;8.75;Haymoz Jan (1999);;24;35.25;5;8.5;1;-0.25;10.0
o;4;18.75;Scherrer Johann;**;14;54.5;7;17.5;3;-1.25;8.5
o;9;27.25;von Arx Christian;*;13;54.75;8;27.5;-1;0.25;8.5
-;14;35.75;Rüegger Aaron (1999);;14;54.5;13;36.0;-1;0.25;9.0
+;16;44.75;Schär Jonas (1999);;19;53.25;16;44.75;0;0.0;9.75

14d;Hasler Jimmy;*;;;;;;;;;54.5
o;;;Stüdeli Thomas;**;;;;;;;8.5
+;5;8.5;Stegmüller Klemens;*;9;55.75;5;8.5;0;0.0;10.0
o;5;18.5;Stalder Remo;***;4;57.25;7;17.5;2;-1.0;8.5
-;10;27.0;Krebs Clemens;;12;55.0;6;28.0;-4;1.0;9.0
o;13;36.0;Hasler Manuel;;10;55.5;8;37.25;-5;1.25;8.5
+;17;44.5;Küng Marco;;20;53.0;17;44.5;0;0.0;10.0

14e;Bader Andreas;*;;;;;;;;;54.5
o;;;Henzer Andreas;**;;;;;;;8.5
-;5;8.5;Wehrli Christian;;11;55.25;2;9.75;-3;1.25;8.75
+;8;17.25;Hitz Florian (1999);;22;52.5;5;18.5;-3;1.25;9.75
+;10;27.0;Leu Dominik (1999);;24;35.25;11;26.75;1;-0.25;10.0
-;9;37.0;Moser Steven;**;12;55.0;12;36.25;3;-0.75;8.75
-;12;45.75;Bearda Samuel;;15;54.25;13;45.5;1;-0.25;8.75

15a;Bearda Samuel;;;;;;;;;;54.25
o;;;Hasler Manuel;;;;;;;;8.75
+;4;8.75;Burkhardt Roy;;28;34.0;5;8.5;1;-0.25;10.0
+;4;18.75;Wittmer Lukas;;17;53.75;5;18.5;1;-0.25;9.75
o;4;28.5;Strebel Joel (1997);*;6;56.5;4;28.5;0;0.0;8.5
o;9;37.0;Stoffel Marc;**;6;56.5;9;37.0;0;0.0;8.5
-;13;45.5;Bader Andreas;*;14;54.5;12;45.75;-1;0.25;8.75

15b;Aerni Lars (1997);;;;;;;;;;54.25
+;;;Wüthrich Martin;;;;;;;;9.75
o;2;9.75;Lehmann Robin (1999);;17;53.75;5;8.5;3;-1.25;8.5
-;6;18.25;Lisser Beat;;21;52.75;6;18.25;0;0.0;9.0
o;9;27.25;Löw Christophe;**;11;55.25;11;26.75;2;-0.5;8.5
o;14;35.75;Wiederkehr Michael;;16;54.0;15;35.5;1;-0.25;8.5
+;18;44.25;Müller Christian (1998);;21;52.75;18;44.25;0;0.0;10.0

15c;Bieli Andreas;;;;;;;;;;54.25
o;;;Widmer Sandro;;;;;;;;8.5
+;5;8.5;Müller Christian (1998);;21;52.75;5;8.5;0;0.0;10.0
o;5;18.5;Studinger Mathias;**;10;55.5;8;17.25;3;-1.25;8.5
+;10;27.0;Steger Robert (1998);;26;34.5;13;26.0;3;-1.0;10.0
o;9;37.0;Hermann Oliver;;11;55.25;10;36.75;1;-0.25;8.75
o;12;45.75;Brand Christian;**;11;55.25;13;45.5;1;-0.25;8.5

15d;Schaub Florent;;;;;;;;;;54.25
+;;;Büchi Christian;;;;;;;;9.75
o;2;9.75;Riesen Ruedi;;13;54.75;2;9.75;0;0.0;8.5
-;6;18.25;Reinhard Adrian (1997);;20;53.0;7;17.5;1;-0.75;9.0
o;9;27.25;Kramer Franz;*;12;55.0;10;27.0;1;-0.25;8.5
+;14;35.75;Müller Simon;;22;52.5;15;35.5;1;-0.25;10.0
o;12;45.75;Schneider Mario;**;9;55.75;12;45.75;0;0.0;8.5

15e;Bucher Pascal;;;;;;;;;;54.25
+;;;Haymoz Kevin;;;;;;;;10.0
o;1;10.0;Stoll Simon;;11;55.25;2;9.75;1;-0.25;8.5
o;5;18.5;Vieira Tiago;**;8;56.0;7;17.5;2;-1.0;8.5
+;10;27.0;Nyffeler Christoph;;16;54.0;10;27.0;0;0.0;10.0
o;9;37.0;Löw Christophe;**;11;55.25;10;36.75;1;-0.25;8.5
-;13;45.5;Dobler Florian;;15;54.25;13;45.5;0;0.0;8.75

15f;Dobler Florian;;;;;;;;;;54.25
+;;;Müller Christian (1998);;;;;;;;10.0
-;1;10.0;Rüegger Aaron (1999);;14;54.5;1;10.0;0;0.0;8.75
o;4;18.75;Steinmann Yves;*;11;55.25;6;18.25;2;-0.5;8.5
o;9;27.25;Räbmatter Patrick;**;5;57.0;9;27.25;0;0.0;8.5
+;14;35.75;Hitz Florian (1999);;22;52.5;15;35.5;1;-0.25;9.75
-;13;45.5;Bucher Pascal;;15;54.25;13;45.5;0;0.0;8.75

15g;Büttler Adrian (1999);;;;;;;;;;54.25
o;;;Räber Lukas;;;;;;;;8.5
+;5;8.5;Kaspar Jan (1999);;26;34.5;5;8.5;0;0.0;9.75
+;6;18.25;Huber Jan (1997);*;10;55.5;9;17.0;3;-1.25;10.0
o;5;28.25;Erb Roger;**;10;55.5;10;27.0;5;-1.25;8.5
o;10;36.75;Klausner Yanick;**;10;55.5;9;37.0;-1;0.25;8.5
-;14;45.25;Siegrist Christian (1997);;16;54.0;15;45.0;1;-0.25;9.0

16a;Nyffeler Christoph;;;;;;;;;;54.0
+;;;Schär Jonas (1999);;;;;;;;9.75
o;2;9.75;Steinmann Yves;*;11;55.25;5;8.5;3;-1.25;8.75
o;5;18.5;Mahrer Jürg;**;9;55.75;8;17.25;3;-1.25;8.5
o;10;27.0;Bucher Pascal;;15;54.25;10;27.0;0;0.0;8.5
+;15;35.5;Küng Marco;;20;53.0;13;36.0;-2;0.5;10.0
o;13;45.5;Steinmann Kevin;**;10;55.5;12;45.75;-1;0.25;8.5

16b;Villiger Damian;*;;;;;;;;;54.0
-;;;von Arx Christian;*;;;;;;;8.75
o;4;8.75;Erb Roger;**;10;55.5;5;8.5;1;-0.25;8.5
+;8;17.25;Mangold Martin;;10;55.5;5;18.5;-3;1.25;9.75
-;10;27.0;Kohler Adrian;;10;55.5;7;27.75;-3;0.75;8.75
o;14;35.75;Krebs Clemens;;12;55.0;10;36.75;-4;1.0;8.5
+;18;44.25;Lisser Beat;;21;52.75;18;44.25;0;0.0;9.75

16c;Wiederkehr Michael;;;;;;;;;;54.0
+;;;Burkhardt Roy;;;;;;;;10.0
o;1;10.0;Brand Christian;**;11;55.25;4;8.75;3;-1.25;8.5
o;5;18.5;Hasler Manuel;;10;55.5;5;18.5;0;0.0;8.5
o;10;27.0;Vieira Tiago;**;8;56.0;8;27.5;-2;0.5;8.5
+;15;35.5;Aerni Lars (1997);;15;54.25;14;35.75;-1;0.25;10.0
o;13;45.5;Erb Roger;**;10;55.5;13;45.5;0;0.0;8.5

16d;Siegrist Christian (1997);;;;;;;;;;54.0
+;;;Wittmer Lukas;;;;;;;;9.75
o;2;9.75;Probst Gabriel;**;10;55.5;5;8.5;3;-1.25;8.5
+;6;18.25;Ris Jörn (1998);;17;53.75;5;18.5;-1;0.25;9.75
o;6;28.0;Schneider Markus;*;13;54.75;11;26.75;5;-1.25;8.5
o;11;36.5;Studer Remo;;13;54.75;11;36.5;0;0.0;8.5
-;15;45.0;Büttler Adrian (1999);;15;54.25;14;45.25;-1;0.25;9.0

16e;Leuthard Mario;;;;;;;;;;54.0
+;;;Ris Jörn (1998);;;;;;;;10.0
o;1;10.0;Widmer Cyrill (1998);;12;55.0;2;9.75;1;-0.25;8.5
+;5;18.5;Weber Roger;;16;54.0;5;18.5;0;0.0;9.75
o;5;28.25;Henzer Andreas;**;8;56.0;4;28.5;-1;0.25;8.5
o;10;36.75;Waldner Patrick;**;6;56.5;10;36.75;0;0.0;8.5
-;14;45.25;Grossmann Andreas;;16;54.0;14;45.25;0;0.0;8.75

16f;Weber Roger;;;;;;;;;;54.0
+;;;Körkel Yannik (1997);;;;;;;;10.0
o;1;10.0;Roth Christian;;17;53.75;2;9.75;1;-0.25;8.5
o;5;18.5;Leuthard Mario;;16;54.0;5;18.5;0;0.0;8.5
+;10;27.0;Furrer Mathias;;24;35.25;11;26.75;1;-0.25;10.0
o;9;37.0;Döbeli Andreas (1998);*;10;55.5;9;37.0;0;0.0;8.5
o;13;45.5;Huber Jan (1997);*;10;55.5;13;45.5;0;0.0;8.5

16g;Büchi Christian;;;;;;;;;;54.0
o;;;Schaub Florent;;;;;;;;8.5
o;5;8.5;Schär Jonas (1999);;19;53.25;4;8.75;-1;0.25;8.5
+;9;17.0;Körkel Yannik (1997);;28;34.0;9;17.0;0;0.0;10.0
o;10;27.0;Schär Simon;*;10;55.5;14;25.75;4;-1.25;8.5
o;15;35.5;Steinmann Kevin;**;10;55.5;13;36.0;-2;0.5;8.5
+;19;44.0;Müller Simon;;22;52.5;19;44.0;0;0.0;10.0

16h;Grossmann Andreas;;;;;;;;;;54.0
-;;;Mangold Michael (1997);;;;;;;;8.75
+;4;8.75;Körkel Yannik (1997);;28;34.0;5;8.5;1;-0.25;9.75
o;5;18.5;Leuthard Reto;*;9;55.75;8;17.25;3;-1.25;8.5
+;10;27.0;Widmer Sandro;;17;53.75;10;27.0;0;0.0;9.75
o;10;36.75;Steinmann Yves;*;11;55.25;11;36.5;1;-0.25;8.5
-;14;45.25;Leuthard Mario;;16;54.0;14;45.25;0;0.0;8.75

16i;Widmer David;;;;;;;;;;54.0
o;;;Brügger Cyrill (1998);;;;;;;;8.5
+;5;8.5;Wyss Cyrill;;28;34.0;5;8.5;0;0.0;10.0
-;5;18.5;Brun Samuel (1999);;13;54.75;5;18.5;0;0.0;8.75
o;9;27.25;Stüdeli Thomas;**;6;56.5;5;28.25;-4;1.0;8.5
+;14;35.75;Lisser Beat;;21;52.75;14;35.75;0;0.0;9.75
o;13;45.5;Schneider Markus;*;13;54.75;15;45.0;2;-0.5;8.5

17a;Widmer Sandro;;;;;;;;;;53.75
+;;;Bieli Andreas;;;;;;;;9.75
-;2;9.75;Scherrer Johann;**;14;54.5;4;8.75;2;-1.0;8.75
o;5;18.5;Nussbaumer Gabriel;;17;53.75;5;18.5;0;0.0;8.5
o;10;27.0;Grossmann Andreas;;16;54.0;10;27.0;0;0.0;8.5
o;15;35.5;Brun Samuel (1999);;13;54.75;14;35.75;-1;0.25;8.5
+;19;44.0;Hitz Florian (1999);;22;52.5;19;44.0;0;0.0;9.75

17b;Nussbaumer Gabriel;;;;;;;;;;53.75
-;;;Küng Marco;;;;;;;;8.75
+;4;8.75;Furrer Mathias;;24;35.25;5;8.5;1;-0.25;9.75
+;5;18.5;Widmer Sandro;;17;53.75;5;18.5;0;0.0;9.75
o;5;28.25;Studinger Mathias;**;10;55.5;10;27.0;5;-1.25;8.5
o;10;36.75;Schär Simon;*;10;55.5;14;35.75;4;-1.0;8.5
o;14;45.25;Wehrli Christian;;11;55.25;14;45.25;0;0.0;8.5

17c;Ris Jörn (1998);;;;;;;;;;53.75
o;;;Leuthard Mario;;;;;;;;8.5
+;5;8.5;Steger Robert (1998);;26;34.5;5;8.5;0;0.0;10.0
o;5;18.5;Siegrist Christian (1997);;16;54.0;6;18.25;1;-0.25;8.5
+;10;27.0;Kaspar Jan (1999);;26;34.5;13;26.0;3;-1.0;9.75
o;10;36.75;Winiger Fabian;**;10;55.5;9;37.0;-1;0.25;8.5
o;14;45.25;Schär Simon;*;10;55.5;12;45.75;-2;0.5;8.5

17d;Roth Christian;;;;;;;;;;53.75
+;;;Furrer Mathias;;;;;;;;9.75
+;2;9.75;Weber Roger;;16;54.0;1;10.0;-1;0.25;9.75
o;2;19.5;Stüdeli Thomas;**;6;56.5;6;18.25;4;-1.25;8.5
o;6;28.0;Kocher Remo;**;9;55.75;9;27.25;3;-0.75;8.5
o;11;36.5;Stegmüller Klemens;*;9;55.75;14;35.75;3;-0.75;8.75
o;14;45.25;Kohler Adrian;;10;55.5;13;45.5;-1;0.25;8.5

17e;Lehmann Robin (1999);;;;;;;;;;53.75
o;;;Riesen Ruedi;;;;;;;;8.5
+;5;8.5;Aerni Lars (1997);;15;54.25;2;9.75;-3;1.25;9.75
+;6;18.25;Wüthrich Martin;;26;34.5;7;17.5;1;-0.75;9.75
o;6;28.0;Blatter Lorenz;*;5;57.0;4;28.5;-2;0.5;8.5
o;11;36.5;Probst Gabriel;**;10;55.5;9;37.0;-2;0.5;8.5
o;15;45.0;Brügger Cyrill (1998);;12;55.0;15;45.0;0;0.0;8.75

17f;Wittmer Lukas;;;;;;;;;;53.75
o;;;Siegrist Christian (1997);;;;;;;;8.5
+;5;8.5;Leu Dominik (1999);;24;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Bearda Samuel;;15;54.25;4;18.75;-1;0.25;8.5
+;10;27.0;Wüthrich Martin;;26;34.5;13;26.0;3;-1.0;9.75
o;10;36.75;Lang Martin;**;11;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Mangold Martin;;10;55.5;13;45.5;-1;0.25;8.5

18a;Reimann Marco (1998);;;;;;;;;;53.5
-;;;Reinhard Adrian (1997);;;;;;;;8.75
+;4;8.75;Suter Manuel (1997);;28;34.0;5;8.5;1;-0.25;10.0
o;4;18.75;Probst Gabriel;**;10;55.5;5;18.5;1;-0.25;8.5
-;9;27.25;Schär Jonas (1999);;19;53.25;9;27.25;0;0.0;9.0
o;12;36.25;Scherrer Johann;**;14;54.5;13;36.0;1;-0.25;8.75
o;15;45.0;Widmer Cyrill (1998);;12;55.0;15;45.0;0;0.0;8.5

19a;Schär Jonas (1999);;;;;;;;;;53.25
o;;;Nyffeler Christoph;;;;;;;;8.75
+;4;8.75;Büchi Christian;;16;54.0;5;8.5;1;-0.25;9.75
-;5;18.5;Moser Matthias;*;25;34.75;8;17.25;3;-1.25;8.75
-;9;27.25;Reimann Marco (1998);;18;53.5;9;27.25;0;0.0;9.0
o;12;36.25;Mangold Martin;;10;55.5;14;35.75;2;-0.5;8.5
o;16;44.75;Mangold Michael (1997);;14;54.5;16;44.75;0;0.0;8.5

20a;Küng Marco;;;;;;;;;;53.0
-;;;Nussbaumer Gabriel;;;;;;;;8.75
o;4;8.75;Krebs Clemens;;12;55.0;5;8.5;1;-0.25;8.5
+;8;17.25;Burkhardt Roy;;28;34.0;9;17.0;1;-0.25;10.0
-;9;27.25;Moser Matthias;*;25;34.75;13;26.0;4;-1.25;8.75
o;13;36.0;Nyffeler Christoph;;16;54.0;15;35.5;2;-0.5;8.5
o;17;44.5;Hasler Jimmy;*;14;54.5;17;44.5;0;0.0;8.5

20b;Reinhard Adrian (1997);;;;;;;;;;53.0
-;;;Reimann Marco (1998);;;;;;;;8.75
-;4;8.75;Wüthrich Martin;;26;34.5;4;8.75;0;0.0;8.75
-;7;17.5;Schaub Florent;;15;54.25;6;18.25;-1;0.75;8.75
+;12;26.25;Haymoz Kevin;;27;34.25;14;25.75;2;-0.5;9.75
o;13;36.0;Huber Jan (1997);*;10;55.5;15;35.5;2;-0.5;8.5
o;17;44.5;Rüegger Aaron (1999);;14;54.5;16;44.75;-1;0.25;8.5

21a;Lisser Beat;;;;;;;;;;52.75
+;;;Müller Simon;;;;;;;;9.75
o;2;9.75;Hermann Oliver;;11;55.25;1;10.0;-1;0.25;8.5
-;6;18.25;Aerni Lars (1997);;15;54.25;6;18.25;0;0.0;9.0
o;9;27.25;Döbeli Andreas (1998);*;10;55.5;10;27.0;1;-0.25;8.5
o;14;35.75;Widmer David;;16;54.0;14;35.75;0;0.0;8.5
o;18;44.25;Villiger Damian;*;16;54.0;18;44.25;0;0.0;8.5

21b;Müller Christian (1998);;;;;;;;;;52.75
o;;;Dobler Florian;;;;;;;;8.5
o;5;8.5;Bieli Andreas;;15;54.25;5;8.5;0;0.0;8.5
-;9;17.0;Haymoz Kevin;;27;34.25;9;17.0;0;0.0;8.75
+;14;25.75;Wyss Cyrill;;28;34.0;15;25.5;1;-0.25;10.0
o;14;35.75;Stegmüller Klemens;*;9;55.75;14;35.75;0;0.0;8.5
o;18;44.25;Aerni Lars (1997);;15;54.25;18;44.25;0;0.0;8.5

22a;Müller Simon;;;;;;;;;;52.5
o;;;Lisser Beat;;;;;;;;8.5
o;5;8.5;Brun Samuel (1999);;13;54.75;5;8.5;0;0.0;8.5
+;9;17.0;Wyss Cyrill;;28;34.0;9;17.0;0;0.0;10.0
o;10;27.0;Steinmann Kevin;**;10;55.5;12;26.25;2;-0.75;8.5
o;15;35.5;Schaub Florent;;15;54.25;14;35.75;-1;0.25;8.5
o;19;44.0;Büchi Christian;;16;54.0;19;44.0;0;0.0;8.5

22b;Hitz Florian (1999);;;;;;;;;;52.5
+;;;Haymoz Jan (1999);;;;;;;;10.0
o;1;10.0;Studer Remo;;13;54.75;2;9.75;1;-0.25;8.5
o;5;18.5;Bader Andreas;*;14;54.5;8;17.25;3;-1.25;8.5
o;10;27.0;Wehrli Christian;;11;55.25;10;27.0;0;0.0;8.5
o;15;35.5;Dobler Florian;;15;54.25;14;35.75;-1;0.25;8.5
o;19;44.0;Widmer Sandro;;17;53.75;19;44.0;0;0.0;8.5

23a;Voggensperger Janic (1998);*;;;;;;;;;36.75
+;;;Döbeli Andreas (1998);*;;;;;;;9.75
-;2;9.75;Vieira Tiago;**;8;56.0;4;8.75;2;-1.0;8.75
+;5;18.5;Steinmann Kevin;**;10;55.5;7;17.5;2;-1.0;9.75
o;5;28.25;Gisler Bruno;***;1;58.5;4;28.5;-1;0.25;8.5

24a;Furrer Mathias;;;;;;;;;;35.25
o;;;Roth Christian;;;;;;;;8.5
o;5;8.5;Nussbaumer Gabriel;;17;53.75;4;8.75;-1;0.25;8.5
+;9;17.0;Suter Manuel (1997);;28;34.0;9;17.0;0;0.0;9.75
o;11;26.75;Weber Roger;;16;54.0;10;27.0;-1;0.25;8.5

24b;Leu Dominik (1999);;;;;;;;;;35.25
o;;;Studer Remo;;;;;;;;8.5
o;5;8.5;Wittmer Lukas;;17;53.75;5;8.5;0;0.0;8.5
+;9;17.0;Haymoz Jan (1999);;24;35.25;9;17.0;0;0.0;9.75
o;11;26.75;Bader Andreas;*;14;54.5;10;27.0;-1;0.25;8.5

24c;Haymoz Jan (1999);;;;;;;;;;35.25
o;;;Hitz Florian (1999);;;;;;;;8.5
o;5;8.5;Mangold Michael (1997);;14;54.5;4;8.75;-1;0.25;8.5
o;9;17.0;Leu Dominik (1999);;24;35.25;9;17.0;0;0.0;8.5
+;15;25.5;Suter Manuel (1997);;28;34.0;15;25.5;0;0.0;9.75

24d;Inderwildi Daniel;;;;;;;;;;35.25
o;;;Stoll Simon;;;;;;;;8.5
+;5;8.5;Haymoz Kevin;;27;34.25;5;8.5;0;0.0;9.75
o;6;18.25;Krebs Clemens;;12;55.0;6;18.25;0;0.0;8.5
o;11;26.75;Brand Christian;**;11;55.25;10;27.0;-1;0.25;8.5

25a;Moser Matthias;*;;;;;;;;;34.75
o;;;Kramer Franz;*;;;;;;;8.75
o;4;8.75;Schmid David;**;3;57.75;3;9.0;-1;0.25;8.5
-;8;17.25;Schär Jonas (1999);;19;53.25;5;18.5;-3;1.25;8.75
-;13;26.0;Küng Marco;;20;53.0;9;27.25;-4;1.25;8.75

26a;Wüthrich Martin;;;;;;;;;;34.5
o;;;Aerni Lars (1997);;;;;;;;8.75
-;4;8.75;Reinhard Adrian (1997);;20;53.0;4;8.75;0;0.0;8.75
o;7;17.5;Lehmann Robin (1999);;17;53.75;6;18.25;-1;0.75;8.5
o;13;26.0;Wittmer Lukas;;17;53.75;10;27.0;-3;1.0;8.5

26b;Kaspar Jan (1999);;;;;;;;;;34.5
o;;;Mangold Martin;;;;;;;;8.5
o;5;8.5;Büttler Adrian (1999);;15;54.25;5;8.5;0;0.0;8.5
-;9;17.0;Steger Robert (1998);;26;34.5;9;17.0;0;0.0;9.0
o;13;26.0;Ris Jörn (1998);;17;53.75;10;27.0;-3;1.0;8.5

26c;Steger Robert (1998);;;;;;;;;;34.5
o;;;Widmer Cyrill (1998);;;;;;;;8.5
o;5;8.5;Ris Jörn (1998);;17;53.75;5;8.5;0;0.0;8.5
-;9;17.0;Kaspar Jan (1999);;26;34.5;9;17.0;0;0.0;9.0
o;13;26.0;Bieli Andreas;;15;54.25;10;27.0;-3;1.0;8.5

27a;Haymoz Kevin;;;;;;;;;;34.25
o;;;Bucher Pascal;;;;;;;;8.5
o;5;8.5;Inderwildi Daniel;;24;35.25;5;8.5;0;0.0;8.5
-;9;17.0;Müller Christian (1998);;21;52.75;9;17.0;0;0.0;8.75
o;14;25.75;Reinhard Adrian (1997);;20;53.0;12;26.25;-2;0.5;8.5

27b;Schumacher Michael;*;;;;;;;;;34.25
o;;;Waldner Patrick;**;;;;;;;8.5
o;5;8.5;Kocher Remo;**;9;55.75;4;8.75;-1;0.25;8.5
o;9;17.0;Winiger Fabian;**;10;55.5;8;17.25;-1;0.25;8.5
-;15;25.5;Mangold Martin;;10;55.5;10;27.0;-5;1.5;8.75

28a;Burkhardt Roy;;;;;;;;;;34.0
o;;;Wiederkehr Michael;;;;;;;;8.5
o;5;8.5;Bearda Samuel;;15;54.25;4;8.75;-1;0.25;8.5
o;9;17.0;Küng Marco;;20;53.0;8;17.25;-1;0.25;8.5
o;15;25.5;Huber Jan (1997);*;10;55.5;15;25.5;0;0.0;8.5

28b;Suter Manuel (1997);;;;;;;;;;34.0
o;;;Kohler Adrian;;;;;;;;8.5
o;5;8.5;Reimann Marco (1998);;18;53.5;4;8.75;-1;0.25;8.5
o;9;17.0;Furrer Mathias;;24;35.25;9;17.0;0;0.0;8.5
o;15;25.5;Haymoz Jan (1999);;24;35.25;15;25.5;0;0.0;8.5

28c;Körkel Yannik (1997);;;;;;;;;;34.0
o;;;Weber Roger;;;;;;;;8.5
o;5;8.5;Grossmann Andreas;;16;54.0;4;8.75;-1;0.25;8.5
o;9;17.0;Büchi Christian;;16;54.0;9;17.0;0;0.0;8.5
o;15;25.5;Stegmüller Klemens;*;9;55.75;14;25.75;-1;0.25;8.5

28d;Wyss Cyrill;;;;;;;;;;34.0
o;;;Hermann Oliver;;;;;;;;8.5
o;5;8.5;Widmer David;;16;54.0;5;8.5;0;0.0;8.5
o;9;17.0;Müller Simon;;22;52.5;9;17.0;0;0.0;8.5
o;15;25.5;Müller Christian (1998);;21;52.75;14;25.75;-1;0.25;8.5

