3506-2016-05-05_Baselstaedtischer_Schwingertag-ST

1a;Wenger Kilian;***;;;;;;;;;59.5
+;;;Gisler Bruno;***;;;;;;;10.0
+;1;10.0;Räbmatter Patrick;**;10;55.5;2;9.75;1;-0.25;9.75
+;2;19.75;Studinger Stephan;**;5;56.75;2;19.75;0;0.0;10.0
+;1;29.75;Müllestein Mike;**;5;56.75;3;29.25;2;-0.5;9.75
+;1;39.5;Stalder Remo;***;5;56.75;3;38.5;2;-1.0;10.0
+;1;49.5;Schuler Christian;***;3;57.5;2;48.75;1;-0.75;10.0

2a;Käser Remo;**;;;;;;;;;58.0
+;;;Alpiger Nick;**;;;;;;;9.75
+;2;9.75;Stoffel Marc;**;6;56.5;2;9.75;0;0.0;9.75
+;3;19.5;Mahrer Jürg;**;9;55.75;5;18.75;2;-0.75;9.75
-;3;29.25;Schuler Christian;***;3;57.5;1;29.75;-2;0.5;9.0
+;4;38.25;Studinger Stephan;**;5;56.75;4;38.25;0;0.0;10.0
+;3;48.25;Hasler Manuel;*;9;55.75;6;47.25;3;-1.0;9.75

3a;Thoenen Henryc;**;;;;;;;;;57.5
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;5;8.5;Duplan Steve;**;11;55.25;5;8.5;0;0.0;10.0
+;6;18.5;Rüegger Aaron (1999);;14;54.5;1;20.0;-5;1.5;10.0
-;4;28.5;Matthey Mickaël;**;10;55.5;6;28.0;2;-0.5;9.0
+;7;37.5;Hermann Oliver;;11;55.25;4;38.25;-3;0.75;10.0
+;5;47.5;Widmer Tobias;**;9;55.75;6;47.25;1;-0.25;10.0

3b;Schuler Christian;***;;;;;;;;;57.5
+;;;Bieri Christoph;***;;;;;;;9.75
+;2;9.75;Vieira Tiago;**;8;56.0;1;10.0;-1;0.25;10.0
+;2;19.75;Döbeli Andreas (1998);*;8;56.0;4;19.0;2;-0.75;10.0
-;1;29.75;Käser Remo;**;2;58.0;3;29.25;2;-0.5;9.0
+;2;38.75;Alpiger Nick;**;6;56.5;4;38.25;2;-0.5;10.0
o;2;48.75;Wenger Kilian;***;1;59.5;1;49.5;-1;0.75;8.75

4a;Gisler Bruno;***;;;;;;;;;57.0
o;;;Wenger Kilian;***;;;;;;;8.5
+;5;8.5;Hügli Kaj;*;11;55.25;4;8.75;-1;0.25;10.0
+;6;18.5;Schaffner Samuel;**;9;55.75;6;18.5;0;0.0;10.0
+;4;28.5;Schuler Alex;**;5;56.75;2;29.5;-2;1.0;9.75
-;4;38.25;Aeschbacher Matthias;**;4;57.0;4;38.25;0;0.0;9.0
+;6;47.25;Roch Vincent;*;9;55.75;7;47.0;1;-0.25;9.75

4b;Aeschbacher Matthias;**;;;;;;;;;57.0
+;;;Thoenen Henryc;**;;;;;;;9.75
+;2;9.75;Mahrer Jürg;**;9;55.75;1;10.0;-1;0.25;9.75
+;3;19.5;Kramer Franz;*;15;54.25;1;20.0;-2;0.5;10.0
-;2;29.5;Bieri Christoph;***;7;56.25;4;28.5;2;-1.0;8.75
-;4;38.25;Gisler Bruno;***;4;57.0;4;38.25;0;0.0;8.75
+;7;47.0;Räbmatter Patrick;**;10;55.5;7;47.0;0;0.0;10.0

5a;Schuler Alex;**;;;;;;;;;56.75
+;;;Löw Christophe;**;;;;;;;9.75
+;2;9.75;Henzer Andreas;**;8;56.0;4;8.75;2;-1.0;10.0
+;2;19.75;Hasler Manuel;*;9;55.75;4;19.0;2;-0.75;9.75
o;2;29.5;Gisler Bruno;***;4;57.0;4;28.5;2;-1.0;8.5
-;5;38.0;Stoffel Marc;**;6;56.5;5;38.0;0;0.0;8.75
+;8;46.75;Bearda Samuel;;11;55.25;8;46.75;0;0.0;10.0

5b;Studinger Stephan;**;;;;;;;;;56.75
+;;;Roch Vincent;*;;;;;;;9.75
+;2;9.75;von Arx Christian;*;9;55.75;1;10.0;-1;0.25;10.0
o;2;19.75;Wenger Kilian;***;1;59.5;2;19.75;0;0.0;8.5
+;5;28.25;Widmer Cyrill (1998);;12;55.0;5;28.25;0;0.0;10.0
o;4;38.25;Käser Remo;**;2;58.0;4;38.25;0;0.0;8.75
+;7;47.0;Gabathuler Björn (1998);;11;55.25;8;46.75;1;-0.25;9.75

5c;Stalder Remo;***;;;;;;;;;56.75
+;;;Matthey Mickaël;**;;;;;;;10.0
o;1;10.0;Müllestein Mike;**;5;56.75;2;9.75;1;-0.25;8.5
+;6;18.5;Schär Simon;*;21;35.5;7;18.25;1;-0.25;10.0
+;4;28.5;Kramer Franz;*;15;54.25;4;28.5;0;0.0;10.0
o;3;38.5;Wenger Kilian;***;1;59.5;1;39.5;-2;1.0;8.5
+;7;47.0;Klausner Yanick;**;11;55.25;8;46.75;1;-0.25;9.75

5d;Müllestein Mike;**;;;;;;;;;56.75
+;;;Erb Roger;**;;;;;;;9.75
+;2;9.75;Stalder Remo;***;5;56.75;1;10.0;-1;0.25;9.75
+;3;19.5;Mangold Michael;;9;55.75;2;19.75;-1;0.25;9.75
o;3;29.25;Wenger Kilian;***;1;59.5;1;29.75;-2;0.5;8.5
+;6;37.75;Brand Christian;**;11;55.25;5;38.0;-1;0.25;10.0
-;4;47.75;Henzer Andreas;**;8;56.0;6;47.25;2;-0.5;9.0

6a;Stoffel Marc;**;;;;;;;;;56.5
+;;;Winiger Fabian;**;;;;;;;9.75
