5672-2022-05-01_Thurgauer_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;59.0
o;;;Koller Silvan;*;;;;;;;8.5
+;5;8.5;Keller Dominic;;12;55.5;2;9.75;-3;1.25;10.0
+;6;18.5;Diem Hansruedi;;18;54.0;7;18.25;1;-0.25;10.0
o;4;28.5;Bühler Hannes;*;7;56.75;5;28.25;1;-0.25;8.5
+;9;37.0;Nüesch Sandro (2005);;18;54.0;9;37.0;0;0.0;9.75
+;9;46.75;Wolfer Lukas;*;12;55.5;8;47.0;-1;0.25;10.0

7b;Bernold Michael;*;;;;;;;;;56.75
+;;;Koller Fabian;*;;;;;;;10.0
o;1;10.0;Kindlimann Fabian;***;5;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Meier Adrian (2005);;19;53.75;6;18.5;0;0.0;10.0
+;4;28.5;Nüesch Sandro (2005);;18;54.0;4;28.5;0;0.0;9.75
+;5;38.25;Wolfer Lukas;*;12;55.5;4;38.5;-1;0.25;10.0
o;3;48.25;Voggensperger Janic;**;2;58.25;3;48.25;0;0.0;8.5

7c;Dumelin David;**;;;;;;;;;56.75
o;;;Schmid Dominik;**;;;;;;;8.5
+;5;8.5;Kammermann Dominik;;16;54.5;1;10.0;-4;1.5;10.0
+;6;18.5;Bärtsch Fabian;*;8;56.5;6;18.5;0;0.0;9.75
-;5;28.25;von Büren Stephan;**;13;55.25;6;28.0;1;-0.25;8.75
+;9;37.0;Burch Dean;*;14;55.0;11;36.5;2;-0.5;9.75
+;9;46.75;Horner Sämi;;13;55.25;9;46.75;0;0.0;10.0

7d;Stöckli Stefan;***;;;;;;;;;56.75
o;;;Schneider Domenic;***;;;;;;;8.5
+;5;8.5;Koller Silvan;*;13;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Mettler Valentin;*;11;55.75;5;18.75;-1;0.25;10.0
o;4;28.5;Giger Samuel;***;1;59.0;2;29.0;-2;0.5;8.5
+;9;37.0;Blaser Niklas;*;8;56.5;6;38.0;-3;1.0;9.75
+;9;46.75;Koller Fabian;*;13;55.25;9;46.75;0;0.0;10.0

7e;Notz Beni;***;;;;;;;;;56.75
+;;;Kuster Thomas;**;;;;;;;9.75
+;2;9.75;Schmid Patrick;*;8;56.5;2;9.75;0;0.0;9.75
o;3;19.5;Käser Remo;***;8;56.5;5;18.75;2;-0.75;8.5
+;6;28.0;Walser Simon (2004);;13;55.25;6;28.0;0;0.0;10.0
+;6;38.0;Schudel Simon;*;9;56.25;6;38.0;0;0.0;10.0
-;4;48.0;Imhof Gregor;;11;55.75;8;47.0;4;-1.0;8.75

7f;Hugelshofer Lars;*;;;;;;;;;56.75
o;;;Stöckli Damian;*;;;;;;;8.5
+;5;8.5;Rhyner Beni;;18;54.0;2;9.75;-3;1.25;10.0
+;6;18.5;Kuster Thomas;**;9;56.25;7;18.25;1;-0.25;10.0
+;4;28.5;Anliker Nino (2005);;18;54.0;5;28.25;1;-0.25;10.0
o;4;38.5;Ott Damian;**;4;57.75;5;38.25;1;-0.25;8.5
+;8;47.0;Bucher Roman;;12;55.5;8;47.0;0;0.0;9.75

7g;Oettli Silvio;**;;;;;;;;;56.75
+;;;Blaser Christian;**;;;;;;;10.0
+;1;10.0;Anliker Andri;;17;54.25;1;10.0;0;0.0;10.0
o;1;20.0;Ott Damian;**;4;57.75;6;18.5;5;-1.5;8.5
+;4;28.5;Hinrichs Silvio (2004);;12;55.5;4;28.5;0;0.0;10.0
+;4;38.5;Signer Andy;*;13;55.25;5;38.25;1;-0.25;9.75
o;3;48.25;Kindlimann Fabian;***;5;57.25;6;47.5;3;-0.75;8.5

7h;Wetter Silvan;*;;;;;;;;;56.75
o;;;Blaser Niklas;*;;;;;;;8.5
+;5;8.5;Mock Marco;;18;54.0;2;9.75;-3;1.25;10.0
+;6;18.5;Mösli Marcel;;15;54.75;3;19.5;-3;1.0;10.0
o;4;28.5;Schurtenberger Sven;***;3;58.0;5;28.25;1;-0.25;8.5
+;9;37.0;Reichmuth Beat;;13;55.25;9;37.0;0;0.0;9.75
+;9;46.75;Koch Thomas;*;11;55.75;8;47.0;-1;0.25;10.0

7i;Wey Nicola;*;;;;;;;;;56.75
+;;;Koch Thomas;*;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;3;58.0;5;8.5;4;-1.5;8.5
+;6;18.5;Gerig Marcel;;15;54.75;3;19.5;-3;1.0;10.0
+;4;28.5;Berger René;**;14;55.0;6;28.0;2;-0.5;9.75
o;5;38.25;Niederer Andreas;;9;56.25;8;37.25;3;-1.0;8.5
+;9;46.75;Keller Manuel;*;12;55.5;8;47.0;-1;0.25;10.0

7j;Kolb This;**;;;;;;;;;56.75
o;;;Berger René;**;;;;;;;8.5
+;5;8.5;Hänni Marc;;14;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Lenherr Cédric;*;13;55.25;6;18.5;0;0.0;9.75
+;5;28.25;Kiener Raphael;;13;55.25;4;28.5;-1;0.25;9.75
+;6;38.0;Schmid Patrick;*;8;56.5;6;38.0;0;0.0;9.75
-;5;47.75;Niederer Andreas;;9;56.25;7;47.25;2;-0.5;9.0

7k;Ammann Rico;*;;;;;;;;;56.75
+;;;Hobi Ignaz;*;;;;;;;10.0
o;1;10.0;Schnurrenberger Roman;**;11;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Spörndli Cyril;;14;55.0;7;18.25;1;-0.25;10.0
+;4;28.5;Blaser Jan;*;14;55.0;6;28.0;2;-0.5;9.75
+;5;38.25;Kundert Elias (2005);;10;56.0;5;38.25;0;0.0;10.0
o;3;48.25;Bless Michael;***;5;57.25;6;47.5;3;-0.75;8.5

7l;Bühler Hannes;*;;;;;;;;;56.75
+;;;Blaser Jan;*;;;;;;;9.75
o;2;9.75;Dändliker Shane;**;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Rüger Damian;;28;35.25;7;18.25;0;0.0;10.0
+;5;28.25;Bürgler Patrick;*;7;56.75;4;28.5;-1;0.25;10.0
-;5;38.25;Egli Martin;;13;55.25;6;38.0;1;-0.25;8.75
+;8;47.0;Wildhaber Jannik;;13;55.25;9;46.75;1;-0.25;9.75

7m;Schläpfer Markus;**;;;;;;;;;56.75
o;;;Räbsamen Marcel;**;;;;;;;8.5
+;5;8.5;Müllhaupt Yves;;13;55.25;1;10.0;-4;1.5;9.75
+;7;18.25;Stauffacher Martin;;17;54.25;6;18.5;-1;0.25;10.0
+;5;28.25;Burkhalter Thomas;*;25;47.0;4;28.5;-1;0.25;10.0
+;5;38.25;Anliker Andri;;17;54.25;9;37.0;4;-1.25;10.0
o;3;48.25;Ott Damian;**;4;57.75;4;48.0;1;-0.25;8.5

8a;Käser Remo;***;;;;;;;;;56.5
-;;;Ott Damian;**;;;;;;;8.75
+;4;8.75;Wolfer Lukas;*;12;55.5;1;10.0;-3;1.25;10.0
+;5;18.75;Notz Beni;***;7;56.75;3;19.5;-2;0.75;9.75
o;4;28.5;Schlegel Werner;**;5;57.25;3;28.75;-1;0.25;8.5
+;9;37.0;Müllhaupt Yves;;13;55.25;9;37.0;0;0.0;9.75
+;9;46.75;Signer Andy;*;13;55.25;9;46.75;0;0.0;9.75

8b;Blaser Christian;**;;;;;;;;;56.5
o;;;Oettli Silvio;**;;;;;;;8.5
+;5;8.5;Magani Flurin;;19;53.75;1;10.0;-4;1.5;10.0
+;6;18.5;Ruppanner Philipp;;17;54.25;6;18.5;0;0.0;9.75
o;5;28.25;Schneider Mario;**;3;58.0;5;28.25;0;0.0;8.5
+;10;36.75;Meier Christian;;18;54.0;9;37.0;-1;0.25;9.75
+;10;46.5;Burkhalter Stefan;***;15;54.75;11;46.25;1;-0.25;10.0

8c;Kolb Kilian (2005);;;;;;;;;;56.5
o;;;Inauen Maurus;;;;;;;;8.5
+;5;8.5;Pallaoro Luca;;18;54.0;5;8.5;0;0.0;10.0
-;6;18.5;Hobi Ignaz;*;20;53.5;10;17.25;4;-1.25;9.0
+;7;27.5;Gerig Marcel;;15;54.75;6;28.0;-1;0.5;10.0
-;7;37.5;Odermatt Gian Maria (2004);*;9;56.25;8;37.25;1;-0.25;9.0
+;10;46.5;Walser Simon (2004);;13;55.25;10;46.5;0;0.0;10.0

8d;Schmid Patrick;*;;;;;;;;;56.5
+;;;Lenherr Cédric;*;;;;;;;9.75
o;2;9.75;Notz Beni;***;7;56.75;2;9.75;0;0.0;8.5
+;7;18.25;Lozza Roman;;14;55.0;2;19.75;-5;1.5;9.75
+;6;28.0;Grob Andrin (2006);;20;53.5;6;28.0;0;0.0;10.0
o;6;38.0;Kolb This;**;7;56.75;6;38.0;0;0.0;8.5
+;10;46.5;Schönenberger Tobias (2004);;13;55.25;10;46.5;0;0.0;10.0

8e;Steiner Michael;**;;;;;;;;;56.5
+;;;Roth Lukas;*;;;;;;;9.75
o;2;9.75;Bless Michael;***;5;57.25;3;9.0;1;-0.75;8.5
+;7;18.25;Horner Sämi;;13;55.25;2;19.75;-5;1.5;10.0
+;5;28.25;Niederer Andreas;;9;56.25;3;28.75;-2;0.5;9.75
o;6;38.0;Kindlimann Fabian;***;5;57.25;7;37.5;1;-0.5;8.5
+;10;46.5;Rüegg Patrick;;13;55.25;10;46.5;0;0.0;10.0

8f;Blaser Niklas;*;;;;;;;;;56.5
+;;;Wetter Silvan;*;;;;;;;9.75
o;2;9.75;Ott Damian;**;4;57.75;4;8.75;2;-1.0;8.5
