4226-2019-05-26_105_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.5
10f;Lieberherr Michael;;;;;;;;;;55.75
+;;;Schoch René;;;;;;;;10.0
o;1;10.0;Bärtsch Fabian;;5;57.0;2;9.75;1;-0.25;8.5
o;6;18.5;Jörger Corsin;;11;55.5;7;18.25;1;-0.25;8.5
+;10;27.0;Ackermann Roman;;23;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Scheiwiller Andreas;*;9;56.0;8;37.25;-1;0.25;9.0
+;11;46.0;Zumbach Michael;;15;54.5;11;46.0;0;0.0;9.75

10g;Fontana Michael;*;;;;;;;;;55.75
-;;;Breitenmoser Manuel;*;;;;;;;8.75
+;4;8.75;Schiess Christian;;13;55.0;1;10.0;-3;1.25;10.0
-;5;18.75;Flück Bruno;;12;55.25;2;19.75;-3;1.0;8.75
+;8;27.5;Forrer Marco (2003);;15;54.5;5;28.25;-3;0.75;9.75
o;8;37.25;Gmür Pirmin;**;6;56.75;8;37.25;0;0.0;8.5
+;12;45.75;Burch Dean (2001);;14;54.75;11;46.0;-1;0.25;10.0

10h;Zwyssig Raphael;***;;;;;;;;;55.75
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Schlegel Werner (2002);*;7;56.5;2;9.75;-2;1.0;10.0
-;5;18.75;Good Marco;*;7;56.5;1;20.0;-4;1.25;8.75
+;8;27.5;Heierli Pascal;*;6;56.75;4;28.5;-4;1.0;9.75
+;8;37.25;Büsser André;*;6;56.75;3;38.5;-5;1.25;10.0
o;6;47.25;Peng Mike;***;5;57.0;7;47.0;1;-0.25;8.5

11a;Kuster Thomas;*;;;;;;;;;55.5
+;;;Oertig Simon;*;;;;;;;9.75
+;2;9.75;Breitenmoser Simon;;12;55.25;1;10.0;-1;0.25;10.0
-;2;19.75;Bernold Edi;**;21;53.0;5;18.75;3;-1.0;8.75
+;4;28.5;Schmid Gian (2003);;12;55.25;5;28.25;1;-0.25;10.0
o;3;38.5;Bernold Christian;**;8;56.25;6;37.75;3;-0.75;8.5
o;7;47.0;Schlegel Sandro;**;8;56.25;9;46.5;2;-0.5;8.5

11b;Jörger Corsin;;;;;;;;;;55.5
+;;;Kobler Janosch;;;;;;;;9.75
o;2;9.75;Bernold Edi;**;21;53.0;4;8.75;2;-1.0;8.5
+;7;18.25;Lieberherr Michael;;10;55.75;6;18.5;-1;0.25;10.0
o;5;28.25;Ott Damian;**;5;57.0;5;28.25;0;0.0;8.5
o;10;36.75;Wicki Cédric;;12;55.25;10;36.75;0;0.0;8.75
+;13;45.5;Roth Sämi;;19;53.5;15;45.0;2;-0.5;10.0

11c;Egli Martin;;;;;;;;;;55.5
+;;;Ackermann Roman;;;;;;;;9.75
o;2;9.75;Blaser Christian;*;13;55.0;2;9.75;0;0.0;8.75
+;6;18.5;Galli Cedric (2001);;12;55.25;6;18.5;0;0.0;10.0
o;4;28.5;Wey Nicola;*;7;56.5;4;28.5;0;0.0;8.5
+;9;37.0;Müller Loris;;21;53.0;13;36.0;4;-1.0;10.0
o;7;47.0;Bernold Michael;*;7;56.5;8;46.75;1;-0.25;8.5

11d;Knellwolf Sebastian (2001);;;;;;;;;;55.5
o;;;Tremp Remo;;;;;;;;8.5
+;5;8.5;Bollhalder Mario (2002);;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Rüegg Roman;*;9;56.0;6;18.5;0;0.0;8.5
+;10;27.0;Kaufmann Rico (2003);;24;35.25;11;26.75;1;-0.25;10.0
o;9;37.0;Schlegel Reto;*;6;56.75;9;37.0;0;0.0;8.5
+;13;45.5;Bleiker Daniel;;17;54.0;13;45.5;0;0.0;10.0

11e;Biäsch Christian;*;;;;;;;;;55.5
+;;;Rüegg Roman;*;;;;;;;10.0
o;1;10.0;Riget Tobias;**;3;57.5;1;10.0;0;0.0;8.5
+;6;18.5;Egli Ramon (2001);;14;54.75;7;18.25;1;-0.25;10.0
+;4;28.5;Martin Dominik;;9;56.0;4;28.5;0;0.0;10.0
o;3;38.5;Forrer Arnold;***;5;57.0;7;37.5;4;-1.0;8.5
o;7;47.0;Gmür Pirmin;**;6;56.75;7;47.0;0;0.0;8.5

11f;Vollmeier Sandro;;;;;;;;;;55.5
+;;;Graf Nicola (2003);;;;;;;;10.0
+;1;10.0;Kunz Daniel;*;32;17.0;5;8.5;4;-1.5;10.0
o;1;20.0;Wey Nicola;*;7;56.5;5;18.75;4;-1.25;8.5
+;4;28.5;Burch Dean (2001);;14;54.75;4;28.5;0;0.0;9.75
o;4;38.25;Peng Mike;***;5;57.0;8;37.25;4;-1.0;8.5
-;8;46.75;Martin Dominik;;9;56.0;6;47.25;-2;0.5;8.75

11g;Graf Nicola (2003);;;;;;;;;;55.5
o;;;Vollmeier Sandro;;;;;;;;8.5
+;5;8.5;Grob Rachen (2002);;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Schlegel Reto;*;6;56.75;7;18.25;1;-0.25;8.5
+;10;27.0;Steinbacher Silvan (2003);;24;35.25;11;26.75;1;-0.25;10.0
o;9;37.0;Bernold Michael;*;7;56.5;9;37.0;0;0.0;8.5
+;13;45.5;Roth Peter;;16;54.25;12;45.75;-1;0.25;10.0

11h;Büsser Remo;;;;;;;;;;55.5
+;;;Oberhänsli Kilian;;;;;;;;10.0
o;1;10.0;Schmid Patrick;*;9;56.0;5;8.5;4;-1.5;8.5
-;6;18.5;Kiener Raphael;;15;54.5;9;17.5;3;-1.0;8.75
+;9;27.25;Rust Emanuel;;23;35.5;10;27.0;1;-0.25;10.0
+;8;37.25;Gerig Marcel;;16;54.25;9;37.0;1;-0.25;9.75
o;7;47.0;Rotach Lars;;4;57.25;5;47.5;-2;0.5;8.5

11i;Rüegg Patrick;;;;;;;;;;55.5
+;;;Forrer Marco (2003);;;;;;;;9.75
-;2;9.75;Breitenmoser Manuel;*;13;55.0;4;8.75;2;-1.0;8.75
-;6;18.5;Bernold Michael;*;7;56.5;6;18.5;0;0.0;8.75
+;9;27.25;Roth Sämi;;19;53.5;8;27.5;-1;0.25;10.0
o;8;37.25;Fausch Kjetil;*;6;56.75;8;37.25;0;0.0;8.5
+;12;45.75;Ziegler Michael;;15;54.5;11;46.0;-1;0.25;9.75

11j;Battaglia Ursin;**;;;;;;;;;55.5
o;;;Ott Damian;**;;;;;;;8.5
+;5;8.5;Baumann Rico;*;9;56.0;1;10.0;-4;1.5;10.0
+;6;18.5;Bischof Martin;;15;54.5;5;18.75;-1;0.25;10.0
o;4;28.5;Rüegg Fabian;*;5;57.0;4;28.5;0;0.0;8.75
o;8;37.25;Bärtsch Fabian;;5;57.0;4;38.25;-4;1.0;8.5
+;12;45.75;Schegg Daniel;;18;53.75;14;45.25;2;-0.5;9.75

11k;Pfister Florian;*;;;;;;;;;55.5
o;;;Blaser Christian;*;;;;;;;8.5
+;5;8.5;Raschle Urban (2003);;13;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Tobler Pius (2001);;23;35.5;6;18.5;0;0.0;9.75
o;5;28.25;Peng Mike;***;5;57.0;8;27.5;3;-0.75;8.5
+;10;36.75;Burkhard Tobias;;17;54.0;9;37.0;-1;0.25;10.0
o;8;46.75;Koch Thomas;*;5;57.0;7;47.0;-1;0.25;8.75

12a;Schmid Gian (2003);;;;;;;;;;55.25
o;;;Nüesch Remo (2001);;;;;;;;8.5
+;5;8.5;Sieber Marc;;14;54.75;5;8.5;0;0.0;10.0
+;6;18.5;Baumgartner Joël;;20;53.25;9;17.5;3;-1.0;9.75
o;5;28.25;Kuster Thomas;*;11;55.5;4;28.5;-1;0.25;8.5
o;10;36.75;Fuster Sepp;*;8;56.25;12;36.25;2;-0.5;8.5
+;14;45.25;Flütsch Marco;;19;53.5;15;45.0;1;-0.25;10.0

12b;Flück Bruno;;;;;;;;;;55.25
+;;;Langenegger Beat;;;;;;;;9.75
+;2;9.75;Riget Ivan;*;9;56.0;4;8.75;2;-1.0;10.0
-;2;19.75;Fontana Michael;*;10;55.75;5;18.75;3;-1.0;8.75
o;4;28.5;Lehmann Philipp;*;12;55.25;5;28.25;1;-0.25;8.5
+;9;37.0;Steiner Lukas (2002);;19;53.5;11;36.5;2;-0.5;9.75
o;8;46.75;Schlegel Werner (2002);*;7;56.5;8;46.75;0;0.0;8.5

12c;Bürgler Patrick;;;;;;;;;;55.25
+;;;Wild Thomas;;;;;;;;9.75
o;2;9.75;Elmer Daniel;*;10;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Bleiker Daniel;;17;54.0;6;18.5;-1;0.25;9.75
-;6;28.0;Mettler Valentin;*;16;54.25;7;27.75;1;-0.25;9.0
+;9;37.0;Schegg Daniel;;18;53.75;10;36.75;1;-0.25;9.75
o;8;46.75;Rüegg Fabian;*;5;57.0;7;47.0;-1;0.25;8.5

12d;Lehmann Philipp;*;;;;;;;;;55.25
+;;;Elmer Daniel;*;;;;;;;9.75
o;2;9.75;Geisser Lars;**;5;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Arnold Christian;;12;55.25;2;19.75;-5;1.5;10.0
+;5;28.25;Flück Bruno;;12;55.25;4;28.5;-1;0.25;10.0
o;4;38.25;Räbsamen Marcel;*;5;57.0;7;37.5;3;-0.75;8.5
o;8;46.75;Schläpfer Matthias;*;5;57.0;7;47.0;-1;0.25;8.5

12e;Wicki Cédric;;;;;;;;;;55.25
-;;;Neff Florian;;;;;;;;9.0
+;3;9.0;Tanner Markus (2002);;24;35.25;5;8.5;2;-0.5;10.0
-;4;19.0;Oertle Daniel;*;12;55.25;6;18.5;2;-0.5;8.75
-;7;27.75;Alder Armin;*;15;54.5;9;27.25;2;-0.5;9.0
+;10;36.75;Jörger Corsin;;11;55.5;10;36.75;0;0.0;10.0
o;8;46.75;Wetter Silvan;;4;57.25;5;47.5;-3;0.75;8.5

12f;Oertle Daniel;*;;;;;;;;;55.25
+;;;Rütsche Stefan;*;;;;;;;10.0
o;1;10.0;Rhyner Michael;**;3;57.5;4;8.75;3;-1.25;8.5
-;6;18.5;Wicki Cédric;;12;55.25;4;19.0;-2;0.5;8.75
+;9;27.25;Eisenring Leandro;;13;55.0;5;28.25;-4;1.0;9.75
+;9;37.0;Bischof Martin;;15;54.5;8;37.25;-1;0.25;9.75
o;8;46.75;Räbsamen Marcel;*;5;57.0;6;47.25;-2;0.5;8.5

12g;Galli Cedric (2001);;;;;;;;;;55.25
+;;;Lozza Roman;;;;;;;;10.0
o;1;10.0;Räbsamen Marcel;*;5;57.0;5;8.5;4;-1.5;8.5
o;6;18.5;Egli Martin;;11;55.5;6;18.5;0;0.0;8.5
+;10;27.0;Rickenmann Ramon (2001);;23;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Heierli Pascal;*;6;56.75;9;37.0;-1;0.25;8.75
+;13;45.5;Stauffacher Martin;;18;53.75;14;45.25;1;-0.25;9.75

12h;Giger Florian (2001);;;;;;;;;;55.25
+;;;Bleiker Roman;;;;;;;;9.75
-;2;9.75;Scheiwiller Andreas;*;9;56.0;5;8.5;3;-1.25;8.75
o;6;18.5;Räbsamen Marcel;*;5;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Keller Cedric (2002);;24;35.25;11;26.75;1;-0.25;9.75
+;10;36.75;Schönenberger Björn;;16;54.25;13;36.0;3;-0.75;10.0
o;8;46.75;Bollhalder Manuel (2001);;4;57.25;6;47.25;-2;0.5;8.5

12i;Arnold Christian;;;;;;;;;;55.25
+;;;Ruppanner Philipp;;;;;;;;9.75
+;2;9.75;Rickenmann Ramon (2001);;23;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Lehmann Philipp;*;12;55.25;7;18.25;5;-1.5;8.5
o;5;28.25;Bärtsch Fabian;;5;57.0;5;28.25;0;0.0;8.5
o;10;36.75;Blaser Christian;*;13;55.0;10;36.75;0;0.0;8.5
+;14;45.25;Burkhard Tobias;;17;54.0;13;45.5;-1;0.25;10.0

12j;Breitenmoser Simon;;;;;;;;;;55.25
+;;;Burkhard Patrick;*;;;;;;;10.0
o;1;10.0;Kuster Thomas;*;11;55.5;2;9.75;1;-0.25;8.5
+;6;18.5;Steiner Joel;;13;55.0;7;18.25;1;-0.25;9.75
+;5;28.25;Frauenfelder Florian (2001);;19;53.5;8;27.5;3;-0.75;10.0
o;4;38.25;Wittenwiler Roman;*;9;56.0;7;37.5;3;-0.75;8.5
o;8;46.75;Fausch Kjetil;*;6;56.75;7;47.0;-1;0.25;8.5

12k;Baumgartner Ramon (2002);;;;;;;;;;55.25
+;;;Tanner Markus (2002);;;;;;;;10.0
o;1;10.0;Gwerder Andreas;**;10;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Tremp Remo;;22;35.75;6;18.5;0;0.0;9.75
+;5;28.25;Bernold Edi;**;21;53.0;8;27.5;3;-0.75;10.0
o;4;38.25;Koch Reto;*;6;56.75;4;38.25;0;0.0;8.5
o;8;46.75;Heierli Pascal;*;6;56.75;8;46.75;0;0.0;8.5

12l;Lanter Christian;*;;;;;;;;;55.25
o;;;Schlegel Werner (2002);*;;;;;;;8.75
+;4;8.75;Eisenring Leandro;;13;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Schläpfer Markus;**;8;56.25;5;18.75;0;0.0;8.5
+;9;27.25;Steiner Lukas (2002);;19;53.5;6;28.0;-3;0.75;9.75
o;9;37.0;Ueltschi Patric;*;10;55.75;7;37.5;-2;0.5;8.5
+;13;45.5;Mettler Valentin;*;16;54.25;13;45.5;0;0.0;9.75

12m;Lieberherr David (2003);;;;;;;;;;55.25
o;;;Buchmann Michael;;;;;;;;8.5
+;5;8.5;Keller Cedric (2002);;24;35.25;5;8.5;0;0.0;9.75
+;7;18.25;Ruppanner Philipp;;22;35.75;10;17.25;3;-1.0;10.0
o;5;28.25;Arztmann Beda;*;6;56.75;4;28.5;-1;0.25;8.5
+;10;36.75;Fallegger Marc (2003);;21;53.0;13;36.0;3;-0.75;10.0
o;8;46.75;Büsser André;*;6;56.75;7;47.0;-1;0.25;8.5

13a;Blaser Christian;*;;;;;;;;;55.0
+;;;Pfister Florian;*;;;;;;;9.75
+;2;9.75;Egli Martin;;11;55.5;2;9.75;0;0.0;9.75
o;3;19.5;Geisser Lars;**;5;57.0;6;18.5;3;-1.0;8.5
o;6;28.0;Elmer Daniel;*;10;55.75;7;27.75;1;-0.25;8.75
+;10;36.75;Arnold Christian;;12;55.25;10;36.75;0;0.0;9.75
o;9;46.5;Kamer Hanspeter;*;3;57.5;5;47.5;-4;1.0;8.5

13b;Schiess Christian;;;;;;;;;;55.0
+;;;Jud Reto (2001);;;;;;;;10.0
o;1;10.0;Fontana Michael;*;10;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Mösli Marcel;;18;53.75;7;18.25;1;-0.25;9.75
o;5;28.25;Koch Thomas;*;5;57.0;4;28.5;-1;0.25;8.5
+;10;36.75;Schoch Cornel;;18;53.75;10;36.75;0;0.0;9.75
o;9;46.5;Scheiwiller Andreas;*;9;56.0;10;46.25;1;-0.25;8.5

13c;Raschle Urban (2003);;;;;;;;;;55.0
+;;;Egli Ramon (2001);;;;;;;;9.75
o;2;9.75;Pfister Florian;*;11;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Burkhard Tobias;;17;54.0;10;17.25;3;-1.0;8.5
+;11;26.75;Langenegger Beat;;23;35.5;10;27.0;-1;0.25;9.75
+;11;36.5;Wehrli Jan (2002);;18;53.75;10;36.75;-1;0.25;10.0
o;9;46.5;Schnurrenberger Roman;**;9;56.0;11;46.0;2;-0.5;8.5

13d;Bleiker Roman;;;;;;;;;;55.0
o;;;Giger Florian (2001);;;;;;;;8.5
+;5;8.5;Jud Reto (2001);;22;35.75;5;8.5;0;0.0;9.75
o;7;18.25;Ziegler Andreas (2002);;13;55.0;6;18.5;-1;0.25;8.5
+;11;26.75;Tanner Markus (2002);;24;35.25;11;26.75;0;0.0;9.75
+;11;36.5;Lenherr Cédric (2003);;21;53.0;13;36.0;2;-0.5;10.0
o;9;46.5;Rüegg Roman;*;9;56.0;11;46.0;2;-0.5;8.5

13e;Ziegler Andreas (2002);;;;;;;;;;55.0
+;;;Rust Emanuel;;;;;;;;10.0
o;1;10.0;Bless Michael;***;5;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Bleiker Roman;;13;55.0;7;18.25;1;-0.25;9.75
o;5;28.25;Rotach Lars;;4;57.25;4;28.5;-1;0.25;8.5
+;10;36.75;Stauffacher Martin;;18;53.75;10;36.75;0;0.0;9.75
o;9;46.5;Gwerder Andreas;**;10;55.75;11;46.0;2;-0.5;8.5

13f;Steiner Joel;;;;;;;;;;55.0
+;;;Tobler Pius (2001);;;;;;;;9.75
o;2;9.75;Bollhalder Manuel (2001);;4;57.25;1;10.0;-1;0.25;8.5
o;7;18.25;Breitenmoser Simon;;12;55.25;6;18.5;-1;0.25;8.5
+;11;26.75;Baumann Simon;;24;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Baumann Rico;*;9;56.0;8;37.25;-3;0.75;8.5
+;15;45.0;Müller Loris;;21;53.0;17;44.5;2;-0.5;10.0

13g;Wild Thomas;;;;;;;;;;55.0
o;;;Bürgler Patrick;;;;;;;;8.5
+;5;8.5;Signer Walter;;22;35.75;5;8.5;0;0.0;9.75
o;7;18.25;Gwerder Andreas;**;10;55.75;6;18.5;-1;0.25;8.5
+;11;26.75;Tobler Pius (2001);;23;35.5;10;27.0;-1;0.25;9.75
o;11;36.5;Roth Michael;;9;56.0;9;37.0;-2;0.5;8.75
+;14;45.25;Lenherr Cédric (2003);;21;53.0;17;44.5;3;-0.75;9.75

13h;Eisenring Leandro;;;;;;;;;;55.0
+;;;Fallegger Marc (2003);;;;;;;;9.75
o;2;9.75;Lanter Christian;*;12;55.25;4;8.75;2;-1.0;8.5
+;7;18.25;Hangartner Maurice (2003);;22;35.75;6;18.5;-1;0.25;10.0
o;5;28.25;Oertle Daniel;*;12;55.25;9;27.25;4;-1.0;8.5
+;10;36.75;Kiener Raphael;;15;54.5;12;36.25;2;-0.5;9.75
o;9;46.5;Poltera Andrin;*;8;56.25;10;46.25;1;-0.25;8.5

13i;Breitenmoser Manuel;*;;;;;;;;;55.0
-;;;Fontana Michael;*;;;;;;;8.75
-;4;8.75;Rüegg Patrick;;11;55.5;2;9.75;-2;1.0;8.75
+;9;17.5;Schoch Cornel;;18;53.75;7;18.25;-2;0.75;10.0
-;8;27.5;Badat Thomas;;8;56.25;6;28.0;-2;0.5;8.75
+;12;36.25;Sieber Marc;;14;54.75;11;36.5;-1;0.25;10.0
o;10;46.25;Giger Urs;*;7;56.5;9;46.5;-1;0.25;8.75

14a;Castelli Fabio;;;;;;;;;;54.75
-;;;Schmid Reto;;;;;;;;8.75
-;4;8.75;Badat Thomas;;8;56.25;1;10.0;-3;1.25;8.75
+;9;17.5;Zumbach Michael;;15;54.5;6;18.5;-3;1.0;10.0
+;8;27.5;Müller Loris;;21;53.0;8;27.5;0;0.0;10.0
o;7;37.5;Geisser Lars;**;5;57.0;8;37.25;1;-0.25;8.5
o;11;46.0;Niederer Andreas (2002);;9;56.0;11;46.0;0;0.0;8.75

14b;Sieber Marc;;;;;;;;;;54.75
o;;;Rotach Lars;;;;;;;;8.5
o;5;8.5;Schmid Gian (2003);;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Dudli Gallus;;24;35.25;11;17.0;0;0.0;9.75
+;11;26.75;Schrepfer Roy;;23;35.5;10;27.0;-1;0.25;9.75
o;11;36.5;Breitenmoser Manuel;*;13;55.0;12;36.25;1;-0.25;8.5
+;15;45.0;Fallegger Marc (2003);;21;53.0;17;44.5;2;-0.5;9.75

14c;Burch Dean (2001);;;;;;;;;;54.75
+;;;Lusti Elias (2003);;;;;;;;10.0
o;1;10.0;Schläpfer Markus;**;8;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Meier Adrian;;24;35.25;7;18.25;1;-0.25;10.0
o;4;28.5;Vollmeier Sandro;;11;55.5;4;28.5;0;0.0;8.75
o;8;37.25;Martin Dominik;;9;56.0;8;37.25;0;0.0;8.75
o;11;46.0;Fontana Michael;*;10;55.75;12;45.75;1;-0.25;8.75

14d;Egli Ramon (2001);;;;;;;;;;54.75
o;;;Raschle Urban (2003);;;;;;;;8.5
+;5;8.5;Granwehr Adrian (2003);;23;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Biäsch Christian;*;11;55.5;6;18.5;-1;0.25;8.5
+;11;26.75;Inauen Maurus (2003);;23;35.5;10;27.0;-1;0.25;9.75
o;11;36.5;Hobi Ignaz;;9;56.0;13;36.0;2;-0.5;8.5
+;15;45.0;Wehrli Jan (2002);;18;53.75;14;45.25;-1;0.25;9.75

14e;Neff Florian;;;;;;;;;;54.75
-;;;Wicki Cédric;;;;;;;;8.75
+;4;8.75;Steinbacher Silvan (2003);;24;35.25;2;9.75;-2;1.0;10.0
-;5;18.75;Elmer Daniel;*;10;55.75;5;18.75;0;0.0;9.0
o;7;27.75;Bernold Michael;*;7;56.5;9;27.25;2;-0.5;8.5
+;12;36.25;Stadelmann Patrick;;15;54.5;12;36.25;0;0.0;9.75
-;11;46.0;Bischof Martin;;15;54.5;12;45.75;1;-0.25;8.75

14f;Lozza Roman;;;;;;;;;;54.75
o;;;Galli Cedric (2001);;;;;;;;8.5
+;5;8.5;Mösli Marcel;;18;53.75;5;8.5;0;0.0;10.0
-;6;18.5;Burkhard Patrick;*;22;35.75;11;17.0;5;-1.5;9.0
+;8;27.5;Buchmann Michael;;22;35.75;9;27.25;1;-0.25;10.0
o;7;37.5;Schudel Simon;*;10;55.75;7;37.5;0;0.0;8.75
o;10;46.25;Fuster Sepp;*;8;56.25;10;46.25;0;0.0;8.5

14g;Schmid Reto;;;;;;;;;;54.75
-;;;Castelli Fabio;;;;;;;;8.75
-;4;8.75;Gerig Marcel;;16;54.25;2;9.75;-2;1.0;8.75
-;9;17.5;Lüthi Manuel (2003);;22;35.75;7;18.25;-2;0.75;8.75
+;12;26.25;Bärtsch Tobias (2003);;27;34.5;13;26.0;1;-0.25;10.0
o;12;36.25;Badat Thomas;;8;56.25;10;36.75;-2;0.5;8.75
+;15;45.0;Steiner Lukas (2002);;19;53.5;15;45.0;0;0.0;9.75

15a;Kiener Raphael;;;;;;;;;;54.5
-;;;Bleiker Daniel;;;;;;;;8.75
-;4;8.75;Schrepfer Roy;;23;35.5;2;9.75;-2;1.0;8.75
-;9;17.5;Büsser Remo;;11;55.5;6;18.5;-3;1.0;8.75
+;12;26.25;Oberhänsli Kilian;;27;34.5;13;26.0;1;-0.25;10.0
o;12;36.25;Eisenring Leandro;;13;55.0;10;36.75;-2;0.5;8.5
+;16;44.75;Wenger Dominic;;18;53.75;14;45.25;-2;0.5;9.75

15b;Alder Armin;*;;;;;;;;;54.5
-;;;Riget Ivan;*;;;;;;;8.75
+;4;8.75;Preisig Manuel;;23;35.5;1;10.0;-3;1.25;10.0
o;5;18.75;Kuster Marcel;***;2;57.75;6;18.5;1;-0.25;8.5
-;9;27.25;Wicki Cédric;;12;55.25;7;27.75;-2;0.5;9.0
+;12;36.25;Ritter Fabio (2001);;17;54.0;9;37.0;-3;0.75;9.75
o;11;46.0;Badat Thomas;;8;56.25;9;46.5;-2;0.5;8.5

15c;Ziegler Michael;;;;;;;;;;54.5
+;;;Grob Rachen (2002);;;;;;;;9.75
-;2;9.75;Flütsch Marco;;19;53.5;3;9.0;1;-0.75;8.75
-;6;18.5;Leuppi Karim;*;26;34.75;10;17.25;4;-1.25;8.75
-;9;27.25;Inauen Ivo (2002);;22;35.75;10;27.0;1;-0.25;8.75
+;13;36.0;Mösli Marcel;;18;53.75;11;36.5;-2;0.5;10.0
o;11;46.0;Rüegg Patrick;;11;55.5;12;45.75;1;-0.25;8.5

15d;Forrer Marco (2003);;;;;;;;;;54.5
o;;;Rüegg Patrick;;;;;;;;8.5
+;5;8.5;Ritter Fabio (2001);;17;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Bärtsch Tobias (2003);;27;34.5;9;17.5;2;-0.75;10.0
o;5;28.25;Fontana Michael;*;10;55.75;8;27.5;3;-0.75;8.75
-;9;37.0;Zumbach Michael;;15;54.5;9;37.0;0;0.0;9.0
o;11;46.0;Riget Ivan;*;9;56.0;11;46.0;0;0.0;8.5

15e;Zumbach Michael;;;;;;;;;;54.5
+;;;Kurmann Patrick (2003);;;;;;;;9.75
-;2;9.75;Leuppi Karim;*;26;34.75;5;8.5;3;-1.25;8.75
o;6;18.5;Castelli Fabio;;14;54.75;9;17.5;3;-1.0;8.75
+;9;27.25;Preisig Manuel;;23;35.5;10;27.0;1;-0.25;9.75
-;9;37.0;Forrer Marco (2003);;15;54.5;9;37.0;0;0.0;9.0
o;11;46.0;Lieberherr Michael;;10;55.75;11;46.0;0;0.0;8.5

15f;Bischof Martin;;;;;;;;;;54.5
-;;;Burkhard Tobias;;;;;;;;8.75
+;4;8.75;Mannhart Jan (2003);;22;35.75;4;8.75;0;0.0;10.0
o;5;18.75;Battaglia Ursin;**;11;55.5;6;18.5;1;-0.25;8.5
+;9;27.25;Keller Werner;;22;35.75;9;27.25;0;0.0;10.0
o;8;37.25;Oertle Daniel;*;12;55.25;9;37.0;1;-0.25;8.5
-;12;45.75;Neff Florian;;14;54.75;11;46.0;-1;0.25;8.75

15g;Stadelmann Patrick;;;;;;;;;;54.5
-;;;Flütsch Marco;;;;;;;;8.75
-;4;8.75;Schmid Michael;;16;54.25;5;8.5;1;-0.25;9.0
+;8;17.75;Bossert Alain (2001);;24;35.25;11;17.0;3;-0.75;10.0
o;7;27.75;Schläpfer Matthias;*;5;57.0;10;27.0;3;-0.75;8.5
o;12;36.25;Neff Florian;;14;54.75;12;36.25;0;0.0;8.5
+;16;44.75;Ritter Fabio (2001);;17;54.0;13;45.5;-3;0.75;9.75

16a;Schmid Michael;;;;;;;;;;54.25
o;;;Roth Peter;;;;;;;;8.5
-;5;8.5;Stadelmann Patrick;;15;54.5;4;8.75;-1;0.25;8.75
-;10;17.25;Kurmann Patrick (2003);;23;35.5;7;18.25;-3;1.0;8.75
+;13;26.0;Düring Dominik (2003);;29;34.0;15;25.5;2;-0.5;10.0
+;13;36.0;Baumgartner Joël;;20;53.25;13;36.0;0;0.0;9.75
o;12;45.75;Hobi Ignaz;;9;56.0;11;46.0;-1;0.25;8.5

16b;Schönenberger Björn;;;;;;;;;;54.25
-;;;Frauenfelder Florian (2001);;;;;;;;9.0
o;3;9.0;Fausch Kjetil;*;6;56.75;5;8.5;2;-0.5;8.5
-;9;17.5;Inauen Maurus (2003);;23;35.5;7;18.25;-2;0.75;8.75
+;12;26.25;Weder Yanick (2003);;29;34.0;15;25.5;3;-0.75;9.75
o;13;36.0;Giger Florian (2001);;12;55.25;10;36.75;-3;0.75;8.5
+;17;44.5;Schoch Cornel;;18;53.75;14;45.25;-3;0.75;9.75

16c;Gerig Marcel;;;;;;;;;;54.25
+;;;Ritter Fabio (2001);;;;;;;;9.75
-;2;9.75;Schmid Reto;;14;54.75;4;8.75;2;-1.0;8.75
+;6;18.5;Krucker Silvan (2001);;27;34.5;9;17.5;3;-1.0;10.0
o;4;28.5;Büsser André;*;6;56.75;4;28.5;0;0.0;8.5
o;9;37.0;Büsser Remo;;11;55.5;8;37.25;-1;0.25;8.5
-;13;45.5;Frauenfelder Florian (2001);;19;53.5;16;44.75;3;-0.75;8.75

16d;Roth Peter;;;;;;;;;;54.25
+;;;Schmid Michael;;;;;;;;10.0
o;1;10.0;Koch Thomas;*;5;57.0;2;9.75;1;-0.25;8.5
+;6;18.5;Schoch René;;30;27.0;6;18.5;0;0.0;10.0
