4226-2019-05-26_105_StGaller_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.5
+;5;28.25;Jörger Corsin;;11;55.5;5;28.25;0;0.0;10.0
+;4;38.25;Giger Urs;*;7;56.5;5;38.0;1;-0.25;10.0
o;2;48.25;Bösch Daniel;***;1;59.5;1;49.5;-1;1.25;8.75

5d;Bless Michael;***;;;;;;;;;57.0
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Ziegler Andreas (2002);;13;55.0;1;10.0;-4;1.5;10.0
+;6;18.5;Ott Damian;**;5;57.0;2;19.75;-4;1.25;10.0
-;4;28.5;Forrer Arnold;***;5;57.0;3;28.75;-1;0.25;8.75
+;8;37.25;Schlegel Werner (2002);*;7;56.5;4;38.25;-4;1.0;10.0
+;6;47.25;Bärtsch Fabian;;5;57.0;2;48.25;-4;1.0;9.75

5e;Geisser Lars;**;;;;;;;;;57.0
-;;;Schnurrenberger Roman;**;;;;;;;8.75
+;4;8.75;Lehmann Philipp;*;12;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Blaser Christian;*;13;55.0;3;19.5;-3;1.0;9.75
-;5;28.25;Poltera Andrin;*;8;56.25;3;28.75;-2;0.5;9.0
+;8;37.25;Castelli Fabio;;14;54.75;7;37.5;-1;0.25;10.0
+;6;47.25;Wey Nicola;*;7;56.5;3;48.0;-3;0.75;9.75

5f;Roth Martin;**;;;;;;;;;57.0
+;;;Schlegel Reto;*;;;;;;;10.0
-;1;10.0;Bernold Christian;**;8;56.25;1;10.0;0;0.0;9.0
+;4;19.0;Bärtsch Fabian;;5;57.0;2;19.75;-2;0.75;10.0
o;2;29.0;Bösch Daniel;***;1;59.5;1;29.75;-1;0.75;8.5
+;7;37.5;Bollhalder Manuel (2001);;4;57.25;2;38.75;-5;1.25;9.75
+;6;47.25;Elmer Daniel;*;10;55.75;6;47.25;0;0.0;9.75

5g;Räbsamen Marcel;*;;;;;;;;;57.0
o;;;Schläpfer Matthias;*;;;;;;;8.5
+;5;8.5;Galli Cedric (2001);;12;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Giger Florian (2001);;12;55.25;6;18.5;0;0.0;10.0
-;4;28.5;Wittenwiler Roman;*;9;56.0;4;28.5;0;0.0;9.0
+;7;37.5;Lehmann Philipp;*;12;55.25;4;38.25;-3;0.75;9.75
+;6;47.25;Oertle Daniel;*;12;55.25;8;46.75;2;-0.5;9.75

5h;Peng Mike;***;;;;;;;;;57.0
-;;;Rhyner Michael;**;;;;;;;8.75
-;4;8.75;Büsser André;*;6;56.75;2;9.75;-2;1.0;8.75
+;9;17.5;Stauffacher Martin;;18;53.75;6;18.5;-3;1.0;10.0
+;8;27.5;Pfister Florian;*;11;55.5;5;28.25;-3;0.75;9.75
+;8;37.25;Vollmeier Sandro;;11;55.5;4;38.25;-4;1.0;9.75
+;7;47.0;Zwyssig Raphael;***;10;55.75;6;47.25;-1;0.25;10.0

5i;Koch Thomas;*;;;;;;;;;57.0
+;;;Fausch Kjetil;*;;;;;;;9.75
+;2;9.75;Roth Peter;;16;54.25;1;10.0;-1;0.25;10.0
o;2;19.75;Forrer Arnold;***;5;57.0;5;18.75;3;-1.0;8.75
+;4;28.5;Schiess Christian;;13;55.0;5;28.25;1;-0.25;10.0
o;3;38.5;Bösch Daniel;***;1;59.5;1;39.75;-2;1.25;8.5
+;7;47.0;Pfister Florian;*;11;55.5;8;46.75;1;-0.25;10.0

5j;Bärtsch Fabian;;;;;;;;;;57.0
+;;;Ott Dominik;*;;;;;;;9.75
+;2;9.75;Lieberherr Michael;;10;55.75;1;10.0;-1;0.25;10.0
o;2;19.75;Roth Martin;**;5;57.0;4;19.0;2;-0.75;8.5
+;5;28.25;Arnold Christian;;12;55.25;5;28.25;0;0.0;10.0
+;4;38.25;Battaglia Ursin;**;11;55.5;8;37.25;4;-1.0;10.0
o;2;48.25;Bless Michael;***;5;57.0;6;47.25;4;-1.0;8.75

5k;Schläpfer Matthias;*;;;;;;;;;57.0
+;;;Räbsamen Marcel;*;;;;;;;9.75
o;2;9.75;Ott Damian;**;5;57.0;1;10.0;-1;0.25;8.5
o;7;18.25;Bollhalder Manuel (2001);;4;57.25;2;19.75;-5;1.5;8.75
+;10;27.0;Stadelmann Patrick;;15;54.5;7;27.75;-3;0.75;10.0
+;9;37.0;Wenger Dominic;;18;53.75;10;36.75;1;-0.25;10.0
+;7;47.0;Lehmann Philipp;*;12;55.25;8;46.75;1;-0.25;10.0

6a;Arztmann Beda;*;;;;;;;;;56.75
+;;;Kamer Hanspeter;*;;;;;;;10.0
+;1;10.0;Gmür Pirmin;**;6;56.75;4;8.75;3;-1.25;10.0
o;1;20.0;Bösch Daniel;***;1;59.5;2;19.75;1;-0.25;8.5
+;4;28.5;Lieberherr David (2003);;12;55.25;5;28.25;1;-0.25;10.0
o;3;38.5;Rhyner Michael;**;3;57.5;6;37.75;3;-0.75;8.5
+;7;47.0;Ueltschi Patric;*;10;55.75;6;47.25;-1;0.25;9.75

6b;Büsser André;*;;;;;;;;;56.75
+;;;Leuppi Karim;*;;;;;;;9.75
-;2;9.75;Peng Mike;***;5;57.0;4;8.75;2;-1.0;8.75
+;6;18.5;Langenegger Beat;;23;35.5;6;18.5;0;0.0;10.0
+;4;28.5;Gerig Marcel;;16;54.25;4;28.5;0;0.0;10.0
o;3;38.5;Zwyssig Raphael;***;10;55.75;8;37.25;5;-1.25;8.5
+;7;47.0;Lieberherr David (2003);;12;55.25;8;46.75;1;-0.25;9.75

6c;Heierli Pascal;*;;;;;;;;;56.75
o;;;Wey Nicola;*;;;;;;;8.75
+;4;8.75;Buchmann Michael;;22;35.75;1;10.0;-3;1.25;9.75
+;6;18.5;Frauenfelder Florian (2001);;19;53.5;4;19.0;-2;0.5;10.0
o;4;28.5;Zwyssig Raphael;***;10;55.75;8;27.5;4;-1.0;8.5
+;9;37.0;Galli Cedric (2001);;12;55.25;10;36.75;1;-0.25;9.75
+;8;46.75;Baumgartner Ramon (2002);;12;55.25;8;46.75;0;0.0;10.0

6d;Schlegel Reto;*;;;;;;;;;56.75
o;;;Roth Martin;**;;;;;;;8.5
+;5;8.5;Nüesch Remo (2001);;23;35.5;2;9.75;-3;1.25;9.75
+;7;18.25;Graf Nicola (2003);;11;55.5;6;18.5;-1;0.25;10.0
o;5;28.25;Schmid Patrick;*;9;56.0;4;28.5;-1;0.25;8.75
+;9;37.0;Knellwolf Sebastian (2001);;11;55.5;9;37.0;0;0.0;10.0
+;7;47.0;Wittenwiler Roman;*;9;56.0;5;47.5;-2;0.5;9.75

6e;Gmür Pirmin;**;;;;;;;;;56.75
-;;;Schläpfer Markus;**;;;;;;;8.75
o;4;8.75;Arztmann Beda;*;6;56.75;1;10.0;-3;1.25;8.5
