3071-2018-07-08_Fete_Romande2-ST

1a;Käser Remo;***;;;;;;;;;59.5
+;;;Matthey Mickaël;**;;;;;;;10.0
+;1;10.0;Brodard Augustin;**;6;57.0;1;10.0;0;0.0;9.75
+;2;19.75;Widmer Tobias;**;8;56.5;2;19.75;0;0.0;9.75
+;1;29.5;Schuler Christian;***;3;58.0;1;29.5;0;0.0;10.0
+;1;39.5;Haenni Stéphane;**;6;57.0;2;38.5;1;-1.0;10.0
+;1;49.5;Gapany Benjamin;**;5;57.25;2;48.5;1;-1.0;10.0

2a;Schurtenberger Sven;***;;;;;;;;;58.5
-;;;Piemontesi Pascal;**;;;;;;;8.75
+;4;8.75;Haenni Stéphane;**;6;57.0;1;10.0;-3;1.25;10.0
+;5;18.75;Derron Cédric;*;12;55.5;5;18.75;0;0.0;9.75
+;4;28.5;Riedo Fredy;*;13;55.25;4;28.5;0;0.0;10.0
+;2;38.5;Gerber Christian;**;6;57.0;2;38.5;0;0.0;10.0
+;2;48.5;Colò Kilian;*;8;56.5;4;48.0;2;-0.5;10.0

3a;Kramer Lario;**;;;;;;;;;58.0
o;;;Schuler Christian;***;;;;;;;8.5
+;5;8.5;Buchs Carlo;*;11;55.75;4;8.75;-1;0.25;10.0
+;6;18.5;Kolly Elmar (2002);;13;55.25;6;18.5;0;0.0;10.0
+;4;28.5;Hersche Martin;***;6;57.0;4;28.5;0;0.0;9.75
+;3;38.25;Ledermann Michael (2000);;10;56.0;5;37.75;2;-0.5;9.75
+;4;48.0;Mollet Ivan;*;11;55.75;6;47.25;2;-0.75;10.0

3b;Schuler Christian;***;;;;;;;;;58.0
+;;;Kramer Lario;**;;;;;;;9.75
+;2;9.75;Gerber Christian;**;6;57.0;1;10.0;-1;0.25;10.0
+;2;19.75;Gapany Benjamin;**;5;57.25;1;20.0;-1;0.25;9.75
o;1;29.5;Käser Remo;***;1;59.5;1;29.5;0;0.0;8.5
+;4;38.0;Guisolan Marc;**;7;56.75;2;38.5;-2;0.5;10.0
+;4;48.0;Dousse Michel;**;11;55.75;6;47.25;2;-0.75;10.0

4a;Roch Vincent;**;;;;;;;;;57.5
o;;;Widmer Tobias;**;;;;;;;8.5
+;5;8.5;Kohler Matthias;;14;55.0;2;9.75;-3;1.25;9.75
+;7;18.25;Kilchoer Alain;*;14;55.0;7;18.25;0;0.0;9.75
+;6;28.0;Bapst Richard;;13;55.25;5;28.25;-1;0.25;10.0
+;4;38.0;Buchs Carlo;*;11;55.75;7;37.25;3;-0.75;9.75
+;5;47.75;Kuster Marcel;***;14;55.0;9;46.5;4;-1.25;9.75

5a;Gapany Benjamin;**;;;;;;;;;57.25
+;;;Kuster Marcel;***;;;;;;;10.0
+;1;10.0;Riedo Fredy;*;13;55.25;1;10.0;0;0.0;10.0
o;1;20.0;Schuler Christian;***;3;58.0;2;19.75;1;-0.25;8.5
+;4;28.5;Chofflon Anthony;;13;55.25;4;28.5;0;0.0;10.0
+;2;38.5;Dind Samuel;**;13;55.25;3;38.25;1;-0.25;10.0
o;2;48.5;Käser Remo;***;1;59.5;1;49.5;-1;1.0;8.75

5b;Cardinaux Victor;**;;;;;;;;;57.25
+;;;Mauron Olivier;*;;;;;;;9.75
o;2;9.75;Hersche Martin;***;6;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Schläfli Hugo (2002);;13;55.25;7;18.25;0;0.0;10.0
-;5;28.25;Moser Steven;**;7;56.75;2;29.0;-3;0.75;9.0
+;7;37.25;Burri Flemming;;13;55.25;3;38.25;-4;1.0;10.0
+;6;47.25;Zimmermann Mario;*;11;55.75;6;47.25;0;0.0;10.0

6a;Hersche Martin;***;;;;;;;;;57.0
o;;;Moser Steven;**;;;;;;;8.5
+;5;8.5;Cardinaux Victor;**;5;57.25;2;9.75;-3;1.25;10.0
+;6;18.5;Gottofrey Marc;**;7;56.75;5;18.75;-1;0.25;10.0
o;4;28.5;Kramer Lario;**;3;58.0;4;28.5;0;0.0;8.5
+;8;37.0;Beliakov Alexandre;;14;55.0;9;36.75;1;-0.25;10.0
+;7;47.0;Bersier Jean-Jacques;*;13;55.25;8;46.75;1;-0.25;10.0

6b;Piemontesi Pascal;**;;;;;;;;;57.0
-;;;Schurtenberger Sven;***;;;;;;;8.75
+;4;8.75;Bersier Jean-Jacques;*;13;55.25;5;8.5;1;-0.25;10.0
+;5;18.75;Zbinden Samuel (2000);;14;55.0;6;18.5;1;-0.25;10.0
+;3;28.75;Hofer Sven;*;13;55.25;4;28.5;1;-0.25;9.75
+;2;38.5;Ducry Antoine;*;8;56.5;4;38.0;2;-0.5;9.75
-;3;48.25;Widmer Tobias;**;8;56.5;5;47.75;2;-0.5;8.75

6c;Haenni Stéphane;**;;;;;;;;;57.0
+;;;Lötscher Adrian;*;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;2;58.5;4;8.75;3;-1.25;8.5
+;6;18.5;Fankhauser Hans (2001);;18;54.0;6;18.5;0;0.0;10.0
+;4;28.5;Golliard Steve;;12;55.5;4;28.5;0;0.0;10.0
o;2;38.5;Käser Remo;***;1;59.5;1;39.5;-1;1.0;8.75
+;6;47.25;Riedo Fredy;*;13;55.25;8;46.75;2;-0.5;9.75

6d;Brodard Augustin;**;;;;;;;;;57.0
+;;;Schöpfer Dio;**;;;;;;;10.0
o;1;10.0;Käser Remo;***;1;59.5;1;10.0;0;0.0;8.5
+;6;18.5;Zingrich Jan;;13;55.25;2;19.75;-4;1.25;10.0
+;4;28.5;Z'Rotz Roman;;13;55.25;5;28.25;1;-0.25;10.0
o;2;38.5;Widmer Tobias;**;8;56.5;4;38.0;2;-0.5;8.5
+;7;47.0;Burri Flemming;;13;55.25;8;46.75;1;-0.25;10.0

6e;Gerber Christian;**;;;;;;;;;57.0
+;;;Guisolan Marc;**;;;;;;;10.0
o;1;10.0;Schuler Christian;***;3;58.0;2;9.75;1;-0.25;8.5
+;6;18.5;Loup Alexandre;*;9;56.25;5;18.75;-1;0.25;10.0
+;4;28.5;Zimmermann Mario;*;11;55.75;3;28.75;-1;0.25;10.0
o;2;38.5;Schurtenberger Sven;***;2;58.5;2;38.5;0;0.0;8.5
+;7;47.0;Dind Samuel;**;13;55.25;8;46.75;1;-0.25;10.0

7a;Guisolan Marc;**;;;;;;;;;56.75
o;;;Gerber Christian;**;;;;;;;8.5
+;5;8.5;Ledermann Michael (2000);;10;56.0;2;9.75;-3;1.25;10.0
+;6;18.5;Kramer Dorian;*;12;55.5;6;18.5;0;0.0;10.0
+;4;28.5;Vonlanthen Alexandre;;13;55.25;5;28.25;1;-0.25;10.0
o;2;38.5;Schuler Christian;***;3;58.0;4;38.0;2;-0.5;8.5
+;7;47.0;Hofer Sven;*;13;55.25;8;46.75;1;-0.25;9.75

7b;Gottofrey Marc;**;;;;;;;;;56.75
-;;;Bieri Christoph;***;;;;;;;8.75
+;4;8.75;Grossenbacher Marc (2000);;14;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Hersche Martin;***;6;57.0;6;18.5;1;-0.25;8.5
+;9;27.25;Pürro Tobias;;18;54.0;5;28.25;-4;1.0;10.0
+;7;37.25;Derron Cédric;*;12;55.5;8;37.0;1;-0.25;9.75
+;7;47.0;Vonlanthen Alexandre;;13;55.25;8;46.75;1;-0.25;9.75

7c;Moser Steven;**;;;;;;;;;56.75
+;;;Hersche Martin;***;;;;;;;10.0
-;1;10.0;Hofer Sven;*;13;55.25;2;9.75;1;-0.25;9.0
+;4;19.0;Monney Branighan;;16;54.5;5;18.75;1;-0.25;10.0
-;2;29.0;Cardinaux Victor;**;5;57.25;5;28.25;3;-0.75;9.0
-;4;38.0;Bieri Christoph;***;9;56.25;6;37.5;2;-0.5;8.75
+;8;46.75;Tschachtli Sven (2002);;12;55.5;7;47.0;-1;0.25;10.0

7d;Matthey Mickaël;**;;;;;;;;;56.75
o;;;Käser Remo;***;;;;;;;8.5
+;5;8.5;Crausaz Simon;;14;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Emonet Fabien;**;12;55.5;6;18.5;0;0.0;10.0
o;4;28.5;Widmer Tobias;**;8;56.5;5;28.25;1;-0.25;8.5
+;8;37.0;Baeriswyl Christoph (2002);;15;54.75;5;37.75;-3;0.75;10.0
+;7;47.0;Dubey Gaël;;13;55.25;8;46.75;1;-0.25;9.75

8a;Colò Kilian;*;;;;;;;;;56.5
o;;;Hofer Sven;*;;;;;;;8.5
+;5;8.5;Philipona Nicolas;;19;53.75;1;10.0;-4;1.5;9.75
+;7;18.25;Vaucher Rémy;;14;55.0;2;19.75;-5;1.5;9.75
+;6;28.0;Mauron Olivier;*;10;56.0;8;27.5;2;-0.5;10.0
+;4;38.0;Emonet Fabien;**;12;55.5;8;37.0;4;-1.0;10.0
o;4;48.0;Schurtenberger Sven;***;2;58.5;2;48.5;-2;0.5;8.5

8b;Widmer Tobias;**;;;;;;;;;56.5
+;;;Roch Vincent;**;;;;;;;10.0
+;1;10.0;Dind Samuel;**;13;55.25;1;10.0;0;0.0;9.75
o;2;19.75;Käser Remo;***;1;59.5;2;19.75;0;0.0;8.5
+;5;28.25;Matthey Mickaël;**;7;56.75;4;28.5;-1;0.25;9.75
+;4;38.0;Brodard Augustin;**;6;57.0;2;38.5;-2;0.5;9.75
-;5;47.75;Piemontesi Pascal;**;6;57.0;3;48.25;-2;0.5;8.75

8c;Ducry Antoine;*;;;;;;;;;56.5
+;;;Mollet Ivan;*;;;;;;;9.75
o;2;9.75;Bieri Christoph;***;9;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Mollet Adrian;;13;55.25;3;19.5;-4;1.25;9.75
+;6;28.0;Torche Bastian;;13;55.25;5;28.25;-1;0.25;10.0
o;4;38.0;Piemontesi Pascal;**;6;57.0;2;38.5;-2;0.5;8.5
+;9;46.5;Droxler Jonathan;**;12;55.5;7;47.0;-2;0.5;10.0

9a;Bieri Christoph;***;;;;;;;;;56.25
-;;;Gottofrey Marc;**;;;;;;;8.75
+;4;8.75;Ducry Antoine;*;8;56.5;2;9.75;-2;1.0;10.0
+;5;18.75;Dousse Michel;**;11;55.75;5;18.75;0;0.0;9.75
-;4;28.5;Droxler Jonathan;**;12;55.5;4;28.5;0;0.0;9.0
-;6;37.5;Moser Steven;**;7;56.75;4;38.0;-2;0.5;8.75
+;10;46.25;Bapst Richard;;13;55.25;8;46.75;-2;0.5;10.0

9b;Loup Alexandre;*;;;;;;;;;56.25
