5107-2022-07-23_71_Weissenstein-Schwinget2-ST

1a;Aeschbacher Matthias;***;;;;;;;;;59.25
o;2;9.75;Roth Martin;***;5;56.75;5;8.5;3;-1.25;8.5
-;7;18.25;Steffen Konrad;*;9;55.75;6;18.5;-1;0.25;8.75
+;11;27.0;Koch Thomas;**;16;54.0;11;27.0;0;0.0;9.75
o;11;36.75;Schmid Dominik;**;13;54.75;13;36.25;2;-0.5;8.5
-;15;45.25;Riget Florian;**;17;53.75;16;45.0;1;-0.25;8.75

16e;Oettli Marco;**;;;;;;;;;54.0
-;;;Erb Roger;**;;;;;;;8.75
o;4;8.75;Döbeli Lukas;**;4;57.0;4;8.75;0;0.0;8.5
o;9;17.25;Schmid Samuel;**;15;54.25;8;17.5;-1;0.25;8.5
+;16;25.75;Anderegg David;*;29;34.0;17;25.5;1;-0.25;10.0
+;15;35.75;Vieira Tiago;**;11;55.25;10;37.0;-5;1.25;9.75
o;14;45.5;Roth Philipp;***;10;55.5;13;45.75;-1;0.25;8.5

17a;Lüscher Sinisha (2006);*;;;;;;;;;53.75
+;;;Burkhalter Thomas;*;;;;;;;10.0
+;1;10.0;Wittwer Jan;**;3;57.25;1;10.0;0;0.0;9.75
o;2;19.75;Aeschbacher Matthias;***;1;59.25;2;19.75;0;0.0;8.5
o;7;28.25;Gobeli Patrick;**;4;57.0;6;28.5;-1;0.25;8.5
o;11;36.75;Zangger Dominik;*;10;55.5;9;37.25;-2;0.5;8.5
o;15;45.25;Voggensperger Janic;**;15;54.25;18;44.5;3;-0.75;8.5

17b;Ackermann Remo;*;;;;;;;;;53.75
-;;;Aellen Florian;*;;;;;;;8.75
+;4;8.75;Steffen Gustav;**;9;55.75;4;8.75;0;0.0;9.75
o;6;18.5;Strebel Joel;***;9;55.75;10;17.0;4;-1.5;8.5
+;11;27.0;Rutsch Remo (2004);*;25;35.0;13;26.5;2;-0.5;9.75
o;11;36.75;Berger Lorenz;**;9;55.75;10;37.0;-1;0.25;8.5
o;15;45.25;Hügli Kaj;**;11;55.25;14;45.5;-1;0.25;8.5

17c;Fejzaj Naim;**;;;;;;;;;53.75
o;;;Gobeli Patrick;**;;;;;;;8.5
+;5;8.5;Anderegg David;*;29;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Vieira Tiago;**;11;55.25;6;18.5;0;0.0;8.5
o;11;27.0;Steffen Konrad;*;9;55.75;10;27.25;-1;0.25;8.5
+;16;35.5;Tschumi Lukas;*;20;53.0;15;35.75;-1;0.25;9.75
o;15;45.25;Räbmatter Patrick;***;14;54.5;18;44.5;3;-0.75;8.5

17d;Riget Florian;**;;;;;;;;;53.75
+;;;Berger Lorenz;**;;;;;;;9.75
o;2;9.75;Staudenmann Fabian;***;2;57.75;1;10.0;-1;0.25;8.5
o;7;18.25;Zangger Dominik;*;10;55.5;6;18.5;-1;0.25;8.5
+;12;26.75;Aellen Florian;*;26;34.75;14;26.25;2;-0.5;9.75
o;12;36.5;Zaugg Lars;**;5;56.75;10;37.0;-2;0.5;8.5
-;16;45.0;Stüdeli Thomas;**;16;54.0;15;45.25;-1;0.25;8.75

18a;Bühler Hannes;*;;;;;;;;;53.5
+;;;Odermatt Jonas (2004);*;;;;;;;9.75
o;2;9.75;Schwander Severin;**;3;57.25;4;8.75;2;-1.0;8.5
o;7;18.25;Wittwer Josias;**;15;54.25;5;18.75;-2;0.5;8.5
o;12;26.75;Joho Philip;*;16;54.0;11;27.0;-1;0.25;8.5
o;17;35.25;Schmutz Simon;*;11;55.25;17;35.25;0;0.0;8.5
+;21;43.75;Reinhard Pirmin;*;21;52.75;19;44.25;-2;0.5;9.75

19a;Späti Jan;;;;;;;;;;53.25
+;;;Hadorn Marco;*;;;;;;;10.0
o;1;10.0;Moser Michael (2005);**;10;55.5;4;8.75;3;-1.25;8.5
-;6;18.5;Hugelshofer Lars;*;19;53.25;6;18.5;0;0.0;9.0
o;9;27.5;Klossner Adrian;**;6;56.5;10;27.25;1;-0.25;8.5
o;14;36.0;Burkhalter Thomas;*;11;55.25;16;35.5;2;-0.5;8.5
o;18;44.5;Elmer Daniel;*;16;54.0;19;44.25;1;-0.25;8.5
+;20;53.0;Jörger Corsin;*;22;52.5;22;52.5;2;-0.5;0.25

19b;Odermatt Gian Maria (2004);**;;;;;;;;;53.25
+;;;Steffen Konrad;*;;;;;;;10.0
o;1;10.0;Burger Matthieu;**;4;57.0;2;9.75;1;-0.25;8.75
o;5;18.75;Voggensperger Lars;**;9;55.75;5;18.75;0;0.0;8.5
o;10;27.25;Roth Philipp;***;10;55.5;10;27.25;0;0.0;8.5
-;15;35.75;Lüthi David;*;14;54.5;15;35.75;0;0.0;8.75
-;18;44.5;Tschumi Lukas;*;20;53.0;19;44.25;1;-0.25;8.75

19c;Joho Pascal (2004);*;;;;;;;;;53.25
-;;;Gäggeler Adrian;*;;;;;;;8.75
+;4;8.75;Elmer Daniel;*;16;54.0;4;8.75;0;0.0;10.0
-;5;18.75;Walther Adrian;**;10;55.5;4;19.0;-1;0.25;8.75
-;9;27.5;Hugelshofer Lars;*;19;53.25;9;27.5;0;0.0;8.75
o;13;36.25;Kuster Thomas;**;8;56.0;14;36.0;1;-0.25;8.5
o;17;44.75;Burkhalter Thomas;*;11;55.25;14;45.5;-3;0.75;8.5

19d;Hugelshofer Lars;*;;;;;;;;;53.25
+;;;Anderegg David;*;;;;;;;10.0
o;1;10.0;von Weissenfluh Kilian;***;3;57.25;2;9.75;1;-0.25;8.5
-;6;18.5;Späti Jan;;19;53.25;6;18.5;0;0.0;9.0
-;9;27.5;Joho Pascal (2004);*;19;53.25;9;27.5;0;0.0;8.75
o;13;36.25;Moser Michael (2005);**;10;55.5;15;35.75;2;-0.5;8.5
o;17;44.75;Schmutz Simon;*;11;55.25;15;45.25;-2;0.5;8.5

20a;Tschumi Lukas;*;;;;;;;;;53.0
-;;;Good Marco;**;;;;;;;8.75
-;4;8.75;Signer Andy;**;11;55.25;4;8.75;0;0.0;8.75
+;8;17.5;Kolb Pirmin;*;25;35.0;8;17.5;0;0.0;9.75
o;10;27.25;Räbmatter Patrick;***;14;54.5;16;25.75;6;-1.5;8.5
o;15;35.75;Fejzaj Naim;**;17;53.75;16;35.5;1;-0.25;8.5
-;19;44.25;Odermatt Gian Maria (2004);**;19;53.25;18;44.5;-1;0.25;8.75

21a;Reinhard Pirmin;*;;;;;;;;;52.75
-;;;Hadorn Marco;*;;;;;;;8.75
-;4;8.75;Rutsch Remo (2004);*;25;35.0;4;8.75;0;0.0;8.75
o;8;17.5;Koch Thomas;**;16;54.0;10;17.0;2;-0.5;8.5
+;15;26.0;Good Marco;**;26;34.75;14;26.25;-1;0.25;9.75
o;15;35.75;Signer Andy;**;11;55.25;17;35.25;2;-0.5;8.5
o;19;44.25;Bühler Hannes;*;18;53.5;21;43.75;2;-0.5;8.5

22a;Jörger Corsin;*;;;;;;;;;52.5
o;;;Joho Philip;*;;;;;;;8.5
o;5;8.5;Roth Jan (2004);*;13;54.75;5;8.5;0;0.0;8.5
+;10;17.0;Rüegger Aaron;*;27;34.5;9;17.25;-1;0.25;10.0
o;11;27.0;Steffen Gustav;**;9;55.75;10;27.25;-1;0.25;8.5
o;16;35.5;Schmid Samuel;**;15;54.25;15;35.75;-1;0.25;8.5
o;20;44.0;Späti Jan;;19;53.25;18;44.5;-2;0.5;8.5

22b;Jörger Marc;*;;;;;;;;;52.5
o;;;Stüdeli Thomas;**;;;;;;;8.5
o;5;8.5;Zaugg Lars;**;5;56.75;5;8.5;0;0.0;8.5
+;10;17.0;Kohler Adrian;*;28;34.25;9;17.25;-1;0.25;10.0
o;11;27.0;Brun Samuel;**;15;54.25;11;27.0;0;0.0;8.5
o;16;35.5;Schlüchter Colin;**;14;54.5;14;36.0;-2;0.5;8.5
o;20;44.0;Lüthi David;*;14;54.5;18;44.5;-2;0.5;8.5

22c;Notz Beni;***;;;;;;;;;52.5
o;;;Odermatt Adrian;**;;;;;;;8.5
o;5;8.5;Roth Tim (2004);*;12;55.0;2;9.75;-3;1.25;8.5
o;10;17.0;Roth Jan (2004);*;13;54.75;7;18.25;-3;1.25;8.5
+;17;25.5;Schmutz Simon;*;11;55.25;12;26.75;-5;1.25;10.0
o;16;35.5;Gäumann Stefan;**;7;56.25;11;36.75;-5;1.25;8.5
o;20;44.0;Moser Michael (2005);**;10;55.5;14;45.5;-6;1.5;8.5

23a;Döbeli Andreas;***;;;;;;;;;37.25
o;;;Staudenmann Fabian;***;;;;;;;8.5
+;5;8.5;Zangger Dominik;*;10;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Klossner Adrian;**;6;56.5;5;18.75;-1;0.25;10.0
o;6;28.5;Burger Matthieu;**;4;57.0;3;29.25;-3;0.75;8.75

24a;Fausch Kjetil;*;;;;;;;;;35.25
+;;;Schmutz Simon;*;;;;;;;9.75
o;2;9.75;Walther Adrian;**;10;55.5;3;9.0;1;-0.75;8.5
o;7;18.25;Hügli Kaj;**;11;55.25;6;18.5;-1;0.25;8.5
o;12;26.75;Hermann Oliver;**;11;55.25;11;27.0;-1;0.25;8.5

25a;Rutsch Remo (2004);*;;;;;;;;;35.0
-;;;Elmer Daniel;*;;;;;;;8.75
-;4;8.75;Reinhard Pirmin;*;21;52.75;4;8.75;0;0.0;8.75
-;8;17.5;Signer Andy;**;11;55.25;8;17.5;0;0.0;9.0
o;13;26.5;Ackermann Remo;*;17;53.75;11;27.0;-2;0.5;8.5

25b;Kolb Pirmin;*;;;;;;;;;35.0
-;;;Gerber Andrj;*;;;;;;;8.75
-;4;8.75;Odermatt Jonas (2004);*;27;34.5;5;8.5;1;-0.25;8.75
o;8;17.5;Tschumi Lukas;*;20;53.0;8;17.5;0;0.0;8.5
-;15;26.0;Streich Sascha;*;27;34.5;16;25.75;1;-0.25;9.0

25c;Kocher Remo;**;;;;;;;;;35.0
-;;;Schlüchter Colin;**;;;;;;;8.75
-;4;8.75;Schmid Dominik;**;13;54.75;4;8.75;0;0.0;8.75
-;8;17.5;Studer Stefan;**;27;34.5;9;17.25;1;-0.25;8.75
-;14;26.25;Gäggeler Adrian;*;25;35.0;14;26.25;0;0.0;8.75

25d;Gäggeler Adrian;*;;;;;;;;;35.0
-;;;Joho Pascal (2004);*;;;;;;;8.75
-;4;8.75;Kohler Adrian;*;28;34.25;5;8.5;1;-0.25;8.75
-;8;17.5;Schmid Dominik;**;13;54.75;8;17.5;0;0.0;8.75
-;14;26.25;Kocher Remo;**;25;35.0;14;26.25;0;0.0;8.75

26a;Good Marco;**;;;;;;;;;34.75
-;;;Tschumi Lukas;*;;;;;;;8.75
-;4;8.75;Gerber Andrj;*;27;34.5;4;8.75;0;0.0;8.75
-;8;17.5;Aellen Florian;*;26;34.75;8;17.5;0;0.0;8.75
o;14;26.25;Reinhard Pirmin;*;21;52.75;15;26.0;1;-0.25;8.5

26b;Brand Christian;**;;;;;;;;;34.75
o;;;Zangger Dominik;*;;;;;;;8.5
-;5;8.5;Studer Stefan;**;27;34.5;5;8.5;0;0.0;8.75
-;9;17.25;Schlüchter Colin;**;14;54.5;9;17.25;0;0.0;8.75
-;15;26.0;Signer Andy;**;11;55.25;13;26.5;-2;0.5;8.75

26c;Aellen Florian;*;;;;;;;;;34.75
-;;;Ackermann Remo;*;;;;;;;8.75
-;4;8.75;Geisser Lars;**;31;26.25;4;8.75;0;0.0;8.75
-;8;17.5;Good Marco;**;26;34.75;8;17.5;0;0.0;8.75
o;14;26.25;Riget Florian;**;17;53.75;12;26.75;-2;0.5;8.5

27a;Odermatt Jonas (2004);*;;;;;;;;;34.5
o;;;Bühler Hannes;*;;;;;;;8.5
-;5;8.5;Kolb Pirmin;*;25;35.0;4;8.75;-1;0.25;8.75
-;9;17.25;Elmer Daniel;*;16;54.0;9;17.25;0;0.0;8.75
o;15;26.0;Schmid Dominik;**;13;54.75;14;26.25;-1;0.25;8.5

27b;Gerber Andrj;*;;;;;;;;;34.5
-;;;Kolb Pirmin;*;;;;;;;8.75
-;4;8.75;Good Marco;**;26;34.75;4;8.75;0;0.0;8.75
o;8;17.5;Kuster Thomas;**;8;56.0;8;17.5;0;0.0;8.5
o;15;26.0;Elmer Daniel;*;16;54.0;15;26.0;0;0.0;8.5

27c;Nägeli Marco;**;;;;;;;;;34.5
o;;;Wittwer Jan;**;;;;;;;8.5
-;5;8.5;Bader Fabian;**;31;26.25;5;8.5;0;0.0;8.75
-;9;17.25;Streich Sascha;*;27;34.5;10;17.0;1;-0.25;8.75
o;15;26.0;Wittwer Josias;**;15;54.25;10;27.25;-5;1.25;8.5

27d;Rüegger Aaron;*;;;;;;;;;34.5
-;;;Signer Andy;**;;;;;;;8.75
o;4;8.75;Steffen Konrad;*;9;55.75;5;8.5;1;-0.25;8.5
o;9;17.25;Jörger Corsin;*;22;52.5;10;17.0;1;-0.25;8.5
o;16;25.75;Burkhalter Thomas;*;11;55.25;17;25.5;1;-0.25;8.75

27e;Streich Sascha;*;;;;;;;;;34.5
o;;;Gäumann Stefan;**;;;;;;;8.5
o;5;8.5;Berger Lorenz;**;9;55.75;5;8.5;0;0.0;8.5
-;10;17.0;Nägeli Marco;**;27;34.5;9;17.25;-1;0.25;8.75
-;16;25.75;Kolb Pirmin;*;25;35.0;15;26.0;-1;0.25;8.75

27f;Studer Stefan;**;;;;;;;;;34.5
o;;;Brun Samuel;**;;;;;;;8.5
-;5;8.5;Brand Christian;**;26;34.75;5;8.5;0;0.0;8.75
-;9;17.25;Kocher Remo;**;25;35.0;8;17.5;-1;0.25;8.75
o;15;26.0;Voggensperger Janic;**;15;54.25;16;25.75;1;-0.25;8.5

28a;Kohler Adrian;*;;;;;;;;;34.25
o;;;Schmid Patrick;*;;;;;;;8.5
-;5;8.5;Gäggeler Adrian;*;25;35.0;4;8.75;-1;0.25;8.75
o;9;17.25;Jörger Marc;*;22;52.5;10;17.0;1;-0.25;8.5
o;16;25.75;Schlüchter Colin;**;14;54.5;15;26.0;-1;0.25;8.5

29a;Anderegg David;*;;;;;;;;;34.0
o;;;Hugelshofer Lars;*;;;;;;;8.5
o;5;8.5;Fejzaj Naim;**;17;53.75;5;8.5;0;0.0;8.5
o;10;17.0;Steffen Gustav;**;9;55.75;9;17.25;-1;0.25;8.5
o;17;25.5;Oettli Marco;**;16;54.0;16;25.75;-1;0.25;8.5

30a;Schmid Patrick;*;;;;;;;;;26.75
+;;;Kohler Adrian;*;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;2;57.75;2;9.75;0;0.0;8.5
o;7;18.25;Berger Lorenz;**;9;55.75;6;18.5;-1;0.25;8.5

31a;Geisser Lars;**;;;;;;;;;26.25
-;;;Roth Philipp;***;;;;;;;8.75
-;4;8.75;Aellen Florian;*;26;34.75;4;8.75;0;0.0;8.75
-;8;17.5;Bader Fabian;**;31;26.25;8;17.5;0;0.0;8.75

31b;Bader Fabian;**;;;;;;;;;26.25
o;;;Roschi Ruedi;**;;;;;;;8.5
-;5;8.5;Nägeli Marco;**;27;34.5;5;8.5;0;0.0;9.0
-;8;17.5;Geisser Lars;**;31;26.25;8;17.5;0;0.0;8.75

32a;Hadorn Marco;*;;;;;;;;;25.75
-;;;Reinhard Pirmin;*;;;;;;;8.75
o;4;8.75;Späti Jan;;19;53.25;1;10.0;-3;1.25;8.5
o;9;17.25;Schmutz Simon;*;11;55.25;10;17.0;1;-0.25;8.5

33a;Wittenwiler Roman;**;;;;;;;;;8.75
-;;;Moser Michael (2005);**;;;;;;;8.75

