5107-2022-07-23_71_Weissenstein-Schwinget2-ST

1a;Aeschbacher Matthias;***;;;;;;;;;59.25
-;4;48.0;Burger Matthieu;**;4;57.0;3;48.25;-1;0.25;9.0

4e;Burger Matthieu;**;;;;;;;;;57.0
+;;;Hermann Oliver;**;;;;;;;9.75
+;2;9.75;Odermatt Gian Maria (2004);**;19;53.25;1;10.0;-1;0.25;9.75
+;3;19.5;Roth Martin;***;5;56.75;7;18.25;4;-1.25;9.75
+;3;29.25;Döbeli Andreas;***;23;37.25;6;28.5;3;-0.75;10.0
-;1;39.25;Odermatt Adrian;**;3;57.25;5;38.25;4;-1.0;9.0
-;3;48.25;Orlik Curdin;***;4;57.0;4;48.0;1;-0.25;8.75

5a;Roth Martin;***;;;;;;;;;56.75
o;;;Orlik Curdin;***;;;;;;;8.5
+;5;8.5;Stüdeli Thomas;**;16;54.0;2;9.75;-3;1.25;9.75
o;7;18.25;Burger Matthieu;**;4;57.0;3;19.5;-4;1.25;8.5
+;12;26.75;Schmid Samuel;**;15;54.25;10;27.25;-2;0.5;10.0
+;11;36.75;Brun Samuel;**;15;54.25;10;37.0;-1;0.25;10.0
+;9;46.75;Berger Lorenz;**;9;55.75;8;47.0;-1;0.25;10.0

5b;Zaugg Lars;**;;;;;;;;;56.75
o;;;Vieira Tiago;**;;;;;;;8.5
+;5;8.5;Jörger Marc;*;22;52.5;5;8.5;0;0.0;10.0
+;6;18.5;Voggensperger Janic;**;15;54.25;9;17.25;3;-1.25;10.0
o;6;28.5;von Weissenfluh Kilian;***;3;57.25;8;28.0;2;-0.5;8.5
+;10;37.0;Riget Florian;**;17;53.75;12;36.5;2;-0.5;10.0
+;8;47.0;Burkhalter Stefan;***;15;54.25;13;45.75;5;-1.25;9.75

6a;Klossner Adrian;**;;;;;;;;;56.5
-;;;Schmid Samuel;**;;;;;;;8.75
+;4;8.75;Schmutz Simon;*;11;55.25;5;8.5;1;-0.25;10.0
o;5;18.75;Döbeli Andreas;***;23;37.25;6;18.5;1;-0.25;8.5
+;10;27.25;Späti Jan;;19;53.25;9;27.5;-1;0.25;9.75
+;10;37.0;Hügli Kaj;**;11;55.25;10;37.0;0;0.0;9.75
+;9;46.75;Voggensperger Lars;**;9;55.75;8;47.0;-1;0.25;9.75

7a;Gäumann Stefan;**;;;;;;;;;56.25
+;;;Streich Sascha;*;;;;;;;9.75
+;2;9.75;Strebel Joel;***;9;55.75;5;8.5;3;-1.25;9.75
o;3;19.5;Odermatt Adrian;**;3;57.25;2;19.75;-1;0.25;8.5
o;8;28.0;Roth Tim (2004);*;12;55.0;8;28.0;0;0.0;8.75
+;11;36.75;Notz Beni;***;22;52.5;16;35.5;5;-1.25;9.75
+;10;46.5;Koch Reto;**;9;55.75;7;47.25;-3;0.75;9.75

8a;Kuster Thomas;**;;;;;;;;;56.0
o;;;Leuthard Reto;**;;;;;;;8.75
-;4;8.75;Schmid Samuel;**;15;54.25;4;8.75;0;0.0;8.75
+;8;17.5;Gerber Andrj;*;27;34.5;8;17.5;0;0.0;10.0
