3133-2015-07-26_Bruenigschwinget-ST

1a;Kämpf Bernhard;***;;;;;;;;;57.75
-;;;Laimbacher Philipp;***;;;;;;;8.75
+;4;8.75;von Büren Stephan;*;9;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Zaugg Thomas;***;9;55.5;5;18.75;0;0.0;10.0
-;2;28.75;Käser Remo;**;3;57.0;4;28.25;2;-0.5;9.0
+;4;37.75;Gasser Stefan;**;5;56.5;2;38.25;-2;0.5;10.0
o;2;47.75;Fankhauser Erich;***;2;57.25;4;47.25;2;-0.5;8.75

5e;Aeschbacher Matthias;**;;;;;;;;;56.5
o;;;Gasser Stefan;**;;;;;;;8.5
+;5;8.5;Höfliger Andreas;**;13;54.5;4;8.75;-1;0.25;10.0
+;6;18.5;Reichmuth Armin;*;21;35.5;6;18.5;0;0.0;10.0
o;3;28.5;Bieri Christoph;***;8;55.75;4;28.25;1;-0.25;8.5
+;7;37.0;Studinger Stephan;**;10;55.25;7;37.0;0;0.0;9.75
+;6;46.75;Odermatt Andreas;*;12;54.75;8;46.25;2;-0.5;9.75

6a;Gnägi Florian;***;;;;;;;;;56.25
+;;;Schuler Christian;***;;;;;;;10.0
-;1;10.0;Kennel Stefan;*;9;55.5;1;10.0;0;0.0;9.0
-;4;19.0;Wicki Joel (1997);**;6;56.25;5;18.75;1;-0.25;9.0
+;5;28.0;Räbmatter Patrick;**;8;55.75;2;28.75;-3;0.75;9.75
+;4;37.75;Scheuber Lutz;**;9;55.5;6;37.25;2;-0.5;9.75
-;3;47.5;Schmid David;**;8;55.75;5;47.0;2;-0.5;8.75

6b;Stalder Remo;***;;;;;;;;;56.25
+;;;Imfeld Peter;***;;;;;;;9.75
-;2;9.75;Gehrig Damian;**;11;55.0;1;10.0;-1;0.25;9.0
-;5;18.75;Luginbühl Hanspeter;**;8;55.75;1;20.0;-4;1.25;8.75
+;7;27.5;Schenk Thomas;*;16;53.75;4;28.25;-3;0.75;10.0
+;5;37.5;Wicki Joel (1997);**;6;56.25;4;37.75;-1;0.25;9.75
