3133-2015-07-26_Bruenigschwinget-ST

1a;Kämpf Bernhard;***;;;;;;;;;57.75
o;10;17.5;Fankhauser Marco;**;10;55.25;10;17.5;0;0.0;8.75
+;12;26.25;Marti Fabian;**;23;35.0;11;26.5;-1;0.25;10.0
+;10;36.25;Höfliger Andreas;**;13;54.5;12;35.75;2;-0.5;9.75
o;9;46.0;Scheuber Lutz;**;9;55.5;10;45.75;1;-0.25;8.5

13b;Höfliger Andreas;**;;;;;;;;;54.5
-;;;Schenkel Adrian;**;;;;;;;8.75
o;4;8.75;Aeschbacher Matthias;**;5;56.5;5;8.5;1;-0.25;8.5
+;11;17.25;Waldner Patrick;**;25;34.5;10;17.5;-1;0.25;10.0
o;8;27.25;Bächli Michael (1998);*;4;56.75;8;27.25;0;0.0;8.5
o;12;35.75;Erb Roger;**;13;54.5;10;36.25;-2;0.5;8.75
+;15;44.5;Wyss Kilian;**;18;53.25;14;44.75;-1;0.25;10.0

13c;Michel Jonas;*;;;;;;;;;54.5
+;;;Gander Adrian;*;;;;;;;10.0
-;1;10.0;Scheuber Lutz;**;9;55.5;4;8.75;3;-1.25;8.75
-;5;18.75;Stöckli Stefan;**;10;55.25;7;18.25;2;-0.5;8.75
+;7;27.5;Schärli Peter;**;17;53.5;7;27.5;0;0.0;10.0
o;5;37.5;Nötzli Bruno;***;10;55.25;9;36.5;4;-1.0;8.5
o;9;46.0;Waser Dominik;*;7;56.0;9;46.0;0;0.0;8.5

13d;Moser Michael;*;;;;;;;;;54.5
+;;;Bachmann Roger;*;;;;;;;10.0
-;1;10.0;Fankhauser Marco;**;10;55.25;4;8.75;3;-1.25;8.75
o;5;18.75;Mathis Marcel;***;12;54.75;5;18.75;0;0.0;8.5
+;8;27.25;Reichmuth Armin;*;21;35.5;9;27.0;1;-0.25;10.0
o;6;37.25;Alpiger Nick;**;4;56.75;7;37.0;1;-0.25;8.5
-;10;45.75;Rohrer Ivan;*;14;54.25;11;45.5;1;-0.25;8.75

13e;Zenger Niklaus;***;;;;;;;;;54.5
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Stöckli Stefan;**;10;55.25;2;9.75;-2;1.0;10.0
o;5;18.75;Betschart Rainer;**;11;55.0;5;18.75;0;0.0;8.5
o;8;27.25;Steinauer Adrian;**;12;54.75;5;28.0;-3;0.75;8.5
+;12;35.75;Fankhauser Marco;**;10;55.25;9;36.5;-3;0.75;10.0
-;10;45.75;Brun Jonas;**;13;54.5;10;45.75;0;0.0;8.75

13f;Brun Jonas;**;;;;;;;;;54.5
+;;;Wyss Kilian;**;;;;;;;10.0
o;1;10.0;Glarner Matthias;***;2;57.25;1;10.0;0;0.0;8.5
-;6;18.5;Roschi Ruedi;**;9;55.5;6;18.5;0;0.0;8.75
+;8;27.25;Studer Stefan;**;19;53.0;8;27.25;0;0.0;10.0
o;6;37.25;Siegenthaler Matthias;***;2;57.25;5;37.5;-1;0.25;8.5
-;10;45.75;Zenger Niklaus;***;13;54.5;10;45.75;0;0.0;8.75

14a;Lussi Marco;*;;;;;;;;;54.25
-;;;Zenger Michael;*;;;;;;;8.75
-;4;8.75;Blaser Roman;*;21;35.5;2;9.75;-2;1.0;8.75
-;10;17.5;Kämpf Alexander;**;23;35.0;10;17.5;0;0.0;8.75
+;12;26.25;Leuenberger Michael;**;24;34.75;12;26.25;0;0.0;9.75
o;11;36.0;Schütz Urs;**;12;54.75;11;36.0;0;0.0;8.5
+;15;44.5;Fankhauser Reto;*;18;53.25;14;44.75;-1;0.25;9.75

14b;Müller Michael;**;;;;;;;;;54.25
+;;;Waldner Patrick;**;;;;;;;9.75
o;2;9.75;Siegenthaler Matthias;***;2;57.25;4;8.75;2;-1.0;8.5
-;7;18.25;Bächli Michael (1998);*;4;56.75;6;18.5;-1;0.25;8.75
-;9;27.0;Schütz Urs;**;12;54.75;8;27.25;-1;0.25;8.75
o;12;35.75;Meuter Adrian;**;12;54.75;11;36.0;-1;0.25;8.5
+;16;44.25;Studer Stefan;**;19;53.0;15;44.5;-1;0.25;10.0

14c;Inderbitzin Daniel;*;;;;;;;;;54.25
o;;;von Büren Stephan;*;;;;;;;8.5
+;5;8.5;von Känel Daniel;*;21;35.5;5;8.5;0;0.0;10.0
-;6;18.5;Fankhauser Reto;*;18;53.25;6;18.5;0;0.0;8.75
o;8;27.25;Vieira Tiago;**;14;54.25;8;27.25;0;0.0;8.5
-;12;35.75;Studer Stefan;**;19;53.0;12;35.75;0;0.0;8.75
+;15;44.5;Steffen Konrad;*;17;53.5;13;45.0;-2;0.5;9.75

14d;Gäggeler Adrian;*;;;;;;;;;54.25
-;;;Zimmermann Simon;*;;;;;;;8.75
+;4;8.75;Briker Michael;*;26;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Schmid David;**;8;55.75;5;18.75;0;0.0;8.5
o;8;27.25;Kennel Stefan;*;9;55.5;7;27.5;-1;0.25;8.5
o;12;35.75;Omlin Toni;*;15;54.0;12;35.75;0;0.0;8.5
+;16;44.25;Suter David;**;20;52.75;16;44.25;0;0.0;10.0

14e;Vieira Tiago;**;;;;;;;;;54.25
-;;;Zimmermann Martin;**;;;;;;;8.75
+;4;8.75;Gnägi Christian;*;16;53.75;2;9.75;-2;1.0;10.0
o;5;18.75;Siegenthaler Matthias;***;2;57.25;5;18.75;0;0.0;8.5
+;8;27.25;Inderbitzin Daniel;*;14;54.25;8;27.25;0;0.0;10.0
o;6;37.25;Zaugg Thomas;***;9;55.5;6;37.25;0;0.0;8.5
o;10;45.75;Roth Dominik;*;8;55.75;10;45.75;0;0.0;8.5

14f;Rohrer Ivan;*;;;;;;;;;54.25
-;;;Zürcher Remo;*;;;;;;;8.75
+;4;8.75;Strebel Joel (1997);*;21;35.5;5;8.5;1;-0.25;10.0
o;5;18.75;Kämpf Bernhard;***;1;57.75;8;18.0;3;-0.75;8.5
+;8;27.25;Klausner Yanick;**;21;35.5;9;27.0;1;-0.25;9.75
o;7;37.0;Räbmatter Patrick;**;8;55.75;6;37.25;-1;0.25;8.5
-;11;45.5;Moser Michael;*;13;54.5;10;45.75;-1;0.25;8.75

14g;Schenkel Adrian;**;;;;;;;;;54.25
-;;;Höfliger Andreas;**;;;;;;;8.75
-;4;8.75;Schuler Alex;**;9;55.5;5;8.5;1;-0.25;8.75
+;10;17.5;Villiger Cyrill;*;21;35.5;7;18.25;-3;0.75;9.75
-;8;27.25;Imhof Andi;***;24;34.75;13;26.0;5;-1.25;8.75
+;11;36.0;Suter David;**;20;52.75;12;35.75;1;-0.25;9.75
o;10;45.75;Kennel Stefan;*;9;55.5;10;45.75;0;0.0;8.5

14h;Wickli Beat;**;;;;;;;;;54.25
-;;;Betschart Rainer;**;;;;;;;8.75
o;4;8.75;Zurfluh Markus;**;12;54.75;4;8.75;0;0.0;8.5
+;11;17.25;Kramer Franz;*;25;34.5;11;17.25;0;0.0;10.0
-;8;27.25;Henzer Andreas;**;11;55.0;7;27.5;-1;0.25;8.75
+;11;36.0;Spichtig Markus;*;19;53.0;12;35.75;1;-0.25;9.75
o;10;45.75;Stöckli Stefan;**;10;55.25;11;45.5;1;-0.25;8.5

15a;Omlin Toni;*;;;;;;;;;54.0
o;;;Gnägi Christian;*;;;;;;;8.5
+;5;8.5;Binggeli Dominik;*;26;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Käser Remo;**;3;57.0;6;18.5;0;0.0;8.5
-;9;27.0;Wittwer Josias;*;18;53.25;8;27.25;-1;0.25;8.75
+;12;35.75;Gäggeler Adrian;*;14;54.25;12;35.75;0;0.0;9.75
o;11;45.5;Röthlisberger Simon;*;9;55.5;11;45.5;0;0.0;8.5

15b;Voggensperger Janic (1998);*;;;;;;;;;54.0
+;;;Mösching Andy;*;;;;;;;9.75
o;2;9.75;Zaugg Thomas;***;9;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Waser Dominik;*;7;56.0;5;18.75;-2;0.5;8.5
+;10;26.75;Urfer Simon;*;22;35.25;10;26.75;0;0.0;9.75
-;9;36.5;Zimmermann Martin;**;16;53.75;9;36.5;0;0.0;8.75
-;12;45.25;Schärli Peter;**;17;53.5;14;44.75;2;-0.5;8.75

15c;Baumann Roger;*;;;;;;;;;54.0
o;;;Steffen Konrad;*;;;;;;;8.75
+;4;8.75;Zürcher Kurt;*;22;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Anderegg Simon;***;7;56.0;5;18.75;0;0.0;8.5
o;8;27.25;Gnägi Christian;*;16;53.75;10;26.75;2;-0.5;8.5
o;12;35.75;Gehrig Damian;**;11;55.0;10;36.25;-2;0.5;8.5
+;16;44.25;Schenk Thomas;*;16;53.75;12;45.25;-4;1.0;9.75

15d;Ramseier Fritz;*;;;;;;;;;54.0
o;;;Odermatt Andreas;*;;;;;;;8.5
+;5;8.5;Kramer Franz;*;25;34.5;4;8.75;-1;0.25;9.75
-;7;18.25;Imfeld Peter;***;21;35.5;12;17.0;5;-1.25;8.75
-;9;27.0;Stöckli Stefan;**;10;55.25;9;27.0;0;0.0;8.75
+;12;35.75;Gwerder Carlo;**;17;53.5;10;36.25;-2;0.5;9.75
o;11;45.5;Fankhauser Marco;**;10;55.25;12;45.25;1;-0.25;8.5

16a;Zimmermann Martin;**;;;;;;;;;53.75
-;;;Vieira Tiago;**;;;;;;;8.75
-;4;8.75;Leuenberger Michael;**;24;34.75;4;8.75;0;0.0;9.0
+;9;17.75;Urfer Simon;*;22;35.25;7;18.25;-2;0.5;9.75
-;7;27.5;Fankhauser Reto;*;18;53.25;8;27.25;1;-0.25;9.0
-;9;36.5;Voggensperger Janic (1998);*;15;54.0;9;36.5;0;0.0;8.75
o;12;45.25;Studinger Stephan;**;10;55.25;11;45.5;-1;0.25;8.5

16b;Gnägi Christian;*;;;;;;;;;53.75
+;;;Omlin Toni;*;;;;;;;9.75
o;2;9.75;Vieira Tiago;**;14;54.25;4;8.75;2;-1.0;8.5
o;7;18.25;Scheuber Lutz;**;9;55.5;10;17.5;3;-0.75;8.5
+;10;26.75;Baumann Roger;*;15;54.0;8;27.25;-2;0.5;10.0
o;8;36.75;Bächli Michael (1998);*;4;56.75;7;37.0;-1;0.25;8.5
o;12;45.25;Heinzer Stefan;*;12;54.75;14;44.75;2;-0.5;8.5

16c;Schenk Thomas;*;;;;;;;;;53.75
+;;;Spichtig Markus;*;;;;;;;10.0
o;1;10.0;Schärli Peter;**;17;53.5;3;9.0;2;-1.0;8.5
+;6;18.5;Britschgi Melk;**;8;55.75;7;18.25;1;-0.25;9.75
o;4;28.25;Stalder Remo;***;6;56.25;7;27.5;3;-0.75;8.5
o;8;36.75;Schuler Alex;**;9;55.5;8;36.75;0;0.0;8.5
o;12;45.25;Baumann Roger;*;15;54.0;16;44.25;4;-1.0;8.5

17a;Schärli Peter;**;;;;;;;;;53.5
-;;;Graber Bruno;**;;;;;;;9.0
+;3;9.0;Schenk Thomas;*;16;53.75;1;10.0;-2;1.0;10.0
o;4;19.0;Bieri Christoph;***;8;55.75;6;18.5;2;-0.5;8.5
o;7;27.5;Michel Jonas;*;13;54.5;7;27.5;0;0.0;8.5
-;11;36.0;Henzer Andreas;**;11;55.0;10;36.25;-1;0.25;8.75
-;14;44.75;Voggensperger Janic (1998);*;15;54.0;12;45.25;-2;0.5;8.75

17b;Gwerder Carlo;**;;;;;;;;;53.5
+;;;Kocher Remo;**;;;;;;;10.0
o;1;10.0;Käser Remo;**;3;57.0;4;8.75;3;-1.25;8.75
o;5;18.75;Schenkel Remo;*;17;53.5;7;18.25;2;-0.5;8.75
-;7;27.5;Gehrig Damian;**;11;55.0;7;27.5;0;0.0;8.75
o;10;36.25;Ramseier Fritz;*;15;54.0;12;35.75;2;-0.5;8.75
o;13;45.0;Henzer Andreas;**;11;55.0;13;45.0;0;0.0;8.5

17c;Schenkel Remo;*;;;;;;;;;53.5
+;;;Briker Michael;*;;;;;;;9.75
o;2;9.75;Nötzli Bruno;***;10;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Gwerder Carlo;**;17;53.5;5;18.75;-2;0.5;9.75
o;5;28.0;Gasser Stefan;**;5;56.5;4;28.25;-1;0.25;8.5
o;9;36.5;Odermatt Andreas;*;12;54.75;9;36.5;0;0.0;8.5
o;13;45.0;Zimmermann Simon;*;12;54.75;14;44.75;1;-0.25;8.5

17d;Steffen Konrad;*;;;;;;;;;53.5
+;;;Baumann Roger;*;;;;;;;9.75
+;2;9.75;Klausner Yanick;**;21;35.5;5;8.5;3;-1.25;9.75
o;3;19.5;Laimbacher Philipp;***;5;56.5;5;18.75;2;-0.75;8.5
o;5;28.0;Leuthard Reto;*;11;55.0;5;28.0;0;0.0;8.5
o;9;36.5;Schelbert Ralf;**;11;55.0;9;36.5;0;0.0;8.5
o;13;45.0;Inderbitzin Daniel;*;14;54.25;15;44.5;2;-0.5;8.5

18a;Fankhauser Reto;*;;;;;;;;;53.25
+;;;Strebel Joel (1997);*;;;;;;;10.0
o;1;10.0;Gasser Stefan;**;5;56.5;2;9.75;1;-0.25;8.5
-;6;18.5;Inderbitzin Daniel;*;14;54.25;6;18.5;0;0.0;8.75
-;8;27.25;Zimmermann Martin;**;16;53.75;7;27.5;-1;0.25;8.75
-;11;36.0;Heinzer Stefan;*;12;54.75;11;36.0;0;0.0;8.75
o;14;44.75;Lussi Marco;*;14;54.25;15;44.5;1;-0.25;8.5

18b;Wittwer Josias;*;;;;;;;;;53.25
-;;;Heinzer Stefan;*;;;;;;;8.75
+;4;8.75;Graber Bruno;**;26;34.25;4;8.75;0;0.0;9.75
-;6;18.5;Alpiger Nick;**;4;56.75;7;18.25;1;-0.25;8.75
-;8;27.25;Omlin Toni;*;15;54.0;9;27.0;1;-0.25;8.75
o;11;36.0;Egli David;*;12;54.75;10;36.25;-1;0.25;8.5
-;15;44.5;Spichtig Markus;*;19;53.0;16;44.25;1;-0.25;8.75

18c;Wyss Kilian;**;;;;;;;;;53.25
o;;;Brun Jonas;**;;;;;;;8.5
+;5;8.5;Muff Armin;**;22;35.25;5;8.5;0;0.0;10.0
-;6;18.5;Imhof Andi;***;24;34.75;11;17.25;5;-1.25;8.75
-;8;27.25;Fankhauser Marco;**;10;55.25;7;27.5;-1;0.25;9.0
o;10;36.25;Stöckli Stefan;**;10;55.25;12;35.75;2;-0.5;8.5
o;14;44.75;Höfliger Andreas;**;13;54.5;15;44.5;1;-0.25;8.5

19a;Spichtig Markus;*;;;;;;;;;53.0
o;;;Schenk Thomas;*;;;;;;;8.5
-;5;8.5;Kämpf Marcel;*;24;34.75;5;8.5;0;0.0;8.75
+;11;17.25;Mösching Andy;*;21;35.5;11;17.25;0;0.0;10.0
o;8;27.25;Roschi Ruedi;**;9;55.5;8;27.25;0;0.0;8.5
o;12;35.75;Wickli Beat;**;14;54.25;11;36.0;-1;0.25;8.5
-;16;44.25;Wittwer Josias;*;18;53.25;15;44.5;-1;0.25;8.75

19b;Studer Stefan;**;;;;;;;;;53.0
o;;;Britschgi Melk;**;;;;;;;8.5
-;5;8.5;Föhn Pirmin;*;24;34.75;4;8.75;-1;0.25;8.75
+;11;17.25;Muff Armin;**;22;35.25;12;17.0;1;-0.25;10.0
o;8;27.25;Brun Jonas;**;13;54.5;8;27.25;0;0.0;8.5
-;12;35.75;Inderbitzin Daniel;*;14;54.25;12;35.75;0;0.0;8.75
o;15;44.5;Müller Michael;**;14;54.25;16;44.25;1;-0.25;8.5

20a;Suter David;**;;;;;;;;;52.75
o;;;Gehrig Damian;**;;;;;;;8.5
o;5;8.5;Schenk Patrick;**;21;35.5;5;8.5;0;0.0;8.5
-;12;17.0;Burger Fredy;*;26;34.25;12;17.0;0;0.0;8.75
+;14;25.75;Graber Bruno;**;26;34.25;14;25.75;0;0.0;10.0
o;12;35.75;Schenkel Adrian;**;14;54.25;11;36.0;-1;0.25;8.5
o;16;44.25;Gäggeler Adrian;*;14;54.25;16;44.25;0;0.0;8.5

21a;Strebel Joel (1997);*;;;;;;;;;35.5
o;;;Fankhauser Reto;*;;;;;;;8.5
o;5;8.5;Rohrer Ivan;*;14;54.25;4;8.75;-1;0.25;8.5
+;12;17.0;Diener Pirmin;*;25;34.5;11;17.25;-1;0.25;10.0
o;9;27.0;Scheuber Lutz;**;9;55.5;8;27.25;-1;0.25;8.5

21b;Villiger Cyrill;*;;;;;;;;;35.5
o;;;Urfer Simon;*;;;;;;;8.5
+;5;8.5;Burger Fredy;*;26;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Schenkel Adrian;**;14;54.25;10;17.5;3;-0.75;8.5
-;10;26.75;Gehrig Philipp;*;21;35.5;10;26.75;0;0.0;8.75

21c;Imfeld Peter;***;;;;;;;;;35.5
o;;;Stalder Remo;***;;;;;;;8.5
o;5;8.5;Röthlisberger Simon;*;9;55.5;2;9.75;-3;1.25;8.5
-;12;17.0;Ramseier Fritz;*;15;54.0;7;18.25;-5;1.25;8.75
+;14;25.75;Blaser Roman;*;21;35.5;9;27.0;-5;1.25;9.75

21d;Blaser Roman;*;;;;;;;;;35.5
+;;;Hess Dominik;*;;;;;;;9.75
-;2;9.75;Lussi Marco;*;14;54.25;4;8.75;2;-1.0;8.75
o;6;18.5;Schelbert Ralf;**;11;55.0;7;18.25;1;-0.25;8.5
o;9;27.0;Imfeld Peter;***;21;35.5;14;25.75;5;-1.25;8.5

21e;Reichmuth Armin;*;;;;;;;;;35.5
o;;;Zürcher Kurt;*;;;;;;;8.5
+;5;8.5;Zenger Michael;*;24;34.75;4;8.75;-1;0.25;10.0
o;6;18.5;Aeschbacher Matthias;**;5;56.5;6;18.5;0;0.0;8.5
o;9;27.0;Moser Michael;*;13;54.5;8;27.25;-1;0.25;8.5

21f;von Känel Daniel;*;;;;;;;;;35.5
o;;;Leuthard Reto;*;;;;;;;8.5
o;5;8.5;Inderbitzin Daniel;*;14;54.25;5;8.5;0;0.0;8.5
+;12;17.0;Hess Dominik;*;26;34.25;12;17.0;0;0.0;10.0
o;9;27.0;Zurfluh Markus;**;12;54.75;8;27.25;-1;0.25;8.5

21g;Schuler Philipp;**;;;;;;;;;35.5
o;;;Luginbühl Hanspeter;**;;;;;;;8.5
o;5;8.5;Räbmatter Patrick;**;8;55.75;4;8.75;-1;0.25;8.5
+;12;17.0;Zenger Michael;*;24;34.75;11;17.25;-1;0.25;9.75
o;10;26.75;Roth Dominik;*;8;55.75;9;27.0;-1;0.25;8.75

21h;Mösching Andy;*;;;;;;;;;35.5
o;;;Voggensperger Janic (1998);*;;;;;;;8.5
-;5;8.5;Diener Pirmin;*;25;34.5;5;8.5;0;0.0;8.75
o;11;17.25;Spichtig Markus;*;19;53.0;11;17.25;0;0.0;8.5
+;14;25.75;Briker Michael;*;26;34.25;14;25.75;0;0.0;9.75

21i;Klausner Yanick;**;;;;;;;;;35.5
o;;;Schelbert Ralf;**;;;;;;;8.5
o;5;8.5;Steffen Konrad;*;17;53.5;2;9.75;-3;1.25;8.75
+;11;17.25;Föhn Pirmin;*;24;34.75;10;17.5;-1;0.25;9.75
o;9;27.0;Rohrer Ivan;*;14;54.25;8;27.25;-1;0.25;8.5

21j;Schenk Patrick;**;;;;;;;;;35.5
o;;;Stöckli Stefan;**;;;;;;;8.5
+;5;8.5;Suter David;**;20;52.75;5;8.5;0;0.0;10.0
o;6;18.5;Schuler Christian;***;9;55.5;6;18.5;0;0.0;8.5
o;9;27.0;Alpiger Nick;**;4;56.75;9;27.0;0;0.0;8.5

21k;Gehrig Philipp;*;;;;;;;;;35.5
+;;;Diener Pirmin;*;;;;;;;9.75
o;2;9.75;Laimbacher Philipp;***;5;56.5;4;8.75;2;-1.0;8.5
o;7;18.25;Leuthard Reto;*;11;55.0;7;18.25;0;0.0;8.5
-;10;26.75;Villiger Cyrill;*;21;35.5;10;26.75;0;0.0;8.75

22a;Urfer Simon;*;;;;;;;;;35.25
+;;;Villiger Cyrill;*;;;;;;;9.75
o;2;9.75;von Ah Benji;***;2;57.25;4;8.75;2;-1.0;8.5
o;7;18.25;Zimmermann Martin;**;16;53.75;9;17.75;2;-0.5;8.5
o;10;26.75;Voggensperger Janic (1998);*;15;54.0;10;26.75;0;0.0;8.5

22b;Zürcher Kurt;*;;;;;;;;;35.25
+;;;Reichmuth Armin;*;;;;;;;9.75
o;2;9.75;Baumann Roger;*;15;54.0;4;8.75;2;-1.0;8.5
o;7;18.25;Steinauer Adrian;**;12;54.75;7;18.25;0;0.0;8.5
o;10;26.75;Odermatt Andreas;*;12;54.75;10;26.75;0;0.0;8.5

22c;Blatter Lorenz;*;;;;;;;;;35.25
+;;;Kämpf Marcel;*;;;;;;;9.75
o;2;9.75;Schuler Christian;***;9;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Lengacher Jonas;**;7;56.0;6;18.5;-1;0.25;8.5
o;10;26.75;Schuler Alex;**;9;55.5;9;27.0;-1;0.25;8.5

22d;Kocher Remo;**;;;;;;;;;35.25
o;;;Gwerder Carlo;**;;;;;;;8.5
o;5;8.5;Roschi Ruedi;**;9;55.5;4;8.75;-1;0.25;8.5
+;12;17.0;Gander Adrian;*;25;34.5;10;17.5;-2;0.5;9.75
o;10;26.75;Britschgi Melk;**;8;55.75;10;26.75;0;0.0;8.5

22e;Muff Armin;**;;;;;;;;;35.25
o;;;Röthlisberger Simon;*;;;;;;;8.5
o;5;8.5;Wyss Kilian;**;18;53.25;5;8.5;0;0.0;8.5
o;12;17.0;Studer Stefan;**;19;53.0;11;17.25;-1;0.25;8.5
+;15;25.5;Burger Fredy;*;26;34.25;14;25.75;-1;0.25;9.75

23a;Kämpf Alexander;**;;;;;;;;;35.0
-;;;Fankhauser Marco;**;;;;;;;8.75
-;4;8.75;Heinzer Stefan;*;12;54.75;4;8.75;0;0.0;8.75
-;10;17.5;Lussi Marco;*;14;54.25;10;17.5;0;0.0;8.75
-;12;26.25;Stüdeli Thomas;**;23;35.0;12;26.25;0;0.0;8.75

23b;Marti Fabian;**;;;;;;;;;35.0
-;;;Roschi Ruedi;**;;;;;;;8.75
-;4;8.75;Schütz Urs;**;12;54.75;4;8.75;0;0.0;8.75
-;10;17.5;Stüdeli Thomas;**;23;35.0;10;17.5;0;0.0;9.0
o;11;26.5;Erb Roger;**;13;54.5;12;26.25;1;-0.25;8.5

23c;Stüdeli Thomas;**;;;;;;;;;35.0
-;;;Leuenberger Michael;**;;;;;;;8.75
-;4;8.75;Bachmann Roger;*;24;34.75;5;8.5;1;-0.25;8.75
-;10;17.5;Marti Fabian;**;23;35.0;10;17.5;0;0.0;8.75
-;12;26.25;Kämpf Alexander;**;23;35.0;12;26.25;0;0.0;8.75

24a;Imhof Andi;***;;;;;;;;;34.75
o;;;Glarner Matthias;***;;;;;;;8.5
-;5;8.5;Bächli Michael (1998);*;4;56.75;2;9.75;-3;1.25;8.75
-;11;17.25;Wyss Kilian;**;18;53.25;6;18.5;-5;1.25;8.75
-;13;26.0;Schenkel Adrian;**;14;54.25;8;27.25;-5;1.25;8.75

24b;Zürcher Remo;*;;;;;;;;;34.75
-;;;Rohrer Ivan;*;;;;;;;8.75
o;4;8.75;Betschart Rainer;**;11;55.0;4;8.75;0;0.0;8.5
-;11;17.25;Egli David;*;12;54.75;10;17.5;-1;0.25;8.75
-;13;26.0;Föhn Pirmin;*;24;34.75;13;26.0;0;0.0;8.75

24c;Zenger Michael;*;;;;;;;;;34.75
-;;;Lussi Marco;*;;;;;;;8.75
o;4;8.75;Reichmuth Armin;*;21;35.5;5;8.5;1;-0.25;8.5
o;11;17.25;Schuler Philipp;**;21;35.5;12;17.0;1;-0.25;8.5
-;14;25.75;Diener Pirmin;*;25;34.5;14;25.75;0;0.0;9.0

24d;Bachmann Roger;*;;;;;;;;;34.75
o;;;Moser Michael;*;;;;;;;8.5
-;5;8.5;Stüdeli Thomas;**;23;35.0;4;8.75;-1;0.25;8.75
-;11;17.25;Kämpf Marcel;*;24;34.75;11;17.25;0;0.0;8.75
-;13;26.0;Brönnimann Ronny;*;25;34.5;14;25.75;1;-0.25;8.75

24e;Kämpf Marcel;*;;;;;;;;;34.75
o;;;Blatter Lorenz;*;;;;;;;8.5
-;5;8.5;Spichtig Markus;*;19;53.0;5;8.5;0;0.0;8.75
-;11;17.25;Bachmann Roger;*;24;34.75;11;17.25;0;0.0;8.75
-;13;26.0;Elsener Adrian;**;24;34.75;13;26.0;0;0.0;8.75

24f;Leuenberger Michael;**;;;;;;;;;34.75
-;;;Stüdeli Thomas;**;;;;;;;8.75
-;4;8.75;Zimmermann Martin;**;16;53.75;4;8.75;0;0.0;9.0
o;9;17.75;Heinzer Stefan;*;12;54.75;10;17.5;1;-0.25;8.5
o;12;26.25;Lussi Marco;*;14;54.25;12;26.25;0;0.0;8.5

24g;Föhn Pirmin;*;;;;;;;;;34.75
-;;;Brönnimann Ronny;*;;;;;;;8.75
-;4;8.75;Studer Stefan;**;19;53.0;5;8.5;1;-0.25;8.75
o;10;17.5;Klausner Yanick;**;21;35.5;11;17.25;1;-0.25;8.5
-;13;26.0;Zürcher Remo;*;24;34.75;13;26.0;0;0.0;8.75

24h;Elsener Adrian;**;;;;;;;;;34.75
-;;;Schütz Urs;**;;;;;;;8.75
o;4;8.75;Luginbühl Hanspeter;**;8;55.75;1;10.0;-3;1.25;8.5
-;11;17.25;Meuter Adrian;**;12;54.75;11;17.25;0;0.0;8.75
-;13;26.0;Kämpf Marcel;*;24;34.75;13;26.0;0;0.0;8.75

25a;Brönnimann Ronny;*;;;;;;;;;34.5
-;;;Föhn Pirmin;*;;;;;;;8.75
o;4;8.75;Schmid David;**;8;55.75;4;8.75;0;0.0;8.5
o;11;17.25;Henzer Andreas;**;11;55.0;10;17.5;-1;0.25;8.5
-;14;25.75;Bachmann Roger;*;24;34.75;13;26.0;-1;0.25;8.75

25b;Waldner Patrick;**;;;;;;;;;34.5
o;;;Müller Michael;**;;;;;;;8.75
-;4;8.75;Zimmermann Simon;*;12;54.75;4;8.75;0;0.0;8.75
o;10;17.5;Höfliger Andreas;**;13;54.5;11;17.25;1;-0.25;8.5
o;13;26.0;Egli David;*;12;54.75;12;26.25;-1;0.25;8.5

25c;Gander Adrian;*;;;;;;;;;34.5
o;;;Michel Jonas;*;;;;;;;8.5
-;5;8.5;Erb Roger;**;13;54.5;5;8.5;0;0.0;9.0
o;10;17.5;Kocher Remo;**;22;35.25;12;17.0;2;-0.5;8.5
o;13;26.0;Meuter Adrian;**;12;54.75;13;26.0;0;0.0;8.5

25d;Kramer Franz;*;;;;;;;;;34.5
-;;;Egli David;*;;;;;;;8.75
o;4;8.75;Ramseier Fritz;*;15;54.0;5;8.5;1;-0.25;8.5
o;11;17.25;Wickli Beat;**;14;54.25;11;17.25;0;0.0;8.5
-;14;25.75;Hess Dominik;*;26;34.25;15;25.5;1;-0.25;8.75

25e;Diener Pirmin;*;;;;;;;;;34.5
o;;;Gehrig Philipp;*;;;;;;;8.5
-;5;8.5;Mösching Andy;*;21;35.5;5;8.5;0;0.0;8.75
o;11;17.25;Strebel Joel (1997);*;21;35.5;12;17.0;1;-0.25;8.5
-;14;25.75;Zenger Michael;*;24;34.75;14;25.75;0;0.0;8.75

26a;Briker Michael;*;;;;;;;;;34.25
o;;;Schenkel Remo;*;;;;;;;8.5
o;5;8.5;Gäggeler Adrian;*;14;54.25;4;8.75;-1;0.25;8.5
-;12;17.0;Binggeli Dominik;*;26;34.25;12;17.0;0;0.0;8.75
o;14;25.75;Mösching Andy;*;21;35.5;14;25.75;0;0.0;8.5

26b;Binggeli Dominik;*;;;;;;;;;34.25
o;;;Bächli Michael (1998);*;;;;;;;8.5
