3313-2016-08-07_109_Nordwestschweizer_Schwingfest-ST

1a;Gisler Bruno;***;;;;;;;;;58.0
+;7;18.25;Widmer Cyrill (1998);;11;55.5;5;18.75;-2;0.5;9.75
-;7;28.0;Gerber Andrj (2000);;15;54.5;8;27.5;1;-0.5;8.75
+;10;36.75;Gisin Yanic;;18;53.75;11;36.5;1;-0.25;9.75
+;7;46.5;Müller Simon;;14;54.75;8;46.25;1;-0.25;10.0

8a;Brand Christian;**;;;;;;;;;56.25
-;;;Winiger Fabian;**;;;;;;;8.75
o;4;8.75;Bieri Christoph;***;9;56.0;4;8.75;0;0.0;8.5
+;9;17.25;Eggenschwiler Fabian;;27;35.5;6;18.5;-3;1.25;10.0
+;9;27.25;Arnold David;;17;54.0;5;28.5;-4;1.25;10.0
-;8;37.25;Rüegger Aaron (1999);;23;46.0;7;37.5;-1;0.25;9.0
+;8;46.25;Döbeli Andreas (1998);*;13;55.0;7;46.5;-1;0.25;10.0

9a;Hermann Oliver;*;;;;;;;;;56.0
-;;;Schmutz Adrian;*;;;;;;;9.0
+;3;9.0;Moser Matthias;*;30;34.75;4;8.75;1;-0.25;9.75
+;5;18.75;Brügger Joël (2000);;18;53.75;6;18.5;1;-0.25;9.75
o;5;28.5;Blatter Lorenz;**;3;57.5;3;29.0;-2;0.5;8.5
+;9;37.0;Roth Christian;;13;55.0;10;36.75;1;-0.25;10.0
-;5;47.0;Hauri Urs;**;6;56.75;3;47.75;-2;0.75;9.0

9b;Bieri Christoph;***;;;;;;;;;56.0
-;;;Glarner Matthias;***;;;;;;;8.75
+;4;8.75;Brand Christian;**;8;56.25;4;8.75;0;0.0;9.75
+;6;18.5;Bruder Adrian;;18;53.75;2;19.75;-4;1.25;10.0
-;5;28.5;Bless Michael;***;3;57.5;1;30.0;-4;1.5;8.75
+;8;37.25;Gerber Manuel;*;11;55.5;5;38.0;-3;0.75;9.75
-;5;47.0;Gottofrey Marc;**;11;55.5;7;46.5;2;-0.5;9.0

9c;Hügli Kaj;*;;;;;;;;;56.0
-;;;Kocher Remo;**;;;;;;;8.75
+;4;8.75;Probst Gabriel;**;15;54.5;4;8.75;0;0.0;10.0
+;5;18.75;Lisser Beat;;18;53.75;6;18.5;1;-0.25;10.0
o;4;28.75;Stalder Remo;***;6;56.75;6;28.25;2;-0.5;8.5
+;8;37.25;Furrer Mathias;;13;55.0;10;36.75;2;-0.5;10.0
o;4;47.25;Voggensperger Janic (1998);*;2;57.75;3;47.75;-1;0.5;8.75

9d;Piemontesi Pascal;**;;;;;;;;;56.0
-;;;Thoenen Henryc;**;;;;;;;8.75
-;4;8.75;Erb Roger;**;10;55.75;4;8.75;0;0.0;8.75
+;8;17.5;Grossmann Andreas;;27;35.5;6;18.5;-2;1.0;10.0
+;8;27.5;Stoffel Marc;**;26;37.0;6;28.25;-2;0.75;10.0
o;7;37.5;Voggensperger Janic (1998);*;2;57.75;5;38.0;-2;0.5;8.5
+;9;46.0;Bearda Samuel;;13;55.0;7;46.5;-2;0.5;10.0

9e;Mangold Michael;;;;;;;;;;56.0
+;;;Bieli Mario;;;;;;;;10.0
+;1;10.0;Schmutz Simon (2000);;14;54.75;1;10.0;0;0.0;10.0
o;1;20.0;Räbmatter Patrick;**;5;57.0;5;18.75;4;-1.25;8.5
+;5;28.5;Probst Gabriel;**;15;54.5;9;27.25;4;-1.25;10.0
o;3;38.5;Nötzli Bruno;***;5;57.0;8;37.25;5;-1.25;8.5
-;5;47.0;Gerber Manuel;*;11;55.5;7;46.5;2;-0.5;9.0

9f;Zwyssig Raphael;***;;;;;;;;;56.0
-;;;Alpiger Nick;**;;;;;;;8.75
o;4;8.75;Voggensperger Janic (1998);*;2;57.75;2;9.75;-2;1.0;8.5
-;9;17.25;Kocher Remo;**;5;57.0;6;18.5;-3;1.25;8.75
+;13;26.0;Bader Fabian (2000);;17;54.0;9;27.25;-4;1.25;10.0
+;13;36.0;Kropf Marcel;**;12;55.25;9;37.0;-4;1.0;10.0
+;9;46.0;Arnold Kornel;*;13;55.0;7;46.5;-2;0.5;10.0

10a;Erb Roger;**;;;;;;;;;55.75
-;;;Strebel Joel;**;;;;;;;8.75
-;4;8.75;Piemontesi Pascal;**;9;56.0;4;8.75;0;0.0;8.75
+;8;17.5;Jusufi Azret;;11;55.5;5;18.75;-3;1.25;9.75
+;9;27.25;Büchi Christian;;12;55.25;6;28.25;-3;1.0;10.0
o;8;37.25;Glarner Matthias;***;5;57.0;8;37.25;0;0.0;8.5
+;10;45.75;Reimann Marco (1998);;16;54.25;10;45.75;0;0.0;10.0

10b;Schaffner Samuel;**;;;;;;;;;55.75
+;;;Brun Samuel (1999);*;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;1;58.0;3;9.0;2;-1.0;8.5
+;6;18.5;Gabathuler Björn (1998);;13;55.0;4;19.0;-2;0.5;9.75
o;6;28.25;Mahrer Jürg;**;4;57.25;5;28.5;-1;0.25;8.5
-;10;36.75;Schmutz Adrian;*;10;55.75;9;37.0;-1;0.25;8.75
+;11;45.5;Lisser Beat;;18;53.75;12;45.25;1;-0.25;10.0
+;11;55.5;Scherrer Johann;**;11;55.5;11;55.5;0;0.0;0.25

10c;Schillig Willi;**;;;;;;;;;55.75
-;;;Steinmann Yves;*;;;;;;;8.75
+;4;8.75;Waldner Patrick;**;13;55.0;5;8.5;1;-0.25;10.0
+;5;18.75;Läuchli Janik (2000);;12;55.25;2;19.75;-3;1.0;10.0
o;4;28.75;Nötzli Bruno;***;5;57.0;9;27.25;5;-1.5;8.5
+;8;37.25;Schär Simon;*;14;54.75;9;37.0;1;-0.25;9.75
o;5;47.0;Mahrer Jürg;**;4;57.25;4;47.25;-1;0.25;8.75

10d;von Arx Christian;*;;;;;;;;;55.75
-;;;Döbeli Lukas (2000);*;;;;;;;9.0
o;3;9.0;Thürig Mario;***;22;46.75;5;8.5;2;-0.5;8.5
+;8;17.5;Schär Jonas (1999);;15;54.5;5;18.75;-3;1.25;10.0
+;8;27.5;Brügger Cyrill (1998);;11;55.5;7;28.0;-1;0.5;10.0
o;7;37.5;Thoenen Henryc;**;6;56.75;9;37.0;2;-0.5;8.5
+;9;46.0;Riesen Ruedi;;17;54.0;11;45.5;2;-0.5;9.75

10e;Stegmüller Klemens;*;;;;;;;;;55.75
o;;;Widmer Tobias;**;;;;;;;8.5
+;5;8.5;Leuthard Reto;*;11;55.5;5;8.5;0;0.0;10.0
-;6;18.5;Siegrist Christian;;17;54.0;3;19.5;-3;1.0;8.75
+;9;27.25;Reimann Marco (1998);;16;54.25;5;28.5;-4;1.25;10.0
+;8;37.25;Steinmann Yves;*;15;54.5;8;37.25;0;0.0;10.0
o;4;47.25;Fankhauser Erich;***;4;57.25;4;47.25;0;0.0;8.5

10f;Schmutz Adrian;*;;;;;;;;;55.75
-;;;Hermann Oliver;*;;;;;;;9.0
o;3;9.0;Döbeli Andreas (1998);*;13;55.0;5;8.5;2;-0.5;8.5
+;8;17.5;Rüegger Aaron (1999);;23;46.0;5;18.75;-3;1.25;9.75
+;9;27.25;Furrer Mathias;;13;55.0;6;28.25;-3;1.0;9.75
-;9;37.0;Schaffner Samuel;**;10;55.75;10;36.75;1;-0.25;8.75
+;10;45.75;Meyer Stefan;;18;53.75;12;45.25;2;-0.5;10.0

10g;Mangold Martin;;;;;;;;;;55.75
-;;;Bader Fabian (2000);;;;;;;;8.75
o;4;8.75;Gerber Andrj (2000);;15;54.5;4;8.75;0;0.0;8.5
o;9;17.25;Büttler Adrian (1999);;23;46.0;5;18.75;-4;1.5;8.5
+;14;25.75;Mohler Fernando;;33;34.0;15;25.5;1;-0.25;10.0
+;14;35.75;Kohler Adrian;;19;53.5;11;36.5;-3;0.75;10.0
+;10;45.75;Steinmann Yves;*;15;54.5;10;45.75;0;0.0;10.0

11a;Scherrer Johann;**;;;;;;;;;55.5
-;;;Klausner Yanick;**;;;;;;;8.75
o;4;8.75;Alpiger Nick;**;6;56.75;4;8.75;0;0.0;8.5
+;9;17.25;Seiler Thomas;;14;54.75;7;18.25;-2;1.0;10.0
+;9;27.25;Eggen Markus;;13;55.0;7;28.0;-2;0.75;9.75
+;9;37.0;Läuchli Janik (2000);;12;55.25;10;36.75;1;-0.25;9.75
o;6;46.75;Schaffner Samuel;**;10;55.75;11;45.5;5;-1.25;8.75

11b;Gerber Manuel;*;;;;;;;;;55.5
+;;;Kropf Marcel;**;;;;;;;9.75
+;2;9.75;Studinger Stephan;**;6;56.75;1;10.0;-1;0.25;10.0
+;2;19.75;Graber Willy;***;7;56.5;6;18.5;4;-1.25;9.75
o;2;29.5;Alpiger Nick;**;6;56.75;4;28.75;2;-0.75;8.5
o;5;38.0;Bieri Christoph;***;9;56.0;8;37.25;3;-0.75;8.5
-;7;46.5;Mangold Michael;;9;56.0;5;47.0;-2;0.5;9.0

11c;Widmer Cyrill (1998);;;;;;;;;;55.5
-;;;Büttler Adrian (1999);;;;;;;;8.75
+;4;8.75;Hitz Florian (1999);;16;54.25;4;8.75;0;0.0;10.0
o;5;18.75;Bader Andreas;*;7;56.5;7;18.25;2;-0.5;8.75
o;8;27.5;Döbeli Andreas (1998);*;13;55.0;7;28.0;-1;0.5;8.5
+;13;36.0;Bader Fabian (2000);;17;54.0;14;35.75;1;-0.25;9.75
+;10;45.75;Kohler Adrian;;19;53.5;13;45.0;3;-0.75;9.75

11d;Strebel Joel;**;;;;;;;;;55.5
-;;;Erb Roger;**;;;;;;;8.75
+;4;8.75;Brun Samuel (1999);*;7;56.5;5;8.5;1;-0.25;9.75
+;6;18.5;Müller Simon;;14;54.75;3;19.5;-3;1.0;10.0
o;5;28.5;Räbmatter Patrick;**;5;57.0;4;28.75;-1;0.25;8.5
+;9;37.0;Ris Jörn (1998);;13;55.0;10;36.75;1;-0.25;10.0
o;5;47.0;Stalder Remo;***;6;56.75;6;46.75;1;-0.25;8.5

11e;Gottofrey Marc;**;;;;;;;;;55.5
o;;;Studinger Stephan;**;;;;;;;8.5
+;5;8.5;Widmer Tobias;**;11;55.5;2;9.75;-3;1.25;10.0
+;6;18.5;Büchi Christian;;12;55.25;2;19.75;-4;1.25;9.75
o;6;28.25;Thürig Mario;***;22;46.75;6;28.25;0;0.0;8.5
+;10;36.75;Jusufi Azret;;11;55.5;8;37.25;-2;0.5;9.75
-;7;46.5;Bieri Christoph;***;9;56.0;5;47.0;-2;0.5;9.0

11f;Widmer Tobias;**;;;;;;;;;55.5
+;;;Stegmüller Klemens;*;;;;;;;9.75
o;2;9.75;Gottofrey Marc;**;11;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Brügger Cyrill (1998);;11;55.5;3;19.5;-4;1.25;10.0
o;6;28.25;Schmid David;**;6;56.75;5;28.5;-1;0.25;8.5
+;10;36.75;Arnold David;;17;54.0;9;37.0;-1;0.25;10.0
o;6;46.75;Nötzli Bruno;***;5;57.0;4;47.25;-2;0.5;8.75

11g;Jusufi Azret;;;;;;;;;;55.5
+;;;Nützi Karl;;;;;;;;9.75
-;2;9.75;Gabathuler Björn (1998);;13;55.0;1;10.0;-1;0.25;9.0
o;5;18.75;Erb Roger;**;10;55.75;8;17.5;3;-1.25;8.5
+;9;27.25;Studer Mathias;;27;35.5;10;27.0;1;-0.25;10.0
o;8;37.25;Gottofrey Marc;**;11;55.5;10;36.75;2;-0.5;8.5
+;10;45.75;Bruder Adrian;;18;53.75;12;45.25;2;-0.5;9.75

11h;Stoll Simon;;;;;;;;;;55.5
+;;;Schwander Kilian;;;;;;;;10.0
o;1;10.0;Arnold David;;17;54.0;1;10.0;0;0.0;8.5
o;6;18.5;Winiger Fabian;**;18;53.75;8;17.5;2;-1.0;8.5
+;10;27.0;Nyffeler Christoph;*;32;34.25;14;25.75;4;-1.25;10.0
+;9;37.0;Meyer Stefan;;18;53.75;10;36.75;1;-0.25;10.0
o;5;47.0;Klausner Yanick;**;5;57.0;4;47.25;-1;0.25;8.5

11i;Leuthard Reto;*;;;;;;;;;55.5
o;;;Voggensperger Janic (1998);*;;;;;;;8.5
o;5;8.5;Stegmüller Klemens;*;10;55.75;5;8.5;0;0.0;8.5
+;10;17.0;Bieli Andreas;;25;43.75;7;18.25;-3;1.25;10.0
+;10;27.0;Burtschi Michael;;19;53.5;7;28.0;-3;1.0;10.0
o;9;37.0;Brun Samuel (1999);*;7;56.5;11;36.5;2;-0.5;8.5
+;11;45.5;Rohrbach Jérôme (2000);;17;54.0;11;45.5;0;0.0;10.0

11j;Brügger Cyrill (1998);;;;;;;;;;55.5
+;;;Steger Robert (1998);;;;;;;;9.75
+;2;9.75;Gander Michael (1998);;16;54.25;2;9.75;0;0.0;9.75
o;3;19.5;Widmer Tobias;**;11;55.5;7;18.25;4;-1.25;8.5
o;7;28.0;von Arx Christian;*;10;55.75;8;27.5;1;-0.5;8.5
-;11;36.5;Lisser Beat;;18;53.75;12;36.25;1;-0.25;9.0
+;11;45.5;François Cederic;;18;53.75;12;45.25;1;-0.25;10.0

12a;Nussbaumer Gabriel;;;;;;;;;;55.25
o;;;Läuchli Janik (2000);;;;;;;;8.5
+;5;8.5;Tschan Raphael (2000);;33;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Studinger Stephan;**;6;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Eggenschwiler Fabian;;27;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Schmid Samuel;**;13;55.0;10;36.75;1;-0.25;8.5
+;11;45.5;Siegrist Christian;;17;54.0;11;45.5;0;0.0;9.75

12b;Läuchli Janik (2000);;;;;;;;;;55.25
+;;;Nussbaumer Gabriel;;;;;;;;10.0
+;1;10.0;Lisser Beat;;18;53.75;1;10.0;0;0.0;9.75
o;2;19.75;Schillig Willi;**;10;55.75;5;18.75;3;-1.0;8.5
o;6;28.25;Kocher Remo;**;5;57.0;9;27.25;3;-1.0;8.5
o;10;36.75;Scherrer Johann;**;11;55.5;9;37.0;-1;0.25;8.5
+;12;45.25;Vogt Patrick (1999);;19;53.5;13;45.0;1;-0.25;10.0

12c;Büchi Christian;;;;;;;;;;55.25
+;;;Niggli Andreas;;;;;;;;10.0
+;1;10.0;Imobersteg Tobias (1998);;28;35.25;5;8.5;4;-1.5;9.75
o;2;19.75;Gottofrey Marc;**;11;55.5;6;18.5;4;-1.25;8.5
o;6;28.25;Erb Roger;**;10;55.75;9;27.25;3;-1.0;8.5
+;10;36.75;Bieli Andreas;;25;43.75;16;35.25;6;-1.5;10.0
o;6;46.75;Blatter Lorenz;**;3;57.5;3;47.75;-3;1.0;8.5

12d;Kropf Marcel;**;;;;;;;;;55.25
o;;;Gerber Manuel;*;;;;;;;8.5
o;5;8.5;Klausner Yanick;**;5;57.0;4;8.75;-1;0.25;8.5
+;10;17.0;François Cederic;;18;53.75;6;18.5;-4;1.5;10.0
+;10;27.0;Krebs Clemens;;13;55.0;7;28.0;-3;1.0;10.0
o;9;37.0;Zwyssig Raphael;***;9;56.0;13;36.0;4;-1.0;8.5
+;11;45.5;Reimann Marco (1998);;16;54.25;10;45.75;-1;0.25;9.75

13a;Furrer Mathias;;;;;;;;;;55.0
+;;;Imobersteg Tobias (1998);;;;;;;;9.75
+;2;9.75;Niggli Andreas;;28;35.25;5;8.5;3;-1.25;10.0
o;2;19.75;Hauri Urs;**;6;56.75;7;18.25;5;-1.5;8.5
o;6;28.25;Schmutz Adrian;*;10;55.75;9;27.25;3;-1.0;8.5
o;10;36.75;Hügli Kaj;*;9;56.0;8;37.25;-2;0.5;8.5
+;12;45.25;Bieli Andreas;;25;43.75;17;43.75;5;-1.5;9.75

13b;Waldner Patrick;**;;;;;;;;;55.0
o;;;Räbmatter Patrick;**;;;;;;;8.5
o;5;8.5;Schillig Willi;**;10;55.75;4;8.75;-1;0.25;8.5
+;10;17.0;Bearda Samuel;;13;55.0;7;18.25;-3;1.25;9.75
+;11;26.75;Siegrist Christian;;17;54.0;6;28.25;-5;1.5;9.75
+;11;36.5;Seiler Thomas;;14;54.75;11;36.5;0;0.0;10.0
o;7;46.5;Graber Willy;***;7;56.5;7;46.5;0;0.0;8.5

13c;Arnold Kornel;*;;;;;;;;;55.0
-;;;Probst Gabriel;**;;;;;;;8.75
o;4;8.75;Kocher Remo;**;5;57.0;4;8.75;0;0.0;8.5
+;9;17.25;Büttler Gian (2000);;20;53.0;6;18.5;-3;1.25;9.75
+;10;27.0;Gisin Yanic;;18;53.75;7;28.0;-3;1.0;9.75
+;10;36.75;Bruder Adrian;;18;53.75;10;36.75;0;0.0;9.75
o;7;46.5;Zwyssig Raphael;***;9;56.0;9;46.0;2;-0.5;8.5

13d;Gabathuler Björn (1998);;;;;;;;;;55.0
+;;;Mohler Fernando;;;;;;;;10.0
-;1;10.0;Jusufi Azret;;11;55.5;2;9.75;1;-0.25;9.0
o;4;19.0;Schaffner Samuel;**;10;55.75;6;18.5;2;-0.5;8.5
o;8;27.5;Voggensperger Janic (1998);*;2;57.75;7;28.0;-1;0.5;8.5
+;13;36.0;Aerni Lars;;24;44.5;13;36.0;0;0.0;10.0
-;9;46.0;Schär Simon;*;14;54.75;10;45.75;1;-0.25;9.0

13e;Bearda Samuel;;;;;;;;;;55.0
+;;;Fritz Christian;;;;;;;;9.75
o;2;9.75;Dobler Florian;;13;55.0;2;9.75;0;0.0;8.5
o;7;18.25;Waldner Patrick;**;13;55.0;10;17.0;3;-1.25;8.5
+;11;26.75;Wittmer Lukas;;27;35.5;10;27.0;-1;0.25;9.75
+;11;36.5;Burtschi Michael;;19;53.5;11;36.5;0;0.0;10.0
