3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
+;11;37.0;Eﬃnger Peter;;13;55.5;11;37.0;0;0.0;10.0
o;9;47.0;Suppiger Martin;***;8;56.75;9;47.0;0;0.0;8.5

13b;Gwerder Carlo;**;;;;;;;;;55.5
-;;;Britschgi Melk;**;;;;;;;8.75
o;6;8.75;Fankhauser Reto;**;11;56.0;6;8.75;0;0.0;8.5
+;12;17.25;Lemmenmeier Lukas;;33;35.75;8;18.5;-4;1.25;9.75
+;13;27.0;Heiniger Luca (1998);;19;54.0;13;27.0;0;0.0;10.0
-;11;37.0;Clopath Beat;***;16;54.75;15;36.0;4;-1.0;8.75
+;14;45.75;Barmettler Peter;*;18;54.25;14;45.75;0;0.0;9.75

13c;Eﬃnger Peter;;;;;;;;;;55.5
+;;;Würsch Lars;;;;;;;;9.75
-;4;9.75;Doppmann Urs;;32;37.5;3;10.0;-1;0.25;9.0
+;7;18.75;Achermann Christoph;*;15;55.0;9;18.25;2;-0.5;9.75
o;7;28.5;Bürli Roger;*;8;56.75;8;28.25;1;-0.25;8.5
o;11;37.0;Briker Michael;*;13;55.5;11;37.0;0;0.0;8.75
+;14;45.75;Scherer Niklaus;;17;54.5;14;45.75;0;0.0;9.75

13d;Schürpf Bruno;;;;;;;;;;55.5
-;;;Andermatt Adrian;;;;;;;;8.75
+;6;8.75;Imfeld Beat;;42;26.0;6;8.75;0;0.0;9.75
-;8;18.5;Waser Dominik;**;10;56.25;10;17.75;2;-0.75;8.75
+;12;27.25;Graber Michael;*;17;54.5;12;27.25;0;0.0;9.75
o;11;37.0;Scheidegger Philipp;**;12;55.75;11;37.0;0;0.0;8.5
+;15;45.5;Würsch Lars;;20;53.75;16;45.25;1;-0.25;10.0

13e;Heinzer Ronny;;;;;;;;;;55.5
-;;;Arnold Fabian;;;;;;;;8.75
o;6;8.75;Lemmenmeier Lukas;;33;35.75;6;8.75;0;0.0;8.5
+;12;17.25;Herger Simon;;37;34.75;12;17.25;0;0.0;10.0
o;12;27.25;Omlin Toni;*;15;55.0;14;26.75;2;-0.5;8.5
+;16;35.75;Heiniger Marco;*;24;52.75;17;35.5;1;-0.25;10.0
+;14;45.75;Fellmann Roman;*;19;54.0;15;45.5;1;-0.25;9.75

13f;Betschart Rainer;**;;;;;;;;;55.5
+;;;Imboden Roger;**;;;;;;;10.0
o;3;10.0;Fankhauser Erich;***;6;57.5;4;9.75;1;-0.25;8.5
+;8;18.5;Scherer Niklaus;;17;54.5;3;20.0;-5;1.5;10.0
+;7;28.5;Hirsiger Alexander;;18;54.25;8;28.25;1;-0.25;9.75
o;7;38.25;Sempach Thomas;***;7;57.0;10;37.25;3;-1.0;8.5
-;10;46.75;Rohrer Marco;**;15;55.0;12;46.25;2;-0.5;8.75

13g;Egli Manuel;*;;;;;;;;;55.5
+;;;Theiler Beat;*;;;;;;;9.75
o;4;9.75;Clopath Beat;***;16;54.75;7;8.5;3;-1.25;8.5
+;9;18.25;Beffa Mario;;16;54.75;8;18.5;-1;0.25;9.75
+;9;28.0;Ulrich Marco;;17;54.5;7;28.5;-2;0.5;10.0
-;8;38.0;Nötzli Reto;***;11;56.0;10;37.25;2;-0.75;8.75
-;10;46.75;Wyrsch Marco;*;13;55.5;10;46.75;0;0.0;8.75

13h;Hasler Florian;**;;;;;;;;;55.5
-;;;Waser Dominik;**;;;;;;;8.75
+;6;8.75;Fellmann Roman;*;19;54.0;4;9.75;-2;1.0;9.75
+;8;18.5;Hurschler Adrian;;24;52.75;8;18.5;0;0.0;9.75
-;8;28.25;Gerber Christian;**;13;55.5;10;27.75;2;-0.5;8.75
+;11;37.0;Betschart Marcel;;17;54.5;9;37.5;-2;0.5;10.0
o;9;47.0;Fankhauser Erich;***;6;57.5;7;47.5;-2;0.5;8.5

13i;Gerber Christian;**;;;;;;;;;55.5
-;;;Schurtenberger Sven;**;;;;;;;8.75
+;6;8.75;Egli David;*;19;54.0;4;9.75;-2;1.0;10.0
-;7;18.75;Schelbert Ralf;**;7;57.0;4;19.75;-3;1.0;9.0
-;10;27.75;Hasler Florian;**;13;55.5;8;28.25;-2;0.5;8.75
+;13;36.5;Küttel Pirmin;**;14;55.25;12;36.75;-1;0.25;10.0
-;11;46.5;Scheidegger Philipp;**;12;55.75;10;46.75;-1;0.25;9.0

13j;Gloggner Philipp;***;;;;;;;;;55.5
-;;;Gasser Stefan;**;;;;;;;8.75
-;6;8.75;Zemp Thomas;*;15;55.0;4;9.75;-2;1.0;8.75
+;11;17.5;Bürgler André;*;17;54.5;8;18.5;-3;1.0;10.0
+;11;27.5;Bircher Vital;*;22;53.25;12;27.25;1;-0.25;10.0
-;9;37.5;Rohrer Ivan;*;11;56.0;7;38.25;-2;0.75;9.0
-;11;46.5;Schmid David;**;14;55.25;12;46.25;1;-0.25;9.0

13k;Portmann Josef;*;;;;;;;;;55.5
-;;;Kennel Beat;*;;;;;;;8.75
+;6;8.75;Kenel Franz-Toni;*;37;34.75;5;9.0;-1;0.25;9.75
-;8;18.5;Hurschler Thomas;**;12;55.75;7;18.75;-1;0.25;8.75
o;12;27.25;Gasser Stefan;**;10;56.25;12;27.25;0;0.0;8.5
+;16;35.75;von Flüe Marco;;19;54.0;16;35.75;0;0.0;9.75
+;15;45.5;Bürgler Lukas;*;19;54.0;15;45.5;0;0.0;10.0

13l;Wyrsch Marco;*;;;;;;;;;55.5
o;;;Achermann Christoph;*;;;;;;;8.5
+;7;8.5;Muff André;*;18;54.25;6;8.75;-1;0.25;10.0
o;8;18.5;Suppiger Werner;**;10;56.25;7;18.75;-1;0.25;8.5
+;13;27.0;Hurschler Michael;;35;35.25;14;26.75;1;-0.25;10.0
+;11;37.0;Bisig Thomas;**;17;54.5;11;37.0;0;0.0;9.75
-;10;46.75;Egli Manuel;*;13;55.5;10;46.75;0;0.0;8.75

14a;Schmid David;**;;;;;;;;;55.25
-;;;Steinauer Adrian;**;;;;;;;8.75
-;6;8.75;Müller Michael;**;12;55.75;3;10.0;-3;1.25;8.75
-;11;17.5;Kälin Roland;**;16;54.75;7;18.75;-4;1.25;8.75
+;16;26.25;Kempf Damian;;34;35.5;13;27.0;-3;0.75;10.0
+;14;36.25;Suppiger Thomas;;15;55.0;13;36.5;-1;0.25;10.0
-;12;46.25;Gloggner Philipp;***;13;55.5;11;46.5;-1;0.25;9.0

14b;Heinzer Josef;;;;;;;;;;55.25
+;;;von Ah Markus;;;;;;;;9.75
+;4;9.75;Scheuber Stefan;;35;35.25;4;9.75;0;0.0;10.0
o;4;19.75;Zimmermann Simon;*;9;56.5;8;18.5;4;-1.25;8.5
o;8;28.25;Vogel Remo;*;10;56.25;7;28.5;-1;0.25;8.5
o;12;36.75;Suppiger Martin;***;8;56.75;11;37.0;-1;0.25;8.5
+;16;45.25;Müller Roger;;19;54.0;15;45.5;-1;0.25;10.0

14c;Borcard Johann;**;;;;;;;;;55.25
-;;;Wicki Joel;**;;;;;;;8.75
+;6;8.75;Lang Sven (1998);*;15;55.0;3;10.0;-3;1.25;9.75
+;8;18.5;Ulrich Marco;;17;54.5;4;19.75;-4;1.25;9.75
+;8;28.25;Arnold Stefan;**;8;56.75;7;28.5;-1;0.25;9.75
-;8;38.0;Nötzli Bruno;***;12;55.75;10;37.25;2;-0.75;8.75
o;10;46.75;Grab Martin;***;9;56.5;11;46.5;1;-0.25;8.5

14d;Imboden Roger;**;;;;;;;;;55.25
o;;;Betschart Rainer;**;;;;;;;8.5
o;7;8.5;Murer Andy;*;17;54.5;6;8.75;-1;0.25;8.5
+;13;17.0;Hurschler Michael;;35;35.25;9;18.25;-4;1.25;10.0
-;13;27.0;Vonlaufen Lukas;*;36;35.0;16;26.25;3;-0.75;8.75
+;16;35.75;Suter Beat;;29;44.75;14;36.25;-2;0.5;9.75
+;15;45.5;Betschart Silvan;*;19;54.0;15;45.5;0;0.0;9.75

14e;Hösli Fritz;*;;;;;;;;;55.25
o;;;Vogel Remo;*;;;;;;;8.5
-;7;8.5;Scheidegger Philipp;**;12;55.75;6;8.75;-1;0.25;8.75
-;12;17.25;Rohrer Beat;*;18;54.25;12;17.25;0;0.0;8.75
+;17;26.0;Gander Adrian;*;38;34.5;17;26.0;0;0.0;9.75
+;16;35.75;Stadelmann Ron;;19;54.0;16;35.75;0;0.0;9.75
+;15;45.5;Egli David;*;19;54.0;15;45.5;0;0.0;9.75

14f;Betschart Patrick (1999);;;;;;;;;;55.25
+;;;Hurschler Michael;;;;;;;;10.0
o;3;10.0;Wicki Patrick;;19;54.0;3;10.0;0;0.0;8.5
o;8;18.5;Rohrer Ivan;*;11;56.0;8;18.5;0;0.0;8.5
o;13;27.0;Arnold Raphael;*;12;55.75;13;27.0;0;0.0;8.5
+;17;35.5;Felder Martin;;19;54.0;17;35.5;0;0.0;10.0
+;15;45.5;Kaech Frank;*;22;53.25;18;44.75;3;-0.75;9.75

14g;Elsener Manuel;;;;;;;;;;55.25
+;;;Stadelmann Ron;;;;;;;;10.0
+;3;10.0;Bieri Elias;;25;52.5;3;10.0;0;0.0;10.0
o;3;20.0;Brun Jonas;**;7;57.0;7;18.75;4;-1.25;8.5
o;7;28.5;Gwerder Guido;**;10;56.25;12;27.25;5;-1.25;8.5
+;11;37.0;Schürpf Guido;;20;53.75;14;36.25;3;-0.75;9.75
o;10;46.75;Bürli Roger;*;8;56.75;10;46.75;0;0.0;8.5

14h;Schöpfer Thomas;*;;;;;;;;;55.25
+;;;Reichmuth Marco;*;;;;;;;9.75
-;4;9.75;Britschgi Melk;**;17;54.5;6;8.75;2;-1.0;8.75
+;8;18.5;Nauer Robin;;19;54.0;8;18.5;0;0.0;9.75
o;8;28.25;Ulrich Andreas;***;7;57.0;8;28.25;0;0.0;8.5
+;12;36.75;Kälin Remo;*;18;54.25;12;36.75;0;0.0;9.75
o;11;46.5;Kennel Stefan;*;26;48.5;4;48.5;-7;2.0;8.75

14i;Gwerder Michael (2000);;;;;;;;;;55.25
+;;;Wallimann Remo;;;;;;;;9.75
-;4;9.75;Schöpfer Ronny (1999);;16;54.75;3;10.0;-1;0.25;9.0
+;7;18.75;Lang Sven (1998);*;15;55.0;7;18.75;0;0.0;9.75
o;7;28.5;Hess Dominik;*;15;55.0;11;27.5;4;-1.0;8.5
+;11;37.0;Käslin Benno;*;19;54.0;13;36.5;2;-0.5;9.75
o;10;46.75;Reichmuth Marco;*;10;56.25;12;46.25;2;-0.5;8.5

14j;Küttel Pirmin;**;;;;;;;;;55.25
o;;;Brun Jonas;**;;;;;;;8.5
+;7;8.5;Herger Fabian;*;35;35.25;7;8.5;0;0.0;9.75
-;9;18.25;Vonlaufen Lukas;*;36;35.0;11;17.5;2;-0.75;8.75
+;13;27.0;Odermatt Christian;**;15;55.0;13;27.0;0;0.0;9.75
o;12;36.75;Gerber Christian;**;13;55.5;13;36.5;1;-0.25;8.5
+;16;45.25;Wicki Patrick;;19;54.0;15;45.5;-1;0.25;10.0

15a;Zemp Thomas;*;;;;;;;;;55.0
+;;;Gander Adrian;*;;;;;;;9.75
-;4;9.75;Gloggner Philipp;***;13;55.5;6;8.75;2;-1.0;8.75
+;8;18.5;Jund Matthias (1999);;24;52.75;8;18.5;0;0.0;10.0
-;7;28.5;Egli Pirmin;**;12;55.75;8;28.25;1;-0.25;9.0
o;9;37.5;Arnold Stefan;**;8;56.75;10;37.25;1;-0.25;8.5
-;13;46.0;Linggi Bruno;**;12;55.75;10;46.75;-3;0.75;9.0

15b;Achermann Christoph;*;;;;;;;;;55.0
+;;;Wyrsch Marco;*;;;;;;;9.75
o;4;9.75;Mathis Marcel;***;11;56.0;6;8.75;2;-1.0;8.5
o;9;18.25;Eﬃnger Peter;;13;55.5;7;18.75;-2;0.5;8.5
+;14;26.75;Lussi Marco;*;37;34.75;16;26.25;2;-0.5;10.0
o;12;36.75;Kempf Elias;**;15;55.0;12;36.75;0;0.0;8.5
+;16;45.25;Schelbert Roman;;22;53.25;18;44.75;2;-0.5;9.75

15c;Höﬂiger Andreas;**;;;;;;;;;55.0
-;;;Odermatt Christian;**;;;;;;;8.75
+;6;8.75;Omlin Toni;*;15;55.0;7;8.5;1;-0.25;9.75
+;8;18.5;Dober Adrian;*;11;56.0;7;18.75;-1;0.25;9.75
+;8;28.25;Doppmann Urs;;32;37.5;5;29.0;-3;0.75;9.75
o;8;38.0;Gapany Benjamin;**;9;56.5;8;38.0;0;0.0;8.5
o;11;46.5;Wicki Joel;**;7;57.0;9;47.0;-2;0.5;8.5

15d;Hess Dominik;*;;;;;;;;;55.0
-;;;Suter Paul;*;;;;;;;9.0
+;5;9.0;Heiniger Marco;*;24;52.75;6;8.75;1;-0.25;10.0
o;6;19.0;Nötzli Reto;***;11;56.0;9;18.25;3;-0.75;8.5
+;11;27.5;Gwerder Michael (2000);;14;55.25;7;28.5;-4;1.0;10.0
o;9;37.5;Schuler Philipp;**;11;56.0;9;37.5;0;0.0;8.5
-;13;46.0;Lang Sven (1998);*;15;55.0;13;46.0;0;0.0;9.0

15e;Lang Sven (1998);*;;;;;;;;;55.0
+;;;Baumann Roger;*;;;;;;;10.0
o;3;10.0;Borcard Johann;**;14;55.25;6;8.75;3;-1.25;8.75
o;7;18.75;Gwerder Michael (2000);;14;55.25;7;18.75;0;0.0;8.75
o;11;27.5;Heinzer Stefan;*;2;100.25;2;53.25;-9;25.75;8.5
+;15;36.0;Bürgi Reto;*;18;54.25;15;36.0;0;0.0;10.0
-;13;46.0;Hess Dominik;*;15;55.0;13;46.0;0;0.0;9.0

15f;Omlin Toni;*;;;;;;;;;55.0
o;;;Villiger Cyrill;*;;;;;;;8.5
o;7;8.5;Höﬂiger Andreas;**;15;55.0;6;8.75;-1;0.25;8.5
+;13;17.0;Zimmermann Daniel;*;22;53.25;11;17.5;-2;0.5;9.75
+;14;26.75;Heinzer Ronny;;13;55.5;12;27.25;-2;0.5;9.75
-;13;36.5;Gloggner Hansjörg;***;17;54.5;12;36.75;-1;0.25;8.75
+;16;45.25;Nauer Robin;;19;54.0;15;45.5;-1;0.25;9.75

15g;Kempf Elias;**;;;;;;;;;55.0
-;;;Stöckli Stefan;**;;;;;;;8.75
+;6;8.75;Binggeli Stefan;*;16;54.75;3;10.0;-3;1.25;9.75
+;8;18.5;Andermatt Adrian;;24;52.75;8;18.5;0;0.0;9.75
o;8;28.25;Grab Martin;***;9;56.5;8;28.25;0;0.0;8.5
+;12;36.75;Achermann Christoph;*;15;55.0;12;36.75;0;0.0;9.75
o;11;46.5;Gwerder Guido;**;10;56.25;12;46.25;1;-0.25;8.5

15h;Suppiger Thomas;;;;;;;;;;55.0
-;;;Moos Christoph;;;;;;;;8.75
+;6;8.75;Würsch Lars;;20;53.75;7;8.5;1;-0.25;9.75
-;8;18.5;Bircher Vital;*;22;53.25;9;18.25;1;-0.25;9.0
-;11;27.5;Bernhard Lukas;*;16;54.75;12;27.25;1;-0.25;9.0
o;13;36.5;Schmid David;**;14;55.25;14;36.25;1;-0.25;8.5
+;17;45.0;Arnold Fabian;;20;53.75;16;45.25;-1;0.25;10.0

15i;Odermatt Christian;**;;;;;;;;;55.0
-;;;Höﬂiger Andreas;**;;;;;;;8.75
o;6;8.75;Waser Reto;*;16;54.75;7;8.5;1;-0.25;8.5
+;12;17.25;Stadelmann Pius;*;22;53.25;11;17.5;-1;0.25;9.75
o;13;27.0;Küttel Pirmin;**;14;55.25;13;27.0;0;0.0;8.5
+;17;35.5;Widmer Thomas;;18;54.25;16;35.75;-1;0.25;9.75
+;16;45.25;Fink Bruno;*;19;54.0;15;45.5;-1;0.25;9.75

15j;Rohrer Marco;**;;;;;;;;;55.0
-;;;Fankhauser Reto;**;;;;;;;8.75
+;6;8.75;Suter Paul;*;41;27.25;5;9.0;-1;0.25;10.0
-;7;18.75;Clopath Beat;***;16;54.75;8;18.5;1;-0.25;8.75
+;11;27.5;Bürgi Tobias;;18;54.25;8;28.25;-3;0.75;9.75
-;10;37.25;Kälin Roland;**;16;54.75;10;37.25;0;0.0;9.0
-;12;46.25;Betschart Rainer;**;13;55.5;10;46.75;-2;0.5;8.75

16a;Bernhard Lukas;*;;;;;;;;;54.75
-;;;Muff Armin;**;;;;;;;8.75
-;6;8.75;Betschart Remo;**;35;35.25;6;8.75;0;0.0;8.75
+;11;17.5;Kaech Frank;*;22;53.25;11;17.5;0;0.0;9.75
-;12;27.25;Suppiger Thomas;;15;55.0;11;27.5;-1;0.25;9.0
o;14;36.25;Schöpfer Ronny (1999);;16;54.75;14;36.25;0;0.0;8.5
+;18;44.75;Bircher Vital;*;22;53.25;19;44.5;1;-0.25;10.0

16b;Ambühl Joel (1998);*;;;;;;;;;54.75
+;;;Amgarten Martin;*;;;;;;;10.0
o;3;10.0;Gapany Benjamin;**;9;56.5;7;8.5;4;-1.5;8.5
-;8;18.5;Betschart Remo;**;35;35.25;11;17.5;3;-1.0;9.0
+;11;27.5;Schelbert Roman;;22;53.25;10;27.75;-1;0.25;10.0
-;9;37.5;Villiger Cyrill;*;17;54.5;10;37.25;1;-0.25;8.75
o;12;46.25;Gasser Stefan;**;10;56.25;12;46.25;0;0.0;8.5

16c;Binggeli Stefan;*;;;;;;;;;54.75
+;;;Fassbind René;*;;;;;;;10.0
o;3;10.0;Kempf Elias;**;15;55.0;6;8.75;3;-1.25;8.5
-;8;18.5;Reichmuth Armin;*;16;54.75;8;18.5;0;0.0;8.75
+;12;27.25;Widmer Thomas;;18;54.25;12;27.25;0;0.0;9.75
-;11;37.0;Bürgler André;*;17;54.5;11;37.0;0;0.0;8.75
-;14;45.75;Diener Pirmin;*;16;54.75;14;45.75;0;0.0;9.0

16d;Waser Reto;*;;;;;;;;;54.75
o;;;Fink Bruno;*;;;;;;;8.5
+;7;8.5;Odermatt Christian;**;15;55.0;6;8.75;-1;0.25;10.0
o;8;18.5;Müller Michael;**;12;55.75;7;18.75;-1;0.25;8.5
-;13;27.0;Bättig Martin;*;19;54.0;12;27.25;-1;0.25;9.0
+;15;36.0;Bachmann Adrian;;24;52.75;16;35.75;1;-0.25;10.0
o;13;46.0;Egli Pirmin;**;12;55.75;13;46.0;0;0.0;8.75

16e;Reichmuth Armin;*;;;;;;;;;54.75
o;;;Briker Michael;*;;;;;;;8.75
+;6;8.75;Arnold Severin;*;39;34.25;6;8.75;0;0.0;9.75
-;8;18.5;Binggeli Stefan;*;16;54.75;8;18.5;0;0.0;8.75
+;12;27.25;Bachmann Adrian;;24;52.75;12;27.25;0;0.0;10.0
-;10;37.25;Stöckli Stefan;**;10;56.25;9;37.5;-1;0.25;8.75
-;13;46.0;Bürgler André;*;17;54.5;14;45.75;1;-0.25;8.75

16f;Clopath Beat;***;;;;;;;;;54.75
o;;;Schuler Christian;***;;;;;;;8.5
+;7;8.5;Egli Manuel;*;13;55.5;4;9.75;-3;1.25;10.0
-;8;18.5;Rohrer Marco;**;15;55.0;7;18.75;-1;0.25;8.75
-;12;27.25;Bieri Christian;*;11;56.0;12;27.25;0;0.0;8.75
-;15;36.0;Gwerder Carlo;**;13;55.5;11;37.0;-4;1.0;8.75
+;18;44.75;Koch Roger;*;19;54.0;15;45.5;-3;0.75;10.0

16g;Kälin Roland;**;;;;;;;;;54.75
-;;;Schärli Lukas;**;;;;;;;8.75
+;6;8.75;Rohrer Beat;*;18;54.25;6;8.75;0;0.0;10.0
-;7;18.75;Schmid David;**;14;55.25;11;17.5;4;-1.25;8.75
+;11;27.5;Thierstein Marco;;17;54.5;8;28.25;-3;0.75;9.75
-;10;37.25;Rohrer Marco;**;15;55.0;10;37.25;0;0.0;9.0
o;12;46.25;Arnold Stefan;**;8;56.75;9;47.0;-3;0.75;8.5

16h;Beffa Mario;;;;;;;;;;54.75
o;;;Schöpfer Ronny (1999);;;;;;;;8.5
+;7;8.5;Ming Christian;;28;45.25;6;8.75;-1;0.25;10.0
o;8;18.5;Egli Manuel;*;13;55.5;9;18.25;1;-0.25;8.5
+;13;27.0;Müller Toni;*;18;54.25;12;27.25;-1;0.25;10.0
-;11;37.0;Fässler Dominic;*;21;53.5;15;36.0;4;-1.0;8.75
-;14;45.75;Zimmermann Martin;*;1;108.5;1;90.75;-13;45.0;9.0

16i;Schöpfer Ronny (1999);;;;;;;;;;54.75
+;;;Beffa Mario;;;;;;;;10.0
-;3;10.0;Gwerder Michael (2000);;14;55.25;4;9.75;1;-0.25;9.0
o;6;19.0;Gapany Benjamin;**;9;56.5;8;18.5;2;-0.5;8.5
o;11;27.5;Gwerder Christian;**;12;55.75;12;27.25;1;-0.25;8.75
+;14;36.25;Bernhard Lukas;*;16;54.75;14;36.25;0;0.0;10.0
o;12;46.25;Schelbert Ralf;**;7;57.0;9;47.0;-3;0.75;8.5

16j;Diener Pirmin;*;;;;;;;;;54.75
-;;;Bürgi Reto;*;;;;;;;8.75
o;6;8.75;Graber Michael;*;17;54.5;6;8.75;0;0.0;8.5
+;12;17.25;Vogler Daniel;*;40;34.0;13;17.0;1;-0.25;10.0
+;12;27.25;Imfeld Peter;***;17;54.5;12;27.25;0;0.0;9.75
-;11;37.0;Hirsiger Alexander;;18;54.25;12;36.75;1;-0.25;8.75
-;14;45.75;Binggeli Stefan;*;16;54.75;14;45.75;0;0.0;9.0

17a;Ulrich Marco;;;;;;;;;;54.5
+;;;Felder Martin;;;;;;;;10.0
+;3;10.0;Stadelmann Pius;*;22;53.25;5;9.0;2;-1.0;9.75
o;4;19.75;Borcard Johann;**;14;55.25;8;18.5;4;-1.25;8.75
o;7;28.5;Egli Manuel;*;13;55.5;9;28.0;2;-0.5;8.5
-;11;37.0;Thierstein Marco;;17;54.5;12;36.75;1;-0.25;9.0
o;13;46.0;Odermatt Andreas;*;12;55.75;14;45.75;1;-0.25;8.5

17b;Imfeld Peter;***;;;;;;;;;54.5
o;;;Müllestein Mike;**;;;;;;;8.75
+;6;8.75;Villiger Cyrill;*;17;54.5;3;10.0;-3;1.25;9.75
-;8;18.5;Stöckli Stefan;**;10;56.25;7;18.75;-1;0.25;8.75
o;12;27.25;Diener Pirmin;*;16;54.75;12;27.25;0;0.0;8.75
+;15;36.0;Schärli Pius;*;21;53.5;14;36.25;-1;0.25;9.75
-;14;45.75;Gloggner Hansjörg;***;17;54.5;14;45.75;0;0.0;8.75

17c;Thierstein Marco;;;;;;;;;;54.5
+;;;Bucher Thomas;;;;;;;;9.75
+;4;9.75;Arnold Marcel;;20;53.75;4;9.75;0;0.0;10.0
o;4;19.75;Villiger Cyrill;*;17;54.5;8;18.5;4;-1.25;8.5
o;8;28.25;Kälin Roland;**;16;54.75;11;27.5;3;-0.75;8.5
-;12;36.75;Ulrich Marco;;17;54.5;11;37.0;-1;0.25;9.0
o;14;45.75;Inderbitzin Daniel;*;12;55.75;14;45.75;0;0.0;8.75

17d;Kennel Beat;*;;;;;;;;;54.5
-;;;Portmann Josef;*;;;;;;;8.75
-;6;8.75;Odermatt Andreas;*;12;55.75;6;8.75;0;0.0;8.75
-;11;17.5;Odermatt Remo;*;36;35.0;11;17.5;0;0.0;8.75
+;16;26.25;Fessler Linus;;37;34.75;16;26.25;0;0.0;9.75
+;15;36.0;Kurmann Toni (1998);;23;53.0;15;36.0;0;0.0;10.0
o;13;46.0;Stöckli Stefan;**;10;56.25;12;46.25;-1;0.25;8.5

17e;Scherer Niklaus;;;;;;;;;;54.5
+;;;Zumstein Patrick;;;;;;;;10.0
+;3;10.0;Bucher Christian (1998);;18;54.25;4;9.75;1;-0.25;10.0
o;3;20.0;Betschart Rainer;**;13;55.5;8;18.5;5;-1.5;8.5
-;7;28.5;Bürgler Lukas;*;19;54.0;9;28.0;2;-0.5;8.75
o;10;37.25;Zimmermann Simon;*;9;56.5;11;37.0;1;-0.25;8.5
o;14;45.75;Eﬃnger Peter;;13;55.5;14;45.75;0;0.0;8.75

17f;Murer Andy;*;;;;;;;;;54.5
-;;;Heinzer Stefan;*;;;;;;;8.75
+;6;8.75;Imboden Roger;**;14;55.25;7;8.5;1;-0.25;9.75
o;8;18.5;Egli Pirmin;**;12;55.75;8;18.5;0;0.0;8.5
-;13;27.0;Fässler Dominic;*;21;53.5;12;27.25;-1;0.25;8.75
-;16;35.75;Baumann Lukas;;22;53.25;15;36.0;-1;0.25;8.75
+;19;44.5;Zgraggen Fabian;*;23;53.0;19;44.5;0;0.0;10.0

17g;Gloggner Hansjörg;***;;;;;;;;;54.5
o;;;Nötzli Bruno;***;;;;;;;8.5
o;7;8.5;Bürgler Lukas;*;19;54.0;4;9.75;-3;1.25;8.5
+;13;17.0;Kessler Joel;*;18;54.25;9;18.25;-4;1.25;9.75
+;14;26.75;Betschart Remo;**;35;35.25;15;26.5;1;-0.25;10.0
-;12;36.75;Omlin Toni;*;15;55.0;13;36.5;1;-0.25;9.0
-;14;45.75;Imfeld Peter;***;17;54.5;14;45.75;0;0.0;8.75

17h;Bisig Thomas;**;;;;;;;;;54.5
+;;;Gassmann Fabian;**;;;;;;;10.0
-;3;10.0;Gasser Stefan;**;10;56.25;6;8.75;3;-1.25;8.75
o;7;18.75;Fankhauser Reto;**;11;56.0;8;18.5;1;-0.25;8.5
+;12;27.25;Andermatt Adrian;;24;52.75;13;27.0;1;-0.25;9.75
o;11;37.0;Wyrsch Marco;*;13;55.5;11;37.0;0;0.0;8.75
o;14;45.75;Waser Dominik;**;10;56.25;12;46.25;-2;0.5;8.75

17i;Betschart Marcel;;;;;;;;;;54.5
+;;;Durrer Robin;;;;;;;;10.0
+;3;10.0;Hirsiger Alexander;;18;54.25;4;9.75;1;-0.25;10.0
-;3;20.0;Käslin Benno;*;19;54.0;7;18.75;4;-1.25;9.0
o;5;29.0;Linggi Bruno;**;12;55.75;8;28.25;3;-0.75;8.5
o;9;37.5;Hasler Florian;**;13;55.5;11;37.0;2;-0.5;8.5
o;13;46.0;Dober Adrian;*;11;56.0;13;46.0;0;0.0;8.5

17j;Keller Janik;;;;;;;;;;54.5
-;;;von Flüe Marco;;;;;;;;8.75
-;6;8.75;Gander Martin;;38;34.5;7;8.5;1;-0.25;8.75
-;11;17.5;Durrer Nando (1999);;37;34.75;12;17.25;1;-0.25;9.0
+;15;26.5;Scherer Adrian;*;39;34.25;18;25.75;3;-0.75;9.75
o;14;36.25;Fink Bruno;*;19;54.0;16;35.75;2;-0.5;8.5
+;18;44.75;Kurmann Toni (1998);;23;53.0;19;44.5;1;-0.25;9.75

17k;Villiger Cyrill;*;;;;;;;;;54.5
+;;;Omlin Toni;*;;;;;;;10.0
o;3;10.0;Imfeld Peter;***;17;54.5;6;8.75;3;-1.25;8.5
+;8;18.5;Thierstein Marco;;17;54.5;4;19.75;-4;1.25;10.0
-;7;28.5;Suppiger Martin;***;8;56.75;8;28.25;1;-0.25;8.75
-;10;37.25;Ambühl Joel (1998);*;16;54.75;9;37.5;-1;0.25;8.75
o;13;46.0;Bieri Christian;*;11;56.0;13;46.0;0;0.0;8.5

17l;Wallimann Remo;;;;;;;;;;54.5
o;;;Gwerder Michael (2000);;;;;;;;8.5
-;7;8.5;Suter Pirmin;;23;53.0;7;8.5;0;0.0;8.75
-;12;17.25;Lang Julian (1998);;37;34.75;11;17.5;-1;0.25;8.75
+;17;26.0;Gwerder Andreas;*;37;34.75;17;26.0;0;0.0;10.0
o;15;36.0;Muff Armin;**;17;54.5;15;36.0;0;0.0;8.5
+;19;44.5;Bachmann Adrian;;24;52.75;20;44.25;1;-0.25;10.0

17m;Graber Michael;*;;;;;;;;;54.5
-;;;Gassmann Michael;*;;;;;;;8.75
+;6;8.75;Diener Pirmin;*;16;54.75;6;8.75;0;0.0;9.75
