3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
+;8;47.25;Hurschler Thomas;**;12;55.75;8;47.25;0;0.0;9.75

7b;Schelbert Ralf;**;;;;;;;;;57.0
+;;;Suppiger Martin;***;;;;;;;9.75
+;4;9.75;Felder Seppi;*;12;55.75;4;9.75;0;0.0;10.0
-;4;19.75;Gerber Christian;**;13;55.5;7;18.75;3;-1.0;9.0
+;6;28.75;Briker Michael;*;13;55.5;7;28.5;1;-0.25;9.75
o;6;38.5;Imhof Andi;***;5;58.0;7;38.25;1;-0.25;8.5
+;9;47.0;Schöpfer Ronny (1999);;16;54.75;12;46.25;3;-0.75;10.0

7c;Brun Jonas;**;;;;;;;;;57.0
+;;;Küttel Pirmin;**;;;;;;;10.0
-;3;10.0;Nötzli Bruno;***;12;55.75;3;10.0;0;0.0;8.75
+;7;18.75;Elsener Manuel;;14;55.25;3;20.0;-4;1.25;9.75
+;7;28.5;Nietlispach Pascal;**;12;55.75;8;28.25;1;-0.25;10.0
+;6;38.5;Grab Martin;***;9;56.5;8;38.0;2;-0.5;10.0
o;4;48.5;Imhof Andi;***;5;58.0;5;48.25;1;-0.25;8.5

7d;Wicki Joel;**;;;;;;;;;57.0
-;;;Borcard Johann;**;;;;;;;9.0
+;5;9.0;Gwerder Dario;*;8;56.75;3;10.0;-2;1.0;10.0
+;6;19.0;Gwerder Guido;**;10;56.25;7;18.75;1;-0.25;9.75
+;6;28.75;Sempach Thomas;***;7;57.0;7;28.5;1;-0.25;9.75
o;6;38.5;Müllestein Mike;**;6;57.5;4;39.0;-2;0.5;8.5
+;9;47.0;Höﬂiger Andreas;**;15;55.0;11;46.5;2;-0.5;10.0

7e;Ulrich Andreas;***;;;;;;;;;57.0
-;;;Forrer Arnold;***;;;;;;;8.75
+;6;8.75;Käslin Benno;*;19;54.0;3;10.0;-3;1.25;9.75
+;8;18.5;Muff Armin;**;17;54.5;7;18.75;-1;0.25;9.75
+;8;28.25;Schöpfer Thomas;*;14;55.25;8;28.25;0;0.0;10.0
-;7;38.25;Vogel Remo;*;10;56.25;6;38.5;-1;0.25;8.75
+;9;47.0;Fankhauser Reto;**;11;56.0;7;47.5;-2;0.5;10.0

8a;Bürli Roger;*;;;;;;;;;56.75
+;;;Heinzer Stefan;*;;;;;;;9.75
+;4;9.75;Stalder Remo;***;8;56.75;7;8.5;3;-1.25;10.0
o;4;19.75;Imhof Andi;***;5;58.0;4;19.75;0;0.0;8.5
+;8;28.25;Eﬃnger Peter;;13;55.5;7;28.5;-1;0.25;10.0
o;7;38.25;Schuler Alex;**;6;57.5;9;37.5;2;-0.75;8.5
+;10;46.75;Elsener Manuel;;14;55.25;10;46.75;0;0.0;10.0

8b;Stalder Remo;***;;;;;;;;;56.75
o;;;Imhof Andi;***;;;;;;;8.5
o;7;8.5;Bürli Roger;*;8;56.75;4;9.75;-3;1.25;8.75
+;12;17.25;Grab Daniel;**;31;44.25;9;18.25;-3;1.0;10.0
+;12;27.25;Arnold Andreas;*;18;54.25;13;27.0;1;-0.25;9.75
+;11;37.0;Inderbitzin Daniel;*;12;55.75;10;37.25;-1;0.25;10.0
+;9;47.0;Schuler Philipp;**;11;56.0;7;47.5;-2;0.5;9.75

8c;Arnold Stefan;**;;;;;;;;;56.75
+;;;Linggi Bruno;**;;;;;;;10.0
o;3;10.0;Sempach Thomas;***;7;57.0;6;8.75;3;-1.25;8.5
+;8;18.5;Wicki Patrick;;19;54.0;4;19.75;-4;1.25;10.0
o;7;28.5;Borcard Johann;**;14;55.25;8;28.25;1;-0.25;8.75
+;10;37.25;Zemp Thomas;*;15;55.0;9;37.5;-1;0.25;9.75
+;9;47.0;Kälin Roland;**;16;54.75;12;46.25;3;-0.75;9.75

8d;Gwerder Dario;*;;;;;;;;;56.75
+;;;Arnold Andreas;*;;;;;;;10.0
o;3;10.0;Wicki Joel;**;7;57.0;5;9.0;2;-1.0;8.5
+;8;18.5;von Flüe Marco;;19;54.0;7;18.75;-1;0.25;10.0
o;7;28.5;Fankhauser Erich;***;6;57.5;6;28.75;-1;0.25;8.5
+;11;37.0;Würsch Lars;;20;53.75;12;36.75;1;-0.25;9.75
+;10;46.75;Müller Michael;**;12;55.75;9;47.0;-1;0.25;10.0

8e;Suppiger Martin;***;;;;;;;;;56.75
o;;;Schelbert Ralf;**;;;;;;;8.5
+;7;8.5;Betschart Silvan;*;19;54.0;3;10.0;-4;1.5;9.75
+;9;18.25;Kälin Remo;*;18;54.25;8;18.5;-1;0.25;10.0
-;8;28.25;Villiger Cyrill;*;17;54.5;7;28.5;-1;0.25;8.75
