3003-2019-08-11_Bernisch-Kantonales_Schwingfest-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.5
+;;;Matthey Mickaël;**;;;;;;;10.0
+;1;10.0;Graber Willy;***;5;57.5;1;10.0;0;0.0;10.0
+;1;20.0;Kämpf Bernhard;***;4;57.75;2;19.75;1;-0.25;10.0
+;1;30.0;Anderegg Simon;***;3;58.0;2;29.75;1;-0.25;10.0
+;1;40.0;Gobeli Patrick;**;7;57.0;3;38.5;2;-1.5;9.75
-;1;49.75;Glarner Matthias;***;2;58.25;2;49.5;1;-0.25;8.75

2a;Glarner Matthias;***;;;;;;;;;58.25
+;;;Krähenbühl Tobias;***;;;;;;;10.0
+;1;10.0;Käser Remo;***;7;57.0;1;10.0;0;0.0;9.75
+;2;19.75;Staudenmann Fabian;**;7;57.0;2;19.75;0;0.0;9.75
+;3;29.5;Ramseier Fritz;**;11;56.0;4;29.0;1;-0.5;10.0
+;2;39.5;Kropf Marcel;**;8;56.75;4;38.25;2;-1.25;10.0
-;2;49.5;Aeschbacher Matthias;**;1;58.5;1;49.75;-1;0.25;8.75

3a;Anderegg Simon;***;;;;;;;;;58.0
+;;;Gmür Pirmin;**;;;;;;;10.0
+;1;10.0;Schenk Patrick;***;8;56.75;2;9.75;1;-0.25;9.75
+;2;19.75;Moser Michael;**;14;55.25;2;19.75;0;0.0;10.0
o;2;29.75;Aeschbacher Matthias;**;1;58.5;1;30.0;-1;0.25;8.5
+;4;38.25;Steffen Valentin;*;14;55.25;4;38.25;0;0.0;10.0
+;3;48.25;Mathys Simon;**;9;56.5;4;48.0;1;-0.25;9.75

4a;Kämpf Bernhard;***;;;;;;;;;57.75
+;;;Roch Vincent;**;;;;;;;10.0
+;1;10.0;Stucki Christian;***;6;57.25;1;10.0;0;0.0;9.75
o;2;19.75;Aeschbacher Matthias;**;1;58.5;1;20.0;-1;0.25;8.5
+;7;28.25;Steffen Konrad;*;13;55.5;6;28.5;-1;0.25;10.0
+;4;38.25;Moser Michael;**;14;55.25;4;38.25;0;0.0;9.75
+;4;48.0;Schenk Patrick;***;8;56.75;4;48.0;0;0.0;9.75

5a;Graber Willy;***;;;;;;;;;57.5
+;;;Wittwer Jan;*;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;**;1;58.5;1;10.0;0;0.0;8.5
+;5;18.5;Waber Lorenz;*;19;54.0;4;18.75;-1;0.25;9.75
+;7;28.25;Sempach Thomas;***;25;36.75;7;28.25;0;0.0;9.75
+;5;38.0;Steudler Kevin (2001);*;12;55.75;6;37.5;1;-0.5;9.75
+;5;47.75;Orlik Curdin;**;10;56.25;6;47.5;1;-0.25;9.75

6a;Zenger Niklaus;***;;;;;;;;;57.25
+;;;Kropf Marcel;**;;;;;;;10.0
o;1;10.0;Staudenmann Fabian;**;7;57.0;2;9.75;1;-0.25;8.5
+;5;18.5;Urfer Simon;*;17;54.5;4;18.75;-1;0.25;10.0
-;6;28.5;Gnägi Florian;***;10;56.25;6;28.5;0;0.0;8.75
+;7;37.25;Zangger Dominik;*;12;55.75;8;37.0;1;-0.25;10.0
+;7;47.25;von Büren Stephan;**;14;55.25;9;46.75;2;-0.5;10.0

6b;Inniger Thomas;**;;;;;;;;;57.25
o;;;Mathys Simon;**;;;;;;;8.5
+;5;8.5;Rüegsegger Ueli;*;16;54.75;2;9.75;-3;1.25;10.0
+;5;18.5;Zaugg Lars (2002);;17;54.5;5;18.5;0;0.0;10.0
o;6;28.5;Käser Remo;***;7;57.0;7;28.25;1;-0.25;8.75
+;7;37.25;Rüegsegger Christian (2001);;16;54.75;6;37.5;-1;0.25;10.0
+;7;47.25;Steffen Valentin;*;14;55.25;9;46.75;2;-0.5;10.0

6c;Stucki Christian;***;;;;;;;;;57.25
+;;;Herger Matthias;**;;;;;;;10.0
o;1;10.0;Kämpf Bernhard;***;4;57.75;1;10.0;0;0.0;8.5
+;5;18.5;Gobeli Patrick;**;7;57.0;1;20.0;-4;1.5;10.0
+;6;28.5;Gerber Christian;**;6;57.25;5;28.75;-1;0.25;10.0
-;3;38.5;von Weissenfluh Kilian;**;6;57.25;3;38.5;0;0.0;8.75
+;7;47.25;Blaser Roman;*;14;55.25;9;46.75;2;-0.5;10.0

6d;Gerber Christian;**;;;;;;;;;57.25
+;;;Schwander Severin;**;;;;;;;10.0
+;1;10.0;Klossner Adrian;*;12;55.75;1;10.0;0;0.0;10.0
-;1;20.0;Orlik Curdin;**;10;56.25;1;20.0;0;0.0;8.75
o;5;28.75;Stucki Christian;***;6;57.25;6;28.5;1;-0.25;8.5
+;7;37.25;Grossen John;*;14;55.25;8;37.0;1;-0.25;10.0
+;7;47.25;Urfer Simon;*;17;54.5;12;46.0;5;-1.25;10.0

6e;von Weissenfluh Kilian;**;;;;;;;;;57.25
-;;;Wiget Michael;**;;;;;;;8.75
+;4;8.75;Zehnder Jürg;*;20;53.75;2;9.75;-2;1.0;9.75
+;5;18.5;Gerber Thomas;*;16;54.75;4;18.75;-1;0.25;10.0
+;6;28.5;Binggeli Dominik;*;16;54.75;4;29.0;-2;0.5;10.0
-;3;38.5;Stucki Christian;***;6;57.25;3;38.5;0;0.0;8.75
+;7;47.25;Moser Michael;**;14;55.25;9;46.75;2;-0.5;10.0

7a;Käser Remo;***;;;;;;;;;57.0
+;;;Lengacher Jonas;**;;;;;;;10.0
o;1;10.0;Glarner Matthias;***;2;58.25;1;10.0;0;0.0;8.5
+;5;18.5;Kämpf Marcel;*;21;53.5;4;18.75;-1;0.25;9.75
+;7;28.25;Inniger Thomas;**;6;57.25;6;28.5;-1;0.25;9.75
