5376-2021-07-24_Buendner_Glarner_Kantonalschwingfest-ST

1a;Leuppi Samir;***;;;;;;;;;58.25
o;4;18.75;Inauen Maurus (2003);;9;55.5;5;18.5;1;-0.25;8.5
+;8;27.25;Hänni Marc;;9;55.5;9;27.0;1;-0.25;10.0
-;6;37.25;Nock Benjamin;*;13;54.5;7;37.0;1;-0.25;8.75
-;9;46.0;Feldmann Patrik (2005);;12;54.75;9;46.0;0;0.0;9.0

11c;Korrodi Janik (2004);;;;;;;;;;55.0
+;;;Diem Hansruedi;;;;;;;;10.0
o;1;10.0;Landolt Reto;*;3;57.0;1;10.0;0;0.0;8.5
o;5;18.5;Wild Thomas;;13;54.5;4;18.75;-1;0.25;8.5
o;9;27.0;Schnyder Christian;;15;54.0;9;27.0;0;0.0;8.5
+;12;35.5;Langenegger Beat;;15;54.0;12;35.5;0;0.0;9.75
+;12;45.25;Stadelmann Lukas (2004);;16;53.75;12;45.25;0;0.0;9.75

11d;Stadelmann Patrick;;;;;;;;;;55.0
+;;;Laager Kaspar (2004);;;;;;;;9.75
o;2;9.75;Schmid Dominik;**;3;57.0;5;8.5;3;-1.25;8.5
+;6;18.25;Bütler Roman (2004);;15;54.0;5;18.5;-1;0.25;9.75
o;6;28.0;Aebli Nino;;5;56.5;4;28.5;-2;0.5;8.5
+;9;36.5;Sprecher Martin;;13;54.5;7;37.0;-2;0.5;10.0
o;7;46.5;Jörger Corsin;*;6;56.25;8;46.25;1;-0.25;8.5

12a;Flück Bruno;;;;;;;;;;54.75
+;;;Bernhard Thomas;;;;;;;;9.75
-;2;9.75;Gartmann Mauro;**;13;54.5;2;9.75;0;0.0;8.75
+;5;18.5;Schwyn Patrick;;15;54.0;5;18.5;0;0.0;10.0
-;4;28.5;Herger Fabian;*;10;55.25;6;28.0;2;-0.5;8.75
o;6;37.25;Aeschlimann Martin;;7;56.0;5;37.5;-1;0.25;8.75
-;9;46.0;Nock Benjamin;*;13;54.5;10;45.75;1;-0.25;8.75

12b;Feldmann Patrik (2005);;;;;;;;;;54.75
-;;;Forrer Marco (2003);;;;;;;;9.0
+;3;9.0;Aebli Andrin;;18;53.0;4;8.75;1;-0.25;10.0
o;3;19.0;Herger Fabian;*;10;55.25;6;18.25;3;-0.75;8.5
+;7;27.5;Siegenthaler Joël (2003);;19;52.75;9;27.0;2;-0.5;10.0
o;5;37.5;Schmid Patrick;*;7;56.0;5;37.5;0;0.0;8.5
-;9;46.0;Wehrli Jan;;11;55.0;9;46.0;0;0.0;8.75

12c;Schuler Martin;*;;;;;;;;;54.75
-;;;Schlegel Reto;*;;;;;;;8.75
+;4;8.75;Flütsch Marco;;10;55.25;2;9.75;-2;1.0;10.0
o;4;18.75;Riget Tobias;**;4;56.75;5;18.5;1;-0.25;8.5
+;8;27.25;Gantenbein Linard (2004);;10;55.25;5;28.25;-3;1.0;10.0
o;6;37.25;Vollenweider Jeremy;**;4;56.75;6;37.25;0;0.0;8.75
-;9;46.0;Fontana Michael;*;13;54.5;10;45.75;1;-0.25;8.75

12d;Lüthi Manuel (2003);*;;;;;;;;;54.75
+;;;Schmidlin Tobias;*;;;;;;;9.75
o;2;9.75;Vollenweider Jeremy;**;4;56.75;2;9.75;0;0.0;8.5
+;6;18.25;Lazzarotto Salomon (2005);;7;56.0;4;18.75;-2;0.5;9.75
o;6;28.0;Wey Nicola;*;5;56.5;6;28.0;0;0.0;8.5
+;9;36.5;Büchler Livio;;16;53.75;8;36.75;-1;0.25;9.75
o;8;46.25;Blaser Christian;**;5;56.5;7;46.5;-1;0.25;8.5

12e;Schlegel Jamie (2004);;;;;;;;;;54.75
-;;;Laager Michael;;;;;;;;8.75
+;4;8.75;Zumstein Silvan;;22;51.0;5;8.5;1;-0.25;10.0
o;4;18.75;Schiesser Patrik;*;10;55.25;6;18.25;2;-0.5;8.5
-;8;27.25;Krucker Silvan;;15;54.0;9;27.0;1;-0.25;8.75
-;10;36.0;Ruppanner Philipp;;18;53.0;12;35.5;2;-0.5;9.0
+;13;45.0;Abderhalden Lukas (2003);;16;53.75;13;45.0;0;0.0;9.75

12f;Brand Andreas (2003);;;;;;;;;;54.75
+;;;Graf Dominik (2005);;;;;;;;9.75
o;2;9.75;Ackermann Rico (2003);*;11;55.0;5;8.5;3;-1.25;8.5
o;6;18.25;Gasenzer Christian (2004);;15;54.0;5;18.5;-1;0.25;8.5
+;10;26.75;Stadelmann Lukas (2004);;16;53.75;10;26.75;0;0.0;9.75
o;9;36.5;Horner Sämi;;10;55.25;9;36.5;0;0.0;8.5
+;13;45.0;Schoch René;;17;53.5;13;45.0;0;0.0;9.75

12g;Wüthrich Severin;;;;;;;;;;54.75
-;;;Rhyner Beni;;;;;;;;9.0
+;3;9.0;Bernhard Thomas;;16;53.75;5;8.5;2;-0.5;10.0
o;3;19.0;Gartmann Mauro;**;13;54.5;5;18.5;2;-0.5;8.5
+;7;27.5;Aebli Andrin;;18;53.0;8;27.25;1;-0.25;9.75
-;6;37.25;Jörger Corsin;*;6;56.25;6;37.25;0;0.0;9.0
o;8;46.25;Bollhalder Manuel;*;6;56.25;8;46.25;0;0.0;8.5

13a;Laager Michael;;;;;;;;;;54.5
-;;;Schlegel Jamie (2004);;;;;;;;9.0
o;3;9.0;Wild Thomas;;13;54.5;4;8.75;1;-0.25;8.5
+;7;17.5;Graf Dominik (2005);;17;53.5;9;17.0;2;-0.5;10.0
o;7;27.5;Bernold Edi;**;9;55.5;9;27.0;2;-0.5;8.5
o;10;36.0;Mannhart Jan (2003);;13;54.5;10;36.0;0;0.0;8.5
+;15;44.5;Gasenzer Christian (2004);;15;54.0;12;45.25;-3;0.75;10.0

13b;Nock Benjamin;*;;;;;;;;;54.5
+;;;Jörger Corsin;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;4;56.75;5;8.5;4;-1.5;8.5
+;5;18.5;Aebli Nino;;5;56.5;1;20.0;-4;1.5;9.75
-;5;28.25;Gartmann Mauro;**;13;54.5;5;28.25;0;0.0;8.75
-;7;37.0;Wehrli Jan;;11;55.0;6;37.25;-1;0.25;8.75
-;10;45.75;Flück Bruno;;12;54.75;9;46.0;-1;0.25;8.75

13c;Mannhart Jan (2003);;;;;;;;;;54.5
+;;;Denoth Michel;;;;;;;;10.0
-;1;10.0;Lazzarotto Salomon (2005);;7;56.0;2;9.75;1;-0.25;9.0
o;3;19.0;Wey Nicola;*;5;56.5;6;18.25;3;-0.75;8.5
o;7;27.5;Poltera Andrin;*;8;55.75;8;27.25;1;-0.25;8.5
+;10;36.0;Laager Michael;;13;54.5;10;36.0;0;0.0;9.75
-;10;45.75;Sprecher Martin;;13;54.5;11;45.5;1;-0.25;8.75

13d;Pianta Christian;*;;;;;;;;;54.5
-;;;Bollhalder Manuel;*;;;;;;;9.0
+;3;9.0;Wittenwiler Mathias (2003);;15;54.0;2;9.75;-1;0.75;10.0
o;3;19.0;Geisser Lars;**;3;57.0;4;18.75;1;-0.25;8.5
+;7;27.5;Gasenzer Christian (2004);;15;54.0;5;28.25;-2;0.75;10.0
o;5;37.5;Kobler Janosch;;7;56.0;5;37.5;0;0.0;8.5
o;9;46.0;Rotach Lars;*;6;56.25;3;47.5;-6;1.5;8.5

13e;Steiner Lukas;;;;;;;;;;54.5
+;;;Buchli Michael (2004);;;;;;;;10.0
o;1;10.0;Aebli Nino;;5;56.5;1;10.0;0;0.0;8.5
o;5;18.5;Schwyn Adrian;*;23;27.0;8;17.25;3;-1.25;8.5
+;9;27.0;Riatsch Albin;;17;53.5;10;26.75;1;-0.25;10.0
-;7;37.0;Mayer Elia (2004);;14;54.25;8;36.75;1;-0.25;9.0
o;9;46.0;Lehmann Philipp;*;8;55.75;9;46.0;0;0.0;8.5

13f;Giger Lorenz;;;;;;;;;;54.5
-;;;Wild Thomas;;;;;;;;8.75
-;4;8.75;Ziegler Andreas;;9;55.5;5;8.5;1;-0.25;8.75
-;7;17.5;Schiess Christian;;18;53.0;8;17.25;1;-0.25;8.75
+;11;26.25;Abderhalden Lukas (2003);;16;53.75;10;26.75;-1;0.5;9.75
-;10;36.0;Zumbach Michael;;18;53.0;11;35.75;1;-0.25;8.75
+;14;44.75;Bleiker Daniel;;16;53.75;12;45.25;-2;0.5;9.75

13g;Wild Thomas;;;;;;;;;;54.5
-;;;Giger Lorenz;;;;;;;;8.75
+;4;8.75;Laager Michael;;13;54.5;3;9.0;-1;0.25;10.0
+;4;18.75;Korrodi Janik (2004);;11;55.0;5;18.5;1;-0.25;10.0
o;3;28.75;Arnold Stefan;**;5;56.5;5;28.25;2;-0.5;8.5
o;6;37.25;Castelli Fabio;;2;57.25;6;37.25;0;0.0;8.5
-;10;45.75;Gartmann Mauro;**;13;54.5;10;45.75;0;0.0;8.75

13h;Fontana Michael;*;;;;;;;;;54.5
-;;;Schwyn Adrian;*;;;;;;;8.75
+;4;8.75;Ruppanner Philipp;;18;53.0;1;10.0;-3;1.25;10.0
o;4;18.75;Arnold Stefan;**;5;56.5;5;18.5;1;-0.25;8.5
o;8;27.25;Keller Cedric;;10;55.25;5;28.25;-3;1.0;8.5
+;11;35.75;Diem Hansruedi;;15;54.0;11;35.75;0;0.0;10.0
-;10;45.75;Schuler Martin;*;12;54.75;9;46.0;-1;0.25;8.75

13i;Rhyner Beni;;;;;;;;;;54.5
-;;;Wüthrich Severin;;;;;;;;9.0
+;3;9.0;Gmür Pascal (2003);;20;52.5;5;8.5;2;-0.5;9.75
o;4;18.75;Lehmann Philipp;*;8;55.75;6;18.25;2;-0.5;8.5
+;8;27.25;Bütler Roman (2004);;15;54.0;9;27.0;1;-0.25;10.0
o;6;37.25;Schmid Gian (2003);;8;55.75;6;37.25;0;0.0;8.5
o;10;45.75;Sprecher Martin;;13;54.5;11;45.5;1;-0.25;8.75

13j;Sprecher Martin;;;;;;;;;;54.5
+;;;Hangartner Maurice (2003);;;;;;;;9.75
o;2;9.75;Kobler Janosch;;7;56.0;3;9.0;1;-0.75;8.5
-;6;18.25;Schmidlin Tobias;*;13;54.5;8;17.25;2;-1.0;8.75
+;9;27.0;Lacher Tobias (2005);;16;53.75;9;27.0;0;0.0;10.0
o;7;37.0;Stadelmann Patrick;;11;55.0;9;36.5;2;-0.5;8.5
-;11;45.5;Mannhart Jan (2003);;13;54.5;10;45.75;-1;0.25;8.75
+;14;54.25;Rhyner Beni;;13;54.5;13;54.5;-1;0.25;0.25

13k;Wüthrich Hans;;;;;;;;;;54.5
+;;;Baumgartner Joël;;;;;;;;10.0
-;1;10.0;Schmidlin Tobias;*;13;54.5;5;8.5;4;-1.5;8.75
+;4;18.75;Siegenthaler Joël (2003);;19;52.75;5;18.5;1;-0.25;9.75
o;4;28.5;Good Marco;*;5;56.5;5;28.25;1;-0.25;8.5
-;7;37.0;Joos Enrico (2003);;5;56.5;5;37.5;-2;0.5;9.0
o;9;46.0;Buchli Michael (2004);;8;55.75;10;45.75;1;-0.25;8.5

13l;Schmidlin Tobias;*;;;;;;;;;54.5
o;;;Lüthi Manuel (2003);*;;;;;;;8.5
-;5;8.5;Wüthrich Hans;;13;54.5;1;10.0;-4;1.5;8.75
-;8;17.25;Sprecher Martin;;13;54.5;6;18.25;-2;1.0;8.75
+;12;26.0;Buchli Michael (2004);;8;55.75;8;27.25;-4;1.25;10.0
o;10;36.0;Schiesser Patrik;*;10;55.25;9;36.5;-1;0.5;8.5
+;15;44.5;Schiess Christian;;18;53.0;15;44.5;0;0.0;10.0

13m;Gartmann Mauro;**;;;;;;;;;54.5
+;;;Blaser Christian;**;;;;;;;9.75
-;2;9.75;Flück Bruno;;12;54.75;2;9.75;0;0.0;8.75
+;5;18.5;Wüthrich Severin;;12;54.75;3;19.0;-2;0.5;9.75
-;5;28.25;Nock Benjamin;*;13;54.5;5;28.25;0;0.0;8.75
-;7;37.0;Ziegler Andreas;;9;55.5;7;37.0;0;0.0;8.75
-;10;45.75;Wild Thomas;;13;54.5;10;45.75;0;0.0;8.75

14a;Mayer Elia (2004);;;;;;;;;;54.25
o;;;Ruppanner Philipp;;;;;;;;8.5
+;5;8.5;Graf Dominik (2005);;17;53.5;5;8.5;0;0.0;9.75
o;6;18.25;Leuppi Karim;*;9;55.5;9;17.0;3;-1.25;8.5
+;10;26.75;Schiess Christian;;18;53.0;12;26.0;2;-0.75;10.0
-;8;36.75;Steiner Lukas;;13;54.5;7;37.0;-1;0.25;9.0
o;10;45.75;Herger Fabian;*;10;55.25;12;45.25;2;-0.5;8.5

14b;Mathis Patrick;;;;;;;;;;54.25
+;;;Bleiker Daniel;;;;;;;;9.75
o;2;9.75;Bernold Edi;**;9;55.5;5;8.5;3;-1.25;8.5
-;6;18.25;Laager Kaspar (2004);;15;54.0;6;18.25;0;0.0;8.75
-;9;27.0;Wittenwiler Mathias (2003);;15;54.0;10;26.75;1;-0.25;9.0
+;10;36.0;Forrer Marco (2003);;18;53.0;10;36.0;0;0.0;9.75
o;10;45.75;Inauen Maurus (2003);;9;55.5;11;45.5;1;-0.25;8.5

15a;Langenegger Beat;;;;;;;;;;54.0
o;;;Schmid Gian (2003);;;;;;;;8.5
+;5;8.5;Baumann Reto;;15;54.0;5;8.5;0;0.0;10.0
o;5;18.5;Rotach Lars;*;6;56.25;6;18.25;1;-0.25;8.5
o;9;27.0;Hobi Ignaz;;9;55.5;8;27.25;-1;0.25;8.5
o;12;35.5;Korrodi Janik (2004);;11;55.0;12;35.5;0;0.0;8.75
+;16;44.25;Zumbach Michael;;18;53.0;15;44.5;-1;0.25;9.75

15b;Baumann Reto;;;;;;;;;;54.0
o;;;Flütsch Marco;;;;;;;;8.5
o;5;8.5;Langenegger Beat;;15;54.0;5;8.5;0;0.0;8.5
o;9;17.0;Buchli Michael (2004);;8;55.75;8;17.25;-1;0.25;8.5
+;13;25.5;Zumstein Silvan;;22;51.0;13;25.5;0;0.0;10.0
+;12;35.5;Schwyn Patrick;;15;54.0;12;35.5;0;0.0;10.0
o;11;45.5;Fässler Tobias;;9;55.5;11;45.5;0;0.0;8.5

15c;Bütler Roman (2004);;;;;;;;;;54.0
+;;;Zumstein Silvan;;;;;;;;10.0
o;1;10.0;Schlegel Sandro;**;2;57.25;4;8.75;3;-1.25;8.5
o;5;18.5;Stadelmann Patrick;;11;55.0;6;18.25;1;-0.25;8.5
o;9;27.0;Rhyner Beni;;13;54.5;8;27.25;-1;0.25;8.5
+;12;35.5;Nogler Livio;;19;52.75;12;35.5;0;0.0;10.0
o;11;45.5;Lazzarotto Salomon (2005);;7;56.0;9;46.0;-2;0.5;8.5

15d;Sieber Marc;;;;;;;;;;54.0
o;;;Castelli Fabio;;;;;;;;8.5
o;5;8.5;Nogler Livio;;19;52.75;5;8.5;0;0.0;8.5
+;9;17.0;Denoth Michel;;22;51.0;9;17.0;0;0.0;10.0
+;9;27.0;Laager Kaspar (2004);;15;54.0;9;27.0;0;0.0;10.0
o;7;37.0;Battaglia Ursin;**;9;55.5;7;37.0;0;0.0;8.5
o;11;45.5;Inauen Aurel;;10;55.25;12;45.25;1;-0.25;8.5

15e;Schnyder Christian;;;;;;;;;;54.0
o;;;Zumbach Michael;;;;;;;;8.5
-;5;8.5;Schiess Christian;;18;53.0;5;8.5;0;0.0;8.75
+;8;17.25;Baumgartner Joël;;19;52.75;9;17.0;1;-0.25;9.75
+;9;27.0;Korrodi Janik (2004);;11;55.0;9;27.0;0;0.0;10.0
o;7;37.0;Elmer Daniel;*;9;55.5;8;36.75;1;-0.25;8.5
o;11;45.5;Ziegler Andreas;;9;55.5;10;45.75;-1;0.25;8.5

15f;Laager Kaspar (2004);;;;;;;;;;54.0
o;;;Stadelmann Patrick;;;;;;;;8.5
+;5;8.5;Nef Tobias (2005);;20;52.5;5;8.5;0;0.0;9.75
-;6;18.25;Mathis Patrick;;14;54.25;6;18.25;0;0.0;8.75
o;9;27.0;Sieber Marc;;15;54.0;9;27.0;0;0.0;8.5
+;12;35.5;Graf Dominik (2005);;17;53.5;13;35.25;1;-0.25;10.0
o;11;45.5;Hänni Marc;;9;55.5;11;45.5;0;0.0;8.5

15g;Gasenzer Christian (2004);;;;;;;;;;54.0
+;;;Nogler David;;;;;;;;10.0
o;1;10.0;Biäsch Christian;*;3;57.0;2;9.75;1;-0.25;8.5
+;5;18.5;Brand Andreas (2003);;12;54.75;6;18.25;1;-0.25;9.75
o;5;28.25;Pianta Christian;*;13;54.5;7;27.5;2;-0.75;8.5
o;8;36.75;Tschudi Mario;;10;55.25;8;36.75;0;0.0;8.5
o;12;45.25;Laager Michael;;13;54.5;15;44.5;3;-0.75;8.75

15h;Frei Felix (2003);;;;;;;;;;54.0
o;;;Schwyn Patrick;;;;;;;;8.5
o;5;8.5;Lazzarotto Salomon (2005);;7;56.0;2;9.75;-3;1.25;8.5
+;9;17.0;Gmür Pascal (2003);;20;52.5;9;17.0;0;0.0;10.0
o;9;27.0;Joos Enrico (2003);;5;56.5;7;27.5;-2;0.5;8.5
o;12;35.5;Buchli Michael (2004);;8;55.75;11;35.75;-1;0.25;8.5
+;17;44.0;Nogler Livio;;19;52.75;16;44.25;-1;0.25;10.0

15i;Diem Hansruedi;;;;;;;;;;54.0
o;;;Korrodi Janik (2004);;;;;;;;8.75
o;4;8.75;Joos Enrico (2003);;5;56.5;3;9.0;-1;0.25;8.5
+;8;17.25;Bebi Nic (2003);;21;52.25;9;17.0;1;-0.25;10.0
o;8;27.25;Fässler Tobias;;9;55.5;9;27.0;1;-0.25;8.5
o;11;35.75;Fontana Michael;*;13;54.5;11;35.75;0;0.0;8.5
+;16;44.25;Forrer Marco (2003);;18;53.0;15;44.5;-1;0.25;9.75

15j;Krucker Silvan;;;;;;;;;;54.0
+;;;Bebi Nic (2003);;;;;;;;9.75
o;2;9.75;Schiesser Patrik;*;10;55.25;5;8.5;3;-1.25;8.5
-;6;18.25;Fässler Tobias;;9;55.5;6;18.25;0;0.0;8.75
-;9;27.0;Schlegel Jamie (2004);;12;54.75;8;27.25;-1;0.25;8.75
o;11;35.75;Inauen Aurel;;10;55.25;12;35.5;1;-0.25;8.5
+;16;44.25;Aebli Andrin;;18;53.0;15;44.5;-1;0.25;9.75

15k;Schwyn Patrick;;;;;;;;;;54.0
+;;;Frei Felix (2003);;;;;;;;10.0
o;1;10.0;Geisser Lars;**;3;57.0;4;8.75;3;-1.25;8.5
o;5;18.5;Flück Bruno;;12;54.75;5;18.5;0;0.0;8.5
o;9;27.0;Ziegler Andreas;;9;55.5;9;27.0;0;0.0;8.5
o;12;35.5;Baumann Reto;;15;54.0;12;35.5;0;0.0;8.5
+;17;44.0;Bebi Nic (2003);;21;52.25;18;43.75;1;-0.25;10.0

15l;Wittenwiler Mathias (2003);;;;;;;;;;54.0
+;;;Aebli Andrin;;;;;;;;9.75
o;2;9.75;Pianta Christian;*;13;54.5;3;9.0;1;-0.75;8.5
o;6;18.25;Horner Sämi;;10;55.25;6;18.25;0;0.0;8.5
-;10;26.75;Mathis Patrick;;14;54.25;9;27.0;-1;0.25;9.0
o;11;35.75;Lazzarotto Salomon (2005);;7;56.0;10;36.0;-1;0.25;8.5
+;16;44.25;Siegenthaler Joël (2003);;19;52.75;16;44.25;0;0.0;9.75

16a;Stadelmann Lukas (2004);;;;;;;;;;53.75
o;;;Riatsch Albin;;;;;;;;8.5
o;5;8.5;Aebli Andrin;;18;53.0;4;8.75;-1;0.25;8.5
+;9;17.0;Nogler David;;21;52.25;9;17.0;0;0.0;9.75
o;10;26.75;Brand Andreas (2003);;12;54.75;10;26.75;0;0.0;8.5
+;13;35.25;Bebi Nic (2003);;21;52.25;13;35.25;0;0.0;10.0
o;12;45.25;Korrodi Janik (2004);;11;55.0;12;45.25;0;0.0;8.5

16b;Bleiker Daniel;;;;;;;;;;53.75
o;;;Mathis Patrick;;;;;;;;8.5
+;5;8.5;Denoth Michel;;22;51.0;5;8.5;0;0.0;10.0
+;5;18.5;Riatsch Albin;;17;53.5;6;18.25;1;-0.25;9.75
o;5;28.25;Schlegel Sandro;**;2;57.25;7;27.5;2;-0.75;8.5
o;8;36.75;Flütsch Marco;;10;55.25;8;36.75;0;0.0;8.5
o;12;45.25;Giger Lorenz;;13;54.5;14;44.75;2;-0.5;8.5

16c;Bernhard Thomas;;;;;;;;;;53.75
o;;;Flück Bruno;;;;;;;;8.5
o;5;8.5;Wüthrich Severin;;12;54.75;3;9.0;-2;0.5;8.5
+;9;17.0;Zumstein Silvan;;22;51.0;9;17.0;0;0.0;10.0
+;9;27.0;Ruppanner Philipp;;18;53.0;9;27.0;0;0.0;9.75
o;8;36.75;Leuppi Karim;*;9;55.5;12;35.5;4;-1.25;8.5
o;12;45.25;Hangartner Maurice (2003);;10;55.25;11;45.5;-1;0.25;8.5

16d;Abderhalden Lukas (2003);;;;;;;;;;53.75
+;;;Gmür Pascal (2003);;;;;;;;9.75
o;2;9.75;Jörger Corsin;*;6;56.25;4;8.75;2;-1.0;8.5
o;6;18.25;Gantenbein Linard (2004);;10;55.25;5;18.5;-1;0.25;8.5
o;10;26.75;Giger Lorenz;;13;54.5;11;26.25;1;-0.5;8.5
+;13;35.25;Riatsch Albin;;17;53.5;13;35.25;0;0.0;9.75
o;13;45.0;Schlegel Jamie (2004);;12;54.75;13;45.0;0;0.0;8.75

16e;Lacher Tobias (2005);;;;;;;;;;53.75
o;;;Siegenthaler Joël (2003);;;;;;;;8.5
o;5;8.5;Büchler Livio;;16;53.75;5;8.5;0;0.0;8.5
+;9;17.0;Nef Tobias (2005);;20;52.5;9;17.0;0;0.0;10.0
o;9;27.0;Sprecher Martin;;13;54.5;9;27.0;0;0.0;8.5
o;12;35.5;Hänni Marc;;9;55.5;12;35.5;0;0.0;8.5
+;17;44.0;Ruppanner Philipp;;18;53.0;15;44.5;-2;0.5;9.75

16f;Büchler Livio;;;;;;;;;;53.75
o;;;Wehrli Jan;;;;;;;;8.5
+;5;8.5;Lacher Tobias (2005);;16;53.75;5;8.5;0;0.0;10.0
o;5;18.5;Blaser Christian;**;5;56.5;6;18.25;1;-0.25;8.5
+;9;27.0;Forrer Marco (2003);;18;53.0;7;27.5;-2;0.5;9.75
o;8;36.75;Lüthi Manuel (2003);*;12;54.75;9;36.5;1;-0.25;8.5
o;12;45.25;Leuppi Karim;*;9;55.5;11;45.5;-1;0.25;8.5

17a;Schoch René;;;;;;;;;;53.5
o;;;Gantenbein Linard (2004);;;;;;;;8.5
+;5;8.5;Nogler David;;21;52.25;5;8.5;0;0.0;9.75
o;6;18.25;Tschudi Mario;;10;55.25;6;18.25;0;0.0;8.5
o;10;26.75;Hangartner Maurice (2003);;10;55.25;10;26.75;0;0.0;8.5
+;13;35.25;Baumgartner Joël;;19;52.75;15;34.25;2;-1.0;9.75
o;13;45.0;Brand Andreas (2003);;12;54.75;13;45.0;0;0.0;8.5

17b;Riatsch Albin;;;;;;;;;;53.5
+;;;Stadelmann Lukas (2004);;;;;;;;9.75
o;2;9.75;Bleiker Daniel;;16;53.75;5;8.5;3;-1.25;8.5
o;6;18.25;Schmid Gian (2003);;8;55.75;5;18.5;-1;0.25;8.5
o;10;26.75;Steiner Lukas;;13;54.5;9;27.0;-1;0.25;8.5
o;13;35.25;Abderhalden Lukas (2003);;16;53.75;13;35.25;0;0.0;8.5
+;18;43.75;Nef Tobias (2005);;20;52.5;17;44.0;-1;0.25;9.75

17c;Graf Dominik (2005);;;;;;;;;;53.5
o;;;Brand Andreas (2003);;;;;;;;8.5
o;5;8.5;Mayer Elia (2004);;14;54.25;5;8.5;0;0.0;8.5
o;9;17.0;Laager Michael;;13;54.5;7;17.5;-2;0.5;8.5
+;13;25.5;Denoth Michel;;22;51.0;13;25.5;0;0.0;9.75
o;13;35.25;Laager Kaspar (2004);;15;54.0;12;35.5;-1;0.25;8.5
+;18;43.75;Nogler David;;21;52.25;18;43.75;0;0.0;9.75

18a;Schiess Christian;;;;;;;;;;53.0
o;;;Hänni Marc;;;;;;;;8.5
-;5;8.5;Schnyder Christian;;15;54.0;5;8.5;0;0.0;8.75
-;8;17.25;Giger Lorenz;;13;54.5;7;17.5;-1;0.25;8.75
o;12;26.0;Mayer Elia (2004);;14;54.25;10;26.75;-2;0.75;8.5
+;14;34.5;Gmür Pascal (2003);;20;52.5;15;34.25;1;-0.25;10.0
o;15;44.5;Schmidlin Tobias;*;13;54.5;15;44.5;0;0.0;8.5

18b;Ruppanner Philipp;;;;;;;;;;53.0
+;;;Mayer Elia (2004);;;;;;;;10.0
o;1;10.0;Fontana Michael;*;13;54.5;4;8.75;3;-1.25;8.5
o;5;18.5;Habegger Heinz;**;4;56.75;5;18.5;0;0.0;8.5
o;9;27.0;Bernhard Thomas;;16;53.75;9;27.0;0;0.0;8.5
-;12;35.5;Schlegel Jamie (2004);;12;54.75;10;36.0;-2;0.5;9.0
o;15;44.5;Lacher Tobias (2005);;16;53.75;17;44.0;2;-0.5;8.5

18c;Forrer Marco (2003);;;;;;;;;;53.0
-;;;Feldmann Patrik (2005);;;;;;;;9.0
+;3;9.0;Inauen Aurel;;10;55.25;5;8.5;2;-0.5;10.0
o;3;19.0;Jörger Corsin;*;6;56.25;4;18.75;1;-0.25;8.5
o;7;27.5;Büchler Livio;;16;53.75;9;27.0;2;-0.5;8.5
o;10;36.0;Mathis Patrick;;14;54.25;10;36.0;0;0.0;8.5
o;15;44.5;Diem Hansruedi;;15;54.0;16;44.25;1;-0.25;8.5

18d;Zumbach Michael;;;;;;;;;;53.0
+;;;Schnyder Christian;;;;;;;;10.0
o;1;10.0;Hochholdinger Roman;**;3;57.0;2;9.75;1;-0.25;8.5
o;5;18.5;Aeschlimann Martin;;7;56.0;5;18.5;0;0.0;8.5
-;9;27.0;Lazzarotto Salomon (2005);;7;56.0;8;27.25;-1;0.25;8.75
-;11;35.75;Giger Lorenz;;13;54.5;10;36.0;-1;0.25;8.75
o;15;44.5;Langenegger Beat;;15;54.0;16;44.25;1;-0.25;8.5

18e;Aebli Andrin;;;;;;;;;;53.0
o;;;Wittenwiler Mathias (2003);;;;;;;;8.75
o;4;8.75;Feldmann Patrik (2005);;12;54.75;3;9.0;-1;0.25;8.5
+;8;17.25;Stadelmann Lukas (2004);;16;53.75;9;17.0;1;-0.25;10.0
o;8;27.25;Wüthrich Severin;;12;54.75;7;27.5;-1;0.25;8.5
-;11;35.75;Siegenthaler Joël (2003);;19;52.75;12;35.5;1;-0.25;8.75
o;15;44.5;Krucker Silvan;;15;54.0;16;44.25;1;-0.25;8.5

19a;Baumgartner Joël;;;;;;;;;;52.75
o;;;Wüthrich Hans;;;;;;;;8.5
o;5;8.5;Horner Sämi;;10;55.25;5;8.5;0;0.0;8.5
o;9;17.0;Schnyder Christian;;15;54.0;8;17.25;-1;0.25;8.5
-;13;25.5;Gmür Pascal (2003);;20;52.5;13;25.5;0;0.0;8.75
o;15;34.25;Schoch René;;17;53.5;13;35.25;-2;1.0;8.5
+;19;42.75;Denoth Michel;;22;51.0;20;42.5;1;-0.25;10.0

19b;Nogler Livio;;;;;;;;;;52.75
o;;;Tschudi Mario;;;;;;;;8.5
+;5;8.5;Sieber Marc;;15;54.0;5;8.5;0;0.0;10.0
o;5;18.5;Keller Cedric;;10;55.25;6;18.25;1;-0.25;8.5
o;9;27.0;Bollhalder Manuel;*;6;56.25;7;27.5;-2;0.5;8.5
o;12;35.5;Bütler Roman (2004);;15;54.0;12;35.5;0;0.0;8.75
o;16;44.25;Frei Felix (2003);;15;54.0;17;44.0;1;-0.25;8.5

19c;Siegenthaler Joël (2003);;;;;;;;;;52.75
+;;;Lacher Tobias (2005);;;;;;;;10.0
o;1;10.0;Habegger Heinz;**;4;56.75;4;8.75;3;-1.25;8.5
