5376-2021-07-24_Buendner_Glarner_Kantonalschwingfest-ST

1a;Leuppi Samir;***;;;;;;;;;58.25
o;4;28.5;Kindlimann Fabian;***;7;56.0;3;28.75;-1;0.25;8.5
+;7;37.0;Ackermann Rico (2003);*;11;55.0;3;38.0;-4;1.0;10.0
+;5;47.0;Battaglia Ursin;**;9;55.5;5;47.0;0;0.0;9.75

4c;Gosswiler Livio;*;;;;;;;;;56.75
+;;;Ackermann Rico (2003);*;;;;;;;9.75
o;2;9.75;Riget Tobias;**;4;56.75;4;8.75;2;-1.0;8.75
+;5;18.5;Hänni Marc;;9;55.5;5;18.5;0;0.0;10.0
+;4;28.5;Elmer Daniel;*;9;55.5;5;28.25;1;-0.25;9.75
o;2;38.25;Arnold Stefan;**;5;56.5;3;38.0;1;-0.25;8.5
+;6;46.75;Tschudi Mario;;10;55.25;7;46.5;1;-0.25;10.0

4d;Rychen Roger;***;;;;;;;;;56.75
o;;;Leuppi Samir;***;;;;;;;8.5
+;5;8.5;Nock Benjamin;*;13;54.5;1;10.0;-4;1.5;10.0
+;5;18.5;Biäsch Christian;*;3;57.0;2;19.75;-3;1.25;10.0
+;4;28.5;Geisser Lars;**;3;57.0;4;28.5;0;0.0;9.75
-;2;38.25;Kindlimann Fabian;***;7;56.0;1;38.5;-1;0.25;8.75
+;5;47.0;Poltera Andrin;*;8;55.75;5;47.0;0;0.0;9.75

4e;Habegger Heinz;**;;;;;;;;;56.75
-;;;Good Marco;*;;;;;;;8.75
+;4;8.75;Siegenthaler Joël (2003);;19;52.75;1;10.0;-3;1.25;9.75
+;5;18.5;Ruppanner Philipp;;18;53.0;5;18.5;0;0.0;9.75
+;5;28.25;Tschudi Mario;;10;55.25;5;28.25;0;0.0;10.0
o;2;38.25;Schlegel Sandro;**;2;57.25;5;37.5;3;-0.75;8.5
+;6;46.75;Ackermann Rico (2003);*;11;55.0;7;46.5;1;-0.25;10.0

5a;Blaser Christian;**;;;;;;;;;56.5
o;;;Gartmann Mauro;**;;;;;;;8.5
+;5;8.5;Schmid Gian (2003);;8;55.75;2;9.75;-3;1.25;9.75
+;6;18.25;Büchler Livio;;16;53.75;5;18.5;-1;0.25;9.75
+;6;28.0;Schiesser Patrik;*;10;55.25;6;28.0;0;0.0;10.0
o;3;38.0;Hochholdinger Roman;**;3;57.0;2;38.25;-1;0.25;8.5
+;7;46.5;Lüthi Manuel (2003);*;12;54.75;8;46.25;1;-0.25;10.0

5b;Joos Enrico (2003);;;;;;;;;;56.5
-;;;Kobler Janosch;;;;;;;;9.0
+;3;9.0;Diem Hansruedi;;15;54.0;4;8.75;1;-0.25;9.75
