3377-2016-05-01_111_Thurgauer_Kantonales_Schwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
+;1;10.0;Akeret Benno;*;25;35.5;5;8.5;4;-1.5;9.75
+;2;19.75;Gwerder Andreas;**;16;54.5;5;18.5;3;-1.25;10.0
o;1;29.75;Leuppi Samir;**;8;56.5;5;28.5;4;-1.25;8.5
o;4;38.25;Bühler Ernst;**;4;57.75;5;38.0;1;-0.25;8.5
o;9;46.75;Dumelin David;*;6;57.0;8;47.0;-1;0.25;8.5

13f;Giger Urs;*;;;;;;;;;55.25
o;;;Odermatt Christoph;*;;;;;;;8.5
+;5;8.5;Hungerbühler Marcel;;12;55.5;2;9.75;-3;1.25;10.0
+;5;18.5;Notz Hans;*;16;54.5;5;18.5;0;0.0;10.0
+;5;28.5;Landolt Reto;*;14;55.0;6;28.25;1;-0.25;9.75
o;4;38.25;Schneider Mario;**;3;58.0;4;38.25;0;0.0;8.5
o;9;46.75;Wickli Beat;**;8;56.5;9;46.75;0;0.0;8.5

13g;Brand Andreas;*;;;;;;;;;55.25
-;;;Sprecher Sandro;*;;;;;;;8.75
+;4;8.75;Tremp Remo (1999);;26;35.25;2;9.75;-2;1.0;9.75
o;5;18.5;Forrer Arnold;***;7;56.75;6;18.25;1;-0.25;8.5
+;11;27.0;Odermatt Leon (1999);;19;53.75;7;28.0;-4;1.0;9.75
+;10;36.75;Korrodi Paul;*;16;54.5;13;36.0;3;-0.75;10.0
o;9;46.75;Schläpfer Markus;**;7;56.75;8;47.0;-1;0.25;8.5

13h;Koch Reto;;;;;;;;;;55.25
+;;;Schwager Mike (2000);;;;;;;;10.0
+;1;10.0;Wolfer Lukas;;12;55.5;4;8.75;3;-1.25;10.0
o;1;20.0;Oertig Dominik;*;11;55.75;5;18.5;4;-1.5;8.5
o;5;28.5;Wickli Beat;**;8;56.5;11;27.0;6;-1.5;8.5
+;9;37.0;Vogel Thomas;;13;55.25;10;36.75;1;-0.25;9.75
o;9;46.75;Leuppi Samir;**;8;56.5;9;46.75;0;0.0;8.5

14a;Gubler Daniel;;;;;;;;;;55.0
o;;;Raschle Adrian;;;;;;;;8.5
+;5;8.5;Schwager Mike (2000);;25;35.5;5;8.5;0;0.0;9.75
o;6;18.25;Kuster Thomas;*;16;54.5;9;17.5;3;-0.75;8.5
+;12;26.75;Mathys David;;26;35.25;12;26.75;0;0.0;9.75
o;11;36.5;Trümpy Simon (1998);;17;54.25;14;35.75;3;-0.75;8.5
+;16;45.0;Poltera Andrin (1999);;21;53.25;17;44.75;1;-0.25;10.0

14b;Hari Michi;;;;;;;;;;55.0
o;;;Keller Dominic;;;;;;;;8.5
+;5;8.5;Oertle Daniel;;15;54.75;4;8.75;-1;0.25;9.75
o;6;18.25;Bernold Edi;**;11;55.75;11;17.0;5;-1.25;8.5
+;12;26.75;Blaser Andre (2000);;22;53.0;11;27.0;-1;0.25;10.0
o;10;36.75;Oertig Dominik;*;11;55.75;8;37.25;-2;0.5;8.5
+;15;45.25;Kuster Thomas;*;16;54.5;13;45.75;-2;0.5;9.75

14c;Bernold Michael (1999);;;;;;;;;;55.0
-;;;Poltera Andrin (1999);;;;;;;;8.75
+;4;8.75;Koller Andreas (1998);;25;35.5;5;8.5;1;-0.25;9.75
o;5;18.5;Kuster Marcel;**;12;55.5;5;18.5;0;0.0;8.5
+;11;27.0;Aerne Christian;;26;35.25;12;26.75;1;-0.25;9.75
o;10;36.75;Brügger Stefan;*;16;54.5;13;36.0;3;-0.75;8.5
+;15;45.25;Biäsch Christian;;20;53.5;16;45.0;1;-0.25;9.75

14d;Landolt Reto;*;;;;;;;;;55.0
+;;;Kuster Thomas;*;;;;;;;9.75
-;2;9.75;Krähenbühl Tobias;**;6;57.0;5;8.5;3;-1.25;8.75
+;5;18.5;Odermatt Leon (1999);;19;53.75;3;19.5;-2;1.0;9.75
o;6;28.25;Giger Urs;*;13;55.25;5;28.5;-1;0.25;8.5
o;10;36.75;Koller Martin;*;6;57.0;8;37.25;-2;0.5;8.5
+;15;45.25;Tanner Adrian;;18;54.0;14;45.5;-1;0.25;9.75

14e;Büsser André;;;;;;;;;;55.0
+;;;Koller Andreas (1998);;;;;;;;10.0
o;1;10.0;Schnurrenberger Roman;**;7;56.75;5;8.5;4;-1.5;8.5
o;5;18.5;Dumelin David;*;6;57.0;4;18.75;-1;0.25;8.5
+;11;27.0;Straub Paul;;25;35.5;11;27.0;0;0.0;9.75
o;10;36.75;Notz Hans;*;16;54.5;13;36.0;3;-0.75;8.5
+;15;45.25;Blaser Niklas;;19;53.75;15;45.25;0;0.0;9.75

14f;Schönenberger Philipp;;;;;;;;;;55.0
+;;;Bommer Joel;;;;;;;;9.75
o;2;9.75;Tanner Adrian;;18;54.0;2;9.75;0;0.0;8.5
o;6;18.25;Kammermann Thomas;*;12;55.5;10;17.25;4;-1.0;8.5
+;12;26.75;Rüegger Remo (1999);;25;35.5;11;27.0;-1;0.25;9.75
o;11;36.5;Koller Fabian;;11;55.75;8;37.25;-3;0.75;8.75
+;15;45.25;Blaser Gian (1998);;17;54.25;14;45.5;-1;0.25;9.75

14g;Burkhard Patrick;*;;;;;;;;;55.0
o;;;Straub Robin;*;;;;;;;8.5
o;5;8.5;Oettli Marco;;8;56.5;1;10.0;-4;1.5;8.5
+;11;17.0;Rieser Fabian;;25;35.5;6;18.25;-5;1.25;9.75
+;12;26.75;Alder Armin;;21;53.25;10;27.25;-2;0.5;9.75
o;11;36.5;Ammann Rico;*;12;55.5;9;37.0;-2;0.5;8.5
+;16;45.0;Fässler Patrick;;17;54.25;13;45.75;-3;0.75;10.0

14h;Frauchiger Remo;;;;;;;;;;55.0
+;;;Oettli Silvio (2000);;;;;;;;9.75
+;2;9.75;Götti Samuel (1998);;12;55.5;2;9.75;0;0.0;10.0
o;2;19.75;Näf Pius;*;11;55.75;6;18.25;4;-1.5;8.5
o;6;28.25;Schlegel Reto;*;17;54.25;10;27.25;4;-1.0;8.5
+;10;36.75;Blaser Gian (1998);;17;54.25;10;36.75;0;0.0;9.75
o;10;46.5;Krähenbühl Tobias;**;6;57.0;7;47.25;-3;0.75;8.5

14i;Beck Dominik;;;;;;;;;;55.0
+;;;Gaccioli Benjamin;;;;;;;;10.0
+;1;10.0;Tritten Robin (1998);;25;35.5;1;10.0;0;0.0;9.75
o;2;19.75;Siegenthaler Tobias;*;11;55.75;5;18.5;3;-1.25;8.5
o;6;28.25;Hochholdinger Roman;**;17;54.25;10;27.25;4;-1.0;8.5
o;10;36.75;Nägeli Marco;*;12;55.5;9;37.0;-1;0.25;8.5
+;15;45.25;Horner Sämi;;20;53.5;17;44.75;2;-0.5;9.75

15a;Rüegg Fabian;*;;;;;;;;;54.75
-;;;Notz Armin;*;;;;;;;8.75
+;4;8.75;Marty Jaime (2000);;16;54.5;1;10.0;-3;1.25;10.0
+;4;18.75;Bühler Hannes;*;5;57.25;4;18.75;0;0.0;10.0
o;4;28.75;Schnurrenberger Roman;**;7;56.75;5;28.5;1;-0.25;8.5
-;8;37.25;Näf Pius;*;11;55.75;5;38.0;-3;0.75;8.75
-;12;46.0;Brügger Stefan;*;16;54.5;13;45.75;1;-0.25;8.75

15b;Oertle Daniel;;;;;;;;;;54.75
-;;;Alder Armin;;;;;;;;8.75
o;4;8.75;Hari Michi;;14;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;Rüegger Remo (1999);;25;35.5;5;18.5;-5;1.25;10.0
-;10;27.25;Vogel Beat;*;25;35.5;12;26.75;2;-0.5;8.75
+;13;36.0;Schäfli Severin;;23;52.75;14;35.75;1;-0.25;10.0
-;12;46.0;Schlegel Reto;*;17;54.25;14;45.5;2;-0.5;8.75

15c;Egli Martin;;;;;;;;;;54.75
+;;;Blaser Gian (1998);;;;;;;;9.75
+;2;9.75;Oettli Silvio (2000);;16;54.5;5;8.5;3;-1.25;9.75
o;3;19.5;Bühler Ernst;**;4;57.75;7;18.0;4;-1.5;8.5
o;7;28.0;Roth Lukas;*;15;54.75;10;27.25;3;-0.75;8.5
+;11;36.5;Blaser Niklas;;19;53.75;10;36.75;-1;0.25;9.75
o;11;46.25;Krähenbühl Lukas;*;12;55.5;13;45.75;2;-0.5;8.5

15d;Roth Lukas;*;;;;;;;;;54.75
-;;;Dörig Erich;*;;;;;;;8.75
+;4;8.75;Weber Erwin (2000);;25;35.5;1;10.0;-3;1.25;10.0
o;4;18.75;Schläpfer Matthias;*;7;56.75;5;18.5;1;-0.25;8.5
+;10;27.25;Egli Martin;;15;54.75;7;28.0;-3;0.75;10.0
-;8;37.25;Bernold Edi;**;11;55.75;9;37.0;1;-0.25;9.0
o;11;46.25;Schmid Patrick;*;10;56.0;11;46.25;0;0.0;8.5

15e;Fuster Sepp;;;;;;;;;;54.75
+;;;Schlegel Sämi (2000);;;;;;;;9.75
o;2;9.75;Näf Pius;*;11;55.75;5;8.5;3;-1.25;8.5
o;6;18.25;Notz Armin;*;11;55.75;5;18.5;-1;0.25;8.5
-;12;26.75;Hälg Joel (1998);;20;53.5;13;26.25;1;-0.5;9.0
+;14;35.75;Heierli Pascal (1999);;22;53.0;13;36.0;-1;0.25;10.0
-;13;45.75;Odermatt Leon (1999);;19;53.75;16;45.0;3;-0.75;9.0

16a;Thiemann Fabrice;;;;;;;;;;54.5
+;;;Flütsch Marco (1999);;;;;;;;9.75
o;2;9.75;Korrodi Paul;*;16;54.5;4;8.75;2;-1.0;8.5
-;6;18.25;Raschle Adrian;;18;54.0;6;18.25;0;0.0;8.75
+;11;27.0;Salnajs Leo (1998);;25;35.5;11;27.0;0;0.0;10.0
o;9;37.0;Schläpfer Matthias;*;7;56.75;10;36.75;1;-0.25;8.5
-;14;45.5;Marty Jaime (2000);;16;54.5;14;45.5;0;0.0;9.0

16b;Kuster Thomas;*;;;;;;;;;54.5
o;;;Landolt Reto;*;;;;;;;8.75
-;4;8.75;Bickel Roman (1998);;12;55.5;2;9.75;-2;1.0;8.75
+;9;17.5;Gubler Daniel;;14;55.0;6;18.25;-3;0.75;9.75
+;10;27.25;Vogel Thomas;;13;55.25;6;28.25;-4;1.0;10.0
o;8;37.25;Forrer Arnold;***;7;56.75;8;37.25;0;0.0;8.5
o;13;45.75;Hari Michi;;14;55.0;15;45.25;2;-0.5;8.75

16c;Notz Hans;*;;;;;;;;;54.5
o;;;Siegenthaler Tobias;*;;;;;;;8.5
+;5;8.5;Burkhard Roger;;26;35.25;2;9.75;-3;1.25;10.0
o;5;18.5;Giger Urs;*;13;55.25;5;18.5;0;0.0;8.5
-;11;27.0;Heierli Pascal (1999);;22;53.0;10;27.25;-1;0.25;9.0
+;13;36.0;Büsser André;;14;55.0;10;36.75;-3;0.75;9.75
o;13;45.75;Wey Nicola;*;12;55.5;14;45.5;1;-0.25;8.75

16d;Brügger Stefan;*;;;;;;;;;54.5
-;;;Ammann Rico;*;;;;;;;8.75
o;4;8.75;Keller Dominic;;12;55.5;1;10.0;-3;1.25;8.5
+;10;17.25;Tritten Robin (1998);;25;35.5;5;18.5;-5;1.25;10.0
-;10;27.25;Hungerbühler Marcel;;12;55.5;6;28.25;-4;1.0;8.75
+;13;36.0;Bernold Michael (1999);;14;55.0;10;36.75;-3;0.75;9.75
-;13;45.75;Rüegg Fabian;*;15;54.75;12;46.0;-1;0.25;8.75

16e;Marty Jaime (2000);;;;;;;;;;54.5
+;;;Grob Krischan (1999);;;;;;;;10.0
o;1;10.0;Rüegg Fabian;*;15;54.75;4;8.75;3;-1.25;8.5
o;5;18.5;Krähenbühl Lukas;*;12;55.5;6;18.25;1;-0.25;8.5
+;11;27.0;Küng Christian (2000);;25;35.5;11;27.0;0;0.0;9.75
-;10;36.75;Alder Armin;;21;53.25;14;35.75;4;-1.0;8.75
-;14;45.5;Thiemann Fabrice;;16;54.5;14;45.5;0;0.0;9.0

16f;Gwerder Andreas;**;;;;;;;;;54.5
+;;;Koller Martin;*;;;;;;;10.0
o;1;10.0;Giger Samuel (1998);**;3;58.0;2;9.75;1;-0.25;8.5
o;5;18.5;Koch Thomas;;13;55.25;2;19.75;-3;1.25;8.5
-;11;27.0;Straub Robin;*;6;57.0;6;28.25;-5;1.25;9.0
+;13;36.0;Hengartner Ivo;;20;53.5;12;36.25;-1;0.25;10.0
o;12;46.0;Zwyssig Raphael;***;9;56.25;11;46.25;-1;0.25;8.5

16g;Oettli Silvio (2000);;;;;;;;;;54.5
o;;;Frauchiger Remo;;;;;;;;8.5
o;5;8.5;Egli Martin;;15;54.75;2;9.75;-3;1.25;8.75
o;10;17.25;Hengartner Ivo;;20;53.5;8;17.75;-2;0.5;8.75
+;14;26.0;Keller Werner;;27;34.5;15;25.75;1;-0.25;10.0
+;13;36.0;Poltera Andrin (1999);;21;53.25;12;36.25;-1;0.25;10.0
o;12;46.0;Kammermann Thomas;*;12;55.5;14;45.5;2;-0.5;8.5

16h;Korrodi Paul;*;;;;;;;;;54.5
o;;;Dumelin David;*;;;;;;;8.75
+;4;8.75;Thiemann Fabrice;;16;54.5;2;9.75;-2;1.0;10.0
o;4;18.75;Schläpfer Markus;**;7;56.75;4;18.75;0;0.0;8.5
o;10;27.25;Koller Martin;*;6;57.0;9;27.5;-1;0.25;8.75
o;13;36.0;Brand Andreas;*;13;55.25;10;36.75;-3;0.75;8.5
+;18;44.5;Lötscher Abraham (2000);;17;54.25;13;45.75;-5;1.25;10.0

16i;Holenstein Christian;*;;;;;;;;;54.5
o;;;Fejzaj Naim;*;;;;;;;8.5
-;5;8.5;Straub Robin;*;6;57.0;2;9.75;-3;1.25;8.75
+;10;17.25;Küng Christian (2000);;25;35.5;5;18.5;-5;1.25;10.0
-;10;27.25;Freuler Franz;**;9;56.25;9;27.5;-1;0.25;8.75
+;13;36.0;Biäsch Christian;;20;53.5;11;36.5;-2;0.5;9.75
-;13;45.75;Hochholdinger Roman;**;17;54.25;14;45.5;1;-0.25;8.75

16j;Keller Lukas;;;;;;;;;;54.5
+;;;Müller Elias;;;;;;;;9.75
-;2;9.75;Sprecher Sandro;*;21;53.25;4;8.75;2;-1.0;8.75
-;5;18.5;Bickel Roman (1998);;12;55.5;5;18.5;0;0.0;8.75
o;10;27.25;Keller Andreas;;18;54.0;10;27.25;0;0.0;8.5
-;14;35.75;Gartmann Mauro;;21;53.25;13;36.0;-1;0.25;8.75
+;18;44.5;Furrer Matthias;;19;53.75;15;45.25;-3;0.75;10.0

16k;Pfleghart Remo;;;;;;;;;;54.5
+;;;Mathys David;;;;;;;;9.75
o;2;9.75;Hämmerli Gian-Franco;*;26;35.25;5;8.5;3;-1.25;8.5
-;6;18.25;Keller Andreas;;18;54.0;5;18.5;-1;0.25;8.75
o;11;27.0;Raymann David;;13;55.25;11;27.0;0;0.0;8.75
-;14;35.75;Horner Sämi;;20;53.5;14;35.75;0;0.0;9.0
+;17;44.75;Odermatt Michi;;22;53.0;18;44.5;1;-0.25;9.75
o;16;54.5;Odermatt Christoph;*;12;55.5;12;55.5;-4;1.0;0.0

16l;Dörig Erich;*;;;;;;;;;54.5
-;;;Roth Lukas;*;;;;;;;8.75
o;4;8.75;Leuppi Samir;**;8;56.5;4;8.75;0;0.0;8.5
-;10;17.25;Götti Samuel (1998);;12;55.5;6;18.25;-4;1.0;8.75
+;14;26.0;Schwager Ivo;;17;54.25;10;27.25;-4;1.25;10.0
+;13;36.0;Odermatt Leon (1999);;19;53.75;11;36.5;-2;0.5;10.0
o;12;46.0;Bernold Edi;**;11;55.75;12;46.0;0;0.0;8.5

17a;Lötscher Abraham (2000);;;;;;;;;;54.25
-;;;Schwager Ivo;;;;;;;;8.75
o;4;8.75;Schweingruber Thomas;;18;54.0;4;8.75;0;0.0;8.5
+;10;17.25;Schwager Mike (2000);;25;35.5;11;17.0;1;-0.25;9.75
-;11;27.0;Knup Stephan;;25;35.5;12;26.75;1;-0.25;8.75
+;14;35.75;Blaser Andre (2000);;22;53.0;14;35.75;0;0.0;10.0
o;13;45.75;Korrodi Paul;*;16;54.5;18;44.5;5;-1.25;8.5

17b;Blaser Gian (1998);;;;;;;;;;54.25
o;;;Egli Martin;;;;;;;;8.5
+;5;8.5;Bommer Christoph;;26;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Sprecher Sandro;*;21;53.25;9;17.5;4;-1.0;8.5
+;11;27.0;Frei Dominic;;26;35.25;12;26.75;1;-0.25;9.75
o;10;36.75;Frauchiger Remo;;14;55.0;10;36.75;0;0.0;8.75
o;14;45.5;Schönenberger Philipp;;14;55.0;15;45.25;1;-0.25;8.75

17c;Fässler Patrick;;;;;;;;;;54.25
+;;;Hostettler Roman;;;;;;;;9.75
o;2;9.75;Wickli Beat;**;8;56.5;4;8.75;2;-1.0;8.5
+;6;18.25;Aerne Christian;;26;35.25;6;18.25;0;0.0;10.0
-;6;28.25;Bernold Christian;*;13;55.25;10;27.25;4;-1.0;9.0
o;8;37.25;Rhyner Michael;**;7;56.75;9;37.0;1;-0.25;8.5
o;13;45.75;Burkhard Patrick;*;14;55.0;16;45.0;3;-0.75;8.5

17d;Hochholdinger Roman;**;;;;;;;;;54.25
+;;;Krähenbühl Tobias;**;;;;;;;10.0
o;1;10.0;Fejzaj Naim;*;10;56.0;2;9.75;1;-0.25;8.5
o;5;18.5;Schnurrenberger Roman;**;7;56.75;5;18.5;0;0.0;8.75
+;10;27.25;Beck Dominik;;14;55.0;6;28.25;-4;1.0;9.75
o;9;37.0;Glaus Martin;***;12;55.5;9;37.0;0;0.0;8.5
-;14;45.5;Holenstein Christian;*;16;54.5;13;45.75;-1;0.25;8.75

17e;Truniger Manuel;;;;;;;;;;54.25
+;;;Peter Simon;;;;;;;;10.0
o;1;10.0;Schneider Domenic;**;5;57.25;5;8.5;4;-1.5;8.5
-;5;18.5;Zbinden Marc;*;6;57.0;5;18.5;0;0.0;8.75
o;10;27.25;Bickel Roman (1998);;12;55.5;10;27.25;0;0.0;8.5
+;14;35.75;Buchmann Michael;;18;54.0;14;35.75;0;0.0;9.75
-;14;45.5;Sprecher Sandro;*;21;53.25;18;44.5;4;-1.0;8.75

17f;Schlegel Reto;*;;;;;;;;;54.25
o;;;Schläpfer Matthias;*;;;;;;;8.5
+;5;8.5;Blaser Andre (2000);;22;53.0;1;10.0;-4;1.5;10.0
o;5;18.5;Notz Beni;***;6;57.0;4;18.75;-1;0.25;8.75
+;10;27.25;Frauchiger Remo;;14;55.0;6;28.25;-4;1.0;9.75
o;9;37.0;Hersche Martin;**;7;56.75;8;37.25;-1;0.25;8.5
-;14;45.5;Oertle Daniel;;15;54.75;12;46.0;-2;0.5;8.75

17g;Schwager Ivo;;;;;;;;;;54.25
-;;;Lötscher Abraham (2000);;;;;;;;8.75
o;4;8.75;Buchmann Michael;;18;54.0;4;8.75;0;0.0;8.5
+;10;17.25;Dudli Gallus;;29;34.0;11;17.0;1;-0.25;10.0
o;10;27.25;Dörig Erich;*;16;54.5;14;26.0;4;-1.25;8.5
-;14;35.75;Odermatt Michi;;22;53.0;14;35.75;0;0.0;8.75
+;18;44.5;Heierli Pascal (1999);;22;53.0;18;44.5;0;0.0;9.75

17h;Trümpy Simon (1998);;;;;;;;;;54.25
o;;;Koller Fabian;;;;;;;;8.5
+;5;8.5;Koller Valentin;;28;34.25;5;8.5;0;0.0;10.0
o;5;18.5;Zwyssig Raphael;***;9;56.25;9;17.5;4;-1.0;8.5
-;11;27.0;Götti Samuel (1998);;12;55.5;11;27.0;0;0.0;8.75
+;14;35.75;Gubler Daniel;;14;55.0;11;36.5;-3;0.75;9.75
-;14;45.5;Hälg Joel (1998);;20;53.5;17;44.75;3;-0.75;8.75

17i;Inauen Aurel;;;;;;;;;;54.25
+;;;Rüegger Remo (1999);;;;;;;;10.0
o;1;10.0;Bühler Hannes;*;5;57.25;4;8.75;3;-1.25;8.5
-;5;18.5;Straub Paul;;25;35.5;6;18.25;1;-0.25;8.75
+;10;27.25;Hengartner Ivo;;20;53.5;8;27.75;-2;0.5;10.0
o;8;37.25;Rychen Roger;**;8;56.5;6;37.75;-2;0.5;8.5
o;13;45.75;Notz Armin;*;11;55.75;13;45.75;0;0.0;8.5

18a;Tanner Adrian;;;;;;;;;;54.0
+;;;Schönenberger Philipp;;;;;;;;9.75
+;2;9.75;Bommer Joel;;29;34.0;5;8.5;3;-1.25;10.0
o;2;19.75;Coray Beda;*;13;55.25;6;18.25;4;-1.5;8.5
o;6;28.25;Oettli Marco;;8;56.5;5;28.5;-1;0.25;8.5
-;10;36.75;Bernold Christian;*;13;55.25;12;36.25;2;-0.5;8.75
o;14;45.5;Landolt Reto;*;14;55.0;15;45.25;1;-0.25;8.5

18b;Buchmann Michael;;;;;;;;;;54.0
-;;;Hengartner Ivo;;;;;;;;8.75
+;4;8.75;Schwager Ivo;;17;54.25;4;8.75;0;0.0;10.0
o;4;18.75;Schmid Patrick;*;10;56.0;6;18.25;2;-0.5;8.5
o;10;27.25;Zbinden Marc;*;6;57.0;10;27.25;0;0.0;8.5
o;14;35.75;Truniger Manuel;;17;54.25;14;35.75;0;0.0;8.5
+;19;44.25;Schäfli Severin;;23;52.75;19;44.25;0;0.0;9.75

18c;Blaser Jan;*;;;;;;;;;54.0
-;;;Bernold Christian;*;;;;;;;8.75
o;4;8.75;Rychen Roger;**;8;56.5;4;8.75;0;0.0;8.5
+;10;17.25;Schweingruber Thomas;;18;54.0;5;18.5;-5;1.25;9.75
+;11;27.0;Kleinberger Alex;;25;35.5;11;27.0;0;0.0;10.0
o;9;37.0;Zwyssig Raphael;***;9;56.25;12;36.25;3;-0.75;8.5
o;14;45.5;Bickel Roman (1998);;12;55.5;13;45.75;-1;0.25;8.5

18d;Raschle Adrian;;;;;;;;;;54.0
+;;;Gubler Daniel;;;;;;;;9.75
o;2;9.75;Krähenbühl Lukas;*;12;55.5;5;8.5;3;-1.25;8.5
-;6;18.25;Thiemann Fabrice;;16;54.5;6;18.25;0;0.0;8.75
+;11;27.0;Koller Andreas (1998);;25;35.5;11;27.0;0;0.0;9.75
-;10;36.75;Notz Armin;*;11;55.75;9;37.0;-1;0.25;8.75
o;14;45.5;Götti Samuel (1998);;12;55.5;13;45.75;-1;0.25;8.5

18e;Schweingruber Thomas;;;;;;;;;;54.0
-;;;Keller Werner;;;;;;;;8.75
+;4;8.75;Lötscher Abraham (2000);;17;54.25;4;8.75;0;0.0;9.75
o;5;18.5;Blaser Jan;*;18;54.0;10;17.25;5;-1.25;8.5
+;11;27.0;Weber Erwin (2000);;25;35.5;11;27.0;0;0.0;9.75
o;10;36.75;Keller Dominic;;12;55.5;8;37.25;-2;0.5;8.5
-;15;45.25;Hostettler Roman;;19;53.75;16;45.0;1;-0.25;8.75

18f;Wetter Dominik;;;;;;;;;;54.0
+;;;Rieser Fabian;;;;;;;;9.75
o;2;9.75;Odermatt Leon (1999);;19;53.75;2;9.75;0;0.0;8.75
o;5;18.5;Krähenbühl Tobias;**;6;57.0;9;17.5;4;-1.0;8.5
+;11;27.0;Blaser Andre (2000);;22;53.0;11;27.0;0;0.0;10.0
o;9;37.0;Freuler Franz;**;9;56.25;12;36.25;3;-0.75;8.5
o;14;45.5;Hungerbühler Marcel;;12;55.5;14;45.5;0;0.0;8.5

18g;Keller Andreas;;;;;;;;;;54.0
+;;;Schäfli Severin;;;;;;;;9.75
o;2;9.75;Ammann Rico;*;12;55.5;4;8.75;2;-1.0;8.75
-;5;18.5;Pfleghart Remo;;16;54.5;6;18.25;1;-0.25;8.75
+;10;27.25;Keller Lukas;;16;54.5;10;27.25;0;0.0;9.75
o;9;37.0;Bühler Hannes;*;5;57.25;8;37.25;-1;0.25;8.5
o;14;45.5;Vogel Thomas;;13;55.25;15;45.25;1;-0.25;8.5

19a;Fankhauser Jürg;*;;;;;;;;;53.75
o;;;Oettli Marco;;;;;;;;8.5
o;5;8.5;Koller Fabian;;11;55.75;2;9.75;-3;1.25;8.5
+;11;17.0;Knup Stephan;;25;35.5;6;18.25;-5;1.25;9.75
+;12;26.75;Müller Elias;;25;35.5;11;27.0;-1;0.25;9.75
o;11;36.5;Wolfer Lukas;;12;55.5;9;37.0;-2;0.5;8.5
o;16;45.0;Bernold Christian;*;13;55.25;15;45.25;-1;0.25;8.75

19b;Blaser Niklas;;;;;;;;;;53.75
o;;;Wittenwiler Roman (1998);;;;;;;;8.5
+;5;8.5;Gaccioli Benjamin;;29;34.0;5;8.5;0;0.0;9.75
+;6;18.25;Akeret Benno;*;25;35.5;11;17.0;5;-1.25;10.0
o;6;28.25;Kammermann Thomas;*;12;55.5;10;27.25;4;-1.0;8.5
o;10;36.75;Egli Martin;;15;54.75;11;36.5;1;-0.25;8.5
o;15;45.25;Büsser André;;14;55.0;15;45.25;0;0.0;8.5

19c;Hostettler Roman;;;;;;;;;;53.75
o;;;Fässler Patrick;;;;;;;;8.5
+;5;8.5;Flütsch Marco (1999);;25;35.5;5;8.5;0;0.0;9.75
o;6;18.25;Hersche Martin;**;7;56.75;5;18.5;-1;0.25;8.5
+;12;26.75;Tremp Remo (1999);;26;35.25;12;26.75;0;0.0;9.75
o;11;36.5;Götti Samuel (1998);;12;55.5;14;35.75;3;-0.75;8.5
-;16;45.0;Schweingruber Thomas;;18;54.0;15;45.25;-1;0.25;8.75

19d;Furrer Matthias;;;;;;;;;;53.75
o;;;Götti Samuel (1998);;;;;;;;8.5
+;5;8.5;Vogel Simon (2000);;26;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Rhyner Michael;**;7;56.75;10;17.25;5;-1.25;8.5
+;11;27.0;Tritten Robin (1998);;25;35.5;11;27.0;0;0.0;9.75
o;10;36.75;Straub Robin;*;6;57.0;8;37.25;-2;0.5;8.5
o;15;45.25;Keller Lukas;;16;54.5;18;44.5;3;-0.75;8.5

19e;Odermatt Leon (1999);;;;;;;;;;53.75
+;;;Odermatt Michi;;;;;;;;9.75
+;2;9.75;Wetter Dominik;;18;54.0;2;9.75;0;0.0;9.75
o;3;19.5;Landolt Reto;*;14;55.0;5;18.5;2;-1.0;8.5
o;7;28.0;Brand Andreas;*;13;55.25;11;27.0;4;-1.0;8.5
o;11;36.5;Dörig Erich;*;16;54.5;13;36.0;2;-0.5;8.5
-;16;45.0;Fuster Sepp;;15;54.75;13;45.75;-3;0.75;8.75

20a;Hengartner Ivo;;;;;;;;;;53.5
-;;;Buchmann Michael;;;;;;;;9.0
-;3;9.0;Gartmann Mauro;;21;53.25;1;10.0;-2;1.0;8.75
+;8;17.75;Oettli Silvio (2000);;16;54.5;10;17.25;2;-0.5;10.0
o;8;27.75;Inauen Aurel;;17;54.25;10;27.25;2;-0.5;8.5
o;12;36.25;Gwerder Andreas;**;16;54.5;13;36.0;1;-0.25;8.5
-;17;44.75;Alder Armin;;21;53.25;18;44.5;1;-0.25;8.75

20b;Hälg Joel (1998);;;;;;;;;;53.5
-;;;Kleinberger Alex;;;;;;;;8.75
-;4;8.75;Heierli Pascal (1999);;22;53.0;5;8.5;1;-0.25;8.75
-;9;17.5;Poltera Andrin (1999);;21;53.25;9;17.5;0;0.0;8.75
+;13;26.25;Grob Krischan (1999);;29;34.0;16;25.5;3;-0.75;9.75
-;13;36.0;Fuster Sepp;;15;54.75;14;35.75;1;-0.25;8.75
-;17;44.75;Trümpy Simon (1998);;17;54.25;14;45.5;-3;0.75;8.75

20c;Horner Sämi;;;;;;;;;;53.5
o;;;Blaser Andre (2000);;;;;;;;8.5
+;5;8.5;Grob Krischan (1999);;29;34.0;5;8.5;0;0.0;10.0
o;5;18.5;Bernold Christian;*;13;55.25;10;17.25;5;-1.25;8.5
-;11;27.0;Schlegel Sämi (2000);;25;35.5;12;26.75;1;-0.25;8.75
