3377-2016-05-01_111_Thurgauer_Kantonales_Schwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
+;10;27.25;Buchmann Michael;;18;54.0;10;27.25;0;0.0;10.0
+;8;37.25;Frick Andreas;*;12;55.5;9;37.0;1;-0.25;10.0
+;7;47.25;Wittenwiler Roman (1998);;11;55.75;8;47.0;1;-0.25;9.75

6e;Straub Robin;*;;;;;;;;;57.0
+;;;Burkhard Patrick;*;;;;;;;9.75
-;2;9.75;Holenstein Christian;*;16;54.5;5;8.5;3;-1.25;8.75
+;5;18.5;Weber Erwin (2000);;25;35.5;5;18.5;0;0.0;9.75
-;6;28.25;Gwerder Andreas;**;16;54.5;11;27.0;5;-1.25;9.0
+;8;37.25;Furrer Matthias;;19;53.75;10;36.75;2;-0.5;10.0
+;7;47.25;Wolfer Lukas;;12;55.5;8;47.0;1;-0.25;9.75

6f;Krähenbühl Tobias;**;;;;;;;;;57.0
o;;;Hochholdinger Roman;**;;;;;;;8.5
-;5;8.5;Landolt Reto;*;14;55.0;2;9.75;-3;1.25;9.0
+;9;17.5;Wetter Dominik;;18;54.0;5;18.5;-4;1.0;10.0
+;9;27.5;Schmid Patrick;*;10;56.0;7;28.0;-2;0.5;10.0
+;7;37.5;Wittenwiler Roman (1998);;11;55.75;4;38.25;-3;0.75;9.75
+;7;47.25;Frauchiger Remo;;14;55.0;10;46.5;3;-0.75;9.75

7a;Forrer Arnold;***;;;;;;;;;56.75
o;;;Giger Samuel (1998);**;;;;;;;8.5
+;5;8.5;Kammermann Thomas;*;12;55.5;4;8.75;-1;0.25;9.75
+;6;18.25;Brand Andreas;*;13;55.25;5;18.5;-1;0.25;10.0
-;6;28.25;Hersche Martin;**;7;56.75;5;28.5;-1;0.25;9.0
+;8;37.25;Kuster Thomas;*;16;54.5;8;37.25;0;0.0;9.75
+;8;47.0;Schnurrenberger Roman;**;7;56.75;3;48.25;-5;1.25;9.75

7b;Hersche Martin;**;;;;;;;;;56.75
-;;;Leuppi Samir;**;;;;;;;8.75
+;4;8.75;Bernold Christian;*;13;55.25;4;8.75;0;0.0;9.75
+;5;18.5;Hostettler Roman;;19;53.75;6;18.25;1;-0.25;10.0
-;5;28.5;Forrer Arnold;***;7;56.75;6;28.25;1;-0.25;8.75
+;8;37.25;Schlegel Reto;*;17;54.25;9;37.0;1;-0.25;9.75
+;8;47.0;Ammann Rico;*;12;55.5;8;47.0;0;0.0;9.75

7c;Steiner Michael;**;;;;;;;;;56.75
+;;;Bernold Edi;**;;;;;;;10.0
+;1;10.0;Huber Pascal;*;30;27.0;1;10.0;0;0.0;9.75
-;2;19.75;Fejzaj Naim;*;10;56.0;2;19.75;0;0.0;9.0
+;4;28.75;Wittenwiler Roman (1998);;11;55.75;1;29.75;-3;1.0;9.75
+;3;38.5;Schläpfer Markus;**;7;56.75;4;38.25;1;-0.25;9.75
o;3;48.25;Bösch Daniel;***;2;58.25;3;48.25;0;0.0;8.5

7d;Rhyner Michael;**;;;;;;;;;56.75
o;;;Orlik Armon;**;;;;;;;8.5
-;5;8.5;Wey Nicola;*;12;55.5;5;8.5;0;0.0;8.75
+;10;17.25;Furrer Matthias;;19;53.75;5;18.5;-5;1.25;10.0
+;10;27.25;Schläpfer Matthias;*;7;56.75;6;28.25;-4;1.0;9.75
+;9;37.0;Fässler Patrick;;17;54.25;8;37.25;-1;0.25;9.75
+;9;46.75;Näf Pius;*;11;55.75;8;47.0;-1;0.25;10.0

