4404-2019-05-12_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;58.25
+;9;36.75;Marty Jaime;*;8;56.0;5;37.75;-4;1.0;10.0
+;8;46.75;Arnold Christian;;12;55.0;9;46.5;1;-0.25;10.0

5c;Oettli Marco;*;;;;;;;;;56.75
+;;;Oertle Daniel;*;;;;;;;9.75
+;2;9.75;Bickel Roman;*;6;56.5;2;9.75;0;0.0;10.0
o;2;19.75;Leuppi Samir;**;1;58.25;2;19.75;0;0.0;8.5
+;6;28.25;Sieber Marc;;17;53.75;6;28.25;0;0.0;10.0
+;3;38.25;Arztmann Beda;*;4;57.0;3;38.25;0;0.0;10.0
o;2;48.25;Rychen Roger;***;4;57.0;6;47.25;4;-1.0;8.5

5d;Nock Benjamin (2001);;;;;;;;;;56.75
+;;;Fässler Michael;;;;;;;;9.75
o;2;9.75;Baumann Rico;*;6;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Kirchmeier Christof;;12;55.0;7;18.25;0;0.0;9.75
-;7;28.0;Notz Armin;*;16;54.0;11;27.0;4;-1.0;8.75
+;9;36.75;Furrer Matthias;;18;53.5;10;36.5;1;-0.25;10.0
+;8;46.75;Burkhard Patrick;*;10;55.5;7;47.0;-1;0.25;10.0

6a;Bernold Michael;*;;;;;;;;;56.5
-;;;Schmid Patrick;*;;;;;;;9.0
o;3;9.0;Arnold Marcel;*;9;55.75;3;9.0;0;0.0;8.75
+;8;17.75;Maglia Leo;;23;35.25;7;18.25;-1;0.5;10.0
+;8;27.75;Schnurrenberger Roman;**;8;56.0;9;27.5;1;-0.25;10.0
-;5;37.75;Schäppi Urs;*;14;54.5;7;37.25;2;-0.5;8.75
+;9;46.5;Wittenwiler Roman;*;12;55.0;9;46.5;0;0.0;10.0

6b;Baumann Rico;*;;;;;;;;;56.5
o;;;Lehmann Philipp;*;;;;;;;8.75
+;4;8.75;Nock Benjamin (2001);;5;56.75;2;9.75;-2;1.0;10.0
+;5;18.75;Blaser Christian;*;10;55.5;6;18.5;1;-0.25;9.75
+;5;28.5;Funk Nicola;*;6;56.5;5;28.5;0;0.0;9.75
o;3;38.25;Schneider Domenic;***;2;57.5;5;37.75;2;-0.5;8.5
+;8;46.75;Schmid Patrick;*;12;55.0;9;46.5;1;-0.25;9.75

6c;Good Marco;*;;;;;;;;;56.5
-;;;Zimmermann Daniel;*;;;;;;;8.75
+;4;8.75;Giger Lorenz;;17;53.75;2;9.75;-2;1.0;10.0
+;5;18.75;Waser Reto;*;9;55.75;6;18.5;1;-0.25;9.75
+;5;28.5;Riget Ivan;*;15;54.25;6;28.25;1;-0.25;10.0
-;2;38.5;Roth Martin;**;9;55.75;4;38.0;2;-0.5;9.0
-;5;47.5;Ammann Rico;*;9;55.75;8;46.75;3;-0.75;9.0

6d;Funk Nicola;*;;;;;;;;;56.5
+;;;Schudel Simon;*;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;***;3;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Odermatt Michi;;17;53.75;3;19.5;-3;1.0;10.0
o;5;28.5;Baumann Rico;*;6;56.5;5;28.5;0;0.0;8.5
+;8;37.0;Hänni Marc (2001);;17;53.75;9;36.75;1;-0.25;9.75
+;8;46.75;Rhyner Beni;;11;55.25;8;46.75;0;0.0;9.75

6e;Pianta Christian;;;;;;;;;;56.5
+;;;Dändliker Hansheinrich;;;;;;;;10.0
o;1;10.0;Roth Martin;**;9;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Scherrer Pascal;;23;35.25;7;18.25;1;-0.25;9.75
+;6;28.25;Bärtsch Fabian;;10;55.5;5;28.5;-1;0.25;9.75
+;4;38.0;Dändliker Shane;**;11;55.25;9;36.75;5;-1.25;10.0
o;3;48.0;Schneider Domenic;***;2;57.5;4;47.75;1;-0.25;8.5

6f;Bickel Roman;*;;;;;;;;;56.5
+;;;Schwyn Adrian;*;;;;;;;9.75
o;2;9.75;Oettli Marco;*;5;56.75;2;9.75;0;0.0;8.5
+;7;18.25;Anliker Andri (2003);;20;52.75;5;18.75;-2;0.5;9.75
+;7;28.0;Horner Sämi;;12;55.0;7;28.0;0;0.0;10.0
o;4;38.0;Burkhalter Stefan;***;11;55.25;10;36.5;6;-1.5;8.5
+;9;46.5;Plüer Fabian (2003);;12;55.0;9;46.5;0;0.0;10.0

6g;Keller Andreas;*;;;;;;;;;56.5
o;;;Krähenbühl Lukas;*;;;;;;;8.5
+;5;8.5;Stähli Jan;;16;54.0;2;9.75;-3;1.25;9.75
+;7;18.25;Wingeier Janik;;22;35.5;6;18.5;-1;0.25;10.0
o;6;28.25;Gmür Pirmin;**;8;56.0;10;27.25;4;-1.0;8.5
+;9;36.75;Brunner Timon;;11;55.25;9;36.75;0;0.0;9.75
+;9;46.5;Blaser Christian;*;10;55.5;8;46.75;-1;0.25;10.0

7a;Schlegel Werner (2002);*;;;;;;;;;56.25
-;;;Arnold Marcel;*;;;;;;;9.0
-;3;9.0;Krähenbühl Lukas;*;13;54.75;2;9.75;-1;0.75;8.75
+;8;17.75;Schuler Martin;;10;55.5;5;18.75;-3;1.0;10.0
+;8;27.75;Klauser Guido;;22;35.5;11;27.0;3;-0.75;10.0
o;5;37.75;Vollenweider Jeremy;*;4;57.0;6;37.5;1;-0.25;8.75
+;9;46.5;Roth Martin;**;9;55.75;7;47.0;-2;0.5;9.75

7b;Schudel Simon;*;;;;;;;;;56.25
o;;;Funk Nicola;*;;;;;;;8.5
+;5;8.5;Plüer Fabian (2003);;12;55.0;2;9.75;-3;1.25;9.75
+;7;18.25;Kunz Daniel;*;16;54.0;6;18.5;-1;0.25;9.75
+;7;28.0;Buchmann Michael;;9;55.75;6;28.25;-1;0.25;9.75
o;5;37.75;Wey Nicola;*;3;57.25;5;37.75;0;0.0;8.5
+;10;46.25;Hauser Simon;;13;54.75;10;46.25;0;0.0;10.0

7c;Oertle Daniel;*;;;;;;;;;56.25
o;;;Oettli Marco;*;;;;;;;8.5
-;5;8.5;Bollhalder Manuel (2001);;9;55.75;1;10.0;-4;1.5;9.0
-;9;17.5;Wetter Silvan;;14;54.5;5;18.75;-4;1.25;8.75
+;14;26.25;Steiner Lukas (2002);;23;35.25;12;26.75;-2;0.5;10.0
+;11;36.25;Baumgartner Ramon (2002);;10;55.5;9;36.75;-2;0.5;10.0
+;10;46.25;Burkhard Tobias;;12;55.0;10;46.25;0;0.0;10.0

7d;Kindlimann Fabian;***;;;;;;;;;56.25
-;;;Schneider Domenic;***;;;;;;;8.75
+;4;8.75;Inauen Andreas;*;13;54.75;1;10.0;-3;1.25;10.0
-;5;18.75;Schmid Patrick;*;12;55.0;4;19.0;-1;0.25;8.75
+;9;27.5;Straub Robin;*;14;54.5;5;28.5;-4;1.0;10.0
-;6;37.5;Räbsamen Marcel;;3;57.25;2;38.5;-4;1.0;8.75
+;10;46.25;Koller Fabian;*;13;54.75;10;46.25;0;0.0;10.0

7e;Kammermann Thomas;*;;;;;;;;;56.25
o;;;Rotach Lars;;;;;;;;8.5
+;5;8.5;Laager Michael (2001);;22;35.5;1;10.0;-4;1.5;9.75
+;7;18.25;Fässler Michael;;15;54.25;6;18.5;-1;0.25;9.75
o;7;28.0;Burkhalter Stefan;***;11;55.25;13;26.5;6;-1.5;8.5
+;10;36.5;Bollier Fabian;;16;54.0;8;37.0;-2;0.5;10.0
+;9;46.5;Gwerder Andreas;**;10;55.5;7;47.0;-2;0.5;9.75

8a;Marty Jaime;*;;;;;;;;;56.0
-;;;Ackermann Remo;*;;;;;;;8.75
+;4;8.75;Schiesser Patrik;;22;35.5;2;9.75;-2;1.0;10.0
-;5;18.75;Elmer Daniel;*;8;56.0;5;18.75;0;0.0;9.0
+;8;27.75;Grimm Michael;;17;53.75;7;28.0;-1;0.25;10.0
o;5;37.75;Schneider Mario;**;5;56.75;9;36.75;4;-1.0;8.5
+;10;46.25;Schwyn Patrick;;12;55.0;9;46.5;-1;0.25;9.75

8b;Elmer Daniel;*;;;;;;;;;56.0
-;;;Ammann Rico;*;;;;;;;8.75
+;4;8.75;Sieber Marc;;17;53.75;2;9.75;-2;1.0;10.0
-;5;18.75;Marty Jaime;*;8;56.0;5;18.75;0;0.0;9.0
+;8;27.75;Furrer Matthias;;18;53.5;7;28.0;-1;0.25;9.75
+;6;37.5;Burkhard Patrick;*;10;55.5;3;38.25;-3;0.75;10.0
o;5;47.5;Krähenbühl Tobias;***;3;57.25;6;47.25;1;-0.25;8.5

8c;Rüegg Patrick;;;;;;;;;;56.0
-;;;Schönenberger Björn;;;;;;;;8.75
+;4;8.75;Biser Niklaus;;22;35.5;5;8.5;1;-0.25;10.0
-;5;18.75;Forrer Arnold;***;28;26.25;9;17.5;4;-1.25;8.75
+;9;27.5;Tobler Pius (2001);;20;52.75;10;27.25;1;-0.25;10.0
-;6;37.5;Schläpfer Matthias;*;14;54.5;7;37.25;1;-0.25;8.75
+;10;46.25;Schmid Gian (2003);;13;54.75;10;46.25;0;0.0;9.75

8d;Gmür Pirmin;**;;;;;;;;;56.0
-;;;Zbinden Marc;*;;;;;;;8.75
-;4;8.75;Vollenweider Jeremy;*;4;57.0;1;10.0;-3;1.25;8.75
+;9;17.5;Straub Paul;;11;55.25;5;18.75;-4;1.25;9.75
+;10;27.25;Keller Andreas;*;6;56.5;6;28.25;-4;1.0;10.0
-;7;37.25;Schmid Patrick;*;12;55.0;5;37.75;-2;0.5;8.75
+;11;46.0;Schläpfer Matthias;*;14;54.5;11;46.0;0;0.0;10.0

8e;Schnurrenberger Roman;**;;;;;;;;;56.0
-;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Brunner Timon;;11;55.25;2;9.75;-2;1.0;9.75
-;6;18.5;Bärtsch Fabian;;10;55.5;2;19.75;-4;1.25;9.0
o;9;27.5;Bernold Michael;*;6;56.5;8;27.75;-1;0.25;8.5
+;12;36.0;Büchler Livio (2001);;17;53.75;9;36.75;-3;0.75;10.0
+;11;46.0;Rotach Lars;;14;54.5;11;46.0;0;0.0;10.0

9a;Buchmann Michael;;;;;;;;;;55.75
+;;;Bollier Fabian;;;;;;;;10.0
+;1;10.0;Martin Tobias (2001);;11;55.25;2;9.75;1;-0.25;9.75
o;2;19.75;Krähenbühl Lukas;*;13;54.75;6;18.5;4;-1.25;8.5
o;6;28.25;Schudel Simon;*;7;56.25;7;28.0;1;-0.25;8.75
+;8;37.0;Sieber Marc;;17;53.75;9;36.75;1;-0.25;10.0
o;7;47.0;Schmidlin Tobias (2001);;4;57.0;7;47.0;0;0.0;8.75

9b;Roth Martin;**;;;;;;;;;55.75
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;4;8.75;Pianta Christian;;6;56.5;1;10.0;-3;1.25;9.75
+;6;18.5;Schmidlin Tobias (2001);;4;57.0;1;20.0;-5;1.5;9.75
+;6;28.25;Schneider Mario;**;5;56.75;6;28.25;0;0.0;9.75
-;4;38.0;Good Marco;*;6;56.5;2;38.5;-2;0.5;9.0
o;7;47.0;Schlegel Werner (2002);*;7;56.25;9;46.5;2;-0.5;8.75

9c;Arnold Marcel;*;;;;;;;;;55.75
-;;;Schlegel Werner (2002);*;;;;;;;9.0
+;3;9.0;Bernold Michael;*;6;56.5;3;9.0;0;0.0;10.0
o;4;19.0;Schneider Domenic;***;2;57.5;4;19.0;0;0.0;8.5
+;9;27.5;Kobler Janosch;;10;55.5;6;28.25;-3;0.75;9.75
+;7;37.25;Wetter Silvan;;14;54.5;7;37.25;0;0.0;10.0
o;6;47.25;Vollenweider Jeremy;*;4;57.0;6;47.25;0;0.0;8.5

9d;Hugelshofer Lars (2001);*;;;;;;;;;55.75
o;;;Arztmann Beda;*;;;;;;;8.5
+;5;8.5;Grimm Michael;;17;53.75;2;9.75;-3;1.25;10.0
+;6;18.5;Burkhard Tobias;;12;55.0;3;19.5;-3;1.0;10.0
o;5;28.5;Gwerder Andreas;**;10;55.5;5;28.5;0;0.0;8.5
+;8;37.0;Bärtsch Fabian;;10;55.5;8;37.0;0;0.0;10.0
o;7;47.0;Wey Nicola;*;3;57.25;5;47.5;-2;0.5;8.75

9e;Rhyner Michael;**;;;;;;;;;55.75
+;;;Waser Reto;*;;;;;;;10.0
+;1;10.0;Rychen Roger;***;4;57.0;4;8.75;3;-1.25;10.0
+;1;20.0;Burkhard Patrick;*;10;55.5;2;19.75;1;-0.25;10.0
o;1;30.0;Leuppi Samir;**;1;58.25;2;29.5;1;-0.5;8.5
-;2;38.5;Gwerder Andreas;**;10;55.5;3;38.25;1;-0.25;8.75
o;6;47.25;Zbinden Marc;*;4;57.0;7;47.0;1;-0.25;8.5

9f;Schlegel Reto;*;;;;;;;;;55.75
-;;;Landolt Reto;*;;;;;;;8.75
+;4;8.75;Ackermann Rico (2003);;16;54.0;2;9.75;-2;1.0;10.0
o;5;18.75;Notz Beni;***;10;55.5;9;17.5;4;-1.25;8.5
+;10;27.25;Kiener Raphael;;15;54.25;10;27.25;0;0.0;9.75
-;8;37.0;Waser Reto;*;9;55.75;8;37.0;0;0.0;8.75
+;12;45.75;Bucher Roman (2003);;15;54.25;12;45.75;0;0.0;10.0

9g;Bollhalder Manuel (2001);;;;;;;;;;55.75
+;;;Rhyner Beni;;;;;;;;10.0
-;1;10.0;Oertle Daniel;*;7;56.25;5;8.5;4;-1.5;9.0
o;4;19.0;Schneider Mario;**;5;56.75;7;18.25;3;-0.75;8.5
-;9;27.5;Keller Lukas;;14;54.5;10;27.25;1;-0.25;8.75
+;11;36.25;Aerne Christian;*;19;53.25;12;36.0;1;-0.25;9.75
+;11;46.0;Schäppi Urs;*;14;54.5;11;46.0;0;0.0;9.75

9h;Ammann Rico;*;;;;;;;;;55.75
-;;;Elmer Daniel;*;;;;;;;8.75
+;4;8.75;Scherrer Pascal;;23;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Lehmann Philipp;*;5;56.75;5;18.75;0;0.0;9.75
+;5;28.5;Odermatt Michi;;17;53.75;7;28.0;2;-0.5;9.75
o;3;38.25;Rychen Roger;***;4;57.0;7;37.25;4;-1.0;8.5
-;8;46.75;Good Marco;*;6;56.5;5;47.5;-3;0.75;9.0

9i;Waser Reto;*;;;;;;;;;55.75
o;;;Rhyner Michael;**;;;;;;;8.5
+;5;8.5;Horner Sämi;;12;55.0;2;9.75;-3;1.25;10.0
o;6;18.5;Good Marco;*;6;56.5;5;18.75;-1;0.25;8.5
+;11;27.0;Giger Lorenz;;17;53.75;7;28.0;-4;1.0;10.0
-;8;37.0;Schlegel Reto;*;9;55.75;8;37.0;0;0.0;8.75
+;12;45.75;Tschudi Mario (2001);;15;54.25;12;45.75;0;0.0;10.0

10a;Blaser Christian;*;;;;;;;;;55.5
o;;;Straub Robin;*;;;;;;;8.5
+;5;8.5;Kirchmeier Christof;;12;55.0;2;9.75;-3;1.25;10.0
o;6;18.5;Baumann Rico;*;6;56.5;5;18.75;-1;0.25;8.75
+;10;27.25;Steiner Joel;;16;54.0;10;27.25;0;0.0;9.75
+;8;37.0;Junker Nik;;11;55.25;9;36.75;1;-0.25;9.75
o;8;46.75;Keller Andreas;*;6;56.5;9;46.5;1;-0.25;8.75

10b;Notz Beni;***;;;;;;;;;55.5
-;;;Schnurrenberger Roman;**;;;;;;;8.75
-;4;8.75;Dändliker Shane;**;11;55.25;1;10.0;-3;1.25;8.75
+;9;17.5;Schlegel Reto;*;9;55.75;5;18.75;-4;1.25;9.75
+;10;27.25;Wittenwiler Roman;*;12;55.0;6;28.25;-4;1.0;9.75
+;8;37.0;Schmidlin Tobias (2001);;4;57.0;2;38.5;-6;1.5;9.75
-;8;46.75;Schläpfer Markus;**;10;55.5;8;46.75;0;0.0;8.75

10c;Burkhard Patrick;*;;;;;;;;;55.5
+;;;Aerne Christian;*;;;;;;;9.75
+;2;9.75;Alder Armin;*;14;54.5;1;10.0;-1;0.25;10.0
o;2;19.75;Rhyner Michael;**;9;55.75;1;20.0;-1;0.25;8.5
+;6;28.25;Stähli Jan;;16;54.0;6;28.25;0;0.0;10.0
o;3;38.25;Elmer Daniel;*;8;56.0;6;37.5;3;-0.75;8.75
o;7;47.0;Nock Benjamin (2001);;5;56.75;8;46.75;1;-0.25;8.5

10d;Gwerder Andreas;**;;;;;;;;;55.5
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Kiser Michael;;22;35.5;1;10.0;-3;1.25;9.75
+;6;18.5;Arnold Christian;;12;55.0;2;19.75;-4;1.25;10.0
+;5;28.5;Hugelshofer Lars (2001);*;9;55.75;5;28.5;0;0.0;9.75
-;3;38.25;Rhyner Michael;**;9;55.75;2;38.5;-1;0.25;8.75
o;7;47.0;Kammermann Thomas;*;7;56.25;9;46.5;2;-0.5;8.5

10e;Schuler Martin;;;;;;;;;;55.5
-;;;Keller Lukas;;;;;;;;8.75
+;4;8.75;Siegenthaler Joël (2003);;27;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Schlegel Werner (2002);*;7;56.25;8;17.75;3;-1.0;8.5
+;10;27.25;Anliker Andri (2003);;20;52.75;10;27.25;0;0.0;10.0
o;7;37.25;Lehmann Philipp;*;5;56.75;7;37.25;0;0.0;8.5
+;12;45.75;Fässler Michael;;15;54.25;12;45.75;0;0.0;9.75

10f;Baumgartner Ramon (2002);;;;;;;;;;55.5
+;;;Junker Nik;;;;;;;;9.75
o;2;9.75;Schäppi Urs;*;14;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Horner Sämi;;12;55.0;7;18.25;0;0.0;8.5
+;12;26.75;Zehnder Mario;;23;35.25;12;26.75;0;0.0;10.0
o;9;36.75;Oertle Daniel;*;7;56.25;11;36.25;2;-0.5;8.75
+;13;45.5;Kunz Daniel;*;16;54.0;13;45.5;0;0.0;10.0

10g;Kobler Janosch;;;;;;;;;;55.5
+;;;Hänni Marc (2001);;;;;;;;9.75
o;2;9.75;Schläpfer Markus;**;10;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Büchler Livio (2001);;17;53.75;7;18.25;0;0.0;10.0
o;6;28.25;Arnold Marcel;*;9;55.75;9;27.5;3;-0.75;8.5
+;9;36.75;Forster Christian;;11;55.25;9;36.75;0;0.0;10.0
o;8;46.75;Lehmann Philipp;*;5;56.75;7;47.0;-1;0.25;8.75

10h;Wickli Beat;**;;;;;;;;;55.5
+;;;Wittenwiler Roman;*;;;;;;;9.75
o;2;9.75;Schneider Domenic;***;2;57.5;3;9.0;1;-0.75;8.5
+;7;18.25;Bollier Fabian;;16;54.0;6;18.5;-1;0.25;10.0
+;6;28.25;Schläpfer Markus;**;10;55.5;6;28.25;0;0.0;9.75
o;4;38.0;Lanter Christian;;3;57.25;2;38.5;-2;0.5;8.75
-;8;46.75;Burkhalter Stefan;***;11;55.25;9;46.5;1;-0.25;8.75

10i;Bärtsch Fabian;;;;;;;;;;55.5
+;;;Schwager Ivo;;;;;;;;9.75
+;2;9.75;Koller Fabian;*;13;54.75;5;8.5;3;-1.25;10.0
-;2;19.75;Schnurrenberger Roman;**;8;56.0;6;18.5;4;-1.25;8.75
o;5;28.5;Pianta Christian;;6;56.5;6;28.25;1;-0.25;8.5
o;8;37.0;Hugelshofer Lars (2001);*;9;55.75;8;37.0;0;0.0;8.5
+;13;45.5;Stähli Jan;;16;54.0;13;45.5;0;0.0;10.0

10j;Schläpfer Markus;**;;;;;;;;;55.5
o;;;Schneider Mario;**;;;;;;;8.5
+;5;8.5;Kobler Janosch;;10;55.5;2;9.75;-3;1.25;9.75
+;7;18.25;Klauser Guido;;22;35.5;6;18.5;-1;0.25;10.0
o;6;28.25;Wickli Beat;**;10;55.5;6;28.25;0;0.0;8.5
+;9;36.75;Alder Armin;*;14;54.5;7;37.25;-2;0.5;10.0
-;8;46.75;Notz Beni;***;10;55.5;8;46.75;0;0.0;8.75

11a;Landolt Reto;*;;;;;;;;;55.25
-;;;Schlegel Reto;*;;;;;;;8.75
+;4;8.75;Büchler Livio (2001);;17;53.75;2;9.75;-2;1.0;9.75
o;6;18.5;Zbinden Marc;*;4;57.0;5;18.75;-1;0.25;8.5
+;11;27.0;Hänni Marc (2001);;17;53.75;6;28.25;-5;1.25;10.0
+;8;37.0;Inauen Aurel;;12;55.0;9;36.75;1;-0.25;9.75
o;8;46.75;Arztmann Beda;*;4;57.0;7;47.0;-1;0.25;8.5

11b;Straub Paul;;;;;;;;;;55.25
-;;;Wetter Silvan;;;;;;;;8.75
+;4;8.75;Pallaoro Luca;;26;34.25;4;8.75;0;0.0;10.0
o;5;18.75;Gmür Pirmin;**;8;56.0;9;17.5;4;-1.25;8.5
o;10;27.25;Egli Martin;;15;54.25;10;27.25;0;0.0;8.5
+;13;35.75;Kiener Raphael;;15;54.25;13;35.75;0;0.0;9.75
+;13;45.5;Büchler Livio (2001);;17;53.75;14;45.25;1;-0.25;9.75

11c;Junker Nik;;;;;;;;;;55.25
o;;;Baumgartner Ramon (2002);;;;;;;;8.5
