2986-2017-08-13_110_Nordwestschweizer_Schwingfest-ST

1a;Hersche Martin;***;;;;;;;;;59.0
+;5;18.75;Wiedmer Yannick;;17;54.0;6;18.5;1;-0.25;10.0
o;4;28.75;Aeschbacher Matthias;**;3;58.0;1;29.75;-3;1.0;8.5
-;7;37.25;Stoll Simon;*;10;55.75;4;38.25;-3;1.0;8.75
+;10;46.0;Krebs Clemens;;12;55.25;7;46.75;-3;0.75;9.75

10e;Steinmann Yves;*;;;;;;;;;55.75
+;;;Scherrer Johann;**;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;4;57.5;3;9.0;2;-1.0;8.5
+;6;18.5;Imobersteg Matthias (2001);;8;56.5;3;19.5;-3;1.0;10.0
o;5;28.5;Thoenen Henryc;**;6;57.0;5;28.5;0;0.0;8.5
+;8;37.0;Grossmann Andreas;;16;54.25;8;37.0;0;0.0;10.0
-;6;47.0;Stoll Simon;*;10;55.75;6;47.0;0;0.0;8.75

10f;Müller Simon;;;;;;;;;;55.75
-;;;Burtschi Michael;;;;;;;;8.75
o;4;8.75;Büttler Adrian (1999);;11;55.5;4;8.75;0;0.0;8.75
+;9;17.5;Nussbaumer Dominik;;31;34.0;11;17.0;2;-0.5;10.0
+;9;27.5;Tschan Raphael (2000);;30;34.25;16;25.75;7;-1.75;9.75
o;7;37.25;Widmer Cyrill;*;17;54.0;13;35.75;6;-1.5;8.5
+;11;45.75;Vogt Patrick (1999);;20;53.0;16;44.5;5;-1.25;10.0

10g;Stoll Simon;*;;;;;;;;;55.75
+;;;Arnold Kornel;*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;5;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Lehmann Robin (1999);;26;44.0;6;18.5;-1;0.25;10.0
+;6;28.25;Vogel Remo (2001);;21;52.75;10;27.25;4;-1.0;10.0
-;4;38.25;Schmid David;***;10;55.75;7;37.25;3;-1.0;8.75
-;6;47.0;Steinmann Yves;*;10;55.75;6;47.0;0;0.0;8.75

11a;Waldner Patrick;**;;;;;;;;;55.5
-;;;Winiger Fabian;**;;;;;;;8.75
-;4;8.75;Jusufi Ilber;;23;44.75;1;10.0;-3;1.25;8.75
+;9;17.5;Schwenkfelder Lukas;;25;44.25;10;17.25;1;-0.25;9.75
+;10;27.25;Büttler Gian (2000);;12;55.25;6;28.25;-4;1.0;9.75
o;8;37.0;Schmid Samuel;**;11;55.5;7;37.25;-1;0.25;8.5
+;12;45.5;Widmer David;;13;55.0;9;46.25;-3;0.75;10.0

11b;Studer Remo;;;;;;;;;;55.5
+;;;Graber Colin;;;;;;;;9.75
+;2;9.75;Büchi Christian;;13;55.0;1;10.0;-1;0.25;10.0
o;2;19.75;Wicki Joel;**;2;58.25;5;18.75;3;-1.0;8.5
+;6;28.25;Widmer David;;13;55.0;8;27.75;2;-0.5;10.0
-;4;38.25;Arnold Kornel;*;17;54.0;8;37.0;4;-1.25;8.75
o;6;47.0;Brand Christian;**;8;56.5;8;46.5;2;-0.5;8.5

11c;Lisser Daniel;*;;;;;;;;;55.5
o;;;Mangold Michael;*;;;;;;;8.75
o;4;8.75;Läuchli Janik (2000);;16;54.25;2;9.75;-2;1.0;8.5
+;10;17.25;Roth Christian;;18;53.75;6;18.5;-4;1.25;10.0
+;10;27.25;Rüegger Aaron (1999);;10;55.75;9;27.5;-1;0.25;10.0
o;7;37.25;Lang Martin;**;22;45.5;9;36.75;2;-0.5;8.5
+;11;45.75;Grossmann Andreas;;16;54.25;12;45.5;1;-0.25;9.75

11d;Dobler Florian;;;;;;;;;;55.5
+;;;Lang Martin;**;;;;;;;9.75
o;2;9.75;Arnold Kornel;*;17;54.0;5;8.5;3;-1.25;8.5
+;7;18.25;Schmid Samuel;**;11;55.5;4;19.0;-3;0.75;10.0
-;6;28.25;Jusufi Ilber;;23;44.75;10;27.25;4;-1.0;8.75
+;8;37.0;Eggen Markus;;11;55.5;8;37.0;0;0.0;10.0
o;6;47.0;Bearda Samuel;;8;56.5;7;46.75;1;-0.25;8.5

11e;Eggen Markus;;;;;;;;;;55.5
+;;;Brack Simon;;;;;;;;10.0
o;1;10.0;Schmutz Adrian;*;11;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Brand Christian;**;8;56.5;7;18.25;1;-0.25;8.5
+;11;27.0;Stoll Thomas;;15;54.5;10;27.25;-1;0.25;10.0
o;8;37.0;Dobler Florian;;11;55.5;8;37.0;0;0.0;8.5
+;12;45.5;Wiedmer Yannick;;17;54.0;12;45.5;0;0.0;10.0

11f;Büttler Adrian (1999);;;;;;;;;;55.5
-;;;Bearda Samuel;;;;;;;;8.75
+;4;8.75;Müller Simon;;10;55.75;4;8.75;0;0.0;9.75
o;6;18.5;Büchi Christian;;13;55.0;6;18.5;0;0.0;8.75
o;10;27.25;Kramer Lario;**;9;56.0;15;26.0;5;-1.25;8.5
+;13;35.75;Vogel Remo (2001);;21;52.75;13;35.75;0;0.0;10.0
+;11;45.75;Gisin Yanic;;18;53.75;13;45.25;2;-0.5;9.75

11g;Schmutz Adrian;*;;;;;;;;;55.5
o;;;Klausner Yanick;**;;;;;;;8.5
+;5;8.5;Eggen Markus;;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Nyffenegger Florian (2001);;18;53.75;2;19.75;-4;1.25;10.0
o;5;28.5;Thürig Mario;***;6;57.0;5;28.5;0;0.0;8.5
+;8;37.0;Burren Patrick (1999);;19;53.5;10;36.5;2;-0.5;10.0
o;6;47.0;Alpiger Nick;***;5;57.25;5;47.25;-1;0.25;8.5

11h;Schmid Samuel;**;;;;;;;;;55.5
+;;;Probst Gabriel;**;;;;;;;10.0
-;1;10.0;Borcard Johann;**;9;56.0;4;8.75;3;-1.25;9.0
o;4;19.0;Dobler Florian;;11;55.5;7;18.25;3;-0.75;8.5
+;9;27.5;Brügger Joël (2000);;12;55.25;6;28.25;-3;0.75;9.75
+;7;37.25;Waldner Patrick;**;11;55.5;8;37.0;1;-0.25;9.75
o;6;47.0;Kropf Marcel;**;6;57.0;6;47.0;0;0.0;8.5

11i;Anderegg David;*;;;;;;;;;55.5
o;;;Kropf Marcel;**;;;;;;;8.5
o;5;8.5;Imobersteg Matthias (2001);;8;56.5;2;9.75;-3;1.25;8.75
+;10;17.25;Burkart Simon;;27;35.5;10;17.25;0;0.0;10.0
o;10;27.25;Stegmüller Klemens;*;12;55.25;11;27.0;1;-0.25;8.5
+;13;35.75;Gisin Yanic;;18;53.75;9;36.75;-4;1.0;9.75
+;12;45.5;Voggensperger Lars (2001);;15;54.5;10;46.0;-2;0.5;10.0

11j;Bader Andreas;**;;;;;;;;;55.5
o;;;Henzer Andreas;**;;;;;;;8.5
+;5;8.5;Hermann Oliver;*;27;35.5;4;8.75;-1;0.25;9.75
+;7;18.25;Vogel Remo (2001);;21;52.75;5;18.75;-2;0.5;10.0
+;6;28.25;Reimann Marco;;12;55.25;6;28.25;0;0.0;10.0
o;4;38.25;Räbmatter Patrick;***;5;57.25;6;37.5;2;-0.75;8.5
-;7;46.75;Jusufi Azret;;12;55.25;8;46.5;1;-0.25;8.75

12a;Brügger Joël (2000);;;;;;;;;;55.25
+;;;Ris Jörn;;;;;;;;9.75
+;2;9.75;Burren Patrick (1999);;19;53.5;2;9.75;0;0.0;10.0
o;2;19.75;Räbmatter Patrick;***;5;57.25;5;18.75;3;-1.0;8.5
o;6;28.25;Schmid Samuel;**;11;55.5;9;27.5;3;-0.75;8.5
o;9;36.75;Jusufi Azret;;12;55.25;9;36.75;0;0.0;8.5
+;13;45.25;Nyffenegger Florian (2001);;18;53.75;13;45.25;0;0.0;10.0

12b;Schaffner Samuel;**;;;;;;;;;55.25
-;;;Erb Roger;**;;;;;;;8.75
+;4;8.75;Schillig Willi;**;29;34.5;5;8.5;1;-0.25;9.75
+;6;18.5;Brügger Cyrill;;13;55.0;6;18.5;0;0.0;10.0
o;5;28.5;Döbeli Lukas (2000);*;6;57.0;7;28.0;2;-0.5;8.5
+;8;37.0;Imobersteg Matthias (2001);;8;56.5;5;38.0;-3;1.0;9.75
o;7;46.75;Thürig Mario;***;6;57.0;6;47.0;-1;0.25;8.5

12c;Bachmann Sämi (2001);;;;;;;;;;55.25
+;;;Kramer Lukas (2001);;;;;;;;10.0
o;1;10.0;Jusufi Azret;;12;55.25;2;9.75;1;-0.25;8.5
+;6;18.5;Meier Fabian;;27;35.5;7;18.25;1;-0.25;9.75
o;6;28.25;Arnold Kornel;*;17;54.0;11;27.0;5;-1.25;8.5
o;9;36.75;Schär Simon;*;12;55.25;9;36.75;0;0.0;8.5
+;13;45.25;Vogel Remo (2001);;21;52.75;17;44.25;4;-1.0;10.0

12d;Nussbaumer Gabriel;;;;;;;;;;55.25
+;;;Bieri Florian (2001);;;;;;;;9.75
+;2;9.75;Furrer Mathias;;28;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Gisler Bruno;***;4;57.5;4;19.0;1;-0.5;8.5
o;7;28.0;Strebel Joel;**;8;56.5;7;28.0;0;0.0;8.5
o;10;36.5;Widmer David;;13;55.0;11;36.25;1;-0.25;8.75
+;13;45.25;Schwenkfelder Lukas;;25;44.25;17;44.25;4;-1.0;10.0

12e;Bieli Andreas;;;;;;;;;;55.25
+;;;Meier Fabian;;;;;;;;10.0
+;1;10.0;Müller Christian;;27;35.5;2;9.75;1;-0.25;9.75
o;2;19.75;Thürig Mario;***;6;57.0;6;18.5;4;-1.25;8.5
+;6;28.25;Läuchli Janik (2000);;16;54.25;6;28.25;0;0.0;9.75
-;5;38.0;Odermatt Adrian (2001);*;15;54.5;8;37.0;3;-1.0;8.75
o;7;46.75;Hügli Kaj;*;6;57.0;6;47.0;-1;0.25;8.5

12f;Büttler Gian (2000);;;;;;;;;;55.25
+;;;Reinhard Pirmin (2001);;;;;;;;9.75
+;2;9.75;Meyer Lukas (2001);;28;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Bieri Christoph;***;7;56.75;6;18.5;4;-1.25;8.5
o;6;28.25;Waldner Patrick;**;11;55.5;10;27.25;4;-1.0;8.5
+;9;36.75;Läuchli Janik (2000);;16;54.25;9;36.75;0;0.0;9.75
o;8;46.5;Mangold Michael;*;6;57.0;6;47.0;-2;0.5;8.75

12g;Reimann Marco;;;;;;;;;;55.25
+;;;Gisin Yanic;;;;;;;;9.75
+;2;9.75;Burtschi Michael;;30;34.25;4;8.75;2;-1.0;10.0
o;2;19.75;Thoenen Henryc;**;6;57.0;5;18.75;3;-1.0;8.5
o;6;28.25;Bader Andreas;**;11;55.5;6;28.25;0;0.0;8.5
o;9;36.75;Brügger Cyrill;;13;55.0;9;36.75;0;0.0;8.5
+;13;45.25;Siebenpfund Joshua;;21;52.75;17;44.25;4;-1.0;10.0

12h;Jusufi Azret;;;;;;;;;;55.25
+;;;Burkart Simon;;;;;;;;9.75
+;2;9.75;Bachmann Sämi (2001);;12;55.25;1;10.0;-1;0.25;10.0
o;2;19.75;Kuster Marcel;***;7;56.75;6;18.5;4;-1.25;8.5
o;6;28.25;Erb Roger;**;4;57.5;9;27.5;3;-0.75;8.5
+;9;36.75;Brügger Joël (2000);;12;55.25;9;36.75;0;0.0;9.75
