4099-2018-05-13_114_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;110.25
-;;;Gloggner Philipp;***;;;;;;;8.75
-;;;Zumstein Marcel;;;;;;;;9.0
-;1;17.75;Heiniger Marco;*;6;56.75;2;10.0;1;-7.75;8.75
+;1;17.75;Albert Stefan (2002);;26;35.25;3;9.75;2;-8.0;10.0
+;1;36.5;Della Torre Simon;;12;55.25;7;18.5;6;-18.0;9.75
o;1;36.5;Burch Jonas;*;14;54.75;6;18.75;5;-17.75;8.5
+;1;54.75;Gassmann Michael;*;18;53.75;7;28.0;6;-26.75;9.75
+;1;54.75;Zimmermann Raffael (2000);;16;54.25;11;27.0;10;-27.75;10.0
-;1;74.5;Muff André;*;10;55.75;9;37.25;8;-37.25;8.75
o;1;74.5;Durrer Nando;;8;56.25;8;37.5;7;-37.0;8.5
+;1;91.75;Fässler Dominic;**;16;54.25;13;45.75;12;-46.0;10.0
o;1;91.75;Bürgi Reto;*;9;56.0;12;46.0;11;-45.75;8.5

2a;Imhof Andi;***;;;;;;;;;58.75
+;;;Nötzli Reto;***;;;;;;;9.75
+;3;9.75;Käslin Benno;*;15;54.5;2;10.0;-1;0.25;9.75
+;4;19.5;Schuler Christian;***;24;37.5;3;19.75;-1;0.25;9.75
+;3;29.25;Betschart Remo;**;5;57.0;5;28.5;2;-0.75;9.75
+;3;39.0;Portmann Josef;*;6;56.75;4;38.5;1;-0.5;9.75
+;2;48.75;Schurtenberger Sven;***;5;57.0;3;48.25;1;-0.5;10.0

3a;Schelbert Ralf;**;;;;;;;;;57.5
+;;;Herger Matthias;**;;;;;;;9.75
+;3;9.75;Rohrer Ueli;*;10;55.75;3;9.75;0;0.0;9.75
-;4;19.5;Gloggner Philipp;***;13;55.0;7;18.5;3;-1.0;8.75
+;6;28.25;Gasser Dominik 2;;16;54.25;4;28.75;-2;0.5;9.75
+;6;38.0;Kurmann Toni;;6;56.75;4;38.5;-2;0.5;9.75
+;5;47.75;Reichmuth Marco;**;9;56.0;7;47.25;2;-0.5;9.75

3b;Steinauer Adrian;**;;;;;;;;;57.5
-;;;Hurschler Thomas;**;;;;;;;8.75
-;5;8.75;Fessler Linus;**;9;56.0;6;8.5;1;-0.25;9.0
+;9;17.75;Ming Christian 2;;11;55.5;6;18.75;-3;1.0;10.0
+;8;27.75;von Ah Markus;;13;55.0;6;28.25;-2;0.5;10.0
+;7;37.75;Bachmann Roger;*;9;56.0;8;37.5;1;-0.25;9.75
+;6;47.5;Rohrer Beat;*;8;56.25;6;47.5;0;0.0;10.0

4a;Nötzli Reto;***;;;;;;;;;57.25
o;;;Imhof Andi;***;;;;;;;8.5
+;6;8.5;Rohrer Beat;*;8;56.25;3;9.75;-3;1.25;10.0
+;7;18.5;Zimmermann Martin;**;8;56.25;3;19.75;-4;1.25;10.0
+;5;28.5;Herger Matthias;**;6;56.75;5;28.5;0;0.0;10.0
-;4;38.5;Rohrer Ivan;**;6;56.75;5;38.25;1;-0.25;9.0
+;6;47.5;Arnold Fabian;;7;56.5;4;48.0;-2;0.5;9.75

4b;Bieri Marcel;**;;;;;;;;;57.25
+;;;Gloggner Reto;**;;;;;;;10.0
+;2;10.0;Hess Dominik;*;11;55.5;2;10.0;0;0.0;10.0
-;2;20.0;Müllestein Mike;***;7;56.5;5;19.0;3;-1.0;8.75
o;4;28.75;Schurtenberger Sven;***;5;57.0;4;28.75;0;0.0;8.75
+;8;37.5;Müller Roger;;6;56.75;5;38.25;-3;0.75;9.75
+;7;47.25;Wyss Christian;;11;55.5;8;47.0;1;-0.25;10.0

4c;Müller Michael;**;;;;;;;;;57.25
-;;;Rohrer Ivan;**;;;;;;;8.75
+;5;8.75;Vonlaufen Lukas;*;16;54.25;6;8.5;1;-0.25;10.0
-;6;18.75;Mathis Marcel;***;9;56.0;7;18.5;1;-0.25;8.75
+;9;27.5;von Wyl Simon;;25;36.0;9;27.5;0;0.0;10.0
+;8;37.5;Heinzer Stefan;**;10;55.75;9;37.25;1;-0.25;10.0
+;6;47.5;Arnold Daniel;*;9;56.0;6;47.5;0;0.0;9.75

4d;Scheuber Lutz;**;;;;;;;;;57.25
-;;;Peng Mike;***;;;;;;;8.75
+;5;8.75;Durrer Fabian;*;14;54.75;3;9.75;-2;1.0;10.0
+;6;18.75;Kurmann Toni;;6;56.75;3;19.75;-3;1.0;9.75
-;5;28.5;Schuler Christian;***;24;37.5;5;28.5;0;0.0;9.0
+;8;37.5;Heiniger Luca;;11;55.5;9;37.25;1;-0.25;9.75
+;7;47.25;Vogel Manuel;;13;55.0;10;46.5;3;-0.75;10.0

5a;Betschart Remo;**;;;;;;;;;57.0
o;;;Zimmermann Martin;**;;;;;;;8.75
+;5;8.75;Zimmermann Simon;**;20;53.25;5;8.75;0;0.0;9.75
+;7;18.5;Gander Michael;;13;55.0;4;19.5;-3;1.0;10.0
