4161-2019-06-02_Luzerner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;112.0
+;13;46.25;Epp Elias (2003);;16;54.75;13;46.25;0;0.0;10.0

10k;Fankhauser Erich;***;;;;;;;;;56.25
-;;;Betschart Remo;**;;;;;;;9.0
+;4;9.0;Betschart Patrick;*;9;56.5;3;9.75;-1;0.75;10.0
+;5;19.0;Achermann Christoph;*;13;55.5;4;19.5;-1;0.5;10.0
-;6;29.0;Wyrsch Marco;**;9;56.5;5;29.25;-1;0.25;8.75
+;9;37.75;Höﬂiger Andreas;**;11;56.0;9;37.75;0;0.0;9.75
o;8;47.5;Bernhard Lukas;*;5;57.5;7;47.75;-1;0.25;8.75

10l;Waser Dominik;**;;;;;;;;;56.25
+;;;Müller Michael;**;;;;;;;10.0
o;2;10.0;Wicki Joel;**;3;58.5;3;9.75;1;-0.25;8.5
+;7;18.5;Muff Reto;;18;54.25;3;19.75;-4;1.25;9.75
-;9;28.25;Felder Martin;*;6;57.25;8;28.5;-1;0.25;9.0
+;11;37.25;Vogel Marcel;;19;54.0;12;37.0;1;-0.25;10.0
-;9;47.25;Zurﬂuh Roman;**;9;56.5;8;47.5;-1;0.25;9.0

11a;Widmer Adrian;*;;;;;;;;;56.0
+;;;Betschart Silvan;*;;;;;;;9.75
o;3;9.75;Schneider Domenic;***;8;56.75;6;8.5;3;-1.25;8.5
+;8;18.25;Ettlin Kevin (2001);;13;55.5;7;18.5;-1;0.25;10.0
-;9;28.25;Bättig Martin;*;12;55.75;8;28.5;-1;0.25;8.75
+;12;37.0;von Ah Markus;;14;55.25;12;37.0;0;0.0;10.0
-;10;47.0;Bernet Christoph;*;10;56.25;9;47.25;-1;0.25;9.0

11b;Wyss Christian;;;;;;;;;;56.0
+;;;Amrhyn Jonas (2003);;;;;;;;10.0
o;2;10.0;Bucher André (2001);;13;55.5;3;9.75;1;-0.25;8.75
o;6;18.75;Schöpfer Ronny;*;9;56.5;7;18.5;1;-0.25;8.5
+;13;27.25;Arnold Sebastian;;29;35.5;14;27.0;1;-0.25;10.0
-;11;37.25;Durrer Jonas (2003);*;16;54.75;15;36.25;4;-1.0;8.75
+;14;46.0;Lagler Christian;;17;54.5;14;46.0;0;0.0;10.0

11c;Oettli Marco;*;;;;;;;;;56.0
-;;;Schmid Simon;*;;;;;;;9.0
o;4;9.0;Suppiger Werner;**;6;57.25;4;9.0;0;0.0;8.5
+;11;17.5;Stäger Franz;;18;54.25;6;18.75;-5;1.25;9.75
+;13;27.25;Scherrer Fabian (2002);;26;37.0;9;28.25;-4;1.0;10.0
-;11;37.25;Odermatt Andreas;*;12;55.75;11;37.25;0;0.0;8.75
+;14;46.0;Egli Adrian (2002);;17;54.5;14;46.0;0;0.0;10.0

11d;Höﬂiger Andreas;**;;;;;;;;;56.0
-;;;Felder Martin;*;;;;;;;9.0
-;4;9.0;Fellmann Roman;**;10;56.25;4;9.0;0;0.0;8.75
+;10;17.75;Zgraggen Peter;;15;55.0;6;18.75;-4;1.0;10.0
+;11;27.75;Bucher Thomas;;13;55.5;8;28.5;-3;0.75;10.0
o;9;37.75;Fankhauser Erich;***;10;56.25;9;37.75;0;0.0;8.5
+;13;46.25;Vogel Manuel;;15;55.0;12;46.5;-1;0.25;9.75

11e;Arnold Severin;*;;;;;;;;;56.0
+;;;Müller Roger;*;;;;;;;9.75
+;3;9.75;Ambühl Joel;**;6;57.25;4;9.0;1;-0.75;10.0
o;3;19.75;Wyss Sven (2001);;8;56.75;2;20.0;-1;0.25;8.75
-;8;28.5;Schärli Reto;*;12;55.75;8;28.5;0;0.0;8.75
o;11;37.25;Troxler Jonas;;8;56.75;8;38.0;-3;0.75;8.75
+;14;46.0;Amrhyn Christoph (2002);;17;54.5;14;46.0;0;0.0;10.0

11f;Gwerder Christian;**;;;;;;;;;56.0
+;;;Thierstein Marco;*;;;;;;;10.0
+;2;10.0;Barmet Sven;;12;55.75;3;9.75;1;-0.25;10.0
o;2;20.0;Wicki Joel;**;3;58.5;3;19.75;1;-0.25;8.5
-;8;28.5;Fink Bruno;*;9;56.5;7;28.75;-1;0.25;8.75
+;11;37.25;Wandeler Roman (2002);;14;55.25;8;38.0;-3;0.75;9.75
-;10;47.0;Portmann Roger;;13;55.5;11;46.75;1;-0.25;9.0

11g;Stöckli Damian;*;;;;;;;;;56.0
-;;;Grab Daniel;**;;;;;;;8.75
o;5;8.75;Waser Reto;*;8;56.75;5;8.75;0;0.0;8.5
+;12;17.25;Forster Christian;;29;35.5;7;18.5;-5;1.25;10.0
+;13;27.25;Mehr Lars (2002);;12;55.75;9;28.25;-4;1.0;10.0
-;11;37.25;Blaser Theo;*;13;55.5;12;37.0;1;-0.25;8.75
+;14;46.0;Vogel Marcel;;19;54.0;16;45.5;2;-0.5;10.0

11h;Gasser Peter;*;;;;;;;;;56.0
-;;;Bachmann Roger;*;;;;;;;8.75
o;5;8.75;Heiniger Marco;*;25;46.0;6;8.5;1;-0.25;8.5
+;12;17.25;Bucheli Dario (2001);;17;54.5;7;18.5;-5;1.25;9.75
-;14;27.0;Schwyzer Samuel (2001);;14;55.25;10;28.0;-4;1.0;9.0
+;16;36.0;Affentranger Martin;;21;53.5;14;36.5;-2;0.5;10.0
+;14;46.0;Müller Roger;*;17;54.5;14;46.0;0;0.0;10.0

11i;Burkhalter Stefan;***;;;;;;;;;56.0
-;;;Suppiger Werner;**;;;;;;;9.0
+;4;9.0;Muff Armin;**;9;56.5;2;10.0;-2;1.0;10.0
+;5;19.0;Fink Bruno;*;9;56.5;2;20.0;-3;1.0;9.75
o;7;28.75;Schurtenberger Sven;***;4;58.0;3;29.75;-4;1.0;8.5
-;11;37.25;Fellmann Roman;**;10;56.25;9;37.75;-2;0.5;8.75
+;14;46.0;Hirsiger Alexander;*;17;54.5;14;46.0;0;0.0;10.0

12a;Schuler Daniel;*;;;;;;;;;55.75
o;;;Schöpfer Ronny;*;;;;;;;8.5
o;6;8.5;Lemmenmeier Lukas;*;8;56.75;5;8.75;-1;0.25;8.5
+;13;17.0;Ming Christian 2;;19;54.0;7;18.5;-6;1.5;9.75
+;15;26.75;Schumacher Marco;;19;54.0;13;27.25;-2;0.5;10.0
+;13;36.75;Graber Michael;*;14;55.25;12;37.0;-1;0.25;10.0
-;11;46.75;Bühler Patrice;;12;55.75;11;46.75;0;0.0;9.0

12b;Bühlmann Daniel;;;;;;;;;;55.75
o;;;Suter Beat;;;;;;;;8.5
+;6;8.5;Füglister Stefan (2003);;33;34.25;5;8.75;-1;0.25;10.0
+;7;18.5;Egli Samuel;;29;35.5;7;18.5;0;0.0;10.0
o;8;28.5;Müller Michael;**;7;57.0;8;28.5;0;0.0;8.5
o;12;37.0;Bühler Patrice;;12;55.75;12;37.0;0;0.0;8.75
+;15;45.75;Auf der Maur Michael;;19;54.0;16;45.5;1;-0.25;10.0

12c;Gasser Dominik 2;;;;;;;;;;55.75
-;;;Schwyzer Samuel (2001);;;;;;;;9.0
+;4;9.0;Schöpfer Roman (2003);;34;34.0;6;8.5;2;-0.5;9.75
o;6;18.75;Ambühl Joel;**;6;57.25;10;17.75;4;-1.0;8.5
o;13;27.25;Widmer Dominik;;19;54.0;13;27.25;0;0.0;8.5
+;17;35.75;Rust Sandro;;21;53.5;14;36.5;-3;0.75;10.0
+;15;45.75;Johann Michael (2001);;21;53.5;18;45.0;3;-0.75;10.0

12d;Schärli Reto;*;;;;;;;;;55.75
o;;;Schürpf Bruno;*;;;;;;;8.5
+;6;8.5;Betschart Marcel;*;29;35.5;6;8.5;0;0.0;10.0
+;7;18.5;Bissig Lukas (2003);;21;53.5;4;19.5;-3;1.0;10.0
-;8;28.5;Arnold Severin;*;11;56.0;8;28.5;0;0.0;8.75
+;11;37.25;Ettlin Kevin (2001);;13;55.5;12;37.0;1;-0.25;10.0
o;9;47.25;Hurschler Thomas;**;5;57.5;7;47.75;-2;0.5;8.5

12e;Wicki Patrick;;;;;;;;;;55.75
o;;;Suter Pirmin;;;;;;;;8.5
+;6;8.5;Wicki David (2002);;29;35.5;6;8.5;0;0.0;10.0
+;7;18.5;Giger Janik (2002);;30;35.25;8;18.25;1;-0.25;10.0
-;8;28.5;Durrer Fabian;*;14;55.25;11;27.75;3;-0.75;8.75
+;11;37.25;Wyrsch Silvio;*;13;55.5;11;37.25;0;0.0;10.0
o;9;47.25;Suppiger Werner;**;6;57.25;9;47.25;0;0.0;8.5

12f;Schmid Simon;*;;;;;;;;;55.75
-;;;Oettli Marco;*;;;;;;;8.75
o;5;8.75;Betschart Remo;**;7;57.0;4;9.0;-1;0.25;8.5
+;12;17.25;Egli Christian;;35;27.0;7;18.5;-5;1.25;9.75
+;14;27.0;Kälin Michael (2002);;21;53.5;12;27.5;-2;0.5;10.0
-;12;37.0;Kenel Franz-Toni;*;12;55.75;12;37.0;0;0.0;8.75
+;15;45.75;Müller Daniel (2002);;18;54.25;15;45.75;0;0.0;10.0

12g;Bühler Patrice;;;;;;;;;;55.75
-;;;von Euw Lukas (2002);;;;;;;;8.75
+;5;8.75;Troxler Silvan (2002);;19;54.0;6;8.5;1;-0.25;10.0
o;6;18.75;Schneider Mario;**;6;57.25;11;17.5;5;-1.25;8.5
+;13;27.25;Blattmann Philipp;;29;35.5;14;27.0;1;-0.25;9.75
+;12;37.0;Bühlmann Daniel;;12;55.75;12;37.0;0;0.0;9.75
-;11;46.75;Schuler Daniel;*;12;55.75;11;46.75;0;0.0;9.0

12h;Odermatt Andreas;*;;;;;;;;;55.75
-;;;Lemmenmeier Lukas;*;;;;;;;8.75
o;5;8.75;Zurﬂuh Roman;**;9;56.5;4;9.0;-1;0.25;8.75
+;11;17.5;Schmid Joel;;29;35.5;7;18.5;-4;1.0;10.0
+;12;27.5;Fellmann Simon;;14;55.25;9;28.25;-3;0.75;9.75
-;11;37.25;Oettli Marco;*;11;56.0;11;37.25;0;0.0;8.75
+;14;46.0;Brunner Timon;;17;54.5;14;46.0;0;0.0;9.75

12i;Würsch Lars;*;;;;;;;;;55.75
-;;;Kammermann Christoph;*;;;;;;;8.75
o;5;8.75;Suppiger Thomas;*;12;55.75;5;8.75;0;0.0;8.75
+;11;17.5;Doppmann Ueli;;13;55.5;6;18.75;-5;1.25;10.0
o;12;27.5;Riebli Urs (2002);;14;55.25;9;28.25;-3;0.75;8.5
+;16;36.0;Gisler Stefan;;20;53.75;13;36.75;-3;0.75;9.75
+;15;45.75;Troxler Silvan (2002);;19;54.0;16;45.5;1;-0.25;10.0

12j;Suppiger Thomas;*;;;;;;;;;55.75
-;;;Kenel Franz-Toni;*;;;;;;;8.75
+;5;8.75;Würsch Lars;*;12;55.75;5;8.75;0;0.0;9.75
o;7;18.5;Suter Pirmin;;14;55.25;4;19.5;-3;1.0;8.75
+;13;27.25;Amrhyn Christoph (2002);;17;54.5;11;27.75;-2;0.5;10.0
+;11;37.25;Widmer Dominik;;19;54.0;12;37.0;1;-0.25;10.0
o;9;47.25;Schneider Domenic;***;8;56.75;10;47.0;1;-0.25;8.5

12k;Bättig Martin;*;;;;;;;;;55.75
+;;;Durrer Jonas (2003);*;;;;;;;10.0
+;2;10.0;Della Torre Simon;;13;55.5;3;9.75;1;-0.25;10.0
o;2;20.0;Steinauer Adrian;**;8;56.75;6;18.75;4;-1.25;8.5
-;8;28.5;Widmer Adrian;*;11;56.0;9;28.25;1;-0.25;8.75
o;11;37.25;Suter Beat;;9;56.5;10;37.5;-1;0.25;8.5
+;15;45.75;Banz Matthias (2001);;19;54.0;16;45.5;1;-0.25;10.0

12l;Wicki David;;;;;;;;;;55.75
+;;;Rust Sandro;;;;;;;;10.0
+;2;10.0;Steinger Nico (2001);;24;52.75;2;10.0;0;0.0;10.0
o;2;20.0;Wyrsch Marco;**;9;56.5;4;19.5;2;-0.5;8.5
-;8;28.5;Durrer Jonas (2003);*;16;54.75;12;27.5;4;-1.0;8.75
+;11;37.25;Hodler Mathias;;19;54.0;12;37.0;1;-0.25;10.0
o;9;47.25;Lemmenmeier Lukas;*;8;56.75;10;47.0;1;-0.25;8.5

12m;Kenel Franz-Toni;*;;;;;;;;;55.75
-;;;Suppiger Thomas;*;;;;;;;8.75
-;5;8.75;Schneider Mario;**;6;57.25;5;8.75;0;0.0;8.75
+;11;17.5;Egli Matthias (2001);;17;54.5;6;18.75;-5;1.25;9.75
+;13;27.25;Achermann Daniel;;20;53.75;9;28.25;-4;1.0;9.75
-;12;37.0;Schmid Simon;*;12;55.75;12;37.0;0;0.0;9.0
+;14;46.0;Kammermann Christoph;*;17;54.5;14;46.0;0;0.0;9.75

12n;Kammermann Thomas;*;;;;;;;;;55.75
o;;;Ettlin Stefan;**;;;;;;;8.5
-;6;8.5;Durrer Jonas (2003);*;16;54.75;6;8.5;0;0.0;9.0
+;11;17.5;Hodler Mathias;;19;54.0;7;18.5;-4;1.0;9.75
+;13;27.25;Bucher André (2001);;13;55.5;9;28.25;-4;1.0;9.75
o;12;37.0;Grab Daniel;**;10;56.25;15;36.25;3;-0.75;8.75
+;15;45.75;Reichlin Reto (2002);;20;53.75;17;45.25;2;-0.5;10.0

12o;Barmet Sven;;;;;;;;;;55.75
+;;;Staffelbach Noah (2003);;;;;;;;9.75
o;3;9.75;Gwerder Christian;**;11;56.0;2;10.0;-1;0.25;8.5
+;8;18.25;Blattmann Philipp;;29;35.5;7;18.5;-1;0.25;10.0
o;9;28.25;Schneider Mario;**;6;57.25;13;27.25;4;-1.0;8.5
+;13;36.75;Hodel Martin;;16;54.75;16;36.0;3;-0.75;10.0
-;11;46.75;Kessler Joel;*;10;56.25;9;47.25;-2;0.5;9.0

12p;Mehr Lars (2002);;;;;;;;;;55.75
+;;;Krummenacher Roman;;;;;;;;10.0
+;2;10.0;Doppmann Ueli;;13;55.5;2;10.0;0;0.0;9.75
o;3;19.75;Felder Martin;*;6;57.25;6;18.75;3;-1.0;8.5
o;9;28.25;Stöckli Damian;*;11;56.0;13;27.25;4;-1.0;8.5
+;13;36.75;Achermann Daniel;;20;53.75;13;36.75;0;0.0;10.0
-;11;46.75;Muff Armin;**;9;56.5;8;47.5;-3;0.75;9.0

13a;Müller Mathias;;;;;;;;;;55.5
+;;;Bussmann Martin;;;;;;;;10.0
+;2;10.0;Birrer Marcel (2001);;29;35.5;3;9.75;1;-0.25;10.0
o;2;20.0;Brun Jonas;**;8;56.75;6;18.75;4;-1.25;8.5
o;8;28.5;Schöpfer Ronny;*;9;56.5;9;28.25;1;-0.25;8.5
+;12;37.0;Bättig Patrick (2003);;19;54.0;12;37.0;0;0.0;10.0
o;10;47.0;Thierstein Marco;*;6;57.25;8;47.5;-2;0.5;8.5

13b;Della Torre Simon;;;;;;;;;;55.5
+;;;Gisler Stefan;;;;;;;;9.75
+;3;9.75;Theiler Thomas;;28;35.75;2;10.0;-1;0.25;9.75
o;4;19.5;Bättig Martin;*;12;55.75;2;20.0;-2;0.5;8.5
-;10;28.0;Kammermann Christoph;*;17;54.5;13;27.25;3;-0.75;8.75
+;13;36.75;Renggli Remo (2001);;20;53.75;13;36.75;0;0.0;9.75
-;12;46.5;Achermann Christoph;*;13;55.5;12;46.5;0;0.0;9.0

13c;Kurmann Jvo;;;;;;;;;;55.5
+;;;Staub Ivan;;;;;;;;9.75
o;3;9.75;Lustenberger Florian (2002);;13;55.5;2;10.0;-1;0.25;8.75
o;7;18.5;Scherrer Fabian (2002);;26;37.0;8;18.25;1;-0.25;8.5
+;14;27.0;Gwerder Beni;;29;35.5;14;27.0;0;0.0;10.0
+;12;37.0;Wallimann Remo;*;17;54.5;16;36.0;4;-1.0;10.0
o;10;47.0;Steinauer Adrian;**;8;56.75;10;47.0;0;0.0;8.5

13d;Achermann Simon;;;;;;;;;;55.5
+;;;Föhn Christian (2002);;;;;;;;10.0
o;2;10.0;Bernhard Lukas;*;5;57.5;3;9.75;1;-0.25;8.5
+;7;18.5;Fischer Maurus (2001);;19;54.0;6;18.75;-1;0.25;10.0
o;8;28.5;Kempf Elias;**;10;56.25;12;27.5;4;-1.0;8.5
+;12;37.0;Zumstein Patrick;;18;54.25;12;37.0;0;0.0;10.0
o;10;47.0;Zürcher Ueli;*;7;57.0;10;47.0;0;0.0;8.5

13e;Dissler Philipp;*;;;;;;;;;55.5
o;;;Felder Seppi;*;;;;;;;8.5
-;6;8.5;Arnold Raphael;**;10;56.25;4;9.0;-2;0.5;8.75
+;12;17.25;Staub Ivan;;29;35.5;7;18.5;-5;1.25;9.75
+;14;27.0;Epp Elias (2003);;16;54.75;10;28.0;-4;1.0;10.0
o;12;37.0;Ettlin Stefan;**;8;56.75;13;36.75;1;-0.25;8.5
+;16;45.5;Widmer Dominik;;19;54.0;16;45.5;0;0.0;10.0

13f;Achermann Christoph;*;;;;;;;;;55.5
+;;;Imfeld Beat;*;;;;;;;9.75
+;3;9.75;Scherrer Fabian (2002);;26;37.0;3;9.75;0;0.0;9.75
o;4;19.5;Fankhauser Erich;***;10;56.25;5;19.0;1;-0.5;8.5
+;10;28.0;Zumstein Patrick;;18;54.25;8;28.5;-2;0.5;10.0
o;8;38.0;Bernhard Lukas;*;5;57.5;9;37.75;1;-0.25;8.5
-;12;46.5;Della Torre Simon;;13;55.5;12;46.5;0;0.0;9.0

13g;Achermann Severin;;;;;;;;;;55.5
o;;;Herger Andreas;;;;;;;;8.5
+;6;8.5;Würsch Kevin (2003);;29;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Blaser Theo;*;13;55.5;12;17.25;5;-1.25;8.5
+;14;27.0;von Flüe Michael;;29;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Zurﬂuh Roman;**;9;56.5;10;37.5;-2;0.5;8.5
+;16;45.5;Zumstein Patrick;;18;54.25;16;45.5;0;0.0;10.0

13h;Bieri Elias;;;;;;;;;;55.5
+;;;Marti Pirmin (2001);;;;;;;;10.0
+;2;10.0;Risi Janik;;21;53.5;3;9.75;1;-0.25;9.75
o;3;19.75;Ettlin Stefan;**;8;56.75;7;18.5;4;-1.25;8.5
+;9;28.25;Betschart Silvan;*;29;35.5;14;27.0;5;-1.25;10.0
o;7;38.25;Kurmann Toni;*;8;56.75;6;38.5;-1;0.25;8.75
o;10;47.0;Doppmann Urs;**;8;56.75;11;46.75;1;-0.25;8.5

13i;Scherer Niklaus;*;;;;;;;;;55.5
-;;;Blaser Theo;*;;;;;;;8.75
o;5;8.75;Bürli Roger;**;10;56.25;5;8.75;0;0.0;8.5
+;12;17.25;Bättig Patrick (2003);;19;54.0;7;18.5;-5;1.25;10.0
+;13;27.25;Muff Reto;;18;54.25;9;28.25;-4;1.0;9.75
-;12;37.0;Kempf Elias;**;10;56.25;10;37.5;-2;0.5;8.75
+;15;45.75;Roschi Adrian;;19;54.0;16;45.5;1;-0.25;9.75

13j;Bucher André (2001);;;;;;;;;;55.5
+;;;Marti Philipp (2002);;;;;;;;9.75
+;3;9.75;Wyss Christian;;11;56.0;2;10.0;-1;0.25;10.0
o;3;19.75;Doppmann Urs;**;8;56.75;7;18.5;4;-1.25;8.5
o;9;28.25;Kammermann Thomas;*;12;55.75;13;27.25;4;-1.0;8.75
+;12;37.0;Johann Michael (2001);;21;53.5;14;36.5;2;-0.5;10.0
o;10;47.0;Felder Martin;*;6;57.25;8;47.5;-2;0.5;8.5

13k;Wyrsch Silvio;*;;;;;;;;;55.5
o;;;Scherrer Fabian (2002);;;;;;;;8.5
o;6;8.5;Hess Dominik;*;15;55.0;4;9.0;-2;0.5;8.75
+;12;17.25;Arnold Sebastian;;29;35.5;7;18.5;-5;1.25;10.0
+;13;27.25;Bissig Lukas (2003);;21;53.5;10;28.0;-3;0.75;10.0
o;11;37.25;Wicki Patrick;;12;55.75;11;37.25;0;0.0;8.5
+;15;45.75;Fischer Maurus (2001);;19;54.0;16;45.5;1;-0.25;9.75

13l;Felder Seppi;*;;;;;;;;;55.5
+;;;Dissler Philipp;*;;;;;;;9.75
-;3;9.75;Lagler Christian;;17;54.5;2;10.0;-1;0.25;8.75
o;7;18.5;Suppiger René;***;7;57.0;13;17.0;6;-1.5;8.5
-;14;27.0;Fallegger Joel;;16;54.75;12;27.5;-2;0.5;8.75
+;17;35.75;Schmid Pius;;20;53.75;14;36.5;-3;0.75;10.0
+;15;45.75;Föhn Christian (2002);;19;54.0;16;45.5;1;-0.25;9.75

13m;Bucher Thomas;;;;;;;;;;55.5
+;;;Kottmann Daniel;;;;;;;;9.75
-;3;9.75;Gwerder Beni;;29;35.5;3;9.75;0;0.0;8.75
+;7;18.5;Betschart Marcel;*;29;35.5;13;17.0;6;-1.5;10.0
o;8;28.5;Höﬂiger Andreas;**;11;56.0;11;27.75;3;-0.75;8.5
+;12;37.0;Banz Matthias (2001);;19;54.0;13;36.75;1;-0.25;10.0
o;10;47.0;Heinzer Stefan;**;1;112.0;1;92.25;-9;45.25;8.5

13n;Wüest David;;;;;;;;;;55.5
+;;;Wicki Fabian (2001);;;;;;;;10.0
-;2;10.0;Weber Ivo;;15;55.0;2;10.0;0;0.0;9.0
-;5;19.0;Heinzer Stefan;*;1;112.0;1;36.75;-4;17.75;9.0
+;10;28.0;Peter Lukas (2001);;29;35.5;14;27.0;4;-1.0;10.0
-;8;38.0;Fink Bruno;*;9;56.5;10;37.5;2;-0.5;9.0
o;10;47.0;Murer Andy;**;8;56.75;11;46.75;1;-0.25;8.5

13o;Bühler Kilian;;;;;;;;;;55.5
+;;;Beer Andy;;;;;;;;9.75
o;3;9.75;Betschart Daniel;;14;55.25;2;10.0;-1;0.25;8.75
+;7;18.5;Käslin Benno;*;29;35.5;12;17.25;5;-1.25;10.0
o;8;28.5;Arnold Raphael;**;10;56.25;12;27.5;4;-1.0;8.5
+;12;37.0;Föhn Christian (2002);;19;54.0;13;36.75;1;-0.25;10.0
o;10;47.0;Fellmann Roman;**;10;56.25;12;46.5;2;-0.5;8.5

13p;Blaser Theo;*;;;;;;;;;55.5
-;;;Scherer Niklaus;*;;;;;;;8.75
o;5;8.75;Egli Damian;**;8;56.75;5;8.75;0;0.0;8.5
+;12;17.25;Achermann Severin;;13;55.5;7;18.5;-5;1.25;9.75
+;14;27.0;Elmiger Andreas;;27;36.5;10;28.0;-4;1.0;10.0
-;12;37.0;Stöckli Damian;*;11;56.0;11;37.25;-1;0.25;8.75
+;15;45.75;Bussmann Martin;;20;53.75;17;45.25;2;-0.5;9.75

13q;Portmann Roger;;;;;;;;;;55.5
+;;;Arnold Sebastian;;;;;;;;9.75
+;3;9.75;Betschart Roger (2003);;29;35.5;3;9.75;0;0.0;10.0
-;3;19.75;Graber Michael;*;14;55.25;7;18.5;4;-1.25;8.75
o;8;28.5;Thierstein Marco;*;6;57.25;11;27.75;3;-0.75;8.5
+;12;37.0;Meier Andreas;;20;53.75;13;36.75;1;-0.25;9.75
-;11;46.75;Gwerder Christian;**;11;56.0;10;47.0;-1;0.25;8.75

13r;Ettlin Kevin (2001);;;;;;;;;;55.5
o;;;Riebli Leon (2003);;;;;;;;8.5
+;6;8.5;Jung Valentin (2003);;30;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Widmer Adrian;*;11;56.0;8;18.25;1;-0.25;8.5
+;14;27.0;Hodel Joel (2003);;29;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Schärli Reto;*;12;55.75;11;37.25;-1;0.25;8.5
+;16;45.5;Krummenacher Roman;;18;54.25;15;45.75;-1;0.25;10.0

13s;Lustenberger Josef;;;;;;;;;;55.5
+;;;Affentranger Martin;;;;;;;;9.75
+;3;9.75;Egli Christian;;35;27.0;2;10.0;-1;0.25;10.0
-;3;19.75;Schürpf Bruno;*;18;54.25;7;18.5;4;-1.25;8.75
o;8;28.5;Bernhard Lukas;*;5;57.5;10;28.0;2;-0.5;8.75
o;11;37.25;Ambühl Joel;**;6;57.25;10;37.5;-1;0.25;8.5
+;15;45.75;Bättig Patrick (2003);;19;54.0;16;45.5;1;-0.25;9.75

13t;Ziegler Elias;;;;;;;;;;55.5
+;;;Müller Silvio (2003);;;;;;;;10.0
o;2;10.0;Wenger Ruedi;;15;55.0;3;9.75;1;-0.25;8.5
+;7;18.5;Keller Janik;*;36;25.75;12;17.25;5;-1.25;10.0
o;8;28.5;Betschart Patrick;*;9;56.5;10;28.0;2;-0.5;8.5
+;12;37.0;Reichlin Reto (2002);;20;53.75;13;36.75;1;-0.25;10.0
o;10;47.0;Ettlin Stefan;**;8;56.75;11;46.75;1;-0.25;8.5

13u;Doppmann Ueli;;;;;;;;;;55.5
+;;;Troxler Silvan (2002);;;;;;;;10.0
o;2;10.0;Mehr Lars (2002);;12;55.75;2;10.0;0;0.0;8.75
o;6;18.75;Würsch Lars;*;12;55.75;11;17.5;5;-1.25;8.5
+;13;27.25;Müller Daniel (2002);;18;54.25;13;27.25;0;0.0;9.75
o;12;37.0;Gloggner Reto;**;7;57.0;11;37.25;-1;0.25;8.5
+;16;45.5;Gwerder Fabian;;20;53.75;17;45.25;1;-0.25;10.0

13v;Lustenberger Florian (2002);;;;;;;;;;55.5
+;;;Grüter Marcel;;;;;;;;10.0
+;2;10.0;Kurmann Jvo;;13;55.5;3;9.75;1;-0.25;9.75
o;3;19.75;Bürli Roger;**;10;56.25;7;18.5;4;-1.25;8.75
o;8;28.5;Gerber Peter;*;15;55.0;9;28.25;1;-0.25;8.5
o;12;37.0;Vogel Manuel;;15;55.0;13;36.75;1;-0.25;8.5
+;16;45.5;Achermann Daniel;;20;53.75;17;45.25;1;-0.25;10.0

14a;Huser Christian;;;;;;;;;;55.25
+;;;Schöpfer Roman (2003);;;;;;;;9.75
+;3;9.75;Epp Elias (2003);;16;54.75;3;9.75;0;0.0;10.0
o;3;19.75;Lemmenmeier Lukas;*;8;56.75;7;18.5;4;-1.25;8.5
o;9;28.25;Murer Andy;**;8;56.75;13;27.25;4;-1.0;8.5
+;13;36.75;Riebli Leon (2003);;18;54.25;13;36.75;0;0.0;10.0
o;11;46.75;Schöpfer Ronny;*;9;56.5;11;46.75;0;0.0;8.5

14b;Lustenberger Marc (2003);;;;;;;;;;55.25
+;;;Baumeler Fabian;;;;;;;;10.0
+;2;10.0;Schmid Pius;;20;53.75;3;9.75;1;-0.25;10.0
o;2;20.0;Hess Dominik;*;15;55.0;5;19.0;3;-1.0;8.5
-;8;28.5;Muff Armin;**;9;56.5;8;28.5;0;0.0;9.0
o;10;37.5;Binggeli Stefan;**;10;56.25;10;37.5;0;0.0;8.75
-;13;46.25;Schmidiger Marco;*;14;55.25;13;46.25;0;0.0;9.0

14c;Marti Simon;;;;;;;;;;55.25
+;;;Reichlin Reto (2002);;;;;;;;9.75
+;3;9.75;Wigger Simon;;29;35.5;2;10.0;-1;0.25;9.75
o;4;19.5;Betschart Patrick;*;9;56.5;8;18.25;4;-1.25;8.5
+;10;28.0;Schnider Markus;*;22;53.25;14;27.0;4;-1.0;10.0
-;8;38.0;Hess Dominik;*;15;55.0;10;37.5;2;-0.5;8.75
o;11;46.75;Egli Damian;**;8;56.75;10;47.0;-1;0.25;8.5

14d;Riebli Urs (2002);;;;;;;;;;55.25
+;;;Gwerder Fabian;;;;;;;;10.0
+;2;10.0;Wyrsch Gabriel (2001);;20;53.75;3;9.75;1;-0.25;9.75
o;3;19.75;Betschart Remo;**;7;57.0;6;18.75;3;-1.0;8.5
+;9;28.25;Würsch Lars;*;12;55.75;12;27.5;3;-0.75;9.75
o;8;38.0;Wyrsch Marco;**;9;56.5;8;38.0;0;0.0;8.5
o;12;46.5;Wyss Sven (2001);;8;56.75;11;46.75;-1;0.25;8.75

14e;Schaller Noah;;;;;;;;;;55.25
+;;;Blattmann Philipp;;;;;;;;9.75
